PSA_ID,link_IRB,type_IRB,submit_date_IRB,language,country,compensation,payment,sample,in_person,individual,Total_N,Keep,Exclude,Keep_Rescored,Exclude_Rescored,Female,Male,Other,Not_Say,Gender_Missing,Less_High_School,High_School,Some_College,College,Masters,Doctorate,Education_Missing,Elementary,M_Age,SD_Age,Min_Age,Max_Age,M_Age_Keep,SD_Age_Keep,Min_Age_Keep,Max_Age_Keep,M_Trials,M_Answered,M_Correct,M_Time,Med_Time
97,https://osf.io/download/wvjpy/,Local IRB,July 10th 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,https://osf.io/download/vx8hg/,Local IRB,August 31st 2022,"Turkish, English",Turkey,Course Credit,Extra Credit,Pool,No,Online testing,216,159,57,168,48,188,15,1,,12,1,14,12,89,,10,90,,28.28,8.23,19,59,27.48,7.69,19,55,770.85,766.24,0.94,17.82,17.24
101,https://osf.io/download/ez47r/,Rely on HU,October 15th 2021,Polish,Poland,"Money, Course Credit, Lottery",1 course credit or 30 PLN (c.a. $ 7.5).,"Pool, Social Media",No,Online testing,306,263,43,268,38,205,75,11,1,14,,180,14,55,3,4,50,,24.37,8.91,18,77,24,8.41,18,77,776.61,772.56,0.95,20.35,18.67
104,https://osf.io/download/2rsnv/,Local IRB,February 15th 2022,German,Austria,Money,3.5 Euros,Bilendi,No,Online testing,329,262,67,274,55,131,176,,,22,24,89,24,19,111,6,56,,45.04,13.17,19,102,44.98,12.81,19,95,759.04,752.77,0.95,21.86,19
106,https://osf.io/download/8v3rd/,No Ethics,December 14th 2022,Italian,Italy,No compensation,None,Social media,"Both, mostly online",One at a time,57,45,12,45,12,14,40,1,,2,11,18,2,8,3,7,8,,38.65,10.3,18,72,39,10.43,24,72,676.47,672.07,0.96,22.21,18.88
113,https://osf.io/download/5cbkz/,No Ethics,October 11th 2021,German,Austria,Course Credit,1 Credit every 15 min.,Pool,No,Online testing,106,99,7,99,7,85,16,2,1,2,22,73,2,3,,3,3,,23.31,6.39,18,54,22.48,5.01,18,45,796.78,794.47,0.93,17.97,17.85
121,https://osf.io/download/ftydh/,Local IRB,"February 5th, 2018",Slovak,Slovakia,Course Credit,2 bonus points,Pool,Yes,"One at a time (Collective Testing, up to 15)",348,223,125,247,101,263,69,2,2,12,228,2,11,91,4,1,11,,22.59,4.1,18,52,22.46,3.89,18,52,767.77,764.61,0.94,19.26,18.85
148,https://osf.io/download/wuqve/,Local IRB,"May 16th, 2023",Spanish,Spain,Course Credit,30 points in a system where accumulating 180 points is rewarded with an additional 0.5 points (out of 10) in the final grades for one undergraduate subject,Pool,Yes,"One at a time (Collective Testing, up to 12)",217,189,28,190,27,177,29,1,1,9,92,2,10,110,,1,2,,20.44,4.68,18,58,20.23,4.13,18,58,774.83,769.97,0.93,33.83,18.5
151,https://osf.io/download/2s3fa/,Rely on HU,October 23rd 2021,English,England,"Course Credit, Volunteers",1 Credit every 15 min.,"Public, Word of Mouth",No,One at a time,158,105,53,109,49,125,17,3,1,12,5,81,12,58,,1,1,,23.89,7.95,18,51,24.17,8.54,18,51,746.72,740.57,0.91,19.03,18.23
152,https://osf.io/download/pktf4/,No Ethics,December 8th 2021,Portugese,Brazil,Course Credit,No compensation,Pool,Yes,"One at a time (Collective Testing, up to twenty)",94,80,14,82,12,52,35,,,7,63,11,7,9,2,2,,,22.3,5.82,18,63,22.23,5.84,18,63,796.31,792.48,0.94,21.87,17.95
162,https://osf.io/download/736sq/,Local IRB,March 23th 2021,English,England,Course Credit,1 Credit every 15 min.,"Pool, Social Media",No,Online testing,58,47,11,48,10,39,15,1,,3,4,16,3,26,1,4,4,,28.29,9.9,19,54,28.4,9.81,19,54,762.51,759.23,0.94,18.3,17.38
169,https://osf.io/download/kbseq/,Local IRB,October 10th 2021,Italian,Italy,Course Credit,0.5 Credit,Class,No,One at a time,344,297,47,301,43,281,54,2,1,6,12,296,7,14,1,12,2,,22.86,7.01,18,72,22.71,6.8,18,72,773.55,768.87,0.94,20.43,18.7
180,https://osf.io/download/bgntc/,Rely on HU,October 14th 2022,Turkish,Turkey,Course Credit,1 Credit every 30 min.,Pool,Yes,One at a time,140,106,34,106,34,87,31,1,,21,,30,20,85,1,2,2,,21.69,3.17,18,38,21.46,2.58,18,35,795.76,793.89,0.94,17.32,16.87
206,https://osf.io/download/2yxmb/,Local IRB,December 23th 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,https://osf.io/download/5w6fk/,Local IRB,April 1st 2022,English,USA,Course Credit,1 Credit,Pool,No,One at a time,45,30,15,30,15,24,10,1,1,9,,29,9,7,,,,,20.75,4.1,18,38,20.93,4.45,18,38,783.33,778.63,0.94,18.26,17.77
238,https://osf.io/download/ufmtn/,Local IRB,November 11th 2021,Spanish,Spain,None,None,"Recruitment on-campus, social media",No,"One at a time (Collective Testing, up to five)",75,53,22,55,20,50,19,1,,5,41,4,5,10,,9,6,,32.67,14.95,18,68,32.66,14.92,18,68,767.96,763.91,0.95,92.55,18.52
245,https://osf.io/download/3pqvr/,Local IRB,"March 26th, 2019",Slovak,Slovakia,Course Credit,1/3 credit,Class,No,One at a time,303,123,180,171,132,276,13,,1,13,220,2,13,64,3,1,,,21.33,5.82,18,103,21.74,7.84,19,103,777.58,772.64,0.94,19,18.64
247,https://osf.io/download/2ps63/,No Ethics,Februrary 10th 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,https://osf.io/download/psfh8/,Local IRB,October 24th 2022,Turkish,Turkey,Course Credit,2 Credits,Pool,No,One at a time,119,102,17,102,17,90,20,1,1,7,4,21,7,81,,3,3,,20.88,3.33,18,40,20.9,3.42,18,40,757.99,752.39,0.93,17.96,17.68
261,https://osf.io/download/ex56v/,Local IRB,August 8th 2022,English,England,Course Credit,.5 SONA Credits,Pool,No,"One at a time (Collective Testing, up to undisclosed # )",88,74,14,76,12,74,11,1,,2,6,31,2,48,,,1,,21.47,2.59,18,31,21.53,2.74,18,31,781.08,778.16,0.92,17.94,17.49
266,https://osf.io/download/rcjh2/,Local IRB,"March 31st, 2023",English,England,Course Credit,1 credit per 10 minutes,Pool,No,One at a time,178,151,27,156,22,138,33,1,1,5,15,66,4,88,3,,2,,22.36,10.87,19,103,21.01,1.96,19,37,780.02,775.23,0.92,163.76,17.73
279,https://osf.io/download/zkprs/,Local IRB,"June 16th, 2023",English,USA,Credit,1/2 hour of credit,Pool,Online,Online one at a time,165,125,40,126,39,121,22,,,22,1,122,23,18,,,1,,20.58,12.08,18,103,18.85,1.28,18,27,781.89,777.74,0.92,17.35,16.83
336,https://osf.io/download/c8skx/,Local IRB,April 1st 2022,Spanish,Chile,None,None,Undergraduate Listserv,No,Online testing,138,117,21,122,16,53,69,8,2,6,109,,5,15,,1,8,,23.51,5.49,18,66,23.14,5.16,18,66,710.65,703.78,0.94,22.72,18.9
337,https://osf.io/download/fytzx/,Local IRB,July 7th 2022,English,England,Money,£4.75 per participant,Prolific,No,Online testing,107,96,11,97,10,75,28,3,,1,,33,1,50,1,3,19,,37.95,13.03,19,82,38.34,13.47,19,82,782.84,776.51,0.95,18.38,17.84
358,https://osf.io/download/wmhdb/,Local IRB,June 25th 2021,"French, English",France,Course Credit,"Extra Credit, 1 Research Credit","Pool, Social Media",Both,One at a time,657,511,146,530,127,494,104,11,7,41,127,138,40,260,2,14,76,,26.26,9.19,18,69,26.43,9.32,18,67,764.43,759.16,0.94,20.08,18.26
365,https://osf.io/download/64f7r/,Rely on HU,October 7th 2021,Polish,Poland,Course Credit,1 Credit,Class,Both,Twenty at a time,127,106,21,108,19,90,33,,,4,,117,4,1,3,1,1,,20.59,5.71,18,68,20.21,3.97,18,57,785.77,782.49,0.95,20.17,19.56
371,https://osf.io/download/gf7u9,Rely on HU,January 10th 2024,English,USA,Extra credit in courses or $10 amazon gift card,.5 units of Sona systems credit or $10 in Amazon gift card,"Email, word of mouth, subject pool",No,One at a time,49,41,8,41,8,40,4,,,5,,28,6,14,,1,,,21.52,3.86,19,45,21.51,4,19,45,797.56,787.9,0.93,58.73,17.8
373-1485,https://osf.io/download/j8yzw/,Rely on HU,No date,English,England,Course Credit,1 - 2 Credits,Pool,No,Online testing,72,52,20,53,19,53,6,2,3,8,,37,9,19,,3,4,,22.43,8.14,18,52,20.35,2.89,18,31,793.77,791.21,0.93,17.06,17.01
387,https://osf.io/download/vw2zm/,Local IRB,December 29th 2022,Turkish,Turkey,Course Credit,2 Credits,Psychology classes,Yes,Three at a time,216,166,50,170,46,162,39,1,1,13,4,56,13,139,1,2,1,,23.19,3.76,19,43,23.14,3.57,19,43,752.19,747.64,0.94,18.85,18.16
406,https://osf.io/download/pcj5r/,No Ethics,"February 20th, 2023",NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,1,,1,,1,,1,,,,,,,,,1,,,43,,43,43,,,,,,,,,
408,https://osf.io/download/usvxe/,Rely on HU,August 16th 2022,English,Australia,Course Credit,2 Credits,Pool,no,one at a time,155,124,31,132,23,117,28,2,,8,6,108,8,28,4,1,,,28.13,11.07,18,58,28.18,11.11,18,58,775.27,769.27,0.93,18.65,18.4
421,https://osf.io/download/gz3dk/,Local IRB,October 9th 2021,English,USA,Money,2.4 USD,Mturk Prime,No,Online testing,67,55,12,57,10,28,37,,1,1,,21,1,37,,2,6,,40.06,11.26,21,76,40.73,11.05,21,76,756.56,752,0.95,18.1,16.75
423,https://osf.io/download/z2htv/,Local IRB,July 17th 2021,"Portugese, English",Portugal,Money,2.2€ for 30 minutes.,Clickworker,No,Online testing,230,191,39,196,34,125,94,3,1,7,69,,8,98,1,10,44,,35.19,10.2,18,65,35.1,9.94,18,65,767.83,761.07,0.94,70.87,18.89
437,https://osf.io/download/2gc6b/,Local IRB,January 26th 2022,Turkish,Turkey,Course Credit,4/100 to the final Grade,Pool,No,One at a time,145,121,24,122,23,116,20,1,,8,,53,8,80,,,4,,20.24,3.48,18,42,20.31,3.65,18,42,743.13,740.54,0.94,204.17,17.43
617,https://osf.io/download/6qjha/,Local IRB,"March 13th, 2023",Simplified Chinese,China,Money,$3 Dollars,Class,No,Fifty at a time,73,63,10,63,10,63,7,,1,2,,10,2,43,,2,16,,22.94,10.12,19,103,21.79,3.21,19,42,713.84,712.03,0.94,17.35,17.18
700,https://osf.io/download/bea4n,Rely on HU,June 25th 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,https://osf.io/download/8nwgd/,Local IRB,December 2nd 2021,English,USA,Course Credit,1 Credit every 15 min.,Pool,No,One at a time,261,178,83,183,78,145,76,6,1,33,2,181,33,45,,,,,19.8,1.35,18,29,19.81,1.21,18,24,725.01,719.42,0.91,25.27,18.17
728,https://osf.io/download/se39k/,Local IRB,September 23rd 2022,English,USA,Course Credit,0.5 Credits per 30 mins,Pool,Yes,One at a time,303,216,87,220,83,193,57,,,53,8,204,53,36,,1,1,,19.68,5.8,18,103,19.1,1.65,18,36,800,796.83,0.92,17.2,16.8
761,https://osf.io/download/ck4gb/,Local IRB,November 23rd 2021,"Greek, English",Greece,Course Credit,None,"Pool, Social Media",No,Online testing,435,362,73,369,66,362,50,4,3,16,10,259,18,112,,3,33,,24.46,7.34,19,54,24.62,7.55,19,54,758.35,752.98,0.94,19.92,19.15
772,https://osf.io/download/n4tb6/,Local IRB,October 12th 2022,Spanish,Chile,Raffle,CLP$ 70.000 for the winner,Social media and email listing,No,Collective Testing (Unsure how many will take it at once).,55,47,8,47,8,28,26,,,1,33,8,1,3,,4,6,,26.3,5.17,19,42,25.81,4.5,19,42,787.23,780.98,0.94,18.4,17.55
829,https://osf.io/download/ngru7/,Local IRB,October 10th 2022,English,USA,Course Credit,1 - 2 Credits,Pool,Yes,Up to 20 at a time,80,65,15,65,15,56,18,,,6,2,58,6,13,,,1,,21.55,7.28,18,52,21.05,6.55,18,47,800,795.28,0.91,17.99,18.15
1013,https://osf.io/download/2vpna/,No Ethics,November 5th 2021,French,France,Lottery,"Compensation was a lottery (1 samsung tab, 1 JBL bluetooth headset, 1 JBL bluetooth speaker: approx. 330+68+40=€438 = with tax €525) with multiple studies in the same so about 800 people in total (about 0.5% to win something but an average of €0.65 per participant).","Pool, Social Media",No,One at a time,144,117,27,119,25,112,13,3,3,13,17,50,13,52,2,5,5,,23.63,15.04,18,103,20.75,4.39,18,47,727.79,724.6,0.94,18.01,17.88
1026,https://osf.io/download/suh6e/,Local IRB,"May 11th, 2023","Russian, English",Russia,"Classes, Social Media",None,None,No,One at a time,246,191,55,198,48,189,45,,2,10,3,53,10,141,1,4,34,,23.58,6.13,18,63,23.75,6.01,18,60,764.27,758.28,0.94,21.24,19.75
1052,https://osf.io/download/9a3vt/,Local IRB,March 3rd 2022,Polish,Poland,Course Credit,30 credits,Pool,No,One at a time,166,136,30,136,30,128,19,3,,16,,77,12,22,,1,54,,28.1,9.53,19,56,28.55,9.75,19,56,779.32,773.99,0.94,20.88,18.72
1060,https://osf.io/download/2bvtd/,Rely on HU,No date,German,Germany,Course Credit,0.5 Credit every 30 min.,Pool,No,Online testing,1755,1544,211,1574,181,1135,526,3,8,83,90,1383,76,5,186,8,7,,26.79,5.11,19,102,26.74,4.44,19,54,780.06,775.21,0.94,21.21,19.71
1072,https://osf.io/download/8k5v2/,Local IRB,July 7th 2022,English,England,Course Credit,1 Credit,Pool,No,Online testing,90,86,4,86,4,76,6,5,2,1,,46,2,41,1,,,,20.46,10.44,18,102,19.53,5.8,18,72,775.58,773.48,0.95,17.8,17.32
1295,https://osf.io/download/udk3p/,Local IRB,November 19th 2021,"Dutch, English",Netherlands,Course Credit,0.25 Credit every 15 min.,Pool,No,Online testing,157,136,21,137,20,130,18,3,,6,10,70,6,67,,3,1,,21.88,4.77,18,55,21.55,3.99,18,55,785.89,782.76,0.93,24.18,17.79
1352,https://osf.io/download/guesn/,Rely on HU,January 24th 2023,Turkish,Turkey,Course Credit,0.50 Credit every 15 min,Pool,Yes,One at a time,81,81,,81,,72,8,1,,,,32,1,42,,2,4,,22.48,3,20,41,22.48,3,20,41,800,798.99,0.95,16.99,16.63
1382,https://osf.io/download/nj9we/,Local IRB,March 30th 2022,English,Scotland,Course Credit,1 Credit every hour,Pool,No,Online testing,107,79,28,81,26,78,16,2,1,10,,71,10,24,,2,,,20.7,4.5,18,49,20.89,4.96,18,49,788.11,782.34,0.93,18.27,17.92
2743,https://osf.io/download/nwp5d/,Local IRB,"April 10th, 2023",Spanish (non-Argentian),Chile,None,None,Psychology Undergraduate/Graduate Students,Mixed,"One at a time (Collecting Testing, up to thirty)",3,3,,3,,3,,,,,1,,,1,,,1,,26,4.58,22,31,26,4.58,22,31,800,798.67,0.94,17.23,16.4
1518,https://osf.io/download/m6f8e/,Local IRB,"March 27th, 2023",Turkish,Turkey,Course Credit,5 points added to midterm or final.,Class,No,One at a time,162,128,34,131,31,88,62,,3,9,5,31,8,113,,1,4,,21.77,7.15,19,103,21.76,7.69,19,103,741.95,737.15,0.93,19.03,17.55
1531,https://osf.io/download/b57ut/,Local IRB,July 7th 2022,English,Australia,Course Credit,Test credit,Class,Yes,One hundred and forty at once,112,97,15,100,12,82,25,1,,4,,56,4,47,,4,1,,24.18,9.55,20,102,23.43,5.82,20,55,759.25,755.73,0.93,17.3,17.2
1538,https://osf.io/download/2wvja/,Local IRB,"February 20th, 2023",English,USA,Course Credit,30 credits,Pool,No,One at a time,84,64,20,67,17,62,19,1,,2,17,50,3,11,,3,,,22.45,4.45,19,38,22.47,4.65,19,38,771.88,763.45,0.91,19.25,17.75
1560,https://osf.io/download/qp4mr/,Local IRB,October 15th 2021,Spanish,Argentina,Course Credit,Credit or no compensation,Pool,No,Online testing,180,143,37,149,31,142,26,,5,7,45,101,7,24,,1,2,,23.5,9.19,18,103,23.24,7.38,18,65,730.48,725.12,0.93,19.46,18.93
1564,https://osf.io/download/we9yp,No Ethics,September 27th 2022,English,USA,Course Credit,2 Credits,Pool,No,Yes,248,191,57,198,50,179,59,,,10,19,181,12,36,,,,,20.2,2.59,18,48,20.1,2.61,18,48,780.1,775.13,0.91,20.08,18.35
1574,https://osf.io/download/4ebfg/,Local IRB,December 9th 2022,Arabic,Saudi Arabia,None,No compensation,Pool,No,Five at a time,104,55,49,58,46,47,46,,2,9,4,12,11,35,1,26,15,,34.62,11.48,19,103,32.85,9.08,20,58,634.6,625.2,0.9,96.72,19.64
1594,https://osf.io/download/dbcua/,Local IRB,November 24th 2022,Polish,Poland,"Money, Course Credit",3-5 USD,"Pool, Social Media",No,One at a time,894,675,219,713,181,488,353,2,6,45,,354,42,142,44,17,295,,40.83,14.7,18,103,40.32,14.64,18,103,737.78,730.07,0.94,76.65,19.32
1696,https://osf.io/download/nvwh7/,Local IRB,April 8th 2022,Romanian,Romania,Course Credit,.5 credit,Pool,Both,"One at a time, For collective up to thirty at a time)",575,489,86,505,70,473,69,6,6,21,,506,20,35,1,1,12,,21.27,5.13,18,57,21.22,5.08,18,57,766.49,761.33,0.94,20.78,19.82
1697,https://osf.io/download/vqg8d/,Local IRB,November 3rd 2021,Portugese,Brazil,Course Credit,2 Credits,Pool,Yes,One at a time,551,466,85,476,75,298,218,9,6,20,295,104,21,70,13,21,27,,25.73,10.75,18,103,25.7,10.25,18,79,768.62,764.15,0.93,19.01,18.61
1698,https://osf.io/download/5e23j/,Local IRB,August 3rd 2021,Urdu,Pakistan,Course Credit,3 Marks,Pool,No,"One at a time (Collective Testing, up to ten)",696,315,381,353,343,468,154,7,5,62,89,12,65,486,5,12,27,,22.8,8.4,18,103,22.85,8.36,18,103,741.32,733.13,0.88,53.69,22.15
1733,https://osf.io/download/t5hfj/,Rely on HU,June 30th 2022,English,Australia,Course Credit,0.5 Credit every 30 min.,Pool,No,One at a time,123,98,25,100,23,82,37,,2,2,,96,2,25,,,,,20.24,3.71,18,48,20.42,4.04,18,48,778.57,774.42,0.93,22.25,17.31
1867,https://osf.io/download/j9xqn/,Local IRB,April 11th 2021,Turkish,Turkey,Course Credit,2 Credits,Pool,Yes,Four at a time,121,84,37,86,35,92,18,,,11,1,24,10,81,,1,4,,21.77,2.03,19,34,21.88,2.15,19,34,776.19,772.81,0.93,17.82,17.22
1879,https://osf.io/download/pg6vs/,No Ethics,June 17th 2022,"Dutch, English",Netherlands,"Course Credit, Money",1 Sona research credit per minute; or minimum of £6.00.,"Pool, Prolific",No,One at a time,3,1,2,1,2,2,,,,1,,1,1,,,1,,,31.5,12.02,23,40,40,,40,40,800,800,0.86,13.7,13.7
1885,https://osf.io/download/yxcna/,Rely on HU,October 27th 2021,Russian,Russia,Course Credit,0.2 credit,Pool,Yes,Four at a time,66,56,10,56,10,54,4,1,3,4,4,35,3,15,3,3,3,,21.27,6.7,18,62,19.82,2.34,18,34,779.98,775.2,0.93,19.75,18.9
1897,https://osf.io/download/582mr/,Local IRB,August 6th 2021,English,England,"Course Credit, Money","1 Credit, £8/hour","Pool, Prolific",No,Online testing,91,70,21,72,19,76,8,,1,6,1,51,6,28,,1,4,,20,2.48,18,30,19.94,2.21,18,30,782.03,777.27,0.92,28.74,16.65
1970,https://osf.io/download/7zkbm/,Local IRB,October 20th 2021,Serbian,Serbia,Course Credit,2 Credits,Pool,No,One at a time,502,444,58,455,47,153,329,2,5,13,5,291,13,186,,3,4,,19.93,3.36,18,61,19.63,1.84,18,42,793.02,785.6,0.93,79.72,21.63
3083,https://osf.io/download/95sp6/,Local IRB,"October 4th, 2023","Chinese, English",Singapore,"Course Credit, Money",$5 or 1 Course Credit/30min,Recruitment on-campus; Pool,Yes,Three at a time,77,73,4,74,3,50,24,1,,2,2,35,2,26,1,1,10,,22.69,2.48,19,33,22.58,2.35,19,33,794.52,787.86,0.94,16.98,16.62
1990,https://osf.io/download/wdvgt/,No Ethics,"February 20th, 2023",Farsi (Persian),Iran,Course Credit,2 Credits,Class,Both,Yes,283,176,107,180,103,164,93,1,2,23,26,41,23,130,,2,61,,23.49,5.14,19,49,23.13,5.1,19,49,651.61,646.47,0.95,219.43,17.76
2049,https://osf.io/download/vfn4z/,No Ethics,December 2nd 2021,Spanish,Spain,Money,8 € / hour,"Pool, Prolific",No,Twenty at a time,78,57,21,58,20,49,19,5,2,3,39,2,3,19,1,9,5,,30.76,15.85,18,103,29.56,13.56,18,68,729.3,726.19,0.94,20.01,18.14
2051,https://osf.io/download/uz9s7/,Rely on HU,November 1st 2021,"English, Arabic",Saudi Arabia,Course Credit,2 Marks,Class,Both,Thirty at a time,130,78,52,80,50,115,,,2,13,7,95,13,10,1,2,2,,21.26,3.37,19,40,21.12,3.41,19,40,563.63,562.35,0.93,18.34,18.43
2062,https://osf.io/download/7pjxg/,No Ethics,"October 11th, 2022",French,France,Course Credit,.5 credit,Pool,Yes,Eight at a time,149,143,6,143,6,131,16,1,1,,37,31,,74,,1,6,,21.58,4.26,19,44,21.47,3.91,19,44,799.3,797.13,0.94,16.85,16.7
2070,https://osf.io/download/kjs3d/,Local IRB,September 29th 2022,Spanish,Chile,Course Credit,"We gave participants a total of 0.5 grade for an assignment during the academic semester. Here in Chile, grades range from 1.0 to 7.0. Although our courses have assigned credits, we are not allowed to give direct credit for participation in studies, so we decided to give them some extra points for an assignment.",Pool,Mix,"One at a time, For collective up to fifteen at a time)",121,101,20,104,17,36,80,,,5,35,75,5,4,1,,1,,22.94,6.76,18,74,22.61,5.08,18,51,766.72,762.3,0.93,18.63,18.21
2076,https://osf.io/download/pxfwz/,Local IRB,May 16th 2022,Chinese,Hong Kong,Course Credit,2 Credits,Class,No,One at a time,118,91,27,93,25,97,17,,1,3,1,1,3,72,,2,39,,23.11,2.51,19,40,23.29,2.73,19,40,772.66,767.03,0.93,18.66,17.88
2142,https://osf.io/download/7yags/,No Ethics,October 7th 2022,"Norwegian, English",Norway,Money,Gift cards (100 NOK),Pool,"Both, in person until June 14, 2023",One at a time,95,80,15,80,15,39,45,2,4,5,3,32,4,44,2,,10,,24.81,6.48,19,54,24.6,6.27,19,54,782.78,778.2,0.94,20.48,20.11
1504,https://osf.io/download/mdfwt/,Local IRB,March 30th 2022,Czech,Czech Republic,None,None,Class,No,Online testing,177,162,15,162,15,147,23,1,1,5,2,2,5,106,,4,58,,35.02,9.2,22,58,35.04,9.22,22,58,759.71,755.8,0.95,46.13,19.53
2192,https://osf.io/download/hnsk6/,Rely on HU,September 23rd 2022,English,Ireland,Lottery,"Fifty Euro, 'One4alll' grocery voucher","Pool, Word of Mouth, Social Media",No,One at a time,70,56,14,57,13,46,16,1,,7,2,11,7,18,,14,18,,34.98,15.32,20,85,35.68,15.54,20,85,749.18,745.62,0.95,17.75,17.77
2373,https://osf.io/download/y9gr4/,Rely on HU,"April 23rd, 2023",Turkish,Hungary,No compensation,social media,Online (Unspedified),No,Collective Testing,96,73,23,73,23,42,45,1,,8,5,9,8,51,1,2,20,,36.74,6.87,20,59,36.11,6.78,20,59,490.27,485.01,0.96,21.87,17.82
2382,https://osf.io/download/gnkud/,Local IRB,June 2nd 2022,"Japanese, Korean, Chinese","USA, Switzerland",Money,6 € / hour (minimum),Prolific,No,Online testing,64,43,21,48,16,41,19,,1,3,,11,3,29,,7,14,,30.9,9.51,19,67,31.91,9.61,19,67,790.74,785.26,0.89,17.95,17.53
2412,https://osf.io/download/cg2mh/,Local IRB,"April 13th, 2023",Hebrew,Israel,Course Credit,1 Credit per hour,Undergraduate business student pool,Mix,Twenty-five at a time,321,247,74,256,65,252,51,,,18,3,248,22,40,3,5,,,25.99,3.51,22,43,25.47,2,22,43,711.76,708.39,0.92,18.4,16.63
