native_language_translated,cs,da,de,el,en,es,fr,hu,it,ja,ko,pl,pt_combo,ro,ru,sr,tr,zh
"Multiple: German, Kinyarwanda",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Kotokoli",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Mandarin",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Norwegian",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Polish",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Portuguese",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Romanian",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Russian",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Serbian",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Slovenian",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Spanish",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Tamil",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Turkish",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German,Turkish",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Greek, German",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Italian, German",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Kotokoli, German",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Polish, German",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Punjabi, German",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Romanian, German",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Slovenian, Italian",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Tamil, German",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Turkish, German",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Vietnamese, German",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mutliple: German, Serbian",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portuguese,0,0,9,0,26,4,6,0,0,0,0,0,1287,3,0,0,0,0
Serbian,0,0,8,0,2,0,0,0,0,0,0,0,0,0,1,735,1,0
Slovenian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tami,0,0,3,0,18,0,1,0,0,0,0,0,0,0,2,0,0,0
Telugu,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigrinya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukrainian,0,0,1,0,10,0,0,1,1,0,0,9,0,1,18,0,0,0
Vietnamese,0,0,3,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0
Afrikaans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebrew,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"Multiple: Greek, Albanian",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Greek, Arabic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Greek, Dutch",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Greek, English",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amharic,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Assyrian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijani,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,2,0
Bengali,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisaya,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
British Sign Language,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burmese,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantonese,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,15
Chuukese,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Creole,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Filipino,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0
Finnish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujurati,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
Hindi,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0
Ibo,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocano,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesian,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Japanese,0,0,0,0,14,0,0,0,0,1639,1,0,1,0,0,0,0,0
Kannada,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Khmer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Kinyarwanda,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiswahil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Konkani,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Korean,0,0,0,0,34,0,0,0,0,0,1354,0,0,0,0,0,0,2
Lithuanian,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Maithili,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Malayalam,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolian,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0
"Multiple: Amharic, English",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Arabic, English",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Creole, French",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Dutch, Turkish",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Bosnian",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Cantonese",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Chinese",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, French",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Gujarati",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Gujurati",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Hindi",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Irish",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Korean",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Multiple: English, Marathi",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Spanish",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Urdu",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Fijian, Hindi",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Finnish, Dutch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Hebrew, English",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Indonesian, English",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Korean, English",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Latvian, Russian",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Mandarin, Romanian",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Russian, Swedish",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Shona, English",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Urdu, English",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepali,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Papiamento,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pashto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pular,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjabi,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoan,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shona,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindhi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinhalese,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Somali,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Swahili,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
Swedish,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0
Swiss German,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlicho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Twi,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Urdu,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0
Waray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Welsh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xhosa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoruba,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Zomi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Basque,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Castilian Spanish,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Catalan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Galician,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Moroccan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Catalan, Spanish",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Chinese, Spanish",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Spanish, Basque",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Spanish, Galician",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Spanish, Portuguese",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Valencian,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Valencian Spanish,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Georgian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Kabyle,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Malagasy,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Mauritian Creole,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Multiple: French, English",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Multiple: French, German",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wolof,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Hindi, English",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Multiple: Hungarian, Russian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Multiple: Hungarian, Ukrainian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Multiple: Italian, French",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Multiple: Italian, Slovenian",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sinhala,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Uzbek,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"Multiple: Italian, Korean",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Belarusian,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Berber,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brazilian Portuguese,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Cape Verdean Creole,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Guarani,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Multiple: English, Portuguese",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Multiple: Portuguese, Cape Verdean Creole",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Multiple: Portuguese, English",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Multiple: Portuguese, Spanish",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Multiple: Portuguese-Brazilian, Japanese",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Portuguese-Brazilian,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0
"Multiple: English, Romanian",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Multiple: Hungarian, Romanian",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Multiple: Italian, Romanian",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Multiple: Romanian, Italian",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Multiple: Romanian, Russian",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bashkir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chechen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Chuvash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Kabardian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Kazakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Komi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kyrgyz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Lezgian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Moksha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mordovian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Tajik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Tatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Turkis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turkmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tuvan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Udmurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gorani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Multiple: Serbian, Montenegrin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Serbo-Croatian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Multiple: Russian, Turkish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Multiple: Turkish, English",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Chaoshan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hakka Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Multiple: English, Mandarin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zhuang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
