"ta_target","ta_cue","ta_fake_cue","ta_fake_target","en_cue","en_target"
"அதிகாரம்","அதிகார எல்லை","அதிகாரtnse","அதிமனனனத","jurisdiction","authority"
"அநேகமாக","இருக்கலாம்","இருகரtnse","அநேயனனர","maybe","probably"
"அந்த","என்ன","எனஓண","அநஈழ","what","that"
"அபத்தமான","அபத்தமான","அபத்சtnse","அபத்மனiii","ridiculous","absurd"
"அப்பா","அம்மா","அமதகா","அபபமா","mother","father"
"அப்பா","மாமா","மாஏட","அபபமா","uncle","dad"
"அமெரிக்கா அமெரிக்கா","ஆப்பிரிக்கா","ஆப்பரtnse","அமெரிக்கரshrikarsan","africa","america"
"அமைச்சகம்","தூதரகம்","தூதறனனத","அமைசமனனனத","embassy","ministry"
"அமைச்சர்","தூதர்","ரறதர்","அமைசtnse","ambassador","minister"
"அமைதி","அமைதியாக","அமைரtnse","அமமணி","silent","silence"
"அமைதி","அமைதியான","அமைமனiii","அமமணி","quiet","calm"
"அமைப்பு","வலைப்பின்னல்","வலைரmaathavan","அம மனனள","network","system"
"அமைப்பு","பிரமிடு","பி மனனள","அம மனனள","pyramid","structure"
"அம்மா","அப்பா","அபஙகா","அமமரா","daddy","mum"
"அரசியலமைப்பு","விதி","விnl","அரசியலரmaathavan","law","constitution"
"அரசியல்","பத்திரிகை","பத்மனiii","அரசயனனர","journalism","politics"
"அரசியல்","சிக்கலான","சிகமனனனத","அரசயனனர","critical","political"
"அரசியல்வாதி","கொள்கை","கொள்ஹக","அரசியமனiii","policy","politician"
"அரசு","நிர்வாகம்","நிரமனனனத","அரஙய","administration","government"
"அரிதாக","எப்போதாவது","எப்பமனனனத","அரகதயல","occasionally","rarely"
"அருங்காட்சியகம்","நூலகம்","நூககடட","அருங்காரmaathavan","library","museum"
"அலுவலகம்","மேசை","kwசை","அலுவமனiii","desk","office"
"அவசரம்","அவசர","அவயனத","அவசமjpg","urgent","emergency"
"அழகாக","இனிப்பு","இனரtnse","அழ ஒர","sweet","cute"
"அழகான","கவர்ச்சிகரமான","கவர்ச்சரmaathavan","அழபjs","attractive","charming"
"அழகான","நல்லது","நலமjpg","அழபjs","nice","lovely"
"அழகியரூன்","உறவினர்","உற மனனள","அழகிசtnse","relative","cousin"
"அழகு","அழகான","அழளனக","அழnj","pretty","beautiful"
"அழகு","கவர்ச்சி","கவரமனiii","அழnj","charm","beauty"
"அழித்தல்","உருவாக்கம்","உருவமனனனத","அழிமனனனத","creation","destruction"
"அழுத்தம்","துடிப்பு","ஹலஃடிப்பு","அழுசtnse","pulse","pressure"
"அளவு","மொத்தமாக","மொத மனனள","அளஞண","sum","amount"
"அறிக்கை","கருத்து","கரமனiii","அறமனனனத","comment","statement"
"அறிந்தேன்","அடையாளம் கண்டு கொள்","அடையாளம்ரshrikarsan","அறி மனனள","recognize","knew"
"அறிவார்ந்த","புத்திசாலி","ஜகனனத்திசாலி","அறிவமனனனத","smart","intelligent"
"அறிவு","அனுபவம்","அனுதiii","அறதபு","experience","knowledge"
"அறுவை சிகிச்சை","செயல்பட","செயதனனன","அறுவைரmaathavan","operate","surgery"
"அற்புதம்","அற்புதமான","அற்பரtnse","அற் மனனள","wonderful","fantastic"
"அனுப்பு","கொண்டு வாருங்கள்","கொண்டுரmaathavan","அனசtnse","bring","send"
"அனுமானம்","முடிவுரை","யகனடிவுரை","அன மனனள","conclusion","assumption"
"ஆக்ஸிஜன்","காற்று","füற்று","ஆக் மனனள","air","oxygen"
"ஆசிரியர்","மாணவர்","மாமனனய","ஆசிரtnse","student","teacher"
"ஆச்சரியமாக","ஈர்க்கக்கூடிய","ஈர்க்க மனனள","ஆச்சரரmaathavan","impressive","amazing"
"ஆட்டக்காரர்","பயிற்சியாளர்","பயிற் மனனள","ஆட்டகசtnse","coach","player"
"ஆணையாளர்","இன்ஸ்பெக்டர்","இன்ஸ் மனனள","ஆணைமனனனத","inspector","commissioner"
"ஆண்குறி","யோனி","யோஅள","ஆணமனனனத","vagina","penis"
"ஆதாரம்","ஆதாரம்","ஆதயனனர","ஆதகனனள","evidence","proof"
"ஆத்திரம்","கோபம்","yrபம்","ஆத்மனனனத","anger","rage"
"ஆபத்தானது","ஆபத்தானது","ஆபதமனனனத","ஆபதமனனனத","risky","dangerous"
"ஆபத்து","இடர்","இடgx","ஆபதனனக","risk","danger"
"ஆமை","நத்தை","நதமபை","opை","snail","turtle"
"ஆம்","சரி","மறி","உந்","okay","yeah"
"ஆயுதமே","அர்செனல்","அர மனனள","ஆயகதயல","arsenal","armory"
"ஆயுதம்","பிஸ்டல்","பிரtnse","ஆயவதயம","pistol","weapon"
"ஆய்வு","பரிசோதனை","பரிமனனனத","ஆயரலு","examination","inspection"
"ஆய்வு","காப்ஸ்யூல்","பலனனப்ஸ்யூல்","ஆயரலு","capsule","probe"
"ஆய்வு","ஆராய்ச்சி","ஆரா மனனள","ஆயரலு","research","study"
"ஆரஞ்சு","பச்சை","பசனஸை","ஆரறனனம","green","orange"
"ஆரம்ப","தாமதமாக","தாமயனனர","ஆரயலய","late","early"
"ஆராய்ச்சிப்பான்","ஆய்வாளர்","ஆய்ரtnse","ஆராய்சரmaathavan","analyst","investigator"
"ஆர்ப்பாட்டம்","எதிர்ப்பு","எதிரtnse","ஆர்ப்மனனனத","protest","demonstration"
"ஆலி","மூலையில்","பணனலையில்","பவி","corner","alley"
"ஆலோசனை செய்","ஆலோசனை","ஆலசனனல","ஆலோசரtnse","advice","advise"
"ஆல்பா","பிராவோ","பிராஸஓ","ஆலலனா","bravo","alpha"
"ஆவணம்","கோப்பு","கோப்அஸ","ஆவஜனல","file","document"
"ஆவி","ஆத்மா","ஆதமனா","ஒடி","soul","spirit"
"ஆளுமை","பாத்திரம்","பாதசtnse","ஆளனரை","character","personality"
"ஆற்றல்","பவர்","பவஸஏ","ஆறதனனன","power","energy"
"இசை","ஜாஸ்","ஜாஆப","உளை","jazz","music"
"இசைக்கலைஞர்","பாடகர்","பாககடட","இசைக்மனiii","singer","musician"
"இசைக்குழு","ஆர்கெஸ்ட்ரா","ஆர்கமனiii","இசைமனனனத","orchestra","band"
"இடது","சரி","மறி","இடgc","right","left"
"இடியட்","முட்டாள்","ரறனட்டாள்","இடககடட","fool","idiot"
"இணக்கம்","சமநிலை","சமயனனம","இணகதனனக","balance","harmony"
"இணைப்பு","தொடர்பு","தொமனனனத","இணமனiii","contact","connection"
"இதுவரை","அருகில்","அரமனiii","இதறனனத","near","far"
"இயக்கி","பயணிகள்","பயணடனனற","இயகதயல","passenger","driver"
"இயக்குனர்","தயாரிப்பாளர்","தயாரி மனனள","இயக மனனள","producer","director"
"இயந்திரம்","தொட்டி","தொட்எர","இயந்மனiii","tank","engine"
"இயந்திரம்","ரோபோ","மஅபோ","இயந்மனiii","robot","machine"
"இரக்கம்","பொறுமை","பொறுmv","இரகதனனன","patience","compassion"
"இரட்சகராக","ஹீரோ","ஹீhn","இரட்சரmaathavan","hero","savior"
"இராச்சியம்","ராயல்","சகயல்","இராசசtnse","royal","kingdom"
"இராணுவம்","படைவீரர்","படைசtnse","இரா மனனள","legion","army"
"இராணுவம்","சிவில்","rjவில்","இரா மனனள","civil","military"
"இரால்","டுனா","nwனா","இரஜஜ்","tuna","lobster"
"இருப்பிடம்","இடம்","இடvn","இருபசtnse","place","location"
"இருள்","நிழல்","cwழல்","இரகவ்","shadow","dark"
"இலக்கியம்","கலை","பதை","இலக்மனனனத","art","literature"
"இலவச","சுதந்திரமாக","சுதந்மனiii","இலதனல","freely","free"
"இலையுதிர்","வசந்த","வச ஒர","இலைமனiii","spring","autumn"
"இல்லாதது","இருத்தல்","இரு மனனள","இல்சtnse","presence","absence"
"இழிந்த","அனுபவம் இன்றி","அனுபவமரtnse","இழவனனத","naive","cynical"
"இழிந்த","மோசமான","மோதனனன","இழவனனத","nasty","filthy"
"இழுக்கவும்","தள்ள","தளஎற","இழுகசtnse","push","pull"
"இளம்","பழைய","பழஐஸ","இளfo","old","young"
"இளவரசன்","இளவரசி","இளவறனனத","இளவரரtnse","princess","prince"
"இறந்துவிடு","பாதிப்பு","இஸஃதிப்பு","இறந் மனனள","suffer","die"
"இறந்துவிட்டது","உயிருடன்","உயிமனனனத","இறந்துமனiii","alive","dead"
"இறுதி","இறுதி","இறறயி","இறகளி","final","ultimate"
"இறுதி சடங்கு","சவப்பெட்டி","சவப்மனனனத","இறுதிசtnse","coffin","funeral"
"இறுதியில்","இறுதியாக","இறுமனiii","இறுரtnse","finally","eventually"
"இறைச்சி","பன்றி","பனமழி","இறசtnse","pork","meat"
"இனம்","மராத்தான்","மராமனனனத","இனcw","marathon","race"
"இனிமையான","வசதியான","வசதடனனற","இனிமனனனத","comfortable","pleasant"
"இன்னும்","ஏற்கனவே","ஏறமனனனத","இனஃபும்","already","still"
"ஈ","நில","ivல","kw","land","fly"
"ஈரகரமான","முரண்","ooரண்","ஈரகரசtnse","irony","ironic"
"ஈரமான","உலர்ந்த","உலரகதயல","ஈரணகள","dry","wet"
"ஈர்க்க","முகஸ்துதி","முகமனனனத","ஈரதனனக","flatter","impress"
"ஈர்க்கும்","கவனம்","வரனம்","ஈர்ரtnse","attention","attract"
"உச்சரிப்பு","குரல்","wgரல்","உச்சரtnse","voice","accent"
"உடல்","பாலியல்","பாசtnse","உடpb","sexual","physical"
"உடற்பயிற்சி","பயிற்சி","பயமனiii","உடற்பமனனனத","practice","exercise"
"உடன்","எஸ்கார்ட்","எஸ் மனனள","உடஇள","escort","accompany"
"உடன்படிக்கை","ஒப்பந்த","ஒப்ககடட","உடன்பமனiii","contract","agreement"
"உடை","ரிதம்","டஐதம்","அகை","rhythm","style"
"உடைக்க","ஸ்மாஷ்","ஔஓமாஷ்","உடககடட","smash","break"
"உட்கார","நிற்க","ஐஃற்க","உடககடட","stand","sit"
"உட்செலுத்துதல்","உடல்","உடtk","உட்செலரmaathavan","body","corpse"
"உணர்ச்சி","மன","ளள","உணர மனனள","mental","emotional"
"உணர்திறன்","மென்மையான","மெனமனiii","உணர்மனiii","delicate","sensitive"
"உணர்வு","உணர்வை","உணரனனச","உணரனனச","impression","feeling"
"உணவகம்","பப்","ஒட்","உணவதனனக","pub","restaurant"
"உணவு","உணவு","உணrw","உணbo","food","meal"
"உண்மையாக","விசுவாசமுள்ள","விசுவமனனனத","உண்மனனனத","loyal","faithful"
"உண்மையான","உண்மை","உணரசை","உண்மனiii","TRUE","real"
"உண்மையில்","உண்மையில்","உண்மனiii","உண்மனனனத","actually","really"
"உதவி","ஆதரவு","ஆதநலம","உதஇட","support","assistance"
"உதவியாளர்","செயலாளர்","செயசtnse","உதவிமனiii","secretary","assistant"
"உதவு","உதவி","உதku","உதசந","help","assist"
"உத்வேகம்","ஊக்கமளிக்கும்","ஊக்கமள மனனள","உத்சtnse","inspire","inspiration"
"உப்புத்தூடு","டாக்ஸி","டாக்mu","உப்பரtnse","taxi","limousine"
"உயரம்","மாட்சிமை","டஸனட்சிமை","உயமதத","majesty","highness"
"உயரம்","எடை","உதை","உயமதத","weight","height"
"உயர்","குறைந்த","குமனனனத","உயvn","low","high"
"உயிரியல்","வேதியியல்","வேதரtnse","உயிரtnse","chemistry","biology"
"உயிரியல்","இரசாயன","இரசககடட","உயிரtnse","chemical","biological"
"உயிரினம்","மான்ஸ்டர்","மானசtnse","உயரtnse","monster","creature"
"உயிர் பிழைக்க","நேரடி","னறரடி","உயிர்ரmaathavan","live","survive"
"உரிமையாளர்","சொத்து","சொத்xk","உரிம மனனள","property","owner"
"உலகம்","சர்வதேச","சர்மjpg","உலழனத","international","world"
"உலகளாவிய","தேசிய","wgசிய","உலகளமனனனத","national","global"
"உலோக","இரும்பு","இர மனனள","உலله","iron","metal"
"உளவியல்","உடற்கூறியல்","உடற்கசtnse","உளவககடட","anatomy","psychology"
"உளவியல்","மருத்துவம்","மருதமனiii","உளவககடட","medical","psychological"
"உள்ளடக்கம்","கொண்டிருக்கும்","கொண்டரmaathavan","உள்ளடரmaathavan","contain","content"
"உள்ளத்தை புண்படுத்து","அவமதிப்பு","அவமதரtnse","உள்ளத்தை ரshrikarsan","insult","offend"
"உள்ளுணர்வு","உள்ளுணர்வு","உள்ளசtnse","உள்ளரtnse","instinct","intuition"
"உள்ளூர்","பிராந்திய","பிரசtnse","உளமனனனத","regional","local"
"உள்ளே","வெளியே","ளனளியே","உளநதே","outside","inside"
"உறுதி","உறுதிப்படுத்தல்","உறுதிப்ரmaathavan","உறதசி","confirmation","confirm"
"உறுதியை","தைரியம்","தைரtnse","உறமனiii","courage","determination"
"உறுப்பு","காரணி","iqரணி","உறமனனனத","factor","element"
"உறைய","உருகும்","உரசtnse","உறyl","melt","freeze"
"உற்சாகமாக","பெருமை","பெருஈற","உற்சரtnse","proud","excited"
"உற்பத்தி","தொழிற்சாலை","இனனனழிற்சாலை","உற்ரtnse","factory","production"
"உற்பத்தி","உருவாக்கு","உருரtnse","உற்ரtnse","create","produce"
"ஊசி","டோஸ்","டோbi","edி","dose","injection"
"ஊழல்","வதந்திகள்","வதந்சtnse","ஊழbl","gossip","scandal"
"எஃகு","கான்கிரீட்","பலனனன்கிரீட்","எஃஏற","concrete","steel"
"எக்ஸ்பிரஸ்","விவரிக்க","விவரtnse","எக்ஸமனiii","describe","express"
"எங்காவது","மற்ற இடங்களில்","மற்ற இடரmaathavan","எங்சtnse","elsewhere","somewhere"
"எச்ஐவி","எய்ட்ஸ்","எயசtnse","எசதனனன","aids","hiv"
"எச்சரிக்கை","எச்சரிக்கை","எச்சரtnse","எச்சரtnse","alert","alarm"
"எண்ணம்","பாரோன்","பாரோபந","எணககடட","baron","countess"
"எண்ணம்","நோக்கம்","நோ மனனள","எணககடட","purpose","intention"
"எண்ணெய்","நிலக்கரி","நிலசtnse","எணமனiii","coal","oil"
"எதிர்க்க","எதிர்ப்பு","எதிரtnse","எதிரtnse","resistance","resist"
"எதிர்பாராத விதமாக","திடீரென்று","சபனடீரென்று","எதிர்பாரரmaathavan","suddenly","unexpectedly"
"எதிர்பார்ப்பு","காத்திரு","ரபஃத்திரு","எதிர்ரmaathavan","wait","expect"
"எதிர்ப்பாளர்","எதிரியின்","எதி மனனள","எதிர் மனனள","enemy","opponent"
"எதிர்மறை","நேர்மறை","நேரtnse","எதிரtnse","positive","negative"
"எபிசோடை","தொடர்","அனடர்","எபசtnse","series","episode"
"எப்போதும்","இல்லை","இலலபை","எப்மனனனத","never","ever"
"எரிபொருள்","எரிவாயு","எரமனiii","எரி மனனள","gas","fuel"
"எலி","சுட்டி","சுட்ஊன","நணி","mouse","rat"
"எழுது","படி","வரி","எழசசு","read","write"
"எழுதுதல்","படித்தல்","படிரtnse","எழு மனனள","reading","writing"
"எழுத்தாளர்","கவிஞர்","கவமனனக","எழுத மனனள","poet","writer"
"எளிய","வெறுமனே","வெ மனனள","எளஈக","simply","simple"
"எறும்பு","தேனீ","தேகஹ","எற மனனள","bee","ant"
"என்றென்றும்","நித்திய","நிசtnse","என்றமனனனத","eternal","forever"
"எஸ்கேப்","தப்பி","தபபமி","எஸ மனனள","flee","escape"
"ஏதாவது","எதுவும் இல்லை","எதுவுரmaathavan","ஏதவதயம","nothing","something"
"ஏமாற்றம்","ஆச்சரியம்","ஆச்சமனiii","ஏமாசtnse","surprise","disappointment"
"ஏரி","நதி","எணி","யனி","river","lake"
"ஏலியன்","ufo","யஈo","ஏலமனனக","ufo","alien"
"ஏவுகணை","ராக்கெட்","அடனக்கெட்","ஏவககடட","rocket","missile"
"ஏற்பாடு","ஏற்பாடு","ஏறரtnse","ஏறமனiii","arrange","organize"
"ஏற்றுக்கொள்ளுங்கள்","மறு","இரு","ஏற்றுக்கரmaathavan","refuse","accept"
"ஒப்புதல்","அனுமதி","அனமjpg","ஒப்ரtnse","permission","approval"
"ஒப்புதல்","ஒப்புக் கொள்ளுங்கள்","ஒப்புக் ரshrikarsan","ஒப்ரtnse","admit","confess"
"ஒலி","சத்தம்","சதவதயம","prி","noise","sound"
"ஒலிவாங்கி","புகைப்பட கருவி","புகைப்ரmaathavan","ஒலி மனனள","camera","microphone"
"ஒழுங்கு","கட்டளை","கடகதயல","ஒழசtnse","command","order"
"ஒளி","இருள்","இரவக்","inி","darkness","light"
"ஓட்கா","விஸ்கி","gxஸ்கி","ஓடதலா","whiskey","vodka"
"ஓநாய்","தாங்க","fwங்க","சஐாய்","bear","wolf"
"ஓவியர்","கலைஞர்","கலசனனத","ஓவமனனய","artist","painter"
"ஃப்யூஜிடிவ்","அகதிகள்","அகதஜனனன","ஃப்யமனனனத","refugee","fugitive"
"கச்சேரி","சுற்றுலா","பணனற்றுலா","கசமனனனத","tour","concert"
"கடத்தப்படுதல்","கடத்தல்","கடதககடட","கடத்தப்ரmaathavan","kidnap","abduct"
"கடந்த","முதல்","pzதல்","கடயலய","first","last"
"கடந்த","எதிர்கால","எதிரtnse","கடயலய","future","past"
"கடமை","பொறுப்பு","ககனறுப்பு","கடயஜ","responsibility","duty"
"கடல்","கடல்","கடkt","கடbx","sea","ocean"
"கடவுச்சீட்டு","டிக்கெட்","எனஃக்கெட்","கடவுசசtnse","ticket","passport"
"கடவுச்சொல்","குறியீடு","மரஃறியீடு","கடவுசtnse","code","password"
"கடற்கரை","கடற்கரை","கடறயனனம","கடறரனனச","beach","coast"
"கடற்படை","மரண்","மரநஸ","கடறகதயல","marine","navy"
"கடற்படை","கடற்படை","கடறகனனர","கடறகதயல","naval","fleet"
"கடன்","கடன்","கடhz","கடஇட","credit","loan"
"கடிதம்","டெலிகிராம்","இனனனலிகிராம்","கடகதயல","telegram","letter"
"கடினமான","கடினமான","கடிமனனய","பனஃனமான","tough","hard"
"கடை","கடை","தரை","தரை","shop","store"
"கட்சி","வரவேற்பு","வரவமனனனத","கடமபி","reception","party"
"கட்டட வடிவமைப்பாளர்","பொறியாளர்","பொறமனiii","கட்டட வடிவரshrikarsan","engineer","architect"
"கட்டிடம்","கோபுரம்","கோசtnse","கட்ரtnse","tower","building"
"கட்டியெழுப்ப","கட்டுமான","கட் மனனள","கட்டிமனனனத","construction","build"
"கட்டு","கட்டுதல்","கட் மனனள","கடஙகு","bind","tie"
"கட்டைவிரல்","விரல்","௦௦ரல்","கட்டசtnse","finger","thumb"
"கணக்கிட","எண்ண","எணkt","கணகமனனக","count","calculate"
"கணிதம்","இயற்பியல்","இயற்மனனனத","கணவதயம","physics","mathematics"
"கணினி","மென்பொருள்","ஜகனனன்பொருள்","கணணடி","software","computer"
"கண்கவர்","பரபரப்பான","பரபரபரmaathavan","கண்ஜனனன","sensational","spectacular"
"கண்காட்சி","கேலரி","ஊயலரி","கண்ரtnse","gallery","exhibition"
"கண்காணிக்க","திரை","pqரை","கண்கசtnse","screen","monitor"
"கண்டுபிடிக்க","தேடல்","wbடல்","கண்டுமனனனத","search","find"
"கண்ணாடி","பிரதிபலிப்பு","பிரதிசtnse","கண மனனள","reflection","mirror"
"கதவு","ஜன்னல்","ஜன்னஉர","கதää","window","door"
"கதிர்வீச்சு","மாசு","மாஇர","கதிரமனனனத","contamination","radiation"
"கத்தி","வாள்","ஶரள்","கதமரி","sword","knife"
"கப்பலோட்டி","பைரேட்","பைரேஆவ","கப்பசtnse","pirate","sailor"
"கப்பல்","பணிப்பெண்","பணி மனனள","கபயனனர","crew","ship"
"கம்பளம்","தரை","கடை","கம்தனனய","floor","carpet"
"கம்பி","கேபிள்","கேபிஏத","கமகமி","cable","wire"
"கம்யூனிஸ்ட்","இனவெறி","இனவனனத","கம்யமனiii","racist","communist"
"கயிறு","சங்கிலி","சஙசtnse","கயடஸு","chain","rope"
"கருப்பு","வெள்ளை","வெள்ie","கரமனனனத","white","black"
"கருவி","கருவி","கரயயி","கரவயி","tool","instrument"
"கர்ப்பம்","பிறப்பு","பி மனனள","கர்மனனனத","birth","pregnancy"
"கர்னல்","பொது","பொlg","கர்னஅந","general","colonel"
"கலவையை","இணை","சபை","கலவனனத","combination","mixture"
"கல்","பாறை","பாbc","பத்","rock","stone"
"கல்லறை","கல்லறை","கலறனனம","கலரனனச","grave","cemetery"
"கல்லீரல்","சிறுநீரக","சிறரtnse","கல்சtnse","kidney","liver"
"கல்வி","சுகாதார","சுமனiii","கலவலி","health","education"
"கவசம்","கவசமாக","கவசதனனய","கவஹனய","shield","armor"
"கவலை","அக்கறை","அகககடட","கவஆஷ","concern","worry"
"கவிதை","உரை","அடை","கவவபை","text","poem"
"கவ்பாய்","ரோடியோ","ரோடிகஅ","கவ மனனள","rodeo","cowboy"
"கழித்தல்","பிளஸ்","dqளஸ்","கழிமனனனத","plus","minus"
"கழுத்து","தொண்டை","தொண்றஞ","கழசtnse","throat","neck"
"கழுவுதல்","சுத்தமான","சுத மனனள","கழுரtnse","clean","wash"
"கற்பனை","உண்மை","உணரசை","கறவனனத","reality","fantasy"
"கனவு","நைட்மேர்","களஃட்மேர்","கனtk","nightmare","dream"
"கன்னத்தில்","உதடு","உதjs","கன்னமனiii","lip","cheek"
"காக்னிக்","ரம்","ஈர்","இஜக்னிக்","rum","cognac"
"காடு","காட்டில்","அரனட்டில்","காஓத","jungle","forest"
"காணாமல் போனது","இறப்பு","இறபiii","காணாரmaathavan","death","disappearance"
"காணொளி","dvd","nfd","காணொwp","dvd","video"
"காதல்","வெறுப்பு","ஆகஃறுப்பு","yfதல்","hate","love"
"காதல்","வியத்தகு","விய மனனள","yfதல்","dramatic","romantic"
"காது","கண்","வர்","காஇட","eye","ear"
"காயம்","காயம்","ohயம்","ஷதயம்","wound","injury"
"காய்ச்சல்","இருமல்","இரரனனச","காயசtnse","cough","fever"
"காரணம்","காரணம்","காரனனச","காரனனச","reason","cause"
"கார்","வாகன","ஓஊகன","காஉக","vehicle","car"
"கார்டினல்","பிஷப்","bgஷப்","மரஃர்டினல்","bishop","cardinal"
"கார்டெல்","மாஃபியா","மாமனனனத","பணனர்டெல்","mafia","cartel"
"கார்ப்பரேஷன்","நிறுவனம்","எனஃறுவனம்","கார்பரtnse","company","corporation"
"காலணி","துவக்க","துதனனக","gbலணி","boot","shoe"
"காலம்","கட்டம்","கடசனனல","hzலம்","phase","period"
"காலாண்டு","அரை","நகை","ஃபஃலாண்டு","half","quarter"
"காலை","நாளை","நாஒட","காua","tomorrow","morning"
"காலை உணவு","இரவு உணவு","இரவுசtnse","கால மனனள","dinner","breakfast"
"கால்பந்து","கூடைப்பந்து","கூடைமனனனத","காலமனனனத","basketball","football"
"காற்றோட்டம்","அடைப்பான்","அடைமனனனத","காற் மனனள","valve","ventilation"
"கிங்","ராணி","ளனணி","qqங்","queen","king"
"கிட்டார்","பியானோ","பியாdm","பனஃட்டார்","piano","guitar"
"கிராமம்","முகாம்","dwகாம்","கிரtnse","camp","village"
"கிராம்","கிலோ","கிஈத","கிராஹள","kilo","gram"
"கிருயிர்","கீறல்","றடறல்","இரஃருயிர்","scratch","bruise"
"கிரேக்கம்","ரோமன்","நடமன்","கிரரtnse","roman","greek"
"கிழக்கு","மேற்கு","füற்கு","கி மனனள","west","east"
"கிறிஸ்துவர்","கத்தோலிக்க","கத்தமனiii","கிறிரtnse","catholic","christian"
"கீழே","மேல்","மேஒம","கீஅன","top","bottom"
"குடித்துவிட்டு","நிதானமான","இரஃானமான","குடிதரmaathavan","sober","drunk"
"குடும்ப பெயர்","புனைப்பெயர்","புனைசtnse","குடுமரmaathavan","nickname","surname"
"குடும்பம்","க்ளான்","pfளான்","குடமனiii","clan","family"
"குணமடைய","மீட்க","dqட்க","குணஜனனன","recover","heal"
"குதிரை","கழுதை","கழயகை","குதிkr","donkey","horse"
"குப்பை","குப்பை","குப்ணஜ","ndப்பை","trash","garbage"
"குமட்டல்","வயிற்றுப்போக்கு","வயிற்றரmaathavan","குமரtnse","diarrhea","nausea"
"குழந்தை","குழந்தை","குசtnse","கு மனனள","baby","child"
"குழந்தை பருவத்தில்","இளைஞர்","இளவதயம","குழந்தை ரmaathavan","youth","childhood"
"குழப்பம்","முத்தம்","முரtnse","குழ மனனள","kiss","hug"
"குழப்பம்","குழப்பம்","குழமனiii","குழ மனனள","chaos","confusion"
"குழாய்","பம்ப்","பமபட்","ugழாய்","pump","hose"
"குழு","லீக்","nkக்","னடழு","league","team"
"குழு","கும்பல்","குமனiii","னடழு","gang","group"
"குழு","தரகு","தரbd","னடழு","commission","committee"
"குளியலறை","மழை","இறை","குளசtnse","shower","bathroom"
"குளிர்","சூடான","qiடான","ugளிர்","hot","cold"
"குளிர்காலத்தில்","கோடைக்கால","கோடரtnse","குளிர்ரmaathavan","summer","winter"
"குறிக்கவும்","புள்ளி","ஊலள்ளி","குறி மனனள","point","indicate"
"குறிப்பிடத்தக்கது","விதிவிலக்காக","விதிவசtnse","குறிப்பிரmaathavan","exceptional","remarkable"
"குறைக்க","அதிகரி","அதககடட","குரtnse","increase","reduce"
"குற்ற உணர்வு","அப்பாவி","அபரtnse","குற்றசtnse","innocent","guilty"
"குற்றச்சாட்டு","புகார்","புகாao","குற்றரmaathavan","complaint","accusation"
"குற்றம்","பாவம்","nnவம்","குரtnse","sin","crime"
"குற்றவியல்","திருடன்","தி மனனள","குற்மனனனத","thief","criminal"
"கூடுதல்","கூடுதல்","கூமனனனத","கூரtnse","extra","additional"
"கூட்டமைப்பு","காலனி","னமலனி","கூட்மனனனத","colony","federation"
"கூல்","சூடான","qiடான","கூxv","warm","cool"
"கே","லெஸ்பியன்","லெஸ மனனள","	இ","lesbian","gay"
"கேக்","இனிப்பு","இனரtnse","கேஆஷ","dessert","cake"
"கேப்டன்","தளபதி","தளஸனட","கே மனனள","commander","captain"
"கேரேஜ்","பணிமனை","பணஜனனன","கேரேஈப","workshop","garage"
"கேலக்ஸி","பிரபஞ்சம்","பிரபரtnse","கேரtnse","universe","galaxy"
