"ta_cue","ta_target","type","cue_type","target_type","ta_cosine"
"அற்புதமான","அற்புதம்","related","word","word",NA
"கொண்டு வாருங்கள்","அனுப்பு","related","word","word",NA
"முடிவுரை","அனுமானம்","related","word","word",NA
"காற்று","ஆக்ஸிஜன்","related","word","word",NA
"மாணவர்","ஆசிரியர்","related","word","word",NA
"ஈர்க்கக்கூடிய","ஆச்சரியமாக","related","word","word",NA
"பயிற்சியாளர்","ஆட்டக்காரர்","related","word","word",NA
"இன்ஸ்பெக்டர்","ஆணையாளர்","related","word","word",NA
"யோனி","ஆண்குறி","related","word","word",NA
"ஆதாரம்","ஆதாரம்","related","word","word",NA
"கோபம்","ஆத்திரம்","related","word","word",NA
"ஆபத்தானது","ஆபத்தானது","related","word","word",NA
"இடர்","ஆபத்து","related","word","word",NA
"நத்தை","ஆமை","related","word","word",NA
"சரி","ஆம்","related","word","word",NA
"அர்செனல்","ஆயுதமே","related","word","word",NA
"பிஸ்டல்","ஆயுதம்","related","word","word",NA
"பரிசோதனை","ஆய்வு","related","word","word",NA
"காப்ஸ்யூல்","ஆய்வு","related","word","word",NA
"ஆராய்ச்சி","ஆய்வு","related","word","word",NA
"பச்சை","ஆரஞ்சு","related","word","word",NA
"தாமதமாக","ஆரம்ப","related","word","word",NA
"ஆய்வாளர்","ஆராய்ச்சிப்பான்","related","word","word",NA
"எதிர்ப்பு","ஆர்ப்பாட்டம்","related","word","word",NA
"மூலையில்","ஆலி","related","word","word",NA
"ஆலோசனை","ஆலோசனை செய்","related","word","word",NA
"பிராவோ","ஆல்பா","related","word","word",NA
"கோப்பு","ஆவணம்","related","word","word",NA
"ஆத்மா","ஆவி","related","word","word",NA
"பாத்திரம்","ஆளுமை","related","word","word",NA
"பவர்","ஆற்றல்","related","word","word",NA
"ஜாஸ்","இசை","related","word","word",NA
"பாடகர்","இசைக்கலைஞர்","related","word","word",NA
"ஆர்கெஸ்ட்ரா","இசைக்குழு","related","word","word",NA
"சரி","இடது","related","word","word",NA
"முட்டாள்","இடியட்","related","word","word",NA
"சமநிலை","இணக்கம்","related","word","word",NA
"தொடர்பு","இணைப்பு","related","word","word",NA
"அருகில்","இதுவரை","related","word","word",NA
"பயணிகள்","இயக்கி","related","word","word",NA
"தயாரிப்பாளர்","இயக்குனர்","related","word","word",NA
"தொட்டி","இயந்திரம்","related","word","word",NA
"ரோபோ","இயந்திரம்","related","word","word",NA
"பொறுமை","இரக்கம்","related","word","word",NA
"ஹீரோ","இரட்சகராக","related","word","word",NA
"ராயல்","இராச்சியம்","related","word","word",NA
"படைவீரர்","இராணுவம்","related","word","word",NA
"சிவில்","இராணுவம்","related","word","word",NA
"டுனா","இரால்","related","word","word",NA
"இடம்","இருப்பிடம்","related","word","word",NA
"நிழல்","இருள்","related","word","word",NA
"கலை","இலக்கியம்","related","word","word",NA
"சுதந்திரமாக","இலவச","related","word","word",NA
"வசந்த","இலையுதிர்","related","word","word",NA
"இருத்தல்","இல்லாதது","related","word","word",NA
"அனுபவம் இன்றி","இழிந்த","related","word","word",NA
"மோசமான","இழிந்த","related","word","word",NA
"தள்ள","இழுக்கவும்","related","word","word",NA
"பழைய","இளம்","related","word","word",NA
"இளவரசி","இளவரசன்","related","word","word",NA
"பாதிப்பு","இறந்துவிடு","related","word","word",NA
"உயிருடன்","இறந்துவிட்டது","related","word","word",NA
"இறுதி","இறுதி","related","word","word",NA
"சவப்பெட்டி","இறுதி சடங்கு","related","word","word",NA
"இறுதியாக","இறுதியில்","related","word","word",NA
"பன்றி","இறைச்சி","related","word","word",NA
"மராத்தான்","இனம்","related","word","word",NA
"வசதியான","இனிமையான","related","word","word",NA
"ஏற்கனவே","இன்னும்","related","word","word",NA
"நில","ஈ","related","word","word",NA
"முரண்","ஈரகரமான","related","word","word",NA
"உலர்ந்த","ஈரமான","related","word","word",NA
"முகஸ்துதி","ஈர்க்க","related","word","word",NA
"கவனம்","ஈர்க்கும்","related","word","word",NA
"குரல்","உச்சரிப்பு","related","word","word",NA
"பாலியல்","உடல்","related","word","word",NA
"பயிற்சி","உடற்பயிற்சி","related","word","word",NA
"எஸ்கார்ட்","உடன்","related","word","word",NA
"ஒப்பந்த","உடன்படிக்கை","related","word","word",NA
"ரிதம்","உடை","related","word","word",NA
"ஸ்மாஷ்","உடைக்க","related","word","word",NA
"நிற்க","உட்கார","related","word","word",NA
"உடல்","உட்செலுத்துதல்","related","word","word",NA
"மன","உணர்ச்சி","related","word","word",NA
"மென்மையான","உணர்திறன்","related","word","word",NA
"உணர்வை","உணர்வு","related","word","word",NA
"பப்","உணவகம்","related","word","word",NA
"உணவு","உணவு","related","word","word",NA
"விசுவாசமுள்ள","உண்மையாக","related","word","word",NA
"உண்மை","உண்மையான","related","word","word",NA
"உண்மையில்","உண்மையில்","related","word","word",NA
"ஆதரவு","உதவி","related","word","word",NA
"செயலாளர்","உதவியாளர்","related","word","word",NA
"உதவி","உதவு","related","word","word",NA
"ஊக்கமளிக்கும்","உத்வேகம்","related","word","word",NA
"டாக்ஸி","உப்புத்தூடு","related","word","word",NA
"மாட்சிமை","உயரம்","related","word","word",NA
"எடை","உயரம்","related","word","word",NA
"குறைந்த","உயர்","related","word","word",NA
"வேதியியல்","உயிரியல்","related","word","word",NA
"இரசாயன","உயிரியல்","related","word","word",NA
"மான்ஸ்டர்","உயிரினம்","related","word","word",NA
"நேரடி","உயிர் பிழைக்க","related","word","word",NA
"சொத்து","உரிமையாளர்","related","word","word",NA
"சர்வதேச","உலகம்","related","word","word",NA
"தேசிய","உலகளாவிய","related","word","word",NA
"இரும்பு","உலோக","related","word","word",NA
"உடற்கூறியல்","உளவியல்","related","word","word",NA
"மருத்துவம்","உளவியல்","related","word","word",NA
"கொண்டிருக்கும்","உள்ளடக்கம்","related","word","word",NA
"அவமதிப்பு","உள்ளத்தை புண்படுத்து","related","word","word",NA
"உள்ளுணர்வு","உள்ளுணர்வு","related","word","word",NA
"பிராந்திய","உள்ளூர்","related","word","word",NA
"வெளியே","உள்ளே","related","word","word",NA
"உறுதிப்படுத்தல்","உறுதி","related","word","word",NA
"தைரியம்","உறுதியை","related","word","word",NA
"காரணி","உறுப்பு","related","word","word",NA
"உருகும்","உறைய","related","word","word",NA
"பெருமை","உற்சாகமாக","related","word","word",NA
"தொழிற்சாலை","உற்பத்தி","related","word","word",NA
"உருவாக்கு","உற்பத்தி","related","word","word",NA
"டோஸ்","ஊசி","related","word","word",NA
"வதந்திகள்","ஊழல்","related","word","word",NA
"கான்கிரீட்","எஃகு","related","word","word",NA
"விவரிக்க","எக்ஸ்பிரஸ்","related","word","word",NA
"மற்ற இடங்களில்","எங்காவது","related","word","word",NA
"எய்ட்ஸ்","எச்ஐவி","related","word","word",NA
"எச்சரிக்கை","எச்சரிக்கை","related","word","word",NA
"பாரோன்","எண்ணம்","related","word","word",NA
"நோக்கம்","எண்ணம்","related","word","word",NA
"நிலக்கரி","எண்ணெய்","related","word","word",NA
"எதிர்ப்பு","எதிர்க்க","related","word","word",NA
"திடீரென்று","எதிர்பாராத விதமாக","related","word","word",NA
"காத்திரு","எதிர்பார்ப்பு","related","word","word",NA
"எதிரியின்","எதிர்ப்பாளர்","related","word","word",NA
"நேர்மறை","எதிர்மறை","related","word","word",NA
"தொடர்","எபிசோடை","related","word","word",NA
"இல்லை","எப்போதும்","related","word","word",NA
"எரிவாயு","எரிபொருள்","related","word","word",NA
"சுட்டி","எலி","related","word","word",NA
"படி","எழுது","related","word","word",NA
"படித்தல்","எழுதுதல்","related","word","word",NA
"கவிஞர்","எழுத்தாளர்","related","word","word",NA
"வெறுமனே","எளிய","related","word","word",NA
"தேனீ","எறும்பு","related","word","word",NA
"நித்திய","என்றென்றும்","related","word","word",NA
"தப்பி","எஸ்கேப்","related","word","word",NA
"எதுவும் இல்லை","ஏதாவது","related","word","word",NA
"ஆச்சரியம்","ஏமாற்றம்","related","word","word",NA
"நதி","ஏரி","related","word","word",NA
"ufo","ஏலியன்","related","word","word",NA
"ராக்கெட்","ஏவுகணை","related","word","word",NA
"ஏற்பாடு","ஏற்பாடு","related","word","word",NA
"மறு","ஏற்றுக்கொள்ளுங்கள்","related","word","word",NA
"அனுமதி","ஒப்புதல்","related","word","word",NA
"ஒப்புக் கொள்ளுங்கள்","ஒப்புதல்","related","word","word",NA
"சத்தம்","ஒலி","related","word","word",NA
"புகைப்பட கருவி","ஒலிவாங்கி","related","word","word",NA
"கட்டளை","ஒழுங்கு","related","word","word",NA
"இருள்","ஒளி","related","word","word",NA
"விஸ்கி","ஓட்கா","related","word","word",NA
"தாங்க","ஓநாய்","related","word","word",NA
"கலைஞர்","ஓவியர்","related","word","word",NA
"அகதிகள்","ஃப்யூஜிடிவ்","related","word","word",NA
"சுற்றுலா","கச்சேரி","related","word","word",NA
"கடத்தல்","கடத்தப்படுதல்","related","word","word",NA
"முதல்","கடந்த","related","word","word",NA
"எதிர்கால","கடந்த","related","word","word",NA
"பொறுப்பு","கடமை","related","word","word",NA
"கடல்","கடல்","related","word","word",NA
"டிக்கெட்","கடவுச்சீட்டு","related","word","word",NA
"குறியீடு","கடவுச்சொல்","related","word","word",NA
"கடற்கரை","கடற்கரை","related","word","word",NA
"மரண்","கடற்படை","related","word","word",NA
"கடற்படை","கடற்படை","related","word","word",NA
"கடன்","கடன்","related","word","word",NA
"டெலிகிராம்","கடிதம்","related","word","word",NA
"கடினமான","கடினமான","related","word","word",NA
"கடை","கடை","related","word","word",NA
"வரவேற்பு","கட்சி","related","word","word",NA
"பொறியாளர்","கட்டட வடிவமைப்பாளர்","related","word","word",NA
"கோபுரம்","கட்டிடம்","related","word","word",NA
"கட்டுமான","கட்டியெழுப்ப","related","word","word",NA
"கட்டுதல்","கட்டு","related","word","word",NA
"விரல்","கட்டைவிரல்","related","word","word",NA
"எண்ண","கணக்கிட","related","word","word",NA
"இயற்பியல்","கணிதம்","related","word","word",NA
"மென்பொருள்","கணினி","related","word","word",NA
"பரபரப்பான","கண்கவர்","related","word","word",NA
"கேலரி","கண்காட்சி","related","word","word",NA
"திரை","கண்காணிக்க","related","word","word",NA
"தேடல்","கண்டுபிடிக்க","related","word","word",NA
"பிரதிபலிப்பு","கண்ணாடி","related","word","word",NA
"ஜன்னல்","கதவு","related","word","word",NA
"மாசு","கதிர்வீச்சு","related","word","word",NA
"வாள்","கத்தி","related","word","word",NA
"பைரேட்","கப்பலோட்டி","related","word","word",NA
"பணிப்பெண்","கப்பல்","related","word","word",NA
"தரை","கம்பளம்","related","word","word",NA
"கேபிள்","கம்பி","related","word","word",NA
"இனவெறி","கம்யூனிஸ்ட்","related","word","word",NA
"சங்கிலி","கயிறு","related","word","word",NA
"வெள்ளை","கருப்பு","related","word","word",NA
"கருவி","கருவி","related","word","word",NA
"பிறப்பு","கர்ப்பம்","related","word","word",NA
"பொது","கர்னல்","related","word","word",NA
"இணை","கலவையை","related","word","word",NA
"பாறை","கல்","related","word","word",NA
"கல்லறை","கல்லறை","related","word","word",NA
"சிறுநீரக","கல்லீரல்","related","word","word",NA
"சுகாதார","கல்வி","related","word","word",NA
"கவசமாக","கவசம்","related","word","word",NA
"அக்கறை","கவலை","related","word","word",NA
"உரை","கவிதை","related","word","word",NA
"ரோடியோ","கவ்பாய்","related","word","word",NA
"பிளஸ்","கழித்தல்","related","word","word",NA
"தொண்டை","கழுத்து","related","word","word",NA
"சுத்தமான","கழுவுதல்","related","word","word",NA
"உண்மை","கற்பனை","related","word","word",NA
"நைட்மேர்","கனவு","related","word","word",NA
"உதடு","கன்னத்தில்","related","word","word",NA
"ரம்","காக்னிக்","related","word","word",NA
"காட்டில்","காடு","related","word","word",NA
"இறப்பு","காணாமல் போனது","related","word","word",NA
"dvd","காணொளி","related","word","word",NA
"வெறுப்பு","காதல்","related","word","word",NA
"வியத்தகு","காதல்","related","word","word",NA
"கண்","காது","related","word","word",NA
"காயம்","காயம்","related","word","word",NA
"இருமல்","காய்ச்சல்","related","word","word",NA
"காரணம்","காரணம்","related","word","word",NA
"வாகன","கார்","related","word","word",NA
"பிஷப்","கார்டினல்","related","word","word",NA
"மாஃபியா","கார்டெல்","related","word","word",NA
"நிறுவனம்","கார்ப்பரேஷன்","related","word","word",NA
"துவக்க","காலணி","related","word","word",NA
"கட்டம்","காலம்","related","word","word",NA
"அரை","காலாண்டு","related","word","word",NA
"நாளை","காலை","related","word","word",NA
"இரவு உணவு","காலை உணவு","related","word","word",NA
"கூடைப்பந்து","கால்பந்து","related","word","word",NA
"அடைப்பான்","காற்றோட்டம்","related","word","word",NA
"ராணி","கிங்","related","word","word",NA
"பியானோ","கிட்டார்","related","word","word",NA
"முகாம்","கிராமம்","related","word","word",NA
"கிலோ","கிராம்","related","word","word",NA
"கீறல்","கிருயிர்","related","word","word",NA
"ரோமன்","கிரேக்கம்","related","word","word",NA
"மேற்கு","கிழக்கு","related","word","word",NA
"கத்தோலிக்க","கிறிஸ்துவர்","related","word","word",NA
"மேல்","கீழே","related","word","word",NA
"நிதானமான","குடித்துவிட்டு","related","word","word",NA
"புனைப்பெயர்","குடும்ப பெயர்","related","word","word",NA
"க்ளான்","குடும்பம்","related","word","word",NA
"மீட்க","குணமடைய","related","word","word",NA
"கழுதை","குதிரை","related","word","word",NA
"குப்பை","குப்பை","related","word","word",NA
"வயிற்றுப்போக்கு","குமட்டல்","related","word","word",NA
"குழந்தை","குழந்தை","related","word","word",NA
"இளைஞர்","குழந்தை பருவத்தில்","related","word","word",NA
"முத்தம்","குழப்பம்","related","word","word",NA
"குழப்பம்","குழப்பம்","related","word","word",NA
"பம்ப்","குழாய்","related","word","word",NA
"லீக்","குழு","related","word","word",NA
"கும்பல்","குழு","related","word","word",NA
"தரகு","குழு","related","word","word",NA
"மழை","குளியலறை","related","word","word",NA
"சூடான","குளிர்","related","word","word",NA
"கோடைக்கால","குளிர்காலத்தில்","related","word","word",NA
"புள்ளி","குறிக்கவும்","related","word","word",NA
"விதிவிலக்காக","குறிப்பிடத்தக்கது","related","word","word",NA
"அதிகரி","குறைக்க","related","word","word",NA
"அப்பாவி","குற்ற உணர்வு","related","word","word",NA
"புகார்","குற்றச்சாட்டு","related","word","word",NA
"பாவம்","குற்றம்","related","word","word",NA
"திருடன்","குற்றவியல்","related","word","word",NA
"கூடுதல்","கூடுதல்","related","word","word",NA
"காலனி","கூட்டமைப்பு","related","word","word",NA
"சூடான","கூல்","related","word","word",NA
"லெஸ்பியன்","கே","related","word","word",NA
"இனிப்பு","கேக்","related","word","word",NA
"தளபதி","கேப்டன்","related","word","word",NA
"பணிமனை","கேரேஜ்","related","word","word",NA
"பிரபஞ்சம்","கேலக்ஸி","related","word","word",NA
"கேள்வி","கேள்","related","word","word",NA
"கேளுங்கள்","கேள்","related","word","word",NA
"கை","கை","related","word","word",NA
"துணி","கைக்குட்டை","related","word","word",NA
"பணயக்கைதிகள்","கைதி","related","word","word",NA
"தண்டிக்கவும்","கைது செய்","related","word","word",NA
"கட்டுப்பாடு","கையாளுதல்","related","word","word",NA
"முத்திரை","கையொப்பம்","related","word","word",NA
"டிஎன்ஏ","கைரேகை","related","word","word",NA
"விட்டு","கைவிட","related","word","word",NA
"சலுகை","கொடு","related","word","word",NA
"தீய","கொடுமை","related","word","word",NA
"மிருகத்தனமான","கொடூரமான","related","word","word",NA
"கோப்பை","கொட்டைவடி நீர்","related","word","word",NA
"குரங்கு","கொரில்லா","related","word","word",NA
"தற்கொலை","கொலை","related","word","word",NA
"கொலையாளி","கொலைகாரன்","related","word","word",NA
"கூலிப்படை","கொலையாளி","related","word","word",NA
"விஷம்","கொல்லுங்கள்","related","word","word",NA
"திருட்டு","கொள்ளை","related","word","word",NA
"அரண்மனை","கோட்டை","related","word","word",NA
"கருத்து","கோட்பாடு","related","word","word",NA
"பொறாமை","கோபம்","related","word","word",NA
"பெருமை","கௌரவம்","related","word","word",NA
"சகோதரி","சகோதரன்","related","word","word",NA
"சட்டவிரோதமாக","சட்ட","related","word","word",NA
"போர்","சண்டை","related","word","word",NA
"பார்க்க","சந்திக்க","related","word","word",NA
"மாநாடு","சந்தித்தல்","related","word","word",NA
"சந்தேகம்","சந்தேக","related","word","word",NA
"திருப்தி","சந்தோஷமாக","related","word","word",NA
"வெறும்","சமீபத்தில்","related","word","word",NA
"சமூகம்","சமூக","related","word","word",NA
"ஓய்வூதியம்","சம்பளம்","related","word","word",NA
"சுமை","சரக்கு","related","word","word",NA
"தவறு","சரி","related","word","word",NA
"காசோலை","சரிபார்க்கவும்","related","word","word",NA
"ஏற்றதாக","சரியான","related","word","word",NA
"வீழ்ச்சி","சரிவு","related","word","word",NA
"பூங்காவில்","சர்க்கஸ்","related","word","word",NA
"முரண்பாடு","சர்ச்சை","related","word","word",NA
"இயக்கி","சவாரி","related","word","word",NA
"தடையாக","சவால்","related","word","word",NA
"நிலா","சன்","related","word","word",NA
"மன்னிக்கவும்","சாக்குப்போக்கு","related","word","word",NA
"சர்க்கரை","சாக்லேட்","related","word","word",NA
"சாட்சி","சாட்சியம்","related","word","word",NA
"சிப்","சாதனம்","related","word","word",NA
"தாழ்மையுடன்","சாதாரண","related","word","word",NA
"ஆரோக்கியமான","சாதாரண","related","word","word",NA
"வாய்ப்பு","சாத்தியம்","related","word","word",NA
"உணவு","சாப்பிடுங்கள்","related","word","word",NA
"நிஞ்ஜா","சாமுராய்","related","word","word",NA
"போட்டி","சாம்பியன்ஷிப்","related","word","word",NA
"மது","சாம்பெய்ன்","related","word","word",NA
"இரவு","சாயங்காலம்","related","word","word",NA
"சூப்","சாலட்","related","word","word",NA
"பால்","சாறு","related","word","word",NA
"கிரீம்","சாஸ்","related","word","word",NA
"புகையிலை","சிகரெட்","related","word","word",NA
"புகை","சிகார்","related","word","word",NA
"சிகிச்சை","சிகிச்சை","related","word","word",NA
"மருத்துவமனை","சிகிச்சையகம்","related","word","word",NA
"அதிர்வெண்","சிக்னல்","related","word","word",NA
"டிராகன்","சிங்கம்","related","word","word",NA
"உபகரணங்கள்","சித்தப்படுத்து","related","word","word",NA
"துன்பம்","சித்திரவதை","related","word","word",NA
"கைவிட","சிப்பி","related","word","word",NA
"கிரீடம்","சிம்மாசனமாக","related","word","word",NA
"புன்னகை","சிரிக்க","related","word","word",NA
"ஊசி","சிரிஞ்ச்","related","word","word",NA
"நினைவுச்சின்னம்","சிலை","related","word","word",NA
"நங்கூரம்","சில்","related","word","word",NA
"சிறிது","சிறிய","related","word","word",NA
"இரத்தம்","சிறுநீர்","related","word","word",NA
"பெண்","சிறுவன்","related","word","word",NA
"செல்","சிறையில்","related","word","word",NA
"தண்டம்","சிறைவாசம்","related","word","word",NA
"கொடி","சின்னமாக","related","word","word",NA
"பேட்ஜ்","சீருடை","related","word","word",NA
"ரொட்டி","சீஸ்","related","word","word",NA
"தீ","சுடர்","related","word","word",NA
"குச்சி","சுத்தி","related","word","word",NA
"பிடிவாதமாக இருந்தது","சுயநலமாக","related","word","word",NA
"பாலம்","சுரங்கப்பாதை","related","word","word",NA
"சாத்தியமற்றது","சுலபம்","related","word","word",NA
"உற்சாகமான","சுவாரசியமான","related","word","word",NA
"சக்","சுவைக்க","related","word","word",NA
"திரும்ப","சுழலு","related","word","word",NA
"ஆரம்","சுற்றளவு","related","word","word",NA
"சுற்று","சுற்றி","related","word","word",NA
"சுருக்கமாக","சூட்கேஸ்","related","word","word",NA
"சந்திரன்","சூரிய","related","word","word",NA
"சூறாவளி","சூறாவளி","related","word","word",NA
"சாபம்","சூனியக்காரி","related","word","word",NA
"சமைக்கவும்","செஃப்","related","word","word",NA
"பொதுவான","செந்தரம்","related","word","word",NA
"நிகழ்ச்சி","செயல்திறன்","related","word","word",NA
"தூண்டுதல்","செயல்படுத்த","related","word","word",NA
"செயல்படு","செயல்பாட்டு","related","word","word",NA
"செயல்முறை","செயல்முறை","related","word","word",NA
"இயற்கை","செயற்கை","related","word","word",NA
"செய்ய","செய்","related","word","word",NA
"எச்சரிக்கை","செய்தி","related","word","word",NA
"சேனல்","செய்திகள்","related","word","word",NA
"கட்டுரை","செய்தித்தாள்","related","word","word",NA
"கழிவு","செலவு","related","word","word",NA
"புதையல்","செல்வம்","related","word","word",NA
"குருட்டு","செவிடு","related","word","word",NA
"திங்கட்கிழமை","செவ்வாய்க்கிழமை","related","word","word",NA
"கவனம்","செறிவு","related","word","word",NA
"பாராளுமன்றம்","செனட்","related","word","word",NA
"கவர்னர்","செனட்டர்","related","word","word",NA
"மைல்","சென்டிமீட்டர்","related","word","word",NA
"திரட்டுதல்","சேகரிக்க","related","word","word",NA
"ரேடார்","சேட்டிலைட்","related","word","word",NA
"சர்ச்","சேப்பல்","related","word","word",NA
"மீட்பு","சேமிக்கவும்","related","word","word",NA
"சொல்","சொல்லுங்கள்","related","word","word",NA
"கருத்தரங்கு","சொற்பொழிவு","related","word","word",NA
"அகராதி","சொற்றொடர்","related","word","word",NA
"சோகமாக","சோக","related","word","word",NA
"எலுமிச்சை பாணம்","சோடா","related","word","word",NA
"சோதனை","சோதனை","related","word","word",NA
"கேட்கும்","சோதனை","related","word","word",NA
"சனிக்கிழமை","ஞாயிற்றுக்கிழமை","related","word","word",NA
"அறுவை சிகிச்சை","டாக்டர்","related","word","word",NA
"பவுண்டு","டாலர்","related","word","word",NA
"சூரிய அஸ்தமனம்","டான்","related","word","word",NA
"பிங்","டிங்","related","word","word",NA
"நவம்பர்","டிசம்பர்","related","word","word",NA
"ஜீப்","டிரக்","related","word","word",NA
"சென்சார்","டிரான்ஸ்மிட்டர்","related","word","word",NA
"இரட்டிப்பாகும்","டிரிபிள்","related","word","word",NA
"டீனேஜ்","டீனேஜர்","related","word","word",NA
"அறை","டெக்","related","word","word",NA
"தேவதை","டெவில்","related","word","word",NA
"கோல்ஃப்","டென்னிஸ்","related","word","word",NA
"detonator","டைமர்","related","word","word",NA
"gunpowder","டைனமைட்","related","word","word",NA
"தகவல்கள்","தகவல்","related","word","word",NA
"அறிக்கை","தகவல் தெரிவிக்கவும்","related","word","word",NA
"மூல","தகவல்தொடர்பு","related","word","word",NA
"தகுதி","தகுதிவாய்ந்த","related","word","word",NA
"உருளைக்கிழங்கு","தக்காளி","related","word","word",NA
"புகலிடம்","தங்குமிடம்","related","word","word",NA
"நூற்றாண்டு","தசாப்தம்","related","word","word",NA
"நரம்பு","தசை","related","word","word",NA
"மெல்லிய","தடித்த","related","word","word",NA
"மயக்கமடைதல்","தடுப்பூசி","related","word","word",NA
"தடை செய்யப்பட்டது","தடை","related","word","word",NA
"பவுல்","தட்டு","related","word","word",NA
"மின்னல்","தண்டர்","related","word","word",NA
"பிராண்ட்","தயாரிப்பு","related","word","word",NA
"தயாராக","தயார் செய்","related","word","word",NA
"அளவு","தரம்","related","word","word",NA
"பெயர்","தலைப்பு","related","word","word",NA
"அடித்தளம்","தலைமையகம்","related","word","word",NA
"உறுப்பினர்","தலைவர்","related","word","word",NA
"பயங்கரமான","தவழும்","related","word","word",NA
"பிழை","தவறு","related","word","word",NA
"சிறப்பு","தனித்துவமான","related","word","word",NA
"நபர்","தனிப்பட்ட","related","word","word",NA
"தனியாக","தனியாக","related","word","word",NA
"தனியார்","தனியுரிமை","related","word","word",NA
"பட்டினி","தாகம்","related","word","word",NA
"பாதிக்கப்பட்டவர்","தாக்குதல்","related","word","word",NA
"படையெடுப்பு","தாக்குதல்","related","word","word",NA
"hair","தாடி","related","word","word",NA
"கருணையுடன்","தாராள","related","word","word",NA
"கன்சர்வேடிவ்","தாராளமயமாக்கல்","related","word","word",NA
"ஏற","தாவி செல்லவும்","related","word","word",NA
"தொண்டர்","தானாகவே","related","word","word",NA
"தோல்","திசு","related","word","word",NA
"தயாரிப்பு","திட்டமிடல்","related","word","word",NA
"திரவ","திரவ","related","word","word",NA
"நிச்சயதார்த்தம்","திருமண","related","word","word",NA
"ஒற்றை","திருமணம்","related","word","word",NA
"விவாகரத்து","திருமணம்","related","word","word",NA
"மீண்டும்","திரும்ப","related","word","word",NA
"ஆபாச வீடியோக்கள்","திரைப்பட","related","word","word",NA
"சினிமா","திரையரங்கம்","related","word","word",NA
"சாத்தியமான","திறமை","related","word","word",NA
"பயனுள்ளதாக","திறமையான","related","word","word",NA
"திறன் கொண்டது","திறன்","related","word","word",NA
"விஷயம்","துகள்","related","word","word",NA
"துண்டு","துண்டு","related","word","word",NA
"போர்வை","துண்டு துண்டாக","related","word","word",NA
"முகவர்","துப்பறியும்","related","word","word",NA
"துப்பாக்கி","துப்பாக்கி","related","word","word",NA
"வறுமை","துயரத்தின்","related","word","word",NA
