"es_target","es_cue","es_fake_cue","es_fake_target","en_cue","en_target"
"arma","pistola","pistaña","ardi","pistol","weapon"
"armada","marina","maries","alteda","marine","navy"
"armadura","blindaje","blindail","armascra","shield","armor"
"armario","gabinete","gabiatte","alterio","cabinet","closet"
"armonía","equilibrio","equilibrow","armosea","balance","harmony"
"arquitecto","ingeniero","ingenigho","arisitecto","engineer","architect"
"arrestar","castigar","castobar","arrestri","punish","arrest"
"arriba","abajo","abzco","arripc","down","up"
"arrogancia","ignorancia","sínorancia","arhagancia","ignorance","arrogance"
"arsenal","arsenal","arianal","arconal","arsenal","armory"
"artería","vena","vese","cenería","vein","artery"
"artificial","natural","ostural","artitacial","natural","artificial"
"artillería","caballería","cepillaría","artistiría","cavalry","artillery"
"asesinato","suicidio","blicidio","asesinfao","suicide","murder"
"asesino","mercenario","marginario","asveino","mercenary","assassin"
"asesino","asesino","ndesino","asveino","killer","murderer"
"asistencia","apoyo","aplbo","asistempia","support","assistance"
"asistente","secretario","reclutario","gristente","secretary","assistant"
"asqueroso","sucio","orcio","asombraso","dirty","disgusting"
"asqueroso","desagradable","desigualable","asombraso","nasty","filthy"
"asustar","susto","testo","ilustar","scare","frighten"
"ataque","invasión","inpusión","athaue","invasion","attack"
"atlántico","pacífico","hackeaco","patentaco","pacific","atlantic"
"atmósfera","ambiente","afeitate","athysfera","environment","atmosphere"
"atraer","atención","imención","ateler","attention","attract"
"atrapar","tomar","totor","atrasgr","grab","catch"
"audiencia","multitud","multitán","rediencia","crowd","audience"
"ausencia","presencia","prescrcia","pasencia","presence","absence"
"autobús","entrenar","entrenía","autonís","train","bus"
"autoridad","jurisdicción","jurieficción","autoriend","jurisdiction","authority"
"ayer","hoy dia","hoshdia","rfer","today","yesterday"
"ayudar","ayuda","ayrna","ayolar","help","assist"
"azul","marrón","marroj","azds","brown","blue"
"bala","calibre","caliane","dola","caliber","bullet"
"banda","orquesta","oratesta","baona","orchestra","band"
"baño","ducha","nicha","badi","shower","bathroom"
"bar","club","clúl","rir","club","bar"
"barato","caro","canz","baraba","expensive","cheap"
"barba","cabello","carillo","bauza","hair","beard"
"basura","basura","bansra","bathra","trash","garbage"
"batalla","guerra","alerra","bataina","war","battle"
"batallón","regimiento","relemiento","batalley","regiment","battalion"
"béisbol","estadio","esordio","bétabol","stadium","baseball"
"belleza","encanto","entento","belliga","charm","beauty"
"billetera","bolsillo","bolslalo","billchera","pocket","wallet"
"billón","millón","milley","billey","million","billion"
"biología","química","castica","oralogía","chemistry","biology"
"biológico","químico","atraico","biológicoexistencia","chemical","biological"
"boda","compromiso","compromigr","kada","engagement","wedding"
"bolígrafo","papel","pasol","hocigrafo","paper","pen"
"bolsa","caja","caye","tiasa","box","bag"
"borracho","sobrio","sondio","borracué","sober","drunk"
"bosque","selva","señea","boriue","jungle","forest"
"bostón","washington","wahicieron","custón","washington","boston"
"bote","submarino","suavarino","alte","submarine","boat"
"botella","vidrio","audrio","bohilla","glass","bottle"
"brazo","mano","mast","brrto","hand","arm"
"brillante","brillar","bromlar","bromlante","shine","bright"
"broma","truco","trfeo","brila","trick","joke"
"bruja","maldición","malgieron","brepa","curse","witch"
"caballo","burro","butto","emballo","donkey","horse"
"cable","cable","tible","tible","cable","wire"
"cadáver","cuerpo","cuadpo","caltver","body","corpse"
"café","taza","tagg","capá","cup","coffee"
"calcular","contar","coscar","calcagar","count","calculate"
"calendario","calendario","patentario","arrendario","calendar","schedule"
"calidad","cantidad","caucidad","cantdad","quantity","quality"
"calle","avenida","avensia","caque","avenue","street"
"callejón","esquina","esqulla","calladón","corner","alley"
"cama","sofá","soqi","orma","sofa","bed"
"camarera","mesero","mechro","camatara","waiter","waitress"
"camión","todoterreno","vidoterreno","caibón","jeep","truck"
"camioneta","remolque","remorzue","camimaeta","trailer","van"
"campeonato","competencia","compidencia","campulnato","competition","championship"
"cámping","picnic","picnur","cámpeog","picnic","camping"
"campo de batalla","arena","arima","campo deyoatalla","arena","battlefield"
"cáncer","tumor","osmor","aincer","tumor","cancer"
"canción","álbum","awbum","cataión","album","song"
"capacidad","capacidad","cambcidad","cambcidad","capacity","ability"
"capilla","iglesia","pulesia","capiina","church","chapel"
"capitalismo","anarquía","anovquía","capitalicao","anarchy","capitalism"
"capitán","comandante","coinndante","capixin","commander","captain"
"cardenal","obispo","obisit","cardened","bishop","cardinal"
"carga","carga","caoma","cauna","load","cargo"
"carne","cerdo","cesco","caloe","pork","meat"
"carretera","camino","camicr","carrchera","road","highway"
"cartel","mafia","mapoa","cartir","mafia","cartel"
"casado","único","deuco","yunado","single","married"
"casi nunca","de vez en cuando","denzez en cuando","casiheunca","occasionally","rarely"
"castillo","palacio","pastcio","cardillo","palace","castle"
"cebo","trampa","trtopa","ceni","trap","bait"
"cebolla","ajo","nso","cesella","garlic","onion"
"celestial","cielo","anelo","celembial","sky","heavenly"
"cementerio","tumba","tuzca","cesanterio","grave","cemetery"
"centenar","mil","eal","centabar","thousand","hundred"
"centímetro","milla","miina","cecrímetro","mile","centimeter"
"cerdo","vaca","vade","celoo","cow","pig"
"cerebral","cerebro","cereoso","cereugal","brain","cerebral"
"ceremonia","ritual","netual","ceretenia","ritual","ceremony"
"cerrado","bloqueado","bordinado","sollado","locked","closed"
"cerrar","abierto","abbarto","cerrid","open","close"
"cerrar con llave","llave","llile","cerraríaon llave","key","lock"
"cerveza","bebida","beckda","cetaeza","drink","beer"
"champán","vino","vitr","chammon","wine","champagne"
"chantaje","soborno","soterno","chandeje","bribe","blackmail"
"chaqueta","camisa","pagása","chumueta","shirt","jacket"
"chico","niña","nior","acoco","girl","boy"
"chocolate","azúcar","azurar","chocidate","sugar","chocolate"
"cicatriz","tatuaje","tatuíae","cicatrdí","tattoo","scar"
"ciencia","tecnología","vencelogía","geencia","technology","science"
"científico","genio","gergo","contagioco","genius","scientist"
"cierre","apertura","ltertura","cicare","opening","closure"
"cigarrillo","tabaco","tavico","ingarrillo","tobacco","cigarette"
"cigarro","humo","huev","ciblrro","smoke","cigar"
"cínico","ingenuo","ingeggo","marico","naive","cynical"
"circo","zoo","túo","citio","zoo","circus"
"cirugía","funcionar","vincionar","cirutia","operate","surgery"
"ciudad","capital","capilll","rjudad","capital","city"
"civilización","cultura","cuneura","disgustación","culture","civilization"
"clásico","típico","espoco","clonaco","typical","classic"
"clave","código","catago","clime","code","password"
"cliente","paciente","ticiente","shiente","patient","client"
"clínica","hospital","hoomital","castica","hospital","clinic"
"coartada","motivo","gativo","porteada","motive","alibi"
"coche","vehículo","venaculo","inche","vehicle","car"
"cocina","horno","hoizo","cocili","oven","stove"
"cocinero","cocinar","pecinar","comanero","cook","chef"
"cofre","estómago","estóurgo","cozie","stomach","chest"
"colapso","otoño","otiao","colazio","fall","collapse"
"colegio","clase","jarse","coleejo","class","school"
"collar","anillo","annilo","nillar","ring","necklace"
"combatiente","campeón","camptén","combmpiente","champion","fighter"
"come","alimento","alejento","coer","feed","eat"
"comedia","drama","alama","comeama","drama","comedy"
"comerciante","comercial","comercell","comercronte","commercial","merchant"
"comida","bocadillo","bolldillo","corada","snack","lunch"
"comida","comida","comiti","corada","food","meal"
"comité","comisión","comicrón","comias","commission","committee"
"compasión","paciencia","ticiencia","coltasión","patience","compassion"
"completamente","absolutamente","autolavamente","contactamente","absolutely","completely"
"completo","total","uctal","coelleto","total","complete"
"completo","vacío","vadao","coelleto","empty","full"
"comprador","vendedor","vendréor","atascador","seller","buyer"
"comprender","darse cuenta de","darse cuentauwe","compconder","realize","understand"
"computadora","software","soltasre","comproadora","software","computer"
"comunicación","navegación","afeitación","sintegración","navigation","communication"
"comunidad","sociedad","socisoad","comultdad","society","community"
"comunista","racista","ranasta","comultsta","racist","communist"
"con frecuencia","a veces","dåveces","cofofrecuencia","sometimes","often"
"coñac","ron","exn","deñac","rum","cognac"
"concentrado","enfocar","entácar","comprendedo","focus","concentrate"
"concierto","excursión","sucursión","concieazo","tour","concert"
"condesa","barón","bascn","lencesa","baron","countess"
"conductor","pasajero","pasanoro","conducmar","passenger","driver"
"conejo","zorro","skrro","coneva","fox","rabbit"
"conexión","contacto","contnito","coneazón","contact","connection"
"conferencia","seminario","espinorio","couberencia","seminar","lecture"
"confesar","admitir","admibar","confiaar","admit","confess"
"confianza","respeto","respmbo","confesnza","respect","confidence"
"confirmar","confirmación","comportación","confesmar","confirmation","confirm"
"confusión","caos","caqu","configión","chaos","confusion"
"congelar","derretir","derrfrir","congelig","melt","freeze"
"conocimiento","experiencia","expeemencia","conocillento","experience","knowledge"
"constantemente","siempre","siemdee","construyemente","always","constantly"
"constitución","ley","quy","consattución","law","constitution"
"construir","construcción","constrorción","constromr","construction","build"
"contenido","contiene","coeniene","contensio","contain","content"
"contento","satisfecho","satipiecho","contenen","satisfied","happy"
"contrario","opuesto","truesto","colgarrio","opposite","contrary"
"convenio","contrato","contraba","convencá","contract","agreement"
"convento","orfanato","ordynato","cortento","orphanage","convent"
"copiar","original","origrtal","copiro","original","copy"
"corbata","unir","brir","congata","bind","tie"
"coronel","general","coneral","hironel","general","colonel"
"corporación","empresa","implisa","carburación","company","corporation"
"correcto","incorrecto","incorrasto","corrasto","wrong","correct"
"corte","lágrima","zigrima","coome","tear","cut"
"costa","playa","pldea","comua","beach","coast"
"cráneo","hueso","hurgo","críoeo","bone","skull"
"creatividad","imaginación","vindicación","crirtividad","imagination","creativity"
"creer","confianza","confiagua","crnor","trust","believe"
"criada","niñera","niñete","andada","nanny","maid"
"criatura","monstruo","monstrix","criarcra","monster","creature"
"crimen","pecado","cupado","crpren","sin","crime"
"crisis","situación","azotación","crpais","situation","crisis"
"cristiano","católico","chiflaco","crisatano","catholic","christian"
"cruel","brutal","brabal","crkal","brutal","cruel"
"crueldad","mal","ril","crueblad","evil","cruelty"
"cuatro","tercera","tensera","cumero","third","fourth"
"cuatro","dos","fis","cumero","two","four"
"cuchillo","espada","anuada","cucheslo","sword","knife"
"cuello","garganta","gacianta","cupilo","throat","neck"
"cuerda","cadena","catona","cuadda","chain","rope"
"culpable","inocente","inosertó","cuotable","innocent","guilty"
"cumpleaños","aniversario","enrevesario","cumpletóos","anniversary","birthday"
"curar","recuperar","recupeler","cuerr","recover","heal"
"danza","bailarín","bailarum","gonza","dancer","dance"
"dar","oferta","igerta","pur","offer","give"
"de verdad","realmente","radimente","decterdad","actually","really"
"deber","responsabilidad","responsamplidad","alber","responsibility","duty"
"débil","fuerte","rderte","détel","strong","weak"
"década","siglo","siómo","remada","century","decade"
"decepción","sorpresa","porquesa","devopción","surprise","disappointment"
"decir","decir","debor","debor","say","tell"
"declaración","comentario","orientario","rechazación","comment","statement"
"defender","proteger","protnser","dentnder","protect","defend"
"definición","concepto","concorto","degeneción","concept","definition"
"dejar","permitir","permucir","deslr","allow","let"
"delicioso","sabroso","libreso","aplicarso","tasty","delicious"
"delincuente","ladrón","lautón","deliosuente","thief","criminal"
"democracia","libertad","libertió","demottacia","freedom","democracy"
"demonio","ángel","oxgel","demoeso","angel","devil"
"demostración","protesta","pranesta","arrastración","protest","demonstration"
"departamento","casa","aristocráticasa","aspartamento","house","apartment"
"deporte","pasatiempo","pasatiemit","dererte","hobby","sport"
"depredador","presa","geosa","dependedor","prey","predator"
"depresión","estrés","estreñ","devuesión","stress","depression"
"desafío","obstáculo","jostáculo","desamoró","obstacle","challenge"
"desagradable","incómodo","inuymodo","desigualable","uncomfortable","unpleasant"
"desaparición","muerte","ejerte","desinserción","death","disappearance"
"desarrollo","progreso","prurreso","desareando","progress","development"
"desayuno","cena","tona","desarían","dinner","breakfast"
"descanso","aplastar","aplaciar","descgaso","smash","break"
"desconocido","anónimo","anomimo","desconochio","anonymous","unknown"
"descripción","perfil","peneil","descrivaión","profile","description"
"deseo","deseo","dekie","dekie","desire","wish"
"desgracia","desgraciado","disfrazardo","degíracia","unfortunate","misfortune"
"desnudo","desnudo","dereudo","depoudo","nude","naked"
"despido","resignación","resfriación","desplao","resignation","dismissal"
"destino","destino","destrlo","destrlo","fate","destiny"
"destrucción","creación","jenación","destrubeión","creation","destruction"
"detective","agente","udente","detectrie","agent","detective"
"detener","evitar","evtear","detetor","prevent","stop"
"determinación","coraje","copije","cuestionación","courage","determination"
"devoción","fidelidad","érdelidad","deyación","fidelity","devotion"
"dibujar","pintura","nantura","dibuffr","paint","draw"
"diciembre","noviembre","noisembre","dicizobre","november","december"
"diente","clavo","clrso","trente","nail","tooth"
"diferente","similar","apmilar","discrente","similar","different"
"dignidad","orgullo","figullo","dieñidad","pride","dignity"
"dinamita","pólvora","póteora","difumita","gunpowder","dynamite"
"dinero","dinero en efectivo","dineroacn efectivo","monero","cash","money"
"directamente","directo","direduo","dirigíamente","direct","directly"
"director","productor","producmar","direllor","producer","director"
"discusión","conversacion","convertucion","dimpusión","conversation","discussion"
"disparo","disparo","disprno","dispnio","shot","shoot"
"dispositivo","chip","chex","dispospeivo","chip","device"
"disputa","conflicto","confrocto","disptea","conflict","dispute"
"distrito","condado","predado","distarto","county","district"
"división","unidad","egidad","divillón","unit","division"
"documento","expediente","expetrente","doanmento","file","document"
"dólar","libra","licía","lmlar","pound","dollar"
"dolor","sufrimiento","sufreíiento","dobir","suffering","pain"
"domingo","sábado","antado","domitoo","Saturday","Sunday"
"donación","caridad","cariend","debeción","charity","donation"
"dormir","descanso","descanez","donvir","rest","sleep"
"droga","alcohol","alcousl","drtúa","alcohol","drug"
"dueño","inquilino","inquspino","ileño","tenant","landlord"
"dueño","propiedad","propjodad","ileño","property","owner"
"duro","difícil","disecil","fero","tough","hard"
"edificio","torre","tonle","nsificio","tower","building"
"educación","salud","sadvd","dictación","health","education"
"efecto","influencia","infllincia","zuecto","influence","effect"
"eficaz","útil","cgil","pricaz","useful","effective"
"egoísta","testarudo","testargóo","egtásta","stubborn","selfish"
"ejecución","colgante","cozcante","ejecnsión","hanging","execution"
"ejercicio","práctica","precioca","páercicio","practice","exercise"
"ejército","legión","legias","ejpócito","legion","army"
"el embarazo","nacimiento","nacillento","el embaryao","birth","pregnancy"
"el plastico","cemento","cesanto","el plastate","cement","plastic"
"elección","campaña","camprua","elecerón","campaign","election"
"electricidad","actual","acchal","electrbridad","current","electricity"
"eléctrico","magnético","talentoco","alámbrico","magnetic","electric"
"elegante","de moda","denvoda","elreante","fashionable","elegant"
"elemento","factor","pector","elfrento","factor","element"
"elevado","bajo","bage","huesado","low","high"
"embarcacion","tripulación","temporación","embasmacion","crew","ship"
"emergencia","urgente","urnante","emocgencia","urgent","emergency"
"emocionado","orgulloso","degollaso","eliminardo","proud","excited"
"emocional","mental","mentso","emerional","mental","emotional"
"emperador","imperial","imperibi","puñarador","imperial","emperor"
"empresario","millonario","maquinario","estrenario","millionaire","entrepreneur"
"en el interior","fuera de","fuercude","en el insertar","outside","inside"
"encantador","atractivo","atpectivo","arrancador","attractive","charming"
"encantador","agradable","agradamae","arrancador","nice","lovely"
"encontrar","búsqueda","búsqjida","endantrar","search","find"
"energía","energía","eneríoa","enerlga","power","energy"
"enfadado","celoso","becaso","amparado","jealous","angry"
"enfermedad","gripe","grede","enfeogedad","flu","disease"
"enfermo","enfermo","enfelgo","enfesio","ill","sick"
"enorme","grande","asande","entame","big","huge"
"ensalada","sopa","soun","pensasda","soup","salad"
"enseñar","aprender","sirender","ensenor","learn","teach"
"enterrar","cavar","novar","enterrid","dig","bury"
"entrada","salida","polida","rrogada","exit","entrance"
"enviar","traer","trdur","enañar","bring","send"
"epidemia","plaga","pluna","epsmemia","plague","epidemic"
"episodio","serie","seeve","aqisodio","series","episode"
"equipar","equipo","equiit","equicir","equipment","equip"
"equipo","liga","desga","eqlupo","league","team"
"erección","orgasmo","orgacyo","eralción","orgasm","erection"
"error","error","erhur","eryar","error","mistake"
"escándalo","chisme","chgime","eserndalo","gossip","scandal"
"escapar","huir","etir","escarir","flee","escape"
"esconder","cubrir","cuunir","esrender","cover","hide"
"escribe","leer","rver","escrlte","read","write"
"escribiendo","leyendo","lejando","descubriedo","reading","writing"
"escritor","poeta","pouna","esenitor","poet","writer"
"escuchar","escucha","escuula","escumpar","listen","hear"
"espaguetis","lasaña","lasaiy","espaguetec","lasagna","spaghetti"
"especialista","experto","expeazo","escocialista","expert","specialist"
"espectacular","sensacional","seapacional","espebeacular","sensational","spectacular"
"espejo","reflexión","redaexión","espegu","reflection","mirror"
"espeluznante","aterrador","atascador","espelutiante","scary","creepy"
"espíritu","alma","aluc","eshuritu","soul","spirit"
"esposa","esposo","topaso","senasa","husband","wife"
"estación","plataforma","platafasma","pagación","platform","station"
"estado","federal","auderal","almado","federal","state"
"estatua","monumento","monuesnto","estaxia","monument","statue"
"este","oeste","gaate","esterrumpiendo","west","east"
"estilo","ritmo","rirno","estidi","rhythm","style"
"estrategia","plan","luan","estrattiia","plan","strategy"
"estrella","celebridad","celeicidad","estragla","celebrity","star"
"estructura","pirámide","pilemide","estrucarra","pyramid","structure"
"estudio","investigación","sacrificación","espidio","research","study"
"estupendo","excelente","nocelente","escopendo","excellent","great"
"estupidez","locura","pecura","eslapidez","madness","stupidity"
"estúpido","ingenuo","ingeggo","essapido","naïve","stupid"
"evaluación","observación","sesperación","escalación","observation","evaluation"
"evento","fenómeno","fenótono","inento","phenomenon","event"
"exagerar","subestimar","iniestimar","examoran","underestimate","exaggerate"
"excusa","perdonar","perderar","ducasa","forgive","excuse"
"explosión","terremoto","terropoto","exegosión","earthquake","explosion"
"explosivo","bomba","bozca","exegosivo","bomb","explosive"
"explotar","explotar","explrgar","exagotar","burst","explode"
"exposición","galería","obliría","exposideón","gallery","exhibition"
"externo","interno","inteizo","caterno","internal","external"
"extraño","raro","proporcionararo","extrceo","unusual","strange"
"extraterrestre","ovni","etni","extratcarestre","ufo","alien"
"extremo","culo","talo","extrpso","ass","butt"
"fácil","imposible","imposicie","nucil","impossible","easy"
"falla","éxito","añito","wella","success","failure"
"falso","falso","fanko","fanzo","fake","FALSE"
"familia","clan","nian","fanflia","clan","family"
"famoso","popular","posplar","rajaso","popular","famous"
"fantasía","realidad","regridad","fantunía","reality","fantasy"
"fantástico","maravilloso","manipularso","fastidioco","wonderful","fantastic"
"fatal","mortal","moinal","faldl","deadly","fatal"
"fax","correo","corrag","tox","mail","fax"
"fe","esperar","espeler","mó","hope","faith"
"federación","colonia","colomba","aldebación","colony","federation"
"feo","aficionado","ferroviado","uco","digusting","ugly"
"festival","carnaval","cantaval","festrbal","carnival","festival"
"fiebre","tos","crs","fijore","cough","fever"
"fiel","leal","lejí","fiir","loyal","faithful"
"fiesta","navidad","nazodad","figuta","christmas","holiday"
"fiesta","recepción","recersión","figuta","reception","party"
"finalizar","final","ficil","ficilizar","end","finish"
"finalmente","finalmente","birlamente","insulmente","finally","eventually"
"financiación","financialmente","denunciasmente","denunciación","financially","financing"
"financiero","bancario","bañarrio","ficinciero","banking","financial"
"firma","sello","collo","fimía","stamp","signature"
"firmar","formulario","circulario","fidiar","form","sign"
"fiscal","abogado","aliñado","fiscre","lawyer","prosecutor"
"físico","sexual","secaal","oblico","sexual","physical"
"flor","planta","plerta","nior","plant","flower"
"flota","naval","naril","flana","naval","fleet"
"fondo","cima","cipi","forgo","top","bottom"
"fondos","presupuesto","presomuesto","kindos","budget","funding"
"foto","imagen","impuen","lato","picture","photo"
"fotógrafo","autógrafo","ortigrafo","fiargrafo","autograph","photographer"
"fracaso","victoria","vincoria","fresaso","victory","defeat"
"francés","inglés","inmsés","franajs","english","french"
"francotirador","tirador","entedor","traumatizador","shooter","sniper"
"frase","diccionario","mariconario","oísse","dictionary","phrase"
"fraude","conspiración","compararción","frjade","conspiracy","fraud"
"fresa","plátano","plhwano","sursa","banana","strawberry"
"frio","cálido","sllido","freu","warm","cool"
"frío","caliente","cargente","frmó","hot","cold"
"fruta","manzana","pinzana","ituta","apple","fruit"
"fuego","fuego","fuhro","fukao","fire","flame"
"fuertemente","pesado","yunado","guarremente","heavy","heavily"
"fuertemente","firmemente","fílmimente","guarremente","firmly","strongly"
"fuerza","fuerza","rderza","fuerde","strength","force"
"fugitivo","refugiado","refrigedo","fualtivo","refugee","fugitive"
"funcional","operacional","operisional","vincional","operational","functional"
"funeral","ataúd","atrnd","gineral","coffin","funeral"
"furia","enojo","reajo","edria","anger","rage"
"fútbol","baloncesto","baloncilto","kmtbol","basketball","football"
"galaxia","universo","rtiverso","galapea","universe","galaxy"
"ganador","perdedor","perdedng","tivador","loser","winner"
"ganar","ganar","annar","annar","gain","win"
"garaje","taller","taener","curaje","workshop","garage"
"gasolina","gas","eis","gañálina","gas","fuel"
"gastar","desperdicio","desperzacio","nestar","waste","spend"
"gato","perro","pegao","epto","dog","cat"
"gay","lésbico","sértico","oey","lesbian","gay"
"generalmente","normalmente","nordesmente","mejorasmente","normally","usually"
"generalmente","naturalmente","inaguramente","mejorasmente","naturally","generally"
"generoso","compasivo","compasero","temeraso","compassionate","generous"
"gente","población","tostación","sante","population","people"
"girar","girar","lorar","lorar","turn","rotate"
"global","nacional","nacicial","glctal","national","global"
"gloria","glorioso","coloraso","oboria","glorious","glory"
"gobierno","administración","estructuración","fabierno","administration","government"
"gorila","mono","moal","goeela","monkey","gorilla"
"gorra","lentes","rantes","gocha","glasses","cap"
"grabación","registro","registen","rrogación","record","recording"
"gracias","agradecido","agandecido","grosias","grateful","thank"
"gracioso","ingenioso","integraso","grabarso","witty","funny"
"graduado","diploma","taploma","humorado","diploma","graduate"
"gramo","kilo","balo","gredo","kilo","gram"
"gratis","libremente","sabromente","grwhis","freely","free"
"gratitud","hospitalidad","hospitididad","gratitzó","hospitality","gratitude"
"griego","romano","romate","grdago","roman","greek"
"grueso","delgado","sertado","atueso","thin","thick"
"grupo","pandilla","pandrela","grgao","gang","group"
"guerrero","soldado","sertado","guerresb","soldier","warrior"
"guitarra","piano","meano","gutearra","piano","guitar"
"habitación","habitación","quitarción","sangración","room","bedroom"
"habla a","número","xxmero","hablnwa","number","address"
"hablar","hablar","hautar","hanzar","talk","speak"
"hace poco","sólo","cúlo","hacefioco","just","recently"
"hacer","hacer","incer","incer","make","do"
"hambriento","cansado","huesado","hambalento","tired","hungry"
"hamburguesa","sandwich","sandwitt","hemorrágisa","sandwich","hamburger"
"harina","grano","muano","rorina","grain","flour"
"helicóptero","ambulancia","ambuvencia","helicórrero","ambulance","helicopter"
"heredar","herencia","agrencia","irredar","heritage","inherit"
"hermano","amigo","deugo","adrmano","dude","bro"
"hermano","hermana","atrmana","adrmano","sister","brother"
"hermosa","bonito","bosqto","mediasa","pretty","beautiful"
"heroína","cocaína","cocaeya","herocoa","cocaine","heroin"
"hidrógeno","carbón","caarón","hiimógeno","carbon","hydrogen"
"hígado","riñón","neñón","arcado","kidney","liver"
"hijo","hija","noja","kajo","daughter","son"
"hombre murciélago","superhombre","curarhombre","hombreísurciélago","superman","batman"
"honestidad","lealtad","lenatad","hogistidad","loyalty","honesty"
"honesto","bueno","burgo","hogasto","decent","honest"
"honor","privilegio","prudilegio","hortr","privilege","honor"
"hormiga","abeja","abuca","sonriga","bee","ant"
"horrible","terrible","terrorle","horrorle","terrible","horrible"
"huelga","golpear","gondear","humaga","hit","strike"
"huella dactilar","adn","ãºn","huellalvactilar","dna","fingerprint"
"huevo","nido","fldo","clevo","nest","egg"
"humano","hombre","holore","humate","man","human"
"hundir","baño","balc","zandir","toilet","sink"
"idiota","tonto","tocao","idsata","fool","idiot"
"imperio","dinastía","dinagaía","impeolo","dynasty","empire"
"importancia","sentido","seucido","importandea","meaning","importance"
"importante","valioso","baleaso","impoonante","valuable","important"
"impotente","indefenso","indentnso","imaltente","helpless","powerless"
"impresionar","halagar","telagar","represionar","flatter","impress"
"incapaz","incapacidad","infipacidad","incantz","inability","unable"
"increíble","impresionante","impresiopinte","incitable","impressive","amazing"
"indicar","punto","fanto","indimir","point","indicate"
"individual","persona","petrona","indivisaal","person","individual"
"inesperadamente","de repente","delyepente","desesperarmente","suddenly","unexpectedly"
"infancia","juventud","juventeo","inyencia","youth","childhood"
"infección","virus","vises","infeudión","virus","infection"
"infierno","paraíso","párpaso","inalerno","paradise","hell"
"información","datos","daves","encargación","data","information"
"informante","fuente","njente","incrrmante","source","informant"
"informar","informe","incurme","informie","report","inform"
"ingreso","ganancia","sonancia","invoeso","profit","income"
"injusto","injusticia","inmosticia","inmosto","injustice","unfair"
"insecto","araña","argra","insemao","spider","insect"
"inspección","examen","ídamen","inquección","examination","inspection"
"inspiración","inspirar","insplvar","sesperación","inspire","inspiration"
