"es_cue","es_target","type","cue_type","target_type","es_cosine"
"compromiso","boda","related","word","word",0.497518892203597
"papel","bolígrafo","related","word","word",0.447785275322872
"caja","bolsa","related","word","word",0.569150023163845
"sobrio","borracho","related","word","word",0.622144152010722
"selva","bosque","related","word","word",0.589306502324384
"washington","bostón","related","word","word",0.312698386468039
"submarino","bote","related","word","word",0.602820064680665
"vidrio","botella","related","word","word",0.307324396937402
"mano","brazo","related","word","word",0.564797217630015
"brillar","brillante","related","word","word",0.434293644689663
"truco","broma","related","word","word",0.354219492267514
"maldición","bruja","related","word","word",0.511349207244081
"burro","caballo","related","word","word",0.647193928200804
"cable","cable","related","word","word",1
"cuerpo","cadáver","related","word","word",0.713269587266527
"taza","café","related","word","word",0.749065186691768
"contar","calcular","related","word","word",0.261953621408037
"calendario","calendario","related","word","word",1
"cantidad","calidad","related","word","word",0.440658694034781
"avenida","calle","related","word","word",0.669868933098732
"esquina","callejón","related","word","word",0.559054259817766
"sofá","cama","related","word","word",0.569424956124016
"mesero","camarera","related","word","word",0.646053677940773
"todoterreno","camión","related","word","word",0.598172921849078
"remolque","camioneta","related","word","word",0.601246650841197
"competencia","campeonato","related","word","word",0.515523640278785
"picnic","cámping","related","word","word",0.405001294068219
"arena","campo de batalla","related","word","word",NA
"tumor","cáncer","related","word","word",0.62444404406805
"álbum","canción","related","word","word",0.440384375296623
"capacidad","capacidad","related","word","word",1
"iglesia","capilla","related","word","word",0.739174870123907
"anarquía","capitalismo","related","word","word",0.522039243246928
"comandante","capitán","related","word","word",0.690090617385057
"obispo","cardenal","related","word","word",0.691623219196766
"carga","carga","related","word","word",1
"cerdo","carne","related","word","word",0.479990704464039
"camino","carretera","related","word","word",0.523018628249983
"mafia","cartel","related","word","word",0.329279577286342
"único","casado","related","word","word",0.105742152228707
"de vez en cuando","casi nunca","related","word","word",NA
"palacio","castillo","related","word","word",0.646014880013461
"trampa","cebo","related","word","word",0.494234883619195
"ajo","cebolla","related","word","word",0.641261167968667
"cielo","celestial","related","word","word",0.509333229639373
"tumba","cementerio","related","word","word",0.627452129047588
"mil","centenar","related","word","word",0.570030207082751
"milla","centímetro","related","word","word",0.451418801974822
"vaca","cerdo","related","word","word",0.601747794390031
"cerebro","cerebral","related","word","word",0.642203510733012
"ritual","ceremonia","related","word","word",0.529602386844501
"bloqueado","cerrado","related","word","word",0.543443397302992
"abierto","cerrar","related","word","word",0.532024340889149
"llave","cerrar con llave","related","word","word",NA
"bebida","cerveza","related","word","word",0.687186696693674
"vino","champán","related","word","word",0.513199051875737
"soborno","chantaje","related","word","word",0.61379786177599
"camisa","chaqueta","related","word","word",0.80043770638071
"niña","chico","related","word","word",0.530821965383387
"azúcar","chocolate","related","word","word",0.577957810538931
"tatuaje","cicatriz","related","word","word",0.545671817690265
"tecnología","ciencia","related","word","word",0.56649333384432
"genio","científico","related","word","word",0.457202960377324
"apertura","cierre","related","word","word",0.520773663330703
"tabaco","cigarrillo","related","word","word",0.639938382291706
"humo","cigarro","related","word","word",0.450580783923491
"ingenuo","cínico","related","word","word",0.631914738355202
"zoo","circo","related","word","word",0.507817380185301
"funcionar","cirugía","related","word","word",0.183735302744782
"capital","ciudad","related","word","word",0.510790238255118
"cultura","civilización","related","word","word",0.637276854656435
"típico","clásico","related","word","word",0.573952774653543
"código","clave","related","word","word",0.458248612627942
"paciente","cliente","related","word","word",0.501935319596689
"hospital","clínica","related","word","word",0.630396086927459
"motivo","coartada","related","word","word",0.340773152725235
"vehículo","coche","related","word","word",0.721670901179893
"horno","cocina","related","word","word",0.504510046942581
"cocinar","cocinero","related","word","word",0.515856123769633
"estómago","cofre","related","word","word",0.19302682730888
"otoño","colapso","related","word","word",0.208602367753194
"clase","colegio","related","word","word",0.382731597708222
"anillo","collar","related","word","word",0.662885540433644
"campeón","combatiente","related","word","word",0.355898335404551
"alimento","come","related","word","word",0.382938456076681
"drama","comedia","related","word","word",0.532100598464011
"comercial","comerciante","related","word","word",0.446654634388973
"bocadillo","comida","related","word","word",0.440406228751118
"comida","comida","related","word","word",1
"comisión","comité","related","word","word",0.588301055536704
"paciencia","compasión","related","word","word",0.56621033036264
"absolutamente","completamente","related","word","word",0.677747615086265
"total","completo","related","word","word",0.459234033492008
"vacío","completo","related","word","word",0.238154110733676
"vendedor","comprador","related","word","word",0.626814805577235
"darse cuenta de","comprender","related","word","word",NA
"software","computadora","related","word","word",0.565750675440473
"navegación","comunicación","related","word","word",0.470339842084473
"sociedad","comunidad","related","word","word",0.646332466358486
"racista","comunista","related","word","word",0.503635441243448
"a veces","con frecuencia","related","word","word",NA
"ron","coñac","related","word","word",0.237054753559146
"enfocar","concentrado","related","word","word",0.506264115589233
"excursión","concierto","related","word","word",0.371068484790208
"barón","condesa","related","word","word",0.49661089319104
"pasajero","conductor","related","word","word",0.57978113979633
"zorro","conejo","related","word","word",0.634896350435517
"contacto","conexión","related","word","word",0.423195132162456
"seminario","conferencia","related","word","word",0.52907514485031
"admitir","confesar","related","word","word",0.544058676498178
"respeto","confianza","related","word","word",0.489523328440889
"confirmación","confirmar","related","word","word",0.645261256793127
"caos","confusión","related","word","word",0.607204202935085
"derretir","congelar","related","word","word",0.54632941573822
"experiencia","conocimiento","related","word","word",0.472874743126907
"siempre","constantemente","related","word","word",0.522399993767506
"ley","constitución","related","word","word",0.571111603217618
"construcción","construir","related","word","word",0.649522082166134
"contiene","contenido","related","word","word",0.57587752976234
"satisfecho","contento","related","word","word",0.621954336639467
"opuesto","contrario","related","word","word",0.458294921683835
"contrato","convenio","related","word","word",0.635312483866473
"orfanato","convento","related","word","word",0.550097227554672
"original","copiar","related","word","word",0.354491344522221
"unir","corbata","related","word","word",0.154186782479815
"general","coronel","related","word","word",0.509223357658792
"empresa","corporación","related","word","word",0.717276426657364
"incorrecto","correcto","related","word","word",0.780641118456692
"lágrima","corte","related","word","word",0.118376638670432
"playa","costa","related","word","word",0.550729749517466
"hueso","cráneo","related","word","word",0.527496929688561
"imaginación","creatividad","related","word","word",0.585064582841907
"confianza","creer","related","word","word",0.265217709232129
"niñera","criada","related","word","word",0.56152853552914
"monstruo","criatura","related","word","word",0.555628490734768
"pecado","crimen","related","word","word",0.462499281922705
"situación","crisis","related","word","word",0.456858567332301
"católico","cristiano","related","word","word",0.690029478437329
"brutal","cruel","related","word","word",0.651207712322591
"mal","crueldad","related","word","word",0.217576185849932
"tercera","cuatro","related","word","word",0.325213148590953
"dos","cuatro","related","word","word",0.789947206141877
"espada","cuchillo","related","word","word",0.593222364976184
"garganta","cuello","related","word","word",0.505340261241391
"cadena","cuerda","related","word","word",0.397123043291745
"inocente","culpable","related","word","word",0.605412608478218
"aniversario","cumpleaños","related","word","word",0.729055625527983
"recuperar","curar","related","word","word",0.324286314253387
"bailarín","danza","related","word","word",0.49162224118235
"oferta","dar","related","word","word",0.113630290260446
"realmente","de verdad","related","word","word",NA
"responsabilidad","deber","related","word","word",0.47370814959637
"fuerte","débil","related","word","word",0.548053367323495
"siglo","década","related","word","word",0.57129925839259
"sorpresa","decepción","related","word","word",0.448629946005816
"decir","decir","related","word","word",1
"comentario","declaración","related","word","word",0.390225162073136
"proteger","defender","related","word","word",0.700337883236919
"concepto","definición","related","word","word",0.469834049774292
"permitir","dejar","related","word","word",0.675867619469862
"sabroso","delicioso","related","word","word",0.789884791033947
"ladrón","delincuente","related","word","word",0.607038423061819
"libertad","democracia","related","word","word",0.535661474237046
"ángel","demonio","related","word","word",0.52467252844928
"protesta","demostración","related","word","word",0.346295530925663
"casa","departamento","related","word","word",0.329368620784627
"pasatiempo","deporte","related","word","word",0.489939211014803
"presa","depredador","related","word","word",0.539849675288589
"estrés","depresión","related","word","word",0.553323640076946
"obstáculo","desafío","related","word","word",0.433958681039842
"incómodo","desagradable","related","word","word",0.548402579811553
"muerte","desaparición","related","word","word",0.464514754963105
"progreso","desarrollo","related","word","word",0.493821180179112
"cena","desayuno","related","word","word",0.657753044900143
"aplastar","descanso","related","word","word",0.12268915471389
"anónimo","desconocido","related","word","word",0.489244640746572
"perfil","descripción","related","word","word",0.480110082442745
"deseo","deseo","related","word","word",1
"desgraciado","desgracia","related","word","word",0.446816773412281
"desnudo","desnudo","related","word","word",1
"resignación","despido","related","word","word",0.317807063047366
"destino","destino","related","word","word",1
"creación","destrucción","related","word","word",0.484619367309186
"agente","detective","related","word","word",0.486087822692069
"evitar","detener","related","word","word",0.504339643990613
"coraje","determinación","related","word","word",0.598669031779136
"fidelidad","devoción","related","word","word",0.636935582283147
"pintura","dibujar","related","word","word",0.348162925476685
"noviembre","diciembre","related","word","word",0.802055126979521
"clavo","diente","related","word","word",0.402888682219576
"similar","diferente","related","word","word",0.561554117554875
"orgullo","dignidad","related","word","word",0.522209388740726
"pólvora","dinamita","related","word","word",0.544324188584182
"dinero en efectivo","dinero","related","word","word",NA
"directo","directamente","related","word","word",0.743776774043699
"productor","director","related","word","word",0.588716733072346
"conversacion","discusión","related","word","word",0.606873559763025
"disparo","disparo","related","word","word",1
"chip","dispositivo","related","word","word",0.594457520145787
"conflicto","disputa","related","word","word",0.550630292093192
"condado","distrito","related","word","word",0.552399949467936
"unidad","división","related","word","word",0.576274354294077
"expediente","documento","related","word","word",0.542342655599046
"libra","dólar","related","word","word",0.560606404126101
"sufrimiento","dolor","related","word","word",0.726357217619386
"sábado","domingo","related","word","word",0.825337306368321
"caridad","donación","related","word","word",0.573390057835889
"descanso","dormir","related","word","word",0.35153391177534
"alcohol","droga","related","word","word",0.556813019778194
"inquilino","dueño","related","word","word",0.420562648684539
"propiedad","dueño","related","word","word",0.445044712250328
"difícil","duro","related","word","word",0.558353398733072
"torre","edificio","related","word","word",0.433678449585237
"salud","educación","related","word","word",0.439859800178334
"influencia","efecto","related","word","word",0.400208908353359
"útil","eficaz","related","word","word",0.461867856370708
"testarudo","egoísta","related","word","word",0.570771251535673
"colgante","ejecución","related","word","word",0.100138912740856
"práctica","ejercicio","related","word","word",0.406861990259286
"legión","ejército","related","word","word",0.422190866580594
"nacimiento","el embarazo","related","word","word",NA
"cemento","el plastico","related","word","word",NA
"campaña","elección","related","word","word",0.399953201076551
"actual","electricidad","related","word","word",0.12617277734973
"magnético","eléctrico","related","word","word",0.507731579007246
"de moda","elegante","related","word","word",NA
"factor","elemento","related","word","word",0.483364901049987
"bajo","elevado","related","word","word",0.34609082175803
"tripulación","embarcacion","related","word","word",0.395547631963157
"urgente","emergencia","related","word","word",0.472412543075288
"orgulloso","emocionado","related","word","word",0.539332167053404
"mental","emocional","related","word","word",0.659292823870618
"imperial","emperador","related","word","word",0.535641034297918
"millonario","empresario","related","word","word",0.574980789564601
"fuera de","en el interior","related","word","word",NA
"atractivo","encantador","related","word","word",0.638117503318239
"agradable","encantador","related","word","word",0.661513643241752
"búsqueda","encontrar","related","word","word",0.401166769007196
"energía","energía","related","word","word",1
"celoso","enfadado","related","word","word",0.572579777415327
"gripe","enfermedad","related","word","word",0.600275264905231
"enfermo","enfermo","related","word","word",1
"grande","enorme","related","word","word",0.676987278261843
"sopa","ensalada","related","word","word",0.691795743021423
"aprender","enseñar","related","word","word",0.666779781078005
"cavar","enterrar","related","word","word",0.553122930644898
"salida","entrada","related","word","word",0.67037666858912
"traer","enviar","related","word","word",0.505862074034758
"plaga","epidemia","related","word","word",0.693777228101595
"serie","episodio","related","word","word",0.413849513210133
"equipo","equipar","related","word","word",0.345688489362516
"liga","equipo","related","word","word",0.424000315137996
"orgasmo","erección","related","word","word",0.54370652289518
"error","error","related","word","word",1
"chisme","escándalo","related","word","word",0.440976639669725
"huir","escapar","related","word","word",0.754979596914622
"cubrir","esconder","related","word","word",0.402747748781922
"leer","escribe","related","word","word",0.471999228747557
"leyendo","escribiendo","related","word","word",0.713198603021822
"poeta","escritor","related","word","word",0.629549505215332
"escucha","escuchar","related","word","word",0.380306673273862
"lasaña","espaguetis","related","word","word",0.592250317967013
"experto","especialista","related","word","word",0.753384192651102
"sensacional","espectacular","related","word","word",0.61482334773933
"reflexión","espejo","related","word","word",0.301407600056948
"aterrador","espeluznante","related","word","word",0.653904053132961
"alma","espíritu","related","word","word",0.55637102749595
"esposo","esposa","related","word","word",0.832539325659338
"plataforma","estación","related","word","word",0.500824207200642
"federal","estado","related","word","word",0.210725212276999
"monumento","estatua","related","word","word",0.581572120565159
"oeste","este","related","word","word",0.194140895618918
"ritmo","estilo","related","word","word",0.425050043336908
"plan","estrategia","related","word","word",0.606682868198607
"celebridad","estrella","related","word","word",0.506877987985076
"pirámide","estructura","related","word","word",0.45677309614364
"investigación","estudio","related","word","word",0.376518024845539
"excelente","estupendo","related","word","word",0.662124960004448
"locura","estupidez","related","word","word",0.682300510887962
"ingenuo","estúpido","related","word","word",0.569598522026287
"observación","evaluación","related","word","word",0.480626997777673
"fenómeno","evento","related","word","word",0.398285532931566
"subestimar","exagerar","related","word","word",0.501534761639774
"perdonar","excusa","related","word","word",0.255905218093057
"terremoto","explosión","related","word","word",0.541479007037039
"bomba","explosivo","related","word","word",0.63104008606448
"explotar","explotar","related","word","word",1
"galería","exposición","related","word","word",0.556771872285371
"interno","externo","related","word","word",0.68702076330425
"raro","extraño","related","word","word",0.834897792374755
"ovni","extraterrestre","related","word","word",0.526266016734475
"culo","extremo","related","word","word",0.184786590427861
"imposible","fácil","related","word","word",0.564602186027171
"éxito","falla","related","word","word",0.274971037553597
"falso","falso","related","word","word",1
"clan","familia","related","word","word",0.479668236354036
"popular","famoso","related","word","word",0.536389142000591
"realidad","fantasía","related","word","word",0.446882503964308
"maravilloso","fantástico","related","word","word",0.849190108149653
"mortal","fatal","related","word","word",0.463706956942314
"correo","fax","related","word","word",0.604493062335907
"esperar","fe","related","word","word",0.188604492556199
"colonia","federación","related","word","word",0.434919424848662
"aficionado","feo","related","word","word",0.148288196456683
"carnaval","festival","related","word","word",0.536343999988644
"tos","fiebre","related","word","word",0.549480200260117
"leal","fiel","related","word","word",0.781127708636964
"navidad","fiesta","related","word","word",0.441339753230541
"recepción","fiesta","related","word","word",0.499193791779453
"final","finalizar","related","word","word",0.499250680386708
"finalmente","finalmente","related","word","word",1
"financialmente","financiación","related","word","word",0.633790608248742
"bancario","financiero","related","word","word",0.590697838417099
"sello","firma","related","word","word",0.407839166420698
"formulario","firmar","related","word","word",0.538608850018031
"abogado","fiscal","related","word","word",0.552454044393976
"sexual","físico","related","word","word",0.386404176318425
"planta","flor","related","word","word",0.459323987669025
"naval","flota","related","word","word",0.416659087181849
"cima","fondo","related","word","word",0.303185117655513
"presupuesto","fondos","related","word","word",0.474244123868131
"imagen","foto","related","word","word",0.565733160447402
"autógrafo","fotógrafo","related","word","word",0.412842217628486
"victoria","fracaso","related","word","word",0.383411301707846
"inglés","francés","related","word","word",0.788074626259822
"tirador","francotirador","related","word","word",0.742032026722308
"diccionario","frase","related","word","word",0.428628778698726
"conspiración","fraude","related","word","word",0.51499859987055
"plátano","fresa","related","word","word",0.610904796071113
"cálido","frio","related","word","word",0.497289672730355
"caliente","frío","related","word","word",0.549842940279216
"manzana","fruta","related","word","word",0.573515467343364
"fuego","fuego","related","word","word",1
"pesado","fuertemente","related","word","word",0.189631587664262
"firmemente","fuertemente","related","word","word",0.620396622006763
"fuerza","fuerza","related","word","word",1
"refugiado","fugitivo","related","word","word",0.41504153150364
"operacional","funcional","related","word","word",0.448972950149153
"ataúd","funeral","related","word","word",0.503272323566404
"enojo","furia","related","word","word",0.615582726941415
"baloncesto","fútbol","related","word","word",0.854358412992347
"universo","galaxia","related","word","word",0.661703296928139
"perdedor","ganador","related","word","word",0.555227505567656
"ganar","ganar","related","word","word",1
"taller","garaje","related","word","word",0.599599274237171
"gas","gasolina","related","word","word",0.487722912614225
"desperdicio","gastar","related","word","word",0.430796078797713
"perro","gato","related","word","word",0.788936366080329
"lésbico","gay","related","word","word",0.436828700432618
"normalmente","generalmente","related","word","word",0.777732752298996
"naturalmente","generalmente","related","word","word",0.409241698194559
"compasivo","generoso","related","word","word",0.661207289341293
"población","gente","related","word","word",0.457947284571962
"girar","girar","related","word","word",1
"nacional","global","related","word","word",0.487910141338915
"glorioso","gloria","related","word","word",0.560060826945968
"administración","gobierno","related","word","word",0.584700540376012
"mono","gorila","related","word","word",0.61145220668442
"lentes","gorra","related","word","word",0.486217019958954
"registro","grabación","related","word","word",0.385209334822346
"agradecido","gracias","related","word","word",0.443641188233353
"ingenioso","gracioso","related","word","word",0.575070762985694
"diploma","graduado","related","word","word",0.530727489062093
"kilo","gramo","related","word","word",0.660697165327689
"libremente","gratis","related","word","word",0.271212003052711
"hospitalidad","gratitud","related","word","word",0.584150611202486
"romano","griego","related","word","word",0.567956542150054
"delgado","grueso","related","word","word",0.609599222585168
"pandilla","grupo","related","word","word",0.511861638823942
"soldado","guerrero","related","word","word",0.539964861512976
"piano","guitarra","related","word","word",0.690042214138568
"habitación","habitación","related","word","word",1
"número","habla a","related","word","word",NA
"hablar","hablar","related","word","word",1
"sólo","hace poco","related","word","word",NA
"hacer","hacer","related","word","word",1
"cansado","hambriento","related","word","word",0.560446418051552
"sandwich","hamburguesa","related","word","word",0.600426699207886
"grano","harina","related","word","word",0.474352364250497
"ambulancia","helicóptero","related","word","word",0.504963001654963
"herencia","heredar","related","word","word",0.569142900985714
"amigo","hermano","related","word","word",0.665913613619901
"hermana","hermano","related","word","word",0.704858833335783
"bonito","hermosa","related","word","word",0.496410832200974
"cocaína","heroína","related","word","word",0.779102610903118
"carbón","hidrógeno","related","word","word",0.435794544074322
"riñón","hígado","related","word","word",0.714956125632946
"hija","hijo","related","word","word",0.709929438396854
"superhombre","hombre murciélago","related","word","word",NA
"lealtad","honestidad","related","word","word",0.56599089675227
"bueno","honesto","related","word","word",0.214539322044633
"privilegio","honor","related","word","word",0.604315231526316
"abeja","hormiga","related","word","word",0.62515154004941
"terrible","horrible","related","word","word",0.863018144590381
"golpear","huelga","related","word","word",0.146286364431851
"adn","huella dactilar","related","word","word",NA
"nido","huevo","related","word","word",0.430620510020312
"hombre","humano","related","word","word",0.402504314033161
"baño","hundir","related","word","word",0.158152513304589
"tonto","idiota","related","word","word",0.805630668803285
"dinastía","imperio","related","word","word",0.522464107602917
"sentido","importancia","related","word","word",0.394034102825035
"valioso","importante","related","word","word",0.525675721484582
"indefenso","impotente","related","word","word",0.580961746885482
"halagar","impresionar","related","word","word",0.537290384632665
"incapacidad","incapaz","related","word","word",0.59254190184515
"impresionante","increíble","related","word","word",0.783810009033211
"punto","indicar","related","word","word",0.15673054071937
"persona","individual","related","word","word",0.248528142480284
"de repente","inesperadamente","related","word","word",NA
"juventud","infancia","related","word","word",0.525086514104741
"virus","infección","related","word","word",0.598611915759126
"paraíso","infierno","related","word","word",0.523986234234493
"datos","información","related","word","word",0.614522171955118
"fuente","informante","related","word","word",0.375671247023231
"informe","informar","related","word","word",0.514211301153592
"ganancia","ingreso","related","word","word",0.364305350021919
"injusticia","injusto","related","word","word",0.504187673365804
"araña","insecto","related","word","word",0.586213573823215
"examen","inspección","related","word","word",0.445964991144373
"inspirar","inspiración","related","word","word",0.592375213514571
"herramienta","instrumento","related","word","word",0.540966476933608
"inteligente","inteligente","related","word","word",1
"propósito","intención","related","word","word",0.496880458459055
"accidentalmente","intencionalmente","related","word","word",0.510761210461292
"tratar","intento","related","word","word",0.456817646277474
"excitante","interesante","related","word","word",0.646018757067505
"privado","intimidad","related","word","word",0.35424781183636
"personal","íntimo","related","word","word",0.389133378131089
"instinto","intuición","related","word","word",0.662242109803254
"banquero","inversor","related","word","word",0.549711189183175
"finanzas","invertir","related","word","word",0.24560171784091
"cápsula","investigacion","related","word","word",0.176289102879275
"analista","investigador","related","word","word",0.545259339635362
"examinar","investigar","related","word","word",0.595513626731521
"el verano","invierno","related","word","word",NA
"dosis","inyección","related","word","word",0.616220293588913
"ingresar","ir","related","word","word",0.36939802155243
"ironía","irónico","related","word","word",0.506690032158513
"irrazonable","irresponsable","related","word","word",0.494654261633407
"correcto","izquierda","related","word","word",0.13873911642232
"empujar","jalar","related","word","word",0.562799898495442
"aguja","jeringuilla","related","word","word",0.631306572530364
"viejo","joven","related","word","word",0.403992023332144
"diamante","joya","related","word","word",0.566429479578444
"jugar","juego","related","word","word",0.610929462898826
"corte","juez","related","word","word",0.509328757505293
"entrenador","jugador","related","word","word",0.574242286104982
"leche","jugo","related","word","word",0.558146851431878
"muñeca","juguete","related","word","word",0.409619227126273
"romeo","juliet","related","word","word",0.543819867412919
"mayor","júnior","related","word","word",0.18584721600431
"jurar","juramento","related","word","word",0.604097010426135
"venganza","justicia","related","word","word",0.534303118325095
"seguridad","la seguridad","related","word","word",NA
"rana","lagarto","related","word","word",0.496869678935555
"río","lago","related","word","word",0.744220070612836
"chupar","lamer","related","word","word",0.645886115661873
"atún","langosta","related","word","word",0.619838501693851
"pequeño","largo","related","word","word",0.252185093802744
"limpio","lavar","related","word","word",0.410150424395443
"ilegal","legal","related","word","word",0.613706671120887
"cerca","lejos","related","word","word",0.524608362124755
"continuar","león","related","word","word",0.107837561163202
"herida","lesión","related","word","word",0.560256592368881
"telegrama","letra","related","word","word",0.225623112059738
"mito","leyenda","related","word","word",0.627964605046597
"conservador","liberal","related","word","word",0.665467799733204
"biblia","libro","related","word","word",0.52718191594668
"miembro","líder","related","word","word",0.533850133405535
"taxi","limusina","related","word","word",0.595093498085015
"dulce","lindo","related","word","word",0.488451981998867
"líquido","líquido","related","word","word",1
"arte","literatura","related","word","word",0.55877289014794
"oso","lobo","related","word","word",0.658351379290241
"regional","local","related","word","word",0.363739644219622
"paranoico","loco","related","word","word",0.596306784705723
"talla","longitud","related","word","word",0.401172723716426
"oscuridad","luz","related","word","word",0.587279965810153
"magia","mago","related","word","word",0.547578059879498
"maletín","maleta","related","word","word",0.690793541787482
"bien","malo","related","word","word",0.262590782835787
"papi","mamá","related","word","word",0.739670906588207
"mañana","mañana","related","word","word",1
"bomba","manguera","related","word","word",0.332249023861106
"control","manipular","related","word","word",0.215647390928572
"cariño","manteca","related","word","word",0.219081367251465
"preservar","mantener","related","word","word",0.508278835306559
"sostener","mantenerse","related","word","word",0.35531953417484
"servicio","mantenimiento","related","word","word",0.47519210659598
"brújula","mapa","related","word","word",0.524683558270433
"ardilla","mapache","related","word","word",0.5895184200287
"robot","máquina","related","word","word",0.431458075691418
"pirata","marinero","related","word","word",0.535623829543346
"publicidad","márketing","related","word","word",0.530900523501757
"lunes","martes","related","word","word",0.84134557481526
"palo","martillo","related","word","word",0.541699561793973
"yoga","masaje","related","word","word",0.48581703312107
"tragar","masticar","related","word","word",0.61517682641174
"veneno","matar","related","word","word",0.264388508712785
"física","matemáticas","related","word","word",0.617555312904841
