"observation","duration_demographics","time_run_demographics","time_render_demographics","time_show_demographics","time_end_demographics","time_commit_demographics","timestamp_demographics","time_switch_demographics","please_tell_us_your_gender","which_year_were_you_born","please_tell_us_your_education_level","native_language","url_special_code","duration_consent","time_run_consent","time_render_consent","time_show_consent","time_end_consent","time_commit_consent","timestamp_consent","time_switch_consent","url_lab","meta_labjs_version","meta_location","meta_user_agent","meta_platform","meta_language","meta_locale","meta_time_zone","meta_timezone_offset","meta_screen_width","meta_screen_height","meta_scroll_width","meta_scroll_height","meta_window_inner_width","meta_window_inner_height","meta_device_pixel_ratio","meta_labjs_build_flavor","meta_labjs_build_commit","keep","n_trials","correct"
"3abc0",46987.1510000119,13463.900000006,13453.759,13486.649,60473.8000000119,60474.3000000119,2022-08-26 20:10:27,60488.073,"male",1974,"master","čeština",220777156342804,11423.774,1942.60000002384,1765.451,2032.226,13456,13462.900000006,2022-08-26 20:09:40,13486.649,"ZPID","20.2.4","https://psa007.psysciacc.org/cs7/?lab=ZPID&?special_code=220777156342804","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1536,864,1536,698,1536,746,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",485,0.911340206185567
"3ca12",22547.6540000238,10174.4000000358,10164.32,10180.946,32728.6000000238,32729.5,2022-08-26 18:34:56,32727.368,"female",1953,"high school","český",220771099666611,9253.35500002384,868.100000023842,149.269,915.745,10169.1000000238,10173.8000000119,2022-08-26 18:34:34,10180.946,"ZPID","20.2.4","https://psa007.psysciacc.org/cs7/?lab=ZPID&?special_code=220771099666611","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1536,864,1536,640,1536,688,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.946384039900249
"3da10",28038.18,9127,9126.72,9126.82,37165,37165,2022-08-27 08:48:36,37165.56,"male",1950,"master","ženatý",220823764251718,7477.78,1617,1627.56,1644.22,9122,9126,2022-08-27 08:48:08,9126.82,"ZPID","20.2.4","https://psa007.psysciacc.org/cs8/?lab=ZPID&?special_code=220823764251718","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1920,1080,1920,864,1920,912,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",702,0.931623931623932
"54d71",40279.0939999762,13639.6999999285,13628.049,13744.806,54023.8999999762,54024.5,2022-08-26 20:05:34,54056.093,"female",1964,"high school","čeština",220776733604038,12364.2500000238,1107.10000002384,1070.78,1252.85,13617.1000000238,13639.1000000238,2022-08-26 20:04:53,13744.806,"ZPID","20.2.4","https://psa007.psysciacc.org/cs12/?lab=ZPID&?special_code=220776733604038","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1314,739,1314,597,1314,597,1.03999996185303,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.950124688279302
"560b0",28580.2229999993,14654.5,14640.105,14673.477,43253.6999999993,43254.1999999993,2022-08-27 11:01:33,43265.665,"male",1960,"master","čeština",220831927600256,13149.168,1465.19999999925,1331.783,1498.332,14647.5,14653.6000000015,2022-08-27 11:01:04,14673.477,"ZPID","20.2.4","https://psa007.psysciacc.org/cs4/?lab=ZPID&?special_code=220831927600256","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1280,1024,1280,833,1280,881,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.965087281795511
"5a287",24638.2,80469,80468.7,80479.8,105118,105118,2022-08-26 19:55:19,105112.76,"female",1955,"high school","český",220776192169056,78921.26,1511,1514.08,1530.74,80452,80466,2022-08-26 19:54:55,80479.8,"ZPID","20.2.4","https://psa007.psysciacc.org/cs13/?lab=ZPID&?special_code=220776192169056","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1920,1080,1920,889,1920,937,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.966334164588529
"5eaf8",30600.2679999046,14071.2000000477,14056.378,14096.332,44696.5999999046,44697.5,2022-08-26 17:17:24,44698.414,"male",1972,NA,"čeština",220766546707592,12764.6509998569,1236.5,1132.711,1293.249,14057.8999998569,14068.7000000477,2022-08-26 17:16:54,14096.332,"ZPID","20.2.4","https://psa007.psysciacc.org/cs2/?lab=ZPID&?special_code=220766546707592","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,1366,768,1366,609,1366,657,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.977556109725686
"62346",37117.159999997,17151.8999999911,17145.065,17161.64,54278.799999997,54279.299999997,2022-08-27 10:48:33,54286.738,"male",1975,"high school","cestina",220831122829324,15633.416,1433.5,1326.96,1511.084,17144.5,17151.299999997,2022-08-27 10:47:56,17161.64,"ZPID","20.2.4","https://psa007.psysciacc.org/cs2/?lab=ZPID&?special_code=220831122829324","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,1536,864,1536,706,1536,754,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.937655860349127
"67eec",21364.349,81206.8000000119,81211.907,81357.651,102722,102722.700000018,2022-08-26 16:33:09,102734.103,"female",1984,"college","čeština",220763749555363,78821.486,2255.10000002384,2218.106,2368.014,81189.5,81204.900000006,2022-08-26 16:32:48,81357.651,"ZPID","20.2.4","https://psa007.psysciacc.org/cs13/?lab=ZPID&?special_code=220763749555363","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1536,864,1474,714,1474,762,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",539,0.667903525046382
"68cf6",31315.64,19010,19009.78,19034.36,50350,50351,2022-08-27 05:25:07,50352.26,"female",1960,"high school","český",220811253902546,16679,2295,2300.34,2317,18996,19008,2022-08-27 05:24:36,19034.36,"ZPID","20.2.4","https://psa007.psysciacc.org/cs13/?lab=ZPID&?special_code=220811253902546","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0","Win32","cs","cs-CZ","Europe/Prague",-120,1366,768,1366,595,1366,643,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.933915211970075
"7bec8",24267.818,24059.2000000477,24072.117,24088.682,48356.5,48356.5999999046,2022-08-19 10:11:57,48379.125,"male",1987,"master","Korean",220120692436041,23160.116,831.099999904633,813.163,896.384,24056.5,24058.7000000477,2022-08-19 10:11:33,24088.682,"ZPID","20.2.4","https://psa007.psysciacc.org/ko/?lab=ZPID&?special_code=220120692436041","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","en-US","en-US","Asia/Calcutta",-330,1920,1080,1920,832,1920,880,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",802,0.527431421446384
"7f2c0",23256.9560000001,36361,36315.908,36398.944,59655.9000000001,59656.7000000002,2022-08-26 18:05:50,59712.278,"male",1947,"high school","čeština",220769490718851,13081.858,22931.4000000001,22934.674,23234.642,36316.5,36328.6000000001,2022-08-26 18:05:27,36398.944,"ZPID","20.2.4","https://psa007.psysciacc.org/cs1/?lab=ZPID&?special_code=220769490718851","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,1143,643,1143,571,1143,571,1.67999994754791,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.965087281795511
"82698",11494.38,3437,3437.44,3437.62,14932,14932,2022-01-24 18:34:19,14927.08,"other",1987,"doctorate","norway",NA,2915.54,473,486.06,510.46,3426,3437,2022-01-24 18:34:08,3437.62,NA,"20.2.4","https://psa007.psysciacc.org/en-z/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:96.0) Gecko/20100101 Firefox/96.0","MacIntel","en-US","en-US","America/Chicago",360,1260,818,1260,668,1260,716,2.4,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",24,0.166666666666667
"8350c",16667.9240000119,25562.8999999762,25536.938,25602.876,42270.8000000119,42271.5999999642,2022-08-27 14:29:28,42291.445,"male",1987,"master","čeština",220844705921209,23005.2029999642,2366.39999997616,2369.503,2535.897,25541.0999999642,25561,2022-08-27 14:29:11,25602.876,"ZPID","20.2.4","https://psa007.psysciacc.org/cs10/?lab=ZPID&?special_code=220844705921209","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1536,864,1536,674,1536,722,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.896508728179551
"8bf4e",27443.54,11427,11427.84,11445.46,38889,38891,2022-08-26 16:06:07,38912.06,"female",1957,"master","čeština",220762165272705,9463.14,1725,1825.82,1942.86,11406,11423,2022-08-26 16:05:39,11445.46,"ZPID","20.2.4","https://psa007.psysciacc.org/cs/?lab=ZPID&?special_code=220762165272705","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1920,1080,1920,879,1920,927,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.980049875311721
"8fb4b",21555.8590000477,12419.7000000477,12403.968,12437.341,33993.2000000477,33993.7000000477,2022-08-28 14:20:21,33998.795,"male",1998,"high school","svobodný",220932623072472,10385.868,1970.40000009537,1873.205,2023.132,12409,12418.6000001431,2022-08-28 14:20:00,12437.341,"ZPID","20.2.4","https://psa007.psysciacc.org/cs7/?lab=ZPID&?special_code=220932623072472","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1536,864,1530,698,1530,746,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",802,0.427680798004988
"92f60",190834.102999905,26060.7000000477,26048.24,26064.997,216899.099999905,216899.299999952,2022-08-26 15:56:33,216908.409,"male",1972,"high school","Český",220761399984136,22259.4320000477,3771,3080.62,3795.768,26055.2000000477,26060.2999999523,2022-08-26 15:53:22,26064.997,"ZPID","20.2.4","https://psa007.psysciacc.org/cs13/?lab=ZPID&?special_code=220761399984136","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1243,700,995,440,994,440,1.93124997615814,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.955112219451372
"937e1",9241.34,2899,2898.46,2898.66,12140,12141,2022-01-24 19:52:28,12145.36,"other",1987,"doctorate","english",NA,2600.98,252,262.04,287.02,2888,2898,2022-01-24 19:52:19,2898.66,"1234","20.2.4","https://psa007.psysciacc.org/en-z/?lab=1234","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:96.0) Gecko/20100101 Firefox/96.0","MacIntel","en-US","en-US","America/Chicago",360,1260,818,1260,668,1260,716,2.4,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",24,1
"989d4",16640.8,14012,14010.96,14020.2,30661,30662,2022-06-15 05:34:42,30661.72,"female",1985,"less than high school","English",NA,12851.4,1121,1136.92,1153.6,14005,14012,2022-06-15 05:34:26,14020.2,"1234","20.2.4","https://psa007.psysciacc.org/en/?lab=1234","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0","MacIntel","en-US","en-US","America/Chicago",300,450,800,1260,668,1260,716,2.4,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",100,0.98
"a30b8",28280.98,14842,14842.44,14849.02,43130,43130,2022-08-22 15:26:39,43140.72,NA,1990,"high school","reh",220405874180168,11602.84,1616,2210.22,3224.16,14827,14840,2022-08-22 15:26:11,14849.02,"ZPID","20.2.4","https://psa007.psysciacc.org/cs7/?lab=ZPID&?special_code=220405874180168","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0","Win32","en-US","en-GB","Europe/Kiev",-180,1920,1080,1920,907,1920,955,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",802,0.465087281795511
"a9b85",37401.666,21529,21520.027,21536.734,58938.4,58938.8,2022-08-26 19:49:16,58946.503,"male",1962,"master","český",220775840259103,17351.177,3977.39999999999,3967.029,4166.723,21517.9,21528.5,2022-08-26 19:48:39,21536.734,"ZPID","20.2.4","https://psa007.psysciacc.org/cs5/?lab=ZPID&?special_code=220775840259103","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1680,1050,1680,859,1680,907,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.896508728179551
"b0716",21502.96,11211,11210.82,11234.04,32737,32739,2022-08-28 19:35:55,32760.08,"female",1956,"high school",NA,220951833232535,10120.98,839,945.48,1062.02,11183,11206,2022-08-28 19:35:33,11234.04,"ZPID","20.2.4","https://psa007.psysciacc.org/cs/?lab=ZPID&?special_code=220951833232535","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0","Win32","cs","cs-CZ","Europe/Prague",-120,1366,768,1366,587,1366,587,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.972568578553616
"b0c8a",18315.3550000003,10546,10519.031,10568.945,28884.3000000003,28885.1000000001,2022-08-26 18:30:42,28916.113,"male",1947,"high school","čeština",220769490718851,6092.63000000019,4301.70000000019,4286.612,4436.57,10529.2000000002,10544.9000000004,2022-08-26 18:30:23,10568.945,"ZPID","20.2.4","https://psa007.psysciacc.org/cs1/?lab=ZPID&?special_code=220769490718851","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,1143,643,1143,571,1143,571,1.67999994754791,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.970074812967581
"b0d6b",22918.6590000238,19881.3000000119,19886.238,19902.941,42821.6000000238,42821.9000000358,2022-08-27 11:51:25,42850.444,"female",1972,"less than high school","čeština",220834992561171,17006.6310000358,2836.69999998808,2821.757,2871.769,19878.4000000358,19880.4000000358,2022-08-27 11:51:02,19902.941,"ZPID","20.2.4","https://psa007.psysciacc.org/cs7/?lab=ZPID&?special_code=220834992561171","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1280,720,1280,577,1280,577,1.5,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",706,0.941926345609065
"b1d0e",91218.595,48645,48637.877,48771.405,139990,139994,2022-08-26 16:23:58,140054.484,"male",1946,"high school","čeština",220763130193953,42687.701,5108,5107.749,5942.299,48630,48643,2022-08-26 16:22:27,48771.405,"ZPID","20.2.4","https://psa007.psysciacc.org/cs10/?lab=ZPID&?special_code=220763130193953","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1280,800,1280,609,1280,657,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",602,0.888704318936877
"b3e66",81692.4250000238,97117.3000000715,97100.192,97150.175,178842.600000024,178843.400000095,2022-08-26 23:27:22,178863.801,"female",1951,"high school","český",220789094097994,93447.3400000238,3556.20000004768,3559.774,3659.76,97107.1000000238,97115.3000000715,2022-08-26 23:26:00,97150.175,"ZPID","20.2.4","https://psa007.psysciacc.org/cs6/?lab=ZPID&?special_code=220789094097994","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1366,768,1366,577,1366,625,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",421,0.883610451306413
"b8939",7608.06,2778,2777.9,2781.94,10390,10390,2022-01-24 20:21:29,10398.44,"notsay",1985,"doctorate","english",NA,2603.72,149,156.96,165.28,2769,2777,2022-01-24 20:21:22,2781.94,"9999","20.2.4","https://psa007.psysciacc.org/en-z/?lab=9999","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:96.0) Gecko/20100101 Firefox/96.0","MacIntel","en-US","en-US","America/Chicago",360,1260,818,1260,668,1260,716,2.4,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",100,0.97
"c00c8",64191.373000003,234021.5,234005.33,234021.827,298213.200000003,298214.700000003,2022-08-26 18:40:23,298224.682,"male",1956,"master","český jazyk",220771376725208,232688.782000001,1305.5,1313.652,1330.318,234019.100000001,234021.200000003,2022-08-26 18:39:19,234021.827,"ZPID","20.2.4","https://psa007.psysciacc.org/cs/?lab=ZPID&?special_code=220771376725208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,2048,1152,2048,962,2048,1010,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.981296758104738
"c3a0b",31198.133,52109.7,52090.271,52123.567,83321.7,83322.3,2022-08-26 18:13:08,83332.585,"male",1951,"master","čeština",220769918846142,50157.585,1868.59999999998,1496.6,1946.115,52103.7,52109.1,2022-08-26 18:12:37,52123.567,"ZPID","20.2.4","https://psa007.psysciacc.org/cs9/?lab=ZPID&?special_code=220769918846142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,1366,768,1345,640,1345,688,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.972568578553616
"c96ea",34987.68,37498,37497.84,37498.32,72486,72487,2022-08-27 19:45:20,72482.94,"male",1960,"high school","čeština",220862444078245,37305.22,154,162.12,178.78,37484,37496,2022-08-27 19:44:45,37498.32,"ZPID","20.2.4","https://psa007.psysciacc.org/cs8/?lab=ZPID&?special_code=220862444078245","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1536,864,1536,691,1536,739,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.971321695760598
"d3068",7218.85999999999,404191,404190.92,404194.14,411413,411413,2022-01-24 20:07:14,411418.98,"female",1985,"college","english",NA,403299.36,845,853.6,878.64,404178,404189,2022-01-24 20:07:07,404194.14,"9999","20.2.4","https://psa007.psysciacc.org/en-z/?lab=9999","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:96.0) Gecko/20100101 Firefox/96.0","MacIntel","en-US","en-US","America/Chicago",360,1260,818,1260,668,1260,716,2.4,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",100,0.94
