hi_cue,hi_target,type,cue_type,target_type,hi_cosine
कलहंस,बत्तख,related,word,word,
अवरोधित,बंद,related,word,word,
बंदर,गोरिल्ला,related,word,word,
बदलना,विकल्प,related,word,word,
बदला,न्याय,related,word,word,
बंधक,बंदी,related,word,word,
बधाई,अभिनन्दन,related,word,word,
बनाना,करना,related,word,word,
बम,विस्फोटक,related,word,word,
बरोन,काउंटेस,related,word,word,
बलवान,कमज़ोर,related,word,word,
बहन,भाई,related,word,word,
बहुमत,मतदान,related,word,word,
बाइबिल,किताब,related,word,word,
बातचीत,चर्चा,related,word,word,
बातचीत,बोलना,related,word,word,
बादल,कोहरा,related,word,word,
छांदना,बाँधना,related,word,word,
बाधा,चुनौती,related,word,word,
बाधा डालना,परेशान,related,word,word,
पाउडर,बारूद,related,word,word,
विस्फोटक,घड़ी,related,word,word,
बास्केटबाल,फ़ुटबॉल,related,word,word,
बाहर,अंदर,related,word,word,
बाहर,के बारे में,related,word,word,
बाहर जाएं,प्रवेश,related,word,word,
बिंदु,संकेत,related,word,word,
बिल्कुल,पूरी तरह,related,word,word,
बिशप,कार्डिनल,related,word,word,
बूट,जूता,related,word,word,
बुरा,बीमार,related,word,word,
बन्दूक या तोप का मुंह,गोली,related,word,word,
होशियार,बुद्धिमान,related,word,word,
बुद्धू,मूर्ख,related,word,word,
बुरा,गंदा,related,word,word,
बुरा सपना,सपना,related,word,word,
बुराई,क्रूरता,related,word,word,
कॉल,टेलीफ़ोन,related,word,word,
झाड़ी,पेड़,related,word,word,
बूंद,चुस्की,related,word,word,
बेकार,खर्च करना,related,word,word,
बेटी,बेटा,related,word,word,
बैंकर,निवेशक,related,word,word,
बैंकिंग,वित्तीय,related,word,word,
बैज,वर्दी,related,word,word,
बौछार,स्नानघर,related,word,word,
ब्रम्हांड,आकाशगंगा,related,word,word,
ब्रांड,उत्पाद,related,word,word,
ब्रीफ़केस,सूटकेस,related,word,word,
श्रीमन्त,महिला,related,word,word,
भगवान,दिव्य,related,word,word,
भयानक,भयंकर,related,word,word,
भयानक,डरावना,related,word,word,
भविष्य,भूतकाल,related,word,word,
भागना,पलायन,related,word,word,
भाग्य,तकदीर,related,word,word,
भार,नौभार,related,word,word,
भालू,भेड़िया,related,word,word,
भाषण,उपदेश,related,word,word,
भुगतना,मरना,related,word,word,
भूकंप,विस्फोट,related,word,word,
भूख,प्यास,related,word,word,
भूमि,उड़ना,related,word,word,
भूरा,नीला,related,word,word,
भूल जाना,याद रखना,related,word,word,
भौतिक विज्ञान,गणित,related,word,word,
मकड़ी,कीट,related,word,word,
मकान,अपार्टमेंट,related,word,word,
मंगल ग्रह,शुक्र,related,word,word,
मंच,स्टेशन,related,word,word,
मजबूर,शक्तिहीन,related,word,word,
मंज़िल,कालीन,related,word,word,
मंत्रिमंडल,कोठरी,related,word,word,
मदद,सहायता देना,related,word,word,
मंदिर,मठ,related,word,word,
मधुमक्खी,चींटी,related,word,word,
मरीज,ग्राहक,related,word,word,
मलाई,चटनी,related,word,word,
मंशा,तमन्ना,related,word,word,
महंगा,सस्ता,related,word,word,
महल,किला,related,word,word,
महान,बहादुर,related,word,word,
महाविद्यालय,विश्वविद्यालय,related,word,word,
महिमा,महारानी,related,word,word,
महीना,सप्ताह,related,word,word,
मां,पिता,related,word,word,
मांग,अनुरोध,related,word,word,
मात्रा,गुणवत्ता,related,word,word,
माध्यमिक,प्राथमिक,related,word,word,
मानसिक,भावुक,related,word,word,
माफिया,कार्टेल,related,word,word,
माफी,दया,related,word,word,
पदार्थ,कण,related,word,word,
मारो,प्रहार,related,word,word,
मार्ग,सड़क,related,word,word,
मार्ग,पथ,related,word,word,
मासूम,दोषी,related,word,word,
मिंग,लिंग,related,word,word,
मीठा,प्यारा,related,word,word,
मिठाई,केक,related,word,word,
मीनार,इमारत,related,word,word,
मील,सेंटीमीटर,related,word,word,
मुकाबला,चैंपियनशिप,related,word,word,
मुर्गा,तुर्की,related,word,word,
मुलायम,सज्जन,related,word,word,
मुसीबत,समस्या,related,word,word,
मुस्कुराओ,हसना,related,word,word,
मुंह,नाक,related,word,word,
शांत,शांति,related,word,word,
असली,नकल,related,word,word,
मूलपाठ,कविता,related,word,word,
मूल्य,कीमत,related,word,word,
मूल्यवान,जरूरी,related,word,word,
चिकित्सा,मनोवैज्ञानिक,related,word,word,
मेढक,छिपकली,related,word,word,
मेल,मिश्रण,related,word,word,
मेल,फैक्स,related,word,word,
मैराथन,दौड़,related,word,word,
