en_cue,en_target,unique,en_cosine,en_fake_cue,en_fake_target,af_target,af_cue,af_cosine,af_fake_cue,af_fake_target,ar_target,ar_cue,ar_cosine,ar_fake_cue,ar_fake_target,bg_target,bg_cue,bg_cosine,bg_fake_cue,bg_fake_target,ca_target,ca_cue,ca_cosine,ca_fake_cue,ca_fake_target,cs_target,cs_cue,cs_cosine,cs_fake_cue,cs_fake_target,da_target,da_cue,da_cosine,da_fake_cue,da_fake_target,de_target,de_cue,de_cosine,de_fake_cue,de_fake_target,el_target,el_cue,el_cosine,el_fake_cue,el_fake_target,es_target,es_cue,es_cosine,es_fake_cue,es_fake_target,et_target,et_cue,et_cosine,et_fake_cue,et_fake_target,eu_target,eu_cue,eu_cosine,eu_fake_cue,eu_fake_target,fa_target,fa_cue,fa_cosine,fa_fake_cue,fa_fake_target,fi_target,fi_cue,fi_cosine,fi_fake_cue,fi_fake_target,fr_target,fr_cue,fr_cosine,fr_fake_cue,fr_fake_target,gl_target,gl_cue,gl_cosine,gl_fake_cue,gl_fake_target,he_target,he_cue,he_cosine,he_fake_cue,he_fake_target,hi_target,hi_cue,hi_cosine,hi_fake_cue,hi_fake_target,hr_target,hr_cue,hr_cosine,hr_fake_cue,hr_fake_target,hu_target,hu_cue,hu_cosine,hu_fake_cue,hu_fake_target,hy_target,hy_cue,hy_cosine,hy_fake_cue,hy_fake_target,id_target,id_cue,id_cosine,id_fake_cue,id_fake_target,it_target,it_cue,it_cosine,it_fake_cue,it_fake_target,ja_target,ja_cue,ja_cosine,ja_fake_cue,ja_fake_target,ko_target,ko_cue,ko_cosine,ko_fake_cue,ko_fake_target,lt_target,lt_cue,lt_cosine,lt_fake_cue,lt_fake_target,lv_target,lv_cue,lv_cosine,lv_fake_cue,lv_fake_target,nl_target,nl_cue,nl_cosine,nl_fake_cue,nl_fake_target,no_target,no_cue,no_cosine,no_fake_cue,no_fake_target,pl_target,pl_cue,pl_cosine,pl_fake_cue,pl_fake_target,pt_target,pt_cue,pt_cosine,pt_fake_cue,pt_fake_target,ro_target,ro_cue,ro_cosine,ro_fake_cue,ro_fake_target,ru_target,ru_cue,ru_cosine,ru_fake_cue,ru_fake_target,sk_target,sk_cue,sk_cosine,sk_fake_cue,sk_fake_target,sl_target,sl_cue,sl_cosine,sl_fake_cue,sl_fake_target,sr_target,sr_cue,sr_cosine,sr_fake_cue,sr_fake_target,sv_target,sv_cue,sv_cosine,sv_fake_cue,sv_fake_target,ta_target,ta_cue,ta_cosine,ta_fake_cue,ta_fake_target,tr_target,tr_cue,tr_cosine,tr_fake_cue,tr_fake_target,uk_target,uk_cue,uk_cosine,uk_fake_cue,uk_fake_target,ur_target,ur_cue,ur_cosine,ur_fake_cue,ur_fake_target,vi_target,vi_cue,vi_cosine,vi_fake_cue,vi_fake_target,zh_cn_target,zh_cn_cue,zh_cn_cosine,zh_cn_fake_cue,zh_cn_fake_target,zh_tw_target,zh_tw_cue,zh_tw_cosine,zh_tw_fake_cue,zh_tw_fake_target,total
sexual,physical,sexualphysical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fysisk,seksuel,0.438714349,heksuel,fnsisk,körperliche,sexuellen,0.519172364,sexuelien,körperlifhe,σωματικός,σεξουαλικός,0.649413687,σεξοηαλικός,σωματικλς,NA,NA,NA,NA,NA,füüsiline,seksuaalne,0.556928351,seksuaelne,füvsiline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fyysinen,seksuaalinen,0.556972057,sekfuaalinen,fyysknen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,גופנית,מינית,0.455807873,מהנית,גופניו,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fizikai,szexuális,0.461138713,ezexuális,fizikaű,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lichamelijk,seksueel,0.512968415,sektueel,lichamglijk,fysisk,seksuell,0.443118707,seksuelm,fysijk,fizyczny,seksualny,0.572979572,seklualny,fizycznl,NA,NA,NA,NA,NA,fizic,sexual,0.581207718,sexuţl,fiziº,физический,сексуальный,0.608638408,сексоальный,физпческий,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fizièka,seksualna,0.592538556,seksualja,fszièka,fysisk,sexuell,0.499013175,sexuelw,fysrsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.98198198
shadow,dark,shadowdark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,тъмна,сянка,0.404705229,сянеа,тъмнa,NA,NA,NA,NA,NA,temný,stín,0.40194938,sbín,tempý,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oscura,sombra,0.403323937,sombrq,ogcura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sombre,ombre,0.402758788,ombje,somrre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gelap,bayangan,0.419275118,bgyangan,gellp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dark,그림자,0.435513853,그림없,dyrk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,escura,sombra,0.392141289,uombra,escira,dark,shadow,0.453128416,shadoș,dașk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,karanlık,gölge,0.445885668,cölge,karanlıj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.72072072
show,performance,showperformance,NA,NA,NA,vertoning,vertoon,0.403015056,vertton,vertonieg,NA,NA,NA,NA,NA,представление,шоу,0.755176514,шок,представлеиие,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aufführung,show,0.53534294,sbow,auffphrung,παράσταση,σόου,0.641601989,σηου,παράέταση,NA,NA,NA,NA,NA,etendus,show,0.506919281,shcw,etendös,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,esiintyminen,näyttely,0.560179085,oäyttely,esiwntyminen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optreden,show,0.544205158,shot,optrzden,NA,NA,NA,NA,NA,występ,wystąpić,0.479783367,wcstąpić,wystip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,выступление,шоу,0.520129369,фоу,выстудление,NA,NA,NA,NA,NA,nastop,šov,0.540791221,šmv,oastop,predstava,emisija,0.559743023,ecisija,predstava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,performans,gösteri,0.533631366,gösterş,performano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.47747748
similar,different,similardifferent,NA,NA,NA,NA,NA,NA,NA,NA,تختلف,متشابهة,0.478613895,مةشابهة,أختلف,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,odlišný,podobný,0.554828104,podobtý,ídlišný,NA,NA,NA,NA,NA,unterschiedlich,ähnlich,0.426768238,ähnliöh,urterschiedlich,διαφορετικά,παρόμοια,0.459634785,παρόμοιώ,διαίορετικά,distinto,parecido,0.472561908,parekido,distinko,erinev,sarnane,0.45208838,sbrnane,erynev,NA,NA,NA,NA,NA,فرق,شباهت,0.357333401,شباهl,فطق,erilainen,samanlainen,0.647106773,samanlpinen,erilainec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,שונה,דומה,0.443291892,דבמה,גונה,NA,NA,NA,NA,NA,različit,sličan,0.474566516,sličgn,razmičit,eltérő,hasonló,0.421867997,hasonlé,eltére,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,differente,simile,0.398772222,iimile,diffbrente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diferente,similar,0.467635623,simblar,diferentj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,razlièita,slièna,0.590415692,flièna,razeièita,annorlunda,likadan,0.464902906,likaoan,annorlucda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.23423423
sin,crime,sincrime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zločin,hřích,0.617252055,hříuh,zlúčin,forbrydelse,synd,0.455784287,syåd,fprbrydelse,verbrechen,sünden,0.492159873,sünben,verzrechen,έγκλημα,αμαρτία,0.463843781,αλαρτία,έγκληρα,delito,pecado,0.544831371,plcado,deliáo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,פשע,חטא,0.486954516,יטא,פוע,NA,NA,NA,NA,NA,zlocin,grijeh,0.463141271,grijoh,zlocil,bűncselekmény,bűnt,0.563108342,kűnt,bűncseyekmény,NA,NA,NA,NA,NA,kejahatan,dosa,0.465670826,mosa,kejasatan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forbrytelse,synd,0.392310856,iynd,forbrytemse,zbrodnia,grzech,0.486255387,nrzech,ztrodnia,NA,NA,NA,NA,NA,delict,păcat,0.413465745,pălat,delick,NA,NA,NA,NA,NA,zločin,hriech,0.47949157,hrixch,zlsčin,zločin,greh,0.553057637,gkeh,iločin,zloèin,greh,0.543271241,gbeh,zšoèin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,suç,günah,0.470658833,gücah,juç,NA,NA,NA,NA,NA,جرم,گناہ,0.464586127,گناچ,ٹرم,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.73873874
single,married,singlemarried,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gift,ugift,0.541125569,ugijt,gvft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,casado,soltero,0.477297576,holtero,casade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,naimisissa,sinkku,0.500944025,sönkku,naimisiäsa,marié,célibataire,0.595507612,célibataige,marbé,NA,NA,NA,NA,NA,נשואה,רווקה,0.522528767,רוווה,נשדאה,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poročen,samski,0.505408452,bamski,poročew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,evli,bekâr,0.566025535,ğekâr,evlw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21621622
size,length,sizelength,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,дължина,размер,0.43521629,рсзмер,дължиха,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,længde,størrelse,0.41554207,størrelae,længde,NA,NA,NA,NA,NA,μήκος,μέγεθος,0.485154788,μέγχθος,μήκοώ,NA,NA,NA,NA,NA,pikkus,suurus,0.497406371,suurue,pukkus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pituus,kokoa,0.333564513,kökoa,pituös,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אורך,גודל,0.41030162,ץודל,אורנ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lunghezza,grandezza,0.493454527,grandezzi,lwnghezza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lengde,størrelse,0.386305893,skørrelse,lhngde,długość,rozmiar,0.554110569,rozmisr,eługość,comprimento,tamanho,0.544750558,tamanäo,comurimento,lungime,mărime,0.430437582,măoime,lungimv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dolžina,velikost,0.536798253,velikožt,dylžina,NA,NA,NA,NA,NA,längd,storlek,0.486570041,ssorlek,oängd,NA,NA,NA,NA,NA,uzunluk,boy,0.415938046,boc,uzwnluk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.98198198
sky,heavenly,skyheavenly,NA,NA,NA,hemels,hemelruim,0.649716384,hevelruim,hemels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,himmelsk,himmel,0.646901746,htmmel,fimmelsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,بهشتی,آسمانی,0.571340473,آسمهنی,گهشتی,taivaallinen,taivas,0.528769787,haivas,taidaallinen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,երկնային,երկն,0.435451415,երպն,երկնաչին,surgawi,langit,0.440320416,langut,sorgawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,niebios,niebo,0.481906211,nizbo,niebioh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,небесный,неб,0.360047185,нёб,еебесный,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nebeski,neba,0.537517909,šeba,nebgski,himmelrike,himmel,0.610525463,himkel,himmelrikf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,небес,небо,0.638907133,неро,нббес,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.22522523
smash,break,smashbreak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zerbrechen,zerschlagen,0.558472628,zeöschlagen,zerbreihen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,murtaa,mursi,0.573959409,tursi,murtka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eltör,összetör,0.574465242,összetöl,éltör,NA,NA,NA,NA,NA,membobol,mendobrak,0.508245848,mendoboak,membobnl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,salauzt,sagraut,0.541855936,sagrtut,salaudt,NA,NA,NA,NA,NA,brekke,knuse,0.409902151,ånuse,brekkf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,сломать,разбить,0.528829934,сазбить,сломапь,zlomiť,rozbiť,0.484708079,tozbiť,zlvmiť,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.46846847
smoke,cigar,smokecigar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cigar,smøg,0.5492434,smøl,cjgar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cigarro,fuma,0.577247105,futa,cigasro,sigar,suits,0.535509595,scits,sigað,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cigare,fume,0.530067745,pume,cisare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cigar,dim,0.454414701,dvm,cvgar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cerutu,merokok,0.43201567,merofok,cyrutu,sigaro,fumo,0.502562287,fueo,sggaro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,charuto,fumo,0.49494479,furo,chiruto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cigarr,röka,0.50532107,röva,ciaarr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.72072072
sometimes,often,sometimesoften,NA,NA,NA,dikwels,somtyds,0.375696055,szmtyds,diwwels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,často,občas,0.534115205,xbčas,časlo,tit,sommetider,0.340659522,tommetider,yit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,često,katkada,0.518719672,katkwda,čestd,NA,NA,NA,NA,NA,հաճախ,երբեմն,0.669904049,երբեփն,հաճյխ,seringkali,terkadang,0.411685865,terkhdang,seriggkali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,adesea,alteori,0.430225942,altezri,ndesea,зачастую,порой,0.491818526,поркй,злчастую,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,часто,часом,0.433559037,часом,чарто,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.72072072
soup,salad,soupsalad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,салата,супа,0.657185331,супа,салста,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ensalada,sopa,0.691795743,sípa,ensalida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,salaatti,keitto,0.544287924,keztto,salaatji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,salata,juha,0.651081857,juhi,salžta,saláta,leves,0.606899161,beves,salátû,NA,NA,NA,NA,NA,salad,sup,0.488756069,sug,srlad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sałatka,zupa,0.679602667,uupa,nałatka,NA,NA,NA,NA,NA,salata,supa,0.650513514,țupa,halata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solata,juh,0.427847975,jvh,szlata,salata,supa,0.597252477,supj,sulata,sallad,soppa,0.512906881,soppp,sallaa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,salad,soup,0.530334903,soue,salỏd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.47747748
source,informant,sourceinformant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,информатор,източник,0.405264416,изтоиник,инфгрматор,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,informátor,forrás,0.387016471,forpás,izformátor,NA,NA,NA,NA,NA,informan,sumber,0.369063896,sumbgr,informan,informatore,fonte,0.424184309,flnte,informatorg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,informant,kilde,0.414359445,gilde,itformant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,informátor,zdroj,0.345697243,zmroj,informctor,NA,NA,NA,NA,NA,doušnik,izvor,0.389388944,izvoo,doužnik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21621622
stadium,baseball,stadiumbaseball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,бейзбол,стадион,0.484032612,стадиое,бейззол,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baseball,stadion,0.372175319,ætadion,saseball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,béisbol,estadio,0.484911198,estanio,bécsbol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baseball,stade,0.385865394,ïtade,baieball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bejzbol,stadion,0.45558611,stadign,behzbol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baseball,stadio,0.378432166,dtadio,basebaln,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basebol,estádio,0.464425377,estádro,qasebol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bejzbol,stadion,0.462878845,stadipn,bejzbml,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.46846847
steal,rob,stealrob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ausrauben,stehlen,0.480287355,stetlen,auwrauben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ryöstää,varastaa,0.527626456,varassaa,ryöslää,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pljačkati,krasti,0.584719166,krajti,pljačpati,rabol,lop,0.574125481,ldp,raboc,NA,NA,NA,NA,NA,merampok,mencuri,0.507752834,mencdri,meramprk,rapinare,rubare,0.570038054,rubaye,rlpinare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jefui,fura,0.589020912,fupa,jgfui,грабить,красть,0.568122163,кражть,ьрабить,NA,NA,NA,NA,NA,oropati,ukrasti,0.54874441,ukrasši,oropkti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cướp,cắp,0.429705433,oắp,vướp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.97297297
stick,hammer,stickhammer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,чук,стик,0.473595422,смик,чък,NA,NA,NA,NA,NA,kladivo,hůl,0.481427881,sůl,khadivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,martillo,palo,0.541699562,ptlo,martilro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vasara,keppi,0.476228047,kbppi,vasarv,marteau,bâton,0.542543201,bwton,martenu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,martello,bastone,0.563560862,bastpne,mkrtello,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hamer,stok,0.519988657,stoe,hajer,NA,NA,NA,NA,NA,młotek,kij,0.541531282,fij,mwotek,martelo,bastão,0.584890386,bastto,mawtelo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,búa,gậy,0.421252444,hậy,múa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.97297297
