"ru_target","ru_cue","ru_fake_cue","ru_fake_target","en_cue","en_target"
"бейсбол","стадион","блондион","бейсзим","stadium","baseball"
"бекон","тост","тоды","бесер","toast","bacon"
"беременность","рождение","украдение","беременством","birth","pregnancy"
"бесплатно","свободно","свовратно","бесупорно","freely","free"
"беспокоить","прерывать","прерыский","беспоколонне","interrupt","disturb"
"бесполезный","бесполезный","беспотральный","беспотральный","useless","worthless"
"бессильнее","беспомощный","беспострашный","бесдробнее","helpless","powerless"
"бизнес","промышленность","промышленством","вежнес","industry","business"
"биологический","химический","химиченость","биологичебратьс","chemical","biological"
"биология","химия","хицах","пальлогия","chemistry","biology"
"благодарить","благодарный","благокрестный","благодальоне","grateful","thank"
"благодарность","гостеприимство","гостеприиммкнуть","благодарством","hospitality","gratitude"
"близко","открытым","открыщать","вдохко","open","close"
"богатство","сокровище","соучаствище","богатнуть","treasure","wealth"
"богатый","бедных","зочных","богамиль","poor","rich"
"боевой","война","ресна","боедешь","war","battle"
"божественный","бог","ейг","божетральный","god","divine"
"болезнь","грипп","градп","болюсть","flu","disease"
"боль","страдания","разодания","бопы","suffering","pain"
"больной","больной","большин","большин","ill","sick"
"большой палец","палец","падок","большой првёшь","finger","thumb"
"борода","волосы","волоурен","неверода","hair","beard"
"борьба","бой","ерй","толчба","combat","fight"
"босс","управляющий делами","управляющий делстройств","боек","manager","boss"
"бостон","вашингтон","вахэмптон","бороть","washington","boston"
"брак","развод","разпай","деак","divorce","marriage"
"братан","чувак","чутян","толтан","dude","bro"
"броня","щит","кст","лезня","shield","armor"
"бумажник","карман","картош","бушляпник","pocket","wallet"
"буря","ветер","веряю","бунит","wind","storm"
"бутылка","стакан","стачью","буоценка","glass","bottle"
"быстро","медленный","правленный","банкро","slow","fast"
"быстро","медленно","правленно","банкро","slowly","quickly"
"бэтмен","супермен","суперская","оземен","superman","batman"
"в конце концов","наконец","накомишь","в конце ксдэйл","finally","eventually"
"в общем","естественно","ужасственно","лaобщем","naturally","generally"
"в самом деле","фактически","дреоттически","в самом явись","actually","really"
"вагон","зомби","фасби","ванис","zombie","vampire"
"важность","имея в виду","имея в штекс","эленость","meaning","importance"
"важный","ценный","зайный","лодный","valuable","important"
"вакцина","противодействие","противодейткнуть","джемцина","antidote","vaccine"
"ван","трейлер","следлер","ьен","trailer","van"
"ваниль","корица","копатьца","васнул","cinnamon","vanilla"
"ванная комната","душ","эпш","ваннаятельствмната","shower","bathroom"
"вариант","выбор","выкла","варинюсь","choice","option"
"вверх","вниз","дeиз","лжерх","down","up"
"вдохновение","вдохновлять","спряновлять","странновение","inspire","inspiration"
"веб","интернет","интерское","эмб","internet","web"
"ведьма","проклинать","проклистые","сальма","curse","witch"
"венера","марс","мачт","странера","mars","venus"
"вентиляция","клапан","клаард","стриптиляция","valve","ventilation"
"вера","надеяться","надесмондся","убира","hope","faith"
"веревка","цепь","цейч","весморка","chain","rope"
"вернуть","назад","накoе","верство","back","return"
"верный","лояльный","ловторный","сячный","loyal","faithful"
"вертолет","скорая помощь","скорая пскрипт","вертональ","ambulance","helicopter"
"верх","ниже","нимут","вевя","lower","upper"
"веселая","остроумный","остроумствен","весежусь","witty","funny"
"вечер","ночь","ноне","веджа","night","evening"
"взорваться","лопаться","лоренцся","взовлечься","burst","explode"
"взрыв","землетрясение","оскорблетрясение","взезв","earthquake","explosion"
"взрывной","бомбить","оцебить","вздошной","bomb","explosive"
"видео","dvd","оиd","вилак","dvd","video"
"вилка","ложка","няшка","шанка","spoon","fork"
"виновный","невиновный","влюбновный","вивредный","innocent","guilty"
"витамин","белок","бевер","витастые","protein","vitamin"
"вич","спид","спay","люч","aids","hiv"
"вкладывать деньги","финансы","фипульсы","необычдывать деньги","finance","invest"
"вкусный","вкусно","вратно","дружный","tasty","delicious"
"владелец","имущество","имущенуть","определец","property","owner"
"влажный","сухой","сужил","флирный","dry","wet"
"власть","юрисдикция","укладикция","хёасть","jurisdiction","authority"
"внешний","внутренний","удобренний","трашний","internal","external"
"внутри","за пределами","за пределклясть","вспори","outside","inside"
"водитель","пассажирский","пассажирность","водиства","passenger","driver"
"водка","виски","болки","нушка","whiskey","vodka"
"водород","углерод","углебать","водобишь","carbon","hydrogen"
"военно-морской","морской","цинской","военноморбратьс","marine","navy"
"военный","гражданское хозяйство","гражданское хозягoвopить","военвать","civil","military"
"возбужденный","гордый","гортат","возностьденный","proud","excited"
"возлюбленный","госпожа","вклюпожа","вознемедленный","mistress","lover"
"возможность","шанс","шатт","возможством","chance","possibility"
"воин","солдат","соллум","дезин","soldier","warrior"
"волк","медведь","медвине","воss","bear","wolf"
"волноваться","беспокойство","беспокойгнать","волноткнулся","concern","worry"
"волшебник","магия","манул","волрюльник","magic","wizard"
"ворота","портал","ототал","вороволь","portal","gate"
"воскресенье","суббота","кварбота","воскресествия","Saturday","Sunday"
"восток","запад","зашой","воесте","west","east"
"впечатление","леденца","лежатьца","впеоформление","flatter","impress"
"вращаться","перемена","пересклонна","врарвался","turn","rotate"
"встретить","видеть","вичишь","встрестве","see","meet"
"встреча","конференция","конференность","неприча","conference","meeting"
"вторник","понедельник","понественник","клонник","monday","tuesday"
"вход","выход","высан","йрод","exit","entrance"
"вчера","сегодня","серененя","жёлра","today","yesterday"
"выборы","кампания","вступания","выбостон","campaign","election"
"выбрать","выберите","неразберите","выставь","choose","select"
"выживать","жить","рсть","выжильем","live","survive"
"выкуп","похищение","похиществом","вытег","kidnapper","ransom"
"вылет из","пребытие","пребыдешь","вылехмнб","arrival","departure"
"выпускной","диплом","диклиш","вывальной","diploma","graduate"
"выражать","описывать","описыский","вырасист","describe","express"
"высокая температура","кашель","кажать","высокая температурагане","cough","fever"
"высоко","низкий","помкий","высотруд","low","high"
"высокомерие","невежество","одолжество","высокомемкнуть","ignorance","arrogance"
"высота","масса","своса","высозвез","weight","height"
"высочество","величество","величегнать","высочегнать","majesty","highness"
"выставка","галерея","галелоть","выуспока","gallery","exhibition"
"гавань","залив","закаю","гаворт","bay","harbor"
"газета","статья","стаёшь","гагранта","article","newspaper"
"галактика","вселенная","умышленная","гастриптика","universe","galaxy"
"галлюцинация","иллюзия","иллюбoвь","галлюцинасквозь","illusion","hallucination"
"галстук","связывать","связыский","галмейк","bind","tie"
"гамбургер","сэндвич","деньвич","стойбургер","sandwich","hamburger"
"гараж","мастерская","маландская","гачел","workshop","garage"
"гармония","остаток средств","остатокстройств","гармозван","balance","harmony"
"где-то","в другом месте","в другом салль","cлyто","elsewhere","somewhere"
"гей","лесбиянка","оскорбиянка","pый","lesbian","gay"
"героина","кокаин","кокастрю","героимость","cocaine","heroin"
"гитара","фортепиано","остыньтепиано","зультара","piano","guitar"
"главное управление","основание","основаством","главное управлстракшн","base","headquarters"
"глобальный","национальный","нациовстречный","глотентный","national","global"
"глоток","уронить","нейнить","крыток","drop","sip"
"глупость","безумие","ерунмие","глудрать","madness","stupidity"
"глухой","слепой","обопой","бархой","blind","deaf"
"гнаться","следить","ободить","сфалься","follow","chase"
"голодный","устала","стряла","гоопытный","tired","hungry"
"голосование","большинство","опрешинство","голосовабратьс","majority","vote"
"голый","ню","зн","гонии","nude","naked"
"гора","холм","хоап","стера","hill","mountain"
"горилла","обезьяна","обебренна","гоуспела","monkey","gorilla"
"город","столица","опублица","голие","capital","city"
"грамма","килограмм","килобосом","съёмма","kilo","gram"
"графиня","барон","бапал","недофиня","baron","countess"
"греческий","римский","докский","гречелось","roman","greek"
"гром","молния","стания","грай","lightning","thunder"
"грудь","желудок","желубить","грезь","stomach","chest"
"грузовик","нагрузка","наклонка","грузочьей","load","cargo"
"грузовик","джип","джлт","грузочьей","jeep","truck"
"группа","банда","глуда","сестпа","gang","group"
"группа","оркестр","орчасть","сестпа","orchestra","band"
"грязный","противный","прональный","тричный","nasty","filthy"
"да","хорошо","хоротерс","кр","okay","yeah"
"давление","пульс","путыс","жертление","pulse","pressure"
"далеко","около","дилло","дагромко","near","far"
"дать","предложение","некроложение","лоть","offer","give"
"дверь","окно","дитно","inерь","window","door"
"двигатель","бак","хьк","двигаства","tank","engine"
"двоюродная сестра","родственник","родклассник","двоюродная сесгoвopить","relative","cousin"
"девушки","мальчики","удивчики","декладки","boys","girls"
"действовать","жест","жета","дейтесьвать","gesture","act"
"декабрь","ноябрь","нофиль","деравль","november","december"
"делать","сделать","каслать","дестим","make","do"
"демократия","свобода","бейсбода","демосвязьтия","freedom","democracy"
"демонстрация","акция протеста","акция проттepecнo","деандрестрация","protest","demonstration"
"день рождения","годовщина","гостильщина","день рождстоль","anniversary","birthday"
"деньги","денежные средства","денежные срезвельт","френги","cash","money"
"депрессия","стресс","стрешу","дебиопсия","stress","depression"
"деревня","лагерь","лагнул","деступня","camp","village"
"дерево","куст","куэн","дерерить","bush","tree"
"держать","держать","офижать","найжать","hold","keep"
"десятилетие","век","ерк","десятилекарств","century","decade"
"детектив","агент","агост","детекнусь","agent","detective"
"детство","молодежь","моломинс","ошиство","youth","childhood"
"дешевый","дорого","доватьго","дешестёр","expensive","cheap"
"деятельность","активный","акнальный","деятельствен","active","activity"
"джульетта","ромео","роуль","джуадапта","romeo","juliet"
"динамит","порох","поска","динакорм","gunpowder","dynamite"
"динг","пинг","пибо","диху","ping","ding"
"директор","режиссер","респенсер","дистратор","producer","director"
"длина","размер","разсит","тенна","size","length"
"длинная","короткая","коротства","сладная","short","long"
"до свидания","привет","причто","до свиддресс","hello","bye"
"добровольно","волонтер","волондоне","добропраздно","volunteer","voluntarily"
"довольно часто","иногда","инороу","довольно чблоуэр","sometimes","often"
"доказательство","свидетельство","свидеандрество","доказательмкнуть","evidence","proof"
"доктор","врач хирург","врач хандра","снятор","surgeon","doctor"
"документ","файл","фаль","докувишь","file","document"
"долг","обязанность","обязанством","дојх","responsibility","duty"
"долина","пустыня","пууклоня","досрочна","desert","valley"
"доллар","фунт","фуял","долект","pound","dollar"
"дополнительный","дополнительный","добратьснительный","добратьснительный","extra","additional"
"дорожка","маршрут","грамрут","докличка","route","path"
"достаточный","достаточно","достапраздно","достасмертный","enough","sufficient"
"достоинство","гордость","горплыть","достоинфаркт","pride","dignity"
"достойный","заслуживать","заслужиством","добранный","deserve","worthy"
"доход","выгода","выстрада","дощал","profit","income"
"драгоценность","алмаз","аларк","драгоценством","diamond","jewel"
"друг","коллега","стралега","дрюи","colleague","friend"
"дружба","отношение","отношекласс","чрезба","relationship","friendship"
"дружелюбный","вежливый","сконливый","дружестройный","polite","friendly"
"думать","рассмотреть возможность","рассмотреть возмотepecнo","дунишь","consider","think"
"дух","душа","дусов","мых","soul","spirit"
"духи","помада","помалось","орихи","lipstick","perfume"
"дыра","трескаться","ведькаться","увора","crack","hole"
"дьявол","ангел","анвык","дьягун","angel","devil"
"еда","еда","liа","hoа","food","meal"
"енот","белка","розка","huот","squirrel","raccoon"
"есть","подача","подались","amть","feed","eat"
"еще","уже","юсе","дзе","already","still"
"жажда","голод","госяк","впида","hunger","thirst"
"жалкий","убогий","убомец","бизкий","miserable","pathetic"
"жевать","глотать","бентать","жетесь","swallow","chew"
"желание","желание","желадель","желадель","desire","wish"
"желтый","красный","кольный","никтый","red","yellow"
"жена","муж","ндж","комна","husband","wife"
"женат замужем","один","атин","женат замяпппяя","single","married"
"женский","мужчина","необчина","утоский","male","female"
"женщина","вдова","угава","ставщина","widow","woman"
"жесткий","жесткий","ненький","пенький","tough","hard"
"жестокий","жестокий","жеденький","жекраткий","brutal","cruel"
"жестокость","зло","лно","жесторонне","evil","cruelty"
"животное","зверь","joерь","жигнусное","beast","animal"
"жидкость","жидкость","учёкость","лункость","liquid","fluid"
"журнал","playboy","playsty","флонал","playboy","magazine"
"журналистка","репортер","репорвить","журнасверчка","reporter","journalist"
"завтрак","ужин","cвин","завталс","dinner","breakfast"
"заглавие","имя","выя","загланелл","name","title"
"заграничный пасспорт","проездной билет","проездной бткнусь","заграничный патepecнo","ticket","passport"
"задний","передний","передкост","улоний","front","rear"
"заем","кредит","кренем","задат","credit","loan"
"заказ","команда","коосужда","забым","command","order"
"заключенный","заложник","зачельник","завзвинченный","hostage","prisoner"
"закрытие","открытие","открыдешь","закрыдешь","opening","closure"
"закрыто","заблокирован","заткнутькирован","занекото","locked","closed"
"заменять","заменять","заместей","заместей","replace","substitute"
"замечательный","исключительно","исключинесчастно","замечанеуместный","exceptional","remarkable"
"замок","ключ","клoю","зарем","key","lock"
"замок","дворец","двобью","зарем","palace","castle"
"заморозить","таять","тамош","замороствие","melt","freeze"
"западный","южный","южешь","зачтенный","southern","western"
"запах","вкус","eмус","занию","taste","smell"
"записывать","читать","чиском","записыством","read","write"
"запись","записывать","записыством","зафилд","record","recording"
"запомнить","забывать","забыский","запомском","forget","remember"
"запрещать","запрещенный","запрерватьный","запрельща","forbidden","prohibit"
"запрос","спрос","спекс","запьем","demand","request"
"зарплата","пенсия","пенный","уклаплата","pension","salary"
"захватывающий","сенсационный","ричардсационный","зательствтывающий","sensational","spectacular"
"защищать","защищать","защистил","защистил","protect","defend"
"звезда","знаменитость","знамениральд","древда","celebrity","star"
"звук","шум","aeм","жмук","noise","sound"
"зеркало","отражение","отражеством","ускокало","reflection","mirror"
"зима","лето","почто","ресма","summer","winter"
"змея","червь","чейзь","енея","worm","snake"
"знал","распознавать","распознаством","нaал","recognize","knew"
"знание","опыт","опby","значен","experience","knowledge"
"знать","сейчас","сейрей","укать","now","know"
"зона","площадь","пловант","грена","area","zone"
"зонд","капсула","олимсула","зоде","capsule","probe"
"зрение","открытие","открыдешь","плюние","revelation","vision"
"зуб","гвоздь","slоздь","взб","nail","tooth"
"игра","играть","игнишь","черра","play","game"
"игрок","тренер","тречил","игбит","coach","player"
"игрушка","кукла","ларла","игсверка","doll","toy"
"идеально","идеал","глоал","встуально","ideal","perfect"
"идиот","дурак","дупые","войот","fool","idiot"
"идти","войти","утоти","внети","enter","go"
"избирательный","кандидат","кандитовь","избиранесчастный","candidate","voter"
"известный","популярный","попутральный","изтальный","popular","famous"
"извинение","простить","пробрать","извинеством","forgive","excuse"
"изгородь","стена","льона","изголавр","wall","fence"
"изучать","исследование","иснеправдование","легчать","research","study"
"император","имперский","импергерл","имперамаунт","imperial","emperor"
"империя","династия","динапряж","импетать","dynasty","empire"
"инвестор","банкир","банжое","инвеликс","banker","investor"
"индивидуальный","человек","челощишь","индивидунеуместный","person","individual"
"иностранец","нло","rbо","иноблизнец","ufo","alien"
"инструмент","инструмент","инфрагмент","инструвишь","tool","instrument"
"интересно","захватывающе","зательствтывающе","интестолкно","exciting","interesting"
"интимный","личный","астный","инубойный","personal","intimate"
"интуиция","инстинкт","инмстить","интуимость","instinct","intuition"
"инфекционное заболевание","вирус","вижах",NA,"virus","infection"
"информация","данные","съеные","информастерс","data","information"
"информировать","источник","исзильник","информироулингс","source","informant"
"инъекция","доза","донов","плейекция","dose","injection"
"ироничности","ирония","пайния","подысничности","irony","ironic"
"искусственный","естественный","главственный","искусклассный","natural","artificial"
"исполнение","висит","вимер","исустранение","hanging","execution"
"использовать","применять","приместей","использоством","apply","use"
"испытание","препятствие","препятмость","испытастроф","obstacle","challenge"
"истребитель","чемпион","плотпион","истребильярд","champion","fighter"
"исход","результат","реплантат","истья","result","outcome"
"исчезновение","смерть","эферть","исстрастновение","death","disappearance"
"июль","июнь","еинь","уэль","june","july"
"как правило","как обычно","как обышеств","как правстрам","normally","usually"
"какой ужас","ужасный","трясный","какой кабрь","terrible","horrible"
"камень","рок","еск","кадерс","rock","stone"
"капел","церковь","цердырь","кадые","church","chapel"
"капитализм","анархия","анарреи","капитаверне","anarchy","capitalism"
"капитан","командир","команньем","капичишь","commander","captain"
"кардинал","епископ","пческоп","кардиджея","bishop","cardinal"
"карта","компас","комлуй","цепта","compass","map"
"картель","мафия","манул","стотель","mafia","cartel"
"качественный","количество","количегнать","качелюстьный","quantity","quality"
"квартира","жилой дом","жилойпнмс","мерттира","house","apartment"
"кемпинг","пикник","ломник","идупинг","picnic","camping"
"кислород","воздух","возтeр","кислобать","air","oxygen"
"кладбище","могила","мовергла","одесбище","grave","cemetery"
"классика","типичный","тиблудный","партсика","typical","classic"
"клиент","пациент","пацистие","клирья","patient","client"
"клиника","больница","следница","спраника","hospital","clinic"
"клубника","банан","баетс","внедника","banana","strawberry"
"клятва","клясться","некстася","ближва","swear","oath"
"книга","библия","улелия","тарга","bible","book"
"ковбой","родео","роэйд","ковлям","rodeo","cowboy"
"ковер","пол","елл","котой","floor","carpet"
"когда-либо","никогда","николеть","конеумолибо","never","ever"
"колено","плечо","туччо","ставлено","shoulder","knee"
"количество","сумма","мокма","количегнать","sum","amount"
"команда","лига","лиров","коосужда","league","team"
"комедия","драма","скома","коменюсь","drama","comedy"
"комиссар","инспектор","инаудитор","комисучим","inspector","commissioner"
"комитет","комиссия","комисщать","комихаль","commission","committee"
"коммуникация","навигация","навигарольд","коммуникастрюли","navigation","communication"
"коммунистический","расист","рапинг","коммунистичетельств","racist","communist"
"компьютерный","программное обеспечение","программное обеспечстройств","компьюкрёстный","software","computer"
"конституция","закон","завее","конгресстуция","law","constitution"
"конфиденциальность","частный","кретный","конфиденциальставлет","private","privacy"
"концентрат","фокус","фофин","конценстыл","focus","concentrate"
"концерт","тур","стр","конконт","tour","concert"
"коньяк","ром","poм","корьез","rum","cognac"
"корабль","экипаж","экимяк","коравьи","crew","ship"
"король","королева","ковступлева","котром","queen","king"
"корпорация","компания","компалась","корпорадость","company","corporation"
"кот","собака","соуспока","атт","dog","cat"
"кофе","кружка","огурка","коляс","cup","coffee"
"красота","очарование","устрорование","спонсота","charm","beauty"
"крах","осень","гвень","кррь","fall","collapse"
"креативность","воображение","воображебратьс","креативством","imagination","creativity"
"кризис","ситуация","ситуаность","кривон","situation","crisis"
"кровать","диван","дитом","здавать","sofa","bed"
"кролик","лиса","лифор","раблик","fox","rabbit"
"крыса","мышь","усшь","венса","mouse","rat"
"куртка","рубашка","русъёмка","учрека","shirt","jacket"
"кусок","фрагмент","окрамент","кунях","fragment","piece"
"лев","дракон","драсер","вов","dragon","lion"
"легенда","миф","афф","леральда","myth","legend"
"легкий","невозможный","охранможный","легвое","impossible","easy"
"леди","господин","госпочтет","леней","lord","lady"
"лейтенант","сержант","сернотт","лейтелогг","sergeant","lieutenant"
"лекция","семинар","семилоть","ввеция","seminar","lecture"
"лес","джунгли","джуньюи","ютс","jungle","forest"
"летать","земля","хриля","леграм","land","fly"
"лечение","терапия","терадаст","леческая","therapy","treatment"
"лечить","восстанавливаться","восстанавлипроснемся","лестве","recover","heal"
"лжец","ложь","лоic","ссец","lie","liar"
"либеральный","консервативный","конфольксвативный","либесмертный","conservative","liberal"
"лидер","член","cнен","линят","member","leader"
"лизать","отстой","оттеть","листам","suck","lick"
"лимузин","такси","клюси","лимуграф","taxi","limousine"
"линг","минь","миты","лиет","ming","ling"
"литература","изобразительное искусство",NA,"литературательств","art","literature"
"личность","персонаж","персохоть","улоность","character","personality"
"лишение свободы","пенальти","петерсти","несчастлишение свободы","penalty","imprisonment"
"ловить","схватить","охоттить","лостью","grab","catch"
"ловля рыбы","охота","фурта","ловля ргладь","hunting","fishing"
"лодка","подводная лодка","подводная лотepecнo","шечка","submarine","boat"
"ложный","подделка","подопытка","ванный","fake","FALSE"
"лошадь","осел","осбо","лобить","donkey","horse"
"лук","чеснок","хорнок","йск","garlic","onion"
"любовь","ненавидеть","принвидеть","люгерь","hate","love"
"люди","население","населеграмм","преди","population","people"
"майонез","кетчуп","кеторт","майоусом","ketchup","mayonnaise"
"максимум","минимально","минивзволно","максидвик","minimum","maximum"
"мальчик","девочка","деклетка","мальвым","girl","boy"
"мама","папочка","паласька","мации","daddy","mum"
"манипулировать","контроль","кондольф","манипулиротepecнo","control","manipulate"
"маркетинг","реклама","ресмотма","маркезель","advertising","marketing"
"масло","медовый","медосроч","своло","honey","butter"
"масло","каменный уголь","каменный фандре","своло","coal","oil"
"массаж","йога","рейга","масбур","yoga","massage"
"математика","физика","фиуловка","матеманевестка","physics","mathematics"
"машина","робот","ронес","маленьна","robot","machine"
"машина","транспортное средство","транспортное сретepecнo","маленьна","vehicle","car"
"медаль","трофей","тропяп","медине","trophy","medal"
"медальон","артефакт","артегилл","медазине","artifact","medallion"
"менструация","посольство","погрузство","справструация","embassy","ministry"
"мероприятие","феномен","феношусь","меролевствятие","phenomenon","event"
"мертвых","живой","жимаю","спровых","alive","dead"
"местный","региональный","региовстречный","братный","regional","local"
"место нахождения","место","межаю","место нахождпястьем","place","location"
"металл","железо","желестер","мегерл","iron","metal"
"метр","километр","килозвал","мебс","kilometer","meter"
"механический","техническое средство","техническое срегoвopить","механичебратьс","technical","mechanical"
"мечтать","кошмар","кошдие","пубтать","nightmare","dream"
"мешок","коробка","кодентка","мечью","box","bag"
"микроскоп","телескоп","телегать","микротерс","telescope","microscope"
"микрофон","камера","каменять","светрофон","camera","microphone"
"миллиард","миллион","франлион","миллистье","million","billion"
"милосердие","прощение","вooбщение","милосербрать","forgiveness","mercy"
"милый","милая","мисят","мизал","sweet","cute"
"мимо","будущее","будувать","гормо","future","past"
"министр","посол","поэлх","мичесть","ambassador","minister"
"минус","плюс","плол","мибам","plus","minus"
"минута","второй","генрой","мипланта","second","minute"
"мир","международный","остальдународный","абр","international","world"
"миссия","задача","задались","дарсия","task","mission"
"младший","старший","старста","сканший","senior","junior"
"молодой","старый","стасия","моломакс","old","young"
"молоток","палка","сунка","молоурен","stick","hammer"
"монастырь","детский дом","детскийцикл","монадвинь","orphanage","convent"
"монастырь","храм","омам","монадвинь","temple","monastery"
"мониторинг","экран","фиран","монитоствуй","screen","monitor"
"морфий","аспирин","аспиталь","морсяч","aspirin","morphine"
"моряк","пиратский","пиратледж","мобмн","pirate","sailor"
"мотель","отель","оттеь","мостей","hotel","motel"
"моча","кровь","кремь","моших","blood","urine"
"мошенничество","заговор","загочьей","мошенничеткнуть","conspiracy","fraud"
"музей","библиотека","разыглиотека","мужёр","library","museum"
"музыка","джаз","джрп","муослика","jazz","music"
"музыкант","певица","перетьца","музыгись","singer","musician"
"мука","зерно","рийно","стека","grain","flour"
"муравей","пчела","сатла","мурамить","bee","ant"
"мусор","мусор","мухай","мурею","trash","garbage"
"мутация","эволюция","эволюсень","мутатель","evolution","mutation"
"мышцы","нервность","кренность","убоцы","nerve","muscle"
"мэр","шериф","шехью","цср","sheriff","mayor"
"мясо","свинина","мельнина","мяраю","pork","meat"
"наверное","может быть","можетзлишь","начальное","maybe","probably"
"навсегда","вечный","русный","научатгда","eternal","forever"
"награда","бонус","бомим","наубежда","bonus","reward"
"нажимать","кнопка","квинка","нажистов","button","press"
"найти","поиск","понэм","гетти","search","find"
"намерение","цель","цейт","намерестань","purpose","intention"
"намеренно","случайно","слувдохно","наместитьно","accidentally","intentionally"
"наносить удар","удар","лыар","наносить нальдс","hit","strike"
"наоборот","противоположный","противопонесчастный","наобоулинг","opposite","contrary"
"напрямую","непосредственный","непосредтральный","напряфорд","direct","directly"
"напугать","напугать","напустер","напустим","scare","frighten"
"насекомое","паук","пахой","насекостыль","spider","insect"
"наследовать","наследство","нахульство","наследоукинс","heritage","inherit"
"настоящий","истинный","испыльный","напрячьящий","TRUE","real"
"наука","технология","управнология","наунинг","technology","science"
"нация","страна","вьетна","навод","country","nation"
"начальный","вторичный","втогнусный","настойный","secondary","primary"
"небесный","небо","неке","недавный","sky","heavenly"
"небольшой","маленький","маблизкий","небольрус","little","small"
"невеста","жених","желял","невеший","groom","bride"
"невзгоды","бедность","ванность","невнятды","poverty","misery"
"недельно","ежедневно","ежегласно","стрельно","daily","weekly"
"неделю","месяц","меэйс","дерзлю","month","week"
"нежный","мягкий","теский","варный","soft","gentle"
"неизвестный","аноним","дарним","неизстойный","anonymous","unknown"
"неожиданно","вдруг внезапно","карлсовнезапно","справданно","suddenly","unexpectedly"
"неприятный","неудобный","сверхъный","встреятный","uncomfortable","unpleasant"
"нервный","волновался","праздновался","претный","worried","nervous"
"неспособный","неспособность","скрытсобность","осматсобный","inability","unable"
"несправедливый","несправедливость","страстведливость","страстведливый","injustice","unfair"
"несчастье","несчастный","джентльный","несчаконе","unfortunate","misfortune"
"нижний","верх","вечу","козний","top","bottom"
"новости","канал","калин","новоохра","channel","news"
"нож","меч","люч","идж","sword","knife"
"нос","рот","лст","арс","mouth","nose"
"носовой платок","ткань","сжань","носовой плткнешь","cloth","handkerchief"
"нужно","необходимо","взгляходимо","девно","necessary","need"
"о","вне","аге","av","out","about"
"обвинение","жалоба","жаложись","обвинеством","complaint","accusation"
"обед","закуска","застрака","обуз","snack","lunch"
"обещать","гарантия","гасмертия","крущать","guarantee","promise"
"обидеть","оскорблять","непредлять","джедеть","insult","offend"
"обнимать","целовать","целограм","обнистра","kiss","hug"
"образование","здоровье","здоронетт","образовабратьс","health","education"
"обслуживание","оказание услуг","оказаниепёпппя","обслуживабратьс","service","maintenance"
"обсуждение","беседа","бесерьёз","обвзглядение","conversation","discussion"
"обувь","ботинок","ботимист","обысь","boot","shoe"
"обычный","обычный","стырный","опусный","ordinary","usual"
"обычный","здоровый","принровый","опусный","healthy","normal"
"ограбить","воровать","воросток","углубить","steal","rob"
"ограбление","кража","стижа","утренление","theft","robbery"
"огромный","большой","больжми","граммный","big","huge"
"одеваться","юбка","купка","одебрался","skirt","dress"
"одинокий","в одиночестве","в одиночнингса","одиноэлль","alone","lonely"
"одобрение","разрешение","разрешекласс","класрение","permission","approval"
"ожерелье","звенеть","звекарь","смайрелье","ring","necklace"
