"ru_cue","ru_target","type","cue_type","target_type","ru_cosine"
"имея в виду","важность","related","word","word",NA
"ценный","важный","related","word","word",0.58453110552837
"противодействие","вакцина","related","word","word",0.31490609246363
"трейлер","ван","related","word","word",0.175377091791048
"корица","ваниль","related","word","word",0.544864721899654
"душ","ванная комната","related","word","word",NA
"выбор","вариант","related","word","word",0.44116692699174
"вниз","вверх","related","word","word",0.736732205662579
"вдохновлять","вдохновение","related","word","word",0.532475385097854
"интернет","веб","related","word","word",0.481711643880908
"проклинать","ведьма","related","word","word",0.235403043991307
"марс","венера","related","word","word",0.412076140403416
"клапан","вентиляция","related","word","word",0.42848663906664
"надеяться","вера","related","word","word",0.302597957350364
"цепь","веревка","related","word","word",0.375667049894558
"назад","вернуть","related","word","word",0.50932040851481
"лояльный","верный","related","word","word",0.562634938906077
"скорая помощь","вертолет","related","word","word",NA
"ниже","верх","related","word","word",0.334071019420968
"остроумный","веселая","related","word","word",0.344495976264966
"ночь","вечер","related","word","word",0.513011297953789
"лопаться","взорваться","related","word","word",0.32350667561637
"землетрясение","взрыв","related","word","word",0.434113857724094
"бомбить","взрывной","related","word","word",0.147095639235092
"dvd","видео","related","word","word",0.492426732637326
"ложка","вилка","related","word","word",0.577907712410781
"невиновный","виновный","related","word","word",0.856366781206564
"белок","витамин","related","word","word",0.452078226702564
"спид","вич","related","word","word",0.632028702581277
"финансы","вкладывать деньги","related","word","word",NA
"вкусно","вкусный","related","word","word",0.596037828578265
"имущество","владелец","related","word","word",0.289061827679299
"сухой","влажный","related","word","word",0.457048821457683
"юрисдикция","власть","related","word","word",0.315630490478973
"внутренний","внешний","related","word","word",0.646749109786769
"за пределами","внутри","related","word","word",NA
"пассажирский","водитель","related","word","word",0.396474530539801
"виски","водка","related","word","word",0.490712489918302
"углерод","водород","related","word","word",0.667962762351123
"морской","военно-морской","related","word","word",NA
"гражданское хозяйство","военный","related","word","word",NA
"гордый","возбужденный","related","word","word",0.313907797296194
"госпожа","возлюбленный","related","word","word",0.230960000201581
"шанс","возможность","related","word","word",0.698134424041835
"солдат","воин","related","word","word",0.494864921244936
"медведь","волк","related","word","word",0.557749302376856
"беспокойство","волноваться","related","word","word",0.443423979004713
"магия","волшебник","related","word","word",0.446363215406455
"портал","ворота","related","word","word",0.334503049041375
"суббота","воскресенье","related","word","word",0.553408476812764
"запад","восток","related","word","word",0.820909280356542
"леденца","впечатление","related","word","word",0.163558493618286
"перемена","вращаться","related","word","word",0.128009986820778
"видеть","встретить","related","word","word",0.384279700380498
"конференция","встреча","related","word","word",0.575021608699285
"понедельник","вторник","related","word","word",0.66431974022038
"выход","вход","related","word","word",0.496042927491261
"сегодня","вчера","related","word","word",0.59588643076508
"кампания","выборы","related","word","word",0.388889995559072
"выберите","выбрать","related","word","word",0.570327003398019
"жить","выживать","related","word","word",0.475375449049908
"похищение","выкуп","related","word","word",0.434990412632177
"пребытие","вылет из","related","word","word",NA
"диплом","выпускной","related","word","word",0.333335104564896
"описывать","выражать","related","word","word",0.454694349144359
"кашель","высокая температура","related","word","word",NA
"низкий","высоко","related","word","word",0.319645303969858
"невежество","высокомерие","related","word","word",0.598658129586125
"масса","высота","related","word","word",0.295476547111584
"величество","высочество","related","word","word",0.654360563552556
"галерея","выставка","related","word","word",0.587316527431203
"залив","гавань","related","word","word",0.394687323523636
"статья","газета","related","word","word",0.516125674031185
"вселенная","галактика","related","word","word",0.532319414309264
"иллюзия","галлюцинация","related","word","word",0.46062635807204
"связывать","галстук","related","word","word",0.142337341276234
"сэндвич","гамбургер","related","word","word",0.604877734578646
"мастерская","гараж","related","word","word",0.373686352402612
"остаток средств","гармония","related","word","word",NA
"в другом месте","где-то","related","word","word",NA
"лесбиянка","гей","related","word","word",0.536460346675382
"кокаин","героина","related","word","word",0.627401349252338
"фортепиано","гитара","related","word","word",0.4031568610584
"основание","главное управление","related","word","word",NA
"национальный","глобальный","related","word","word",0.535052016314264
"уронить","глоток","related","word","word",0.183897436286765
"безумие","глупость","related","word","word",0.449668667159439
"слепой","глухой","related","word","word",0.493774694007307
"следить","гнаться","related","word","word",0.466746115255929
"устала","голодный","related","word","word",0.294313769119015
"большинство","голосование","related","word","word",0.277661278169323
"ню","голый","related","word","word",0.0221046560577976
"холм","гора","related","word","word",0.313589050636081
"обезьяна","горилла","related","word","word",0.558635012321806
"столица","город","related","word","word",0.415658636390314
"килограмм","грамма","related","word","word",0.523406499072469
"барон","графиня","related","word","word",0.406540961430272
"римский","греческий","related","word","word",0.592731397483223
"молния","гром","related","word","word",0.42307995994037
"желудок","грудь","related","word","word",0.304968942770298
"нагрузка","грузовик","related","word","word",0.129601096564224
"джип","грузовик","related","word","word",0.61352084876029
"банда","группа","related","word","word",0.530290118219273
"оркестр","группа","related","word","word",0.31542957857703
"противный","грязный","related","word","word",0.588943851865285
"хорошо","да","related","word","word",0.305216413081533
"пульс","давление","related","word","word",0.500782761213815
"около","далеко","related","word","word",0.0966891094274643
"предложение","дать","related","word","word",0.193396065066838
"окно","дверь","related","word","word",0.49156643305159
"бак","двигатель","related","word","word",0.187186162779166
"родственник","двоюродная сестра","related","word","word",NA
"мальчики","девушки","related","word","word",0.467933530198126
"жест","действовать","related","word","word",0.159988090084549
"ноябрь","декабрь","related","word","word",0.695646756936443
"сделать","делать","related","word","word",0.690779784667698
"свобода","демократия","related","word","word",0.537186456068091
"акция протеста","демонстрация","related","word","word",NA
"годовщина","день рождения","related","word","word",NA
"денежные средства","деньги","related","word","word",NA
"стресс","депрессия","related","word","word",0.500028685544307
"лагерь","деревня","related","word","word",0.296239326751741
"куст","дерево","related","word","word",0.456058681758751
"держать","держать","related","word","word",1
"век","десятилетие","related","word","word",0.307636668574566
"агент","детектив","related","word","word",0.428630042561036
"молодежь","детство","related","word","word",0.259049437948931
"дорого","дешевый","related","word","word",0.297461800998216
"активный","деятельность","related","word","word",0.324123337973139
"ромео","джульетта","related","word","word",0.718632709319532
"порох","динамит","related","word","word",0.412960645052976
"пинг","динг","related","word","word",0.626194747570407
"режиссер","директор","related","word","word",0.413192518837801
"размер","длина","related","word","word",0.485721265036146
"короткая","длинная","related","word","word",0.705026423562534
"привет","до свидания","related","word","word",NA
"волонтер","добровольно","related","word","word",0.359846348215254
"иногда","довольно часто","related","word","word",NA
"свидетельство","доказательство","related","word","word",0.698153255399987
"врач хирург","доктор","related","word","word",NA
"файл","документ","related","word","word",0.54874508391643
"обязанность","долг","related","word","word",0.393058298023972
"пустыня","долина","related","word","word",0.476578507636146
"фунт","доллар","related","word","word",0.52035334167495
"дополнительный","дополнительный","related","word","word",1
"маршрут","дорожка","related","word","word",0.223207474190933
"достаточно","достаточный","related","word","word",0.668772328490804
"гордость","достоинство","related","word","word",0.466476060932406
"заслуживать","достойный","related","word","word",0.401853778040102
"выгода","доход","related","word","word",0.384342939934111
"алмаз","драгоценность","related","word","word",0.437499905131525
"коллега","друг","related","word","word",0.386454192971309
"отношение","дружба","related","word","word",0.288663321285016
"вежливый","дружелюбный","related","word","word",0.637681607916051
"рассмотреть возможность","думать","related","word","word",NA
"душа","дух","related","word","word",0.446398489727776
"помада","духи","related","word","word",0.246294847106049
"трескаться","дыра","related","word","word",0.241013507165773
"ангел","дьявол","related","word","word",0.507794391378561
"еда","еда","related","word","word",1
"белка","енот","related","word","word",0.366794550189479
"подача","есть","related","word","word",0.137920262152787
"уже","еще","related","word","word",0.410492471910351
"голод","жажда","related","word","word",0.446764318325085
"убогий","жалкий","related","word","word",0.574125483798159
"глотать","жевать","related","word","word",0.5479055049338
"желание","желание","related","word","word",1
"красный","желтый","related","word","word",0.690463090552045
"муж","жена","related","word","word",0.525099235335434
"один","женат замужем","related","word","word",NA
"мужчина","женский","related","word","word",0.327885936178274
"вдова","женщина","related","word","word",0.394969830870526
"жесткий","жесткий","related","word","word",1
"жестокий","жестокий","related","word","word",1
"зло","жестокость","related","word","word",0.36977946074406
"зверь","животное","related","word","word",0.509593141989163
"жидкость","жидкость","related","word","word",1
"playboy","журнал","related","word","word",0.326912317696595
"репортер","журналистка","related","word","word",0.577738504507568
"ужин","завтрак","related","word","word",0.652865472807439
"имя","заглавие","related","word","word",0.232253107708226
"проездной билет","заграничный пасспорт","related","word","word",NA
"передний","задний","related","word","word",0.677970279474714
"кредит","заем","related","word","word",0.594878804027601
"команда","заказ","related","word","word",0.110303137022078
"заложник","заключенный","related","word","word",0.383740862564742
"открытие","закрытие","related","word","word",0.750245145103356
"заблокирован","закрыто","related","word","word",0.335227227572318
"заменять","заменять","related","word","word",1
"исключительно","замечательный","related","word","word",0.160939455752749
"ключ","замок","related","word","word",0.399546465452555
"дворец","замок","related","word","word",0.532570071837037
"таять","заморозить","related","word","word",0.368551990952422
"южный","западный","related","word","word",0.584791556733859
"вкус","запах","related","word","word",0.560643274771782
"читать","записывать","related","word","word",0.438279157313968
"записывать","запись","related","word","word",0.428746112626582
"забывать","запомнить","related","word","word",0.430431329480539
"запрещенный","запрещать","related","word","word",0.484283583768089
"спрос","запрос","related","word","word",0.366648238689965
"пенсия","зарплата","related","word","word",0.611066844933343
"сенсационный","захватывающий","related","word","word",0.512224823407532
"защищать","защищать","related","word","word",1
"знаменитость","звезда","related","word","word",0.476192187272474
"шум","звук","related","word","word",0.606292203343529
"отражение","зеркало","related","word","word",0.478888810201229
"лето","зима","related","word","word",0.483486388954996
"червь","змея","related","word","word",0.329256984002947
"распознавать","знал","related","word","word",0.153985325814892
"опыт","знание","related","word","word",0.345563870469849
"сейчас","знать","related","word","word",0.260530986585627
"площадь","зона","related","word","word",0.399481516235841
"капсула","зонд","related","word","word",0.389960836785901
"открытие","зрение","related","word","word",0.148280168247444
"гвоздь","зуб","related","word","word",0.26558951752091
"играть","игра","related","word","word",0.532258527412779
"тренер","игрок","related","word","word",0.458460047320162
"кукла","игрушка","related","word","word",0.539768982017772
"идеал","идеально","related","word","word",0.468395989224356
"дурак","идиот","related","word","word",0.707253004851373
"войти","идти","related","word","word",0.361114835224587
"кандидат","избирательный","related","word","word",0.486477909890988
"популярный","известный","related","word","word",0.522143498492628
"простить","извинение","related","word","word",0.345169174506572
"стена","изгородь","related","word","word",0.359903685323885
"исследование","изучать","related","word","word",0.363825743608425
"имперский","император","related","word","word",0.455712119628202
"династия","империя","related","word","word",0.346855685692968
"банкир","инвестор","related","word","word",0.502495947514662
"человек","индивидуальный","related","word","word",0.200237520081509
"нло","иностранец","related","word","word",0.148103520472777
"инструмент","инструмент","related","word","word",1
"захватывающе","интересно","related","word","word",0.475318502976588
"личный","интимный","related","word","word",0.46424011645141
"инстинкт","интуиция","related","word","word",0.480089120872283
"вирус","инфекционное заболевание","related","word","word",NA
"данные","информация","related","word","word",0.466241786535211
"источник","информировать","related","word","word",0.158622662411978
"доза","инъекция","related","word","word",0.544113433448326
"ирония","ироничности","related","word","word",NA
"естественный","искусственный","related","word","word",0.62448967598215
"висит","исполнение","related","word","word",0.0849618281336118
"применять","использовать","related","word","word",0.634632237259668
"препятствие","испытание","related","word","word",0.379931906538566
"чемпион","истребитель","related","word","word",0.18024750822137
"результат","исход","related","word","word",0.370632592965678
"смерть","исчезновение","related","word","word",0.419068832323089
"июнь","июль","related","word","word",0.550929462878718
"как обычно","как правило","related","word","word",NA
"ужасный","какой ужас","related","word","word",NA
"рок","камень","related","word","word",0.179477452050493
"церковь","капел","related","word","word",NA
"анархия","капитализм","related","word","word",0.400734746177792
"командир","капитан","related","word","word",0.64502294992728
"епископ","кардинал","related","word","word",0.525400202312889
"компас","карта","related","word","word",0.383446069897313
"мафия","картель","related","word","word",0.434425004778347
"количество","качественный","related","word","word",0.26189004970989
"жилой дом","квартира","related","word","word",NA
"пикник","кемпинг","related","word","word",0.455146038085915
"воздух","кислород","related","word","word",0.547446138838248
"могила","кладбище","related","word","word",0.450753383473143
"типичный","классика","related","word","word",0.203628210098938
"пациент","клиент","related","word","word",0.524398087160857
"больница","клиника","related","word","word",0.676198550210112
"банан","клубника","related","word","word",0.40139425586043
"клясться","клятва","related","word","word",0.439522210588518
"библия","книга","related","word","word",0.495557267769025
"родео","ковбой","related","word","word",0.344070245718654
"пол","ковер","related","word","word",0.253758431475474
"никогда","когда-либо","related","word","word",NA
"плечо","колено","related","word","word",0.486461439013686
"сумма","количество","related","word","word",0.339293001335174
"лига","команда","related","word","word",0.397758494394644
"драма","комедия","related","word","word",0.507619386276115
"инспектор","комиссар","related","word","word",0.587452206100179
"комиссия","комитет","related","word","word",0.525167490676484
"навигация","коммуникация","related","word","word",0.522190869402686
"расист","коммунистический","related","word","word",0.32973046454114
"программное обеспечение","компьютерный","related","word","word",NA
"закон","конституция","related","word","word",0.449054524775254
"частный","конфиденциальность","related","word","word",0.251820605300466
"фокус","концентрат","related","word","word",0.184044103360053
"тур","концерт","related","word","word",0.457927029284784
"ром","коньяк","related","word","word",0.491682873312254
"экипаж","корабль","related","word","word",0.53867266474058
"королева","король","related","word","word",0.677503480228521
"компания","корпорация","related","word","word",0.605138011921761
"собака","кот","related","word","word",0.44799376845239
"кружка","кофе","related","word","word",0.33674839364427
"очарование","красота","related","word","word",0.432314087746771
"осень","крах","related","word","word",0.168318001251743
"воображение","креативность","related","word","word",0.325160479092598
"ситуация","кризис","related","word","word",0.362289567836519
"диван","кровать","related","word","word",0.606252213517
"лиса","кролик","related","word","word",0.397163744361915
"мышь","крыса","related","word","word",0.552028774465875
"рубашка","куртка","related","word","word",0.674657534202716
"фрагмент","кусок","related","word","word",0.484523671370216
"дракон","лев","related","word","word",0.407796991348751
"миф","легенда","related","word","word",0.455427519256389
"невозможный","легкий","related","word","word",0.426832560588819
"господин","леди","related","word","word",0.191184661563058
"сержант","лейтенант","related","word","word",0.651525729359065
"семинар","лекция","related","word","word",0.476506816678955
"джунгли","лес","related","word","word",0.44831301472413
"земля","летать","related","word","word",0.208051642083849
"терапия","лечение","related","word","word",0.44881569355785
"восстанавливаться","лечить","related","word","word",0.380114485434469
"ложь","лжец","related","word","word",0.364178793704976
"консервативный","либеральный","related","word","word",0.684035575586295
"член","лидер","related","word","word",0.376047543258156
"отстой","лизать","related","word","word",0.213196652405446
"такси","лимузин","related","word","word",0.526463020328362
"минь","линг","related","word","word",0.422342481108192
"изобразительное искусство","литература","related","word","word",NA
"персонаж","личность","related","word","word",0.287337531185826
"пенальти","лишение свободы","related","word","word",NA
"схватить","ловить","related","word","word",0.393121228674414
"охота","ловля рыбы","related","word","word",NA
"подводная лодка","лодка","related","word","word",NA
"подделка","ложный","related","word","word",0.278311024027051
"осел","лошадь","related","word","word",0.339261610288221
"чеснок","лук","related","word","word",0.506895572141931
"ненавидеть","любовь","related","word","word",0.217822423971269
"население","люди","related","word","word",0.223515291304883
"кетчуп","майонез","related","word","word",0.534917845410573
"минимально","максимум","related","word","word",0.361288937162233
"девочка","мальчик","related","word","word",0.646568194556938
"папочка","мама","related","word","word",0.561381181852367
"контроль","манипулировать","related","word","word",0.334859950427833
"реклама","маркетинг","related","word","word",0.387308262601144
"медовый","масло","related","word","word",0.273151374241124
"каменный уголь","масло","related","word","word",NA
"йога","массаж","related","word","word",0.488064500815959
"физика","математика","related","word","word",0.67675866303845
"робот","машина","related","word","word",0.282760747883382
"транспортное средство","машина","related","word","word",NA
"трофей","медаль","related","word","word",0.367428912714449
"артефакт","медальон","related","word","word",0.446035027347584
"посольство","менструация","related","word","word",0.0767829788584631
"феномен","мероприятие","related","word","word",0.180069461122498
"живой","мертвых","related","word","word",0.373864977720433
"региональный","местный","related","word","word",0.468766763559185
"место","место нахождения","related","word","word",NA
"железо","металл","related","word","word",0.485839177008554
"километр","метр","related","word","word",0.569122400820812
"техническое средство","механический","related","word","word",NA
"кошмар","мечтать","related","word","word",0.253855463447867
"коробка","мешок","related","word","word",0.356833558311572
"телескоп","микроскоп","related","word","word",0.572757234376051
"камера","микрофон","related","word","word",0.419327379605488
"миллион","миллиард","related","word","word",0.688882380080409
"прощение","милосердие","related","word","word",0.529907367222469
"милая","милый","related","word","word",0.52054622574266
"будущее","мимо","related","word","word",0.170964006507372
"посол","министр","related","word","word",0.524883173800402
"плюс","минус","related","word","word",0.577006106487498
"второй","минута","related","word","word",0.140920269353017
"международный","мир","related","word","word",0.188582080272603
"задача","миссия","related","word","word",0.535125456517113
"старший","младший","related","word","word",0.625715099926922
"старый","молодой","related","word","word",0.384285513071037
"палка","молоток","related","word","word",0.392315279002254
"детский дом","монастырь","related","word","word",NA
"храм","монастырь","related","word","word",0.479351724917899
"экран","мониторинг","related","word","word",0.394451051247803
"аспирин","морфий","related","word","word",0.564410491574563
"пиратский","моряк","related","word","word",0.341155608864891
"отель","мотель","related","word","word",0.722134772121407
"кровь","моча","related","word","word",0.519769531633266
"заговор","мошенничество","related","word","word",0.34365146192714
"библиотека","музей","related","word","word",0.401878916901809
"джаз","музыка","related","word","word",0.525467810081066
"певица","музыкант","related","word","word",0.465132968721343
"зерно","мука","related","word","word",0.349000442864917
"пчела","муравей","related","word","word",0.372948801420359
"мусор","мусор","related","word","word",1
"эволюция","мутация","related","word","word",0.545961528968523
"нервность","мышцы","related","word","word",NA
"шериф","мэр","related","word","word",0.558103288599466
"свинина","мясо","related","word","word",0.476430334117395
"может быть","наверное","related","word","word",NA
"вечный","навсегда","related","word","word",0.153736807844274
"бонус","награда","related","word","word",0.34378121284589
"кнопка","нажимать","related","word","word",0.542784105558871
"поиск","найти","related","word","word",0.344840483044313
"цель","намерение","related","word","word",0.326142029577534
"случайно","намеренно","related","word","word",0.461078820987181
"удар","наносить удар","related","word","word",NA
"противоположный","наоборот","related","word","word",0.33991638582694
"непосредственный","напрямую","related","word","word",0.489842507384285
"напугать","напугать","related","word","word",1
"паук","насекомое","related","word","word",0.407004538910464
"наследство","наследовать","related","word","word",0.644809269334044
"истинный","настоящий","related","word","word",0.573535616303792
"технология","наука","related","word","word",0.541986913336098
"страна","нация","related","word","word",0.574364349901338
"вторичный","начальный","related","word","word",0.52921481178748
"небо","небесный","related","word","word",0.46854635965661
"маленький","небольшой","related","word","word",0.543287828573461
"жених","невеста","related","word","word",0.674590726125059
"бедность","невзгоды","related","word","word",0.306389073760831
"ежедневно","недельно","related","word","word",NA
"месяц","неделю","related","word","word",0.704987952428078
"мягкий","нежный","related","word","word",0.589177277885578
"аноним","неизвестный","related","word","word",0.329745523709007
"вдруг внезапно","неожиданно","related","word","word",NA
"неудобный","неприятный","related","word","word",0.561596683923728
"волновался","нервный","related","word","word",0.257378448531698
"неспособность","неспособный","related","word","word",0.589649156263541
"несправедливость","несправедливый","related","word","word",0.694440872893032
"несчастный","несчастье","related","word","word",0.529683400177301
"верх","нижний","related","word","word",0.295698953693937
"канал","новости","related","word","word",0.390186175875478
"меч","нож","related","word","word",0.559716182292283
"рот","нос","related","word","word",0.511395677883864
"ткань","носовой платок","related","word","word",NA
"необходимо","нужно","related","word","word",0.791745498466337
"вне","о","related","word","word",0.127170443000274
"жалоба","обвинение","related","word","word",0.340889638318474
"закуска","обед","related","word","word",0.416273894685694
"гарантия","обещать","related","word","word",0.386119148134661
"оскорблять","обидеть","related","word","word",0.464730029379743
"целовать","обнимать","related","word","word",0.648307725478655
"здоровье","образование","related","word","word",0.307202281972203
"оказание услуг","обслуживание","related","word","word",NA
"беседа","обсуждение","related","word","word",0.315790007820909
"ботинок","обувь","related","word","word",0.449682878625724
"обычный","обычный","related","word","word",1
"здоровый","обычный","related","word","word",0.41336898576322
"воровать","ограбить","related","word","word",0.400156809072276
"кража","ограбление","related","word","word",0.514657689032047
"большой","огромный","related","word","word",0.688507785910269
"юбка","одеваться","related","word","word",0.338606730472958
"в одиночестве","одинокий","related","word","word",NA
"разрешение","одобрение","related","word","word",0.544845487444957
"звенеть","ожерелье","related","word","word",0.272345929800926
"ждать","ожидать","related","word","word",0.579509597918966
"река","озеро","related","word","word",0.406135711437188
"помощь","оказывать помощь","related","word","word",NA
"море","океан","related","word","word",0.657673292266605
"круглый","около","related","word","word",0.1902681007157
"финал","окончательный","related","word","word",0.285222707361068
"округ","округ","related","word","word",1
"сентябрь","октябрь","related","word","word",0.795648594384232
"тунец","омар","related","word","word",0.243592038494642
"риск","опасность","related","word","word",0.514454066962579
"рискованный","опасный","related","word","word",0.604916420137537
"действовать","операция","related","word","word",0.238017025392144
"профиль","описание","related","word","word",0.423082120786915
"концепция","определение","related","word","word",0.333245319962838
"планета","орбита","related","word","word",0.578265012351531
"договариваться","организовать","related","word","word",0.244346111456626
"пистолет","оружие","related","word","word",0.639267600989837
"арсенал","оружитель","related","word","word",NA
"свежий","освежать","related","word","word",0.390505263864481
"весна","осень","related","word","word",0.594278483656182
"оставаться","оставаться","related","word","word",1
"правильно","осталось","related","word","word",0.144999585533754
"не допустить","остановка","related","word","word",NA
"отвечать","ответить","related","word","word",0.744544456106983
"грязный","отвратительный","related","word","word",0.639237223937182
"мама","отец","related","word","word",0.526250048559012
"успех","отказ","related","word","word",0.225363691696018
"превосходно","отличный","related","word","word",0.415643091143387
"мнение","отношение","related","word","word",0.490456138783256
"днк","отпечаток руки","related","word","word",NA
"приносить","отправить","related","word","word",0.220398018181571
"положительный","отрицательный","related","word","word",0.779224814175707
"присутствие","отсутствие","related","word","word",0.584048009034143
"стол письменный","офис","related","word","word",NA
"официально","официальный","related","word","word",0.660754888058315
"официант","официантка","related","word","word",0.721462443848942
"наблюдение","оценка","related","word","word",0.196561292380395
"привлекательный","очаровательный","related","word","word",0.722824683051557
"четко","очевидно","related","word","word",0.240695397978965
"очень сильно","очень","related","word","word",NA
"ошибка","ошибка","related","word","word",1
"салон самолета","палуба","related","word","word",NA
"дядя","папа","related","word","word",0.594552844749018
"сверхъестественное","паранормальное явление","related","word","word",NA
"код","пароль","related","word","word",0.645258178102149
"стойка регистрации","партия","related","word","word",NA
"сторожить","патруль","related","word","word",0.247382869733479
"влагалище","пенис","related","word","word",0.451852515544959
"датчик","передатчик","related","word","word",0.756644333987395
"переехать","передача","related","word","word",0.0941187789845207
"разгромить","перерыв","related","word","word",0.104328261646936
"радиус","периметр","related","word","word",0.474832334518984
"фаза","период","related","word","word",0.319798807209046
"посмотреть","перспектива","related","word","word",0.100375555858527
"альбом","песня","related","word","word",0.425614865387203
"грязь","песок","related","word","word",0.434283119163909
"почка","печень","related","word","word",0.594876715369167
"духовой шкаф","печь","related","word","word",NA
"напиток","пиво","related","word","word",0.457048609952451
"астронавт","пилота","related","word","word",0.323849224826409
"поэт","писатель","related","word","word",0.555698277465969
"винтовка","пистолет","related","word","word",0.503823181266926
"телеграмма","письмо","related","word","word",0.47484622624304
"чтение","пишу","related","word","word",0.281385606006499
"тонуть","плавать","related","word","word",0.512137706774744
"пожар","пламя","related","word","word",0.408967264651472
"подготовка","планирование","related","word","word",0.464050027506663
"цемент","пластик","related","word","word",0.448968853561968
"чаша","пластина","related","word","word",0.277530397675903
"внук","племянник","related","word","word",0.537596798469293
"хорошо","плохой","related","word","word",0.282652605167447
"якорь","плыть","related","word","word",0.469281046387429
"бежать","побег","related","word","word",0.357561505380184
"неудачник","победитель","related","word","word",0.399635403218981
"усиление","победить","related","word","word",0.192904129573104
"пляж","побережье","related","word","word",0.44990143275952
"слой","поверхность","related","word","word",0.417483889913063
"комплимент","подарок","related","word","word",0.44691687625607
