fi_cue,fi_target,type,cue_type,target_type,fi_cosine
halkeama,reikä,related,word,word,0.527097591228093
dekaani,professori,related,word,word,0.44792918726962
dna,sormenjälki,related,word,word,0.526896594080986
draama,komedia,related,word,word,0.470727937817791
dramaattinen,romanttinen,related,word,word,0.522181850577267
dvd,video,related,word,word,0.443997803114474
dynastia,valtakunta,related,word,word,0.41920095562266
etuosa,takaosa,related,word,word,0.642494178897337
edetä,jatkaa,related,word,word,0.354697819331444
edistyminen,kehitys,related,word,word,0.524391791248247
ehdokas,äänestäjä,related,word,word,0.542435532098092
esittää,ehdottaa,related,word,word,0.326828620675182
ehdottomasti,täysin,related,word,word,0.314584265213197
ei koskaan,koskaan,related,word,word,
ei mitään,jotain,related,word,word,
elää,selvitä,related,word,word,0.334343038008263
eläintarha,sirkus,related,word,word,0.435403376417969
eläke,palkka,related,word,word,0.462151924434448
ele,esitys,related,word,word,0.30991705056235
elokuva,teatteri,related,word,word,0.420135581948971
elossa,kuollut,related,word,word,0.445989608120984
rakastajatar,rakastaja,related,word,word,0.758735736254624
englanti,ranska,related,word,word,0.70615131498282
enkeli,paholainen,related,word,word,0.510782075261923
ennätys,äänite,related,word,word,0.227215460420349
ensimmäinen,viimeinen,related,word,word,0.679686216708775
epäillä,epäilty,related,word,word,0.481702360518379
epämukava,epämiellyttävä,related,word,word,0.628780412247044
epäoikeudenmukaisuus,epäoikeudenmukainen,related,word,word,0.862112577007695
epätavallinen,outo,related,word,word,0.542503918435657
erikoinen,ainutlaatuinen,related,word,word,0.575662861285395
erinomainen,loistava,related,word,word,0.749040423237694
erittäin,hyvin,related,word,word,0.599851980053543
eroaminen,hylkääminen,related,word,word,0.643204525457868
saattaa,seurata,related,word,word,0.198522009994898
esiintyä,tapahtua,related,word,word,0.341216687936776
kohde,tekijä,related,word,word,0.335541899429497
artefakti,medaljonki,related,word,word,0.405203308562891
estää,lopettaa,related,word,word,0.370585449432189
este,haaste,related,word,word,0.364556616522592
etäisyys,nopeus,related,word,word,0.550022672701532
etana,kilpikonna,related,word,word,0.394094629793299
etelä,pohjoinen,related,word,word,0.425002442720463
eteläinen,läntinen,related,word,word,0.541579964923409
etuoikeus,kunnia,related,word,word,0.542530847862654
evoluutio,mutaatio,related,word,word,0.476936676757706
fiksu,älykäs,related,word,word,0.775845849435622
filosofia,uskonto,related,word,word,0.418008253013794
flunssa,sairaus,related,word,word,0.476193999500411
laituri,asema,related,word,word,0.293002458545417
fysiikka,matematiikka,related,word,word,0.728361386648876
galleria,näyttely,related,word,word,0.545490725938692
generaattori,reaktori,related,word,word,0.589243761107414
golf,tennis,related,word,word,0.464402393716397
haava,vamma,related,word,word,0.594932468426933
etsiä,löytää,related,word,word,0.627917059802155
hai,kala,related,word,word,0.540441684014971
hallinto,hallitus,related,word,word,0.627647521952098
hallita,onnistua,related,word,word,0.239489041866972
varoitus,hälytys,related,word,word,0.376307267702599
hämähäkki,hyönteinen,related,word,word,0.484369436122639
hame,mekko,related,word,word,0.643937006070025
hanhi,ankka,related,word,word,0.495942627125189
hanke,ohjelma,related,word,word,0.328033616263793
harjoitella,treenata,related,word,word,0.667195837421243
harkita,ajatella,related,word,word,0.484367320648821
harrastus,urheilu,related,word,word,0.459018772425719
hauta,hautausmaa,related,word,word,0.710346286401548
havainto,arviointi,related,word,word,0.326357543052034
häviäjä,voittaja,related,word,word,0.64181339037409
hei,hei hei,related,word,word,
heijastus,peili,related,word,word,0.426999707826351
henkilö,yksilö,related,word,word,0.479435562191961
henkilökohtainen,intiimi,related,word,word,0.337492121351094
henkinen,emotionaalinen,related,word,word,0.578361026761917
perintö,periä,related,word,word,0.434906291744278
hauras,herkkä,related,word,word,0.428572240892643
hermo,lihas,related,word,word,0.481908786374225
herra,rouva,related,word,word,0.629488843598076
hidas,nopea,related,word,word,0.579363639648664
hiili,vety,related,word,word,0.50038747246466
hiiri,rotta,related,word,word,0.507892382626531
hiljainen,rauhallinen,related,word,word,0.659199074581512
hiljainen,hiljaisuus,related,word,word,0.57346089530767
himoita,toivoa,related,word,word,0.163082173033246
hirviö,olento,related,word,word,0.494312319017841
hitaasti,nopeasti,related,word,word,0.611421686007964
hiukset,parta,related,word,word,0.437635610821336
terapia,hoito,related,word,word,0.568870383546065
hölmö,idiootti,related,word,word,0.611676297507186
hormoni,adrenaliini,related,word,word,0.455173175559181
hotelli,motelli,related,word,word,0.75876576180194
huippu,pohja,related,word,word,0.28981982091593
hukkua,uida,related,word,word,0.489641243281679
hulluus,tyhmyys,related,word,word,0.475683047150213
hunaja,voi,related,word,word,0.115293103180042
huolestunut,hermostunut,related,word,word,0.632146607198934
huomenna,aamu,related,word,word,0.305333276620742
huomio,houkutella,related,word,word,0.208497268580099
huone,makuuhuone,related,word,word,0.673782142944664
köyhä,rikas,related,word,word,0.566500113846365
hurrikaani,tornado,related,word,word,0.569754959307492
huuli,poski,related,word,word,0.493460655212329
huulipuna,hajuvesi,related,word,word,0.467903129466258
huutokauppa,myynti,related,word,word,0.446511312868273
hymy,nauru,related,word,word,0.468092428454976
hyödyllinen,tehokas,related,word,word,0.420842968508056
hyödytön,arvoton,related,word,word,0.550152608241297
hyvä,huono,related,word,word,0.698509770703242
hyväntekeväisyys,lahjoitus,related,word,word,0.561298355259638
idea,teoria,related,word,word,0.492892396834745
ihailla,arvostaa,related,word,word,0.481884955816895
ihana,fantastinen,related,word,word,0.503497536426837
ihanteellinen,täydellinen,related,word,word,0.579444846335021
iho,kudos,related,word,word,0.414076563903008
ikkuna,ovi,related,word,word,0.64548323022836
ikuinen,ruma,related,word,word,0.23283681822983
ikuinen,iäisyys,related,word,word,0.301833513329392
ilkeä,likainen,related,word,word,0.401223536734989
illallinen,aamiainen,related,word,word,0.653085495736162
illuusio,hallusinaatio,related,word,word,0.369821665725349
ilma,happi,related,word,word,0.442890826024233
ilmiö,tapahtuma,related,word,word,0.45241945456018
nautinto,ilo,related,word,word,0.539652088255583
imeä,nuolla,related,word,word,0.483383530189236
innostaa,inspiraatio,related,word,word,0.288310083668953
innostus,intohimo,related,word,word,0.50681999965752
insinööri,arkkitehti,related,word,word,0.482312359488838
internet,verkko,related,word,word,0.402090178270335
ironia,ironinen,related,word,word,0.563010876149575
isä,äiti,related,word,word,0.831561954637823
iso,valtava,related,word,word,0.594291526050848
pääkaupunki,kaupunki,related,word,word,0.709583546140786
isoisä,isoäiti,related,word,word,0.588722881549163
oikeastaan,todella,related,word,word,0.323398741141243
itsemurha,murha,related,word,word,0.634523664699451
itsepäinen,itsekäs,related,word,word,0.618098191900953
jakso,kohta,related,word,word,0.188346260189888
jälkiruoka,kakku,related,word,word,0.544826159826595
jalo,urhea,related,word,word,0.457809323746645
seisoa,istua,related,word,word,0.63607973749396
jännittävä,mielenkiintoinen,related,word,word,0.553766704127813
järjestää,järjestellä,related,word,word,0.631572152846047
jäsen,johtaja,related,word,word,0.517194110118898
jätkä,veli,related,word,word,0.250500755400807
jättää,luopua,related,word,word,0.295682578963774
tuhlata,käyttää,related,word,word,0.413009768568159
jazz,musiikki,related,word,word,0.401308516322661
jeeppi,kuorma-auto,related,word,word,
jengi,ryhmä,related,word,word,0.492212109478804
jo,edelleen,related,word,word,0.204379437697516
tehtävä,työ,related,word,word,0.447989032368368
johtaja,pomo,related,word,word,0.499664260127662
johto,hallinnollinen,related,word,word,0.191043732041518
johtopäätös,oletus,related,word,word,0.505411359358388
joki,järvi,related,word,word,0.554928761618379
jooga,hieronta,related,word,word,0.441414346108622
joskus,usein,related,word,word,0.452148290895129
joulu,loma,related,word,word,0.354688375570633
journalismi,politiikka,related,word,word,0.452589692645088
julkkis,tähti,related,word,word,0.395047388406197
raaka,julma,related,word,word,0.552507739211775
jumala,jumalallinen,related,word,word,0.48466011610561
juoda,olut,related,word,word,0.379598393174143
juoru,skandaali,related,word,word,0.506466245940907
juosta,kävellä,related,word,word,0.517969894472851
kaaos,sekaannus,related,word,word,0.401879951627154
kaapeli,lanka,related,word,word,0.30692050477042
komero,kaappi,related,word,word,0.582209817061671
kaasu,polttoaine,related,word,word,0.480189461713512
koko,valmis,related,word,word,0.100678855836467
kaivaa,haudata,related,word,word,0.519535014633484
kaksi,neljä,related,word,word,0.768103037990783
kaksinkertainen,kolminkertainen,related,word,word,0.839415418063187
kalenteri,ajoittaa,related,word,word,0.142781966305929
kaliiperi,bullet,related,word,word,0.181891007852952
kallis,halpa,related,word,word,0.502550627091579
kamera,mikrofoni,related,word,word,0.513255994490115
kampanja,vaalit,related,word,word,0.385469847382991
kana,kalkkuna,related,word,word,0.522261843010491
kanava,uutiset,related,word,word,0.347248439877613
kaneli,vanilja,related,word,word,0.594709870014851
kangas,nenäliina,related,word,word,0.312245829276367
kansainvälinen,maailma,related,word,word,0.211614779625583
kansallinen,maailmanlaajuinen,related,word,word,0.585005383338889
kapasiteetti,kyky,related,word,word,0.350905087119926
kapea,leveä,related,word,word,0.552740467547468
kappale,pala,related,word,word,0.328686005421493
kapseli,luotain,related,word,word,0.5590749442667
karhu,susi,related,word,word,0.560436934402715
karnevaali,festivaali,related,word,word,0.568131029782339
kärsiä,kuolla,related,word,word,0.402520276853319
kärsimys,kipu,related,word,word,0.49018529388729
piinata,kiduttaa,related,word,word,0.522807030755476
kärsivällisyys,myötätunto,related,word,word,0.478388684184202
käsi,varsi,related,word,word,0.351618278892747
prosessi,menettely,related,word,word,0.340042887446437
kasvain,syöpä,related,word,word,0.571040660462466
käteinen,raha,related,word,word,0.445716946575044
katolinen,kristillinen,related,word,word,0.556801319157683
katsoa,katsella,related,word,word,0.715801543999583
kauhea,kamala,related,word,word,0.790151894313014
kauhu,pelko,related,word,word,0.474438164976465
kaupallinen,kauppias,related,word,word,0.313692910861778
soveltaa,käyttää,related,word,word,0.405547420268242
käytäntö,poliitikko,related,word,word,0.187965630066682
keisarillinen,keisari,related,word,word,0.682557440226458
keitto,salaatti,related,word,word,0.544287924391904
kemia,biologia,related,word,word,0.519806796792278
kemiallinen,biologinen,related,word,word,0.557270489632367
noutaa,kerätä,related,word,word,0.301099847914203
kerma,kastike,related,word,word,0.405872463286579
kerros,pinta,related,word,word,0.372007939755345
kersantti,luutnantti,related,word,word,0.638621354207298
kesä,talvi,related,word,word,0.631813941033367
kesäkuu,heinäkuu,related,word,word,0.668484720875139
keskeyttää,häiritä,related,word,word,0.497873108891316
keskittää,keskittyä,related,word,word,0.730030988301831
keskiyö,keskipäivä,related,word,word,0.603030891488121
puhelu,keskustelu,related,word,word,0.435387926796201
ketju,köysi,related,word,word,0.439567418289595
ketsuppi,majoneesi,related,word,word,0.455913898594176
kettu,kani,related,word,word,0.401160988195536
kevät,syksy,related,word,word,0.614009898608534
kielletty,kieltää,related,word,word,0.4875466548002
kieltäytyä,hyväksyä,related,word,word,0.358081713311006
kiertue,konsertti,related,word,word,0.527085970925772
kiinteistö,omistaja,related,word,word,0.373102220976409
kiireellinen,hätä,related,word,word,0.409702406104827
kiitollinen,kiittää,related,word,word,0.582172373165042
kiivetä,hypätä,related,word,word,0.530551255397719
kilo,gramma,related,word,word,0.529792114270054
kilometri,metri,related,word,word,0.62401549506152
kilpailu,mestaruus,related,word,word,0.471688579474423
kilpi,panssari,related,word,word,0.203742001930533
kirjaimellisesti,käytännössä,related,word,word,0.409753942191981
kirjasto,museo,related,word,word,0.490612877022019
kirjekuori,paketti,related,word,word,0.523979823944754
kirkko,kappeli,related,word,word,0.481822402656717
kirous,noita,related,word,word,0.296063005458389
kirurgi,lääkäri,related,word,word,0.662993743713636
kiva,ihana,related,word,word,0.574235902359218
kivääri,ase,related,word,word,0.667820822715146
kivihiili,öljy,related,word,word,0.444650588568086
klaani,perhe,related,word,word,0.351127346658192
klubi,baari,related,word,word,0.565977872416583
koe,testata,related,word,word,0.315389214474639
kohta,osoittaa,related,word,word,0.0396392159005444
sallimus,kohtalo,related,word,word,0.384676349755368
kohteliaisuus,lahja,related,word,word,0.306661745711583
kohtelias,ystävällinen,related,word,word,0.687867995827855
kohtuuton,vastuuton,related,word,word,0.633338978128912
koira,kissa,related,word,word,0.609734103928665
kokaiini,heroiini,related,word,word,0.761358700129259
kokea,tieto,related,word,word,0.169495777044158
kokki,keittiömestari,related,word,word,0.613531721593865
koko,pituus,related,word,word,0.18178949989808
kollega,ystävä,related,word,word,0.539671278336317
kolmas,neljäs,related,word,word,0.746254780613023
komentaja,kapteeni,related,word,word,0.637346436314293
komento,käsky,related,word,word,0.514145202519708
komissio,komitea,related,word,word,0.574550281005391
kommentti,lausunto,related,word,word,0.495223428287509
kompassi,kartta,related,word,word,0.524528944394823
konferenssi,tapaaminen,related,word,word,0.437594730436988
konflikti,riita,related,word,word,0.439465402177939
betoni,teräs,related,word,word,0.419387965358558
käsite,määritelmä,related,word,word,0.471585826409168
konservatiivinen,liberaali,related,word,word,0.55962277640044
koodi,salasana,related,word,word,0.53902023762674
koripallo,jalkapallo,related,word,word,0.727671463999124
korjata,korjaus,related,word,word,0.544370499524447
vaihtaa,korvata,related,word,word,0.209701523394339
koskea,huoli,related,word,word,0.0962311189466445
kosto,oikeus,related,word,word,0.228220379164384
juna,bussi,related,word,word,0.642764920152092
sitkeä,kova,related,word,word,0.38688806140676
köyhyys,kurjuus,related,word,word,0.529825706763865
kreivi,laskea,related,word,word,0.077578124703775
kriittinen,poliittinen,related,word,word,0.623799080530437
kruunu,valtaistuin,related,word,word,0.458523798217519
kuiva,märkä,related,word,word,0.53086669018135
kukkula,vuori,related,word,word,0.436138154286884
kulho,lautanen,related,word,word,0.492067241119847
kulma,kuja,related,word,word,0.389771552638202
kultainen,hopea,related,word,word,0.301867199535058
kulttuuri,sivilisaatio,related,word,word,0.511250717724659
kuningatar,kuningas,related,word,word,0.740121434027774
kuninkaallinen,kuningaskunta,related,word,word,0.486810948555575
kunniamerkki,univormu,related,word,word,0.45385197607687
kunnioittaminen,luottamus,related,word,word,0.354378383322845
kunnollinen,rehellinen,related,word,word,0.571830026501793
kuolema,katoaminen,related,word,word,0.504110440497659
kuppi,kahvi,related,word,word,0.51619968609555
kurja,säälittävä,related,word,word,0.509654061576006
kurkku,kaula,related,word,word,0.489266381840057
kuu,aurinko,related,word,word,0.610744557989086
kuukausi,viikko,related,word,word,0.755237260919429
kuulustelu,oikeudenkäynti,related,word,word,0.578287080261748
kuuma,kylmä,related,word,word,0.614978750908035
kuun,auringon,related,word,word,0.513184180330524
kuunnella,kuulla,related,word,word,0.553394953415349
kuva,valokuva,related,word,word,0.76590142251412
kuvata,ilmaista,related,word,word,0.283524372417686
kuvernööri,senaattori,related,word,word,0.538139518450778
kypärä,hattu,related,word,word,0.547921120184663
kysymys,kysyä,related,word,word,0.37673538951176
kysyntä,pyyntö,related,word,word,0.217839511376126
kyvyttömyys,kykenemätön,related,word,word,0.387727453323129
lääketieteellinen,psykologinen,related,word,word,0.615208606445551
lääni,seutu,related,word,word,0.262876612650608
laatikko,laukku,related,word,word,0.594272397276189
lastata,rahti,related,word,word,0.375935660124936
lähde,tiedonantaja,related,word,word,0.255432635525435
lahti,satama,related,word,word,0.396491006599641
lähellä,kaukana,related,word,word,0.471520677461696
lahjoa,kiristää,related,word,word,0.447176318581306
laiton,laillinen,related,word,word,0.520954672729386
laitteet,varustaa,related,word,word,0.191074276513449
laki,perustuslaki,related,word,word,0.573434428773646
lakimies,syyttäjä,related,word,word,0.527044069606769
lämmin,viileä,related,word,word,0.577318247951765
lämpö,lämpötila,related,word,word,0.721484139846572
lamppu,kynttilä,related,word,word,0.550381047745347
länsi,itä,related,word,word,0.464309106326698
lasagne,spagetti,related,word,word,0.521228361156885
lasi,pullo,related,word,word,0.51669947189715
lasit,korkki,related,word,word,0.378464400430894
laskimo,valtimo,related,word,word,0.470240075108047
lasku,lento,related,word,word,0.295254250836623
läsnäolo,poissaolo,related,word,word,0.477300558873672
lastenhoitaja,piika,related,word,word,0.498588913779433
lattia,matto,related,word,word,0.516616127643164
lauantai,sunnuntai,related,word,word,0.775384787054215
laukaista,aktivoida,related,word,word,0.525059005884319
laukaus,ampua,related,word,word,0.44422266176725
laulaja,muusikko,related,word,word,0.587695285913185
mielipide,asenne,related,word,word,0.356258133114245
legioona,armeija,related,word,word,0.481544053034291
lehmä,sika,related,word,word,0.491258758960963
leima,allekirjoitus,related,word,word,0.409174541497214
leipä,juusto,related,word,word,0.472985462193473
leiri,kylä,related,word,word,0.466631041614241
lesbo,homo,related,word,word,0.580401635535571
leski,nainen,related,word,word,0.357558592614292
levätä,nukkua,related,word,word,0.613352293936821
liiga,tiimi,related,word,word,0.273851127874395
liikkua,siirtää,related,word,word,0.292373221244386
liittokansleri,presidentti,related,word,word,0.431529481282795
liittovaltion,osavaltio,related,word,word,0.465475163899459
likainen,ällöttävä,related,word,word,0.471549311728364
limsa,sooda,related,word,word,0.44159843956807
lippu,passi,related,word,word,0.443000280701698
lippu,symboli,related,word,word,0.387522342012758
lisääntyä,vähentää,related,word,word,0.360851455871686
lisätä,laittaa,related,word,word,0.4326181293098
lohikäärme,leijona,related,word,word,0.492658160468365
lomake,allekirjoittaa,related,word,word,0.441472574246939
loppu,lopettaa,related,word,word,0.3156154908323
lopuksi,lopulta,related,word,word,0.390830498212412
lopullinen,perimmäinen,related,word,word,0.448860980417378
loukkaus,loukata,related,word,word,0.485155964487017
lukea,kirjoittaa,related,word,word,0.560868075972271
lukeminen,kirjoittaminen,related,word,word,0.735030385314997
lukittu,suljettu,related,word,word,0.562148791000909
luoda,tuottaa,related,word,word,0.318267495097155
luokka,koulu,related,word,word,0.493129298732243
luominen,tuhoaminen,related,word,word,0.633951346050287
luonnollinen,keinotekoinen,related,word,word,0.493965235754317
luonnollisesti,yleisesti,related,word,word,0.506449092242559
luottamus,uskoa,related,word,word,0.31341025756805
luotto,lainata,related,word,word,0.221841558774152
lupa,hyväksyminen,related,word,word,0.201872427609084
lusikka,haarukka,related,word,word,0.489302169061957
luu,kallo,related,word,word,0.43199604034483
lyhyt,pitkä,related,word,word,0.656369473560528
maa,kansakunta,related,word,word,0.505270760718279
maa,lentää,related,word,word,0.143759085146551
maahantunkeutuminen,hyökkäys,related,word,word,
maailmankaikkeus,galaksi,related,word,word,0.58348152570711
maalata,piirtää,related,word,word,0.515785428525623
maanantai,tiistai,related,word,word,0.697261264549588
maanjäristys,räjähdys,related,word,word,0.487416195675919
määrä,laatu,related,word,word,0.353591389485019
numero,osoite,related,word,word,0.451024126293433
mafia,kartelli,related,word,word,0.515182767573642
magneettinen,sähköinen,related,word,word,0.512154073755061
tilaisuus,mahdollisuus,related,word,word,0.728766200106072
mahdoton,helppo,related,word,word,0.507380814458743
mahtava,kunnia,related,word,word,0.250670256144382
maili,senttimetri,related,word,word,0.334982886376062
mainonta,markkinointi,related,word,word,0.501788235038891
maito,mehu,related,word,word,0.504425183908024
majesteetti,korkeus,related,word,word,0.31450812465739
makea,söpö,related,word,word,0.414344157550328
maku,haju,related,word,word,0.546998092581698
malli,prototyyppi,related,word,word,0.394489937868491
maraton,kilpailu,related,word,word,0.374243895471117
marraskuu,joulukuu,related,word,word,0.650803484828689
mars,venus,related,word,word,0.484899447130004
matala,korkea,related,word,word,0.610731639701903
matkustaja,kuljettaja,related,word,word,0.613160142693492
mato,käärme,related,word,word,0.383688451689286
maukas,herkullinen,related,word,word,0.639068881844377
mehiläinen,muurahainen,related,word,word,0.484337728318267
melu,ääni,related,word,word,0.453536837834717
menestys,epäonnistuminen,related,word,word,0.491152417370377
menetelmä,tekniikka,related,word,word,0.471982671768068
merellinen,laivasto,related,word,word,0.365266619520962
meri,valtameri,related,word,word,0.68850028841436
merirosvo,merimies,related,word,word,0.584804730514684
merisotilaallinen,laivasto,related,word,word,
merkitys,tärkeys,related,word,word,0.508545821473879
luonne,persoonallisuus,related,word,word,0.435634651819846
mestari,taistelija,related,word,word,0.433188885094133
metsästys,kalastus,related,word,word,0.508920846009424
miehistö,laiva,related,word,word,0.53849192803093
miekka,veitsi,related,word,word,0.584633737747054
mielikuvitus,luovuus,related,word,word,0.350873517540522
mies,ihminen,related,word,word,0.556349575744535
miljonääri,yrittäjä,related,word,word,0.361482830436503
miljoona,miljardi,related,word,word,0.675094980752784
ming,ling,related,word,word,0.613235164307483
minimi,enimmäismäärä,related,word,word,0.305938627837962
mikä,tuo,related,word,word,0.310906662270217
moderni,perinteinen,related,word,word,0.365689752046417
hytti,kansi,related,word,word,0.410512033905591
monumentti,patsas,related,word,word,0.468535897355478
motiivi,alibi,related,word,word,0.504404486361686
mukava,miellyttävä,related,word,word,0.591247827509071
munkki,pappi,related,word,word,0.45994040233924
munuainen,maksa,related,word,word,0.418797015597077
muodikas,tyylikäs,related,word,word,0.527290356946693
murskata,rikkoa,related,word,word,0.405668189847438
mustasukkainen,vihainen,related,word,word,0.593248508457939
muta,hiekka,related,word,word,0.361152905891182
muualle,jonnekin,related,word,word,0.495925690840004
muutos,parannus,related,word,word,0.413197838446181
myöhään,aikaisin,related,word,word,0.617191051706138
myöntää,tunnustaa,related,word,word,0.63032557937737
myötätuntoinen,antelias,related,word,word,0.548287592983227
myrkyttää,tappaa,related,word,word,0.539170377179485
myyjä,ostaja,related,word,word,0.614972588213144
kauppa,myymälä,related,word,word,0.507566063168332
myytti,legenda,related,word,word,0.46652092871025
naarmu,mustelma,related,word,word,0.566555817375978
nähdä,tavata,related,word,word,0.522800057525578
naiivi,tyhmä,related,word,word,0.486009060562435
naiivi,kyyninen,related,word,word,0.548140928556229
näkymä,näkökulma,related,word,word,0.335678354482143
nälkä,jano,related,word,word,0.61636188818835
napata,siepata,related,word,word,0.495927091173307
nätti,kaunis,related,word,word,0.688540207658517
naula,hammas,related,word,word,0.289384954840354
naurettava,absurdi,related,word,word,0.460390488152981
navigointi,viestintä,related,word,word,0.414640994472525
näytös,esitys,related,word,word,0.601104883478809
näyttö,monitori,related,word,word,0.390969590004311
nero,tiedemies,related,word,word,0.476269948977623
juokseva,neste,related,word,word,0.209404457650614
neula,ruisku,related,word,word,0.437057045135771
neuvo,neuvoa,related,word,word,0.623142212812822
niellä,pureskella,related,word,word,0.46643253850912
nimi,otsikko,related,word,word,0.340107442799686
nimimerkki,sukunimi,related,word,word,0.46995482006109
ninja,samurai,related,word,word,0.397517801347976
nobel,palkinto,related,word,word,0.41779267183023
nokkela,hauska,related,word,word,0.491965776737571
nöyrä,vaatimaton,related,word,word,0.455392401439478
nukke,lelu,related,word,word,0.510134401775936
nuoriso,lapsuus,related,word,word,0.23761596091523
virta,sähkö,related,word,word,0.473131401435578
nyt,tietää,related,word,word,0.22309860374715
odottaa,otaksua,related,word,word,0.253816653831356
ohjelmisto,tietokone,related,word,word,0.603171905582472
ohut,paksu,related,word,word,0.536432866428814
oikea,vasen,related,word,word,0.511797557130933
oikeudenmukainen,kohtuullinen,related,word,word,0.500316494937182
oire,oireyhtymä,related,word,word,0.642465923009963
okei,joo,related,word,word,0.602742086446281
olkapää,polvi,related,word,word,0.515238823278891
omena,hedelmä,related,word,word,0.507431050433591
onnitella,tervehtiä,related,word,word,0.548692736663297
operatiivinen,toiminnallinen,related,word,word,0.534953129149652
opiskelija,opettaja,related,word,word,0.57086949754896
oppia,opettaa,related,word,word,0.595758784790761
optimistinen,realistinen,related,word,word,0.647693432288444
orava,pesukarhu,related,word,word,0.497173648116389
orgasmi,erektio,related,word,word,0.537214787914941
orja,palvelija,related,word,word,0.493760954407537
orkesteri,bändi,related,word,word,0.490794992141982
orpokoti,luostari,related,word,word,0.474992263482028
ostaa,myydä,related,word,word,0.579042098435802
osuma,isku,related,word,word,0.460201249620198
mahdollistaa,antaa,related,word,word,0.286174611620489
kontakti,yhteys,related,word,word,0.488320718282624
paahtoleipä,pekoni,related,word,word,0.579442607924746
paeta,karata,related,word,word,0.641826234804535
paha,julmuus,related,word,word,0.192054310709433
paikka,sijainti,related,word,word,0.373991145427636
painajainen,unelma,related,word,word,0.505728896635023
painike,painaa,related,word,word,0.444878886522783
paino,korkeus,related,word,word,0.371725696985524
paistaa,kirkas,related,word,word,0.379839002079695
paita,takki,related,word,word,0.721297658005004
päivittäin,viikoittain,related,word,word,0.538369257182261
pakolainen,karkuri,related,word,word,0.440262187951831
palatsi,linna,related,word,word,0.529866689927126
paljastus,näkemys,related,word,word,0.199407498437666
palkkasoturi,salamurhaaja,related,word,word,0.49016425855204
palvelus,huolto,related,word,word,0.27301200858676
pankkiiri,sijoittaja,related,word,word,0.457076642648849
pankkitoiminta,taloudellinen,related,word,word,0.345397903285644
panttivanki,vanki,related,word,word,0.499299054760586
