"id_cue","id_target","id_fake_target","id_fake_cue","en_cue","en_target"
"diam","kesunyian","kesultian","dide","silent","silence"
"diare","mual","murk","atare","diarrhea","nausea"
"digustasi","buruk rupa","burunmrupa","dinostasi","digusting","ugly"
"dinasti","kerajaan","keraesan","dicksti","dynasty","empire"
"dinding","pagar","pahir","dihuing","wall","fence"
"diperlukan","membutuhkan","membgkuhkan","dipeibukan","necessary","need"
"diploma","lulus","lupas","diekoma","diploma","graduate"
"dna","sidik jari","sidiijjari","zza","dna","fingerprint"
"dobel","tiga kali lipat","tiga kalzulipat","gibel","double","triple"
"dorongan","menarik","meserik","nerongan","push","pull"
"dosa","kejahatan","kejauhtan","eksa","sin","crime"
"dosis","injeksi","injeepi","dorss","dose","injection"
"drama","komedi","kolodi","rlama","drama","comedy"
"dramatis","romantis","romatiis","drmpatis","dramatic","romantic"
"dua","empat","napat","lsa","two","four"
"duta besar","menteri","mentoni","dutalkesar","ambassador","minister"
"dvd","video","vilto","owd","dvd","video"
"evolusi","mutasi","catasi","knolusi","evolution","mutation"
"faktor","elemen","premen","faktti","factor","element"
"fase","titik","katik","faya","phase","period"
"fashionable","anggun","antiun","fashionaene","fashionable","elegant"
"federal","negara","negane","maderal","federal","state"
"fenomena","peristiwa","pelastiwa","ferimena","phenomenon","event"
"filsafat","agama","swama","filslwat","philosophy","religion"
"fisika","matematika","setematika","oksika","physics","mathematics"
"flu","penyakit","penyemit","scu","flu","disease"
"fokus","konsentrat","korgentrat","gukus","focus","concentrate"
"frekuensi","sinyal","sinyer","frinuensi","frequency","signal"
"gadis","anak laki-laki","anakohakilaki","garns","girl","boy"
"gaib","paranormal","parasmrmal","gavi","supernatural","paranormal"
"galeri","pameran","pahiran","coleri","gallery","exhibition"
"gambar","foto","dito","ganmar","picture","photo"
"gang","kelompok","kelompse","anng","gang","group"
"gantung","eksekusi","eksekuke","tentung","hanging","execution"
"gas","bahan bakar","bahailbakar","nks","gas","fuel"
"gejala","sindroma","sieuroma","gelbla","symptom","syndrome"
"gempa bumi","ledakan","lefikan","gempa fami","earthquake","explosion"
"generator","reaktor","retttor","generamir","generator","reactor"
"gereja","kapel","kacul","gerefu","church","chapel"
"ginjal","hati","haor","gilbal","kidney","liver"
"golf","tenis","tetss","gonu","golf","tennis"
"gosip","skandal","skangel","insip","gossip","scandal"
"gubernur","senator","gunator","gulmrnur","governor","senator"
"gudang senjata","gudang senjata","gudangmuenjata","gudangbaenjata","arsenal","armory"
"gula","cokelat","cofflat","ikla","sugar","chocolate"
"gurun","lembah","lendah","gudin","desert","valley"
"hak istimewa","menghormati","mengukrmati","hahbistimewa","privilege","honor"
"halo","selamat tinggal","selamasqtinggal","hatl","hello","bye"
"halus","peka","erka","hakis","delicate","sensitive"
"hangat","dingin","ditain","dongat","warm","cool"
"hanya","baru-baru ini","barubaryrini","ginya","just","recently"
"harapan","keyakinan","moyakinan","hasepan","hope","faith"
"hari ini","kemarin","kemamen","harinuni","today","yesterday"
"hari natal","hari libur","haricsibur","haribcatal","christmas","holiday"
"harta karun","kekayaan","kekaekan","harthgkarun","treasure","wealth"
"hasil","hasil","habol","habol","result","outcome"
"hebat","fantastis","fantuntis","herbt","wonderful","fantastic"
"helm","topi","ippi","heav","helmet","hat"
"hidangan penutup","kue","ehe","hidangantdenutup","dessert","cake"
"hidup","bertahan hidup","bertahanwsidup","hihap","live","survive"
"hidup","mati","mant","hihap","alive","dead"
"hijau","jeruk","jegak","hibou","green","orange"
"hiu","ikan","knan","gpu","shark","fish"
"hobi","olahraga","olahlega","horo","hobby","sport"
"hormon","adrenalin","adremulin","honson","hormone","adrenaline"
"hotel","motel","mojol","honol","hotel","motel"
"hubungan","persahabatan","persahukatan","sebungan","relationship","friendship"
"hujan","salju","saksu","mejan","rain","snow"
"hukum","konstitusi","kocatitusi","inkum","law","constitution"
"hutan","hutan","iptan","iptan","jungle","forest"
"ibu","ayah","rbah","ovu","mother","father"
"ide","teori","itori","ure","idea","theory"
"ideal","sempurna","sempsona","idbul","ideal","perfect"
"ilmu urai","psikologi","psapologi","ilmunkrai","anatomy","psychology"
"ilusi","halusinasi","hakisinasi","ilapi","illusion","hallucination"
"imajinasi","kreativitas","kroptivitas","imldinasi","imagination","creativity"
"imperial","kaisar","kathar","impelaal","imperial","emperor"
"industri","bisnis","bintis","inbastri","industry","business"
"insinyur","arsitek","arsiyak","gosinyur","engineer","architect"
"inspektur","komisaris","dimisaris","inesektur","inspector","commissioner"
"intern","luar","frar","inteom","internal","external"
"internasional","dunia","kinia","inteakasional","international","world"
"internet","web","aab","intellet","internet","web"
"invasi","menyerang","menyalang","inrisi","invasion","attack"
"irama","gaya","galo","rtama","rhythm","style"
"ironi","ironis","irahis","choni","irony","ironic"
"istana","kastil","kapnil","kotana","palace","castle"
"istirahat","tidur","tiror","iswarahat","rest","sleep"
"izin","persetujuan","persetaduan","etin","permission","approval"
"jalan","jalan raya","jalaedraya","jadin","road","highway"
"janda","wanita","wahata","londa","widow","woman"
"jangkar","berlayar","berlliar","pingkar","anchor","sail"
"jarak","kecepatan","kecepankn","prrak","distance","speed"
"jari","ibu jari","ibekjari","prri","finger","thumb"
"jaringan","sistem","pastem","jagangan","network","system"
"jarum","syringe","uoringe","borum","needle","syringe"
"jatuh","runtuh","ruunuh","jarch","fall","collapse"
"jazz","musik","muruk","japa","jazz","music"
"jelas","jelas sekali","jelajisekali","jeris","clearly","obviously"
"jendela","pintu","rentu","jendsta","window","door"
"jenius","ilmuwan","ilinwan","jenisi","genius","scientist"
"jip","truk","trad","upp","jeep","truck"
"jiwa","roh","adh","khwa","soul","spirit"
"juara","pejuang","peiaang","ibara","champion","fighter"
"jumlah","jumlah","juriah","juluah","sum","amount"
"juni","juli","erli","iani","june","july"
"jurnalistik","politik","posetik","juaralistik","journalism","politics"
"juta","miliar","miayar","ulta","million","billion"
"jutawan","pengusaha","pengusiba","detawan","millionaire","entrepreneur"
"kabel","kabel","kaskl","tibel","cable","wire"
"kabin","kartu","kalju","kapon","cabin","deck"
"kabinet","closet","clgeet","kailnet","cabinet","closet"
"kabur","melarikan diri","melannkan diri","kaukr","flee","escape"
"kaca","botol","boril","kaim","glass","bottle"
"kacamata","topi","ippi","ancamata","glasses","cap"
"kadang-kadang","jarang","prrang","kaubngkadang","occasionally","rarely"
"kadang-kadang","sering","sehang","kaubngkadang","sometimes","often"
"kain","saputangan","satotangan","imin","cloth","handkerchief"
"kakek","nenek","ornek","kaunk","grandfather","grandmother"
"kalender","jadwal","jaggal","katnnder","calendar","schedule"
"kaliber","peluru","peseru","kanyber","caliber","bullet"
"kamar","kamar tidur","kamakwtidur","semar","room","bedroom"
"kamera","mikropon","mikralon","homera","camera","microphone"
"kamp","desa","deum","kaoh","camp","village"
"kampanye","pemilihan","perllihan","kampants","campaign","election"
"kampus","universitas","univerastas","kampon","college","university"
"kamus","frasa","agasa","kanas","dictionary","phrase"
"kanselir","presiden","presnyen","kanszair","chancellor","president"
"kapal selam","kapal","kakul","kapadkselam","submarine","boat"
"kapasitas","kemampuan","kemaliuan","kapatatas","capacity","ability"
"kapsul","menguji","mengrgi","tipsul","capsule","probe"
"karakter","kepribadian","kepribadann","karaguer","character","personality"
"karbon","hidrogen","hireogen","kaphon","carbon","hydrogen"
"karier","reputasi","refltasi","katner","career","reputation"
"karnaval","festival","festeual","karnhaal","carnival","festival"
"kata","kalimat","kaliett","kaie","word","sentence"
"katak","kadal","kanil","ritak","frog","lizard"
"katolik","kristen","kretten","kakelik","catholic","christian"
"katup","ventilasi","vembilasi","karmp","valve","ventilation"
"kavaleri","artileri","artihkri","kacileri","cavalry","artillery"
"kayu manis","vanila","punila","kayuwhanis","cinnamon","vanilla"
"keagungan","kebesaran","kepasaran","keuaungan","majesty","highness"
"keamanan","keamanan","kestanan","keisanan","security","safety"
"kebanggaan","harga diri","harguydiri","kebangsman","pride","dignity"
"kebebasan","demokrasi","demodcasi","kebenisan","freedom","democracy"
"keberanian","tekad","ilkad","keberaktan","courage","determination"
"kebisingan","suara","bhara","kebitungan","noise","sound"
"kebun binatang","sirkus","sibius","kebupybinatang","zoo","circus"
"kecil","kecil","lucil","keool","little","small"
"kedatangan","keberangkatan","keberangritan","madatangan","arrival","departure"
"kedua","menit","meaft","kesna","second","minute"
"kedutaan","kementerian","ismenterian","kenytaan","embassy","ministry"
"keemasan","perak","peack","keshasan","golden","silver"
"kegelapan","lampu","laeru","kegelasin","darkness","light"
"kegilaan","kebodohan","kebodofin","kegilaju","madness","stupidity"
"kehadiran","ketiadaan","ketiniaan","tahadiran","presence","absence"
"kejadian","kecelakaan","keatlakaan","kejadiba","incident","accident"
"kejahatan","kekejaman","kekerjman","kejahanyn","evil","cruelty"
"kejutan","kekecewaan","kekekawaan","kedetan","surprise","disappointment"
"kekacauan","kebingungan","kejungungan","kekacabrn","chaos","confusion"
"kekhawatiran","khawatir","khawndir","keelawatiran","concern","worry"
"kekuatan","energi","enerap","kestatan","power","energy"
"kekuatan","memaksa","memampa","kestatan","strength","force"
"kelahiran","kehamilan","tahamilan","kelalaran","birth","pregnancy"
"kelaparan","haus","happ","kelanjran","hunger","thirst"
"kelas","sekolah","selalah","kenis","class","school"
"keledai","kuda","kume","keleuti","donkey","horse"
"keluar","tentang","terhang","keluka","out","about"
"keluar","pintu masuk","pintmdmasuk","keluka","exit","entrance"
"keluhan","tuduhan","tuashan","kelumen","complaint","accusation"
"kemajuan","perkembangan","perkahbangan","kemahian","progress","development"
"kematian","hilangnya","golangnya","kemantan","death","disappearance"
"kembali","kembali","keriali","keriali","back","return"
"kemeja","jaket","jaout","kemeco","shirt","jacket"
"kemenangan","mengalahkan","mengalahann","ismenangan","victory","defeat"
"kemiskinan","penderitaan","penderitutn","keduskinan","poverty","misery"
"kemungkinan","mungkin","mungwan","kerengkinan","probability","likely"
"kendaraan","mobil","mohal","kesuaraan","vehicle","car"
"kengerian","takut","taont","nongerian","horror","fear"
"kentang","tomat","tonet","keanang","potato","tomato"
"kerajaan","kerajaan","keraesan","keraesan","royal","kingdom"
"keramahan","rasa syukur","rasaliyukur","ketemahan","hospitality","gratitude"
"keras","keras","keous","keous","tough","hard"
"keras kepala","egois","egahs","keramykepala","stubborn","selfish"
"kereta","bis","urs","kenata","train","bus"
"kering","basah","nisah","kembng","dry","wet"
"kertas","pena","peus","kertim","paper","pen"
"kerumunan","hadirin","hadilen","kerujanan","crowd","audience"
"kesabaran","kasih sayang","kasicksayang","kelebaran","patience","compassion"
"kesalahan","kesalahan","kesalambn","kesalambn","error","mistake"
"kesan","merasa","merann","rasan","impression","feeling"
"kesehatan","pendidikan","pendokikan","kesemetan","health","education"
"keseimbangan","harmoni","hansoni","keseenbangan","balance","harmony"
"kesenangan","sukacita","sukaneta","kegunangan","pleasure","joy"
"kesetiaan","kesetiaan","kesetihkn","keseahaan","fidelity","devotion"
"kesimpulan","anggapan","antiapan","kesimprtan","conclusion","assumption"
"kesuksesan","kegagalan","keorgalan","kesucresan","success","failure"
"ketakutan","menakuti","menakuor","ketaratan","scare","frighten"
"keterlaluan","tidak bertanggung jawab","tidak bertanggunekjawab","keterlemuan","unreasonable","irresponsible"
"ketidakadilan","tidak adil","tidarpadil","ketidakasslan","injustice","unfair"
"ketidakmampuan","tidak dapat","tidauddapat","ketidaseampuan","inability","unable"
"ketidaktahuan","arogance","arkyance","ketidashahuan","ignorance","arrogance"
"ketiga","keempat","keshpat","keroga","third","fourth"
"keuangan","menginvestasikan","mengincastasikan","ecuangan","finance","invest"
"khas","klasik","rhasik","nsas","typical","classic"
"kilo","gram","ntam","illo","kilo","gram"
"kilometer","meter","mercr","kiimmeter","kilometer","meter"
"kimia","biologi","ntologi","tomia","chemistry","biology"
"klakson","peluit","perkit","ptakson","horn","whistle"
"klan","keluarga","keluarun","kles","clan","family"
"klub","batang","litang","etub","club","bar"
"kode","kata sandi","katavyandi","arde","code","password"
"kokain","heroin","herolo","rukain","cocaine","heroin"
"kolega","teman","telln","kotoga","colleague","friend"
"koloni","federasi","koderasi","koloed","colony","federation"
"komandan","kapten","kaween","gamandan","commander","captain"
"kombinasi","campuran","cariuran","kombutasi","combination","mixture"
"komentar","penyataan","pegkataan","komentik","comment","statement"
"komersial","pedagang","pedahing","komellial","commercial","merchant"
"komisi","komite","komilk","kooksi","commission","committee"
"kompas","peta","ista","kostas","compass","map"
"kompetisi","kejuaraan","kebearaan","kompblisi","competition","championship"
"konferensi","pertemuan","pertaluan","kowlerensi","conference","meeting"
"konfirmasi","konfirmasi","konfirissi","konfirsisi","confirmation","confirm"
"konflik","perselisihan","perselunihan","komélik","conflict","dispute"
"konkret","baja","muja","koyuret","concrete","steel"
"konsep","definisi","definiku","konsch","concept","definition"
"konservatif","liberal","liatral","konseruntif","conservative","liberal"
"konspirasi","tipuan","tiesan","kosupirasi","conspiracy","fraud"
"konstruksi","membangun","membannen","konstripsi","construction","build"
"kontak","koneksi","konecti","mantak","contact","connection"
"kontaminasi","radiasi","rakuasi","konturinasi","contamination","radiation"
"kontrak","persetujuan","persetaduan","mantrak","contract","agreement"
"kontrol","memanipulasi","memanismlasi","kontcal","control","manipulate"
"konyol","absurd","abwerd","yanyol","ridiculous","absurd"
"korban","penyerang","penypkang","kostan","victim","attacker"
"kosong","penuh","pejah","kogeng","empty","full"
"kotak","tas","ies","istak","box","bag"
"kotor","menjijikkan","menjeeikkan","koler","dirty","disgusting"
"kredit","meminjamkan","mesanjamkan","krutit","credit","loan"
"krim","saus","okus","krca","cream","sauce"
"kritis","politik","posetik","editis","critical","political"
"kuantitas","kualitas","kugaitas","kulititas","quantity","quality"
"kuat","lemah","lerth","kube","strong","weak"
"kuburan","kuburan","kuatran","kuseran","grave","cemetery"
"kuil","biara","esara","kugo","temple","monastery"
"kulit","jaringan","jagangan","kuset","skin","tissue"
"kunci","kunci","kucai","kuaki","key","lock"
"kupu-kupu","burung","bullng","kupukzhu","butterfly","bird"
"laba","penghasilan","penghandlan","lamn","profit","income"
"laba-laba","serangga","kurangga","lamnlaba","spider","insect"
"lajang","telah menikah","telaaemenikah","laping","single","married"
"lambat","cepat","papat","lahaat","slow","fast"
"lampu","lilin","kulin","laeru","lamp","candle"
"langit","surgawi","sudbawi","langob","sky","heavenly"
"langsung","secara langsung","secaraumangsung","langobng","direct","directly"
"lantai","karpet","katret","latiai","floor","carpet"
"lapisan","permukaan","permsiaan","latosan","layer","surface"
"laporan","memberitahukan","memberakahukan","lapowen","report","inform"
"lari","berjalan","berjmban","lann","run","walk"
"lasagna","spageti","spagopi","ladngna","lasagna","spaghetti"
"laut","angkatan laut","angkatankuaut","lato","marine","navy"
"laut","laut","lato","lato","sea","ocean"
"layak","layak","laeck","laeck","deserve","worthy"
"layar","monitor","monimur","latir","screen","monitor"
"lebah","semut","seept","letch","bee","ant"
"lebih rendah","atas","atin","lebiecrendah","lower","upper"
"lelah","lapar","larer","atlah","tired","hungry"
"lelang","penjualan","peurualan","atlang","auction","sale"
"lembut","lemah lembut","lemaamlembut","lembin","soft","gentle"
"lencana","seragam","sedigam","lebuana","badge","uniform"
"lesbian","gay","hby","leegian","lesbian","gay"
"lezat","lezat","leakt","lekot","tasty","delicious"
"liar","hukum","inkum","ayar","illegal","legal"
"liga","tim","olm","lisn","league","team"
"lihat","jam tangan","jaqetangan","dohat","look","watch"
"limbah","membelanjakan","membelandekan","ligaah","waste","spend"
"limun","soda","nida","ammun","lemonade","soda"
"lingkaran","segi tiga","segitliga","bangkaran","circle","triangle"
"lingkungan","suasana","imasana","lingsengan","environment","atmosphere"
"lipstik","parfum","paksum","lidatik","lipstick","perfume"
"loyal","setia","litia","meyal","loyal","faithful"
"loyalitas","kejujuran","kejujukkn","loyayatas","loyalty","honesty"
"luar biasa","luar biasa","luarfiiasa","luareuiasa","exceptional","remarkable"
"luka","cedera","cenara","utka","wound","injury"
"lumpur","pasir","aksir","hampur","mud","sand"
"lunar","tenaga surya","tenaga stuya","lukir","lunar","solar"
"lupa","ingat","inest","aspa","forget","remember"
"mafia","kartel","kancel","maaza","mafia","cartel"
"magnetis","listrik","ekstrik","magnblis","magnetic","electric"
"mahal","murah","brrah","mabil","expensive","cheap"
"mahkota","takhta","talnta","mabiota","crown","throne"
"makan malam","sarapan","sarantn","makaazmalam","dinner","breakfast"
"makanan","makanan","madinan","madinan","food","meal"
"malaikat","setan","vitan","maelikat","angel","devil"
"malam","malam","dilam","dilam","night","evening"
"maling","pidana","pinkna","heling","thief","criminal"
"mandi","kamar mandi","kamaupmandi","maapi","shower","bathroom"
"mangkuk","piring","doring","mangtek","bowl","plate"
"mangsa","predator","prrcator","manggi","prey","predator"
"manis","imut","impe","makas","sweet","cute"
"maraton","balapan","balasin","maramin","marathon","race"
"mars","venus","monus","maca","mars","venus"
"masa depan","masa lalu","masaffalu","masabkepan","future","past"
"masalah","masalah","mandlah","mandlah","trouble","problem"
"masyarakat","masyarakat","mailarakat","masyarobat","society","community"
"mata","telinga","teliata","keta","eye","ear"
"mata duitan","pembunuh","pembntuh","matappuitan","mercenary","assassin"
"matahari terbenam","fajar","kojar","mataharivnerbenam","sunset","dawn"
"mayoritas","pilih","pickh","mayonetas","majority","vote"
"medis","psikologis","psapologis","mebus","medical","psychological"
"meja","kantor","kantti","meoo","desk","office"
"meja","kursi","kuomi","meoo","table","chair"
"melanjutkan","melanjutkan","melapautkan","melanjlukan","proceed","continue"
"melayani","pemeliharaan","pemelihagran","melayasu","service","maintenance"
"meleleh","membekukan","membulukan","mestleh","melt","freeze"
"melestarikan","menjaga","menjira","meleraarikan","preserve","maintain"
"meletus","meledak","meleack","melebrs","burst","explode"
"melihat","perspektif","pepipektif","meliert","view","perspective"
"melihat","bertemu","bertmbu","meliert","see","meet"
"melindungi","membela","membsta","melindbagi","protect","defend"
"memaafkan","mengizinkan","mengetinkan","memaeskan","forgive","excuse"
"memasak","koki","buki","memaook","cook","chef"
"memasuki","pergilah","pebrilah","memasubs","enter","go"
"memasukkan","taruh","nuruh","memasurean","insert","put"
"mematikan","fatal","ittal","memantkan","deadly","fatal"
"membaca","menulis","meerlis","membuya","reading","writing"
"membawa","mengirim","mengirca","membura","bring","send"
"membeli","menjual","mekaual","membssi","buy","sell"
"membenci","cinta","cidia","membenak","hate","love"
"membentuk","tanda","taraa","membenalk","form","sign"
"memberi makan","makan","tikan","memberymmakan","feed","eat"
