pl_cue,pl_target,type,cue_type,target_type,pl_cosine
podrzeć,ciąć,related,word,word,0.336320143410356
naciskać,ciągnąć,related,word,word,0.422868308785186
deser,ciasto,related,word,word,0.555020601830761
narodziny,ciąża,related,word,word,0.26257992523644
ekscytujący,ciekawe,related,word,word,0.139172855721675
cień,ciemny,related,word,word,0.39650741490822
ciężki,ociężale,related,word,word,0.280452875149654
wytrzymały,twardy,related,word,word,0.37017625678068
puls,ciśnienie,related,word,word,0.58828780290841
cichy,cisza,related,word,word,0.384974159897508
grób,cmentarz,related,word,word,0.617529398494053
nic,coś,related,word,word,0.580024944143352
trening,ćwiczenie,related,word,word,0.535099905422322
palić,cygaro,related,word,word,0.409506111186805
naiwny,cyniczny,related,word,word,0.614903487824589
ogród zoologiczny,cyrk,related,word,word,
kultura,cywilizacja,related,word,word,0.622079498624032
okulary,czapka,related,word,word,0.406017115810513
biały,czarny,related,word,word,0.810230046025308
magia,czarodziej,related,word,word,0.456394177851532
przekleństwo,czarownica,related,word,word,0.328504202977098
playboy,czasopismo,related,word,word,0.380295355973128
materia,cząstka,related,word,word,0.511665133456417
kość,czaszka,related,word,word,0.418910745443035
cukier,czekolada,related,word,word,0.510082828915233
czasem,często,related,word,word,0.448272233775169
osoba,człowiek,related,word,word,0.401660013638395
dwa,cztery,related,word,word,0.739839447440085
trzeci,czwarty,related,word,word,0.837675797447603
aktywność,działanie,related,word,word,0.364990133283647
blisko,daleko,related,word,word,0.527636541265399
lord,dama,related,word,word,0.206004113679789
dobroczynność,darowizna,related,word,word,0.500161869205301
oferta,dawać,related,word,word,0.155138438989321
pojęcie,definicja,related,word,word,0.373031264828006
stulecie,dekada,related,word,word,0.474908919060699
miękki,delikatny,related,word,word,0.527477796694317
wolność,demokracja,related,word,word,0.436893805036665
protest,demonstracja,related,word,word,0.486199978148197
stres,depresja,related,word,word,0.489266119841565
agent,detektyw,related,word,word,0.443430728605796
odwaga,determinacja,related,word,word,0.652102427745193
chaos,dezorientacja,related,word,word,0.244983683794438
anioł,diabeł,related,word,word,0.429005261892547
brzdęk,dzwonek,related,word,word,0.341370064317712
krótki,długi,related,word,word,0.517329427255282
papier,długopis,related,word,word,0.516262691167022
rozmiar,długość,related,word,word,0.554110569482747
wolontariusz,dobrowolnie,related,word,word,0.272196828625874
podziwiać,doceniać,related,word,word,0.608908782615932
zysk,dochód,related,word,word,0.597242884023649
nadmiarowy,dodatkowy,related,word,word,0.367832944086942
plik,dokument,related,word,word,0.438628812066419
funt,dolar,related,word,word,0.503608666471483
pustynia,dolina,related,word,word,0.484935531207546
szczyt,dno,related,word,word,0.355028846205598
dowód,potwierdzenie,related,word,word,0.50877878257607
ofiara,drapieżnik,related,word,word,0.340189641009687
kabel,przewód,related,word,word,0.677090179056082
krzew,drzewo,related,word,word,0.488680342720976
okno,drzwi,related,word,word,0.558453360084255
dusza,duch,related,word,word,0.535751351154684
proch strzelniczy,dynamit,related,word,word,
producent,dyrektor,related,word,word,0.401227721241134
rozmowa,dyskusja,related,word,word,0.603886805326843
podłoga,dywan,related,word,word,0.461646362972756
gest,czyn,related,word,word,0.46111659742831
młodzież,dzieciństwo,related,word,word,0.229085413522277
bobas,dziecko,related,word,word,0.356252692360805
spadek,dziedziczyć,related,word,word,0.425578099997902
wdzięczny,dziękować,related,word,word,0.638979716743357
powiat,dzielnica,related,word,word,0.377652502062999
reporter,dziennikarz,related,word,word,0.802732591864307
chłopcy.,dziewczyny,related,word,word,
niezwykłe,dziwny,related,word,word,0.376697747774433
straszny,upiorny,related,word,word,0.502514705816264
hałas,dźwięk,related,word,word,0.61245898166339
zdrowie,edukacja,related,word,word,0.299142181160125
wpływ,efekt,related,word,word,0.452911870678914
użyteczny,efektywny,related,word,word,0.557516381294172
wybuchać,eksplodować,related,word,word,0.605543170146894
trzęsienie ziemi,eksplozja,related,word,word,
modny,elegancki,related,word,word,0.576673399452465
prąd,elektryczność,related,word,word,0.634415140768655
magnetyczny,elektryczny,related,word,word,0.538029490644432
czynnik,element,related,word,word,0.472603913697568
psychiczny,emocjonalny,related,word,word,0.69546627558592
moc,energia,related,word,word,0.512111476152116
zaraza,epidemia,related,word,word,0.648110976933106
sezon,odcinek,related,word,word,0.507427596836104
orgazm,erekcja,related,word,word,0.375208839288455
ciepły,zimny,related,word,word,0.625950941857833
poczta,faks,related,word,word,0.367941782293949
podróbka,fałszywe,related,word,word,0.427000188364284
wspaniały,fantastyczny,related,word,word,0.742841448558518
rzeczywistość,fantazja,related,word,word,0.526829335381191
śmiertelnie,zabójczy,related,word,word,0.244917358393542
kolonia,federacja,related,word,word,0.532204342620383
karnawał,festiwal,related,word,word,0.512403735808307
porno,film,related,word,word,0.404575441210726
budżet,finansowanie,related,word,word,0.437847612774759
finansowo,finansowanie,related,word,word,0.586164380877644
seksualny,fizyczny,related,word,word,0.572979571511584
morski,flota,related,word,word,0.279307634030752
autograf,fotograf,related,word,word,0.47922409172441
angielski,francuski,related,word,word,0.747930038387421
operacyjny,funkcjonalny,related,word,word,0.346134922354351
biurko,gabinet,related,word,word,0.426268858185285
szafka,szafa,related,word,word,0.659432873210222
wszechświat,galaktyka,related,word,word,0.572778932350841
warsztat,garaż,related,word,word,0.533677035954664
artykuł,gazeta,related,word,word,0.471457708723187
gdzie indziej,gdzieś,related,word,word,
fortepian,gitara,related,word,word,0.45942007071439
zmęczony,głodny,related,word,word,0.61546336852924
większość,głosować,related,word,word,0.177903114617765
ślepy,głuchy,related,word,word,0.639585585989253
naiwny,głupi,related,word,word,0.550821749534793
szaleństwo,głupota,related,word,word,0.469428874264657
duma,godność,related,word,word,0.411107474216783
zasługiwać,godny,related,word,word,0.32431476260215
wzgórze,góra,related,word,word,0.330092593089142
kaszel,gorączka,related,word,word,0.467725661699315
niżej,wyżej,related,word,word,0.709956476939028
małpa,goryl,related,word,word,0.489603510658993
najemca,gospodarz,related,word,word,0.396469618481274
bawić się,gra,related,word,word,
trener,gracz,related,word,word,0.489914737121323
kilogram,gram,related,word,word,0.360520127259289
rzymski,grecki,related,word,word,0.60201475919648
chudy,gruby,related,word,word,0.672693811037739
listopad,grudzień,related,word,word,0.638566209217728
banda,grupa,related,word,word,0.606535829765787
błyskawica,grzmot,related,word,word,0.502749139853864
sława,gwiazda,related,word,word,0.333323072721456
klakson,gwizdek,related,word,word,0.462065828181422
iluzja,halucynacja,related,word,word,0.482755491861045
kanapka,hamburger,related,word,word,0.525409847062117
równowaga,harmonia,related,word,word,0.569835425800143
kalendarz,harmonogram,related,word,word,0.460917012422089
kod,hasło,related,word,word,0.571504598221324
kokaina,heroina,related,word,word,0.735571382978074
aids,hiv,related,word,word,0.66524592470632
współczujący,hojny,related,word,word,0.461400261554385
tuńczyk,homar,related,word,word,0.515221049006843
przywilej,honor,related,word,word,0.401813880105938
baron,hrabina,related,word,word,0.346396807683245
idealny,perfekcyjny,related,word,word,0.668606604734055
głupiec,idiota,related,word,word,0.638793207249708
suma,ilość,related,word,word,0.37550753718461
dynastia,imperium,related,word,word,0.415619058299373
pochlebiać,imponować,related,word,word,0.505815396296967
przyjęcie,impreza,related,word,word,0.515434631396045
kurczak,indyk,related,word,word,0.672654413870178
osoba,jednostka,related,word,word,0.398186205879545
wirus,infekcja,related,word,word,0.532478305219068
dane,infromacje,related,word,word,0.479240859461682
źródło,informator,related,word,word,0.31105617122117
podobny,różny,related,word,word,0.433466524635492
inspirować,inspiracja,related,word,word,0.556236596028389
narzędzie,instrument,related,word,word,0.382576299182943
mądry,inteligentny,related,word,word,0.708681473676065
instynkt,intuicja,related,word,word,0.575363462191577
osobisty,intymny,related,word,word,0.489153059716338
bankier,inwestor,related,word,word,0.564455701850059
finanse,inwestować,related,word,word,0.293787941540204
ironia,ironiczny,related,word,word,0.481943806777784
wchodzić,iść,related,word,word,0.394954705041911
atomowy,jądrowy,related,word,word,0.693856479992353
gniazdo,jajko,related,word,word,0.354104377588264
ilość,jakość,related,word,word,0.522970353458173
połysk,jasny,related,word,word,0.307052161883994
żaba,jaszczurka,related,word,word,0.50971648937934
prowadzić,jechać,related,word,word,0.326512809053924
połowa,ćwiartka,related,word,word,0.37108718600768
karmić,jeść,related,word,word,0.463307619767558
wiosna,jesień,related,word,word,0.620724200654511
rzeka,jezioro,related,word,word,0.493939571914095
romeo,julia,related,word,word,0.595598469834509
senior,junior,related,word,word,0.438999415339266
gęś,kaczka,related,word,word,0.491072338497254
głaz,kamień,related,word,word,0.595927416970682
kask,czapka,related,word,word,0.391563499447675
anarchia,kapitalizm,related,word,word,0.442919393838842
dowódca,kapitan,related,word,word,0.603592985844802
mnich,kapłan,related,word,word,0.514388113453525
kościół,kaplica,related,word,word,0.480636683730738
biskup,kardynał,related,word,word,0.46896856596945
mafia,kartel,related,word,word,0.451904006766274
filiżanka,kawa,related,word,word,0.517685652193648
przemówienie,kazanie,related,word,word,0.619359214495126
palec,kciuk,related,word,word,0.700419597191133
kelner,kelnerka,related,word,word,0.700065792925052
piknik,kemping,related,word,word,0.545661514114316
pasażer,kierowca,related,word,word,0.563852310457048
kłamać,kłamca,related,word,word,0.431627440946621
typowy,klasyczny,related,word,word,0.613521411314459
sierociniec,klasztor,related,word,word,0.520186911883223
świątynia,klasztor,related,word,word,0.413138472263661
diament,klejnot,related,word,word,0.639254341015322
pacjent,klient,related,word,word,0.5088437003202
szpital,klinika,related,word,word,0.589064473484508
wdowa,kobieta,related,word,word,0.407353216180039
kochanka,kochanek,related,word,word,0.49684618931239
ramię,kolano,related,word,word,0.539961573536484
dramat,komedia,related,word,word,0.478436556800879
inspektor,komisarz,related,word,word,0.609632910467128
komisja,komitet,related,word,word,0.421016267969902
całkowity,kompletny,related,word,word,0.620939165227978
oprogramowanie,komputer,related,word,word,0.554872736842
nawigacja,komunikacja,related,word,word,0.587677221663599
rasistowski,komunistyczny,related,word,word,0.594441726465374
osioł,koń,related,word,word,0.432556332922112
skupiać się,koncentrować się,related,word,word,
wycieczka,koncert,related,word,word,0.282996830476654
rum,koniak,related,word,word,0.496676677232374
meta,koniec,related,word,word,0.202038835131091
usługa,konserwacja,related,word,word,0.443491623145398
prawo,konstytucja,related,word,word,0.42118862382283
badanie,kontrola,related,word,word,0.270700599396464
kontynuować,postepować,related,word,word,0.295189130774945
oryginał,kopia,related,word,word,0.521261322918964
firma,korporacja,related,word,word,0.676616818836668
pies,kot,related,word,word,0.751340433053434
rodeo,kowboj,related,word,word,0.401292780149796
potwór,kreatura,related,word,word,0.474451133530868
wyobraźnia,kreatywność,related,word,word,0.503176175019374
królowa,król,related,word,word,0.724538244113085
królewski,królestwo,related,word,word,0.417620383008955
lis,królik,related,word,word,0.526140156043091
faza,okres,related,word,word,0.373977650505298
tyłek,zadek,related,word,word,0.711848006483383
złodziej,kryminalista,related,word,word,0.529630117397953
sytuacja,kryzys,related,word,word,0.323086863470912
stół,krzesło,related,word,word,0.444215846685104
księżniczka,książę,related,word,word,0.599086098572933
biblia,książka,related,word,word,0.51933496810259
piekarnik,kuchenka,related,word,word,0.55666511746754
reklama,kupiec,related,word,word,0.200995487427688
sprzedawca,kupujący,related,word,word,0.485055344718097
koszula,kurtka,related,word,word,0.699469184821699
krewny,kuzyn,related,word,word,0.517846585697067
baza,kwatera główna,related,word,word,
roślina,kwiat,related,word,word,0.480612644638626
obciążenie,ładunek,related,word,word,0.270858934830138
dżungla,las,related,word,word,0.449723904423267
przebaczenie,miłosierdzie,related,word,word,0.596893346623488
lądować,latać,related,word,word,0.545113482913715
niemożliwy,łatwy,related,word,word,0.578033496861235
prysznic,łazienka,related,word,word,0.468419470850861
terapia,leczenie,related,word,word,0.520580779215712
mit,legenda,related,word,word,0.520221368632051
alkohol,narkotyk,related,word,word,0.567924317672542
chirurg,lekarz,related,word,word,0.671392148859081
ciemność,światło,related,word,word,0.511732324969266
smok,lew,related,word,word,0.502990970999447
prawy,lewy,related,word,word,0.680764324478503
konserwatywny,liberalny,related,word,word,0.687888303203795
uczestnik,lider,related,word,word,0.420335166782634
taksówka,limuzyna,related,word,word,0.621287779864609
łańcuch,lina,related,word,word,0.286959027708101
czerwiec,lipiec,related,word,word,0.625799302599875
telegram,list,related,word,word,0.684314389448611
sztuka,literatura,related,word,word,0.493443551878208
ssać,lizać,related,word,word,0.603260928115986
łódź podwodna,statek,related,word,word,
miejsce,lokalizacja,related,word,word,0.310696531809755
regionalny,lokalny,related,word,word,0.560051597606674
lądowanie,lot,related,word,word,0.501149854932352
terminal,lotnisko,related,word,word,0.427700483382778
sofa,łóżko,related,word,word,0.397698370845487
populacja,ludzie,related,word,word,0.229022085503401
odbicie,lustro,related,word,word,0.465334745841228
kropla,łyk,related,word,word,0.358938325112062
keczup,majonez,related,word,word,0.545675449069209
ziarno,mąka,related,word,word,0.336607926321397
minimalny,maksymalny,related,word,word,0.61736870369102
artysta,malarz,related,word,word,0.694948207484336
niewielki,mały,related,word,word,0.611846723781523
rozwód,małżeństwo,related,word,word,0.475555432034099
kontrolować,manipulować,related,word,word,0.495278263413219
kompas,mapa,related,word,word,0.370845400765915
reklama,marketing,related,word,word,0.37687873455924
żywy,martwy,related,word,word,0.600596367214072
morski,marynarka wojenna,related,word,word,
pirat,marynarz,related,word,word,0.527415919286123
joga,masaż,related,word,word,0.431093261855868
miód,masło,related,word,word,0.320427324234117
robot,maszyna,related,word,word,0.427471124822
fizyka,matematyka,related,word,word,0.682743517957499
bomba,wybuchowy,related,word,word,0.435213417713727
biegunka,mdłości,related,word,word,0.491732579335752
techniczny,mechaniczny,related,word,word,0.628836437761814
turniej,mecz,related,word,word,0.572747007988173
trofeum,medal,related,word,word,0.374498348883751
artefakt,medalion,related,word,word,0.478367741613331
żelazo,metal,related,word,word,0.533426097302638
kilometr,metr,related,word,word,0.561549981856873
chmura,mgła,related,word,word,0.562879693268348
stolica,miasto,related,word,word,0.436501111527168
nerw,mięsień,related,word,word,0.612808768006441
wieprzowina,mięso,related,word,word,0.549913788358674
połączenie,mieszanina,related,word,word,0.290782457618128
kamera,mikrofon,related,word,word,0.472997854408749
teleskop,mikroskop,related,word,word,0.566005049007333
tatuś,mamusia,related,word,word,0.697697398697992
milion,miliard,related,word,word,0.735631002126845
nienawiść,miłość,related,word,word,0.582092701524952
ambasador,minister,related,word,word,0.537711683573114
ambasada,ministerstwo,related,word,word,0.35413302181295
plus,minus,related,word,word,0.566797355786341
sekunda,minuta,related,word,word,0.716953898458088
zadanie,misja,related,word,word,0.410785866103365
konkurencja,mistrzostwo,related,word,word,0.351729344602961
stary,młody,related,word,word,0.451515550481599
kij,młot,related,word,word,0.488160846452469
krew,mocz,related,word,word,0.5755172149861
suchy,mokry,related,word,word,0.572795536417235
krzew,wrzos,related,word,word,0.371142683629845
ekran,monitor,related,word,word,0.549243341860161
zabójca,morderca,related,word,word,0.851417382278905
najemnik,skrytobójca,related,word,word,0.49815444236039
samobójstwo,morderstwo,related,word,word,0.608476750352347
aspiryna,morfina,related,word,word,0.592057854119112
hotel,motel,related,word,word,0.738231927757697
rozmawiać,mówić,related,word,word,0.623229575496465
mózg,mózgowy,related,word,word,0.498370937742435
szansa,możliwość,related,word,word,0.50479655278981
pszczoła,mrówka,related,word,word,0.540865556154571
odznaka,mundur,related,word,word,0.457621587253731
ewolucja,mutacja,related,word,word,0.589641036655423
biblioteka,muzeum,related,word,word,0.359107119675256
piosenkarz,muzyk,related,word,word,0.661919563945804
jazz,muzyka,related,word,word,0.522734706617384
czysty,umyć,related,word,word,0.195295037173796
rozważać,myśleć,related,word,word,0.457613995566541
okrągły,dookoła,related,word,word,0.338382332829597
wieczny,na zawsze,related,word,word,
przycisk,naciskać,related,word,word,0.427056521778123
czujnik,nadajnik,related,word,word,0.63810280666574
już,jeszcze,related,word,word,0.449119609408773
nagi,goły,related,word,word,0.608738944993716
pilny,nagły wypadek,related,word,word,
nagrywać,nagranie,related,word,word,0.469474130985981
nobel,nagroda,related,word,word,0.318629496916282
premia,wynagrodzenie,related,word,word,0.50451076554888
finalny,ostateczny,related,word,word,0.560293727831212
ofiara,napastnik,related,word,word,0.469050208027725
naprawić,naprawa,related,word,word,0.547704697064085
faktycznie,naprawdę,related,word,word,0.553313294411622
kraj,naród,related,word,word,0.643135829541532
nastoletni,nastolatek,related,word,word,0.515962828497346
pierścień,naszyjnik,related,word,word,0.534274324924244
uczyć się,nauczać,related,word,word,
uczeń,nauczyciel,related,word,word,0.659010232413535
technologia,nauki ścisłe,related,word,word,
geniusz,naukowiec,related,word,word,0.472843626924601
przezwisko,nazwisko,related,word,word,0.585527981502262
pozytywny,negatywny,related,word,word,0.800737526201015
zmartwiony,nerwowy,related,word,word,0.465263907672194
ryzykowny,niebezpieczny,related,word,word,0.639592400733846
niebo,niebiański,related,word,word,0.363990382644976
brązowy,niebieski,related,word,word,0.696773496654119
sobota,niedziela,related,word,word,0.748275634260044
nierozsądny,nieodpowiedzialny,related,word,word,0.552631429165137
obawa,niepokój,related,word,word,0.408063055720533
sukces,porażka,related,word,word,0.475584831534247
niewygodny,nieprzyjemny,related,word,word,0.601333249330029
imponujący,niesamowity,related,word,word,0.609178264050374
nagle,niespodziewanie,related,word,word,0.610490093764169
niesprawiedliwość,niesprawiedliwy,related,word,word,0.667878426235127
niefortunny,nieszczęście,related,word,word,0.402176502611632
ubóstwo,nędza,related,word,word,0.49254690928598
niemożność,niezdolność,related,word,word,0.68169018950254
anonimowy,nieznany,related,word,word,0.378695865586734
wyjątkowy,niezwykły,related,word,word,0.684464058695277
zdrowy,w normie,related,word,word,
usta,nos,related,word,word,0.515779902320556
guz,nowotwór,related,word,word,0.665333268976439
miecz,nóż,related,word,word,0.629469731161482
poza,o,related,word,word,0.172618959463737
ufo,kosmita,related,word,word,0.394992507622627
przekąska,obiad,related,word,word,0.413000218119928
gwarancja,obietnica,related,word,word,0.516681850361756
liczyć,obliczyć,related,word,word,0.401702268560913
odpowiedzialność,obowiązek,related,word,word,0.395469004978184
okraść,obrabować,related,word,word,0.745395946821397
skręcać,obracać,related,word,word,0.539366052907343
rana,obrażenia,related,word,word,0.294435177707283
zniewaga,obraza,related,word,word,0.598586231610617
brudny,obrzydliwy,related,word,word,0.610444037955999
patrzyć,oglądać,related,word,word,0.556748066177956
promień,obwód,related,word,word,0.491376660167135
morze,ocean,related,word,word,0.653239394120354
obserwacja,ewaluacja,related,word,word,0.512700634156669
czekać,oczekiwać,related,word,word,0.438362489653182
klarownie,oczywiście,related,word,word,0.186395922895608
dna,odcisk palca,related,word,word,
zarządzać,odnieść sukces,related,word,word,
odpowiedź,odzew,related,word,word,0.377705553267415
świeży,odświeżać,related,word,word,0.339625742078767
szlachetny,odważny,related,word,word,0.530467776640382
oczywiście,zasadniczo,related,word,word,0.250852104636131
ściana,ogrodzenie,related,word,word,0.296525150788751
mama,tata,related,word,word,0.731411194870358
zło,okrucieństwo,related,word,word,0.483962587408854
brutalny,okrutny,related,word,word,0.695834772497144
porywacz,okup,related,word,word,0.462871451948791
duży,olbrzymi,related,word,word,0.585503123338352
węgiel,ropa,related,word,word,0.427173748001233
wybór,możliwość,related,word,word,0.291624460123033
profil,opis,related,word,word,0.496924611110139
opór,oprzeć się,related,word,word,
wychodzić,opuścić,related,word,word,0.388279711683762
planeta,orbita,related,word,word,0.591261379595921
nadczłowiek,supermen,related,word,word,0.354991577097672
skarga,oskarżenie,related,word,word,0.448991462902698
postać,osobowość,related,word,word,0.499432107264464
wreszcie,ostatecznie,related,word,word,0.380033339795048
zaledwie,ostatnio,related,word,word,0.128334254160908
komentarz,oświadczenie,related,word,word,0.387492828352239
spisek,oszustwo,related,word,word,0.494516401060476
pękać,otwór,related,word,word,0.144560145811848
pająk,owad,related,word,word,0.586287490173403
jabłko,owoc,related,word,word,0.482199620327951
cześć,pa,related,word,word,0.529796204451542
koperta,paczka,related,word,word,0.587584575135364
gaz,paliwo,related,word,word,0.415213193890887
pan młody,panna młoda,related,word,word,
tytoń,papieros,related,word,word,0.471322650848787
nadprzyrodzony,paranormalne,related,word,word,0.480466721746524
entuzjazm,pasja,related,word,word,0.414602615431935
bilet,paszport,related,word,word,0.553203230595626
strażnik,patrol,related,word,word,0.358776716429607
wrzesień,październik,related,word,word,0.599742874622216
pusty,pełny,related,word,word,0.549000588887296
pochwa,penis,related,word,word,0.491955775445769
emerytura,pensja,related,word,word,0.565337974569453
pomadka,perfumy,related,word,word,0.316851457073505
pogląd,perspektywiczny,related,word,word,0.26663960333782
błoto,piasek,related,word,word,0.448728735209538
raj,piekło,related,word,word,0.174685540349315
czar,piękno,related,word,word,0.260474608506376
ładny,piękny,related,word,word,0.713212262128397
gotówka,pieniądze,related,word,word,0.41861966284232
tabletka,pigułka,related,word,word,0.752553615497706
trzeźwy,pijany,related,word,word,0.582935859506487
koszykówka,piłka nożna,related,word,word,
astronauta,pilot,related,word,word,0.484563474498835
album,piosenka,related,word,word,0.422180374906366
czytać,pisać,related,word,word,0.695763287083861
poeta,pisarz,related,word,word,0.608460425257667
czytanie,pismo,related,word,word,0.365151173006467
karabin,pistolet,related,word,word,0.710484482894588
drink,piwo,related,word,word,0.495775930448166
przygotowanie,planowanie,related,word,word,0.66640582040773
cement,plastik,related,word,word,0.470747877623806
mężczyzna,kobieta,related,word,word,0.674335963398257
ogień,płomień,related,word,word,0.716579646082436
ciecz,płyn,related,word,word,0.48856526962808
utopić,pływać,related,word,word,0.457293059159923
uwaga,przyciągać,related,word,word,0.201544720076613
kaliber,pocisk,related,word,word,0.557709878018765
rakieta,pocisk,related,word,word,0.475010100034665
wątpliwość,podejrzany,related,word,word,0.160244070568623
dumny,podekscytowany,related,word,word,0.456043591450455
znaczek,podpis,related,word,word,0.328174954949503
formularz,podpis,related,word,word,0.5800373963295
wtórny,podstawowa,related,word,word,0.198053939262653
jednostka,podział,related,word,word,0.146464447222993
trumna,pogrzeb,related,word,word,0.459248847141488
kopać,pogrzebać,related,word,word,0.424485273399283
raport,poinformować,related,word,word,0.323119531708872
hazard,poker,related,word,word,0.542247518683811
niania,pokojówka,related,word,word,0.455717337254584
zwycięstwo,pokonać,related,word,word,0.310428191585421
kontakt,połączenie,related,word,word,0.436473536187405
arena,pole walki,related,word,word,
warga,policzek,related,word,word,0.419354663782146
krytyczny,polityczny,related,word,word,0.492391189986221
polityka,polityk,related,word,word,0.587284762032927
dziennikarstwo,polityka,related,word,word,0.342896185805406
południe,północ,related,word,word,0.818397868057528
środek nocy,południe,related,word,word,
zielony,pomarańczowy,related,word,word,0.712157820163325
ziemniak,pomidor,related,word,word,0.633349190646326
zmiana,poprawa,related,word,word,0.553710730757199
kontrakt,porozumienie,related,word,word,0.486498041930431
zatoka,port,related,word,word,0.401799351017971
kieszeń,portfel,related,word,word,0.451952992698378
sierżant,porucznik,related,word,word,0.643985149357046
śledzić,pościg,related,word,word,0.268871207638632
jedzenie,posiłek,related,word,word,0.568278224015953
opinia,postawa,related,word,word,0.460285325543577
wierność,poświęcenie,related,word,word,0.416516082493026
podwoić,potroić,related,word,word,0.739880857260587
niezbędny,potrzebować,related,word,word,0.244304330900194
potwierdzenie,potwierdzać,related,word,word,0.626060778101905
mówić,powiedzieć,related,word,word,0.611150694067048
warstwa,powierzchnia,related,word,word,0.506321272066232
pogratulować,powitać,related,word,word,0.431071126009118
plecy,powrót,related,word,word,0.168000952038261
zobaczyć,poznać,related,word,word,0.459838129483268
zostawać,pozostać,related,word,word,0.583569369301053
dopuszczać,pozwolić,related,word,word,0.425823671343981
status,pozycja,related,word,word,0.353604610622939
kredyt,pożyczka,related,word,word,0.539397627385473
