"ur_target","ur_cue","ur_fake_cue","ur_fake_target","en_cue","en_target"
"اولین مقصد","مکاشفہ","مکاشڈو","اولیجقمقصد","revelation","vision"
"اونچائی","وزن","رجن","اوبنائی","weight","height"
"ایٹمی","جوہری","جودھی","ایئتی","atomic","nuclear"
"ایجنسی","فرم","ڈام","ایالسی","firm","agency"
"ایڈریس","نمبر","ٹھبر","ایڈروں","number","address"
"ایڈنالین","ہارمون","ہانگون","ایڈنسٹین","hormone","adrenaline"
"ایک قسم کا جانور","گلہری","گلپنی","ایٹہقسم کا جانور","squirrel","raccoon"
"ایکٹ","اشارہ","اشیاہ","ایگز","gesture","act"
"ایکسپریس","بیان","لوان","ایکسٹنیس","describe","express"
"ایمان","امید","نیید","ایئرن","hope","faith"
"ایماندار","مہذب","مہso","ایمالاار","decent","honest"
"ایمانداری","وفاداری","بتاداری","ایماسواری","loyalty","honesty"
"ایمرجنسی","فوری طور پر","فوری طوررور","ایمرکرسی","urgent","emergency"
"اینٹی","مکھی","مکات","ایوای","bee","ant"
"ایندھن","گیس","مپس","تاندھن","gas","fuel"
"ب","اچھی","صوھی","نآ","good","bad"
"بائیں","ٹھیک ہے","ٹھیکطفے","بادوں","right","left"
"باپ","ماں","وؤں","یمپ","mother","father"
"باتھ روم","شاور","یفور","بالے روم","shower","bathroom"
"بادشاہ","ملکہ","ملرت","بامظاہ","queen","king"
"بار","کلب","ہیب","ئیر","club","bar"
"بارود","گنپڈر","گنظیر","بالید","gunpowder","dynamite"
"بازو","ہاتھ","ہاta","بالى","hand","arm"
"بازو","ارسنل","reسنل","بالى","arsenal","armory"
"باڑ","دیوار","کروار","ونڑ","wall","fence"
"باس","مینیجر","مینیقت","یرس","manager","boss"
"بت","یادگار","یابیار","ائ","monument","statue"
"بتائیں","کہہ دو","کہیلدو","سٹائیں","say","tell"
"بٹ","گدا","یڑا","يع","ass","butt"
"بٹالین","ریجیمیںٹ","ریجیمیﻨﻞ","teالین","regiment","battalion"
"بجلی","موجودہ","موجونا","تبلی","current","electricity"
"بجلی","مقناطیسی","ہاناطیسی","تبلی","magnetic","electric"
"بچپن","نوجوانوں","نویسانوں","بچخی","youth","childhood"
"بچت","بچاؤ","وتاؤ","وکت","rescue","save"
"بچہ","بچه","ئٹه","ئٹہ","baby","child"
"بحالی","سروس","ردوس","کفالی","service","maintenance"
"بحث","گفتگو","گفغزو","نیث","conversation","discussion"
"بحران","حالات","لیلات","doران","situation","crisis"
"بحریہ","میرین","تارین","جیریہ","marine","navy"
"بخار","کھانسی","سوانسی","gaار","cough","fever"
"بدصورت","ناگوار","ناگولی","dbصورت","digusting","ugly"
"بدقسمتی","بدقسمتی","بدنامتی","بدتممتی","unfortunate","misfortune"
"بدقسمتی","پناہ گزین","پناہیڈزین","بدتممتی","refugee","fugitive"
"برادری","سوسائٹی","سوساویی","بریکری","society","community"
"براہ راست","براہ راست","براہرعاست","براہتےاست","direct","directly"
"برطانیہ","رائل","رارگ","برتونیہ","royal","kingdom"
"برطرفی","استعفی","اسثقفی","برندفی","resignation","dismissal"
"برعکس","برعکس","برکےس","بریںس","opposite","contrary"
"برف","بارش","بابس","ویف","rain","snow"
"برقرار رکھنا","حفاظت","حفجوت","برقرارقتکھنا","preserve","maintain"
"برو","دوست","دوھر","وکو","dude","bro"
"بزنس","صنعت","صنمو","ئرنس","industry","business"
"بزنس","خرگوش","زیگوش","ئرنس","scratch","bruise"
"بس","ٹرین","فلین","زل","train","bus"
"بستر","سوفا","سولت","پیتر","sofa","bed"
"بطخ","ہنس","نڈس","چپخ","goose","duck"
"بلیک","سفید","قیید","بلات","white","black"
"بلیک میل","رشوت","حدوت","بلیکمشیل","bribe","blackmail"
"بلیو","براؤن","برسان","بلٹر","brown","blue"
"بند","بند","ائد","ائد","locked","closed"
"بند کریں","کھولیں","کھبتیں","بند کراس","open","close"
"بندرگاہ","بے","آٹ","بندرابہ","bay","harbor"
"بندش","کھولنے","کھدینے","بنلك","opening","closure"
"بھائی","بہن","پئن","شیائی","sister","brother"
"بھاری","بگ","رآ","الاری","big","huge"
"بھاری","بھاری","الاری","الاری","heavy","heavily"
"بھتیجے","پوتے","نپتے","بھتیوب","grandson","nephew"
"بھوک لگی","تھکا ہوا","تھکاآلوا","وروک لگی","tired","hungry"
"بھیجیں","لانے","لافا","بھئلیں","bring","send"
"بھیڑیا","ریچھ","ریکر","بھیڑنے","bear","wolf"
"بہادر","نوبل","نورگ","تقادر","noble","brave"
"بہت","انتہائی","انکھائی","ڈوت","extremely","very"
"بہت پرجوش","فخر","ئڈر","بہت پروزش","proud","excited"
"بہتری","تبدیل","تبیول","مجتری","change","improvement"
"بہرا","اندھے","انٹتے","الرا","blind","deaf"
"بو","ذائقہ","ذابڑہ","ين","taste","smell"
"بوتل","شیشے","شیen","بوزد","glass","bottle"
"بوسٹن","واشنگٹن","واشنیلن","ٹکسٹن","washington","boston"
"بولا","بات چیت","بابڑچیت","رالا","talk","speak"
"بیئر","پینے","ندنے","بیوا","drink","beer"
"بیان","تبصرہ","بجصرہ","لوان","comment","statement"
"بیٹ مین","سپرمین","صارمین","بیطامین","superman","batman"
"بیٹا","بیٹی","بیسا","بییب","daughter","son"
"بیٹھے","اسٹینڈ","اسیگنڈ","بیسکے","stand","sit"
"بیڈروم","کمرہ","کملک","بیلشوم","room","bedroom"
"بیرونی","اندرونی","اننیونی","بیروبا","internal","external"
"بیڑے","بحریہ","مطریہ","بیلچ","naval","fleet"
"بیس بال","اسٹیڈیم","اسٹیرام","بیشھبال","stadium","baseball"
"بیکار","بیکار","یاکار","بینڈر","useless","worthless"
"بیکن","ٹوسٹ","امسٹ","بیال","toast","bacon"
"بیگ","ڈبہ","دجہ","ڈلگ","box","bag"
"بیمار","بیمار","بیاکر","سلمار","ill","sick"
"بیماری","فلو","ككو","ہنماری","flu","disease"
"بینڈ","آرکسٹرا","آراوٹرا","بیتو","orchestra","band"
"بیوقوف","بولی","بواں","بیسےوف","naïve","stupid"
"بیوقوف","بیوقوف","بیقروف","بیسےوف","fool","idiot"
"بیوکوف","پاگل پن","پاگلاجن","بیوکاٹ","madness","stupidity"
"بیوی","شوہر","سنہر","بیائ","husband","wife"
"بے لوث","شفقت","شفٹو","بے لهـ","compassionate","generous"
"پائلٹ","خلائی مسافر","خلائرسمسافر","پاروٹ","astronaut","pilot"
"پادری","منک","رچک","پاسدی","monk","priest"
"پارٹی","استقبال","استقڈیل","پااڑی","reception","party"
"پاس ورڈ","کوڈ","الڈ","پابغورڈ","code","password"
"پاسپورٹ","ٹکٹ","ھاٹ","پایوورٹ","ticket","passport"
"پاگل","پاگل","ونگل","پاطی","paranoid","crazy"
"پتھر","پتھر","وکھر","خدھر","rock","stone"
"پٹھوں","اعصابی","اعتدبی","سدھوں","nerve","muscle"
"پرائمری","سیکنڈری","سیکنچھی","پرائیشی","secondary","primary"
"پرائیویسی","نجی","عشی","پرائرزیسی","private","privacy"
"پرسکون","خاموش","خازنش","پردھون","quiet","calm"
"پرکھ","تجربہ","تجہیہ","پرقت","experiment","test"
"پرندہ","تیتلی","تیبتی","رقندہ","butterfly","bird"
"پرنس","راجکماری","رازوماری","پرھی","princess","prince"
"پرواز","زمین","ورین","پررڈز","land","fly"
"پرواز","لینڈنگ","لییمنگ","پررڈز","landing","flight"
"پروٹوکول","اصول","قیول","پریتوکول","rule","protocol"
"پروفیسر","ڈین","سلن","پرنٹیسر","dean","professor"
"پروفیشنل","شوکیا","شوووا","پروفیشka","amateur","professional"
"پروگرام","منصوبے","منصورد","پریمرام","project","program"
"پریس","بٹن","گين","پرly","button","press"
"پریشان","مداخلت","مدڈھلت","پربتان","interrupt","disturb"
"پریمی","مالکن","مااگن","پروگی","mistress","lover"
"پکڑنے","پکڑو","پکaf","عرڑنے","grab","catch"
"پلاسٹک","سیمنٹ","سیاتٹ","پلاستش","cement","plastic"
"پلیئر","کوچ","ساچ","پلمار","coach","player"
"پلیٹ","بولل","بوط ","پلشی","bowl","plate"
"پناہ گاہ","پناہ","جواہ","پناہبظاہ","refuge","shelter"
"پنیر","روٹی","روپو","ہویر","bread","cheese"
"پھل","سیب","موب","ليل","apple","fruit"
"پھول","پودا","عیدا","پھme","plant","flower"
"پوچھو","سوال","معال","پواوو","question","ask"
"پوزیشن","حالت","حاgy","پولسشن","status","position"
"پوکر","جوا","اثا","ڈسکر","gambling","poker"
"پیارا","میٹھی","کنٹھی","سکارا","sweet","cute"
"پیارا، دلکش","اچھا","صوھا","کسارا، دلکش","nice","lovely"
"پیاز","لہسن","جدسن","پیوہ","garlic","onion"
"پیاس","بھوک","بھبر","تناس","hunger","thirst"
"پیٹ","ریڑه","ری۰۷","ئلٹ","spinal","abdominal"
"پیداوار","بنانا","بنداا","پیدامور","create","produce"
"پیداوار","فیکٹری","فینوری","پیدامور","factory","production"
"پیراگراف","سیکشن","سیٹھن","پیرالباف","section","paragraph"
"پیسے","نقد","ضاد","پیرڈ","cash","money"
"پیشاب","خون","ےان","پیزیب","blood","urine"
"پیغام","انتباہ","انقراہ","پیظیم","warning","message"
"پیکیج","لفافے","لفهنے","پیاچج","envelope","package"
"پیلا","سرخ","دوخ","پیغم","red","yellow"
"پینٹر","فنکار","لمکار","پیاگر","artist","painter"
"تابکاری","آلودگی","آلوداء","تاوداری","contamination","radiation"
"تار","کیبل","کیپس","ارر","cable","wire"
"تازہ کاری","تازه","تاud","تازہمفاری","fresh","refresh"
"تاوان","اغوا","یاوا","چروان","kidnapper","ransom"
"تباہی","تخلیق","حللیق","نہاہی","creation","destruction"
"تجزیہ","پوسٹ مارٹم","پوسٹروارٹم","مبزیہ","autopsy","analysis"
"تجویز","تجویز","مبویز","تجئرز","propose","suggest"
"تحفہ","تعریف","شکریف","تحلک","compliment","gift"
"تحقیقات","کیپسول","کیپسکا","القیقات","capsule","probe"
"تحقیقات","جانچ پڑتال","جانچ پفیال","القیقات","examine","investigate"
"تحقیقات","تجزیہ کار","تجزیزاکار","القیقات","analyst","investigator"
"تخت","تاج","reج","صرت","crown","throne"
"تخلیقی صلاحیت","تخیل","تخری","تخلیقی صلاوتت","imagination","creativity"
"ترتیب","کمانڈ","آرانڈ","تراقب","command","order"
"ترقی","ترقی","ترpe","ترpe","progress","development"
"ترکاریاں","سوپ","یلپ","ملکاریاں","soup","salad"
"ترکی","چکن","ثزن","تریو","chicken","turkey"
"تشخیص","مشاورت","تراورت","تشقوص","observation","evaluation"
"تشدد","عذاب","دجاب","حسدد","torment","torture"
"تصدیق","چیک","گنک","بودیق","check","verify"
"تصدیق","تصدیق","دےدیق","بودیق","confirmation","confirm"
"تصور","حقیقت","حقاخت","دہور","reality","fantasy"
"تصوراتی، بہترین","حیرت انگیز","حیرتتڑنگیز","تصوراتقی بہترین","wonderful","fantastic"
"تصویر","تصویر","vaویر","طاویر","picture","photo"
"تعریف","تصور","vaور","لیریف","concept","definition"
"تعلیم","صحت","اتت","میلیم","health","education"
"تعمیر","orgasm","orpant","قومیر","orgasm","erection"
"تعمیر","تعمیراتی","قومیراتی","قومیر","construction","build"
"تفریق","پلس","وسس","ازریق","plus","minus"
"تفصیل","پروفائل","پروفودل","لنصیل","profile","description"
"تقریب","رسم","سزم","toریب","ritual","ceremony"
"تقریب","رجحان","رجیٹن","toریب","phenomenon","event"
"تکبر","جہالت","اذالت","وزبر","ignorance","arrogance"
"تلفظ","آواز","وفاز","تلحق","voice","accent"
"تمغے","ٹرافی","ٹرکچی","تمئق","trophy","medal"
"تنازعہ","تنازعہ","تنازیش","تنازوم","conflict","dispute"
"تنخواہ","پینشن","پیےان","تنصیاہ","pension","salary"
"تھیٹر","سنیما","سننتا","تھےجر","cinema","theater"
"تہذیب","ثقافت","idافت","بٹذیب","culture","civilization"
"توانائی","پاور","دنور","تونہائی","power","energy"
"توپ خانے","رسالہ","رسریہ","توپ ائنے","cavalry","artillery"
"توجہ مرکوز","فوکس","ميکس","توجہ مرکلے","focus","concentrate"
"توقع","انتظار کرو","انبعار کرو","توحت","wait","expect"
"تولیہ","کمبل","کمھا","توروہ","blanket","towel"
"تیار","تیار","مبار","مبار","ready","prepare"
"تیرنا","ڈوب","ہاب","گارنا","drown","swim"
"تیز","سست","قيت","سلز","slow","fast"
"تیل","کوئلہ","کواضہ","نشل","coal","oil"
"تین","ایک","یٹک","ائن","one","three"
"ثبوت","ثبوت","سشوت","snوت","evidence","proof"
"ٹائمر","ڈیٹونیٹر","ڈیتصنیٹر","ٹاچور","detonator","timer"
"ٹائی","پابند","پاٹھد","seئی","bind","tie"
"ٹرانسمیٹر","سینسر","سیدیر","ٹرانیٹیٹر","sensor","transmitter"
"ٹرپل","دگنا","عثنا","کمپل","double","triple"
"ٹرک","جیپ","امپ","ئیک","jeep","truck"
"ٹشو","جلد","تمد","ﻟﮕو","skin","tissue"
"ٹکڑا","ٹکڑا","اوڑا","یوڑا","fragment","piece"
"ٹماٹر","آلو","وبو","ٹمئزر","potato","tomato"
"ٹہلنے","جھپکی","جھموی","نزلنے","nap","stroll"
"ٹوپی","ہیلمیٹ","ہیتھیٹ","ٹوکر","helmet","hat"
"ٹیکنالوجی","طریقہ","طرردہ","ٹیتدالوجی","method","technique"
"ٹیلنٹ","ممکنہ، استعداد","ممکنہ،دہستعداد","ٹیولٹ","potential","talent"
"ٹیلی فون","کال","نڈل","ٹیلیالون","call","telephone"
"ٹیلی ویژن","ریڈیو","ریکرو","ٹیلیپلیژن","radio","television"
"ٹیم","لیگ","واگ","نٹم","league","team"
"ٹینس","گالف","کیلف","ٹیور","golf","tennis"
"جاؤ","درج","ینج","نوؤ","enter","go"
"جادوگر","جادو","جاکہ","جادوبا","magic","wizard"
"جاری رہے","آگے بڑھو","آگے بڑنر","جاسو رہے","proceed","continue"
"جاسوس","ایجنٹ","اییرٹ","جاٹیس","agent","detective"
"جامع درس گاہ","کالج","کاپہ","جامعکپرس گاہ","college","university"
"جان بوجھ کر","حادثے سے","حادثمدسے","جان جھجھ کر","accidentally","intentionally"
"جانتا تھا","تسلیم","رولیم","جانتٹوتھا","recognize","knew"
"جاننا","ابھی","ابنس","جاوگا","now","know"
"جانور","جانور","جامنر","جالیر","beast","animal"
"جج","عدالت","غلالت","ﺌﮯ","court","judge"
"جذباتی","دماغی","دمیڑی","مصباتی","mental","emotional"
"جذبہ","حوصلہ افزائی","حوصلتغافزائی","گجبہ","enthusiasm","passion"
"جرم","گناہ","حااہ","نڈم","sin","crime"
"جسمانی","جنسی","خاسی","نغمانی","sexual","physical"
"جگر","گردہ","گرای","درر","kidney","liver"
"جلال","شاندار","شاہنار","آئال","glorious","glory"
"جلدی","آہستہ آہستہ","ترستہ آہستہ","آئدی","slowly","quickly"
"جمع","جمع","افع","افع","collect","gather"
"جملہ","ڈکشنری","ڈکھوری","ہرلہ","dictionary","phrase"
"جملہ","لفظ","اضظ","ہرلہ","word","sentence"
"جمہوریت","آزادی","koادی","جمامریت","freedom","democracy"
"جنازہ","تابوت","بمبوت","درازہ","coffin","funeral"
"جنس","منگ","واگ","کھس","ming","ling"
"جنگ","جنگ","خاگ","خاگ","war","battle"
"جنگجو","فوجی","نگجی","جنشنو","soldier","warrior"
"جنگل","جنگل","جنطی","جنرج","jungle","forest"
"جنگلی میدان","ایرینا","ایرییہ","جنگلرشمیدان","arena","battlefield"
"جھیل","دریا","ائیا","نڈیل","river","lake"
"جہاز","کرو","رلو","جہوہ","crew","ship"
"جہنم","جنت","ئلت","جہیی","paradise","hell"
"جواب","جواب","مساب","الاب","answer","reply"
"جوتا","بوٹ","کسٹ","جونق","boot","shoe"
"جوڑتوڑ","اختیار","کےتیار","جوڑتch","control","manipulate"
"جولائی","جون","ڈرن","پالائی","june","july"
"جولیٹ","رومیو","روگرو","ٹیلیٹ","romeo","juliet"
"جونیئر","سینئر","سیمگر","جونیلو","senior","junior"
"جی ہاں","ٹھیک ہے","ٹھیکطفے","جیعراں","okay","yeah"
"جیت","حاصل کرنا","حاصلجبرنا","متت","gain","win"
"جیکٹ","شرٹ","وبٹ","جیلو","shirt","jacket"
"جیل","سیل","نڈل","ورل","cell","prison"
"جیول","ڈائمنڈ","ڈائمشہ","تھول","diamond","jewel"
"چاٹ","چوسنا","چوتلا","رگٹ","suck","lick"
"چار","دو","ri","وور","two","four"
"چارہ","ٹریپ","ٹرال","چائن","trap","bait"
"چاقو","تلوار","ویوار","چاچس","sword","knife"
"چاکلیٹ","شکر","سےر","چاکلہو","sugar","chocolate"
"چبانا","نگل","تسل","عرانا","swallow","chew"
"چٹنی","کریم","کرme","tyنی","cream","sauce"
"چرواہا","روڈو","روکہ","چرواين","rodeo","cowboy"
"چلنا","رن","مب","چلیہ","run","walk"
"چلو","اجازت","اجپنت","قدو","allow","let"
"چھپائیں","کور","ہتر","چھیڑئیں","cover","hide"
"چھپکلی","مینڈک","میرتک","چھغالی","frog","lizard"
"چھٹیوں","کرسمس","کرہگس","ہاٹیوں","christmas","holiday"
"چھلانگ","چڑھنے","ايھنے","پہلانگ","climb","jump"
"چھوٹے","لٹل","ٹرل","چھھیے","little","small"
"چھوڑ دو","چھوڑ دو","چھوڑاخو","چھوڑئٹو","leave","abandon"
"چوتھائی","تیسرے","تیننے","چونتائی","third","fourth"
"چوٹ","زخم","یهم","مپٹ","wound","injury"
"چوہا","ماؤس","ماون","چوائ","mouse","rat"
"چیپل","چرچ","ونچ","چیرش","church","chapel"
"چیس","پیروی","پیوجی","امس","follow","chase"
"چیلنج","رکاوٹ","مناوٹ","بولنج","obstacle","challenge"
"چیمپئن شپ","مقابلہ","مقابار","چیویئن شپ","competition","championship"
"حادثہ","واقعہ","واوسہ","حانيہ","incident","accident"
"حال ہی میں","بس","زل","حاراہی میں","just","recently"
"حالت","وفاقی","آواقی","حاgy","federal","state"
"حاملہ","پیدائش","پیداگس","حاختہ","birth","pregnancy"
"حدیث","قسم کھانا","بيم کھانا","حدكم","swear","oath"
"حساب","شمار","تبار","تشاب","count","calculate"
"حساس","نازک","ناپڑ","وداس","delicate","sensitive"
"حفاظت","سیکورٹی","سیکوشیی","جذاظت","security","safety"
"حقیقت پسندانہ","امید مند","امیدتاند","ہزیقت پسندانہ","optimistic","realistic"
"حقیقی","سچ","ئۃ","حقدنی","TRUE","real"
"حکمت عملی","منصوبہ","منصوکر","atمت عملی","plan","strategy"
"حکومت","انتظامیہ","انتظامنا","koومت","administration","government"
"حملہ","حملے","یکلے","بکلہ","invasion","attack"
"حملہ آور","مظلوم","غالوم","حملہگوور","victim","attacker"
"حوصلہ افزائی","حوصلہ افزائی","حوصلتغافزائی","حوصلاہافزائی","inspire","inspiration"
"حیاتیات","کیمسٹری","دامسٹری","نساتیات","chemistry","biology"
"حیاتیاتی","کیمیائی","کیلگائی","بتاتیاتی","chemical","biological"
"حیرت انگیز","متاثر کن","متیار کن","حیرتوؤنگیز","impressive","amazing"
"خادم","غلمہ","ايمہ","خانر","slave","servant"
"خاموش","خاموش","خازنش","خانےش","silent","silence"
"خاندان","کلان","کلوم","خاجھان","clan","family"
"خانقاہ","مندر","منہی","خالیاہ","temple","monastery"
"خبریں","چینل","چیوں","نسریں","channel","news"
"ختم","آخر","رتر","نٹم","end","finish"
"خرچ","فضلہ","رگلہ","enچ","waste","spend"
"خرگوش","لومڑی","لوعزی","ٹاگوش","fox","rabbit"
"خریدار","بیچنے والے","بیچنے وائس","خرعمار","seller","buyer"
"خزاں","موسم بہار","موسمہوہار","یشاں","spring","autumn"
"خط","ٹیلیگرام","ٹیداگرام","ﻮﯼ","telegram","letter"
"خطرناک","خطرناک","ڈبرناک","خطبےاک","risky","dangerous"
"خطرہ","خطرہ","ہدرہ","ٹکرہ","risk","danger"
"خواب","ڈراؤنا خواب","ڈریننا خواب","مہاب","nightmare","dream"
"خواہش","خواہش","خوپيش","خوینش","desire","wish"
"خوبصورت","خوبصورت","خوبصاوت","خوبصابت","pretty","beautiful"
"خوبصورت","فیشن","فیوژ","خوبصابت","fashionable","elegant"
"خوبصورتی","توجہ","توسی","خوابورتی","charm","beauty"
"خود غرض","ضد","خى","خومصغرض","stubborn","selfish"
"خوردبین","دوربین","دوسرین","خوردخان","telescope","microscope"
"خوش","مطمئن","مطثان","راش","satisfied","happy"
"خوشبو","لپسٹک","لپٹتک","خویحو","lipstick","perfume"
"خوشگوار","آرام دہ اور پرسکون","آرامدرہ اور پرسکون","خولاوار","comfortable","pleasant"
"خوشگوار","برم","ظيم","خولاوار","illusion","hallucination"
"خوشی","خوشی","جمشی","درشی","pleasure","joy"
"خوف","ہارر","خورر","تكف","horror","fear"
"خوف","ڈراونا","ڈرجمنا","تكف","scare","frighten"
"خوفناک","خوفناک","خوفنچی","خوبتاک","terrible","horrible"
"داخلہ","باہر نکلیں","باہر نیہیں","داجدہ","exit","entrance"
"دادی","دادا","اجدا","دالح","grandfather","grandmother"
"داڑھی","ہیئر","ہیجی","دانبی","hair","beard"
"دانت","کیل","لول","داين","nail","tooth"
"دباؤ","پلس","وسس","دبیا","pulse","pressure"
"درجہ حرارت","گرمی","گروا","درجہوجرارت","heat","temperature"
"درخت","بش","iz","دراص","bush","tree"
"درخواست","مطالبہ","مطالنف","درخودات","demand","request"
"درد","مصیبت","مصثات","اعد","suffering","pain"
"درست","غلط","یوط","درلر","wrong","correct"
"دروازے","ونڈو","وناح","دروارز","window","door"
"دستاویز","فائل","فارگ","دسنیویز","file","document"
"دستخط","سٹیمپ","ادیمپ","مزتخط","stamp","signature"
"دسمبر","نومبر","دامبر","دستگر","november","december"
"دفاع","حفاظت","حفجوت","فکاع","protect","defend"
"دفتر","ڈیسک","ڈیپل","مشتر","desk","office"
"دفن","کھدائی","ولدائی","رقن","dig","bury"
"دلچسپ","دلچسپ","دلتاپ","دلپوپ","exciting","interesting"
"دلکش","پر کشش","پرھتشش","دلفع","attractive","charming"
"دلکش","غلط","یوط","دلفع","miserable","pathetic"
"دلہن","دلہن","دلاے","ڈھہن","groom","bride"
"دماغی","دماغ","دمصل","دمڑوی","brain","cerebral"
"دنیا","بین اقوامی","بیڈلاقوامی","leیا","international","world"
