ur_cue,ur_target,type,cue_type,target_type,ur_cosine
ٹنکی,انجن,related,word,word,0.276730411570509
تال,انداز,related,word,word,0.218238711431986
باہر,اندر,related,word,word,0.519921306633583
سایہ,اندھیرا,related,word,word,0.347799671560307
گھوںسلا,انڈہ,related,word,word,
آدمی,انسان,related,word,word,0.480881461296614
انتقام,انصاف,related,word,word,0.27329800714458
اضافی انعام,انعام,related,word,word,
نوبل,انعام,related,word,word,0.368199795296316
ذریعہ,مخبر,related,word,word,0.209742116070318
شخص,فرد,related,word,word,0.419307375119494
جبلت,وجدان,related,word,word,0.323622698634626
وائرس,انفیکشن,related,word,word,0.491128440797853
انگلی,انگوٹھا,related,word,word,0.608638349066563
قابل قدر,اہم,related,word,word,
مطلب,اہمیت,related,word,word,0.139457283898099
نچلا,اوپری,related,word,word,0.454813438834197
الہام,کشف,related,word,word,0.399124851012702
وزن,اونچائی,related,word,word,0.333789443048244
جوہری,ایٹمی,related,word,word,0.504354637229187
فرم,ایجنسی,related,word,word,0.272679980238883
نمبر,ایڈریس,related,word,word,0.281929606265824
ہارمون,ایڈرینالن,related,word,word,
گلہری,ریکون,related,word,word,0.47981539138001
اشارہ,عمل,related,word,word,0.184687952954165
بیان,اظہار,related,word,word,0.385544262317648
امید,ایمان,related,word,word,0.263881299786929
مہذب,ایماندار,related,word,word,0.28434327831194
وفاداری,ایمانداری,related,word,word,0.497139132483139
فوری طور پر,ایمرجنسی,related,word,word,
مکھی,چیونٹی,related,word,word,0.339228391531369
گیس,ایندھن,related,word,word,0.367008393068415
اچھا,برا,related,word,word,0.439182186982076
دایاں,بایاں,related,word,word,0.803751637059668
ماں,باپ,related,word,word,0.602578025678736
شاور,باتھ روم,related,word,word,
ملکہ,بادشاہ,related,word,word,0.487327424536853
کلب,بار,related,word,word,0.154204941249939
گن پا ؤڈ ر,ڑائنامائیٹ,related,word,word,
ہاتھ,بازو,related,word,word,0.286909279775445
بارود خانہ,اسلحہ خانہ,related,word,word,
دیوار,باڑ,related,word,word,0.341178936597549
مینیجر,باس,related,word,word,0.164899172999734
یادگار,بت,related,word,word,0.0833819350970151
کہہ دو,بتانا,related,word,word,
سرین,چوتڑ,related,word,word,0.41315359106773
ریجیمیںٹ,بٹالین,related,word,word,
کرنٹ,بجلی,related,word,word,0.417347961918253
مقناطیسی,برقی,related,word,word,0.435654123248121
جوانی,بچپن,related,word,word,0.43069284291202
چھڑانا,بچانا,related,word,word,0.473104143642772
شیرخوار,بچہ,related,word,word,0.351877829168915
سروس,بحالی,related,word,word,0.173838548962175
گفتگو,بحث,related,word,word,0.483954013819549
حالات,بحران,related,word,word,0.254028449443506
سمندری,بحریہ,related,word,word,0.344765167453768
کھانسی,بخار,related,word,word,0.408808471769278
ناگوار,بدصورت,related,word,word,0.286903498303763
بد نصیبی,بدقسمتی,related,word,word,
پناہ گزین,بگھوڑا,related,word,word,
سماج,گروہ,related,word,word,0.22906496666823
سیدھا,براہ راست,related,word,word,
شاھانہ,بادشاھی,related,word,word,
استعفی,برطرفی,related,word,word,0.430673129013072
الٹ,برعکس,related,word,word,0.192155445128017
بارش,برف,related,word,word,0.409750245336087
حفاظت,برقرار رکھنا,related,word,word,
دوست,برادر,related,word,word,0.316057640982431
صنعت,بزنس,related,word,word,0.236429017527918
رگڑ,خراش,related,word,word,0.384792983788755
ٹرین,بس,related,word,word,0.348808468831399
صوفہ,بستر,related,word,word,0.239287943186332
ہنس,بطخ,related,word,word,0.314482580803054
سفید,بلیک,related,word,word,0.177134715115086
رشوت,بلیک میل,related,word,word,
براؤن,بلیو,related,word,word,0.369603779498019
مقفل,بند,related,word,word,0.345484640665437
کھلا,بند,related,word,word,0.299799717377485
خلیج,بندرگاہ,related,word,word,0.388561058193311
کھولنا,بندش,related,word,word,0.206682890778375
بہن,بھائی,related,word,word,0.56105053332638
بڑا,بہت بڑا,related,word,word,
وزنی,بھاری,related,word,word,0.350965337873742
پوتا,بھتیجا,related,word,word,0.40723612961637
تھکا ہوا,بھوکا,related,word,word,
لانا,بھیجنا,related,word,word,0.326683714173798
ریچھ,بھیڑیا,related,word,word,0.56159597007054
شریف,بہادر,related,word,word,0.184677352856058
انتہائی,بہت,related,word,word,0.475134647727619
فخر,بہت پرجوش,related,word,word,
تبدیلی,بہتری,related,word,word,0.388952777609599
اندھا,بہرا,related,word,word,0.364911552264032
ذائقہ,بو,related,word,word,0.330523077652348
گلاس,بوتل,related,word,word,0.338181973752168
واشنگٹن,بوسٹن,related,word,word,0.362681085476385
بات کرنا,بولنا,related,word,word,
شراب نوشی,بیئر,related,word,word,
تبصرہ,بیان,related,word,word,0.371582999098099
سپرمین,بیٹ مین,related,word,word,
بیٹی,بیٹا,related,word,word,0.514144473611925
کھڑا ھونا,بیٹھنا,related,word,word,
کمرہ,بیڈروم,related,word,word,
اندرونی,بیرونی,related,word,word,0.629531451256753
بحریہ,بیڑے,related,word,word,0.502486286307877
اسٹیڈیم,بیس بال,related,word,word,
بیکار,دو کوڑی کا,related,word,word,
جام نوش کرنا,سؤر کا گوشت,related,word,word,
ڈبہ,تھیلا,related,word,word,0.328171069487639
علیل,بیمار,related,word,word,0.371245625790708
فلو,بیماری,related,word,word,0.258170092231369
آرکسٹرا,بینڈ,related,word,word,0.429078636885799
سادہ لوح,بیوقوف,related,word,word,
نادان,احمق,related,word,word,0.300732956262381
پاگل پن,بیوقوفی,related,word,word,
شوہر,بیوی,related,word,word,0.569097108622921
رحمدل,فراخ دل,related,word,word,
خلاباز,پائلٹ,related,word,word,0.335070911739576
راھب,پادری,related,word,word,
استقبال,پارٹی,related,word,word,0.0866660372241975
کوڈ,پاس ورڈ,related,word,word,
ٹکٹ,پاسپورٹ,related,word,word,0.283901108883381
خوف میں مبتلا,پاگل,related,word,word,
چٹان,پتھر,related,word,word,0.467996751761582
اعصاب,پٹھا,related,word,word,0.35843376892145
سیکنڈری,پرائمری,related,word,word,0.505793618825709
نجی,پرائیویسی,related,word,word,0.416928724707171
خاموش,پرسکون,related,word,word,0.306265872103474
تجربہ,پرکھ,related,word,word,0.18711802702738
تتلی,پرندہ,related,word,word,0.34735273049032
شہزادی,شہزادہ,related,word,word,0.682216608878556
زمین,اڑنا,related,word,word,0.345374674438785
لینڈنگ,پرواز,related,word,word,0.319905741959239
اصول,پروٹوکول,related,word,word,0.253690059170073
ڈین,پروفیسر,related,word,word,0.339982161712656
شوقین,پروفیشنل,related,word,word,0.249475959005441
منصوبے,پروگرام,related,word,word,0.281525688722615
بٹن,پریس,related,word,word,0.139228178522773
مداخلت,پریشان,related,word,word,0.179471279722184
مالکن,پریمی,related,word,word,0.29730280678343
جھپٹنا,پکڑنا,related,word,word,
سیمنٹ,پلاسٹک,related,word,word,0.354500220072631
کوچ,پلیئر,related,word,word,0.173268493919963
پیالہ,پلیٹ,related,word,word,0.223910061203079
پناہ گاہ,پناہ لینا,related,word,word,
روٹی,پنیر,related,word,word,0.388453537842435
سیب,پھل,related,word,word,0.430914035422442
پودا,پھول,related,word,word,0.47027959107791
سوال کرنا,پوچھنا,related,word,word,
حالت,پوزیشن,related,word,word,0.265655210111581
جوا,پوکر,related,word,word,0.205511209989941
خوش طبع,دلکش,related,word,word,
اچھا,پیارا,related,word,word,0.323457373099515
لہسن,پیاز,related,word,word,0.644774743749911
بھوک,پیاس,related,word,word,0.346065039752415
ریڑھ,پیٹ,related,word,word,0.341556259103086
بنانا,پیداوار,related,word,word,0.164809535870824
فیکٹری,پیداوار,related,word,word,0.331720416257128
سیکشن,پیراگراف,related,word,word,0.197781726711891
نقدی,رقم,related,word,word,0.398677383992717
خون,پیشاب,related,word,word,0.434740332523502
انتباہ,پیغام,related,word,word,0.410899221158285
لفافے,پیکیج,related,word,word,0.352531328638741
سرخ,پیلا,related,word,word,0.453421139481695
آرٹسٹ,پینٹر,related,word,word,0.384433212898357
آلودگی,تابکاری,related,word,word,0.297819663004488
کیبل,تار,related,word,word,0.30464940626758
تازه,تازگی بخشنا,related,word,word,
اغوا,تاوان,related,word,word,0.389123821229575
تخلیق,تباہی,related,word,word,0.0581825866095249
پوسٹ مارٹم,تجزیہ,related,word,word,
تجویزدینا,مشورہ دینا,related,word,word,
تعریف,تحفہ,related,word,word,0.108618028788124
کیپسول,جراحی قینچی,related,word,word,
جانچ پڑتال,تفشیش کرنا,related,word,word,
تجزیہ کار,تفتیش کرنے والا,related,word,word,
تاج,تخت,related,word,word,0.441735401883787
تخیل,تخلیقی صلاحیت,related,word,word,
کمانڈ,آرڈر,related,word,word,0.233312889973043
پیش قدمی,ترقی,related,word,word,
سوپ,سلاد,related,word,word,0.375612715352784
چکن,ٹرکی، فیل مرغ,related,word,word,
مشاہدہ,تشخیص,related,word,word,0.224184823830144
عذاب,تشدد,related,word,word,0.272891865946057
چیک کرنا,تصدیق,related,word,word,
کنفرم کرنا,کنفرم,related,word,word,
حقیقت,تخیل,related,word,word,0.432344211196272
حیرت انگیز,بہترین,related,word,word,
تصویر,فوٹو,related,word,word,0.298480248851749
تصور,تعریف,related,word,word,0.244757974223863
صحت,تعلیم,related,word,word,0.3680019156577
ہیجان شہوت,عضو کی ایستادگی,related,word,word,
تعمیر کرنا,بنانا,related,word,word,
جمع,تفریق,related,word,word,0.29414144767001
پروفائل,تفصیل,related,word,word,0.300359141860905
رسم,تقریب,related,word,word,0.3268848426836
مظہرقدرت,تقریب,related,word,word,
جہالت,تکبر,related,word,word,0.296990495207786
آواز,تلفظ,related,word,word,0.337685267000844
ٹرافی,تمغہ,related,word,word,0.320588630455249
تنازعہ,جھگڑا,related,word,word,0.274554053837071
پینشن,تنخواہ,related,word,word,0.484223731557721
سنیما,تھیٹر,related,word,word,0.38996124193286
ثقافت,تہذیب,related,word,word,0.602612050104174
طاقت,توانائی,related,word,word,0.329361853681432
رسالہ,توپ خانے,related,word,word,
نقطہ ارتکاز,توجہ مرکوز کرنا,related,word,word,
انتظار,توقع,related,word,word,0.153819921920773
کمبل,تولیہ,related,word,word,0.17221406866175
مستعد,تیار,related,word,word,0.277115565315838
ڈوبنا,تیرنا,related,word,word,
سست,تیز,related,word,word,0.40187573164715
کوئلہ,تیل,related,word,word,0.500191627821995
ایک,تین,related,word,word,0.302461940225486
شہادت,ثبوت,related,word,word,0.276652591547097
ڈیٹونیٹر,ٹائمر,related,word,word,
باندھنا,رسی وغیرہ سے باندھنا,related,word,word,
سینسر,ٹرانسمیٹر,related,word,word,0.36520636736831
دگنا,تین گنا,related,word,word,
جیپ,ٹرک,related,word,word,0.413841940630057
جلد,ٹشو,related,word,word,0.272605801502572
حصہ,ٹکڑا,related,word,word,0.31338930953135
آلو,ٹماٹر,related,word,word,0.496534731920096
قیلولہ کرنا,چہل قدمی کرنا,related,word,word,
ہیلمٹ,ٹوپی,related,word,word,0.387319946121764
طریقہ,تکنیک,related,word,word,0.275880882363141
استعداد,قابلیت,related,word,word,0.480437855289957
کال,ٹیلی فون,related,word,word,
ریڈیو,ٹیلی ویژن,related,word,word,
لیگ,ٹیم,related,word,word,0.44664029884519
گالف,ٹینس,related,word,word,0.465507050754025
داخل ہونا,جانا,related,word,word,
جادو,جادوگر,related,word,word,0.67792680733728
آگے بڑھنا,جاری رکھنا,related,word,word,
ایجنٹ,جاسوس,related,word,word,0.432767737532602
کالج,یونیورسٹی,related,word,word,0.551310042927508
حادثاتی طورپر,جان بوجھ کر,related,word,word,
تسلیم کرنا,جانتا تھا,related,word,word,
ابھی,جاننا,related,word,word,0.199768916082339
درندہ,جانور,related,word,word,0.328035583958611
عدالت,جج,related,word,word,0.550207394613525
دماغی,جذباتی,related,word,word,0.363798597838564
ولولہ,جذبہ,related,word,word,0.460233817062354
گناہ,جرم,related,word,word,0.46458612733207
جنسی,جسمانی,related,word,word,0.420693300782404
گردہ,جگر,related,word,word,0.383474964915662
عظیم الشان,شان وشوکت,related,word,word,
آہستہ آہستہ,جلدی جلدی,related,word,word,
جمع کرنا,اکھثا کرنا,related,word,word,
ڈکشنری,جملہ,related,word,word,0.148893460410686
لفظ,فقرہ,related,word,word,0.27902751353326
آزادی,جمہوریت,related,word,word,0.370372603026418
تابوت,جنازہ,related,word,word,0.29993330909552
ایک قسم کا درخت,ایک قسم کی جھاڑی,related,word,word,
جنگ,لڑائی,related,word,word,0.540303828839325
فوجی,جنگجو,related,word,word,0.303116942442324
فارسٹ,جنگل,related,word,word,0.26052657123227
اکھاڑہ,جنگ کا میدان,related,word,word,
دریا,جھیل,related,word,word,0.384757695142779
ملاح,جہاز,related,word,word,0.377625116077074
جنت,جہنم,related,word,word,0.59865806762788
جواب دینا,جواب,related,word,word,
بوٹ,جوتا,related,word,word,0.273393820246183
قابو کرنا,سازباز,related,word,word,
جون,جولائی,related,word,word,0.555913805110235
رومیو,جولیٹ,related,word,word,0.505178759967401
سینئر,جونیئر,related,word,word,0.417096498668968
ٹھیک ہے,جی ہاں,related,word,word,
حاصل کرنا,جیت,related,word,word,
شرٹ,جیکٹ,related,word,word,0.240888832883205
کوٹھری,جیل,related,word,word,0.451575638085711
ڈائمنڈ,گوھر,related,word,word,0.153899075068096
چوسنا,چاٹنا,related,word,word,
دو,چار,related,word,word,0.634923204292541
پھندہ,چارہ,related,word,word,
تلوار,چاقو,related,word,word,0.375849818047745
چینی,چاکلیٹ,related,word,word,0.223963209063545
نگلنا,چبانا,related,word,word,
کریم,چٹنی,related,word,word,0.170969721986846
میلہ مویشیاں,گوالا,related,word,word,
دوڑنا,چلنا,related,word,word,0.41759446510416
اجازت دینا,مزاحم نہ ہونا,related,word,word,
کور کرنا,چھپانا,related,word,word,
مینڈک,چھپکلی,related,word,word,0.450898324412572
کرسمس,چھٹی,related,word,word,0.337085382700205
چڑھنا,چھلانگ,related,word,word,0.380270555745041
ننھا,چھوٹا,related,word,word,0.199603629925872
چھوڑ دینا,ترک کرنا,related,word,word,
تیسرا,چوتھا,related,word,word,0.669591874286601
زخم,چوٹ,related,word,word,0.402429607670302
ماؤس,چوہا,related,word,word,0.199712095983247
چرچ,گرجا,related,word,word,0.423042005730921
پیروی کرنا,پیچھا کرنا,related,word,word,
رکاوٹ,چیلنج,related,word,word,0.215373230320621
مقابلہ,چیمپئن شپ,related,word,word,
واقعہ,حادثہ,related,word,word,0.344894277722951
ابھی ابھی,حال ہی میں,related,word,word,
وفاقی,ریاست,related,word,word,0.353763291753289
پیدائش,حمل,related,word,word,0.300695057927458
قسم کھانا,حلف,related,word,word,
شمار,حساب,related,word,word,0.27719806264059
نازک,حساس,related,word,word,0.350270687390094
سیکورٹی,حفاظت,related,word,word,0.331522581202411
رجائیت پسند,حقیقت پسندانہ,related,word,word,
سچ,حقیقی,related,word,word,0.254267699370538
منصوبہ,حکمت عملی,related,word,word,
انتظامیہ,حکومت,related,word,word,0.43055325388686
چڑھائی,حملہ,related,word,word,0.425309413990294
مظلوم,حملہ آور,related,word,word,
تحریک دینا,الہام,related,word,word,
کیمسٹری,حیاتیات,related,word,word,0.351312366715647
کیمیائی,حیاتیاتی,related,word,word,0.492542503226026
متاثر کن,حیرت انگیز,related,word,word,
غلام,خادم,related,word,word,0.414086987583374
خاموش,خاموشی,related,word,word,0.663117109957662
قبیلہ,خاندان,related,word,word,0.400297738907776
مندر,خانقاہ,related,word,word,0.31028116409258
چینل,خبریں,related,word,word,0.258376632537005
آخر,ختم,related,word,word,0.20173101388219
ضائع,خرچ,related,word,word,0.325823425835543
لومڑی,خرگوش,related,word,word,0.544834895013611
بیچنے والے,خریدار,related,word,word,
بہار,خزاں,related,word,word,0.475876154274526
ٹیلیگرام,خط,related,word,word,0.251336563721079
پرخطر,خطرناک,related,word,word,0.433572319175038
خدشہ,خطرہ,related,word,word,0.43831558982007
ڈراؤنا خواب,خواب,related,word,word,
آرزو,خواہش,related,word,word,0.353509407927144
پیارا,خوبصورت,related,word,word,0.353995016855752
فیشن پرست,نفیس,related,word,word,
دلکشی,خوبصورتی,related,word,word,0.588134340737643
ضدی,خود غرض,related,word,word,
دوربین,خوردبین,related,word,word,0.483569985111181
مطمئن,خوش,related,word,word,0.408551277883616
سرخی,خوشبو,related,word,word,0.256327028997752
آرام دہ,خوشگوار,related,word,word,
سراب,واہمہ,related,word,word,0.326232579643456
مسرت,خوشی,related,word,word,0.526222633003984
دہشت,خوف,related,word,word,0.453955812559382
ڈرانا,خوفزدہ کرنا,related,word,word,
ہولناک,خوفناک,related,word,word,0.488288027066283
خروج,داخلہ,related,word,word,0.0758626620122535
دادا,دادی,related,word,word,0.496999925170025
بال,داڑھی,related,word,word,0.458827307576915
ناخن,دانت,related,word,word,0.405700441320095
ارتعاش,دباؤ,related,word,word,0.33529104299895
گرمی,درجہ حرارت,related,word,word,
جھاڑی,درخت,related,word,word,0.496714904226217
مطالبہ,درخواست,related,word,word,0.242248244493659
مصیبت,درد,related,word,word,0.273230186916011
غلط,صحیح,related,word,word,0.496634835440065
کھڑکی,دروازہ,related,word,word,0.390822888362131
فائل,دستاویز,related,word,word,0.305377363863814
مہر,دستخط,related,word,word,0.258702210433828
نومبر,دسمبر,related,word,word,0.650025412729786
حفاظت,دفاع,related,word,word,0.386027700702307
ڈیسک,دفتر,related,word,word,0.181166979706422
کھدائی,دفن,related,word,word,0.259325513355787
سنسنی خیز,دلچسپ,related,word,word,
پر کشش,دلکش,related,word,word,
خستہ حال,دل سوز,related,word,word,
دلہا,دلہن,related,word,word,0.709506537464529
دماغ,ذھنی,related,word,word,
بین اقوامی,دنیا,related,word,word,
لوہا,دھات,related,word,word,0.464301256801116
زلزلہ,دھماکہ,related,word,word,0.332694650396678
بم,دھماکہ خیز مواد,related,word,word,
پھٹ,دھماکے,related,word,word,0.445930478951339
بادل,دھند,related,word,word,0.372939783327464
سازش,دھوکہ,related,word,word,0.274131974452912
راکھ,دھول,related,word,word,0.3607954260122
زنگ آلود,گرد آلود,related,word,word,
صدی,دہائی,related,word,word,0.332219542396592
شراب,نشہ,related,word,word,0.522456929932853
آدھی رات,دوپہر,related,word,word,
ہلکا پھلکا کھانا,دوپہر کا کھانا,related,word,word,
قریب,دور,related,word,word,0.262884109907082
ختم کرنا,ہٹانا,related,word,word,
میراتھن,دوڑ,related,word,word,0.391022981153675
ساتھی,دوست,related,word,word,0.316428911813983
شائستہ,دوستانہ,related,word,word,0.26379142938632
تعلق,دوستی,related,word,word,0.25219997658546
خزانہ,دولت,related,word,word,0.372562282005665
دیکھنا,نگرانی کرنا,related,word,word,
پیش کرنا,دینا,related,word,word,
مادہ,ذرہ,related,word,word,0.357456010062364
سڑیس,ڈیپریشن,related,word,word,
گرم,ابلنا,related,word,word,
پروڈیوسر,ڈائریکٹر,related,word,word,0.594683643575757
لعنت,ڈائن,related,word,word,0.152176939225223
سرجن,ڈاکٹر,related,word,word,0.409362125748355
پاؤنڈ,ڈالر,related,word,word,0.397935991786305
غروب آفتاب,صبح,related,word,word,
تصویربنانا,کھینچنا,related,word,word,
مسافر,ڈرائیور,related,word,word,0.34681172520342
خوف پیدا کرنے والا,سنسنی پیدا کرنے والا,related,word,word,
چوری,ڈکیتی,related,word,word,0.413957421710267
سیٹی کی آواز نکالنا,گھنٹی بجانا,related,word,word,
اکائی,تقسیم,related,word,word,0.271553853532665
کمرہ,عرشہ,related,word,word,
راسته,پگڈنڈی,related,word,word,
بخشش,رحم,related,word,word,0.251445690845871
ردی,کوڑا کرکٹ,related,word,word,
دودھ,رس,related,word,word,0.324082393912561
زنجیر,رسی,related,word,word,0.362870564281176
رضاکار,رضاکارانہ,related,word,word,0.749679053352932
فاصلہ,رفتار,related,word,word,0.278393681139098
رقاصہ,رقص,related,word,word,0.431955385754486
میزان,رقم,related,word,word,0.204098937510702
داخل کرنا,رکھنا,related,word,word,
قیام کرنا,رہنا,related,word,word,
رکن,رہنما,related,word,word,0.2981828721007
پکڑنا,رکھنا,related,word,word,0.381836346784158
آمد,روانگی,related,word,word,0.289788514071979
جدید,روایتی,related,word,word,0.332856539259646
چوری کرنا,لوٹنا,related,word,word,
آتما,روح,related,word,word,0.340964936081276
چمکدار,روشن,related,word,word,0.349931214805607
اندھیرا,روشنی,related,word,word,0.46391834649906
سیزر,روم,related,word,word,0.389913763293089
کپڑا,رومال,related,word,word,0.407421714918891
ڈرامائی,رومانوی,related,word,word,0.367782738873447
رائے,رویہ,related,word,word,0.215599903067708
اگلا,پچھلا,related,word,word,0.452557003073277
طبیعیات,ریاضی,related,word,word,0.500204890705191
مٹی,ریت,related,word,word,0.427399320858577
پب,ریستوراں,related,word,word,0.351182662107728
ریکارڈ,ریکارڈنگ,related,word,word,0.635174985752539
جنریٹر,ری ایکٹر,related,word,word,
بہترین,زبردست,related,word,word,0.229946819565751
زندہ رہنا,بچ جانا,related,word,word,
مریخ,زھرہ,related,word,word,0.194953569638218
رقبہ,علاقہ,related,word,word,0.264054732005841
کم سے کم,زیادہ سے زیادہ,related,word,word,
ٹیکنالوجی,سائنس,related,word,word,0.569091493478498
عقلمند,سائنسدان,related,word,word,0.154370622479007
ہمراہ ہونا,ساتھ ہونا,related,word,word,
ساحل,کنارہ,related,word,word,0.274087881528811
مخروطی,ساخت,related,word,word,0.358728134869781
سادگی سے,سادہ,related,word,word,
سالانہ تقریب,سالگرہ,related,word,word,
ننجا,سیمورائے,related,word,word,
مجمع,سامعین,related,word,word,0.314895932069097
کیڑا,سانپ,related,word,word,0.338068370581618
جاسوسی,تخریب کاری,related,word,word,
لازانیہ,سپیگیٹی,related,word,word,
شوٹر,سنائپر,related,word,word,
مشہور شخصیت,باکمال آدمی,related,word,word,
بازرکھنا,روکنا,related,word,word,
سڑک,گلی,related,word,word,0.297040940267366
اوون,چولہا,related,word,word,
دوکان,سٹور,related,word,word,0.327984423680633
پلیٹ فارم,سٹیشن,related,word,word,
کنکریٹ,سٹیل,related,word,word,0.363792405248607
مضبوط,سخت,related,word,word,0.224940622764587
آپریشن,سرجری,related,word,word,0.349274868423606
گرم,ٹھنڈا,related,word,word,0.494059066882594
سرکاری طور پر,سرکاری,related,word,word,
چڑیا گھر,سرکس,related,word,word,
چست,چستی سے,related,word,word,
سیاسی افراتفری,سرمایہ داری,related,word,word,
مالی معاملات,سرمایہ لگانا,related,word,word,
بینکر,سرمایہ کار,related,word,word,
سوئی,سرنج,related,word,word,0.303373972466987
پل,سرنگ,related,word,word,0.294941738499871
مہنگا,سستا,related,word,word,0.529945830316713
پرت,سطح,related,word,word,0.324212539385209
گودنےکا نشان,زخم کا نشان,related,word,word,
سیکھنا,سیکھانا,related,word,word,
سگریٹ نوشی,سگار,related,word,word,
تمباکو,سگریٹ,related,word,word,0.458705157216227
فریکوئنسی,سگنل,related,word,word,0.401216230614529
مبارک دینا,سلام کرنا,related,word,word,
پشت درپشت حکومت,سلطنت,related,word,word,
گولڈن,سلور,related,word,word,0.375198578331557
احساس کرنا,سمجھنا,related,word,word,
سمندر,ساگر,related,word,word,0.27027463852072
سنو,سننا,related,word,word,0.307788133136378
علامت مرض,مجموعی علامات مرض,related,word,word,
ٹوائلٹ,سنک,related,word,word,0.307652811163993
معصوم,منہ پھٹ,related,word,word,
نصف,چوتھائی,related,word,word,0.420905893649044
ہزار,سو,related,word,word,0.35270785525519
چلانا,سواری کرنا,related,word,word,
بریف کیس,سوٹ کیس,related,word,word,
غور کرنا,سوچنا,related,word,word,
لیموں پانی,سوڈا,related,word,word,
گائے,سور,related,word,word,0.33423418388373
دراڑ,سوراخ,related,word,word,0.353541230220392
چاند,سورج,related,word,word,0.52406476990539
صحافت,سیاست,related,word,word,0.418601309125082
پالیسی,سیاستدان,related,word,word,0.212052571738048
بحرانی,سیاسی,related,word,word,0.300263452366317
مائع,سیال,related,word,word,0.370323947948721
رڈار,سیٹلائٹ,related,word,word,
ہارن,سیٹی,related,word,word,0.21874305079068
لنگر,بادبان,related,word,word,0.254368289650952
میل,سینٹی میٹر,related,word,word,
پارلیمان,سینیٹ,related,word,word,0.45999386228055
گورنر,سینیٹر,related,word,word,0.35488962376682
معدہ,چھاتی,related,word,word,0.45862381492138
منگنی,شادی,related,word,word,0.518883337579264
طلاق,شادی,related,word,word,0.511513584904607
کنوارہ,شادی شدہ,related,word,word,
رات,شام,related,word,word,0.394440513349166
ہیجان خیز,شاندار,related,word,word,
شاید,غالبا,related,word,word,0.332844494408199
کبھی کبھار,شاذونادر,related,word,word,
کردار,شخصیت,related,word,word,0.309803650781475
