"ur_cue","ur_target","type","cue_type","target_type","ur_cosine"
"آدمی","انسانی","related","word","word",0.345148674882607
"انتقام","انصاف","related","word","word",0.27329800714458
"اضافی انعام","انعام","related","word","word",NA
"نوبل","انعام","related","word","word",0.368199795296316
"ذریعہ","انفارمیشن","related","word","word",0.224243902513339
"شخص","انفرادی","related","word","word",0.160035308320941
"جبلت","انفیکشن","related","word","word",0.186874983498275
"وائرس","انفیکشن","related","word","word",0.491128440797853
"انگلی","انگوٹھے","related","word","word",0.650503924003095
"قابل قدر","اہم","related","word","word",NA
"مطلب","اہمیت","related","word","word",0.139457283898099
"کم","اوپری","related","word","word",0.249973625035409
"مکاشفہ","اولین مقصد","related","word","word",NA
"وزن","اونچائی","related","word","word",0.333789443048244
"جوہری","ایٹمی","related","word","word",0.504354637229187
"فرم","ایجنسی","related","word","word",0.272679980238883
"نمبر","ایڈریس","related","word","word",0.281929606265824
"ہارمون","ایڈنالین","related","word","word",NA
"گلہری","ایک قسم کا جانور","related","word","word",NA
"اشارہ","ایکٹ","related","word","word",0.127306702531804
"بیان","ایکسپریس","related","word","word",0.10664536120139
"امید","ایمان","related","word","word",0.263881299786929
"مہذب","ایماندار","related","word","word",0.28434327831194
"وفاداری","ایمانداری","related","word","word",0.497139132483139
"فوری طور پر","ایمرجنسی","related","word","word",NA
"مکھی","اینٹی","related","word","word",0.121177533359226
"گیس","ایندھن","related","word","word",0.367008393068415
"اچھی","ب","related","word","word",0.1230585088244
"ٹھیک ہے","بائیں","related","word","word",NA
"ماں","باپ","related","word","word",0.602578025678736
"شاور","باتھ روم","related","word","word",NA
"ملکہ","بادشاہ","related","word","word",0.487327424536852
"کلب","بار","related","word","word",0.154204941249939
"گنپڈر","بارود","related","word","word",NA
"ہاتھ","بازو","related","word","word",0.286909279775445
"ارسنل","بازو","related","word","word",NA
"دیوار","باڑ","related","word","word",0.341178936597549
"مینیجر","باس","related","word","word",0.164899172999734
"یادگار","بت","related","word","word",0.0833819350970151
"کہہ دو","بتائیں","related","word","word",NA
"گدا","بٹ","related","word","word",0.183970342499804
"ریجیمیںٹ","بٹالین","related","word","word",NA
"موجودہ","بجلی","related","word","word",0.167958396476824
"مقناطیسی","بجلی","related","word","word",0.268427487118335
"نوجوانوں","بچپن","related","word","word",0.266633058251166
"بچاؤ","بچت","related","word","word",0.308227259391366
"بچه","بچہ","related","word","word",0.532783456727672
"سروس","بحالی","related","word","word",0.173838548962175
"گفتگو","بحث","related","word","word",0.483954013819549
"حالات","بحران","related","word","word",0.254028449443506
"میرین","بحریہ","related","word","word",0.298117517020134
"کھانسی","بخار","related","word","word",0.408808471769278
"ناگوار","بدصورت","related","word","word",0.286903498303763
"بدقسمتی","بدقسمتی","related","word","word",1
"پناہ گزین","بدقسمتی","related","word","word",NA
"سوسائٹی","برادری","related","word","word",0.276823789191937
"براہ راست","براہ راست","related","word","word",NA
"رائل","برطانیہ","related","word","word",0.300038870979163
"استعفی","برطرفی","related","word","word",0.430673129013072
"برعکس","برعکس","related","word","word",1
"بارش","برف","related","word","word",0.409750245336087
"حفاظت","برقرار رکھنا","related","word","word",NA
"دوست","برو","related","word","word",0.096608977104322
"صنعت","بزنس","related","word","word",0.236429017527918
"خرگوش","بزنس","related","word","word",0.12990955418035
"ٹرین","بس","related","word","word",0.348808468831399
"سوفا","بستر","related","word","word",NA
"ہنس","بطخ","related","word","word",0.314482580803054
"سفید","بلیک","related","word","word",0.177134715115086
"رشوت","بلیک میل","related","word","word",NA
"براؤن","بلیو","related","word","word",0.369603779498019
"بند","بند","related","word","word",1
"کھولیں","بند کریں","related","word","word",NA
"بے","بندرگاہ","related","word","word",0.132430011419552
"کھولنے","بندش","related","word","word",0.159242273196374
"بہن","بھائی","related","word","word",0.56105053332638
"بگ","بھاری","related","word","word",0.16363886497618
"بھاری","بھاری","related","word","word",1
"پوتے","بھتیجے","related","word","word",0.37835366926831
"تھکا ہوا","بھوک لگی","related","word","word",NA
"لانے","بھیجیں","related","word","word",0.228787389094113
"ریچھ","بھیڑیا","related","word","word",0.56159597007054
"نوبل","بہادر","related","word","word",0.152712390800834
"انتہائی","بہت","related","word","word",0.475134647727619
"فخر","بہت پرجوش","related","word","word",NA
"تبدیل","بہتری","related","word","word",0.288880986879832
"اندھے","بہرا","related","word","word",0.256020674639544
"ذائقہ","بو","related","word","word",0.330523077652348
"شیشے","بوتل","related","word","word",0.415280298820034
"واشنگٹن","بوسٹن","related","word","word",0.362681085476385
"بات چیت","بولا","related","word","word",NA
"پینے","بیئر","related","word","word",0.374761719663517
"تبصرہ","بیان","related","word","word",0.371582999098099
"سپرمین","بیٹ مین","related","word","word",NA
"بیٹی","بیٹا","related","word","word",0.514144473611925
"اسٹینڈ","بیٹھے","related","word","word",0.107176347929138
"کمرہ","بیڈروم","related","word","word",NA
"اندرونی","بیرونی","related","word","word",0.629531451256753
"بحریہ","بیڑے","related","word","word",0.502486286307877
"اسٹیڈیم","بیس بال","related","word","word",NA
"بیکار","بیکار","related","word","word",1
"ٹوسٹ","بیکن","related","word","word",NA
"ڈبہ","بیگ","related","word","word",0.227171647772283
"بیمار","بیمار","related","word","word",1
"فلو","بیماری","related","word","word",0.258170092231369
"آرکسٹرا","بینڈ","related","word","word",0.429078636885799
"بولی","بیوقوف","related","word","word",0.127030314714526
"بیوقوف","بیوقوف","related","word","word",1
"پاگل پن","بیوکوف","related","word","word",NA
"شوہر","بیوی","related","word","word",0.569097108622921
"شفقت","بے لوث","related","word","word",NA
"خلائی مسافر","پائلٹ","related","word","word",NA
"منک","پادری","related","word","word",0.0749943357960136
"استقبال","پارٹی","related","word","word",0.0866660372241975
"کوڈ","پاس ورڈ","related","word","word",NA
"ٹکٹ","پاسپورٹ","related","word","word",0.283901108883381
"پاگل","پاگل","related","word","word",1
"پتھر","پتھر","related","word","word",1
"اعصابی","پٹھوں","related","word","word",0.51072412306025
"سیکنڈری","پرائمری","related","word","word",0.505793618825708
"نجی","پرائیویسی","related","word","word",0.416928724707171
"خاموش","پرسکون","related","word","word",0.306265872103474
"تجربہ","پرکھ","related","word","word",0.18711802702738
"تیتلی","پرندہ","related","word","word",NA
"راجکماری","پرنس","related","word","word",0.221059294726487
"زمین","پرواز","related","word","word",0.184524157426333
"لینڈنگ","پرواز","related","word","word",0.319905741959239
"اصول","پروٹوکول","related","word","word",0.253690059170073
"ڈین","پروفیسر","related","word","word",0.339982161712656
"شوکیا","پروفیشنل","related","word","word",NA
"منصوبے","پروگرام","related","word","word",0.281525688722616
"بٹن","پریس","related","word","word",0.139228178522773
"مداخلت","پریشان","related","word","word",0.179471279722184
"مالکن","پریمی","related","word","word",0.297302806783429
"پکڑو","پکڑنے","related","word","word",0.562347145224144
"سیمنٹ","پلاسٹک","related","word","word",0.354500220072631
"کوچ","پلیئر","related","word","word",0.173268493919963
"بولل","پلیٹ","related","word","word",NA
"پناہ","پناہ گاہ","related","word","word",NA
"روٹی","پنیر","related","word","word",0.388453537842435
"سیب","پھل","related","word","word",0.430914035422442
"پودا","پھول","related","word","word",0.47027959107791
"سوال","پوچھو","related","word","word",0.421260674532395
"حالت","پوزیشن","related","word","word",0.265655210111581
"جوا","پوکر","related","word","word",0.205511209989941
"میٹھی","پیارا","related","word","word",0.286776584512621
"اچھا","پیارا، دلکش","related","word","word",NA
"لہسن","پیاز","related","word","word",0.644774743749911
"بھوک","پیاس","related","word","word",0.346065039752415
"ریڑه","پیٹ","related","word","word",NA
"بنانا","پیداوار","related","word","word",0.164809535870824
"فیکٹری","پیداوار","related","word","word",0.331720416257128
"سیکشن","پیراگراف","related","word","word",0.197781726711891
"نقد","پیسے","related","word","word",0.259052739069277
"خون","پیشاب","related","word","word",0.434740332523502
"انتباہ","پیغام","related","word","word",0.410899221158285
"لفافے","پیکیج","related","word","word",0.352531328638741
"سرخ","پیلا","related","word","word",0.453421139481695
"فنکار","پینٹر","related","word","word",0.356406968974729
"آلودگی","تابکاری","related","word","word",0.297819663004488
"کیبل","تار","related","word","word",0.30464940626758
"تازه","تازہ کاری","related","word","word",NA
"اغوا","تاوان","related","word","word",0.389123821229575
"تخلیق","تباہی","related","word","word",0.0581825866095249
"پوسٹ مارٹم","تجزیہ","related","word","word",NA
"تجویز","تجویز","related","word","word",1
"تعریف","تحفہ","related","word","word",0.108618028788124
"کیپسول","تحقیقات","related","word","word",0.251632630769958
"جانچ پڑتال","تحقیقات","related","word","word",NA
"تجزیہ کار","تحقیقات","related","word","word",NA
"تاج","تخت","related","word","word",0.441735401883787
"تخیل","تخلیقی صلاحیت","related","word","word",NA
"کمانڈ","ترتیب","related","word","word",0.197173902862606
"ترقی","ترقی","related","word","word",1
"سوپ","ترکاریاں","related","word","word",0.193961519217479
"چکن","ترکی","related","word","word",0.0845373246582646
"مشاورت","تشخیص","related","word","word",0.237219646710807
"عذاب","تشدد","related","word","word",0.272891865946057
"چیک","تصدیق","related","word","word",0.198455195196788
"تصدیق","تصدیق","related","word","word",1
"حقیقت","تصور","related","word","word",0.306222067838639
"حیرت انگیز","تصوراتی، بہترین","related","word","word",NA
"تصویر","تصویر","related","word","word",1
"تصور","تعریف","related","word","word",0.244757974223863
"صحت","تعلیم","related","word","word",0.3680019156577
"orgasm","تعمیر","related","word","word",NA
"تعمیراتی","تعمیر","related","word","word",0.642149221439564
"پلس","تفریق","related","word","word",0.200813578527526
"پروفائل","تفصیل","related","word","word",0.300359141860905
"رسم","تقریب","related","word","word",0.3268848426836
"رجحان","تقریب","related","word","word",0.186426408479471
"جہالت","تکبر","related","word","word",0.296990495207786
"آواز","تلفظ","related","word","word",0.337685267000844
"ٹرافی","تمغے","related","word","word",0.333205222019139
"تنازعہ","تنازعہ","related","word","word",1
"پینشن","تنخواہ","related","word","word",0.48422373155772
"سنیما","تھیٹر","related","word","word",0.38996124193286
"ثقافت","تہذیب","related","word","word",0.602612050104174
"پاور","توانائی","related","word","word",0.358704246563404
"رسالہ","توپ خانے","related","word","word",NA
"فوکس","توجہ مرکوز","related","word","word",NA
"انتظار کرو","توقع","related","word","word",NA
"کمبل","تولیہ","related","word","word",0.17221406866175
"تیار","تیار","related","word","word",1
"ڈوب","تیرنا","related","word","word",0.260641344635885
"سست","تیز","related","word","word",0.40187573164715
"کوئلہ","تیل","related","word","word",0.500191627821995
"ایک","تین","related","word","word",0.302461940225486
"ثبوت","ثبوت","related","word","word",1
"ڈیٹونیٹر","ٹائمر","related","word","word",NA
"پابند","ٹائی","related","word","word",0.106143704741316
"سینسر","ٹرانسمیٹر","related","word","word",0.36520636736831
"دگنا","ٹرپل","related","word","word",0.261893759321185
"جیپ","ٹرک","related","word","word",0.413841940630057
"جلد","ٹشو","related","word","word",0.272605801502572
"ٹکڑا","ٹکڑا","related","word","word",1
"آلو","ٹماٹر","related","word","word",0.496534731920096
"جھپکی","ٹہلنے","related","word","word",NA
"ہیلمیٹ","ٹوپی","related","word","word",NA
"طریقہ","ٹیکنالوجی","related","word","word",0.162382777228626
"ممکنہ، استعداد","ٹیلنٹ","related","word","word",NA
"کال","ٹیلی فون","related","word","word",NA
"ریڈیو","ٹیلی ویژن","related","word","word",NA
"لیگ","ٹیم","related","word","word",0.44664029884519
"گالف","ٹینس","related","word","word",0.465507050754025
"درج","جاؤ","related","word","word",0.115584363210945
"جادو","جادوگر","related","word","word",0.67792680733728
"آگے بڑھو","جاری رہے","related","word","word",NA
"ایجنٹ","جاسوس","related","word","word",0.432767737532602
"کالج","جامع درس گاہ","related","word","word",NA
"حادثے سے","جان بوجھ کر","related","word","word",NA
"تسلیم","جانتا تھا","related","word","word",NA
"ابھی","جاننا","related","word","word",0.199768916082339
"جانور","جانور","related","word","word",1
"عدالت","جج","related","word","word",0.550207394613525
"دماغی","جذباتی","related","word","word",0.363798597838564
"حوصلہ افزائی","جذبہ","related","word","word",NA
"گناہ","جرم","related","word","word",0.46458612733207
"جنسی","جسمانی","related","word","word",0.420693300782404
"گردہ","جگر","related","word","word",0.383474964915662
"شاندار","جلال","related","word","word",0.166636301014443
"آہستہ آہستہ","جلدی","related","word","word",NA
"جمع","جمع","related","word","word",1
"ڈکشنری","جملہ","related","word","word",0.148893460410686
"لفظ","جملہ","related","word","word",0.168412398054125
"آزادی","جمہوریت","related","word","word",0.370372603026418
"تابوت","جنازہ","related","word","word",0.29993330909552
"منگ","جنس","related","word","word",0.0872791146982083
"جنگ","جنگ","related","word","word",1
"فوجی","جنگجو","related","word","word",0.303116942442324
"جنگل","جنگل","related","word","word",1
"ایرینا","جنگلی میدان","related","word","word",NA
"دریا","جھیل","related","word","word",0.384757695142779
"کرو","جہاز","related","word","word",0.121052808625539
"جنت","جہنم","related","word","word",0.598658067627879
"جواب","جواب","related","word","word",1
"بوٹ","جوتا","related","word","word",0.273393820246183
"اختیار","جوڑتوڑ","related","word","word",NA
"جون","جولائی","related","word","word",0.555913805110235
"رومیو","جولیٹ","related","word","word",0.505178759967401
"سینئر","جونیئر","related","word","word",0.417096498668968
"ٹھیک ہے","جی ہاں","related","word","word",NA
"حاصل کرنا","جیت","related","word","word",NA
"شرٹ","جیکٹ","related","word","word",0.240888832883205
"سیل","جیل","related","word","word",0.241780113148816
"ڈائمنڈ","جیول","related","word","word",0.239379220059276
"چوسنا","چاٹ","related","word","word",0.327481017373643
"دو","چار","related","word","word",0.634923204292541
"ٹریپ","چارہ","related","word","word",0.176873496646205
"تلوار","چاقو","related","word","word",0.375849818047745
"شکر","چاکلیٹ","related","word","word",0.199874841717522
"نگل","چبانا","related","word","word",NA
"کریم","چٹنی","related","word","word",0.170969721986846
"روڈو","چرواہا","related","word","word",0.222137800243377
"رن","چلنا","related","word","word",0.0956138933794876
"اجازت","چلو","related","word","word",0.0882371489562346
"کور","چھپائیں","related","word","word",0.13922952229287
"مینڈک","چھپکلی","related","word","word",0.450898324412572
"کرسمس","چھٹیوں","related","word","word",0.394302838408137
"چڑھنے","چھلانگ","related","word","word",0.418492159020174
"لٹل","چھوٹے","related","word","word",0.155972808539424
"چھوڑ دو","چھوڑ دو","related","word","word",NA
"تیسرے","چوتھائی","related","word","word",0.303406849435469
"زخم","چوٹ","related","word","word",0.402429607670303
"ماؤس","چوہا","related","word","word",0.199712095983247
"چرچ","چیپل","related","word","word",0.371413933307893
"پیروی","چیس","related","word","word",0.145808844855578
"رکاوٹ","چیلنج","related","word","word",0.215373230320621
"مقابلہ","چیمپئن شپ","related","word","word",NA
"واقعہ","حادثہ","related","word","word",0.34489427772295
"بس","حال ہی میں","related","word","word",NA
"وفاقی","حالت","related","word","word",0.071343523931803
"پیدائش","حاملہ","related","word","word",0.24237119761848
"قسم کھانا","حدیث","related","word","word",NA
"شمار","حساب","related","word","word",0.27719806264059
"نازک","حساس","related","word","word",0.350270687390094
"سیکورٹی","حفاظت","related","word","word",0.331522581202411
"امید مند","حقیقت پسندانہ","related","word","word",NA
"سچ","حقیقی","related","word","word",0.254267699370538
"منصوبہ","حکمت عملی","related","word","word",NA
"انتظامیہ","حکومت","related","word","word",0.43055325388686
"حملے","حملہ","related","word","word",0.695222234028694
"مظلوم","حملہ آور","related","word","word",NA
"حوصلہ افزائی","حوصلہ افزائی","related","word","word",NA
"کیمسٹری","حیاتیات","related","word","word",0.351312366715647
"کیمیائی","حیاتیاتی","related","word","word",0.492542503226026
"متاثر کن","حیرت انگیز","related","word","word",NA
"غلمہ","خادم","related","word","word",NA
"خاموش","خاموش","related","word","word",1
"کلان","خاندان","related","word","word",0.200234856005645
"مندر","خانقاہ","related","word","word",0.31028116409258
"چینل","خبریں","related","word","word",0.258376632537005
"آخر","ختم","related","word","word",0.20173101388219
"فضلہ","خرچ","related","word","word",0.296202343193462
"لومڑی","خرگوش","related","word","word",0.544834895013611
"بیچنے والے","خریدار","related","word","word",NA
"موسم بہار","خزاں","related","word","word",NA
"ٹیلیگرام","خط","related","word","word",0.251336563721079
"خطرناک","خطرناک","related","word","word",1
"خطرہ","خطرہ","related","word","word",1
"ڈراؤنا خواب","خواب","related","word","word",NA
"خواہش","خواہش","related","word","word",1
"خوبصورت","خوبصورت","related","word","word",1
"فیشن","خوبصورت","related","word","word",0.216049027915489
"توجہ","خوبصورتی","related","word","word",0.202664114501949
"ضد","خود غرض","related","word","word",NA
"دوربین","خوردبین","related","word","word",0.483569985111181
"مطمئن","خوش","related","word","word",0.408551277883616
"لپسٹک","خوشبو","related","word","word",NA
"آرام دہ اور پرسکون","خوشگوار","related","word","word",NA
"برم","خوشگوار","related","word","word",NA
"خوشی","خوشی","related","word","word",1
"ہارر","خوف","related","word","word",0.170891629190469
"ڈراونا","خوف","related","word","word",NA
"خوفناک","خوفناک","related","word","word",1
"باہر نکلیں","داخلہ","related","word","word",NA
"دادا","دادی","related","word","word",0.496999925170025
"ہیئر","داڑھی","related","word","word",0.177224604448777
"کیل","دانت","related","word","word",0.266476655227393
"پلس","دباؤ","related","word","word",0.166111181090338
"گرمی","درجہ حرارت","related","word","word",NA
"بش","درخت","related","word","word",0.224247042537811
"مطالبہ","درخواست","related","word","word",0.242248244493659
"مصیبت","درد","related","word","word",0.273230186916011
"غلط","درست","related","word","word",0.547215566006016
"ونڈو","دروازے","related","word","word",0.161584880267597
"فائل","دستاویز","related","word","word",0.305377363863814
"سٹیمپ","دستخط","related","word","word",NA
"نومبر","دسمبر","related","word","word",0.650025412729786
"حفاظت","دفاع","related","word","word",0.386027700702307
"ڈیسک","دفتر","related","word","word",0.181166979706422
"کھدائی","دفن","related","word","word",0.259325513355787
"دلچسپ","دلچسپ","related","word","word",1
"پر کشش","دلکش","related","word","word",NA
"غلط","دلکش","related","word","word",0.192838794842253
"دلہن","دلہن","related","word","word",1
"دماغ","دماغی","related","word","word",0.646464475734897
"بین اقوامی","دنیا","related","word","word",NA
"آئرن","دھاتی","related","word","word",0.336198614089022
"زلزلے","دھماکہ","related","word","word",0.320841963542977
"بم","دھماکہ خیز مواد","related","word","word",NA
"پھٹ","دھماکے","related","word","word",0.445930478951339
"کلاؤڈ","دھند","related","word","word",0.0961644288164919
"سازش","دھوکہ","related","word","word",0.274131974452912
"راھ","دھول","related","word","word",NA
"روٹی","دھول","related","word","word",0.186367209560055
"صدی","دہائی","related","word","word",0.332219542396592
"شراب","دوا","related","word","word",0.310298739847944
"آدھی رات","دوپہر","related","word","word",NA
"سنیک","دوپہر کا کھانا","related","word","word",NA
"قریب","دور","related","word","word",0.262884109907082
"ختم","دور","related","word","word",0.35273026797191
"میراتھن","دوڑ","related","word","word",0.391022981153675
"ساتھی","دوست","related","word","word",0.316428911813983
"شائستہ","دوستانہ","related","word","word",0.26379142938632
"تعلقات","دوستی","related","word","word",0.432426720978813
"خزانہ","دولت","related","word","word",0.372562282005665
"دیکھو","دیکھو","related","word","word",1
"پیشکش","دے دو","related","word","word",NA
"معاملہ","ذرہ","related","word","word",0.140962260933355
"کشیدگی","ذہنی دباؤ","related","word","word",NA
"گرم","ڈاؤن لوڈ، اتارنا","related","word","word",NA
"پروڈیوسر","ڈائریکٹر","related","word","word",0.594683643575757
"لعنت","ڈائن","related","word","word",0.152176939225223
"سرجن","ڈاکٹر","related","word","word",0.409362125748355
"پاؤنڈ","ڈالر","related","word","word",0.397935991786305
"غروب آفتاب","ڈان کی","related","word","word",NA
"پینٹ","ڈرا","related","word","word",0.270108372660951
"مسافر","ڈرائیور","related","word","word",0.34681172520342
"ڈراونا","ڈراونا","related","word","word",NA
"چوری","ڈکیتی","related","word","word",0.413957421710267
"پنگ","ڈنگ","related","word","word",0.456243375874967
"یونٹ","ڈویژن","related","word","word",0.370586925155378
"کیبن","ڈیک","related","word","word",0.371264982506086
"راسته","راستہ","related","word","word",NA
"بخشش","رحم","related","word","word",0.251445690845871
"ردی کی ٹوکری","ردی کی ٹوکری","related","word","word",NA
"دودھ","رس","related","word","word",0.324082393912561
"چین","رسی","related","word","word",0.141728362274556
"رضاکارانہ","رضاکارانہ طور پر","related","word","word",NA
"فاصلے","رفتار","related","word","word",0.269278046497754
"رقاصہ","رقص","related","word","word",0.431955385754486
"رقم","رقم","related","word","word",1
"داخل کریں","رکھو","related","word","word",NA
"رہو","رہنا","related","word","word",0.384470105971911
"رکن","رہنما","related","word","word",0.2981828721007
"ہولڈ","رہو","related","word","word",0.0516820596575817
"آمد","روانگی","related","word","word",0.289788514071979
"جدید","روایتی","related","word","word",0.332856539259646
"چوری","روب","related","word","word",0.226321089791983
"روح","روح","related","word","word",1
"چمک","روشن","related","word","word",0.324417743709588
"اندھیرے","روشنی","related","word","word",0.472102769144163
"سیسر","روم","related","word","word",0.154994360556719
"کپڑے","رومانش","related","word","word",NA
"ڈرامائی","رومانوی","related","word","word",0.367782738873447
"رائے","رویہ","related","word","word",0.215599903067708
"فرنٹ","ریئر","related","word","word",0.319226668716157
"طبیعیات","ریاضی","related","word","word",0.500204890705191
"مٹی","ریت","related","word","word",0.427399320858577
"پب","ریستوراں","related","word","word",0.351182662107728
"ریکارڈ","ریکارڈنگ","related","word","word",0.635174985752539
"جنریٹر","ریکٹرٹر","related","word","word",NA
"بہترین","زبردست","related","word","word",0.229946819565751
"لائیو","زندہ رہو","related","word","word",NA
"مریخ","زھرہ","related","word","word",0.194953569638218
"رقبہ","زون","related","word","word",0.235298343347283
"کم سے کم","زیادہ سے زیادہ","related","word","word",NA
"ٹیکنالوجی","سائنس","related","word","word",0.569091493478498
"عقلمند","سائنسدان","related","word","word",0.154370622479007
"تخرکشک","ساتھ ساتھ","related","word","word",NA
"بیچ","ساحل","related","word","word",0.131725242182481
"پرامڈ","ساخت","related","word","word",NA
"بس","سادہ","related","word","word",0.217914340213689
"سالگرہ","سالگرہ","related","word","word",1
"ننجا","سامراا","related","word","word",NA
"بھیڑ","سامعین","related","word","word",0.1199953480576
"کیڑے","سانپ","related","word","word",0.24919782542029
"جاسوسی","سبتج","related","word","word",NA
"لاسگنا","سپتیٹی","related","word","word",NA
"شوٹر","سپنر","related","word","word",NA
"مشہور شخصیت","ستارہ","related","word","word",NA
"روکنے","سٹاپ","related","word","word",0.0764371629633422
"گلی","سٹریٹ","related","word","word",0.317195494185406
"تندور","سٹو","related","word","word",NA
"دکان","سٹور","related","word","word",0.22931967874923
"پلیٹ فارم","سٹیشن","related","word","word",NA
"کنکریٹ","سٹیل","related","word","word",0.363792405248607
"مشکل","سخت","related","word","word",0.38043656594563
"کام کر رہا ہے","سرجری","related","word","word",NA
"گرم","سردی","related","word","word",0.503539714150813
"سرکاری طور پر","سرکاری","related","word","word",NA
"چڑیا گھر","سرکس","related","word","word",NA
"فعال","سرگرمی","related","word","word",0.301031959993633
"انتشار","سرمایہ داری","related","word","word",NA
"مالیات","سرمایہ کاری","related","word","word",NA
"بینکر","سرمایہ کاری","related","word","word",NA
"انجکشن","سرنج","related","word","word",0.449696433182605
"پل","سرنگ","related","word","word",0.294941738499871
"مہنگا","سستا","related","word","word",0.529945830316713
"پرت","سطح","related","word","word",0.324212539385209
"ٹیٹو","سکارف","related","word","word",0.224198748880447
"جانیں","سکھاؤ","related","word","word",NA
"تمباکو نوشی","سگریٹ","related","word","word",NA
"تمباکو","سگریٹ","related","word","word",0.458705157216227
"تعدد","سگنل","related","word","word",0.227128927423163
"مبارک ہو","سلام","related","word","word",NA
"خاندان","سلطنت","related","word","word",0.367050859455322
"سنہری","سلور","related","word","word",0.175838624759096
"احساس","سمجھو","related","word","word",0.256126604885374
"سمندر","سمندر","related","word","word",1
"بات چیت","سنا","related","word","word",NA
"علامات","سنڈروم","related","word","word",0.323178576036895
"بیت الخلاء","سنک","related","word","word",NA
"نوکری","سنکیکل","related","word","word",NA
"نصف","سہ ماہی","related","word","word",NA
"ہزار","سو","related","word","word",0.35270785525519
"ڈرائیو","سواری","related","word","word",0.317159589331024
"بریفک","سوٹکیس","related","word","word",NA
"غور","سوچو","related","word","word",0.327548045182323
