sk_cue,sk_target,type,cue_type,target_type,sk_cosine
kvapka,dúšok,related,word,word,0.388213348124122
okno,dvere,related,word,word,0.503745856980824
strelný prach,dynamit,related,word,word,
módny,elegantný,related,word,word,0.396946497222766
magnetický,elektrický,related,word,word,0.514817605304075
prúd,elektrina,related,word,word,0.387241924731112
duševný,emocionálny,related,word,word,0.514569429347012
výkon,energia,related,word,word,0.240619495947175
mor,epidémia,related,word,word,0.315161319934339
séria,epizóda,related,word,word,0.392142170441073
orgazmus,erekcia,related,word,word,0.296825421446317
detonácia,explodovať,related,word,word,0.302663899240735
zemetrasenie,explózia,related,word,word,0.329280593766363
opísať,vyjadriť,related,word,word,0.446579522271796
vnútorný,externý,related,word,word,0.424055800345351
falošný,nepravdivý,related,word,word,0.299388515685172
nádherný,fantastický,related,word,word,0.488134795322827
realita,fantázia,related,word,word,0.416490783051141
pošta,fax,related,word,word,0.246127097299144
kolónia,federácia,related,word,word,0.395879682898186
karneval,festival,related,word,word,0.401855499304626
porno,film,related,word,word,0.407922954594655
bankový,finančný,related,word,word,0.554654136805275
rozpočet,dotovanie,related,word,word,
finančne,financovanie,related,word,word,0.414445676839671
pohár,fľaša,related,word,word,0.404919439317039
námorný,flotila,related,word,word,0.342751636417777
autogram,fotograf,related,word,word,0.419975238038319
obraz,fotografia,related,word,word,0.328766405377226
anglický,francúzsky,related,word,word,0.572331958982346
slovník,fráza,related,word,word,0.288380340700107
zbeh,utečenec,related,word,word,0.134166551981381
prevádzkový,funkčný,related,word,word,0.378428798663417
basketbal,futbal,related,word,word,0.631836924164035
sexuálny,fyzický,related,word,word,0.431320900413851
vesmír,galaxia,related,word,word,0.449786058766251
dielňa,garáž,related,word,word,0.376792481019965
klavír,gitara,related,word,word,0.375412029797502
národný,globálny,related,word,word,0.380285137014688
opica,gorila,related,word,word,0.411311076473945
rímsky,grécky,related,word,word,0.412343417422221
kilo,gram,related,word,word,0.358719272862575
barón,grófka,related,word,word,0.332402950977298
kaliber,guľka,related,word,word,0.423973353187593
červ,had,related,word,word,0.27422080622244
pumpa,hadica,related,word,word,0.40552657464029
ilúzia,halucinácia,related,word,word,0.35716415662916
sendvič,hamburger,related,word,word,0.500298544692253
vyváženie,harmónia,related,word,word,0.285267421870919
autor,herec,related,word,word,0.365597871391268
kokaín,heroín,related,word,word,0.588893401502757
kód,heslo,related,word,word,0.434401762720913
aids,hiv,related,word,word,0.535678058969901
unavený,hladný,related,word,word,0.520684521867302
väčšina,hlas,related,word,word,0.0708218959911446
stráž,hliadka,related,word,word,0.459249076749965
šialenstvo,hlúposť,related,word,word,0.2638384506073
naivný,hlúpy,related,word,word,0.485724447737354
mrak,hmla,related,word,word,0.339284060830825
pavúk,hmyz,related,word,word,0.369960640691268
žiarlivý,nahnevaný,related,word,word,0.524761631604984
vysvetlenie,hodnoverný,related,word,word,0.146904493045621
zaslúžiť si,hodný,related,word,word,
tuniak,homár,related,word,word,0.484337732737189
lesba,homosexuál,related,word,word,0.364804750254325
nižší,vyšší,related,word,word,0.587981346530595
kašeľ,horúčka,related,word,word,0.493003077930774
nájomník,prenajímateľ,related,word,word,0.494269667654243
rozprávať,hovoriť,related,word,word,0.790482385130971
hrať,hra,related,word,word,0.504741614929433
bábika,hračka,related,word,word,0.421129926380118
palác,hrad,related,word,word,0.458585986887127
internet,sieť,related,word,word,0.36462860346655
blesk,hrom,related,word,word,0.35102362282731
hrozný,strašný,related,word,word,0.67529790102011
žalúdok,hrudník,related,word,word,0.366450330996234
džez,hudba,related,word,word,0.239999865901762
spevák,hudobník,related,word,word,0.429973007819986
tenký,hrubý,related,word,word,0.428840534600989
celebrita,hviezda,related,word,word,0.404446000726716
blázon,idiot,related,word,word,0.492056098057858
vírus,infekcia,related,word,word,0.462074307749725
dáta,informácie,related,word,word,0.444228738008096
zdroj,informátor,related,word,word,0.341462238538038
ohlásiť,informovať,related,word,word,0.374977015130755
dávka,injekcia,related,word,word,0.440426709312641
vyšetrenie,inšpekcia,related,word,word,0.283564846526736
inšpirovať,inšpirácia,related,word,word,0.559371387409569
múdry,inteligentný,related,word,word,0.539863501064215
osobný,intímny,related,word,word,0.427547659738433
inštinkt,intuícia,related,word,word,0.468234236599481
bankér,investor,related,word,word,0.466610278956268
financovať,investovať,related,word,word,0.468473330619591
irónia,ironický,related,word,word,0.210293416045355
vstúpiť,ísť,related,word,word,0.383043275221823
atómový,jadrový,related,word,word,0.562535736907774
banán,jahoda,related,word,word,0.303312785583228
žiariť,jasný,related,word,word,0.285508063793111
žaba,jašterica,related,word,word,0.423561749492705
rieka,jazero,related,word,word,0.385685537772902
tetovanie,jazva,related,word,word,0.439555090056051
špeciálny,jedinečný,related,word,word,0.424231543428845
jedlo,pokrm,related,word,word,0.391227836549716
jednoducho,jednoduchý,related,word,word,0.482113122802461
osoba,jednotlivec,related,word,word,0.261118124569834
mäkký,jemný,related,word,word,0.426858528996057
dobre,hej,related,word,word,0.316876693912798
hus,kačica,related,word,word,0.403145295227086
skala,kameň,related,word,word,0.336691715771011
džíp,kamión,related,word,word,0.39095225083379
stôl,kancelária,related,word,word,0.263162999394299
orchester,kapela,related,word,word,0.342820904427212
anarchia,kapitalizmus,related,word,word,0.391808468996794
kostol,kaplnka,related,word,word,0.419743931261648
biskup,kardinál,related,word,word,0.412012275934905
mafia,kartel,related,word,word,0.361904755386745
pohár,káva,related,word,word,0.210730905503598
piknik,kempovanie,related,word,word,0.400095863771479
palica,kladivo,related,word,word,0.368087668896562
klamať,klamár,related,word,word,0.406281950528347
typický,klasický,related,word,word,0.480263358042661
chrám,kláštor,related,word,word,0.456053535766619
sirotinec,kláštor,related,word,word,0.444479309918509
diamant,klenot,related,word,word,0.420871533802808
helma,klobúk,related,word,word,0.359216217334974
mních,kňaz,related,word,word,0.519562498828374
princezná,princ,related,word,word,0.607478821236368
biblia,kniha,related,word,word,0.435317229510284
podlaha,koberec,related,word,word,0.277932020923005
pád,kolaps,related,word,word,0.418138098944218
rameno,koleno,related,word,word,0.561632815918709
dráma,komédia,related,word,word,0.418646463978171
inšpektor,komisár,related,word,word,0.475296640303273
navigácia,komunikácia,related,word,word,0.480102912033324
rasista,komunista,related,word,word,0.496202853493702
osol,kôň,related,word,word,0.342956674091933
rum,koňak,related,word,word,0.423541146842455
gesto,čin,related,word,word,0.220035312239487
zamerať,koncentrovať,related,word,word,0.441851840530125
turné,koncert,related,word,word,0.436478715088106
finálny,konečný,related,word,word,0.490337194352392
pyramída,konštrukcia,related,word,word,0.383694159352621
originál,kópia,related,word,word,0.286385465260368
spoločnosť,korporácia,related,word,word,0.459797514968243
slimák,korytnačka,related,word,word,0.309006210826057
rodeo,kovboj,related,word,word,0.162661458583529
železo,kov,related,word,word,0.341239710721562
kráľovná,kráľ,related,word,word,0.514432403489358
fox,králik,related,word,word,0.175201231528568
kráľovský,kráľovstvo,related,word,word,0.482743409844345
čaro,krása,related,word,word,0.302538917543124
milý,rozkošný,related,word,word,0.460369691921136
pekný,krásny,related,word,word,0.617033198803437
väzba,kravata,related,word,word,0.253481700347042
predstavivosť,kreativita,related,word,word,0.435116689779975
maľovať,kresliť,related,word,word,0.583993038758575
katolík,kresťan,related,word,word,0.546131862185043
situácia,kríza,related,word,word,0.428824308490937
hrdlo,krk,related,word,word,0.406056401790821
zlo,krutosť,related,word,word,0.330100135541697
brutálny,krutý,related,word,word,0.466411493829283
aktovka,kufor,related,word,word,0.23327322003434
sprcha,kúpeľňa,related,word,word,0.524158052509234
predávajúci,kupujúci,related,word,word,0.566581512090937
fragment,kúsok,related,word,word,0.320810552995689
množstvo,kvalita,related,word,word,0.281627514258034
závod,kvetina,related,word,word,0.151288603760448
vzduch,kyslík,related,word,word,0.542331583041304
drahý,lacný,related,word,word,0.303624412332333
nemožný,ľahký,related,word,word,0.352773980806995
reťaz,lano,related,word,word,0.395618637667426
nenávisť,láska,related,word,word,0.48290894587214
kosť,lebka,related,word,word,0.373147172701863
mýtus,legenda,related,word,word,0.39130082017705
chirurg,lekára,related,word,word,0.325903970396735
džungľa,les,related,word,word,0.288176072504043
pristátie,let,related,word,word,0.395189689616013
pristáť,letieť,related,word,word,0.515137188902015
terminál,letisko,related,word,word,0.343074572274455
drak,lev,related,word,word,0.410644698892872
konzervatívny,liberálny,related,word,word,0.486524759164652
terapia,liečba,related,word,word,0.574372198318189
taxík,limuzína,related,word,word,0.423845357833518
móda,ling,related,word,word,0.126225884320563
umenie,literatúra,related,word,word,0.402426939112517
sať,lízať,related,word,word,0.434017321563482
posádka,loď,related,word,word,0.481811053951913
populácia,ľudia,related,word,word,0.196145397017893
muž,človek,related,word,word,0.588928652199374
krádež,lúpež,related,word,word,0.589693376993722
pes,mačka,related,word,word,0.435153698407495
playboy,magazín,related,word,word,0.286206795863925
nehnuteľnosť,majiteľ,related,word,word,0.305838664529479
kečup,majonéza,related,word,word,0.540975236118698
umelec,maliar,related,word,word,0.481580166430234
trochu,malý,related,word,word,0.25011883824829
otec,mama,related,word,word,0.539980779517074
kontrolovať,manipulovať,related,word,word,0.368343986610552
manžel,manželka,related,word,word,0.607281595986
rozvod,manželstvo,related,word,word,0.451413126440897
kompas,mapa,related,word,word,0.335293376855644
reklama,marketing,related,word,word,0.374355121949173
jóga,masáž,related,word,word,0.307404166290193
med,maslo,related,word,word,0.3327851237672
bravčové,mäso,related,word,word,0.47857380306591
fyzika,matematika,related,word,word,0.562385846955782
minimálny,maximálny,related,word,word,0.653543016443952
technický,mechanický,related,word,word,0.504075050108556
artefakt,medailón,related,word,word,0.331097302545431
trofej,medaila,related,word,word,0.424525780249015
veverička,mýval,related,word,word,0.263438982412022
kilometer,meter,related,word,word,0.615721033027748
metropola,mesto,related,word,word,0.302389380448067
regionálny,miestny,related,word,word,0.405469411633919
miesto,poloha,related,word,word,0.140841535558286
fotoaparát,mikrofón,related,word,word,0.345755080800845
ďalekohľad,mikroskop,related,word,word,0.384433450286188
milión,miliarda,related,word,word,0.485826918162162
odpustenie,milosrdenstvo,related,word,word,0.470017310822743
milenka,milenec,related,word,word,0.549342009296764
veľvyslanec,minister,related,word,word,0.371691676308142
veľvyslanectvo,ministerstvo,related,word,word,0.422201994104483
budúcnosť,minulosť,related,word,word,0.522739174893957
plus,mínus,related,word,word,0.475684769192501
sekunda,minútu,related,word,word,0.497025537403589
starý,mladý,related,word,word,0.440213989685627
krv,moč,related,word,word,0.452836797704849
škrabanec,modrina,related,word,word,0.466754203533757
hnedý,modrý,related,word,word,0.465398600865659
suchý,mokrý,related,word,word,0.439438218185738
obrazovka,monitor,related,word,word,0.381118259154524
aspirín,morfín,related,word,word,0.613546328104427
hotel,motel,related,word,word,0.654789045072789
nádrž,motor,related,word,word,0.275378935835692
mozog,mozgový,related,word,word,0.484944953663658
šanca,možnosť,related,word,word,0.490423707360276
výber,voľba,related,word,word,0.315313045374024
včela,mravec,related,word,word,0.311465754943007
telo,mŕtvola,related,word,word,0.330428697204889
nažive,mŕtvy,related,word,word,0.414255101459225
trápenie,mučenie,related,word,word,0.400852482104718
zrno,múka,related,word,word,0.338401662240659
evolúcia,mutácia,related,word,word,0.457442185272668
knižnica,múzeum,related,word,word,0.309154571064213
zvážiť,myslieť,related,word,word,0.294461841016995
dôchodok,mzda,related,word,word,0.281064145017957
jar,jeseň,related,word,word,0.470780411381191
filozofia,náboženstvo,related,word,word,0.393960009231863
sledovať,naháňať,related,word,word,0.347547640749679
nahradiť,náhradník,related,word,word,0.264370772911755
prsteň,náhrdelník,related,word,word,0.532814639899372
nahota,nahý,related,word,word,0.203772981369263
hľadať,nájsť,related,word,word,0.540480258795301
naložiť,náklad,related,word,word,0.452435824417523
nakoniec,napokon,related,word,word,0.616266365107026
pirát,námorník,related,word,word,0.257597622185538
námorník,námorníctvo,related,word,word,0.641097871548715
vlastne,naozaj,related,word,word,0.34291714644348
čítať,písať,related,word,word,0.635847830875589
krajina,národ,related,word,word,0.35919985042606
výročie,narodeniny,related,word,word,0.573582034922821
prerušiť,narušiť,related,word,word,0.599315422742095
pasca,návnada,related,word,word,0.441370496208624
navrhnúť,odporučiť,related,word,word,0.397672354382323
večný,navždy,related,word,word,0.222483464761081
obloha,nebeský,related,word,word,0.242348486576619
riziko,nebezpečenstvo,related,word,word,0.538879975347972
riskantný,nebezpečný,related,word,word,0.488735765029872
náhle,nečakane,related,word,word,0.426501665632691
teraz,vedieť,related,word,word,0.292637795671667
dovoliť,nechať,related,word,word,0.471189399207283
špinavý,nechutný,related,word,word,0.513278710439155
práve,nedávno,related,word,word,0.409430844339444
sobota,nedeľa,related,word,word,0.517904787437249
pozitívny,negatívny,related,word,word,0.709826759548263
incident,nehoda,related,word,word,0.354096557412175
slepý,nepočujúci,related,word,word,0.174864582970035
nepohodlný,nepríjemný,related,word,word,0.492446051631026
prítomnosť,neprítomnosť,related,word,word,0.890428624145905
ustarostený,nervózny,related,word,word,0.459073750709479
neschopnosť,neschopný,related,word,word,0.673107184770303
nespravodlivosť,nespravodlivý,related,word,word,0.723259414689322
nešťastný,nešťastie,related,word,word,0.628335729208476
vždy,neustále,related,word,word,0.408073547522353
ženích,nevesta,related,word,word,0.556619050119639
hnačka,nevoľnosť,related,word,word,0.485591932417213
anonymný,neznámy,related,word,word,0.354104948847499
nerozumný,nezodpovedný,related,word,word,0.438447175619843
nič,niečo,related,word,word,0.521280893487939
inde,niekde,related,word,word,0.312704086603473
zdravý,normálny,related,word,word,0.414210395545335
ústa,nos,related,word,word,0.38903847971203
reportér,novinár,related,word,word,0.59691253537272
kanál,správy,related,word,word,0.320494926580428
článok,noviny,related,word,word,0.415910217810691
meč,nôž,related,word,word,0.498135948246309
naliehavý,núdzový,related,word,word,0.34267394619692
von,o,related,word,word,0.11855883631494
obchodný,obchodník,related,word,word,0.683165735235226
fáza,obdobie,related,word,word,0.336029706186336
tábor,dedina,related,word,word,0.320674979232816
občerstvenie,obed,related,word,word,0.342866934139759
planéta,orbita,related,word,word,0.505259748896338
chrániť,obhajovať,related,word,word,0.397072211159417
bozk,objať,related,word,word,0.298018018883881
príkaz,objednať,related,word,word,0.0875960711016489
čerstvý,osviežiť,related,word,word,0.263878270068012
rituál,obrad,related,word,word,0.499982883910499
veľký,obrovský,related,word,word,0.56905088659956
obsahovať,obsah,related,word,word,0.546313515002951
topánka,obuv,related,word,word,0.389511604545242
sťažnosť,obvinenie,related,word,word,0.337258764642571
polomer,obvod,related,word,word,0.362991272366849
obyčajný,obvyklý,related,word,word,0.420917539385869
čakať,očakávať,related,word,word,0.53973172696845
atraktívny,očarujúci,related,word,word,0.442716494944136
more,oceán,related,word,word,0.512531262051186
betón,oceľ,related,word,word,0.406455760113453
obdivovať,oceniť,related,word,word,0.400364322644015
chrípka,ochorenie,related,word,word,0.358273184564479
strýko,ocko,related,word,word,0.448212232975945
príchod,odchod,related,word,word,0.481007976258317
vernosť,oddanosť,related,word,word,0.662964630757814
jazdiť,voziť,related,word,word,0.54261882687579
bonus,odmena,related,word,word,0.222217625134669
odpor,odolať,related,word,word,0.180506497434216
smeti,odpad,related,word,word,0.458701856777553
odpoveď,odpovedať,related,word,word,0.626939744347865
časť,odstavec,related,word,word,0.214564091079052
eliminovať,odstrániť,related,word,word,0.472431460940014
dna,odtlačok prsta,related,word,word,
ušľachtilý,odvážny,related,word,word,0.423003728977599
kradnúť,olúpiť,related,word,word,0.466506376035357
okrúhly,okolo,related,word,word,0.229763332388609
kraj,okres,related,word,word,0.265222682745966
september,október,related,word,word,0.575732680326268
uhlie,olej,related,word,word,0.322629814992496
krém,omáčka,related,word,word,0.31586410020855
oproti,naopak,related,word,word,0.106994358190187
triezvy,opitý,related,word,word,0.451853911476261
nepriateľ,oponent,related,word,word,0.311284163217817
opraviť,oprava,related,word,word,0.525014642930573
odísť,opustiť,related,word,word,0.538080056346616
otázka,opýtať,related,word,word,0.34023236811127
zelený,oranžový,related,word,word,0.496441043020388
sám,osamelý,related,word,word,0.324720040258502
povaha,osobnosť,related,word,word,0.40588248052866
odpustiť,ospravedlnenie,related,word,word,0.381816356180389
osud,údel,related,word,word,0.327403987501933
matka,otec,related,word,word,0.485535920899281
skontrolovať,overiť,related,word,word,0.551189071240503
jablko,ovocie,related,word,word,0.291519331062626
prst,palec,related,word,word,0.555969595995832
plyn,palivo,related,word,word,0.386635069997651
kabína,paluba,related,word,word,0.420593696207445
pán,dáma,related,word,word,0.137391003052819
zemiak,paradajka,related,word,word,0.455216625696424
nadprirodzený,paranormálny,related,word,word,0.450759572955898
rúž,parfum,related,word,word,0.392176572698228
úbohý,patetický,related,word,word,0.435542175679271
oblička,pečeň,related,word,word,0.505739065511631
raj,peklo,related,word,word,0.269787471485658
vrecko,peňaženka,related,word,word,0.330851035810702
hotovosť,peniaze,related,word,word,0.444590370583521
vagína,penis,related,word,word,0.394905760442655
papier,pero,related,word,word,0.444626789070261
pohľad,perspektíva,related,word,word,0.272167102008276
album,pieseň,related,word,word,0.342226395009706
bahno,piesok,related,word,word,0.33584124939473
astronaut,pilot,related,word,word,0.302492182848885
tabletka,pilulka,related,word,word,0.607182649684903
čítanie,písanie,related,word,word,0.556432095166706
telegram,písmeno,related,word,word,0.109463932216812
roh,píšťalka,related,word,word,0.180579209994685
puška,pištoľ,related,word,word,0.530553019978995
piť,pivo,related,word,word,0.408378509402229
kotviť,plaviť,related,word,word,0.47028521744364
oheň,plameň,related,word,word,0.443116527173912
príprava,plánovanie,related,word,word,0.395688096502304
cement,plast,related,word,word,0.359044130511067
prázdny,plný,related,word,word,0.476102321551362
stena,plot,related,word,word,0.322608686659887
generál,plukovník,related,word,word,0.460735853637721
pláž,pobrežie,related,word,word,0.380680475385504
kopať,zahrabať,related,word,word,0.46599182375249
dojem,pocit,related,word,word,0.350245953240497
softvér,počítač,related,word,word,0.573550456660558
vďačný,poďakovať,related,word,word,0.549521609425972
neobvyklý,podivný,related,word,word,0.394926121252348
priemysel,podnik,related,word,word,0.370748679140632
milionár,podnikateľ,related,word,word,0.424044984544394
pochybnosť,podozrivý,related,word,word,0.137945736101316
pečiatka,podpis,related,word,word,0.405626586334407
konšpirácia,podvod,related,word,word,0.303902180884772
rakva,pohreb,related,word,word,0.279161554523603
gambling,poker,related,word,word,0.356919636513448
tichý,pokojný,related,word,word,0.509450902296994
vyskúšať,pokus,related,word,word,0.263431686713196
vypočutie,pojednávanie,related,word,word,0.5009177660431
nemocnica,poliklinika,related,word,word,
kritický,politický,related,word,word,0.590197298437845
politika,politik,related,word,word,0.686844304511806
žurnalistika,politológia,related,word,word,
polnoc,poludnie,related,word,word,0.425321202720151
pomáhať,asistovať,related,word,word,0.46290116993055
podpora,pomoc,related,word,word,0.434475839525435
profil,popis,related,word,word,0.406021912761668
rada,poradiť,related,word,word,0.0881241846422685
víťazstvo,porážka,related,word,word,0.41697970120271
seržant,poručík,related,word,word,0.530112168924419
rana,zranenie,related,word,word,0.414297218416552
umožniť,poskytnúť,related,word,word,0.374293002332968
úloha,poslanie,related,word,word,0.327408845486435
priniesť,poslať,related,word,word,0.405852267507542
prvý,posledný,related,word,word,0.576557895692389
pohovka,posteľ,related,word,word,0.371986535556974
stanovisko,postoj,related,word,word,0.309566040499392
proces,postup,related,word,word,0.360646196755764
myš,potkan,related,word,word,0.37048963516408
nevyhnutný,potreba,related,word,word,0.383950166205937
potvrdenie,potvrdiť,related,word,word,0.612713920781768
uplatniť,použitie,related,word,word,0.250327671887841
kariéra,povesť,related,word,word,0.357342806980449
hovoriť,povedať,related,word,word,0.517789120825232
zodpovednosť,povinnosť,related,word,word,0.460667035007629
vrstva,povrch,related,word,word,0.351994653915872
zablahoželať,pozdraviť,related,word,word,0.365904795780971
žiadosť,požiadavka,related,word,word,0.577013588182385
postavenie,pozícia,related,word,word,0.2965573615141
výnimočný,pozoruhodný,related,word,word,0.497964040574954
zamestnanie,práca,related,word,word,0.320272977674754
popol,prach,related,word,word,0.481474557630018
poľnohospodár,robotník,related,word,word,0.315041173314924
presne,skoro,related,word,word,0.231944495817184
pluk,prápor,related,word,word,0.49782357219099
krava,prasa,related,word,word,0.310418549511411
hrdzavý,prašný,related,word,word,0.216945596339639
možno,pravdepodobne,related,word,word,0.401026843237584
pravdepodobnosť,pravdepodobný,related,word,word,0.748137627225927
nelegálny,legálny,related,word,word,0.793574215974337
beh,chôdza,related,word,word,0.354903169680237
zdriemnutie,prechádzka,related,word,word,0.350813818656911
kúpiť,predať,related,word,word,0.53363526042529
korisť,predátor,related,word,word,0.511022498572523
objekt,predmet,related,word,word,0.448198560967924
seminár,prednáška,related,word,word,0.404385963179749
záver,predpoklad,related,word,word,0.316851148228345
podceňovať,preháňať,related,word,word,0.405739789918802
tréner,hráč,related,word,word,0.433747404298143
najať,nájom,related,word,word,0.241016853574193
rezignácia,prepustenie,related,word,word,0.364593241730898
rozbiť,pokaziť,related,word,word,0.399542961612921
pohyb,presun,related,word,word,0.314549848977831
kancelár,prezident,related,word,word,0.344123031348331
žiť,prežiť,related,word,word,0.498492303109573
priamy,priamo,related,word,word,0.460855034183248
kolega,priateľ,related,word,word,0.424818717799694
zdvorilý,priateľský,related,word,word,0.509574388445939
vzťah,priateľstvo,related,word,word,0.383991179776774
dôvod,príčina,related,word,word,0.330245138716411
prezývka,priezvisko,related,word,word,0.423405833229426
pohodlný,príjemný,related,word,word,0.489576473388828
zisk,príjem,related,word,word,0.33636767603824
pozornosť,prilákať,related,word,word,0.34488416263017
sekundárny,primárny,related,word,word,0.505214837642799
kontakt,spojenie,related,word,word,0.497216831496574
