ar_target,ar_cue,ar_fake_cue,ar_fake_target,en_cue,en_target
إضافي,إضافي,تثافي,اثافي,extra,additional
إضراب,يضرب,ببرب,وفراب,hit,strike
إعداد,جاهز,جاte,ميداد,ready,prepare
إعدام,شنقا,رتقا,إعخدم,hanging,execution
إعصار,اعصار,اعجبر,لرصار,hurricane,tornado
إقالة,استقالة,إعتقالة,جدالة,resignation,dismissal
إلهي,الله,الخش,إلرع,god,divine
إمبراطورية,سلالة حاكمة,سلالممحاكمة,رأبراطورية,dynasty,empire
إمبراطورية,الإمبراطوري,العببراطوري,رأبراطورية,imperial,emperor
إمكانية,فرصة,فرات,ببكانية,chance,possibility
إنتاج,مصنع,مصزم,إنطلج,factory,production
إنذار,إنذار,إنوير,إنوير,alert,alarm
إنطباع,رأي,سبي,إنجياع,view,perspective
إنهاء,افتتاح,افتتزو,فعهاء,opening,closure
إيمان,آمل أن,آمل تج,لكمان,hope,faith
ابتزاز,رشوة,هموة,ألتزاز,bribe,blackmail
ابن,بنت,يكت,مجن,daughter,son
ابن شقيق,حفيد,كبيد,مجن شقيق,grandson,nephew
اتحاد,مستعمرة,مستعلفة,اتورد,colony,federation
اتفاق,عقد,اغد,كوفاق,contract,agreement
اتهام,شكوى,شكفا,علهام,complaint,accusation
احتفظ,معلق,معات,احاحظ,hold,keep
اختبار,تجربة - قام بتجارب,تجربة  قام بتحمرب,بيتبار,experiment,test
اختطف,خطف,يوف,بيتطف,kidnap,abduct
اختفاء,الموت,الزات,بيتفاء,death,disappearance
اختيار,خيار,وهار,بيتيار,choice,option
اخر النهار,ليل,سنل,اخر الصلار,night,evening
اذهب,أدخل,أدطف,نلهب,enter,go
ارتباك,فوضى,فواك,اردراك,chaos,confusion
ارتفاع,وزن,آنن,اريساع,weight,height
اركب,قائد,قاجى,ارـك,drive,ride
استبدل,يستبدل,وكتبدل,اسبادل,replace,substitute
استثمار,المالية,الؤولية,استثدير,finance,invest
استدارة,منعطف _ دور,منعطف بأدور,اسوبارة,turn,rotate
استراحة,تحطيم,تحنجم,استركية,smash,break
استعمال,تطبيق,شعبيق,استعيشل,apply,use
استمر,تقدم,تقوك,اسوفر,proceed,continue
اشخاص,عدد السكان,عداطالسكان,نفخاص,population,people
اطرش,أعمى,أعجو,خررش,blind,deaf
اعترف,يعترف,مخترف,اعطيف,admit,confess
اعجاب,أكثر تسطحا,بطثر تسطحا,نفجاب,flatter,impress
اعمال,صناعة,تطاعة,يكمال,industry,business
اعمال صيانة,الخدمات,الذهمات,اعماؤهصيانة,service,maintenance
افتراض,خاتمة,خاذبة,افترـل,conclusion,assumption
اكتب,اقرأ,اقظف,اكاش,read,write
اكتمال,المجموع,الللموع,عدتمال,total,complete
اكتوبر,سبتمبر,سبتمزج,يوتوبر,september,october
الآب,أم,ld,الخه,mother,father
الأبوين,الكبار,الظهار,السووين,adult,parent
الأحد,يوم السبت,يوحيالسبت,الشدد,Saturday,Sunday
الأدرينالين,هرمون,ضحمون,الأدرينافذن,hormone,adrenaline
الأسرة,عشيرة - قبيلة,عشيركل قبيلة,العورة,clan,family
الأسفل,أعلى,أعدن,الأساع,top,bottom
الأسلاك,كابل,كارم,الأسيدك,cable,wire
الأصفر,أحمر,كامر,التأفر,red,yellow
الأقمار الصناعية,رادار,احدار,الأقمار الشباعية,radar,satellite
الأكسجين,هواء,هودي,الأكأمين,air,oxygen
الأمة,بلد,غاد,الداة,country,nation
الأمور المالية,الخدمات المصرفية,الخدمادزالمصرفية,الأمور المالتك,banking,financial
الأنف,فم,rt,الاصف,mouth,nose
الأهمية,ذو قيمة,رخ قيمة,الجذمية,valuable,important
الإتصال,اتصل,اتكم,الحسصال,contact,connection
الإجمالية,نشر,يطر,البأمالية,private,privacy
الإخبارية,قناة,تثاة,التدبارية,channel,news
الإساءة,إهانة,حجانة,البلاءة,insult,offend
الإشارة,تكرر,تكيط,الرسارة,frequency,signal
الإيرادات,ربح,اضح,الإيراحلت,profit,income
الاتصالات,التنقل,التنسي,الكوصالات,navigation,communication
الاخير,أول,اطل,الأبير,first,last
الارسال,المستشعر,المستشلع,الارطول,sensor,transmitter
الانسان,رجل,اضل,الانوين,man,human
الانسجة,جلد,لود,الانرثة,skin,tissue
البديهة,غريزه,غرئده,البدفحة,instinct,intuition
البرتقالي,لون أخضر,لوحظأخضر,البركاالي,green,orange
البرد,الحار,القرر,الــد,hot,cold
البشع,مقزز,مقـس,الزيع,digusting,ugly
البضائع,حمل,لسل,الإئائع,load,cargo
البطني,العمود الفقري,العمود الفضتي,الكرني,spinal,abdominal
البول,دم,عك,المزل,blood,urine
البيسبول,ملعب,تجعب,البينقول,stadium,baseball
التجربة,سمع,اصع,التجيئة,hearing,trial
التحقيق,يختبر,يخوفر,التحانق,examine,investigate
التحليلات,تشريح الجثة,تشريتـالجثة,التحضرلات,autopsy,analysis
التعليم,الصحة,الأصة,التعسلم,health,education
التقليديين,عصري,تهري,العمليديين,modern,traditional
التلفاز,مذياع,اكياع,التلكهز,radio,television
التمويل,تبرع,تبلو,التمجال,budget,funding
التوقيع,ختم,roم,التوفزع,stamp,signature
الثقة,احترام,ينترام,الغرة,respect,confidence
الجحيم,جنة,ئقة,الخجيم,paradise,hell
الجراحة,العمل,المؤل,الرواحة,operate,surgery
الجيش,مدني,أفني,المضش,civil,military
الحاسوب,البرمجيات,البرأكيات,الحاديب,software,computer
الحب,يكره,باره,التغ,hate,love
الحشرات,العنكبوت,الاركبوت,الأضرات,spider,insect
الحضارة,حضاره,آناره,النكارة,culture,civilization
الحفاظ,الحفاظ على,الحفاظجيلى,الحفخد,preserve,maintain
الخريف,الخريف,الزييف,المثيف,spring,autumn
الخصم,العدو,النزو,الشبم,enemy,opponent
الدفاع,يحمي,هامي,الزااع,protect,defend
الذي - التي,ماذا او ما,ماذا ابضما,الحز  التي,what,that
الرأسمالية,فوضى سياسية,فوضىكاياسية,الرأيرالية,anarchy,capitalism
الراكون,سنجاب,سنونب,الراهمن,squirrel,raccoon
الرجل الوطواط,سوبرمان,ختبرمان,الرجإحالوطواط,superman,batman
الرد,إجابه,ببابه,الوط,answer,reply
الرسمية,بشكل رسمي,بشكلعبسمي,الحومية,officially,official
الرياضيات,الفيزياء,الفيعباء,العداضيات,physics,mathematics
الساموراي,النينجا,الجزنجا,السامولسي,ninja,samurai
السباحة,يغرق,يغنو,الفضاحة,drown,swim
السترة,قميص,قمثه,الستغض,shirt,jacket
السجن,ضربة جزاء,ضرتك جزاء,الشقن,penalty,imprisonment
السجن,خلية - زنزانة,رفية  زنزانة,الشقن,cell,prison
السعر,القيمة,العلمة,الاطر,value,price
السلطة,الاختصاص القضائي,الاخخلاص القضائي,السلمت,jurisdiction,authority
السماوية,سماء,خفاء,السميكية,sky,heavenly
السمو,جلالة,يزالة,الاجو,majesty,highness
السيارات,مركبة,مرغية,التحارات,vehicle,car
الشخصية,حرف,تشف,الغوصية,character,personality
الشريان,الوريد,الرييد,الشركتن,vein,artery
الشغل,وظيفة,هـيفة,اليزل,job,work
الشمس,القمر,اللكر,الميس,moon,sun
الشيوعي,عنصري,عندقي,الشيلسي,racist,communist
الصعب,قاس,ؤوس,التذب,tough,hard
الصمت,صامتة,صازجة,الظرت,silent,silence
الضغط,نبض,بفض,السدط,pulse,pressure
الطريق السريع,طريق,طرتم,الطريقطرلسريع,road,highway
الطول,بحجم,بحاد,الإقل,size,length
العالمية,دولي,وقلي,العالمحت,international,world
العبارة,قاموس,قالكس,العبيدة,dictionary,phrase
العنصر,الماراثون,المارائـن,الخرصر,marathon,race
الغربي,الجنوبي,الجنأتي,الإعبي,southern,western
الغلاف الجوي,بيئة,بيدل,الفطاف الجوي,environment,atmosphere
الفائز,الخاسر,الخاـي,الفاعش,loser,winner
الفتيات,أولاد,أوصلد,الأشيات,boys,girls
الفجوة,الكراك,الفواك,الكذوة,crack,hole
الفراولة,موز,رتز,الفرجيلة,banana,strawberry
الفرنسية,إنجليزي,إنجلاطي,الفرضحية,english,french
القسوة,شرير,جزير,القسائ,evil,cruelty
القطن,الحرير,الحركا,اليشن,silk,cotton
القفز,تسلق,تستغ,الجهز,climb,jump
القوات البحرية,البحرية,الدفرية,البنات البحرية,marine,navy
الكبد,الكلى,الإرى,التند,kidney,liver
الكلاسيكية,عادي,عاون,الكلاسحمية,typical,classic
اللحظة,ثانيا,ضعنيا,اللحنا,second,minute
الم,معاناة,معانفر,يكم,suffering,pain
المؤلفات,فن,غل,المؤامات,art,literature
المالك,مستأجر,مساءجر,الأسلك,tenant,landlord
المحترفين,الهواة,المثاة,المحترعون,amateur,professional
المحتمل,يمكن,تاكن,الأهتمل,maybe,probably
المحتمل أن,احتمالا,احاتالا,المحتمل سف,probability,likely
المحتوى,يحتوي,يحبعي,المحنتى,contain,content
المحقق,وكيل,قريل,المحأت,agent,detective
المحيط الأطلسي,المحيط الهادئ,المحيطيحلهادئ,المحيط الأننسي,pacific,atlantic
المخدرات,الكحول,البخول,الأندرات,alcohol,drug
المدعي العام,محامي,أخامي,المدعيلنلعام,lawyer,prosecutor
المستثمر,مصرفي,مصتدي,المسبقمر,banker,investor
المعرفه,خبرة,غلرة,المعسيه,experience,knowledge
المفترس,ضحية,جبية,اليسترس,prey,predator
الممثل,مؤلف,مؤتل,المملج,author,actor
المنتوج,ماركة,ماجية,الثبتوج,brand,product
المنقذ,بطل,ضـل,المنغو,hero,savior
الموقت,مفجر,لأجر,المونن,detonator,timer
الناخب,مرشح,مرلغ,الناrd,candidate,voter
النصب والاحتيال,مؤامرة,أقامرة,النصإكوالاحتيال,conspiracy,fraud
النظام,شبكة الاتصال,شبكةجدلاتصال,التنام,network,system
النمل,نحلة,مولة,اليجل,bee,ant
النموذج المبدئي,نموذج,إدوذج,النموذروالمبدئي,model,prototype
الهيروين,الكوكايين,التلكايين,الهيعيين,cocaine,heroin
الوادي,صحراء,ركراء,الواقب,desert,valley
الوزارة,السفارة,النمارة,الكبارة,embassy,ministry
الوقود,غاز,نحز,الصرود,gas,fuel
اليونانية,رومان,وجمان,اليوتمنية,roman,greek
امرأة,أرملة,أرعبة,امصية,widow,woman
انتخاب,الحملة الانتخابية,الحملة الانتلربية,اندياب,campaign,election
انتصاب,النشوة النشوة,النشوة النأتة,تعتصاب,orgasm,erection
انسجام,الرصيد,الدليد,انفتام,balance,harmony
انفجار,هزة أرضية,كـة أرضية,تعفجار,earthquake,explosion
انهيار,يقع,بـع,تبهيار,fall,collapse
بؤس,فقر,لشر,غـس,poverty,misery
باب,نافذة او شباك,نافذة اوراباك,اسب,window,door
بابا,اخو الام,اخنشالام,مصبا,uncle,dad
بارد,دافئ,دارغ,بالآ,warm,cool
باستمرار,دائما,داءنا,باستيطار,always,constantly
باع,يشترى,سأترى,انع,buy,sell
بالفشل,نجاح,بفاح,بالفظف,success,failure
بالكامل,إطلاقا,إطانقا,بابرامل,absolutely,completely
بحار,القرصان,القرحون,مقار,pirate,sailor
بحيرة,نهر,كتر,أثيرة,river,lake
برنامج,التقويم,الأنويم,برناسب,calendar,schedule
برنامج,المشروع,المشتفع,برناسب,project,program
برهنة,وقفة احتجاجية,وقفة اثلجاجية,بررحة,protest,demonstration
بروتوكول,القاعدة,القاونة,بروتسعول,rule,protocol
بسرعة,ببطء,ببـئ,بسماة,slowly,quickly
بسرعة,بطيء,اجيء,بسماة,slow,fast
بسيط,ببساطة,ترساطة,بسثر,simply,simple
بشدة,ثقيل,كشيل,لودة,heavy,heavily
بشكل غير متوقع,فجأة,تبأة,بشكلضرير متوقع,suddenly,unexpectedly
بصلة,ثوم,ـهم,فولة,garlic,onion
بصمة,الحمض النووي,الحمننالنووي,بصفق,dna,fingerprint
بطة,بجعة,بجلس,شية,goose,duck
بطولة,منافسة,منافدى,أكولة,competition,championship
بعقب,الحمار,الحميل,بعشا,ass,butt
بعيد,قرب,اتب,فليد,near,far
بقوة,قطعا,شجعا,ابوة,firmly,strongly
بلاستيك,يبني,سلني,بلاسحبك,cement,plastic
بناء,برج,لوج,تفاء,tower,building
بندقية,بندقية,بنيحية,بنتهية,rifle,gun
بوابة,منفذ,منتع,بوبية,portal,gate
بوسطن,واشنطن,واشنئم,بووكن,washington,boston
بوضوح,بوضوح,بوزنح,بومهح,clearly,obviously
بيان,تعليق,تعاحق,اخان,comment,statement
بيرة,يشرب,لأرب,بيجا,drink,beer
بيضة,عش,هض,اخضة,nest,egg
بيولوجي,المواد الكيميائية,المواد الكثديائية,بيولبلي,chemical,biological
تأتي,يصل,تغل,يستي,arrive,come
تأثير,تأثير,تأتور,تأتور,influence,effect
تأجير,توظيف,توكلف,تأضور,hire,rent
تأكل,يطعم,يطرا,تأرح,feed,eat
تؤكد,التأكيد,التأيـد,سعكد,confirmation,confirm
تاجر,تجاري,ملاري,تابو,commercial,merchant
تجد,بحث,وجث,ملد,search,find
تجلس,يقف,قحف,مللس,stand,sit
تجميد,إنصهار,إنبعار,تجاود,melt,freeze
تجهيز,معدات,إحدات,تجكرز,equipment,equip
تحد,عقبة,فعبة,بدد,obstacle,challenge
تحدث,حديث,حددن,تحبق,talk,speak
تحديث,طازج,طاقا,تحولث,fresh,refresh
تحديد,يختار,كستار,تحولد,choose,select
تحسين,يتغيرون,يتخذرون,تحيهن,change,improvement
تحقق,التحقق من,التحققضأن,تحسع,check,verify
تحية,تهنئة,تهطنة,تحقك,congratulate,greet
تخريب,تجسس,تجمق,ثوريب,espionage,sabotage
تخطيط,تجهيز,ملهيز,تخلوط,preparation,planning
تخفيض السعر,مزاد علني,عباد علني,تخفيـهالسعر,auction,sale
تخلى,غادر,نحدر,تختب,leave,abandon
تخييم,النزهة,الابهة,انييم,picnic,camping
تدليك,اليوغا,اليوءك,عقليك,yoga,massage
تدمير,خلق,تنق,تدفكر,creation,destruction
تذكر,ننسى,ننمس,تذصل,forget,remember
تراب,رماد,أزاد,عصاب,ash,dust
ترتيب,أمر,ضطر,ترثقب,command,order
تركيز,التركيز,الالكيز,ترتجز,focus,concentrate
تزود,يمكن,تاكن,طبود,enable,provide
تسجيل,سجل,رقل,تسرسل,record,recording
تسربت,كبير,طوير,سأربت,big,huge
تسويق,إعلان,إعجين,تسألق,advertising,marketing
تصويت,غالبية,إرلبية,تصذات,majority,vote
تطابق,المسابقة,اليقابقة,قرابق,tournament,match
تطوير,تقدم,تقوك,تطذار,progress,development
تظل,البقاء,الثلاء,ـزل,stay,remain
تعاطف,الصبر,الونر,تعفيف,patience,compassion
تعذيب,عذاب,أساب,تعساب,torment,torture
تعريف,مفهوم,مفجيم,بشريف,concept,definition
تفعيل,اثار,عجار,بتعيل,trigger,activate
تفهم,تدرك,بنرك,يعهم,realize,understand
تقتيش,فحص,نضص,تقلدش,examination,inspection
تقرير,شجاعة,فحاعة,تقظار,courage,determination
تقنية,طريقة,يهيقة,مينية,method,technique
تقييم,الملاحظة,الملاحقا,تقلقم,observation,evaluation
تمثال,نصب,اوب,تمننل,monument,statue
تمويل,ماليا,مافها,تمرحل,financially,financing
تنزه تجول,قيلولة,صالولة,نجزه تجول,nap,stroll
تنس,جولف,جوائ,سدس,golf,tennis
تنظم,يرتب,يرمو,تنبز,arrange,organize
تنفس,صمام,حوام,تنجت,valve,ventilation
تواصل اجتماعي,المجتمع,المجلاع,تواصكواجتماعي,society,community
توقع,انتظر,انرور,توزم,wait,expect
ثروة,كنز,يغز,رهوة,treasure,wealth
ثري,مسكين,مسامن,إزي,poor,rich
ثعبان,الفيروس المتنقل,الفيروييالمتنقل,ذهبان,worm,snake
ثلاثة,واحد,لتحد,خساثة,one,three
ثلاثي,مزدوج,مزلنج,طعاثي,double,triple
ثلج,مطر,يزر,سـج,rain,snow
جائزة,نوبل,نورد,جاؤية,nobel,prize
جائزة,علاوة,علمىة,جاؤية,bonus,reward
جاري الكتابة,قراءة,قردرة,جارياملكتابة,reading,writing
جالاكسي,كون,اتن,جالالاي,universe,galaxy
جامعة,كلية,يكية,جااطة,college,university
جاي,مثليه,تصليه,ثتي,lesbian,gay
جبل,تل,زة,حزل,hill,mountain
جبنه,رغيف الخبز,رغيفرضلخبز,طونه,bread,cheese
جثة,الجسم,الحشم,ذوة,body,corpse
جدا,الى ابعد حد,البضابعد حد,ثها,extremely,very
جدة,جد,طل,إقة,grandfather,grandmother
جذاب,مريح,مرحل,إغاب,comfortable,pleasant
جذاب,حلو,طبو,إغاب,sweet,cute
جذب,اهتمام,إجتمام,إغب,attention,attract
جريدة,شرط,تكط,جرقية,article,newspaper
جريمة,سين,ائن,جرولة,sin,crime
جزء,عامل,ألمل,ديء,factor,element
جسدي - بدني,الجنس,الحسس,جسدي جادني,sexual,physical
جسيم,شيء,نوء,ثقيم,matter,particle
جمال,سحر,اعر,افال,charm,beauty
جمجمة,عظم,دبم,جمقصة,bone,skull
جملة,كلمة,كلاك,غولة,word,sentence
جمهور,يحشد,يححم,وإهور,crowd,audience
جميل,جميلة,جمدية,وإيل,pretty,beautiful
جميل,رائع,راقظ,وإيل,wonderful,fantastic
جهاز,رقاقة,تلاقة,حضاز,chip,device
جواز سفر,تذكرة,تذضية,كراز سفر,ticket,passport
جودة,كمية,مزية,جونه,quantity,quality
جوعان,متعبه,متفره,جوبين,tired,hungry
جولي,روميو,روكرو,تسلي,romeo,juliet
جوهرة,الماس,النيس,كرهرة,diamond,jewel
جيش,الفيلق,التحلق,تبش,legion,army
حادثة,حادثة,حارحة,حاـرة,incident,accident
حافظة مسافة,أوركسترا,أوافسترا,حافظسامسافة,orchestra,band
حالة,الفيدرالية,الفيدرالطا,حاته,federal,state
حالة طوارئ,عاجل,عاية,حالة طواعن,urgent,emergency
حبل,سلسلة,سلصية,عول,chain,rope
حبوب منع الحمل,لوح,ماح,حبوب منعاقلحمل,tablet,pill
حدث,ظاهرة,ظارعة,طلث,phenomenon,event
حذاء,حذاء طويل,حذاءفرويل,عضاء,boot,shoe
حساب,عدد,مثد,سواب,count,calculate
حساس,دقيق او حساس,يظيق او حساس,سواس,delicate,sensitive
حصاة,صخر,ـار,أجاة,rock,stone
حصان,حمار,شرار,زيان,donkey,horse
حصيلة,نتيجة,نتقاة,هايلة,result,outcome
حضن,قبلة,اصلة,رلن,kiss,hug
حفظ,إنقاذ,إنفصذ,ذكظ,rescue,save
حفل,استقبال,اسأطبال,أثل,reception,party
حفلة موسيقية,جولة,زالة,حفلة موسقضية,tour,concert
حقا,فعلا,جولا,قدا,actually,really
حقنة,إبرة,تمرة,دانة,needle,syringe
حقنة,جرعة,طنعة,دانة,dose,injection
حقيبة سفر,حقيبة,حقحية,حقيبة اتر,briefcase,suitcase
حقيقة,صحيح,ركيح,تييقة,TRUE,real
حقيقي,متفائل,متفاـن,حقفري,optimistic,realistic
حكومة,الادارة,الوسارة,حكبلة,administration,government
حلف,أقسم,أقفك,تيف,swear,oath
حلقة,مسلسل,مساضل,حلنه,series,episode
حلم,كابوس,اقبوس,طبم,nightmare,dream
حمة,سعال,قضال,مـة,cough,fever
حمل,ولادة,تقادة,صال,birth,pregnancy
حميم,شخصي,اثصي,صايم,personal,intimate
حول,خارج,خاكس,دفل,out,about
حول,مستدير,مسكرير,دفل,round,around
حيوان,وحش,هيش,صلوان,beast,animal
خائن,الجاسوس,الجاينس,خاقش,spy,traitor
خادم,شريحة,شرردة,خاهر,slave,servant
خادمة,مربية,مرادة,خازية,nanny,maid
خارجي,داخلي,دارمي,خالسي,internal,external
خاطئة,مزورة,شهورة,خاهشة,fake,FALSE
خبرات,ثانوي,ثااغي,أخرات,secondary,primary
خد,شفة,تظة,سق,lip,cheek
خرطوم,مضخة,مضين,خرضخم,pump,hose
خريطة,بوصلة,بودمة,خرصية,compass,map
خزانة,خزانة,يثانة,فمانة,cabinet,closet
خطأ,خطأ,جرأ,علأ,error,mistake
خطبة,خطاب,علاب,تهبة,speech,sermon
خطر,مخاطرة,مخخيرة,كتر,risk,danger
خطير,محفوف بالمخاطر,محفوعصبالمخاطر,علير,risky,dangerous
خفض,زيادة,حصادة,جـض,increase,reduce
خفيفة,الظلام,الدعام,لآيفة,darkness,light
خلاف,نزاع,كساع,محاف,conflict,dispute
خليط,مزيج,مزصه,خلوق,combination,mixture
خوارق,خارق للعادة,خارقنخلعادة,نطارق,supernatural,paranormal
خيالي,واقع,واسب,وهالي,reality,fantasy
خيبة الامل,مفاجئة,مفاجبك,خيبةبجلامل,surprise,disappointment
داكن,ظل,طم,داثي,shadow,dark
دراسة,ابحاث,مجحاث,درعدة,research,study
درجة الحرارة,الحرارة,التمارة,درجة الحراين,heat,temperature
درع,درع,تجع,زوع,shield,armor
دستور,قانون,كونون,دسبير,law,constitution
دفن,حفر,خار,ورن,dig,bury
دكتور جامعى,عميد,غريد,دكتوادجامعى,dean,professor
دليل,دليل,اصيل,اصيل,evidence,proof
دماغي,مخ,ـذ,دمكبي,brain,cerebral
دهان,فنان,بزان,نقان,artist,painter
دوره المياه,دش,هؤ,دورهمقلمياه,shower,bathroom
دورية,حارس,حاكا,تظرية,guard,patrol
دولار,جنيه,عتيه,دوقبر,pound,dollar
دير,دار الأيتام,داإذالأيتام,وار,orphanage,convent
ديرصومعة,معبد,معنر,ديرصتكعة,temple,monastery
ديسمبر,شهر نوفمبر,شهر نوتربر,ديلتبر,november,december
ديك رومى,دجاج,كضاج,دينورومى,chicken,turkey
ديمقراطية,الحريه,اليقيه,ديإيراطية,freedom,democracy
دين,فلسفة,فلللة,بقن,philosophy,religion
ديناميت,البارود,الباكسد,كرناميت,gunpowder,dynamite
دينغ,بينج,فلنج,ديهم,ping,ding
ذئب,يتحمل,يتتصل,ولب,bear,wolf
ذراع,يسلم,يستغ,أأاع,hand,arm
ذروة,أخير,أختب,وآوة,final,ultimate
ذريعة,الدافع,التجفع,وزيعة,motive,alibi
ذكي,ذكي,ئلي,غذي,smart,intelligent
ذو قيمة,استحق,اسغلق,ذوتريمة,deserve,worthy
رؤية,وحي,سبي,واية,revelation,vision
رئيس,إدارة,صوارة,كـيس,manager,boss
رئيس,المستشار,الاكتشار,كـيس,chancellor,president
رائحة,المذاق,الشماق,راحطة,taste,smell
رائعة,ممتاز,ممميز,راظمة,excellent,great
رائعة حقا,بديع,اقيع,رائعة لتا,impressive,amazing
رابعا,الثالث,الثاdn,راأنا,third,fourth
راتب,راتب تقاعد,راتبلدقاعد,رااش,pension,salary
راقب,نظرة,تصرة,راهد,look,watch
ربطة عنق,ربط,طوط,ربطة عهه,bind,tie
ربع,نصف,فوف,شعع,half,quarter
رحلة طيران,هبوط,غطوط,رحلة طفنان,landing,flight
رحمة,مغفرة,مغرطة,لخمة,forgiveness,mercy
رخيص,غالي الثمن,غالي اسومن,doيص,expensive,cheap
رسالة,برقية,بروهة,عبالة,telegram,letter
رسالة,تحذير,تححفر,عبالة,warning,message
رشفة,يسقط,يسنع,همفة,drop,sip
رصاصة,عيار,أبار,thاصة,caliber,bullet
رعاة البقر,روديو,روسةو,رعاة البيه,rodeo,cowboy
رعد,برق,ـاق,شرد,lightning,thunder
رغبة,رغبة,قوبة,رغري,desire,wish
رقبة,حلق,تزق,عوبة,throat,neck
رقص,راقصة,رايكة,سجص,dancer,dance
ركبة,كتف,نوف,اقبة,shoulder,knee
رمز,علم,خطم,دلز,flag,symbol
رمل,طين,إضن,لفل,mud,sand
رهيب,كريه,دييه,ثريب,terrible,horrible
روب,سرقة,ادقة,انب,steal,rob
روح,روح,وجح,وجح,soul,spirit
روما,قيصر,قيمد,وجما,caesar,rome
رومانسي,دراماتيكي,طااماتيكي,روماسمي,dramatic,romantic
ريادي,مليونير,لحيونير,رينـي,millionaire,entrepreneur
رياضة,هواية,رياية,ريشدة,hobby,sport
ريشة,مذيع الأخبار,مذيعتزلأخبار,ريمت,anchor,sail
زبدة,عسل,اءل,دهدة,honey,butter
زبون,صبور,لأور,فطون,patient,client
زجاجة,زجاج,ذباج,reاجة,glass,bottle
زعيم,عضو,اجو,ذنيم,member,leader
زفاف,الارتباط,السلتباط,stاف,engagement,wedding
زقاق,ركن,ــن,دزاق,corner,alley
زهرة,مصنع,مصزم,تصرة,plant,flower
زواج,طلاق,إقاق,تذاج,divorce,marriage
زوجة,الزوج,العشج,تاجة,husband,wife
زى موحد,شارة,أصرة,sc موحد,badge,uniform
سائق,راكب,رالص,سامض,passenger,driver
ساحة المعركة,الساحة,السانج,ساحة المضحكة,arena,battlefield
ساحر,سحر,اعر,ساخة,magic,wizard
ساحر,ملفت للانتباه,ملفت للانتشره,ساخة,attractive,charming
ساحرة,لعنة,ارنة,ساتنة,curse,witch
ساحل,شاطئ بحر,شاغر بحر,ساها,beach,coast
ساخر,سخرية,يسرية,ساهل,irony,ironic
ساخرة,ساذج,ساوغ,ساعاة,naive,cynical
سجاد,أرضية,أراضة,بعاد,floor,carpet
سحلية,ضفدع,ــدع,تظلية,frog,lizard
سخيف,سخيف,عذيف,جذيف,ridiculous,absurd
سرطان,ورم,طدم,سرحون,tumor,cancer
