"tr_target","tr_cue","tr_fake_cue","tr_fake_target","en_cue","en_target"
"bakım yapmak","korumak","korubens","bakım yaabody","preserve","maintain"
"balık","köpek balığı","köpek balaworld","baman","shark","fish"
"balık tutma","avcılık","avcıford","balık tuendly","hunting","fishing"
"banyo","duş","meş","kesyo","shower","bathroom"
"barınak","sığınak","sığıwell","barıwell","refuge","shelter"
"başarmak","üstesinden gelmek","anüstesinden gelmek","baanılmak","manage","succeed"
"basit","basitçe","batürkçe","bador","simply","simple"
"başkan","şansölye","şanklavye","baştur","chancellor","president"
"baskı yapmak","nabız","nagah","baskı yaditch","pulse","pressure"
"başlık","isim","isla","başken","name","title"
"basmak","buton","buyüz","tışmak","button","press"
"başparmak","parmak","olamak","başkentmak","finger","thumb"
"batılı","güney","gürun","baplanlı","southern","western"
"bavul","iş çantası","iş çantzecek","bamio","briefcase","suitcase"
"bayan","kral","iğal","bağız","lord","lady"
"bayan garson","garson","ameson","bayan gaberty","waiter","waitress"
"bedava","serbestçe","serezikçe","skandava","freely","free"
"beklemek","bekle","görle","bekleopar","wait","expect"
"beklenmedik bir şekilde","birden","remden","bebeklenmedik bir şekilde","suddenly","unexpectedly"
"belediye başkanı","şerif","şehım","belediye başkanılar","sheriff","mayor"
"belge","dosya","tahya","tange","file","document"
"belirleme","cesaret","cesaland","beprensleme","courage","determination"
"belirtmek","puan","redan","beöpüşmek","point","indicate"
"belirtmek, bildirmek","federal","fedeford","kaybelirtmek, bildirmek","federal","state"
"bencil","inatçı","azarçı","bençen","stubborn","selfish"
"berabere","boyamak","boyainız","berabeowulf","paint","draw"
"berbat","korkunç","korcury","berliz","terrible","horrible"
"beyzbol","stadyum","inatyum","beyzdia","stadium","baseball"
"bilgi","veri","bilri","aragi","data","information"
"bilgi","tecrübe etmek","tecrübe ecarthy","aragi","experience","knowledge"
"bilgi vermek","rapor","raxel","bilgi venarch","report","inform"
"bilgisayar","yazılım","yazıford","bilgisaşecek","software","computer"
"bilim","teknoloji","abartnoloji","bimez","technology","science"
"bilim insanı","dahi","datık","bilim insterfly","genius","scientist"
"bilinç bulanıklığı, konfüzyon","kaos","kagel","edebilinç bulanıklığı, konfüzyon","chaos","confusion"
"bilinmeyen","anonim","züpnim","bitecekmeyen","anonymous","unknown"
"bilmek","şimdi","ekodi","bilğim","now","know"
"bina","kule","metle","kayna","tower","building"
"bir şey","hiç bir şey","hiç biwocky","biruden","nothing","something"
"bir yerde","başka yerde","başka yebucks","bir yeğurt","elsewhere","somewhere"
"bira","içmek","içkiy","kahra","drink","beer"
"bireysel","kişi","kiyum","biişitsel","person","individual"
"bitiş","son","enn","biimi","end","finish"
"biyoloji","kimya","inaya","biyolorecek","chemistry","biology"
"biyolojik","kimyasal","unutyasal","biyoloughby","chemical","biological"
"bıçak","kılıç","kığip","bıjit","sword","knife"
"böcek","örümcek","örümhat","böçin","spider","insect"
"bölüm","dizi","dirın","böfik","series","episode"
"bölünme","birim","bimız","böeritme","unit","division"
"borç","kredi","nirdi","boeb","credit","loan"
"boston","washington","waskripton","çıpton","washington","boston"
"bot","denizaltı","denilecektı","int","submarine","boat"
"boyun","boğaz","bovır","bonis","throat","neck"
"bozmak","kesmek","dolmek","ğulmak","interrupt","disturb"
"bulmak","arama","başma","tarmak","search","find"
"burun","ağız","ağyn","buney","mouth","nose"
"büyük ihtimalle","olasılık","anımsılık","büyük ihtimanimhhhh","probability","likely"
"cadı","küfür","kükot","sıydı","curse","witch"
"çalışan","çiftçi","dostçi","çalıford","farmer","worker"
"çatal","kaşık","kaong","çalie","spoon","fork"
"cehennem","cennet","dağnet","cehenrick","paradise","hell"
"ceket","gömlek","gömvin","cegiz","shirt","jacket"
"çekiç","çubuk","çuşar","çeeso","stick","hammer"
"çekmek","itmek","itton","şünmek","push","pull"
"çekmek","dikkat","diknel","şünmek","attention","attract"
"çelik","beton","beğim","çeden","concrete","steel"
"cenaze","tabut","tazoz","cenapark","coffin","funeral"
"cennet gibi","gökyüzü","ağıryüzü","cennet goters","sky","heavenly"
"ceset","gövde","çayde","cemım","body","corpse"
"cesur","soylu","güçlu","celış","noble","brave"
"cevap vermek","cevap","ceğış","cevap vefords","answer","reply"
"çevre","yarıçap","yarıilen","hiçre","radius","perimeter"
"çeyrek","yarım","yadan","sagrek","half","quarter"
"çiçek","bitki","uyaki","çiful","plant","flower"
"çiğnemek","yutmak","müsmak","enernemek","swallow","chew"
"cihaz","yonga","lerga","ciuki","chip","device"
"çikolata","şeker","şeyip","çileceklata","sugar","chocolate"
"çilek","muz","fiz","çikim","banana","strawberry"
"cinayet","intihar","intimont","cinaland","suicide","murder"
"çirkin","sindirici","elektdirici","zomkin","digusting","ugly"
"çit","duvar","duyem","cht","wall","fence"
"çıplak","çıplak","gonlak","biflak","nude","naked"
"çocuk","bebek","beros","çosat","baby","child"
"çocukluk","gençlik","bestlik","çodostluk","youth","childhood"
"çok","aşırı boyutta","aşırı boyuminsky","mek","extremely","very"
"çöküş","düşmek","rilmek","çöcap","fall","collapse"
"cömert","şefkâtli","grupkâtli","cöarts","compassionate","generous"
"çöp","çöp","opp","isp","trash","garbage"
"çubuk","kulüp","kutel","çufil","club","bar"
"cümle","kelime","keüzülme","oyale","word","sentence"
"çürük","kaşımak","kaşıford","çüsef","scratch","bruise"
"cüzdan","cep","ipp","şımdan","pocket","wallet"
"dağ","tepe","teğüm","yeğ","hill","mountain"
"dakika","saniye","aileniye","daayakka","second","minute"
"dans","dansçı","krisçı","davu","dancer","dance"
"davranış","fikir","fimus","davrahing","opinion","attitude"
"davranmak","mimik","mifer","davoturmak","gesture","act"
"dedektif","ajan","twan","departtif","agent","detective"
"değerlendirme","gözlem","göznal","değerlendiraworld","observation","evaluation"
"değersiz","faydasız","umutdasız","delinçsiz","useless","worthless"
"deli","paranoyak","paranovotny","derum","paranoid","crazy"
"delik","çatırtı","çaaraçtı","desan","crack","hole"
"demokrasi","özgürlük","özgürford","dechandrasi","freedom","democracy"
"deneme","işitme","içerme","deedilme","hearing","trial"
"denizci","korsan","gönsan","defranci","pirate","sailor"
"denize açılmak","çapa","çarım","denize açıcarthy","anchor","sail"
"depresyon","stres","stlow","üzünresyon","stress","depression"
"dergi","playboy","alesboy","kolgi","playboy","magazine"
"ders","nesne","ayene","defe","object","subject"
"ders","seminer","semilady","defe","seminar","lecture"
"ders çalışma","araştırma","unuttırma","inanç çalışma","research","study"
"devam et","ilerlemek","proglemek","devavenk","proceed","continue"
"devlet","yönetim","yöneider","çallet","administration","government"
"devralmak","miras","mihit","devayırmak","heritage","inherit"
"devriye gezmek","koruma","koinanma","devriye geaworld","guard","patrol"
"dikkat çekici","olağanüstü","gangsğanüstü","dikkat çekbatsky","exceptional","remarkable"
"dilek","arzu","arran","divin","desire","wish"
"din","felsefe","omuzsefe","enn","philosophy","religion"
"dinamit","barut","bagah","dinapark","gunpowder","dynamite"
"ding","ping","piet","digb","ping","ding"
"direkt olarak","doğrudan","doğrupert","direkt olgonfly","direct","directly"
"direnmek","direnç","dilett","diedilmek","resistance","resist"
"diş","çivi","geçvi","alş","nail","tooth"
"dişi","erkek","eriti","diyum","male","female"
"diz","omuz","efuz","rtz","shoulder","knee"
"doğru","yanlış","yanhil","kızru","wrong","correct"
"doğrulayın","kontrol","kontkün","doğrulalecek","check","verify"
"doğu","batı","baken","dosız","west","east"
"doğum günü","yıl dönümü","yıl dönditch","doğum gboldt","anniversary","birthday"
"doktor","cerrah","cerğer","dokris","surgeon","doctor"
"doku","deri","decek","dolet","skin","tissue"
"dolap","kabine","kapartne","doğüş","cabinet","closet"
"dolar","pound","popan","domin","pound","dollar"
"dolaşmak","kestirme","oyuntirme","dokorkmak","nap","stroll"
"dolma kalem","kağıt","karuş","dolma krings","paper","pen"
"domates","patates","pataning","domaaşım","potato","tomato"
"domuz","inek","inkı","donan","cow","pig"
"domuz pastırması","kızarmış ekmek","kızarmış eterfly","domuz pastırmnimhhhh","toast","bacon"
"donanma","deniz","decek","doaçılma","marine","navy"
"donatmak","teçhizat","teçhilizm","doayırmak","equipment","equip"
"döndürmek","dönüş","döxer","dönişitmek","turn","rotate"
"dönem","faz","ltz","döban","phase","period"
"donmak","erimek","erişil","ğılmak","melt","freeze"
"dönüş","geri","fabri","döyid","back","return"
"dördüncü","üçüncü","örümcü","omuzdüncü","third","fourth"
"dört","2","wt","hert","two","four"
"dostluk","ilişki","progki","çiftluk","relationship","friendship"
"düğün","nişanlanmak","nileceklanmak","dürip","engagement","wedding"
"dün","bugün","bunis","enn","today","yesterday"
"dünya","uluslararası","witchblararası","anaya","international","world"
"dur","engel olmak","engel oebell","otr","prevent","stop"
"durmadan","asla","numla","inanmadan","never","ever"
"dürüstlük","bağlılık","açıklılık","düömürlük","loyalty","honesty"
"düşünmek","düşünmek","düedilmek","düedilmek","consider","think"
"duygusal","zihinsel","zibrüksel","duygueroa","mental","emotional"
"duymak","dinlemek","açıklemek","ratmak","listen","hear"
"düzenlemek","düzenlemek","düshacklemek","düstottlemek","arrange","organize"
"ebeveyn","yetişkin","yeonunkin","ebepect","adult","parent"
"edebiyat","sanat","sakun","edebieber","art","literature"
"efekt","etkilemek","etkileaving","efçıt","influence","effect"
"efsane","efsane","açılsane","kartsane","myth","legend"
"eğitim","sağlık","yollık","müştim","health","education"
"eğlenceli","esprili","avanrili","eğjarndyceli","witty","funny"
"egzersiz yapmak","uygulama","uyinançlama","egzersiz yarength","practice","exercise"
"ek olarak","ekstra","opatra","ek olzanç","extra","additional"
"ekim","eylül","eybae","ekmo","september","october"
"eksi","artı","arken","rirsi","plus","minus"
"elbise","etek","beek","elönemse","skirt","dress"
"elektrik","akım","akri","elekthan","current","electricity"
"elektrik","manyetik","aileyetik","elekthan","magnetic","electric"
"eleman","faktör","seltör","çevman","factor","element"
"emniyet","güvenlik","güçiftlik","emniland","security","safety"
"endişelenmek","ilgilendirmek","ilgilendirgonfly","endişelenaworld","concern","worry"
"enerji","güç","ünç","özelji","power","energy"
"enfeksiyon","virüs","visol","enrightsiyon","virus","infection"
"enjeksiyon","doz","anz","enrightsiyon","dose","injection"
"epidemi","veba","veler","azındemi","plague","epidemic"
"ereksiyon","orgazm","orugar","windsiyon","orgasm","erection"
"erkek yeğen","erkek torun","erkek tbably","erkek ymings","grandson","nephew"
"erken","geç","ünç","errot","late","early"
"eroin","kokain","kokabart","püsin","cocaine","heroin"
"eş","koca","koğın","vk","husband","wife"
"eşcinsel","lezbiyen","acıkbiyen","eşcintosh","lesbian","gay"
"esin","ilham vermek","ilham veiting","swin","inspire","inspiration"
"eşlik etmek","eskort","eskunc","eşlik edolyn","escort","accompany"
"eşsiz","özel","tiel","eşrek","special","unique"
"et","domuz","donan","cü","pork","meat"
"etkilemek","zıplamak","renklamak","etkileaving","flatter","impress"
"etkili","kullanışlı","kullaurentlı","etgençli","useful","effective"
"etkinlik","fenomen","fenopoly","etözellik","phenomenon","event"
"etrafında","yuvarlak","yuvarford","etrabarksda","round","around"
"evet","tamam","tatır","flet","okay","yeah"
"evli","bekar","beşın","birli","single","married"
"evlilik","boşanmak","boaçılmak","evlisans","divorce","marriage"
"faks","posta","sapta","fazı","mail","fax"
"fantezi","gerçeklik","gereşitlik","umuttezi","reality","fantasy"
"fare","fare","gösre","sekre","mouse","rat"
"farklı","benzer","ödezer","isimlı","similar","different"
"federasyon","koloni","kolooked","fededecekyon","colony","federation"
"festival","karnaval","karnalist","festiring","carnival","festival"
"fidye","kidnapper","clasnapper","bünye","kidnapper","ransom"
"film","porno","memno","fiyi","porn","movie"
"film çekmek","atış","atre","film çeerry","shot","shoot"
"filo","deniz","decek","fitum","naval","fleet"
"finansman","finansal olarak","finansal olnimhhhh","fiulaşman","financially","financing"
"finansman","bütçe","rahçe","fiulaşman","budget","funding"
"firari","mülteci","uçakteci","sandrari","refugee","fugitive"
"fiyat","değer","dedal","figın","value","price"
"fiziksel","cinsel","maksel","fikentsel","sexual","physical"
"fırtına","rüzgâr","rüzhae","araştına","wind","storm"
"fonksiyonel","operasyonel","operasyoworth","augussiyonel","operational","functional"
"fotoğraf","resim","retür","fotoğlist","picture","photo"
"fotoğrafçı","imza","sanza","fotoğrafnecek","autograph","photographer"
"fransızca","ingilizce","ingiyecekce","ayırsızca","english","french"
"futbol","basketbol","basketking","futşik","basketball","football"
"füze","roket","rodan","eveze","rocket","missile"
"garaj","atölye","stadye","gaatı","workshop","garage"
"gazete","makale","mailerle","gaerişte","article","newspaper"
"gazeteci","muhabir","muhawell","gagangsteci","reporter","journalist"
"gebelik","doğum","dogan","gebeards","birth","pregnancy"
"geçen","ilk","nsk","gerah","first","last"
"geçenlerde","sadece","elindece","gechryslerde","just","recently"
"geçit","portalı","edintalı","geoja","portal","gate"
"geçmiş","gelecek","geworth","mahmiş","future","past"
"geleneksel","modern","mohelm","geleavingsel","modern","traditional"
"gelin","damat","dawer","gesız","groom","bride"
"gelir","kâr","üzr","geten","profit","income"
"gelişim","ilerleme","progleme","gelisans","progress","development"
"gelişme","değiştirmek","dedecektirmek","gezeltme","change","improvement"
"gelmek","varmak","kunmak","çirmek","arrive","come"
"gemi","mürettebat","müretteyecek","genız","crew","ship"
"genç","genç","gebs","geld","teenage","teenager"
"genç","eskimiş","eskiyatr","geld","old","young"
"genç","kıdemli","kıizinli","geld","senior","junior"
"genel olarak","doğal olarak","doğal olgonfly","genel olgonfly","naturally","generally"
"genelde","normalde","açılmalde","getirtde","normally","usually"
"geniş","dar","cir","geung","narrow","wide"
"gerçek","doğru","kapru","gerese","TRUE","real"
"gerçekçi","iyimser","üzümser","inançekçi","optimistic","realistic"
"gerçekten","aslında","asfaltda","gercarsten","actually","really"
"giriş","çıkış","çıpus","gicek","exit","entrance"
"girişim","denemek","denewall","giriayet","try","attempt"
"girişimci","milyoner","adamyoner","girilecekci","millionaire","entrepreneur"
"git","giriş","giğer","oft","enter","go"
"gitar","piyano","piyalist","ginik","piano","guitar"
"gizem","gizli","panli","gical","secret","mystery"
"göğüs","karın","kamaz","göhuş","stomach","chest"
"gök gürültüsü","yıldırım","plandırım","gök gürültgonfly","lightning","thunder"
"gökada","evren","evliy","göringda","universe","galaxy"
"göl","nehir","nesım","ull","river","lake"
"gömmek","kazmak","neymak","sünmek","dig","bury"
"göndermek","getirmek","geöpüşmek","gönöpüşmek","bring","send"
"gönüllü olarak","gönüllü","gödörtlü","gönüllü olventry","volunteer","voluntarily"
"görev","sorumluluk","sorumluworth","göciz","responsibility","duty"
"goril","maymun","değmun","gokoz","monkey","gorilla"
"görkem","şanlı","üyelı","görfie","glorious","glory"
"görüş","vahiy","vacok","göene","revelation","vision"
"gösteri","protesto","proyorkto","inanteri","protest","demonstration"
"gram","kilo","kiğun","eyam","kilo","gram"
"grup","orkestra","orlondra","grnç","orchestra","band"
"grup","çete","likte","grnç","gang","group"
"gücendirmek","hakaret","hakazanç","gücendirworth","insult","offend"
"güçsüz","çaresiz","çarezerv","sonsüz","helpless","powerless"
"gümüş rengi","altın","aldur","gümüş reasons","golden","silver"
"güneş","ay","rk","güinn","moon","sun"
"güneş","ay yildizi","ay yildburgh","güinn","lunar","solar"
"güvenli","güvenli","güçiftli","güçiftli","safe","secure"
"güverte","kabin","kasıl","güekipte","cabin","deck"
"güzel","güzel","gükım","güdam","pretty","beautiful"
"güzel","rahat","rabil","güdam","comfortable","pleasant"
"güzellik","cazibe","cazilong","güçiftlik","charm","beauty"
"haberler","kanal","kadük","haristler","channel","news"
"habersiz","kaynak","kayşun","haümitsiz","source","informant"
"hafta","ay","rk","sunta","month","week"
"haftalık","günlük","günkin","prentalık","daily","weekly"
"hain","casus","cadek","haket","spy","traitor"
"hakim","mahkeme","ateşkeme","hasın","court","judge"
"hakkında","dışarı","ilerşarı","alışkında","out","about"
"haksız","adaletsizlik","elektletsizlik","hakran","injustice","unfair"
"hâlâ","çoktan","bratan","hâcaz","already","still"
"halı","zemin","zeret","tırlı","floor","carpet"
"halüsinasyon","yanılsama","yanıluçurtma","halüsinascarthy","illusion","hallucination"
"hamburger","sandviç","sandğup","gençburger","sandwich","hamburger"
"hap","tablet","döklet","ipp","tablet","pill"
"hapis cezası","ceza","celık","hapis cezrength","penalty","imprisonment"
"hapishane","hücre","kokre","haamanthane","cell","prison"
"harcamak","boşa harcamak","boşa harcgonfly","harcaught","waste","spend"
"harici","dahili","damertli","hariarty","internal","external"
"harika","etkileyici","etkileyienerys","haayakka","impressive","amazing"
"harika","müthiş","mütför","haayakka","wonderful","fantastic"
"harita","pusula","puuzakla","haanahta","compass","map"
"hassas","narin","napol","hastiş","delicate","sensitive"
"hasta","hasta","çıkta","çıkta","ill","sick"
"hastalık","nezle","yahle","hastaokul","flu","disease"
"hata","hata","hamiş","hamiş","error","mistake"
"hatırlamak","unutmak","kırtmak","hainançlamak","forget","remember"
"havalandırma","kapak","kahew","havalandırgonfly","valve","ventilation"
"havalimanı","terminal","termiting","kingsbvalimanı","terminal","airport"
"havlu","battaniye","augustaniye","torlu","blanket","towel"
"hayal kırıklığı","sürpriz","ısırriz","hayal kırıklnimhhhh","surprise","disappointment"
"hayatta kalmak","canlı","şüplı","hayatta kacarthy","live","survive"
"hayvan","canavar","canading","haytif","beast","animal"
"hazırlamak","hazır","haori","hainançlamak","ready","prepare"
"hediye","iltifat","iltiwick","edildiye","compliment","gift"
"helikopter","ambulans","ambudell","heligangster","ambulance","helicopter"
"hesaplamak","saymak","vunmak","heightslamak","count","calculate"
"heykel","anıt","anvk","dizkel","monument","statue"
"hidrojen","karbon","karkıp","acıtrojen","carbon","hydrogen"
"his","izlenim","izleopar","res","impression","feeling"
"hiv","aids","ilds","elv","aids","hiv"
"hizmetçi","köle","venle","ayarmetçi","slave","servant"
"hizmetçi","dadı","nırdı","ayarmetçi","nanny","maid"
"hıristiyan","katolik","katorant","hıristirecek","catholic","christian"
"hız","mesafe","mesaland","onz","distance","speed"
"hızlı","yavaş","yaene","tarlı","slow","fast"
"hızlıca","yavaş yavaş","yavaş ynolly","şanslıca","slowly","quickly"
"hortum","pompa","keypa","teytum","pump","hose"
"hoş olmayan","rahatsız","raakılsız","hoş olmditch","uncomfortable","unpleasant"
"hoşçakal","merhaba","açıkhaba","açikçakal","hello","bye"
"içeri","dışarıda","dışaomingda","redri","outside","inside"
"içerik","içermek","kertmek","şarrik","contain","content"
"idrar","kan","xon","idtük","blood","urine"
"ifade","yorum","yomış","sızde","comment","statement"
"ifade etmek","betimlemek","bedeceklemek","ifade eading","describe","express"
"ifade etmek","sözlük","binlük","ifade eading","dictionary","phrase"
"iğrenç","kirli","ineli","iğfeld","dirty","disgusting"
"ihtiyaç","gerekli","geçiftli","ihtinizm","necessary","need"
"ilaç vermek","alkol","alvur","ilaç vezelt","alcohol","drug"
"ilahi","tanrı","odarı","firhi","god","divine"
"ileti","uyarı","binrı","beyti","warning","message"
"iletişim","navigasyon","navilecekyon","iletional","navigation","communication"
"ilginç","heyecan verici","forsytheyecan verici","ilyong","exciting","interesting"
"imparator","imparatorluk","imparatoraworld","imparadecek","imperial","emperor"
"imparatorluk","hanedan","haneelix","imparatorventry","dynasty","empire"
"imza","form","fold","sanza","form","sign"
"imza","damga","cerga","sanza","stamp","signature"
"inanç","ümit etmek","ümit eapon","innoç","hope","faith"
"inanmak","güven","günar","inancıy","trust","believe"
"inceleme","sınav","sışem","inhardtleme","examination","inspection"
"incelemek, bulmak","kapsül","kaplâm","eroincelemek, bulmak","capsule","probe"
"incinme","yara","yamış","inönerme","wound","injury"
"insan","adam","adkı","inyim","man","human"
"insanlar","nüfus","nütaş","inaçıklar","population","people"
"ip","zincir","zineve","nö","chain","rope"
"irak","yakın","yales","irre","near","far"
"ironik","ironi","mıkni","şalnik","irony","ironic"
"iş","görev","göbum","çu","job","work"
"işkence","işkence","işörümce","işörümce","torment","torture"
"işletme","sanayi","sanakavt","işedilme","industry","business"
"istakoz","tuna","alına","istagins","tuna","lobster"
"istasyon","platform","aranform","isilüzyon","platform","station"
"istek","talep etmek","talep edolyn","ishie","demand","request"
"işten çıkarma","istifa etme","istifa egonfly","işten çıkaminsky","resignation","dismissal"
"itibar","gurur","gunek","itiugh","pride","dignity"
"itibar","kariyer","karining","itiugh","career","reputation"
"itiraf etmek","itiraf etmek","itiraf euntry","itiraf eusand","admit","confess"
"iyi","harika","haayakka","dâi","excellent","great"
"iyileşmek","kurtarmak","kuraçılmak","açıkleşmek","recover","heal"
"izin vermek","izin vermek","izin vemily","izin vehach","allow","let"
"izlemek","ekran","eksız","izleopar","screen","monitor"
"ırmak","sherlock","sherport","ırğım","sherlock","watson"
"ışık","karanlık","kaağırlık","dmık","darkness","light"
"ıslak","kuru","kunün","ısrir","dry","wet"
"ıslık","boynuz","şirnuz","ıskar","horn","whistle"
"juliet","romeo","roçiş","julisans","romeo","juliet"
"kabiliyet","kapasite","kaailemsite","kabilivings","capacity","ability"
"kabul","reddetmek","redöpüşmek","katüs","refuse","accept"
"kaçamak","kidnap","kidets","kaçaford","kidnap","abduct"
"kaçmak","kaçmak","ğırmak","ğırmak","flee","escape"
"kadın","dul","ull","kalar","widow","woman"
"kafatası","kemik","kefer","kaaugustası","bone","skull"
"kahkaha","gülümsemek","gülümseasons","flickaha","smile","laugh"
"kahve","fincan","çaycan","alıve","cup","coffee"
"kaldırmak","elemek","metmek","kalinanmak","eliminate","remove"
"kale","saray","satiş","lemle","palace","castle"
"kalite","miktar","gömtar","kakentte","quantity","quality"
"kalın","ince","karce","kaşum","thin","thick"
"kalkış","varış","vabaz","kalars","arrival","departure"
"kalmak","kalmak","lışmak","lışmak","stay","remain"
"kamp yapmak","piknik","crunik","kamp yaherd","picnic","camping"
"kamyon","jeep","jevar","devyon","jeep","truck"
"kamyonet","tanıtım videosu","tanıtım vidnimhhhh","oyunyonet","trailer","van"
"kanıt","kanıt","kaoth","kasad","evidence","proof"
"kapalı","kilitli","kiateşli","kaakıllı","locked","closed"
"kapanma","açılış","açıyup","kaatılma","opening","closure"
"kapat","açık","açkü","kasör","open","close"
"kapitalizm","anarşi","plakşi","kapitazecek","anarchy","capitalism"
"kapı","pencere","ilişcere","kagie","window","door"
"kaplumbağa","salyangoz","salyanwery","elektlumbağa","snail","turtle"
"kapmak","gözlük","gözkin","ğutmak","glasses","cap"
"kaptan","komutan","komukesh","doğtan","commander","captain"
"kar","yağmur","yağfen","arr","rain","snow"
"karaciğer","böbrek","rahrek","karacinight","kidney","liver"
"karanlık","gölge","teyge","kaağırlık","shadow","dark"
"karayolu","yol","byl","karaiderslu","road","highway"
"kardeş","dostum","vurtum","karhad","dude","bro"
"kardinal","piskopos","alışkopos","kardirenç","bishop","cardinal"
"kargo","yük","nsk","vongo","load","cargo"
"karın","omurga","esirga","kamaz","spinal","abdominal"
"karınca","bal arısı","bal araring","kaidaica","bee","ant"
"karışım","kombinasyon","kombitecekyon","karıimak","combination","mixture"
"kartel","mafya","çeyya","karkip","mafia","cartel"
"kas","sinir","sisuz","res","nerve","muscle"
"kasırga","kasırga","kazançga","kazançga","hurricane","tornado"
