tr_cue,tr_target,type,cue_type,target_type,tr_cosine
affetmek,özür,related,word,word,0.425612350331911
büyükelçi,bakan,related,word,word,0.170202938902011
elçilik,bakanlık,related,word,word,0.485261224492555
hizmet,bakım,related,word,word,0.279040023440906
korumak,sürdürmek,related,word,word,0.419507289963634
köpek balığı,balık,related,word,word,
avcılık,balıkçılık,related,word,word,0.604455237382964
duş,banyo,related,word,word,0.642891754798521
sığınak,barınak,related,word,word,0.689467559206668
halletmek,başarmak,related,word,word,0.42926545594981
basitçe,sade,related,word,word,0.336744788254115
şansölye,cumhurbaşkanı,related,word,word,0.435796672341657
nabız,basınç,related,word,word,0.414259826352475
isim,ünvan,related,word,word,0.39942695703951
buton,basmak,related,word,word,0.401744213352144
parmak,başparmak,related,word,word,0.702961064948239
güneyli,batılı,related,word,word,0.36857163787082
iş çantası,bavul,related,word,word,
beyefendi,hanımefendi,related,word,word,0.724897494783958
erkek garson,kadın garson,related,word,word,
özgürce,özgür,related,word,word,0.574643316583715
beklemek,ummak,related,word,word,0.59100245351651
aniden,ansızın,related,word,word,0.683580132894052
şerif,belediye başkanı,related,word,word,
dosya,belge,related,word,word,0.515848530507251
cesaret,kararlılık,related,word,word,0.593079650792452
işaret etmek,belirtmek,related,word,word,
federal,"belirtmek, bildirmek",related,word,word,
inatçı,bencil,related,word,word,0.537339091562783
boyamak,çizmek,related,word,word,0.595832679776061
dehşetli,korkunç,related,word,word,0.600197118648371
stadyum,beyzbol,related,word,word,0.37820504086848
veri,bilgi,related,word,word,0.564152280899763
deneyim,bilgi,related,word,word,0.298468024387398
raporlamak,bilgilendirmek,related,word,word,0.54801554620659
yazılım,bilgisayar,related,word,word,0.621008511287133
teknoloji,bilim,related,word,word,0.550797702857744
dahi,bilim insanı,related,word,word,
kaos,"bilinç bulanıklığı, konfüzyon",related,word,word,
anonim,bilinmeyen,related,word,word,0.324603819969034
şimdi,bilmek,related,word,word,0.132889266327707
kule,bina,related,word,word,0.516771063262352
hiçbir şey,bir şey,related,word,word,
başka yerde,bir yerde,related,word,word,
içmek,bira,related,word,word,0.459235953316393
kişi,bireysel,related,word,word,0.188305401715489
son,bitiş,related,word,word,0.290956717045432
kimya,biyoloji,related,word,word,0.656489934920916
kimyasal,biyolojik,related,word,word,0.551571945915335
kılıç,bıçak,related,word,word,0.664969410609422
örümcek,böcek,related,word,word,0.574626019682446
dizi,bölüm,related,word,word,0.431872036489602
ünite,bölme,related,word,word,0.183589168832107
kredi,borç,related,word,word,0.599058221933104
washington,boston,related,word,word,0.609773532029217
denizaltı,bot,related,word,word,0.509608806554047
boğaz,boyun,related,word,word,0.362395251347977
engellemek,aksatmak,related,word,word,0.399785620503793
aramak,bulmak,related,word,word,0.657183140043622
ağız,burun,related,word,word,0.554851995951324
olasılık,muhtemel,related,word,word,0.473422830093549
lanet,cadı,related,word,word,0.242660460085468
çiftçi,işçi,related,word,word,0.459590805703179
kaşık,çatal,related,word,word,0.582042465999189
cennet,cehennem,related,word,word,0.655475170021522
gömlek,ceket,related,word,word,0.711687156831067
sopa,çekiç,related,word,word,0.526113159551928
itmek,çekmek,related,word,word,0.550328152443729
dikkat,cezbetmek,related,word,word,0.105704206082623
beton,çelik,related,word,word,0.528897102320009
tabut,cenaze,related,word,word,0.556049085140178
gökyüzü,kutsal,related,word,word,0.184601334880347
gövde,ceset,related,word,word,0.215138709333101
soylu,cesur,related,word,word,0.390547639575524
cevap,yanıt,related,word,word,0.848721728411795
yarıçap,çevre,related,word,word,0.361238806447038
yarım,çeyrek,related,word,word,0.428115768672577
bitki,çiçek,related,word,word,0.533513996134759
yutmak,çiğnemek,related,word,word,0.49774541500024
çip,alet,related,word,word,0.306731657289429
şeker,çikolata,related,word,word,0.635833633385339
muz,çilek,related,word,word,0.469634594834285
intihar,cinayet,related,word,word,0.509338166553702
iğrenç,çirkin,related,word,word,0.660418152613183
duvar,çit,related,word,word,0.460911795022414
soyunmuş,çıplak,related,word,word,0.416312229288655
bebek,çocuk,related,word,word,0.611946181887608
gençlik,çocukluk,related,word,word,0.494325531044121
fazlasıyla,çok,related,word,word,0.57839346873963
düşmek,çökmek,related,word,word,0.440448586892294
şefkâtli,cömert,related,word,word,0.501645605894487
atık,çöp,related,word,word,0.557247336700362
kulüp,bar,related,word,word,0.496712164919338
kelime,cümle,related,word,word,0.686832369127837
çizik,morluk,related,word,word,0.48992012402604
cep,cüzdan,related,word,word,0.427067644659179
tepe,dağ,related,word,word,0.538043865404469
saniye,dakika,related,word,word,0.900911260391514
dansçı,dans,related,word,word,0.502123971167747
görüş,tutum,related,word,word,0.23766379756644
jest,davranmak,related,word,word,0.294395090265689
ajan,dedektif,related,word,word,0.568999915654688
gözlem,değerlendirme,related,word,word,0.498018061069858
faydasız,değersiz,related,word,word,0.414510422795358
paranoyak,deli,related,word,word,0.483854449566698
çatlak,delik,related,word,word,0.499110525690542
özgürlük,demokrasi,related,word,word,0.56832968480864
duruşma,yargılama,related,word,word,0.63011297290204
korsan,denizci,related,word,word,0.483443569752127
çapa,yelken,related,word,word,0.447568645143002
stres,depresyon,related,word,word,0.539082449649671
playboy,dergi,related,word,word,0.478798891114131
nesne,konu,related,word,word,0.314225583042861
seminer,ders,related,word,word,0.339267837732536
araştırma,ders çalışma,related,word,word,
ilerlemek,devam etmek,related,word,word,
yönetim,hükümet,related,word,word,0.442024444192573
miras,devralmak,related,word,word,0.354736519446508
koruma,devriye,related,word,word,0.35176652160718
fevkalade,olağanüstü,related,word,word,0.633320338660889
arzu,dilek,related,word,word,0.297025088514917
felsefe,din,related,word,word,0.493648126049829
barut,dinamit,related,word,word,0.488108287757731
vız,çın,related,word,word,0.228756508050586
doğrudan,düpedüz,related,word,word,0.123075868102182
direnç,direnmek,related,word,word,0.528311421188381
tırnak,diş,related,word,word,0.482040402656557
erkek,dişi,related,word,word,0.49974653580358
omuz,diz,related,word,word,0.3973848016096
yanlış,doğru,related,word,word,0.561377600639107
denetlemek,doğrulamak,related,word,word,0.43518652471651
batı,doğu,related,word,word,0.771212393095176
yıl dönümü,doğum günü,related,word,word,
cerrah,doktor,related,word,word,0.388634529175864
deri,doku,related,word,word,0.55151295042036
kabin,dolap,related,word,word,0.347321224816419
pound,dolar,related,word,word,0.669346653391166
şekerleme yapmak,gezinmek,related,word,word,
kağıt,kalem,related,word,word,0.504366582981347
patates,domates,related,word,word,0.665724255249993
inek,domuz,related,word,word,0.572977893728931
tost,pastırma,related,word,word,0.552956517022024
denizci,donanma,related,word,word,0.508265624273109
teçhizat,donatmak,related,word,word,0.314916893049609
dönüş,döndürmek,related,word,word,0.432531831103946
evre,dönem,related,word,word,0.326955393681148
erimek,donmak,related,word,word,0.589939838562678
geri,dönmek,related,word,word,0.383661062128853
üçüncü,dördüncü,related,word,word,0.890563276456113
iki,dört,related,word,word,0.796871594682567
ilişki,arkadaşlık,related,word,word,0.534326899954196
nişan,düğün,related,word,word,0.458710574416375
bugün,dün,related,word,word,0.668557553763719
uluslararası,dünya,related,word,word,0.278831023423028
engellemek,durdurmak,related,word,word,0.661663078107207
asla,daima,related,word,word,0.280606851148969
bağlılık,dürüstlük,related,word,word,0.529283976315516
hesaba katmak,düşünmek,related,word,word,
zihinsel,duygusal,related,word,word,0.579058962650596
dinlemek,duymak,related,word,word,0.649762180208895
ayarlamak,organize etmek,related,word,word,
yetişkin,ebeveyn,related,word,word,0.447965008902924
sanat,yazın,related,word,word,0.146728566522155
tesir,etki,related,word,word,0.626592331442181
söylence,efsane,related,word,word,0.37702053864182
sağlık,eğitim,related,word,word,0.419410954909075
esprili,eğlenceli,related,word,word,0.417613905832504
pratik,egzersiz,related,word,word,0.499625988060629
ekstra,fazladan,related,word,word,0.764656544129441
eylül,ekim,related,word,word,0.617942176920216
artı,eksi,related,word,word,0.595954765481714
etek,elbise,related,word,word,0.612047256690884
akım,elektrik,related,word,word,0.547621979794195
manyetik,elektrikli,related,word,word,0.410659846401201
faktör,unsur,related,word,word,0.545654943077158
güvenlik,emniyet,related,word,word,0.609793318723572
endişe,kaygı,related,word,word,0.674177009769965
güç,enerji,related,word,word,0.570978942207642
virüs,enfeksiyon,related,word,word,0.604850646552477
doz,enjeksiyon,related,word,word,0.518817320920644
veba,epidemi,related,word,word,0.297554049289255
orgazm,ereksiyon,related,word,word,0.573298233234733
torun,yeğen,related,word,word,0.349555115465957
geç,erken,related,word,word,0.535864919470263
kokain,eroin,related,word,word,0.807687280382099
koca,karı,related,word,word,0.367537672258623
lezbiyen,gey,related,word,word,0.644865833035972
ilham vermek,esinlenmek,related,word,word,
refakat etmek,eşlik etmek,related,word,word,
özel,eşsiz,related,word,word,0.438013145684161
domuz,et,related,word,word,0.348691232972568
methetmek,hayran bırakmak,related,word,word,
kullanışlı,etkili,related,word,word,0.464652175999349
olgu,olay,related,word,word,0.354017311080652
dönmek,etrafında,related,word,word,0.285579863346131
tamam,evet,related,word,word,0.705504471481173
bekar,evli,related,word,word,0.594093984009034
boşanmak,evlilik,related,word,word,0.49583762488035
posta,faks,related,word,word,0.467962130771248
gerçeklik,hayal,related,word,word,0.417884722184293
fare,sıçan,related,word,word,0.702184902404988
benzer,farklı,related,word,word,0.40198275791038
koloni,federasyon,related,word,word,0.479239647217688
karnaval,festival,related,word,word,0.562905278695655
adam kaçıran,fidye,related,word,word,
porno,film,related,word,word,0.560336704753575
atış,ateşlemek,related,word,word,0.415352388472299
denizcilik,filo,related,word,word,0.307596396444672
finansal,finansman,related,word,word,0.585787239231916
bütçe,fonlama,related,word,word,
mülteci,firari,related,word,word,0.297144546531834
değer,fiyat,related,word,word,0.437990589215553
cinsel,fiziksel,related,word,word,0.55789478906679
rüzgâr,fırtına,related,word,word,0.591738694755978
operasyonel,fonksiyonel,related,word,word,0.383276417748326
resim,fotoğraf,related,word,word,0.741964579118716
imzalamak,fotoğrafçı,related,word,word,0.196013378851358
ingilizce,fransızca,related,word,word,0.800654502383197
basketbol,futbol,related,word,word,0.802910422630753
roket,füze,related,word,word,0.697442252973333
çalıştay,garaj,related,word,word,
makale,gazete,related,word,word,0.563849759823499
muhabir,gazeteci,related,word,word,0.781213177500793
doğum,hamilelik,related,word,word,0.561053022711876
ilk,son,related,word,word,0.513722700231414
demin,geçenlerde,related,word,word,0.551223373150641
geçit,kapı,related,word,word,0.509722832798247
gelecek,geçmiş,related,word,word,0.250675489769081
modern,geleneksel,related,word,word,0.458902168884676
damat,gelin,related,word,word,0.554672181042331
kâr,gelir,related,word,word,0.279684466990604
ilerleme,gelişim,related,word,word,0.500911742245589
değişim,gelişim,related,word,word,0.479824717209849
varmak,gelmek,related,word,word,0.465600210107993
mürettebat,gemi,related,word,word,0.604933551886602
genç,ergen,related,word,word,0.412166968576395
yaşlı,genç,related,word,word,0.579152847138677
kıdemli,kıdemsiz,related,word,word,0.740192140882862
doğal olarak,genel olarak,related,word,word,
normalde,genellikle,related,word,word,0.583024913252937
dar,geniş,related,word,word,0.506334887563955
doğru,gerçek,related,word,word,0.256760169773598
iyimser,gerçekçi,related,word,word,0.434405973877754
aslında,gerçekten,related,word,word,0.297872380490177
çıkış,giriş,related,word,word,0.682248812892765
denemek,girişim,related,word,word,0.22064909927356
milyoner,girişimci,related,word,word,0.423170432326795
girmek,gitmek,related,word,word,0.506378088790663
piyano,gitar,related,word,word,0.680883310119875
gizli,gizem,related,word,word,0.313943162284977
mide,göğüs,related,word,word,0.441155875549182
şimşek,gök gürültüsü,related,word,word,
evren,galaksi,related,word,word,0.619864681466679
nehir,göl,related,word,word,0.647924659054231
kazmak,gömmek,related,word,word,0.544996972789108
getirmek,göndermek,related,word,word,0.490678189208374
gönüllü,gönüllüce,related,word,word,
sorumluluk,görev,related,word,word,0.404655216407058
maymun,goril,related,word,word,0.647628204679243
görkemli,görkem,related,word,word,0.730473724379038
vahiy,görüş,related,word,word,0.189511321195461
protesto,gösteri,related,word,word,0.356630673682571
kilo,gram,related,word,word,0.542555224279482
orkestra,bando,related,word,word,0.562132069611594
çete,grup,related,word,word,0.436953226425899
aşağılamak,gücendirmek,related,word,word,0.663921097377431
çaresiz,güçsüz,related,word,word,0.57518738807359
altın,gümüş,related,word,word,0.662200019819648
ay,güneş,related,word,word,0.28743946265269
güneş ile ilgili,ay ile ilgili,related,word,word,
güvenilir,güvenli,related,word,word,0.442878984589157
kamara,güverte,related,word,word,0.583843072445561
hoş,güzel,related,word,word,0.711934405093172
rahat,hoş,related,word,word,0.258053963533457
cazibe,güzellik,related,word,word,0.585245825018108
kanal,haberler,related,word,word,0.314820778066766
kaynak,muhbir,related,word,word,0.357427131825112
ay,hafta,related,word,word,0.736549428012819
günlük,haftalık,related,word,word,0.663986673712276
casus,hain,related,word,word,0.458649170786033
mahkeme,hakim,related,word,word,0.472963417853262
dışında,hakkında,related,word,word,0.332716019552728
adaletsiz,haksız,related,word,word,0.490942161279334
çoktan,hâlâ,related,word,word,0.170914548975527
zemin,halı,related,word,word,0.383520699839313
yanılsama,halüsinasyon,related,word,word,0.416798933222767
sandviç,hamburger,related,word,word,0.679240746598742
tablet,ilaç,related,word,word,0.331920910116166
ceza,tutukluluk,related,word,word,0.421861784274472
hücre,hapishane,related,word,word,0.500005296762514
israf,harcamak,related,word,word,0.573725775902329
dahili,harici,related,word,word,0.470879399752741
etkileyici,harika,related,word,word,0.544742921707239
müthiş,harika,related,word,word,0.782738291067917
pusula,harita,related,word,word,0.531305187718374
narin,hassas,related,word,word,0.552906481781599
illet,hasta,related,word,word,0.265318309506597
nezle,hastalık,related,word,word,0.484840234733973
hata,yanılgı,related,word,word,0.388270788713544
unutmak,hatırlamak,related,word,word,0.751595792790229
valf,havalandırma,related,word,word,0.453653636197736
terminal,havalimanı,related,word,word,0.374428329222772
battaniye,havlu,related,word,word,0.579680832770486
sürpriz,hüsran,related,word,word,0.254419448618251
canlı,hayatta kalmak,related,word,word,
canavar,hayvan,related,word,word,0.49765421221792
hazır,hazırlamak,related,word,word,0.438358922356409
iltifat,hediye,related,word,word,0.511516745696384
ambulans,helikopter,related,word,word,0.570084401805405
saymak,hesaplamak,related,word,word,0.530200147881087
anıt,heykel,related,word,word,0.480485082011506
karbon,hidrojen,related,word,word,0.636700934421581
izlenim,his,related,word,word,0.377578336299932
aids,hiv,related,word,word,0.706391625474437
köle,hademe,related,word,word,0.258714105019196
dadı,hizmetçi,related,word,word,0.493614959576494
katolik,hristiyan,related,word,word,0.625148102492232
mesafe,sürat,related,word,word,0.364476521999056
yavaş,hızlı,related,word,word,0.73200100325501
yavaşça,hızlıca,related,word,word,0.507675492188729
pompa,hortum,related,word,word,0.364603354510544
rahatsız,keyifsiz,related,word,word,0.425312965266101
merhaba,hoşçakal,related,word,word,0.573321972902964
dışarıda,içeride,related,word,word,0.72371230540276
içermek,içerik,related,word,word,0.481602885421601
kan,idrar,related,word,word,0.552617534807997
yorum,ifade,related,word,word,0.23480670235568
betimlemek,ifade etmek,related,word,word,
sözlük,deyiş,related,word,word,0.361278701734664
kirli,iğrenç,related,word,word,0.479476875196659
gerekli,ihtiyaç duymak,related,word,word,
alkol,uyuşturucu,related,word,word,0.660097773832372
tanrı,kutsal,related,word,word,0.404216207125096
uyarı,mesaj,related,word,word,0.411358054253061
navigasyon,iletişim,related,word,word,0.432007256628569
heyecanlı,ilginç,related,word,word,0.476950629377969
emperyal,imparator,related,word,word,0.255965368159405
hanedan,imparatorluk,related,word,word,0.491765252169749
form,imzalamak,related,word,word,0.376221855862526
damga,imza,related,word,word,0.40160321551808
umut,inanç,related,word,word,0.500519766706653
güvenmek,inanmak,related,word,word,0.62710104771462
sorgulama,teftiş,related,word,word,0.245939037088014
kapsül,"incelemek, bulmak",related,word,word,
yaralanma,sakatlık,related,word,word,0.604162819237347
adam,insan,related,word,word,0.456727450041663
nüfus,insanlar,related,word,word,0.247606251261329
zincir,halat,related,word,word,0.434206866660304
yakın,uzak,related,word,word,0.470450652359031
ironi,ironik,related,word,word,0.692379553120927
meslek,iş,related,word,word,0.47128937609752
işkence,eziyet,related,word,word,0.645135209290267
sanayi,işletme,related,word,word,0.324538861312757
tonbalığı,ıstakoz,related,word,word,0.610658081684061
platform,istasyon,related,word,word,0.422187931413166
talep,istek,related,word,word,0.46094615022443
istifa,kovmak,related,word,word,0.33192111253282
gurur,itibar,related,word,word,0.410790987401252
kariyer,şöhret,related,word,word,0.416829899038757
itiraf etmek,günah çıkartmak,related,word,word,
harika,iyi,related,word,word,0.601461124442605
kurtulmak,iyileşmek,related,word,word,0.381567019065702
müsaade,izin,related,word,word,0.537043603056513
ekran,gözlemek,related,word,word,0.174755412547003
sherlock,watson,related,word,word,0.447800853966963
karanlık,aydınlık,related,word,word,0.732835112500498
kuru,ıslak,related,word,word,0.518065037836817
boynuz,ıslık,related,word,word,0.236638292002736
romeo,juliet,related,word,word,0.777345729325429
kapasite,kabiliyet,related,word,word,0.478697515565108
reddetmek,kabul,related,word,word,0.530435717406834
kaçırmak,alıkoymak,related,word,word,0.468005523180812
tüymek,kaçmak,related,word,word,0.610143026685247
dul,kadın,related,word,word,0.447242413854253
kemik,kafatası,related,word,word,0.53930573884188
gülümsemek,kahkaha,related,word,word,0.393520143603926
fincan,kahve,related,word,word,0.616358389859776
elemek,uzaklaştırmak,related,word,word,0.448442078786849
saray,kale,related,word,word,0.447374604210425
nicelik,nitelik,related,word,word,0.599331600283134
ince,kalın,related,word,word,0.486213616737773
varış,kalkış,related,word,word,0.436492845725513
kalmak,sürdürmek,related,word,word,0.447296841657743
piknik,kamp,related,word,word,0.507244069405443
jeep,kamyon,related,word,word,0.403331014508899
römork,kamyonet,related,word,word,0.452884548765466
kanıt,ispat,related,word,word,0.434243527370385
kilitli,kapalı,related,word,word,0.61902348158734
açılış,kapanış,related,word,word,0.672848739157415
açmak,kapatmak,related,word,word,0.623792199594854
anarşi,kapitalizm,related,word,word,0.482664903529999
pencere,kapı,related,word,word,0.679359318504406
salyangoz,kaplumbağa,related,word,word,0.505984012289766
gözlük,kasket,related,word,word,0.481030110282601
komutan,kaptan,related,word,word,0.676701736306871
yağmur,kar,related,word,word,0.574355218555343
böbrek,karaciğer,related,word,word,0.760478516720741
gölge,karanlık,related,word,word,0.445885667645719
yol,karayolu,related,word,word,0.46445775826745
dostum,kardeş,related,word,word,0.318480433738791
piskopos,kardinal,related,word,word,0.582695843218308
yük,kargo,related,word,word,0.431669586853062
omurga,karın,related,word,word,0.255917184309896
arı,karınca,related,word,word,0.504690724156084
kombinasyon,karışım,related,word,word,0.440327768931891
mafya,kartel,related,word,word,0.532350172181414
sinir,kas,related,word,word,0.478805881865288
kasırga,hortum,related,word,word,0.470708383650817
kazara,bilerek,related,word,word,0.421205161175999
katil,cani,related,word,word,0.477821322348373
mücâdele etmek,kavga etmek,related,word,word,
ölüm,kaybolma,related,word,word,0.293405978753886
kayıt,kaydetme,related,word,word,0.462896251868921
kurtarmak,korumak,related,word,word,0.680120736135553
hadise,kaza,related,word,word,0.460633746842152
kaybeden,kazanan,related,word,word,0.617501708929339
edinmek,kazanmak,related,word,word,0.468169381633941
köpek,kedi,related,word,word,0.773415116310764
tatlı,pasta,related,word,word,0.381952741753944
saygı,güven,related,word,word,0.523975020694708
başkent,şehir,related,word,word,0.545594999090626
kurbağa,kertenkele,related,word,word,0.605493477432489
atıcı,keskin nişancı,related,word,word,
gözyaşı,kesik,related,word,word,0.143379806760478
cehalet,kibir,related,word,word,0.410501409554816
turnuva,maç,related,word,word,0.612890461839956
anahtar,kilit,related,word,word,0.597469372013125
kiracı,ev sahibi,related,word,word,
kiralama,kira,related,word,word,0.247291124688154
karakter,kişilik,related,word,word,0.430585258434425
kutsal kitap,kitap,related,word,word,
kalabalık,izleyici,related,word,word,0.263178314457434
parçalamak,kırmak,related,word,word,0.576865301890399
yaz,kış,related,word,word,0.572541292846183
erkekler,kızlar,related,word,word,0.716493788767763
tipik,klasik,related,word,word,0.532424975683377
hastane,klinik,related,word,word,0.567877307549874
büyük,kocaman,related,word,word,0.551736075025687
tat,koku,related,word,word,0.586513045139914
el,kol,related,word,word,0.402399831680221
bakmak,izlemek,related,word,word,0.454656252708929
imkansız,kolay,related,word,word,0.404221725941166
yüzük,kolye,related,word,word,0.658303611456059
drama,komedi,related,word,word,0.535531906374265
müfettiş,komisyon üyesi,related,word,word,
ırkçı,komünist,related,word,word,0.489576150765227
tur,konser,related,word,word,0.308533888689707
durum,pozisyon,related,word,word,0.349740185169254
sohbet,konuşmak,related,word,word,0.402785609333243
rom,konyak,related,word,word,0.577940774146123
orijinal,kopya,related,word,word,0.374582794555027
dehşet,korku,related,word,word,0.596061874311203
ürkütmek,korkutmak,related,word,word,0.645651660020261
iyi,kötü,related,word,word,0.638131488280779
takip etmek,kovalamak,related,word,word,
rodeo,kovboy,related,word,word,0.403752074031279
kamp,köy,related,word,word,0.392573828828661
sokmak,koymak,related,word,word,0.561907056903648
kraliçe,kral,related,word,word,0.696643690552994
asil,krallık,related,word,word,0.336348892623173
durum,kriz,related,word,word,0.392252639680587
biraz,küçük,related,word,word,0.211152381042887
göz,kulak,related,word,word,0.306061685611122
uygulamak,kullanmak,related,word,word,0.483106079914581
çamur,kum,related,word,word,0.592246650659728
ulusal,küresel,related,word,word,0.371430216937742
ayı,kurt,related,word,word,0.404155433831373
kahraman,kurtarıcı,related,word,word,0.555224765545117
komisyon,komite,related,word,word,0.470738898909778
kelebek,kuş,related,word,word,0.53567924607727
güç,kuvvet,related,word,word,0.666262044577907
akraba,kuzen,related,word,word,0.525838387379582
güney,kuzey,related,word,word,0.847210797378879
lezzetli,enfes,related,word,word,0.589714667052791
tutucu,liberal,related,word,word,0.446429970929623
koy,liman,related,word,word,0.140506065242044
taksi,limuzin,related,word,word,0.660011950306553
ming,ling,related,word,word,0.548724497786278
ganimet,madalya,related,word,word,0.298602081211764
eser,madalyon,related,word,word,0.175176761295189
dükkan,mağaza,related,word,word,0.732219409534928
rehin,mahkum,related,word,word,0.24563821434986
mahrem,gizlilik,related,word,word,0.421910773666637
robot,makine,related,word,word,0.475424898342185
minimum,maksimum,related,word,word,0.627493486833771
adil,makul,related,word,word,0.490889667840725
emlak,mal sahibi,related,word,word,
yetimhane,dergah,related,word,word,
tapınak,manastır,related,word,word,0.576443647232414
kontrol,manipule etmek,related,word,word,
açıklama,mantıklı,related,word,word,0.400803411691001
yoga,masaj,related,word,word,0.514292551449503
fizik,matematik,related,word,word,0.720794999402974
kahverengi,mavi,related,word,word,0.700855400684096
ketçap,mayonez,related,word,word,0.617604742828677
kültür,medeniyet,related,word,word,0.477019381494054
teknik,mekanik,related,word,word,0.471261570574933
telgraf,mektup,related,word,word,0.547459790765771
kumaş,mendil,related,word,word,0.387139734021923
bağışlama,merhamet,related,word,word,0.445807410134056
sabır,merhamet,related,word,word,0.540190856238955
üs,karargah,related,word,word,0.419535543523679
kalibre,mermi,related,word,word,0.569915937483559
demir,metal,related,word,word,0.497874869176028
kilometre,metre,related,word,word,0.716647984117663
engel,meydan okumak,related,word,word,
elma,meyve,related,word,word,0.638471080674254
süt,meyve suyu,related,word,word,
mezar,mezarlık,related,word,word,0.732719672845293
diploma,mezun olmak,related,word,word,
ishal,mide bulantısı,related,word,word,
kamera,mikrofon,related,word,word,0.600062361661497
teleskop,mikroskop,related,word,word,0.559355035202421
toplam,miktar,related,word,word,0.381168115634584
milyon,milyar,related,word,word,0.784127676304876
mühendis,mimar,related,word,word,0.563841054630866
görev,misyon,related,word,word,0.426922101077453
aspirin,morfin,related,word,word,0.539726049193151
otel,motel,related,word,word,0.580546963772071
tank,motor,related,word,word,0.403715905877615
elmas,mücevher,related,word,word,0.700815373755733
üretici,yönetici,related,word,word,0.320770860814827
belki,muhtemelen,related,word,word,0.755134056730897
sansasyonel,muhteşem,related,word,word,0.270853781924731
ideal,mükemmel,related,word,word,0.589871992330897
lamba,mum,related,word,word,0.481171024582819
hasta,müşteri,related,word,word,0.333405710560183
evrim,mutasyon,related,word,word,0.557168382107871
mütevazı,alçakgönüllü,related,word,word,0.508533353880998
memnun,mutlu,related,word,word,0.608654537936614
kütüphane,müze,related,word,word,0.502746138154327
