"tr_cue","tr_target","type","cue_type","target_type","tr_cosine"
"şansölye","başkan","related","word","word",0.410374132993628
"nabız","baskı yapmak","related","word","word",NA
"isim","başlık","related","word","word",0.359633279391006
"buton","basmak","related","word","word",0.401744213352144
"parmak","başparmak","related","word","word",0.702961064948239
"güney","batılı","related","word","word",0.352292885105476
"iş çantası","bavul","related","word","word",NA
"kral","bayan","related","word","word",0.144343378240169
"garson","bayan garson","related","word","word",NA
"serbestçe","bedava","related","word","word",0.239274001171125
"bekle","beklemek","related","word","word",0.576845805173669
"birden","beklenmedik bir şekilde","related","word","word",NA
"şerif","belediye başkanı","related","word","word",NA
"dosya","belge","related","word","word",0.51584853050725
"cesaret","belirleme","related","word","word",0.0855349216118547
"puan","belirtmek","related","word","word",0.155792187897428
"federal","belirtmek, bildirmek","related","word","word",NA
"inatçı","bencil","related","word","word",0.537339091562783
"boyamak","berabere","related","word","word",0.126703535268441
"korkunç","berbat","related","word","word",0.484417623217939
"stadyum","beyzbol","related","word","word",0.37820504086848
"veri","bilgi","related","word","word",0.564152280899763
"tecrübe etmek","bilgi","related","word","word",NA
"rapor","bilgi vermek","related","word","word",NA
"yazılım","bilgisayar","related","word","word",0.621008511287133
"teknoloji","bilim","related","word","word",0.550797702857744
"dahi","bilim insanı","related","word","word",NA
"kaos","bilinç bulanıklığı, konfüzyon","related","word","word",NA
"anonim","bilinmeyen","related","word","word",0.324603819969034
"şimdi","bilmek","related","word","word",0.132889266327707
"kule","bina","related","word","word",0.516771063262352
"hiç bir şey","bir şey","related","word","word",NA
"başka yerde","bir yerde","related","word","word",NA
"içmek","bira","related","word","word",0.459235953316393
"kişi","bireysel","related","word","word",0.188305401715489
"son","bitiş","related","word","word",0.290956717045432
"kimya","biyoloji","related","word","word",0.656489934920916
"kimyasal","biyolojik","related","word","word",0.551571945915335
"kılıç","bıçak","related","word","word",0.664969410609422
"örümcek","böcek","related","word","word",0.574626019682446
"dizi","bölüm","related","word","word",0.431872036489602
"birim","bölünme","related","word","word",0.210147719699989
"kredi","borç","related","word","word",0.599058221933104
"washington","boston","related","word","word",0.609773532029217
"denizaltı","bot","related","word","word",0.509608806554047
"boğaz","boyun","related","word","word",0.362395251347977
"kesmek","bozmak","related","word","word",0.387129892018556
"arama","bulmak","related","word","word",0.293204959603619
"ağız","burun","related","word","word",0.554851995951324
"olasılık","büyük ihtimalle","related","word","word",NA
"küfür","cadı","related","word","word",0.101629747490675
"çiftçi","çalışan","related","word","word",0.214099833032103
"kaşık","çatal","related","word","word",0.582042465999189
"cennet","cehennem","related","word","word",0.655475170021522
"gömlek","ceket","related","word","word",0.711687156831067
"çubuk","çekiç","related","word","word",0.380043830097168
"itmek","çekmek","related","word","word",0.550328152443729
"dikkat","çekmek","related","word","word",0.298950673222528
"beton","çelik","related","word","word",0.528897102320009
"tabut","cenaze","related","word","word",0.556049085140178
"gökyüzü","cennet gibi","related","word","word",NA
"gövde","ceset","related","word","word",0.215138709333101
"soylu","cesur","related","word","word",0.390547639575524
"cevap","cevap vermek","related","word","word",NA
"yarıçap","çevre","related","word","word",0.361238806447038
"yarım","çeyrek","related","word","word",0.428115768672577
"bitki","çiçek","related","word","word",0.533513996134759
"yutmak","çiğnemek","related","word","word",0.49774541500024
"yonga","cihaz","related","word","word",0.333806049341666
"şeker","çikolata","related","word","word",0.635833633385339
"muz","çilek","related","word","word",0.469634594834285
"intihar","cinayet","related","word","word",0.509338166553702
"sindirici","çirkin","related","word","word",NA
"duvar","çit","related","word","word",0.460911795022414
"çıplak","çıplak","related","word","word",1
"bebek","çocuk","related","word","word",0.611946181887608
"gençlik","çocukluk","related","word","word",0.494325531044121
"aşırı boyutta","çok","related","word","word",NA
"düşmek","çöküş","related","word","word",0.186254072691968
"şefkâtli","cömert","related","word","word",0.501645605894487
"çöp","çöp","related","word","word",1
"kulüp","çubuk","related","word","word",0.0979844251665542
"kelime","cümle","related","word","word",0.686832369127837
"kaşımak","çürük","related","word","word",0.238275502498282
"cep","cüzdan","related","word","word",0.427067644659179
"tepe","dağ","related","word","word",0.538043865404469
"saniye","dakika","related","word","word",0.900911260391514
"dansçı","dans","related","word","word",0.502123971167747
"fikir","davranış","related","word","word",0.32939684799113
"mimik","davranmak","related","word","word",0.200498203917695
"ajan","dedektif","related","word","word",0.568999915654688
"gözlem","değerlendirme","related","word","word",0.498018061069858
"faydasız","değersiz","related","word","word",0.414510422795358
"paranoyak","deli","related","word","word",0.483854449566698
"çatırtı","delik","related","word","word",0.305404521527608
"özgürlük","demokrasi","related","word","word",0.56832968480864
"işitme","deneme","related","word","word",0.151652453187173
"korsan","denizci","related","word","word",0.483443569752127
"çapa","denize açılmak","related","word","word",NA
"stres","depresyon","related","word","word",0.539082449649671
"playboy","dergi","related","word","word",0.47879889111413
"nesne","ders","related","word","word",0.147865636288582
"seminer","ders","related","word","word",0.339267837732536
"araştırma","ders çalışma","related","word","word",NA
"ilerlemek","devam et","related","word","word",NA
"yönetim","devlet","related","word","word",0.359647595978973
"miras","devralmak","related","word","word",0.354736519446508
"koruma","devriye gezmek","related","word","word",NA
"olağanüstü","dikkat çekici","related","word","word",NA
"arzu","dilek","related","word","word",0.297025088514917
"felsefe","din","related","word","word",0.493648126049828
"barut","dinamit","related","word","word",0.488108287757731
"ping","ding","related","word","word",0.638500859629041
"doğrudan","direkt olarak","related","word","word",NA
"direnç","direnmek","related","word","word",0.528311421188381
"çivi","diş","related","word","word",0.389365244843705
"erkek","dişi","related","word","word",0.49974653580358
"omuz","diz","related","word","word",0.3973848016096
"yanlış","doğru","related","word","word",0.561377600639107
"kontrol","doğrulayın","related","word","word",0.261550161086503
"batı","doğu","related","word","word",0.771212393095176
"yıl dönümü","doğum günü","related","word","word",NA
"cerrah","doktor","related","word","word",0.388634529175864
"deri","doku","related","word","word",0.55151295042036
"kabine","dolap","related","word","word",0.283116997493453
"pound","dolar","related","word","word",0.669346653391166
"kestirme","dolaşmak","related","word","word",0.241830922491522
"kağıt","dolma kalem","related","word","word",NA
"patates","domates","related","word","word",0.665724255249993
"inek","domuz","related","word","word",0.572977893728931
"kızarmış ekmek","domuz pastırması","related","word","word",NA
"deniz","donanma","related","word","word",0.437740703513431
"teçhizat","donatmak","related","word","word",0.314916893049609
"dönüş","döndürmek","related","word","word",0.432531831103946
"faz","dönem","related","word","word",0.204154072723535
"erimek","donmak","related","word","word",0.589939838562678
"geri","dönüş","related","word","word",0.290224527379358
"üçüncü","dördüncü","related","word","word",0.890563276456113
"2","dört","related","word","word",0.410064834928608
"ilişki","dostluk","related","word","word",0.514711089932708
"nişanlanmak","düğün","related","word","word",0.462362565562493
"bugün","dün","related","word","word",0.668557553763719
"uluslararası","dünya","related","word","word",0.278831023423028
"engel olmak","dur","related","word","word",NA
"asla","durmadan","related","word","word",0.0548961340421348
"bağlılık","dürüstlük","related","word","word",0.529283976315516
"düşünmek","düşünmek","related","word","word",1
"zihinsel","duygusal","related","word","word",0.579058962650596
"dinlemek","duymak","related","word","word",0.649762180208895
"düzenlemek","düzenlemek","related","word","word",1
"yetişkin","ebeveyn","related","word","word",0.447965008902924
"sanat","edebiyat","related","word","word",0.624656252072376
"etkilemek","efekt","related","word","word",0.155427777766188
"efsane","efsane","related","word","word",1
"sağlık","eğitim","related","word","word",0.419410954909075
"esprili","eğlenceli","related","word","word",0.417613905832504
"uygulama","egzersiz yapmak","related","word","word",NA
"ekstra","ek olarak","related","word","word",NA
"eylül","ekim","related","word","word",0.617942176920216
"artı","eksi","related","word","word",0.595954765481714
"etek","elbise","related","word","word",0.612047256690884
"akım","elektrik","related","word","word",0.547621979794195
"manyetik","elektrik","related","word","word",0.385525854389097
"faktör","eleman","related","word","word",0.134177300383331
"güvenlik","emniyet","related","word","word",0.609793318723572
"ilgilendirmek","endişelenmek","related","word","word",NA
"güç","enerji","related","word","word",0.570978942207642
"virüs","enfeksiyon","related","word","word",0.604850646552478
"doz","enjeksiyon","related","word","word",0.518817320920644
"veba","epidemi","related","word","word",0.297554049289255
"orgazm","ereksiyon","related","word","word",0.573298233234734
"erkek torun","erkek yeğen","related","word","word",NA
"geç","erken","related","word","word",0.535864919470263
"kokain","eroin","related","word","word",0.807687280382099
"koca","eş","related","word","word",0.376911523443682
"lezbiyen","eşcinsel","related","word","word",0.68650158321123
"ilham vermek","esin","related","word","word",NA
"eskort","eşlik etmek","related","word","word",NA
"özel","eşsiz","related","word","word",0.438013145684161
"domuz","et","related","word","word",0.348691232972568
"zıplamak","etkilemek","related","word","word",0.352849923066166
"kullanışlı","etkili","related","word","word",0.464652175999349
"fenomen","etkinlik","related","word","word",0.354694600184548
"yuvarlak","etrafında","related","word","word",0.320003486242751
"tamam","evet","related","word","word",0.705504471481173
"bekar","evli","related","word","word",0.594093984009034
"boşanmak","evlilik","related","word","word",0.49583762488035
"posta","faks","related","word","word",0.467962130771248
"gerçeklik","fantezi","related","word","word",0.461623733348213
"fare","fare","related","word","word",1
"benzer","farklı","related","word","word",0.40198275791038
"koloni","federasyon","related","word","word",0.479239647217688
"karnaval","festival","related","word","word",0.562905278695655
"kidnapper","fidye","related","word","word",NA
"porno","film","related","word","word",0.560336704753575
"atış","film çekmek","related","word","word",NA
"deniz","filo","related","word","word",0.321783141246616
"finansal olarak","finansman","related","word","word",NA
"bütçe","finansman","related","word","word",0.434159175379221
"mülteci","firari","related","word","word",0.297144546531834
"değer","fiyat","related","word","word",0.437990589215554
"cinsel","fiziksel","related","word","word",0.55789478906679
"rüzgâr","fırtına","related","word","word",0.591738694755978
"operasyonel","fonksiyonel","related","word","word",0.383276417748326
"resim","fotoğraf","related","word","word",0.741964579118716
"imza","fotoğrafçı","related","word","word",0.188849956255384
"ingilizce","fransızca","related","word","word",0.800654502383196
"basketbol","futbol","related","word","word",0.802910422630753
"roket","füze","related","word","word",0.697442252973334
"atölye","garaj","related","word","word",0.382144393709266
"makale","gazete","related","word","word",0.563849759823499
"muhabir","gazeteci","related","word","word",0.781213177500793
"doğum","gebelik","related","word","word",0.56383859549723
"ilk","geçen","related","word","word",0.236660119515935
"sadece","geçenlerde","related","word","word",0.124809998202037
"portalı","geçit","related","word","word",0.423001716279775
"gelecek","geçmiş","related","word","word",0.250675489769081
"modern","geleneksel","related","word","word",0.458902168884676
"damat","gelin","related","word","word",0.554672181042331
"kâr","gelir","related","word","word",0.279684466990604
"ilerleme","gelişim","related","word","word",0.500911742245589
"değiştirmek","gelişme","related","word","word",0.167527174716348
"varmak","gelmek","related","word","word",0.465600210107993
"mürettebat","gemi","related","word","word",0.604933551886602
"genç","genç","related","word","word",1
"eskimiş","genç","related","word","word",0.169725749975724
"kıdemli","genç","related","word","word",0.312275086127014
"doğal olarak","genel olarak","related","word","word",NA
"normalde","genelde","related","word","word",0.6433835837147
"dar","geniş","related","word","word",0.506334887563955
"doğru","gerçek","related","word","word",0.256760169773598
"iyimser","gerçekçi","related","word","word",0.434405973877754
"aslında","gerçekten","related","word","word",0.297872380490177
"çıkış","giriş","related","word","word",0.682248812892765
"denemek","girişim","related","word","word",0.22064909927356
"milyoner","girişimci","related","word","word",0.423170432326795
"giriş","git","related","word","word",0.177812316052043
"piyano","gitar","related","word","word",0.680883310119875
"gizli","gizem","related","word","word",0.313943162284977
"karın","göğüs","related","word","word",0.410685694079858
"yıldırım","gök gürültüsü","related","word","word",NA
"evren","gökada","related","word","word",0.485601557557807
"nehir","göl","related","word","word",0.647924659054231
"kazmak","gömmek","related","word","word",0.544996972789108
"getirmek","göndermek","related","word","word",0.490678189208374
"gönüllü","gönüllü olarak","related","word","word",NA
"sorumluluk","görev","related","word","word",0.404655216407058
"maymun","goril","related","word","word",0.647628204679243
"şanlı","görkem","related","word","word",0.384420959862503
"vahiy","görüş","related","word","word",0.189511321195461
"protesto","gösteri","related","word","word",0.356630673682571
"kilo","gram","related","word","word",0.542555224279482
"orkestra","grup","related","word","word",0.383257646066904
"çete","grup","related","word","word",0.436953226425899
"hakaret","gücendirmek","related","word","word",0.347260305911701
"çaresiz","güçsüz","related","word","word",0.57518738807359
"altın","gümüş rengi","related","word","word",NA
"ay","güneş","related","word","word",0.28743946265269
"ay yildizi","güneş","related","word","word",NA
"güvenli","güvenli","related","word","word",1
"kabin","güverte","related","word","word",0.393302428948265
"güzel","güzel","related","word","word",1
"rahat","güzel","related","word","word",0.329681362412552
"cazibe","güzellik","related","word","word",0.585245825018108
"kanal","haberler","related","word","word",0.314820778066766
"kaynak","habersiz","related","word","word",0.0893992022653371
"ay","hafta","related","word","word",0.736549428012819
"günlük","haftalık","related","word","word",0.663986673712276
"casus","hain","related","word","word",0.458649170786032
"mahkeme","hakim","related","word","word",0.472963417853262
"dışarı","hakkında","related","word","word",0.159564555765039
"adaletsizlik","haksız","related","word","word",0.430039454791004
"çoktan","hâlâ","related","word","word",0.170914548975527
"zemin","halı","related","word","word",0.383520699839313
"yanılsama","halüsinasyon","related","word","word",0.416798933222767
"sandviç","hamburger","related","word","word",0.679240746598742
"tablet","hap","related","word","word",0.442528438541306
"ceza","hapis cezası","related","word","word",NA
"hücre","hapishane","related","word","word",0.500005296762513
"boşa harcamak","harcamak","related","word","word",NA
"dahili","harici","related","word","word",0.47087939975274
"etkileyici","harika","related","word","word",0.544742921707239
"müthiş","harika","related","word","word",0.782738291067917
"pusula","harita","related","word","word",0.531305187718374
"narin","hassas","related","word","word",0.552906481781599
"hasta","hasta","related","word","word",1
"nezle","hastalık","related","word","word",0.484840234733973
"hata","hata","related","word","word",1
"unutmak","hatırlamak","related","word","word",0.751595792790229
"kapak","havalandırma","related","word","word",0.279592480888183
"terminal","havalimanı","related","word","word",0.374428329222772
"battaniye","havlu","related","word","word",0.579680832770486
"sürpriz","hayal kırıklığı","related","word","word",NA
"canlı","hayatta kalmak","related","word","word",NA
"canavar","hayvan","related","word","word",0.49765421221792
"hazır","hazırlamak","related","word","word",0.438358922356409
"iltifat","hediye","related","word","word",0.511516745696384
"ambulans","helikopter","related","word","word",0.570084401805404
"saymak","hesaplamak","related","word","word",0.530200147881087
"anıt","heykel","related","word","word",0.480485082011506
"karbon","hidrojen","related","word","word",0.636700934421581
"izlenim","his","related","word","word",0.377578336299932
"aids","hiv","related","word","word",0.706391625474437
"köle","hizmetçi","related","word","word",0.467904719237701
"dadı","hizmetçi","related","word","word",0.493614959576494
"katolik","hıristiyan","related","word","word",0.605113589034696
"mesafe","hız","related","word","word",0.396066728560408
"yavaş","hızlı","related","word","word",0.73200100325501
"yavaş yavaş","hızlıca","related","word","word",NA
"pompa","hortum","related","word","word",0.364603354510544
"rahatsız","hoş olmayan","related","word","word",NA
"merhaba","hoşçakal","related","word","word",0.573321972902964
"dışarıda","içeri","related","word","word",0.339678315366258
"içermek","içerik","related","word","word",0.481602885421601
"kan","idrar","related","word","word",0.552617534807997
"yorum","ifade","related","word","word",0.23480670235568
"betimlemek","ifade etmek","related","word","word",NA
"sözlük","ifade etmek","related","word","word",NA
"kirli","iğrenç","related","word","word",0.479476875196659
"gerekli","ihtiyaç","related","word","word",0.385569669271224
"alkol","ilaç vermek","related","word","word",NA
"tanrı","ilahi","related","word","word",0.412291736406359
"uyarı","ileti","related","word","word",0.403293928601532
"navigasyon","iletişim","related","word","word",0.432007256628569
"heyecan verici","ilginç","related","word","word",NA
"imparatorluk","imparator","related","word","word",0.707771641986895
"hanedan","imparatorluk","related","word","word",0.491765252169749
"form","imza","related","word","word",0.27917333750749
"damga","imza","related","word","word",0.40160321551808
"ümit etmek","inanç","related","word","word",NA
"güven","inanmak","related","word","word",0.297203026331723
"sınav","inceleme","related","word","word",0.306455133336884
"kapsül","incelemek, bulmak","related","word","word",NA
"yara","incinme","related","word","word",0.374238730934444
"adam","insan","related","word","word",0.456727450041663
"nüfus","insanlar","related","word","word",0.247606251261329
"zincir","ip","related","word","word",0.470444315121242
"yakın","irak","related","word","word",0.0694800318798093
"ironi","ironik","related","word","word",0.692379553120927
"görev","iş","related","word","word",0.51268602318136
"işkence","işkence","related","word","word",1
"sanayi","işletme","related","word","word",0.324538861312757
"tuna","istakoz","related","word","word",0.330320544345486
"platform","istasyon","related","word","word",0.422187931413166
"talep etmek","istek","related","word","word",NA
"istifa etme","işten çıkarma","related","word","word",NA
"gurur","itibar","related","word","word",0.410790987401252
"kariyer","itibar","related","word","word",0.258608308973907
"itiraf etmek","itiraf etmek","related","word","word",NA
"harika","iyi","related","word","word",0.601461124442605
"kurtarmak","iyileşmek","related","word","word",0.294582158621052
"izin vermek","izin vermek","related","word","word",NA
"ekran","izlemek","related","word","word",0.28631560867616
"sherlock","ırmak","related","word","word",0.0534237751500788
"karanlık","ışık","related","word","word",0.493318857263289
"kuru","ıslak","related","word","word",0.518065037836817
"boynuz","ıslık","related","word","word",0.236638292002736
"romeo","juliet","related","word","word",0.777345729325429
"kapasite","kabiliyet","related","word","word",0.478697515565108
"reddetmek","kabul","related","word","word",0.530435717406834
"kidnap","kaçamak","related","word","word",0.0849359331354688
"kaçmak","kaçmak","related","word","word",1
"dul","kadın","related","word","word",0.447242413854253
"kemik","kafatası","related","word","word",0.53930573884188
"gülümsemek","kahkaha","related","word","word",0.393520143603926
"fincan","kahve","related","word","word",0.616358389859776
"elemek","kaldırmak","related","word","word",0.451979815463754
"saray","kale","related","word","word",0.447374604210425
"miktar","kalite","related","word","word",0.297923188134335
"ince","kalın","related","word","word",0.486213616737772
"varış","kalkış","related","word","word",0.436492845725513
"kalmak","kalmak","related","word","word",1
"piknik","kamp yapmak","related","word","word",NA
"jeep","kamyon","related","word","word",0.403331014508899
"tanıtım videosu","kamyonet","related","word","word",NA
"kanıt","kanıt","related","word","word",1
"kilitli","kapalı","related","word","word",0.61902348158734
"açılış","kapanma","related","word","word",0.418064265952701
"açık","kapat","related","word","word",0.324953204412493
"anarşi","kapitalizm","related","word","word",0.482664903529999
"pencere","kapı","related","word","word",0.679359318504405
"salyangoz","kaplumbağa","related","word","word",0.505984012289766
"gözlük","kapmak","related","word","word",0.0773378077276436
"komutan","kaptan","related","word","word",0.676701736306871
"yağmur","kar","related","word","word",0.574355218555343
"böbrek","karaciğer","related","word","word",0.760478516720741
"gölge","karanlık","related","word","word",0.445885667645719
"yol","karayolu","related","word","word",0.464457758267449
"dostum","kardeş","related","word","word",0.318480433738791
"piskopos","kardinal","related","word","word",0.582695843218308
"yük","kargo","related","word","word",0.431669586853062
"omurga","karın","related","word","word",0.255917184309896
"bal arısı","karınca","related","word","word",NA
"kombinasyon","karışım","related","word","word",0.440327768931891
"mafya","kartel","related","word","word",0.532350172181414
"sinir","kas","related","word","word",0.478805881865288
"kasırga","kasırga","related","word","word",1
"kazara","kasıtlı olarak","related","word","word",NA
"katil","katil","related","word","word",1
"mücâdele etmek","kavga","related","word","word",NA
"ölüm","kaybolma","related","word","word",0.293405978753886
"kayıt","kayıt","related","word","word",1
"kurtarmak","kayıt etmek","related","word","word",NA
"olay","kaza","related","word","word",0.497736398725743
"beceriksiz","kazanan","related","word","word",0.138407451587022
"kazanmak","kazanç","related","word","word",0.395351222526573
"köpek","kedi","related","word","word",0.773415116310764
"tatlı","kek","related","word","word",0.388316254960342
"saygı","kendinden emin","related","word","word",NA
"başkent","kent","related","word","word",0.364062043827507
"kurbağa","kertenkele","related","word","word",0.605493477432488
"atıcı","keskin nisanci","related","word","word",NA
"göz yaşı","kesmek","related","word","word",NA
"cehalet","kibir","related","word","word",0.410501409554816
"turnuva","kibrit","related","word","word",0.0741372811212663
"anahtar","kilit","related","word","word",0.597469372013125
"kiracı","kiraya veren","related","word","word",NA
"kiralama","kiraya vermek","related","word","word",NA
"karakter","kişilik","related","word","word",0.430585258434425
"kutsal kitap","kitap","related","word","word",NA
"kalabalık","kitle","related","word","word",0.334199095160867
"paramparça etmek","kırmak","related","word","word",NA
"yaz","kış mevsimi","related","word","word",NA
"erkek","kızlar","related","word","word",0.372521786978614
"tipik","klasik","related","word","word",0.532424975683377
"hastane","klinik","related","word","word",0.567877307549874
"büyük","kocaman","related","word","word",0.551736075025687
"damak zevki","koku","related","word","word",NA
"el","kol","related","word","word",0.402399831680221
"bakmak","kol saati","related","word","word",NA
"imkansız","kolay","related","word","word",0.404221725941166
"yüzük","kolye","related","word","word",0.658303611456059
"drama","komedi","related","word","word",0.535531906374265
"müfettiş","komisyon üyesi","related","word","word",NA
"ırkçı","komünist","related","word","word",0.489576150765227
"tur","konser","related","word","word",0.308533888689707
"durum","konum","related","word","word",0.283617923585738
"konuşmak","konuşmak","related","word","word",1
"rom","konyak","related","word","word",0.577940774146123
"orijinal","kopya","related","word","word",0.374582794555027
"korku","korku","related","word","word",1
"korkmak","korkutmak","related","word","word",0.388083776670997
"iyi","kötü","related","word","word",0.638131488280778
"takip etmek","kovalamak","related","word","word",NA
"rodeo","kovboy","related","word","word",0.403752074031279
"kamp","köy","related","word","word",0.39257382882866
"sokmak","koymak","related","word","word",0.561907056903648
"kraliçe","kral","related","word","word",0.696643690552994
"asil","krallık","related","word","word",0.336348892623173
"durum","kriz","related","word","word",0.392252639680587
"biraz","küçük","related","word","word",0.211152381042887
"göz","kulak","related","word","word",0.306061685611122
"uygulamak","kullanmak","related","word","word",0.483106079914581
"çamur","kum","related","word","word",0.592246650659728
"ulusal","küresel","related","word","word",0.371430216937742
"dayanmak","kurt","related","word","word",0.0706208867984145
"kahraman","kurtarıcı","related","word","word",0.555224765545117
"komisyon","kurul","related","word","word",0.478925614916615
"kelebek","kuş","related","word","word",0.53567924607727
"kuvvet","kuvvet","related","word","word",1
"akraba","kuzen","related","word","word",0.525838387379582
"güneş ışığı","kuzey","related","word","word",NA
"lezzetli","lezzetli","related","word","word",1
"tutucu","liberal","related","word","word",0.446429970929623
"koy","liman","related","word","word",0.140506065242044
"taksi","limuzin","related","word","word",0.660011950306553
"ming","ling","related","word","word",0.548724497786278
"ganimet","madalya","related","word","word",0.298602081211764
"eser","madalyon","related","word","word",0.175176761295189
"dükkan","mağaza","related","word","word",0.732219409534928
"rehin","mahkum","related","word","word",0.24563821434986
"özel","mahremiyet","related","word","word",0.30265990176733
"robot","makine","related","word","word",0.475424898342185
"minimum","maksimum","related","word","word",0.627493486833771
"adil","makul","related","word","word",0.490889667840724
"emlak","mal sahibi","related","word","word",NA
"yetimhane","manastır","related","word","word",0.465470066851042
"tapınak şakak .. mabet","manastır","related","word","word",NA
"kontrol","manipule etmek","related","word","word",NA
"açıklama","mantıklı","related","word","word",0.400803411691001
"yoga","masaj","related","word","word",0.514292551449503
"fizik","matematik","related","word","word",0.720794999402974
"kahverengi","mavi","related","word","word",0.700855400684096
"ketçap","mayonez","related","word","word",0.617604742828677
"kültür","medeniyet","related","word","word",0.477019381494054
"teknik","mekanik","related","word","word",0.471261570574933
"telgraf","mektup","related","word","word",0.547459790765771
"kumaş","mendil","related","word","word",0.387139734021923
"bağışlama","merhamet","related","word","word",0.445807410134056
"sabır","merhamet","related","word","word",0.540190856238955
"temel","merkez","related","word","word",0.142136774973783
"kalibreli","mermi","related","word","word",0.624890393282339
"demir","metal","related","word","word",0.497874869176028
"kilometre","metre","related","word","word",0.716647984117663
"engel","meydan okumak","related","word","word",NA
"elma","meyve","related","word","word",0.638471080674254
"süt","meyve suyu","related","word","word",NA
"mezar","mezarlık","related","word","word",0.732719672845293
"diploma","mezun olmak","related","word","word",NA
"ishal","mide bulantısı","related","word","word",NA
"kamera","mikrofon","related","word","word",0.600062361661497
"teleskop","mikroskop","related","word","word",0.559355035202421
"toplamak","miktar","related","word","word",0.262659464175542
"milyon","milyar","related","word","word",0.784127676304876
