zh_cue,zh_target,type,cue_type,target_type,zh_cosine
看见,遇到,related,word,word,
性别,身体,related,word,word,0.894582918262542
阴影,黑暗,related,word,word,0.874592845756473
显示,表现,related,word,word,0.755027416953991
相似,不同,related,word,word,0.921057886963819
过错,犯罪,related,word,word,0.875965821463309
单身,已婚,related,word,word,0.885334538592299
尺寸,长度,related,word,word,0.847951774001351
天空,天国,related,word,word,0.941167881682858
粉碎,打破,related,word,word,0.933024487642631
烟雾,雪茄,related,word,word,0.554058002825388
有时,经常,related,word,word,0.793115510734643
汤羹,沙拉,related,word,word,
来源,线人,related,word,word,0.702435586974311
赛场,棒球,related,word,word,0.844064911620577
偷盗,抢劫,related,word,word,0.941340131232396
棍棒,锤子,related,word,word,0.900856476116095
强度,力气,related,word,word,
压力,抑郁,related,word,word,0.924285564818343
固执,自私,related,word,word,0.664365286172379
潜艇,轮船,related,word,word,0.934408826005699
苦难,疼痛,related,word,word,0.912555912563671
迹象,症候,related,word,word,0.855545633067824
坦克,引擎,related,word,word,0.852106587295051
出租车,豪华车,related,word,word,0.72697404988097
眼泪,伤口,related,word,word,0.968406809156727
文本,诗歌,related,word,word,0.868193424252231
小偷,罪犯,related,word,word,0.864632163897684
薄,厚,related,word,word,0.861532922687332
第三,第四,related,word,word,0.903531114012829
吐司,熏肉,related,word,word,0.949737445439062
烟草,香烟,related,word,word,0.708221658340558
厕所,水槽,related,word,word,0.900720121794338
明天,早晨,related,word,word,0.798053857759052
角逐,竞争,related,word,word,0.78654643040367
拖车,货车,related,word,word,0.534967844158862
戏弄,玩笑,related,word,word,0.789587273859724
准确,真实,related,word,word,0.85889981608585
信任,相信,related,word,word,0.852100988720088
尝试,试图,related,word,word,0.961905034005475
转动,旋转,related,word,word,0.912958823875285
两个,四个,related,word,word,0.892175836689667
飞碟,外星人,related,word,word,0.909745962813336
叔叔,爸爸,related,word,word,0.619234187556485
不适,难受,related,word,word,0.909204772022281
有用,有效,related,word,word,0.895850940516429
价值,价钱,related,word,word,0.955078151760201
等待,期待,related,word,word,0.830471190244664
温暖,凉爽,related,word,word,0.929992204855868
提示,消息,related,word,word,0.729108531642567
哪个,那个,related,word,word,0.721576330391483
威士忌,伏特加,related,word,word,0.943824017237879
寡妇,女士,related,word,word,0.556097616267976
机智,有趣,related,word,word,0.823322779057553
单词,句子,related,word,word,0.560872732269857
南方,北方,related,word,word,0.760533650641956
西方,东方,related,word,word,0.940316205401265
白色,黑色,related,word,word,0.920481982958878
积极,消极,related,word,word,0.870594333159089
红色,黄色,related,word,word,0.840416775955944
英语,法语,related,word,word,0.573162964366835
公主,王子,related,word,word,0.868890074079367
母亲,父亲,related,word,word,0.606151367541911
阅读,写作,related,word,word,0.676269442562737
小狗,猫咪,related,word,word,0.929915681266682
女王,国王,related,word,word,0.861891071857919
强壮,虚弱,related,word,word,0.882842867092799
将军,上校,related,word,word,0.736093960121257
省长,议员,related,word,word,0.772578830893138
医师,大夫,related,word,word,0.932291270625419
姐妹,兄弟,related,word,word,0.714779686760661
清白,有罪,related,word,word,0.91190785280814
学生,老师,related,word,word,0.758420997057104
自杀,谋杀,related,word,word,0.893592949855943
女孩,男孩,related,word,word,0.896272418360748
医院,诊所,related,word,word,0.720640607324273
酒店,旅馆,related,word,word,0.913377431309107
风险,危险,related,word,word,0.748852800155159
分开,婚姻,related,word,word,0.725556471073803
长官,队长,related,word,word,0.776733602732373
肿瘤,癌症,related,word,word,0.830363173557509
温热,寒冷,related,word,word,0.883613372760898
火车,公交,related,word,word,0.903639651036217
男性,女性,related,word,word,0.901959592395643
车辆,轿车,related,word,word,0.786617762080606
铁器,金属,related,word,word,
可卡因,海洛因,related,word,word,0.947118418414679
神话,传奇,related,word,word,0.844202197541855
发电机,反应堆,related,word,word,0.925424594050632
想法,理论,related,word,word,0.823981708685054
憎恨,热爱,related,word,word,0.853641568749172
学院,大学,related,word,word,0.909605188441759
气流,风暴,related,word,word,0.550596512242803
夏日,冬天,related,word,word,0.930646566385314
炸毁,爆破,related,word,word,0.379088676720192
剑,刀,related,word,word,0.813867300536968
军士,中尉,related,word,word,0.813921327181957
同事,朋友,related,word,word,0.56445668037633
制片,导演,related,word,word,0.75203142056822
理想,完美,related,word,word,0.842020584632216
蝴蝶,飞鸟,related,word,word,0.891503603200511
婴儿,孩子,related,word,word,0.732604564848892
听见,得知,related,word,word,0.833431088542448
购买,售卖,related,word,word,
对抗,战斗,related,word,word,0.821857597388773
糟糕,可怕,related,word,word,0.787548480117051
肮脏,厌恶,related,word,word,0.694014693014823
狗熊,灰狼,related,word,word,0.89897520888587
小雨,大雪,related,word,word,0.911822006681637
成功,失败,related,word,word,0.870188287070096
干燥,湿润,related,word,word,0.934871587667877
噪音,声响,related,word,word,
在场,缺席,related,word,word,0.788089914920285
技术,科学,related,word,word,0.711443486514556
秘书,助手,related,word,word,0.960362146004356
非法,合规,related,word,word,0.792934822290103
实验,测试,related,word,word,0.672389576149994
商讨,会议,related,word,word,
舞者,跳舞,related,word,word,0.842554903526868
委任,委员,related,word,word,0.779089966871739
最小,最大,related,word,word,0.846989904069518
证实,确认,related,word,word,0.709736994660717
业余,专业,related,word,word,0.935176341469077
九月,十月,related,word,word,0.940836540463842
就绪,准备,related,word,word,0.542444258013725
女儿,儿子,related,word,word,0.744615861151921
开枪,射击,related,word,word,0.856894497226517
忘却,记住,related,word,word,
点火,火焰,related,word,word,0.800749919470573
短暂,长久,related,word,word,
纸盒,袋子,related,word,word,
窗户,大门,related,word,word,0.944966059513378
戒指,项链,related,word,word,0.953696601562452
海水,海洋,related,word,word,0.851762654338059
宇宙,星系,related,word,word,0.559210097831033
胜利,失败,related,word,word,0.873645367149854
间谍,叛徒,related,word,word,0.832889558253804
文化,文明,related,word,word,0.801193198197541
异常,奇怪,related,word,word,0.701916583409615
高尔夫,网球,related,word,word,0.884718562587647
非洲,美国,related,word,word,0.751526030827765
公里,仪表,related,word,word,
夜间,晚上,related,word,word,0.730723632527722
饮料,啤酒,related,word,word,0.816841459800943
编号,地址,related,word,word,0.689552780353833
迟到,提前,related,word,word,0.652288423705751
学习,教导,related,word,word,0.787425844223025
贫困,富有,related,word,word,0.537646541992165
方桌,椅子,related,word,word,
法庭,法官,related,word,word,0.763174743925939
精彩,极好,related,word,word,0.754309236200559
傻子,笨蛋,related,word,word,0.447418726585572
微笑,开心,related,word,word,0.867302474788557
品质,性格,related,word,word,0.88377276725281
水手,轮船,related,word,word,0.868248981648127
衬衫,夹克,related,word,word,0.899081623874594
过程,程序,related,word,word,0.898933015998331
社会,社区,related,word,word,0.832075769989298
爷爷,奶奶,related,word,word,0.795086826432978
土堆,高山,related,word,word,
艺人,画家,related,word,word,0.687295146165472
戏剧,喜剧,related,word,word,0.952004782092473
线人,记者,related,word,word,0.838509768849229
正式,官方,related,word,word,0.768030697417372
英镑,美元,related,word,word,0.848977092309464
积极,活跃,related,word,word,0.832818168820412
雷达,卫星,related,word,word,0.931013666044592
灯具,蜡烛,related,word,word,
仪式,典礼,related,word,word,
精神,情绪,related,word,word,0.949175920504412
讲话,发言,related,word,word,0.886037925044593
玩耍,游戏,related,word,word,0.852444296588475
丈夫,妻子,related,word,word,0.642943934870595
公司,企业,related,word,word,0.811408916655284
班级,学校,related,word,word,0.898791057624921
保护,守卫,related,word,word,0.359047921324269
律师,检察官,related,word,word,0.88103352537615
搜索,找到,related,word,word,0.797889201646972
品尝,闻到,related,word,word,0.919821221002366
玻璃,瓶子,related,word,word,0.927042894411885
广播,电视,related,word,word,0.782086434435926
慢慢,快速,related,word,word,0.68825063204283
怪物,生物,related,word,word,0.784586119300604
军人,战士,related,word,word,0.859017705360218
骨头,颅骨,related,word,word,0.845565505565474
病毒,感染,related,word,word,0.85077457668218
钢琴,吉他,related,word,word,0.903112284996377
混乱,困惑,related,word,word,0.91868365965553
世纪,十年,related,word,word,0.815146175249721
约会,婚礼,related,word,word,0.892818378320551
白鲨,鱼类,related,word,word,
僧侣,牧师,related,word,word,0.85511819082493
电报,信件,related,word,word,0.94600245069202
周一,周二,related,word,word,0.910301061697641
回去,返回,related,word,word,0.756611336618958
居住,生存,related,word,word,0.87172867707315
特别,独特,related,word,word,0.904542683408012
形势,危机,related,word,word,
疲劳,饥饿,related,word,word,0.941738734966244
月份,星期,related,word,word,0.826597510770027
亲吻,拥抱,related,word,word,0.902884525348094
灵魂,精神,related,word,word,0.889491020459265
钥匙,锁具,related,word,word,
墙壁,栅栏,related,word,word,0.583512855418058
沉默,冷静,related,word,word,0.63300674293344
敌人,对手,related,word,word,0.934466085155154
红酒,香槟,related,word,word,0.867948279038798
河流,湖泊,related,word,word,0.878923901456055
表明,证词,related,word,word,0.951346785219461
卷宗,文档,related,word,word,
职业,名声,related,word,word,0.662752651121147
杯子,咖啡,related,word,word,0.823113950394763
盲人,聋子,related,word,word,0.876676187597828
合同,协议,related,word,word,0.776391617504391
现实,幻想,related,word,word,0.894494486745887
成员,领导,related,word,word,0.746278074976391
面包,起司,related,word,word,0.838122141810477
攀登,跳跃,related,word,word,0.914244098598452
流行,知名,related,word,word,0.909380220013454
影响,影响,related,word,word,1
干脆,直接,related,word,word,0.962453937545345
恶梦,睡梦,related,word,word,
文章,报纸,related,word,word,0.89437375365877
价值,重要,related,word,word,0.841160138912733
疗法,医治,related,word,word,0.769189418442526
歌手,乐师,related,word,word,0.698117034815364
老鼠,耗子,related,word,word,0.936170024853735
能手,专家,related,word,word,0.682890764657248
人质,囚犯,related,word,word,0.736778326918047
拉拉,男同,related,word,word,0.885883683985395
工程,建筑,related,word,word,0.884687407099042
画廊,展览,related,word,word,0.843927220901693
篮球,足球,related,word,word,0.789793482375752
主教,红衣主教,related,word,word,0.926148219962922
爵士,音乐,related,word,word,0.607184951120457
废墟,灰尘,related,word,word,0.916214337304729
圣经,书籍,related,word,word,0.794313177267705
大街,道路,related,word,word,0.859649155146774
季夏,七月,related,word,word,
应答,回复,related,word,word,0.564368487310879
计划,战略,related,word,word,0.910470892956239
未来,过去,related,word,word,0.870069693059395
说谎,骗子,related,word,word,0.844851865998756
挑选,选项,related,word,word,
保证,誓言,related,word,word,0.785350749917505
接触,联系,related,word,word,0.915497799541086
夜店,酒吧,related,word,word,0.927691778274547
对话,讨论,related,word,word,0.706972343837947
自由,民主,related,word,word,0.919141525043992
桥梁,隧道,related,word,word,0.797686343052111
代码,密码,related,word,word,0.829707643368897
聚焦,集中,related,word,word,0.79211530726557
春日,秋天,related,word,word,0.892225314550785
宫殿,城堡,related,word,word,0.811394769322913
事故,意外,related,word,word,0.852677932872109
兴奋,有趣,related,word,word,0.749938513418136
寺庙,修道院,related,word,word,0.898527138545676
按钮,挤压,related,word,word,0.890574851992879
阻碍,停止,related,word,word,0.627124381703999
奴隶,仆人,related,word,word,0.841323336086364
出路,入口,related,word,word,0.926855035737827
满意,快乐,related,word,word,0.882123148493617
塔楼,建筑,related,word,word,0.816985248537118
到达,离开,related,word,word,0.664810207684001
概括,描述,related,word,word,0.593364137432674
毯子,毛巾,related,word,word,0.823578579810828
电缆,导线,related,word,word,0.832225894987819
诗人,作家,related,word,word,0.889453521448507
丛林,树木,related,word,word,0.486622667698005
侵略,攻击,related,word,word,0.816751701967974
僵尸,吸血鬼,related,word,word,0.818376608995636
沙发,床铺,related,word,word,0.912684189610406
华盛顿,波士顿,related,word,word,0.931218137586501
罗马,希腊,related,word,word,0.847691892426763
跑步,走路,related,word,word,0.906293086941855
站立,坐下,related,word,word,0.64749253672781
能量,活力,related,word,word,0.793236191917278
血液,尿液,related,word,word,0.756994171010416
法律,宪章,related,word,word,0.822166996854138
头发,胡须,related,word,word,0.845130809848536
嘴巴,鼻子,related,word,word,0.924045302460102
眼睛,耳朵,related,word,word,0.943672532528636
安全,和平,related,word,word,0.774334864048545
浪费,消耗,related,word,word,0.913834790160678
乐趣,喜悦,related,word,word,0.885646578461847
困难,简单,related,word,word,0.873283406750541
热量,温度,related,word,word,0.867932069501143
手指,拇指,related,word,word,0.775840924579292
口袋,钱包,related,word,word,0.890207722800983
嫉妒,生气,related,word,word,0.868406803611579
票券,护照,related,word,word,
坟包,公墓,related,word,word,
陷阱,诱饵,related,word,word,0.897536126938546
自豪,尊严,related,word,word,0.937996165703954
昂贵,便宜,related,word,word,0.937881693541295
损害,受伤,related,word,word,0.604907750500812
咒语,巫婆,related,word,word,0.83511928198258
青年,儿时,related,word,word,0.902535259395183
警长,市长,related,word,word,0.842110037289839
奶牛,肥猪,related,word,word,0.791607291375664
增加,减少,related,word,word,0.370163063389757
利润,收入,related,word,word,0.923673963245906
纹身,瘢痕,related,word,word,
降落,航班,related,word,word,0.944509089158682
钻石,珠宝,related,word,word,0.61157560576707
点心,蛋糕,related,word,word,0.912857417681019
步枪,火炮,related,word,word,0.778009969276405
盾牌,盔甲,related,word,word,0.732298566708569
头盔,帽子,related,word,word,0.936054433190344
盗窃,抢劫,related,word,word,0.917179844267486
混凝土,钢铁,related,word,word,0.904569195696842
反射,镜子,related,word,word,0.742056212664232
频率,信号,related,word,word,0.811238521707199
软件,电脑,related,word,word,0.835305582229725
剂量,注射,related,word,word,0.462201082393791
墓碑,雕像,related,word,word,0.439030693762383
真货,赝品,related,word,word,
房子,公寓,related,word,word,0.903189626613351
大的,巨额,related,word,word,0.9249666925219
房间,卧室,related,word,word,0.942371305135829
错误,正确,related,word,word,0.720587882029676
可能,大概,related,word,word,0.717976439242211
国家,国家,related,word,word,1
晚饭,早餐,related,word,word,0.957570783093722
活的,死的,related,word,word,0.941568591520381
图画,照片,related,word,word,0.532919357230796
甜美,可爱,related,word,word,0.892531895508757
关系,友谊,related,word,word,0.873594643265039
经验,知识,related,word,word,0.917216262358183
聪明,智能,related,word,word,0.699850745626429
相机,话筒,related,word,word,0.83192362824847
惊喜,失望,related,word,word,0.926188932812013
岩块,石头,related,word,word,
实践,锻炼,related,word,word,0.939080112870164
研究,学习,related,word,word,0.757897887151718
气体,燃料,related,word,word,0.961118166905894
帮派,团体,related,word,word,0.858570734840931
洗澡,浴室,related,word,word,0.896483688630641
观光,音乐会,related,word,word,0.898053656785328
喉咙,脖子,related,word,word,0.956652917633723
千个,一百,related,word,word,
系列,片段,related,word,word,0.702621099832081
救援,搭救,related,word,word,
肩膀,膝盖,related,word,word,0.935312707535633
保证,承诺,related,word,word,0.859911653678506
目的,主题,related,word,word,0.866618874028674
任务,使命,related,word,word,0.940062830219941
网络,系统,related,word,word,0.84601293714204
忠诚,可信,related,word,word,0.632453505245894
三明治,汉堡包,related,word,word,0.944913152420135
电影,剧院,related,word,word,0.776116563188424
代表,经典,related,word,word,0.829659707578379
督察,委员,related,word,word,0.891829167583569
火箭,导弹,related,word,word,0.879530569362735
感人,惊人,related,word,word,0.945571825972997
短裙,裙子,related,word,word,0.824432215686227
狐狸,兔子,related,word,word,0.950339229347609
海盗,水手,related,word,word,0.925019340327666
行政,政府,related,word,word,0.912977700938451
殖民地,联邦体,related,word,word,
阴道,阳具,related,word,word,0.813992767342321
化学,生物,related,word,word,0.867975898595024
化学的,生物的,related,word,word,
传感器,发射机,related,word,word,0.705659805450102
支撑,保持,related,word,word,0.816501887323573
区域,地带,related,word,word,0.778850315972875
发觉,理解,related,word,word,
记载,录制,related,word,word,0.88022752894128
纸张,港币,related,word,word,0.654552292510439
艰难,困苦,related,word,word,
地面,毛毯,related,word,word,0.908509080687855
现金,钞票,related,word,word,0.879041202756577
简单,容易,related,word,word,0.919824111170218
艺术,文学,related,word,word,0.884136847807738
秘密,隐私,related,word,word,0.867397843648902
绝对,完全,related,word,word,0.925450277215738
懦夫,笨蛋,related,word,word,0.649129175681872
重量,高度,related,word,word,0.826809012449327
牢房,监狱,related,word,word,0.8232037447387
挖掘,埋葬,related,word,word,0.934888534902777
植物,花卉,related,word,word,
单元,部门,related,word,word,0.909681622212853
慢慢,迅速,related,word,word,0.917473030994227
糖果,巧克力,related,word,word,0.953246043727096
潜力,天赋,related,word,word,0.623800712939037
链条,绳索,related,word,word,0.92423903096394
首都,城市,related,word,word,0.869988083217053
布偶,玩具,related,word,word,0.884772017360576
圆圈,三角,related,word,word,0.914084827199211
慈善,捐款,related,word,word,0.950129505375684
沉默,安静,related,word,word,0.690563256201367
指甲,牙齿,related,word,word,0.906396510497729
日常,每周,related,word,word,0.838000123259576
耐心,同情,related,word,word,0.8727813190739
方法,技术,related,word,word,0.672078170762121
专辑,歌曲,related,word,word,0.842405144148314
紧急,迫切,related,word,word,0.854316068722281
礼貌,友好,related,word,word,0.908863129341217
周年,生日,related,word,word,
狭窄,宽阔,related,word,word,
瘟疫,流行,related,word,word,0.85708102636846
拍卖,销售,related,word,word,0.84418449231279
问候,礼物,related,word,word,0.905137330198986
野蛮,残忍,related,word,word,0.943619047203129
乘客,司机,related,word,word,0.581192351119774
成分,元素,related,word,word,0.798826316449219
