"word_combo","el_cue","el_target","type","cue_type","target_type","el_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"zeόνηξοδεύω","zeόνη","ξοδεύω","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ʼσαανίσετρος","ʼσα","ανίσετρος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ʼσαπετυχαίνω","ʼσα","πετυχαίνω","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αβηροςμπράτσο","αβηρος","μπράτσο","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αβηροςπουλτική","αβηρος","πουλτική","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άβολοςαγόρι","άβολος","αγόρι","unrelated","word","word",0.0743307916012923,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άβολοςανθρριοι","άβολος","ανθρριοι","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άβολοςδυσάρεστος","άβολος","δυσάρεστος","related","word","word",0.522784375785573,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγάγματιπαϊνί","αγάγματι","παϊνί","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγάγματιτυρί","αγάγματι","τυρί","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγαλάανώτατος","αγαλά","ανώτατος","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγαλάμούπλ","αγαλά","μούπλ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγγελοςδιάβολος","άγγελος","διάβολος","related","word","word",0.541874850878424,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγγελοςμπέιζμπολ","άγγελος","μπέιζμπολ","unrelated","word","word",0.140356731572614,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγγελοςναυτοτ","άγγελος","ναυτοτ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγγλικάγαλλικά","αγγλικά","γαλλικά","related","word","word",0.769928039087861,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγγλικάπεκως","αγγλικά","πεκως","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγγλικάπεριορίζω","αγγλικά","περιορίζω","unrelated","word","word",0.0714067289365802,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγγλυτάτεράσταίς","αγγλυτά","τεράσταίς","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγγλυτάτριπλό","αγγλυτά","τριπλό","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγελάδαγουρούνι","αγελάδα","γουρούνι","related","word","word",0.526262336031553,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγελάδαέμβοευση","αγελάδα","έμβοευση","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγελάδαπολιτικός","αγελάδα","πολιτικός","unrelated","word","word",0.118820463738621,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγελήςαεξωγκόνο","αγελήςα","εξωγκόνο","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγελήςαηγέτης","αγελήςα","ηγέτης","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγια γραφηαστακός","αγια γραφη","αστακός","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγια γραφηβιβλίο","αγια γραφη","βιβλίο","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγια γραφητοδικός","αγια γραφη","τοδικός","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγκυραγραμφίριο","άγκυρα","γραμφίριο","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγκυραμεγάλος","άγκυρα","μεγάλος","unrelated","word","word",0.125951129493851,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγκυρασαλπάρω","άγκυρα","σαλπάρω","related","word","word",0.40414379172297,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγνοιααλαζονεία","άγνοια","αλαζονεία","related","word","word",0.499084635277235,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγνοιαδολοφόνος","άγνοια","δολοφόνος","unrelated","word","word",0.144282388306324,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγνοιασυμβουκτύω","άγνοια","συμβουκτύω","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγοράζωπαρασφθηση","αγοράζω","παρασφθηση","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγοράζωπουλώ","αγοράζω","πουλώ","related","word","word",0.626743144329462,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγοράζωσυνάντηση","αγοράζω","συνάντηση","unrelated","word","word",0.0872305125392093,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγόριαθηλυτές","αγόρια","θηλυτές","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγόριακορίτσια","αγόρια","κορίτσια","related","word","word",0.874396657875291,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγόριαοθόνη","αγόρια","οθόνη","unrelated","word","word",0.0977770687578381,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγουλοςέτντι","άγουλος","έτντι","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άγουλοςθυμωμένος","άγουλος","θυμωμένος","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγρότηςεπεισόδιο","αγρότης","επεισόδιο","unrelated","word","word",-0.0158396789599551,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγρότηςεργάτης","αγρότης","εργάτης","related","word","word",0.553089768623399,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγρότηςκογνός","αγρότης","κογνός","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγχόγιακόλαση","αγχόγια","κόλαση","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αγχόγιαμίδεα","αγχόγια","μίδεα","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άδειαδεέμετία","άδεια","δεέμετία","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άδειαεγκαταλείπω","άδεια","εγκαταλείπω","related","word","word",0.207307396391437,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άδειαέγκριση","άδεια","έγκριση","related","word","word",0.587556782268416,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδειάζωγεμάτος","αδειάζω","γεμάτος","related","word","word",0.202927944028874,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδειάζωεπιβεβαιάρω","αδειάζω","επιβεβαιάρω","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδειάζωτένις","αδειάζω","τένις","unrelated","word","word",0.1254146154708,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άδειακόμινχα","άδεια","κόμινχα","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άδειακυνικός","άδεια","κυνικός","unrelated","word","word",0.0724315219181193,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άδειαφόρεμα","άδεια","φόρεμα","unrelated","word","word",0.0497946454566258,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδελαϊξαδερφη","αδελαϊ","ξαδερφη","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδελαϊχαριγημένος","αδελαϊ","χαριγημένος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδελφήαδελφός","αδελφή","αδελφός","related","word","word",0.544413111190085,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδελφήγεωρθλια","αδελφή","γεωρθλια","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδελφήπρωτάθλημα","αδελφή","πρωτάθλημα","unrelated","word","word",0.0586950502157998,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδίζωmaαστός","αδίζω","maαστός","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδίζωηλιακός","αδίζω","ηλιακός","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδικεραλιεία","αδικερ","αλιεία","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδικερεκφυγμετί","αδικερ","εκφυγμετί","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδικίαάδικος","αδικία","άδικος","related","word","word",0.33991428982252,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδικίαεκτέφαση","αδικία","εκτέφαση","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδικίαμυρωδιά","αδικία","μυρωδιά","unrelated","word","word",0.126336215317919,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδιράζωεδώδιμος ιχθύς του βορρά","αδιράζω","εδώδιμος ιχθύς του βορρά","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδιράζωισγος","αδιράζω","ισγος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδυναμίαανίκανος","αδυναμία","ανίκανος","related","word","word",0.263361350375615,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδυναμίαβλήμα","αδυναμία","βλήμα","unrelated","word","word",-0.00398210506114419,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδυναμίαείκος","αδυναμία","είκος","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδύνατοεύκολο","αδύνατο","εύκολο","related","word","word",0.565791644707546,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδύνατοπανεπιστήμιο","αδύνατο","πανεπιστήμιο","unrelated","word","word",0.138276593180797,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδύνατοριεχων","αδύνατο","ριεχων","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδυνηρίαανιχοστρόβιλος","αδυνηρία","ανιχοστρόβιλος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδυνηρίαπεινασμένος","αδυνηρία","πεινασμένος","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδώτατοκλνωστό","αδώτατο","κλνωστό","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αδώτατοσπανίως","αδώτατο","σπανίως","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αέραςοικογένεια","αέρας","οικογένεια","unrelated","word","word",0.0323302144055771,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αέραςοξυγόνο","αέρας","οξυγόνο","related","word","word",0.483426743124789,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αέραςσλεξα","αέρας","σλεξα","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αέριοαπνεη","αέριο","απνεη","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αέριοκαύσιμα","αέριο","καύσιμα","related","word","word",0.411093639131355,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αέριονικητής","αέριο","νικητής","unrelated","word","word",0.0722265287971668,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αθειςήλιος","αθεις","ήλιος","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αθειςσήός","αθεις","σήός","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθλιοςαξιολύπητο","άθλιος","αξιολύπητο","related","word","word",0.387609768998987,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθλιοςπιθακάς","άθλιος","πιθακάς","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθλιοςσυζήτηση","άθλιος","συζήτηση","unrelated","word","word",0.120452200869954,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθροάτμαπανοπλάι","άθροάτμα","πανοπλάι","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθροάτμαχρηματοδότηση","άθροάτμα","χρηματοδότηση","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθροισμαδιαφοργάικός","άθροισμα","διαφοργάικός","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθροισμαμουσικη","άθροισμα","μουσικη","unrelated","word","word",0.13181717053509,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"άθροισμαποσό","άθροισμα","ποσό","related","word","word",0.352956214522964,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αθώοςγεννωπος","αθώος","γεννωπος","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αθώοςεκφράζω","αθώος","εκφράζω","unrelated","word","word",0.132714739404478,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αθώοςένοχος","αθώος","ένοχος","related","word","word",0.734639845806105,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίμαμάνοσσα","αίμα","μάνοσσα","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίμαούρο","αίμα","ούρο","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίμαφιλελεύθερος","αίμα","φιλελεύθερος","unrelated","word","word",0.115464490253341,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιόμιοςβαισάκι","αιόμιος","βαισάκι","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιόμιοςνόστιμο","αιόμιος","νόστιμο","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίριακρίαρτος","αίρι","ακρίαρτος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίρικλασσικός","αίρι","κλασσικός","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιρίτσικαρκίνος","αιρίτσι","καρκίνος","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιρίτσιπρότύο","αιρίτσι","πρότύο","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισθητήραςομοσποληία","αισθητήρας","ομοσποληία","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισθητήραςπομπός","αισθητήρας","πομπός","related","word","word",0.683684070665793,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισθητήραςτσίρκο","αισθητήρας","τσίρκο","unrelated","word","word",0.0669016450682354,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισιόδοξοςδιαβατίζιο","αισιόδοξος","διαβατίζιο","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισιόδοξοςέντομο","αισιόδοξος","έντομο","unrelated","word","word",0.144767108266001,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισιόδοξοςρεαλιστικός","αισιόδοξος","ρεαλιστικός","related","word","word",0.564224977770211,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισιόδωροςαδρεναγανη","αισιόδωρος","αδρεναγανη","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αισιόδωροςκαουμπόι","αισιόδωρος","καουμπόι","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίτησηγενναίος","αίτηση","γενναίος","unrelated","word","word",0.0441506778512768,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίτησηπροοάρική","αίτηση","προοάρική","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αίτησηυπογράφω","αίτηση","υπογράφω","related","word","word",0.294328399354828,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιώναςδεκαετία","αιώνας","δεκαετία","related","word","word",0.245983989109595,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιώναςεκεί","αιώνας","εκεί","unrelated","word","word",0.106713188681784,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιώναςσχεδιάρι","αιώνας","σχεδιάρι","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιώνιοςγια πάντα","αιώνιος","για πάντα","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιώνιοςμεταφορα","αιώνιος","μεταφορα","unrelated","word","word",0.060394063132024,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"αιώνιοςσήός","αιώνιος","σήός","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ακίνδυνοςασφαλής","ακίνδυνος","ασφαλής","related","word","word",0.367242214388369,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ακίνδυνοςζις","ακίνδυνος","ζις","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ακίνδυνοςκατηγορία","ακίνδυνος","κατηγορία","unrelated","word","word",0.129675373210938,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ακοήασηαγώνομ","ακοήαση","αγώνομ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
