"word_combo","ja_cue","ja_target","type","cue_type","target_type","ja_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"アラ投獄","アラ","投獄","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ありがたく思ってその近約","ありがたく思って","その近約","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ありがたく思って感謝する","ありがたく思って","感謝する","related","word","word",0,NA,NA,NA,NA,NA
"ありがたく思って段落","ありがたく思って","段落","unrelated","word","word",0,NA,NA,NA,NA,NA
"アりナかん死に","アりナ","かん死に","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アりナ昨日","アりナ","昨日","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"アルバムると","アルバム","ると","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"アルバム写真家","アルバム","写真家","unrelated","word","word",0.805815542877365,NA,NA,NA,NA,NA
"アルバム歌","アルバム","歌","related","word","word",0.755499911378235,NA,NA,NA,NA,NA
"アワト欣味","アワト","欣味","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アワト銅像","アワト","銅像","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"いうクォーター","いう","クォーター","unrelated","word","word",0.477664139129173,NA,NA,NA,NA,NA
"いうけび","いう","けび","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"いう教える","いう","教える","related","word","word",0.696183041926191,NA,NA,NA,NA,NA
"いが召常早キャッチ","いが召常早","キャッチ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"いが召常早ジェター","いが召常早","ジェター","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"イゾスタイヴ","イゾ","スタイヴ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"イゾ投票","イゾ","投票","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イダとへ心配","イダとへ","心配","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イダとへ必酙","イダとへ","必酙","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いだふイェク","いだふ","イェク","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いだふエピソード","いだふ","エピソード","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"いついいプロトコル","いついい","プロトコル","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"いついい矩葎ノぼみ","いついい","矩葎ノぼみ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いつティブキング","いつティブ","キング","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"いつティブ久目る見に","いつティブ","久目る見に","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いつもしょっちゅう","いつも","しょっちゅう","related","word","word",0,NA,NA,NA,NA,NA
"いつもフィ","いつも","フィ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"いつもリン","いつも","リン","unrelated","word","word",0.867282966264224,NA,NA,NA,NA,NA
"いっ日肉家","いっ","日肉家","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いっ醜い","いっ","醜い","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イド告性","イド","告性","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"イド秋","イド","秋","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"いは床能ン","いは","床能ン","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いは正義","いは","正義","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イプボイ見指千隍","イプボイ見指","千隍","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"イプボイ見指詐欺","イプボイ見指","詐欺","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イベ文学","イベ","文学","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イベ続ん","イベ","続ん","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"イボス愛嬌がある","イボス","愛嬌がある","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イボス探わほ","イボス","探わほ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いも虫ヘビ","いも虫","ヘビ","related","word","word",0,NA,NA,NA,NA,NA
"いも虫文らせも","いも虫","文らせも","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"いも虫結婚式","いも虫","結婚式","unrelated","word","word",0,NA,NA,NA,NA,NA
"いよしぱ","いよ","しぱ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"いよ挑む","いよ","挑む","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イラ鋭像怯えさせる","イラ鋭像","怯えさせる","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イラ鋭像損開ダも","イラ鋭像","損開ダも","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"インスパイヤインスピレーション","インスパイヤ","インスピレーション","related","word","word",0,NA,NA,NA,NA,NA
"インスパイヤ訛佛際衆","インスパイヤ","訛佛際衆","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"インスパイヤ速度","インスパイヤ","速度","unrelated","word","word",0,NA,NA,NA,NA,NA
"インスパ丕正バッグ","インスパ丕正","バッグ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"インスパ丕正正不の","インスパ丕正","正不の","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"インスペクタおメント","インスペクタ","おメント","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"インスペクタコミッショナー","インスペクタ","コミッショナー","related","word","word",0,NA,NA,NA,NA,NA
"インスペクタ銃","インスペクタ","銃","unrelated","word","word",0,NA,NA,NA,NA,NA
"インスペブンクナ","インスペブン","クナ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"インスペブン卵","インスペブン","卵","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"インタージュト凍る","インタージュト","凍る","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"インタージュト膝妬な","インタージュト","膝妬な","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"インターナショナル世界","インターナショナル","世界","related","word","word",0.857768740965513,NA,NA,NA,NA,NA
"インターナショナル孤独な","インターナショナル","孤独な","unrelated","word","word",0,NA,NA,NA,NA,NA
"インターナショナル瀬万","インターナショナル","瀬万","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"インターネットウェブ","インターネット","ウェブ","related","word","word",0.890663001989828,NA,NA,NA,NA,NA
"インターネット容疑者","インターネット","容疑者","unrelated","word","word",0.766948581309904,NA,NA,NA,NA,NA
"インターネット山未箏","インターネット","山未箏","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"インフルエンザメンテナンス","インフルエンザ","メンテナンス","unrelated","word","word",0.905826413424644,NA,NA,NA,NA,NA
"インフルエンザ持激","インフルエンザ","持激","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"インフルエンザ病気","インフルエンザ","病気","related","word","word",0.902314933836254,NA,NA,NA,NA,NA
"イ気シニカル","イ気","シニカル","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"イ気箏脈ス","イ気","箏脈ス","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"うあハンカチ","うあ","ハンカチ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"うあ宏き","うあ","宏き","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ウィスキーウォッカ","ウィスキー","ウォッカ","related","word","word",0.948883548767195,NA,NA,NA,NA,NA
"ウィスキー探し出す","ウィスキー","探し出す","unrelated","word","word",0.868696650682611,NA,NA,NA,NA,NA
"ウィスキー身結迪ほ","ウィスキー","身結迪ほ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ヴィニー太陽の","ヴィニー","太陽の","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ヴィニー決是る","ヴィニー","決是る","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ウイルス完璧な","ウイルス","完璧な","unrelated","word","word",0.791656720243733,NA,NA,NA,NA,NA
"ウイルス感染","ウイルス","感染","related","word","word",0.916906287925365,NA,NA,NA,NA,NA
"ウイルス手頁払に","ウイルス","手頁払に","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"うぃ信仰","うぃ","信仰","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"うぃ弦へ","うぃ","弦へ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ヴィ手頁払に","ヴィ","手頁払に","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ヴィ視点","ヴィ","視点","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ウェイターウェイトレス","ウェイター","ウェイトレス","related","word","word",0.966147241915582,NA,NA,NA,NA,NA
"ウェイターコニャック","ウェイター","コニャック","unrelated","word","word",0.869277829982471,NA,NA,NA,NA,NA
"ウェイター具実首路","ウェイター","具実首路","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ウォギリくてお","ウォ","ギリくてお","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ウォ生物学","ウォ","生物学","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"うせ情報","うせ","情報","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"うせ握某みら","うせ","握某みら","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"うまいおいしい","うまい","おいしい","related","word","word",0.980646355473371,NA,NA,NA,NA,NA
"うまいお尻","うまい","お尻","unrelated","word","word",0.972576978158818,NA,NA,NA,NA,NA
"うまい和妊","うまい","和妊","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"エー土書","エー","土書","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"エー船員","エー","船員","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エイズエイチアイブイ","エイズ","エイチアイブイ","related","word","word",0,NA,NA,NA,NA,NA
"エイズキヴィ","エイズ","キヴィ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"エイズ葬儀","エイズ","葬儀","unrelated","word","word",0.701704126576666,NA,NA,NA,NA,NA
"エケ厼系粗","エケ","厼系粗","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"エケ減らす","エケ","減らす","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エノサーがは","エノサー","がは","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"エノサータオル","エノサー","タオル","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エピ叶さ風","エピ","叶さ風","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"エピ破壊","エピ","破壊","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エラーめねけほ","エラー","めねけほ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"エラー間違い","エラー","間違い","related","word","word",0.818785214197765,NA,NA,NA,NA,NA
"エラー高い","エラー","高い","unrelated","word","word",0.697132279556448,NA,NA,NA,NA,NA
"エレプポーカー","エレプ","ポーカー","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エレプ玉ね","エレプ","玉ね","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"エレ未県ぢら","エレ未県","ぢら","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"エレ未県ミッション","エレ未県","ミッション","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エワアドレナリン","エワ","アドレナリン","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"エワ痛常","エワ","痛常","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"え整庁為ク","え整","庁為ク","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"え整設計者","え整","設計者","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"オーガズム勃起","オーガズム","勃起","related","word","word",0.908857600876642,NA,NA,NA,NA,NA
"オーガズム正反給斗","オーガズム","正反給斗","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"オーガズム顕微鏡","オーガズム","顕微鏡","unrelated","word","word",0.83523953108077,NA,NA,NA,NA,NA
"オークリート抙領","オークリート","抙領","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"オークリート電気","オークリート","電気","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"オーケストラバンド","オーケストラ","バンド","related","word","word",0.899150026092145,NA,NA,NA,NA,NA
"オーケストラ素敵な","オーケストラ","素敵な","unrelated","word","word",0.872643708469147,NA,NA,NA,NA,NA
"オーケストラ託明ュニケーション","オーケストラ","託明ュニケーション","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"オーケス男生結紺ち","オーケス男生","結紺ち","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"オーケス男生軌道","オーケス男生","軌道","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"オーフーム正式な","オーフーム","正式な","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"オーフーム経徒","オーフーム","経徒","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"オーブンストーブ","オーブン","ストーブ","related","word","word",0,NA,NA,NA,NA,NA
"オーブンプレーヤー","オーブン","プレーヤー","unrelated","word","word",0,NA,NA,NA,NA,NA
"オーブン嘔め","オーブン","嘔め","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"オー段票乙吽","オー段票","乙吽","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"オー段票寄付","オー段票","寄付","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"おさえておく保つ","おさえておく","保つ","related","word","word",0,NA,NA,NA,NA,NA
"おさえておく感謝する","おさえておく","感謝する","unrelated","word","word",0,NA,NA,NA,NA,NA
"おさえておく暖勉","おさえておく","暖勉","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"おさつて立えテニス","おさつて立え","テニス","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"おさつて立え永んな","おさつて立え","永んな","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"おじさんお父さん","おじさん","お父さん","related","word","word",0.983057485719559,NA,NA,NA,NA,NA
"おじさんじっと見る","おじさん","じっと見る","unrelated","word","word",0,NA,NA,NA,NA,NA
"おじさん橙場チ","おじさん","橙場チ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"オヌフィ","オヌ","フィ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"オヌ継承する","オヌ","継承する","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"おひりも","おひ","りも","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"おひ悪魔","おひ","悪魔","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"おもてなし感謝の気持ち","おもてなし","感謝の気持ち","related","word","word",0,NA,NA,NA,NA,NA
"おもてなし矢学物","おもてなし","矢学物","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"おもてなし醜い","おもてなし","醜い","unrelated","word","word",0.956600705422399,NA,NA,NA,NA,NA
"おもプ保朱ろえ","おもプ","保朱ろえ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"おもプ描く","おもプ","描く","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"オリジナルコピー","オリジナル","コピー","related","word","word",0.714914448435273,NA,NA,NA,NA,NA
"オリジナルひに","オリジナル","ひに","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"オリジナルリムジン","オリジナル","リムジン","unrelated","word","word",0.739630308027496,NA,NA,NA,NA,NA
"おりぜにし苗ゅく困窮","おりぜにし苗ゅく","困窮","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"おりぜにし苗ゅく贈侶ージ","おりぜにし苗ゅく","贈侶ージ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"お世お帖","お世","お帖","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"お世愛情","お世","愛情","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"お世辞を言うゴッショナー","お世辞を言う","ゴッショナー","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"お世辞を言う感動させる","お世辞を言う","感動させる","related","word","word",0,NA,NA,NA,NA,NA
"お世辞を言う額","お世辞を言う","額","unrelated","word","word",0,NA,NA,NA,NA,NA
"お交げてろいこれまで","お交げてろい","これまで","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"お交げてろい液明ル","お交げてろい","液明ル","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"お前ジェター","お前","ジェター","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"お前仲間の","お前","仲間の","related","word","word",0,NA,NA,NA,NA,NA
"お前森","お前","森","unrelated","word","word",0.661232413014188,NA,NA,NA,NA,NA
"お尻軍重クヒ","お尻軍重","クヒ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"お尻軍重証言","お尻軍重","証言","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"お椱敬粟","お椱","敬粟","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"お椱陰茎","お椱","陰茎","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"お父ちゃんお母さん","お父ちゃん","お母さん","related","word","word",0,NA,NA,NA,NA,NA
"お父ちゃん束度者","お父ちゃん","束度者","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"お父ちゃん製造","お父ちゃん","製造","unrelated","word","word",0,NA,NA,NA,NA,NA
"ガーデッキ","ガー","デッキ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ガー烝点","ガー","烝点","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カヴお父さん","カヴ","お父さん","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"カヴ成兼","カヴ","成兼","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カエルトカゲ","カエル","トカゲ","related","word","word",0.938276366492476,NA,NA,NA,NA,NA
"カエルベッドルーム","カエル","ベッドルーム","unrelated","word","word",0,NA,NA,NA,NA,NA
"カエル符意","カエル","符意","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ガス卦","ガス","卦","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ガス燃料","ガス","燃料","related","word","word",0.931814431362527,NA,NA,NA,NA,NA
"ガス身体的","ガス","身体的","unrelated","word","word",0,NA,NA,NA,NA,NA
"カタツムリカメ","カタツムリ","カメ","related","word","word",0.929537860428317,NA,NA,NA,NA,NA
"カタツムリ个佛晴伏","カタツムリ","个佛晴伏","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"カタツムリ数学","カタツムリ","数学","unrelated","word","word",0.869586423309836,NA,NA,NA,NA,NA
"ガチョウアヒル","ガチョウ","アヒル","related","word","word",0.969371412676068,NA,NA,NA,NA,NA
"ガチョウタア","ガチョウ","タア","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ガチョウどっかりと","ガチョウ","どっかりと","unrelated","word","word",0,NA,NA,NA,NA,NA
"カッチィーンエイジャー","カッ","チィーンエイジャー","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カップコーヒー","カップ","コーヒー","related","word","word",0.686276676723115,NA,NA,NA,NA,NA
"カップ価値のない","カップ","価値のない","unrelated","word","word",0,NA,NA,NA,NA,NA
"カップ艦陸かさった","カップ","艦陸かさった","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"カッ正反対の","カッ","正反対の","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"カトリックえ戊","カトリック","え戊","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"カトリックギリシャ語","カトリック","ギリシャ語","unrelated","word","word",0.736628525669276,NA,NA,NA,NA,NA
"カトリックキリスト教徒","カトリック","キリスト教徒","related","word","word",0.847911432919167,NA,NA,NA,NA,NA
"ガノナヨルメ保つ","ガノナヨルメ","保つ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ガノナヨルメ千私","ガノナヨルメ","千私","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カプセル不河トンマ","カプセル","不河トンマ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"カプセル探査機","カプセル","探査機","related","word","word",0,NA,NA,NA,NA,NA
"カプセル現実的","カプセル","現実的","unrelated","word","word",0,NA,NA,NA,NA,NA
"カプ力消余らいな","カプ力","消余らいな","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カプ力製品","カプ力","製品","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"カプ産末かわいい","カプ産末","かわいい","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"カプ産末痩きろに","カプ産末","痩きろに","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ガミョウいあ","ガミョウ","いあ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ガミョウフットボール","ガミョウ","フットボール","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"カメラマイク","カメラ","マイク","related","word","word",0.891606581320351,NA,NA,NA,NA,NA
"カメラ建てる","カメラ","建てる","unrelated","word","word",0,NA,NA,NA,NA,NA
"カメラ明らテス","カメラ","明らテス","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"カレンダースケジュール","カレンダー","スケジュール","related","word","word",0.808418430558971,NA,NA,NA,NA,NA
"カレンダー孝育なら","カレンダー","孝育なら","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"カレンダー教える","カレンダー","教える","unrelated","word","word",0.541521042453482,NA,NA,NA,NA,NA
"カロしば夜体","カロ","しば夜体","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カロ失敗","カロ","失敗","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"かわいい突犬な","かわいい","突犬な","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"かわいい美しい","かわいい","美しい","related","word","word",0.963640766312756,NA,NA,NA,NA,NA
"かわいい親指","かわいい","親指","unrelated","word","word",0.850575098827219,NA,NA,NA,NA,NA
"かわいらしいテニス","かわいらしい","テニス","unrelated","word","word",0.801642567820872,NA,NA,NA,NA,NA
"かわいらしい孫敵イス","かわいらしい","孫敵イス","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"かわいらしい小さい","かわいらしい","小さい","related","word","word",0.807180345511128,NA,NA,NA,NA,NA
"カ目候いめ","カ目","候いめ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"カ目明るさ","カ目","明るさ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ギ―槍造マー","ギ―","槍造マー","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ギ―王子","ギ―","王子","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ギヌソ死ぬ","ギヌソ","死ぬ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ギヌソ蜜概盲","ギヌソ","蜜概盲","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ぎねいい","ぎね","いい","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ぎね嵐","ぎね","嵐","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ギヘシュ","ギヘ","シュ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ギヘメダル","ギヘ","メダル","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"キヘもコソクリーター","キヘも","コソクリーター","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"キヘも取り除く","キヘも","取り除く","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"きまーンのトネレ","きまーンの","トネレ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"きまーンのドル","きまーンの","ドル","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"キャケヌジイル","キャケヌ","ジイル","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"キャケヌ素敵な","キャケヌ","素敵な","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"キャビンデッキ","キャビン","デッキ","related","word","word",0.893168660003808,NA,NA,NA,NA,NA
"キャビン人解","キャビン","人解","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"キャビン愚か者","キャビン","愚か者","unrelated","word","word",0.634261086968698,NA,NA,NA,NA,NA
"キャフシナイフ","キャフシ","ナイフ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"キャフシ浦切","キャフシ","浦切","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ギャラリー展覧会","ギャラリー","展覧会","related","word","word",0.630426283022747,NA,NA,NA,NA,NA
"ギャラリー武装","ギャラリー","武装","unrelated","word","word",0.692341024509336,NA,NA,NA,NA,NA
"ギャラリー禾欠","ギャラリー","禾欠","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ギャンググループ","ギャング","グループ","related","word","word",0.843105696923506,NA,NA,NA,NA,NA
"ギャングじお","ギャング","じお","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ギャング王国","ギャング","王国","unrelated","word","word",0.848850985426839,NA,NA,NA,NA,NA
"キャンプシンボル","キャンプ","シンボル","unrelated","word","word",0.885267668273827,NA,NA,NA,NA,NA
"キャンププー","キャンプ","プー","nonword","word","nonword",NA,NA,NA,NA,NA,NA
