"word_combo","th_cue","th_target","type","cue_type","target_type","th_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"กระดาษปากกา","กระดาษ","ปากกา","related","word","word",0.330762178734575,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระดาษอิสระ","กระดาษ","อิสระ","unrelated","word","word",0.00826811695118768,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระดูกกะโหลก","กระดูก","กะโหลก","related","word","word",0.464681321062772,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระดูกยักลม","กระดูก","ยักลม","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระดูกรอบ","กระดูก","รอบ","unrelated","word","word",0.103123175384664,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระตุ้นทางเลือก","กระตุ้น","ทางเลือก","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระตุ้นอำกา","กระตุ้น","อำกา","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระตุ้นเปิดใช้งาน","กระตุ้น","เปิดใช้งาน","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระบวนการขั้นตอน","กระบวนการ","ขั้นตอน","related","word","word",0.438572483286602,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระบวนการดาวศการ","กระบวนการ","ดาวศการ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระบวนการเต่า","กระบวนการ","เต่า","unrelated","word","word",0.0642400427438451,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระมานนักโทษ","กระมาน","นักโทษ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระมานลิหนวก","กระมาน","ลิหนวก","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระรอกสวก","กระรอก","สวก","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระรอกหนังสือ","กระรอก","หนังสือ","unrelated","word","word",0.143838088142512,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระรอกแรคคูน","กระรอก","แรคคูน","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเทียมที่ปิดอยู่","กระเทียม","ที่ปิดอยู่","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเทียมสัษณ์","กระเทียม","สัษณ์","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเทียมหอมหัวใหญ่","กระเทียม","หอมหัวใหญ่","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าการรัฐมนตรี","กระเป๋าการ","รัฐมนตรี","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าการแรงงลบ","กระเป๋าการ","แรงงลบ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเสื้อหรืดสัญญาณเครื่องจับเวลา","กระเป๋าเสื้อหรืดสัญญาณ","เครื่องจับเวลา","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเสื้อหรืดสัญญาณเฮลิคอนเสาร์","กระเป๋าเสื้อหรืดสัญญาณ","เฮลิคอนเสาร์","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเสื้อหรือกางเกงกระเป๋าสตางค์","กระเป๋าเสื้อหรือกางเกง","กระเป๋าสตางค์","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเสื้อหรือกางเกงมนุษย์ต่างดาว","กระเป๋าเสื้อหรือกางเกง","มนุษย์ต่างดาว","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเสื้อหรือกางเกงเครือดเพลิน","กระเป๋าเสื้อหรือกางเกง","เครือดเพลิน","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเอกสารกระเป๋าเดินทาง","กระเป๋าเอกสาร","กระเป๋าเดินทาง","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเอกสารความสามารถ","กระเป๋าเอกสาร","ความสามารถ","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเอกสารแมบ","กระเป๋าเอกสาร","แมบ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเอ้แค้นความล้กเมล์","กระเป๋าเอ้แค้น","ความล้กเมล์","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเป๋าเอ้แค้นติดตั้ง","กระเป๋าเอ้แค้น","ติดตั้ง","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเมืองบรรษัท","กระเมือง","บรรษัท","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระเมืองราชนเมฆ","กระเมือง","ราชนเมฆ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแทนอาหาญ","กระแทน","อาหาญ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแทนไฮโดรเจน","กระแทน","ไฮโดรเจน","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแผลความช่วยเหลือ","กระแผล","ความช่วยเหลือ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแผลอนิมาณ","กระแผล","อนิมาณ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแสไฟฟ้าภาพหลอน","กระแสไฟฟ้า","ภาพหลอน","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแสไฟฟ้าอ่างล้งก่า","กระแสไฟฟ้า","อ่างล้งก่า","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแสไฟฟ้าไฟฟ้า","กระแสไฟฟ้า","ไฟฟ้า","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแสไฟสัตว์ข้อพิพาท","กระแสไฟสัตว์","ข้อพิพาท","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระแสไฟสัตว์ความวกร","กระแสไฟสัตว์","ความวกร","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระโปรงคลังสกจ้าง","กระโปรง","คลังสกจ้าง","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระโปรงชุดกระโปรง","กระโปรง","ชุดกระโปรง","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระโปรงนักสืบ","กระโปรง","นักสืบ","unrelated","word","word",0.102156466610841,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระโหลยการผ่นหิน","กระโหลย","การผ่นหิน","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระโหลยพยายาม","กระโหลย","พยายาม","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรัดอัมนตรี","กรัด","อัมนตรี","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรัดไมโครโฟน","กรัด","ไมโครโฟน","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลมงาน","กลม","งาน","unrelated","word","word",0.118216120596268,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลมนาวิพิเคราะห์","กลม","นาวิพิเคราะห์","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลมรอบๆ","กลม","รอบๆ","related","word","word",0.185584690165756,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลราความโหดร้าย","กลรา","ความโหดร้าย","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลราบัมทิศ","กลรา","บัมทิศ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลหลบภัยการระบายอากาศ","กลหลบภัย","การระบายอากาศ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลหลบภัยนกนิบ","กลหลบภัย","นกนิบ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลอุบายดีบ","กลอุบาย","ดีบ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลอุบายระบุ","กลอุบาย","ระบุ","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลอุบายเรื่องตลก","กลอุบาย","เรื่องตลก","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลางคืนตอนเย็น","กลางคืน","ตอนเย็น","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลางคืนสัญลักษณ์","กลางคืน","สัญลักษณ์","unrelated","word","word",0.00192512391497318,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลางคืนโกล้","กลางคืน","โกล้","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลางารกนักแสดงชาย","กลางารก","นักแสดงชาย","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลางารกรหัสบอย","กลางารก","รหัสบอย","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลืนนักงขอ","กลืน","นักงขอ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลืนเคี้ยว","กลืน","เคี้ยว","related","word","word",0.289988145050165,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลืนเมื่อวาน","กลืน","เมื่อวาน","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลุสักความยดสยอง","กลุสัก","ความยดสยอง","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กลุสักความรู้สึก","กลุสัก","ความรู้สึก","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล่องกำหนดเทียม","กล่อง","กำหนดเทียม","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล่องถุง","กล่อง","ถุง","related","word","word",0.350012733881434,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล่องพระคาร์ดินัล","กล่อง","พระคาร์ดินัล","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล่าวกาแง่ดี","กล่าว","กาแง่ดี","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล่าวกีตาร์","กล่าว","กีตาร์","unrelated","word","word",0.139451184085381,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล่าวบอก","กล่าว","บอก","related","word","word",0.348431570557123,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้มตนเค้ก","กล้มตน","เค้ก","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้มตนโดยป้อง","กล้มตน","โดยป้อง","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้วยความเดือดดาล","กล้วย","ความเดือดดาล","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้วยจำลา","กล้วย","จำลา","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้วยสตรอเบอร์รี่","กล้วย","สตรอเบอร์รี่","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้องคลาสสิก","กล้อง","คลาสสิก","unrelated","word","word",0.0482148851252897,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้องปุบาว","กล้อง","ปุบาว","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้องโทรทรรศน์กล้องจุลทรรศน์","กล้องโทรทรรศน์","กล้องจุลทรรศน์","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้องโทรทรรศน์ตัด","กล้องโทรทรรศน์","ตัด","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้องโทรทรรศน์ทืก","กล้องโทรทรรศน์","ทืก","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้องไมโครโฟน","กล้อง","ไมโครโฟน","related","word","word",0.231352254655369,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้อสิทธิ์การกย์ต่างดาว","กล้อสิทธิ์","การกย์ต่างดาว","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้อสิทธิ์ช็อกโกแลต","กล้อสิทธิ์","ช็อกโกแลต","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้าดยสารการสาบสูญ","กล้าดยสาร","การสาบสูญ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้าดยสารทุ่พ","กล้าดยสาร","ทุ่พ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้าดาสามัญคลินิก","กล้าดาสามัญ","คลินิก","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กล้าดาสามัญรีง","กล้าดาสามัญ","รีง","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวบฟอร์มยกย่อง","กวบฟอร์ม","ยกย่อง","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวบฟอร์มเตรียนเปล่า","กวบฟอร์ม","เตรียนเปล่า","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวรีย์เกราะ","กวรีย์","เกราะ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวรีย์เบจ่อ","กวรีย์","เบจ่อ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวีทหารงจุลทรรศน์","กวี","ทหารงจุลทรรศน์","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวีนักเขียน","กวี","นักเขียน","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กวีรู","กวี","รู","unrelated","word","word",0.0587765398449152,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองกฐานผู้อำนวยการ","กองกฐาน","ผู้อำนวยการ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองกฐานสปายทัศน์","กองกฐาน","สปายทัศน์","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองงาลชุภ","กองงาล","ชุภ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองงาลบางแห่ง","กองงาล","บางแห่ง","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองทหารกองพัน","กองทหาร","กองพัน","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองทหารนั่ง","กองทหาร","นั่ง","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กองทหารเด็ดเข้า","กองทหาร","เด็ดเข้า","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กอล์ฟกรรมการ","กอล์ฟ","กรรมการ","unrelated","word","word",0.115223515946409,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กอล์ฟผ้อย","กอล์ฟ","ผ้อย","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กอล์ฟเทนนิส","กอล์ฟ","เทนนิส","related","word","word",0.454693994935579,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กังธุด","กัง","ธุด","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กังล่างสุด","กัง","ล่างสุด","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กังวลกลุ้มใจ","กังวล","กลุ้มใจ","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กังวลการกลายพันธุ์","กังวล","การกลายพันธุ์","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กังวลบ้งแกร่ง","กังวล","บ้งแกร่ง","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กัดดาลกระเป๋าเดสามัญ","กัดดาล","กระเป๋าเดสามัญ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กัดดาลอดีต","กัดดาล","อดีต","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันยนทางรถสุด","กันยนทาง","รถสุด","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันยนทางห้ามปราม","กันยนทาง","ห้ามปราม","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันยายนชบจ้าง","กันยายน","ชบจ้าง","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันยายนตุลาคม","กันยายน","ตุลาคม","related","word","word",0.868822242440378,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันยายนทัศนคติ","กันยายน","ทัศนคติ","unrelated","word","word",0.0471514624391718,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันเศษรวมาคม","กันเศษ","รวมาคม","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กันเศษสืบทอด","กันเศษ","สืบทอด","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กับดักผู้คน","กับดัก","ผู้คน","unrelated","word","word",0.0899904703484507,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กับดักหลัวใหล","กับดัก","หลัวใหล","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กับดักเหยื่อ","กับดัก","เหยื่อ","related","word","word",0.3465833476057,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กัมความกลมุภาค","กัม","ความกลมุภาค","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กัมร่วมทาง","กัม","ร่วมทาง","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กาบายชาอา","กาบาย","ชาอา","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กาบายไม่เป็นที่รู้จัก","กาบาย","ไม่เป็นที่รู้จัก","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กาพร้อนรับการพิจารณต์ใช้","กาพร้อนรับ","การพิจารณต์ใช้","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
