sl_cue,sl_target,type,cue_type,target_type,sl_cosine
zarjavel,prašen,related,word,word,0.402624526577118
smodnik,dinamit,related,word,word,0.387993245500483
zahod,vzhod,related,word,word,0.735916195890301
nemogoče,enostavno,related,word,word,0.398046189758061
poseben,edinstven,related,word,word,0.560434950140627
liga,ekipa,related,word,word,0.362255258783081
počiti,eksplodirati,related,word,word,0.378495622954589
potres,eksplozija,related,word,word,0.453165421804826
bomba,eksploziven,related,word,word,0.392775527038157
moden,eleganten,related,word,word,0.49105436434937
magneten,električen,related,word,word,0.465481634534388
tok,elektrika,related,word,word,0.314861910153863
faktor,element,related,word,word,0.428369718668903
dinastija,imperij,related,word,word,0.281961733145563
moč,energija,related,word,word,0.442929987673102
preprosto,enostavno,related,word,word,0.825818851624961
milijonar,podjetnik,related,word,word,0.44519079108953
kuga,epidemija,related,word,word,0.517116810134047
serija,epizoda,related,word,word,0.494578616543118
orgazem,erekcija,related,word,word,0.367536759221069
opisati,izraziti,related,word,word,0.511971709568586
pošta,faks,related,word,word,0.236574431865759
lažen,napačen,related,word,word,0.39082319713102
dekle,fant,related,word,word,0.4512823230607
čudovito,fantastično,related,word,word,0.677998234570257
realnost,fantazija,related,word,word,0.443459609897568
kolonija,federacija,related,word,word,0.442750186754804
karneval,festival,related,word,word,0.462953590978925
pornografija,film,related,word,word,0.245691001568364
bančništvo,finančen,related,word,word,
finančno,financiranje,related,word,word,0.475145773096803
proračun,financiranje,related,word,word,0.327096168747353
konec,cilj,related,word,word,0.215584473858583
spolen,fizičen,related,word,word,0.384812357993871
pomorski,flota,related,word,word,0.328026002770348
tekočina,tekoče,related,word,word,0.427150214009436
pristati,leteti,related,word,word,0.526942968571574
slika,fotografija,related,word,word,0.731070109730852
avtogram,fotograf,related,word,word,0.393193678561563
angleščina,francoščina,related,word,word,0.780131622757045
topiti se,zamrzovati,related,word,word,
vesolje,galaksija,related,word,word,0.471501372882199
delavnica,garaža,related,word,word,0.548152826573702
lezbijka,gej,related,word,word,0.460809018518422
koda,geslo,related,word,word,0.432318873099556
jazz,glasba,related,word,word,0.482383813430554
pevec,glasbenik,related,word,word,0.614977526374553
večina,glas,related,word,word,0.126728222974497
kino,gledališče,related,word,word,0.466166278422396
državen,svetoven,related,word,word,
slep,gluh,related,word,word,0.530287583290373
zarota,goljufija,related,word,word,0.500798716115558
dol,gor,related,word,word,0.833822419836798
opica,gorila,related,word,word,0.51090867568346
bencin,gorivo,related,word,word,0.672897208307021
pogovoriti se,govoriti,related,word,word,
džungla,gozd,related,word,word,0.386770542398071
palača,grad,related,word,word,0.372813425115027
konstrukcija,graditi,related,word,word,0.346610399638041
kila,gram,related,word,word,0.390244593140257
nagnusen,grd,related,word,word,0.427813568292026
rimski,grški,related,word,word,0.489806052217219
strela,grmenje,related,word,word,0.335333380497503
baron,grofica,related,word,word,0.39936684931718
strašljivo,grozljivo,related,word,word,0.718445402207081
strašen,grozen,related,word,word,0.586303704825219
klavir,kitara,related,word,word,0.477088750964913
iluzija,halucinacija,related,word,word,0.488407790436549
sendvič,hamburger,related,word,word,0.599217568648833
palica,kladivo,related,word,word,0.42768405301293
ravnovesje,harmonija,related,word,word,0.417941242991394
okrevati,zdraviti,related,word,word,0.549513365438798
rešilec,helikopter,related,word,word,0.442731474816968
raj,pekel,related,word,word,0.453924111899675
kokain,heroin,related,word,word,0.681320092565522
nizek,visok,related,word,word,0.556419085527902
počasen,hiter,related,word,word,0.53326340632373
počasno,hitro,related,word,word,0.385837614571731
razdalja,hitrost,related,word,word,0.457834120288658
aids,hiv,related,word,word,0.518277668137345
vroč,hladen,related,word,word,0.489238321467668
tek,sprehod,related,word,word,0.423815813076011
držati,hraniti,related,word,word,0.395077076525548
angel,hudič,related,word,word,0.409816660089702
hvaležen,hvala,related,word,word,0.526492134145758
gostoljubnost,hvaležnost,related,word,word,0.544727049692163
igrati,igra,related,word,word,0.640520878810232
lutka,igrača,related,word,word,0.453727869220976
avtor,igralec,related,word,word,0.342318289608893
trener,igralec,related,word,word,0.46806292645813
laskati se,impresionirati,related,word,word,
poročati,obveščati,related,word,word,0.563535439932402
podatki,informacije,related,word,word,0.483051649928338
vir,obveščevalec,related,word,word,0.39366018920021
odmerek,injekcija,related,word,word,0.441220997182167
pregled,inšpekcija,related,word,word,0.30944749461449
orodje,instrument,related,word,word,0.346030892376162
pameten,inteligenten,related,word,word,0.614867265946393
oseben,intimen,related,word,word,0.501977244111673
nagon,intuicija,related,word,word,0.355383578501752
financirati,investirati,related,word,word,0.552603667228874
bančnik,investitor,related,word,word,0.39525979224922
ironija,ironičen,related,word,word,0.587278296260079
odločiti se,izbrati,related,word,word,
sprememba,izboljšava,related,word,word,0.410924061207627
vohun,izdajalec,related,word,word,0.476588237854378
znamka,izdelek,related,word,word,0.234075542365703
smrt,izginotje,related,word,word,0.31835150496828
rezultat,izid,related,word,word,0.577032622342817
komentar,izjava,related,word,word,0.338594916986783
izjemen,izvrsten,related,word,word,0.560815368534883
zdravje,izobraževanje,related,word,word,0.390685168972591
šteti,izračunati,related,word,word,0.386560824862743
podkupiti,izsiljevati,related,word,word,0.588057964683419
obešanje,izvedba,related,word,word,0.202224338191246
predstava,nastop,related,word,word,0.361281204812981
ovira,izziv,related,word,word,0.142647411345796
okej,ja,related,word,word,0.540373454389511
banana,jagoda,related,word,word,0.419009845297089
gnezdo,jajce,related,word,word,0.410842137238961
srajca,jakna,related,word,word,0.615591494611148
tuna,jastog,related,word,word,0.445521229314512
atomsko,jedrski,related,word,word,0.459466056186649
beton,jeklo,related,word,word,0.40792706267375
pomlad,jesen,related,word,word,0.619917797166433
hraniti,jesti,related,word,word,0.493100441440526
ledvica,jetra,related,word,word,0.604841045204655
ljubosumen,jezen,related,word,word,0.583387506591297
reka,jezero,related,word,word,0.42175827372687
Romeo,Julija,related,word,word,
junij,julij,related,word,word,0.6586619039817
plezati,skakati,related,word,word,0.569244943732879
količina,kakovost,related,word,word,0.423183844935309
skala,kamen,related,word,word,0.452677027901772
piknik,kampiranje,related,word,word,0.428633795414383
cerkev,kapela,related,word,word,0.432637940197972
anarhija,kapitalizem,related,word,word,0.325782408199353
poveljnik,stotnik,related,word,word,0.572972530819766
mafija,kartel,related,word,word,0.409945634679715
skodelica,kava,related,word,word,0.566333281861211
rodeo,kavboj,related,word,word,0.32934431562597
nikoli,kadarkoli,related,word,word,0.310007507716751
spomenik,kip,related,word,word,0.476634206769004
zrak,kisik,related,word,word,0.432279106538493
bolnišnica,klinika,related,word,word,0.60716322160542
čelada,klobuk,related,word,word,0.358763982339651
rama,koleno,related,word,word,0.338707524209182
prikolica,kombi,related,word,word,0.358373245386835
drama,komedija,related,word,word,0.519023086623797
inšpektor,komisar,related,word,word,0.435705592858612
komisija,odbor,related,word,word,0.535981486636711
navigacija,komunikacija,related,word,word,0.55317092460943
rasist,komunist,related,word,word,0.516853363520188
turneja,koncert,related,word,word,0.46486401786451
osel,konj,related,word,word,0.383791099059425
tuš,kopalnica,related,word,word,0.483915660836801
original,kopija,related,word,word,0.375818687310188
drobec,kos,related,word,word,0.343062702050349
prigrizek,kosilo,related,word,word,0.479897072356605
aktovka,kovček,related,word,word,0.49566745974375
železo,kovina,related,word,word,0.485418540898013
kraljica,kralj,related,word,word,0.643801173158339
kraljev,kraljestvo,related,word,word,0.430389268783409
vez,kravata,related,word,word,0.16267468401588
tat,kriminalec,related,word,word,0.512482211816256
nedolžen,kriv,related,word,word,0.531861515582946
situacija,kriza,related,word,word,0.494642015195011
brutalen,krut,related,word,word,0.600502842589076
zlo,krutost,related,word,word,0.349305784382909
kuhar,chef,related,word,word,0.372488274222976
topel,hladen,related,word,word,0.537396845845123
prodajalec,kupec,related,word,word,0.571033539890253
utrujen,lačen,related,word,word,0.553681696797479
posadka,ladja,related,word,word,0.527917543710104
lastnina,lastnik,related,word,word,0.495226301584895
laž,lažnivec,related,word,word,0.392624900373678
član,vodja,related,word,word,0.456180361994999
mit,legenda,related,word,word,0.452588909665169
lep,čudovit,related,word,word,0.66568568273527
čar,lepota,related,word,word,0.346454964841736
pristanek,let,related,word,word,0.274723655604838
terminal,letališče,related,word,word,0.379126552538399
desna,leva,related,word,word,0.580018843158553
konzervativen,liberalen,related,word,word,0.532066639852975
tema,svetloba,related,word,word,0.461955732589878
taksi,limuzina,related,word,word,0.430811596943358
ming,ling,related,word,word,0.610365670051483
zmaj,lev,related,word,word,0.431931952965897
umetnost,literatura,related,word,word,0.424969935021259
sesanje,lizanje,related,word,word,0.565638482084749
žaba,kuščar,related,word,word,0.404491710765038
sovraštvo,ljubezen,related,word,word,0.511303836437615
ljubica,ljubimec,related,word,word,0.331122244017127
prebivalstvo,ljudje,related,word,word,0.263593116572272
kost,lobanja,related,word,word,0.507497818061463
kraj,lokacija,related,word,word,0.340621395903993
regijski,lokalen,related,word,word,0.336757795114191
slediti,loviti,related,word,word,0.389078820461708
lep,prijeten,related,word,word,0.597406626437925
razpoka,luknja,related,word,word,0.49004093925369
pes,mačka,related,word,word,0.46420112077797
playboy,revija,related,word,word,0.367212964683154
malo,majhen,related,word,word,0.238010069555779
kečap,majoneza,related,word,word,0.529694724804579
očka,mama,related,word,word,0.544336750179093
nadzirati,manipulirati,related,word,word,0.561549737852377
oglaševanje,trženje,related,word,word,0.517084328539509
med,maslo,related,word,word,0.234213607729781
fizika,matematika,related,word,word,0.602676925293019
trofeja,medalja,related,word,word,0.445111292932491
artefakt,medaljon,related,word,word,0.377902914003517
oblak,megla,related,word,word,0.426244865556
tehničen,mehanski,related,word,word,0.336470354712933
komercialen,trgovec,related,word,word,0.268901470009771
kilometer,meter,related,word,word,0.66509330782438
svinjina,meso,related,word,word,0.479751605347813
prestolnica,mesto,related,word,word,0.336361140267441
teleskop,mikroskop,related,word,word,0.542473067585438
kamera,mikrofon,related,word,word,0.44008029578751
milijon,milijarda,related,word,word,0.614532336250262
odpuščanje,milost,related,word,word,0.433584763696291
veleposlanik,minister,related,word,word,0.455538520448905
veleposlaništvo,ministrstvo,related,word,word,0.495600089965748
plus,minus,related,word,word,0.562760851213615
sekunda,minuta,related,word,word,0.686482805184367
tih,miren,related,word,word,0.523695628003197
odsev,ogledalo,related,word,word,0.402107272845972
revščina,beda,related,word,word,0.403235018447594
živec,mišica,related,word,word,0.451391949059668
naloga,misija,related,word,word,0.540839407348637
starejši,mlajši,related,word,word,0.756684662242866
star,mlad,related,word,word,0.4668956252917
težek,težko,related,word,word,0.400641201087192
trdno,močno,related,word,word,0.461597844381651
rjava,modra,related,word,word,0.49152634655204
žito,moka,related,word,word,0.308052883779953
suh,moker,related,word,word,0.48950576305703
zaslon,monitor,related,word,word,0.53174668591143
aspirin,morfij,related,word,word,0.531536552142804
plačanec,morilec,related,word,word,0.423230857367357
marinec,mornarica,related,word,word,0.334992536806705
hotel,motel,related,word,word,0.410681166137162
prekiniti,motiti,related,word,word,0.404804247005731
zbiralnik,motor,related,word,word,0.347338249033085
hrib,gora,related,word,word,0.362132107760544
priložnost,možnost,related,word,word,0.664028986980357
izbira,možnost,related,word,word,0.298970498492364
čebela,mravlja,related,word,word,0.437262213897598
živ,mrtev,related,word,word,0.626827810404106
trpinčenje,mučenje,related,word,word,0.635723348601333
ubijalec,morilec,related,word,word,0.624210785523091
evolucija,mutacija,related,word,word,0.544022874692629
knjižnica,muzej,related,word,word,0.312254795251677
naravno,običajno,related,word,word,0.337245965063133
priprava,načrtovanje,related,word,word,0.440589550086999
napredovati,nadaljevati,related,word,word,0.44008331809983
zamenjati,nadomestiti,related,word,word,0.583404437697552
glas,naglas,related,word,word,0.623860936692416
dodatek,nagrada,related,word,word,0.265708601478813
nobelova,nagrada,related,word,word,0.287746783421745
najeti,najem,related,word,word,0.481997916183444
najemnik,najemodajalec,related,word,word,0.604081572327302
najstniški,najstnik,related,word,word,0.629997390747693
iskati,najti,related,word,word,0.577876279015559
najmanj,največ,related,word,word,0.589669197150994
gol,nag,related,word,word,0.484845225525698
namen,namera,related,word,word,0.446338761682689
pomotoma,namerno,related,word,word,0.425924624469496
invazija,napad,related,word,word,0.456525603375893
žrtev,napadalec,related,word,word,0.293218552901594
napaka,pomota,related,word,word,0.576009340721457
čip,naprava,related,word,word,0.328926530461279
ukaz,zahteva,related,word,word,0.287681332360283
pacient,stranka,related,word,word,0.282414711285858
ime,naziv,related,word,word,0.343739743375916
številka,naslov,related,word,word,0.34727549483823
sovražnik,nasprotnik,related,word,word,0.56428680096681
nasprotno,kontradiktoren,related,word,word,
natakar,natakarica,related,word,word,0.702095195830794
država,narod,related,word,word,0.42053693066311
navdihniti,navdih,related,word,word,0.56305105279421
ponosen,navdušen,related,word,word,0.47654027718001
nebo,nebeško,related,word,word,0.337228847459001
vnuk,nečak,related,word,word,0.401796569475987
ravno,nedavno,related,word,word,0.23907064258812
sobota,nedelja,related,word,word,0.664891166173363
pozitiven,negativen,related,word,word,0.789335476971542
nič,nekaj,related,word,word,0.401799512937494
drugje,nekje,related,word,word,0.373129406248801
nebogljen,nemočen,related,word,word,0.545010480687633
vedno,nenehno,related,word,word,0.499209270756807
nerazumno,neodgovorno,related,word,word,0.47204265170219
neposreden,neposredno,related,word,word,0.721373621750074
nepravičnost,krivičen,related,word,word,0.392564354681914
nenadoma,nepričakovano,related,word,word,0.381059990630187
neudobno,neprijetno,related,word,word,0.639248629325801
zaskrbljen,živčen,related,word,word,0.510358951178403
incident,nesreča,related,word,word,0.379920895043232
nesrečen,nezgoda,related,word,word,0.3348232219738
naiven,neumen,related,word,word,0.605920857196245
norost,neumnost,related,word,word,0.511971944807191
tvegano,nevarno,related,word,word,0.60086523396192
tveganje,nevarnost,related,word,word,0.548102117092269
impresivno,izvrstno,related,word,word,0.38405853692248
ženin,nevesta,related,word,word,0.564937539838954
veter,nevihta,related,word,word,0.440339969646013
mehek,nežen,related,word,word,0.512478842204638
anonimen,neznan,related,word,word,0.406172395634885
nezmožnost,ni mogoče,related,word,word,
košarka,nogomet,related,word,word,0.577763778861315
zdrav,normalen,related,word,word,0.474842688920697
usta,nos,related,word,word,0.426532870836834
rojstvo,nosečnost,related,word,word,0.377911267733922
zunaj,notri,related,word,word,0.513062740296917
kanal,novice,related,word,word,0.275170424998875
poročevalec,novinar,related,word,word,0.610309982864741
meč,nož,related,word,word,0.530582486691989
priseči,prisega,related,word,word,0.577403522816053
plaža,obala,related,word,word,0.485501796153221
množica,občinstvo,related,word,word,0.371044597264325
vtis,občutek,related,word,word,0.399737018684558
delikaten,občutljiv,related,word,word,0.39808682593815
faza,obdobje,related,word,word,0.348446470506715
ponavadi,običajno,related,word,word,0.746368956476207
navaden,običajen,related,word,word,0.612654770576483
poljub,objem,related,word,word,0.56980402708555
krilo,obleka,related,word,word,0.28624734097432
jamstvo,obljuba,related,word,word,0.308509025878716
hrana,obrok,related,word,word,0.36821002413665
polmer,obseg,related,word,word,0.445211689012706
pritožba,obtožba,related,word,word,0.629372600028116
privlačen,očarljiv,related,word,word,0.619383131255283
mati,oče,related,word,word,0.511592707268291
stric,očka,related,word,word,0.47427318333447
morje,ocean,related,word,word,0.587960321395283
jasno,očitno,related,word,word,0.201783327405788
senzor,oddajnik,related,word,word,0.49662988919081
odgovor,odziv,related,word,word,0.494003849542995
prihod,odhod,related,word,word,0.530080198540602
pogum,odločnost,related,word,word,0.522355148515016
mnenje,odnos,related,word,word,0.222221796712629
dovoljenje,odobritev,related,word,word,0.505931344794569
uspeh,neuspeh,related,word,word,0.71175081256596
junak,rešitelj,related,word,word,0.461960213677212
prisotnost,odsotnost,related,word,word,0.689103066742052
odsek,odstavek,related,word,word,0.45115931517726
izločiti,odstraniti,related,word,word,0.486509985016089
odpoved,odpustitev,related,word,word,0.495280126774971
pisalna miza,pisarna,related,word,word,
umazan,ogaben,related,word,word,0.514958917681257
zid,ograja,related,word,word,0.399477627996329
prstan,ogrlica,related,word,word,0.502045416211112
velik,ogromen,related,word,word,0.636367260393616
ohraniti,vzdrževati,related,word,word,0.527745126479088
premog,nafta,related,word,word,0.47617413556037
ščit,oklep,related,word,word,0.525817430548092
okrogel,okoli,related,word,word,0.404543545709807
september,oktober,related,word,word,0.579477363423276
virus,okužba,related,word,word,0.470271026849114
krema,omaka,related,word,word,0.450218584227807
kabinet,omara,related,word,word,0.341496713320715
operirati,operacija,related,word,word,0.431128208339552
profil,opis,related,word,word,0.431528554955646
pojem,definicija,related,word,word,0.196177504991278
oprema,opremiti,related,word,word,0.388843720184918
odpustiti,opravičiti,related,word,word,0.4602395802693
zelena,oranžna,related,word,word,0.613919390351888
planet,orbita,related,word,word,0.368650623565564
oblast,avtoriteta,related,word,word,0.352111495931463
urediti,organizirati,related,word,word,0.500714167852628
krasti,oropati,related,word,word,0.490296279757908
pištola,orožje,related,word,word,0.394061459570791
sam,osamljen,related,word,word,0.411899670628791
karakter,značaj,related,word,word,0.569318396975659
fokus,osredotočiti se,related,word,word,
obstati,ostati,related,word,word,0.565760171730016
dvomiti,sumiti,related,word,word,0.584222020680984
svež,osvežiti,related,word,word,0.36442852464559
dojenček,otrok,related,word,word,0.637446271196426
mladost,otroštvo,related,word,word,0.368136107143011
kazati,namigovati,related,word,word,0.448946277836978
ovojnica,paket,related,word,word,0.27535151690732
prst,palec,related,word,word,0.611616145488529
kabina,paluba,related,word,word,0.530830518815188
krompir,paradižnik,related,word,word,0.554542904620797
nadnaraven,paranormalen,related,word,word,0.558376089258273
šminka,parfum,related,word,word,0.38824197355548
stražiti,patruljirati,related,word,word,0.56793443921192
vagina,penis,related,word,word,0.459462144383619
idealen,popolen,related,word,word,0.422772177141977
papir,pero,related,word,word,0.363761087782802
pogled,perspektiva,related,word,word,0.286612414756832
album,pesem,related,word,word,0.392000497465353
besedilo,pesem,related,word,word,0.469669298648623
trezen,pijan,related,word,word,0.506492525812045
astronavt,pilot,related,word,word,0.441270491060484
branje,pisanje,related,word,word,0.632010195322437
pesnik,pisatelj,related,word,word,0.611868748210333
puška,pištola,related,word,word,0.647042335080012
pijača,pivo,related,word,word,0.440590357068486
pokojnina,plača,related,word,word,0.371098102570477
ogenj,plamen,related,word,word,0.65088113224254
cement,plastika,related,word,word,0.37860426265435
skleda,krožnik,related,word,word,0.379521351089446
utoniti,plavati,related,word,word,0.487647668609552
plen,plenilec,related,word,word,0.549089474749415
plesalec,ples,related,word,word,0.540106194168552
bežati,uiti,related,word,word,0.443148707733141
drag,poceni,related,word,word,0.421129006185967
božič,praznik,related,word,word,0.582672756569085
dediščina,dedovati,related,word,word,0.276643551056247
miš,podgana,related,word,word,0.508764110753204
žig,podpis,related,word,word,0.415022121250313
včasih,pogosto,related,word,word,0.435802503110701
krsta,pogreb,related,word,word,0.363033055910571
stranišče,korito,related,word,word,0.344133321087171
vstopiti,iti,related,word,word,0.428172259818798
kockanje,poker,related,word,word,0.426793179883968
grob,pokopališče,related,word,word,0.506067905237028
polnoč,poldan,related,word,word,0.437520945146934
kritičen,političen,related,word,word,0.662884499370819
politika,politik,related,word,word,0.593700228299233
novinarstvo,politika,related,word,word,0.321395258058093
general,polkovnik,related,word,word,0.612403094276261
prazen,poln,related,word,word,0.545981099403673
status,položaj,related,word,word,0.449956827149011
dragocen,pomemben,related,word,word,0.569838524193873
pomen,pomembnost,related,word,word,0.489325995352642
nesrečen,patetičen,related,word,word,0.450448713737393
pomagati,asistirati,related,word,word,0.486379819069009
podpora,pomoč,related,word,word,0.432386931803292
tajnik,pomočnik,related,word,word,0.562347074316342
skupen,popoln,related,word,word,0.375129875788514
absolutno,popolnoma,related,word,word,0.369733188046904
popraviti,popravilo,related,word,word,0.670048328487122
potrata,zapravljati,related,word,word,0.366284151709205
zmaga,poraz,related,word,word,0.43236357167391
samski,poročen,related,word,word,0.505408451532995
narednik,poročnik,related,word,word,0.660319664381917
ločitev,zakon,related,word,word,0.35248650915365
zaroka,poroka,related,word,word,0.684024997168389
oseba,posameznik,related,word,word,0.338402563996196
rana,poškodba,related,word,word,0.545367372000548
poskus,poizkus,related,word,word,0.707731028619421
prinesti,poslati,related,word,word,0.4570890005916
industrija,posel,related,word,word,0.205142487063714
poslušati,slišati,related,word,word,0.597547810380159
kredit,posojilo,related,word,word,0.581164294472242
peron,postaja,related,word,word,0.227833287904633
kavč,postelja,related,word,word,0.523796431054659
spodoben,pošten,related,word,word,0.559901337428435
zvestoba,poštenost,related,word,word,0.530943240064632
proces,postopek,related,word,word,0.638660113749692
pot,steza,related,word,word,0.425593948856578
riniti,vleči,related,word,word,0.526599770717483
vozovnica,potni list,related,word,word,
potrditev,potrditi,related,word,word,0.688752178067623
potrebno,potreba,related,word,word,0.491715879621216
