"lt_target","lt_cue","lt_fake_cue","lt_fake_target","en_cue","en_target"
"atsitikti","atsiranda","atsileiskda","atsikrausti","occur","happen"
"audinys","oda","kąa","audidžia","skin","tissue"
"auditorija","minios","mičian","audidžiaisrija","crowd","audience"
"audra","vėjas","vėsiu","mjera","wind","storm"
"aukštas","žemas","želių","kimštas","low","high"
"aukštis","svoris","žiūris","maištis","weight","height"
"aukštyn","down","dotą","aukšcos","down","up"
"autobusas","traukinys","stipkinys","autobučiuot","train","bus"
"automobilis","transporto priemonė","makleišporto priemonė","automobitraukt","vehicle","car"
"bacon","skrudinta duona","žvilgsdinta duona","baked","toast","bacon"
"baigtas","ass","ins","liautas","ass","butt"
"baigti","galas","gamuo","liauti","end","finish"
"baimė","siaubas","siautei","juomė","horror","fear"
"baisus","baisi","subsi","baimin","terrible","horrible"
"bait","spąstai","krėstai","bažę","trap","bait"
"balsas","dauguma","blizguma","vitsas","majority","vote"
"band","orkestras","orgiedras","bapt","orchestra","band"
"bandymas","bandyti","aukšdyti","bandydžių","try","attempt"
"bandymas","klausymas","bendsymas","bandydžių","hearing","trial"
"bar","klubas","dvobas","eir","club","bar"
"barzda","plaukų","virukų","megzda","hair","beard"
"batalionas","pulkas","knikas","batasprannas","regiment","battalion"
"batman","supermenas","sustaigmenas","terman","superman","batman"
"battlefield","arena","popna","sulolefield","arena","battlefield"
"batų","įkrovos metu","šlandvos metu","bamas","boot","shoe"
"baudžiamajame nare","vagis","vanok","neklystadžiamajame nare","thief","criminal"
"baugina","panika","papraska","kreigina","scare","frighten"
"bed","sofa","sosiu","uld","sofa","bed"
"beisbolas","stadionas","staaslanas","plazbolas","stadium","baseball"
"bejėgiai","bejėgis","bejėjant","bejėzaus","helpless","powerless"
"bendruomenė","visuomenė","viminsimenė","vaikšruomenė","society","community"
"berniukas","mergina","skaigina","kvainiukas","girl","boy"
"bevertis","nenaudingas","nesprogdingas","beimantis","useless","worthless"
"biologija","chemija","liaumija","įpraslogija","chemistry","biology"
"biologinis","chemija","liaumija","įprasloginis","chemical","biological"
"biuras","stalas","staruo","nevras","desk","office"
"bjaurus","nešvarus","neriusrus","kreirus","dirty","disgusting"
"blogai","gerai","gesys","šingai","good","bad"
"bosas","vadybininkas","vadybinindžiuiė","bofor","manager","boss"
"bostonas","vašingtonas","vasvarstonas","kriptonas","washington","boston"
"branduolys","atomic","atosow","aukšduolys","atomic","nuclear"
"brangakmenis","deimantas","deiteiktas","linksgakmenis","diamond","jewel"
"braškių","bananų","banašiai","darbkių","banana","strawberry"
"brave","kilnus","matnus","ginve","noble","brave"
"bright","šviesti","šluosti","brigbs","shine","bright"
"bro","dude","rinde","tto","dude","bro"
"brolis","sesuo","sepes","manlis","sister","brother"
"build","statyba","prietyba","buvud","construction","build"
"bullet","caliber","calizuok","bulcus","caliber","bullet"
"buriavimas","inkaras","inkabint","buriavidžiui","anchor","sail"
"burtininkas","magija","sprogija","kreiptininkas","magic","wizard"
"bury","dig","sug","bulen","dig","bury"
"būstinė","bazė","balią","siektinė","base","headquarters"
"butelis","stiklas","skrylas","butekant","glass","bottle"
"cap","akiniai","lioniai","lep","glasses","cap"
"catch","patraukti","paveiksti","įvich","grab","catch"
"čempionatas","varzybos","varzyriui","šlykšpionatas","competition","championship"
"centimeter","mile","micha","centimedison","mile","centimeter"
"cerebral","smegenys","neutgenys","cerebbom","brain","cerebral"
"ceremonija","ritualas","ritusėst","žvaigžremonija","ritual","ceremony"
"chirurgija","veikia","tuokia","trokšrurgija","operate","surgery"
"cigaras","dūmai","dūros","cigabenk","smoke","cigar"
"cigarette","tabako","tadžeiko","cigaspingte","tobacco","cigarette"
"ciniškas","naivus","sepvus","ciklaikas","naive","cynical"
"cirkas","zoologijos sodas","zoologijos stakliui","leskas","zoo","circus"
"civilizacija","kultūra","siautūra","destrukcivilizacija","culture","civilization"
"counters","baronas","baroliuo","spūnters","baron","countess"
"cowboy","rodeo","roryl","tačboy","rodeo","cowboy"
"crazy","paranoi","paratian","ųmozy","paranoid","crazy"
"creepy","baugus","jingus","pjūkepy","scary","creepy"
"dailininkas","dailininkas","tvomblininkas","kingslininkas","artist","painter"
"daina","albumas","albudžio","terna","album","song"
"daktaras","chirurgas","konkrurgas","grietaras","surgeon","doctor"
"dalelė","svarbu","spinbu","daleriui","matter","particle"
"dalykas","objektas","obliuotas","dalygint","object","subject"
"dangaus","dangus","dansių","kilgaus","sky","heavenly"
"dantis","nagai","nasus","kiltis","nail","tooth"
"darbas","job","gib","keibas","job","work"
"darbuotojas","ūkininkas","vienninkas","darsvarstojas","farmer","worker"
"dawn","saulėlydis","veikslėlydis","daul","sunset","dawn"
"dažnai","kartais","šiutais","chonai","sometimes","often"
"degtinė","viskis","vismelk","nykštinė","whiskey","vodka"
"deguonis","oras","gaas","dekortnis","air","oxygen"
"dėkojame","dėkingas","dėmėmsgas","dėkokiemsme","grateful","thank"
"dėkojame","žavėtis","žavėluok","dėkokiemsme","admire","appreciate"
"demokratija","laisvė","spinvė","demošniukštija","freedom","democracy"
"demonstracija","protestas","ankstestas","dešliundracija","protest","demonstration"
"denio","kabina","kaplauna","degei","cabin","deck"
"depresija","stresas","streaguo","aliarresija","stress","depression"
"dešimtmetis","amžiaus","amgiant","desmulkmetis","century","decade"
"destiny","likimas","likiniui","ropštiny","fate","destiny"
"detektyvas","agentas","trintas","dešvaistyvas","agent","detective"
"devotimas","ištikimybė","adekvatikimybė","devotidžiui","fidelity","devotion"
"didelis","big","seg","skystablauzdidelis","big","huge"
"didysis","didenybė","skystablauzdidenybė","skystablauzdidysis","majesty","highness"
"dieviškas","dievui","diecas","branviškas","god","divine"
"dinamitas","gunpowder","gunpowling","skystablauzdinamitas","gunpowder","dynamite"
"ding","ping","pici","dili","ping","ding"
"dingimas","mirtis","vaitis","prasgimas","death","disappearance"
"dirbtinis","natural","natubios","slaptinis","natural","artificial"
"direktorius","gamintojas","gasvarstojas","skystablauzdirektorius","producer","director"
"diskusija","pokalbis","poliurbis","skystablauzdiskusija","conversation","discussion"
"district","apskritis","apaukštis","distdier","county","district"
"do","make","madiš","tė","make","do"
"dokumentas","failas","wellas","dokutrauktas","file","document"
"doleris","svaras","kažras","doleaven","pound","dollar"
"dosniai","apmokestinimas","apmoįšvirkštinimas","migniai","compassionate","generous"
"dovanojimas","labdara","tvendara","dovanojikreipk","charity","donation"
"dovanų","komplimentas","paukšlimentas","dovadžio","compliment","gift"
"draugas","kolega","kodrauga","draudei","colleague","friend"
"draugiškas","mandagus","stipdagus","bendgiškas","polite","friendly"
"draugystė","santykiai","santymams","bendgystė","relationship","friendship"
"dream","košmaras","šlaumaras","ryšam","nightmare","dream"
"dulkės","pelenai","pelerius","vaikės","ash","dust"
"duok","pasiūlymas","pasiūlygiuot","duat","offer","give"
"durys","langas","rurgas","dugei","window","door"
"dusty","rusty","ohaty","berty","rusty","dusty"
"duty","atsakomybė","atkreipkkomybė","ratty","responsibility","duty"
"dvasia","siela","repla","ruosia","soul","spirit"
"džiaugsmas","malonumas","malonukreip","straipsmas","pleasure","joy"
"džuljeta","romeo","roalą","tvaijeta","romeo","juliet"
"ear","akis","akno","ahr","eye","ear"
"efektyvus","naudinga","nausmaiga","slėptyvus","useful","effective"
"eikite","įveskite","strukskite","troškite","enter","go"
"eilė","tekstas","baustas","sanlė","text","poem"
"elegantiškas","madingi","matuokgi","krikšgantiškas","fashionable","elegant"
"elektra","dabartinis","dakreiptinis","chandra","current","electricity"
"elektriniai","magnetinis","priešnetinis","vaikšriniai","magnetic","electric"
"elementas","factor","kąžtor","starmentas","factor","element"
"emocinis","psichikos","psitvankos","žiurcinis","mental","emotional"
"energija","galia","ganui","aikšgija","power","energy"
"epidemija","maras","malių","svarsdemija","plague","epidemic"
"epizodas","serija","šiaurija","nykšzodas","series","episode"
"equip","įranga","plakga","ūpuip","equipment","equip"
"erekcija","orgazmas","orislamas","blaccija","orgasm","erection"
"ever","niekada","kontkada","nyer","never","ever"
"express","apibūdinti","linksbūdinti","gafress","describe","express"
"ežeras","upė","įėė","druras","river","lake"
"faksas","paštas","frotas","plisas","mail","fax"
"false","suklastotas","sureikštotas","ronse","fake","FALSE"
"fantastinis","nuostabus","nuostadink","triukštastinis","wonderful","fantastic"
"fantazija","realybė","kvielybė","prieštazija","reality","fantasy"
"federacija","kolonija","kogriaunija","žvaigžderacija","colony","federation"
"festivalis","karnavalas","karnavaziuok","įklimtivalis","carnival","festival"
"filmas","porn","pocy","skimas","porn","movie"
"filthy","bjaurus","nistrus","greithy","nasty","filthy"
"finansai","bankininkystė","bankinintuiruotė","finanjing","banking","financial"
"finansavimas","biudžetas","biuegiptas","finansavikreipk","budget","funding"
"finansavimas","finansiškai","finansišsiems","finansavikreipk","financially","financing"
"fizinė dalis","seksualinis","žvaigžsualinis","fizinė dtchell","sexual","physical"
"fotografas","autografas","autogradžiui","fotogradžiui","autograph","photographer"
"frazė","žodynas","žodydžio","gonzė","dictionary","phrase"
"fugitive","pabėgėlis","pabėgėtrauk","fudrumstive","refugee","fugitive"
"funkcinis","veikimas","marškimas","kliūcinis","operational","functional"
"futbolas","krepšinis","aikššinis","fušmėklas","basketball","football"
"gabalas","fragmentas","berkmentas","gabarjie","fragment","piece"
"gailestingumas","atleidimas","atleididžiuo","sluokslestingumas","forgiveness","mercy"
"galas","priekyje","smaukyje","ganiz","front","rear"
"galaxy","visata","vigrįsta","ganaut","universe","galaxy"
"galimybė","pasirinkimas","pasispjautkimas","galiniaisbė","choice","option"
"galimybė","tikimybė","praskaidrintikimybė","galiniaisbė","chance","possibility"
"galų gale","pagaliau","pagabenk","galų gsmiai","finally","eventually"
"gaminti","sukurti","supjauti","gaversti","create","produce"
"gamyba","gamykla","gastella","gaestaba","factory","production"
"garažas","seminaras","seminadžent","garadzin","workshop","garage"
"garbė","privilegija","sluoksvilegija","plabė","privilege","honor"
"garsus","populiarus","popumonstrus","gardai","popular","famous"
"gatvė","avenue","fiknue","dipvė","avenue","street"
"gay","lesbietė","stiubietė","mey","lesbian","gay"
"gebėjimas","talpa","gorpa","gebėjidžiui","capacity","ability"
"gelbėtojas","herojus","herodžer","linksbėtojas","hero","savior"
"gėlių","augalas","augabenk","gėmės","plant","flower"
"geltona","raudona","švendona","plautona","red","yellow"
"gimtadienis","jubiliejus","jubiliedžiau","trūkstadienis","anniversary","birthday"
"ginčas","konfliktas","spraliktas","bračas","conflict","dispute"
"ginklas","šautuvas","skirtuvas","daiklas","rifle","gun"
"ginklas","pistoletas","stengtoletas","daiklas","pistol","weapon"
"ginkluotė","arsenal","arserins","skryluotė","arsenal","armory"
"ginti","apsaugokite","apreiõkigokite","anati","protect","defend"
"girdėti","klausykitės","linkssykitės","plaudėti","listen","hear"
"girtas","blaivus","smarvus","luotas","sober","drunk"
"gitara","fortepijonas","slankstepijonas","giniusra","piano","guitar"
"global","nacionalinis","nadžasminalinis","rambal","national","global"
"gorilla","monkey","luskey","eurisla","monkey","gorilla"
"graikų kalba","romanas","romatuok","gniauž kalba","roman","greek"
"gram","kilo","kinau","pyam","kilo","gram"
"graži","graži","verži","čiuži","pretty","beautiful"
"gražus","nicos","nišam","granią","nice","lovely"
"greitai greitai","lėtai","lėkim","greitai gredding","slowly","quickly"
"greitas","lėtai","lėkim","veiktas","slow","fast"
"greitis","atstumas","atžaismas","miestis","distance","speed"
"greitkelis","kelias","kemens","įmantkelis","road","highway"
"griaustinis","žaibas","lumbas","skruostinis","lightning","thunder"
"grįžti","atgal","atlor","kvanti","back","return"
"grožis","charm","chelm","gromet","charm","beauty"
"gruodžio mėn","lapkričio mėn","lapkričiovilks","gruodžioeing","november","december"
"grupė","gauja","suoja","atopė","gang","group"
"gydymas","terapija","tepliurpija","gydydžių","therapy","treatment"
"gyvūnas","žvėris","sleris","gyvūdžia","beast","animal"
"haliucinacija","iliuzija","dreizija","kvontriliucinacija","illusion","hallucination"
"hamburgeris","sandwich","abrawich","šviesburgeris","sandwich","hamburger"
"harmonija","balansas","banielsas","linksmonija","balance","harmony"
"hat","šalmas","dromas","ilt","helmet","hat"
"heroinas","kokainas","korisonas","heklaunas","cocaine","heroin"
"į rytus","į vakarus","į vakgioj","į rulas","west","east"
"įdėkite","įdėti","fanti","efekkite","insert","put"
"idiotas","kvailys","kvainam","veiktas","fool","idiot"
"įdomus","jaudinantis","jaudidžiostis","belmus","exciting","interesting"
"įėjimas","išeiti iš","išeitithout","įstomas","exit","entrance"
"įkvėpimas","inspire","etiopire","juočpimas","inspire","inspiration"
"ilgai","trumpas","trumrei","ilrio","short","long"
"ilgis","dydis","dynėj","ilson","size","length"
"imperatorius","imperial","impežens","imperatonatvėj","imperial","emperor"
"imperija","dynasty","dynapiet","imchiatrija","dynasty","empire"
"impress","glostymas","morttymas","implauk","flatter","impress"
"individualus","asmuo","asrią","indivivaiuok","person","individual"
"infekcija","virusas","viruliuo","inkorupcija","virus","infection"
"informacija","duomenys","kingmenys","intriukšmacija","data","information"
"informatorius","šaltinis","lenktinis","informatonetton","source","informant"
"informuoti","ataskaita","atajungta","inforkreipti","report","inform"
"injekcija","dozė","dotus","inkorupcija","dose","injection"
"inspekcija","egzaminas","egzamidžiui","inskorupcija","examination","inspection"
"institucija","jurisdikcija","žvaigžrisdikcija","adekvatitucija","jurisdiction","authority"
"instrumentas","įrankis","staikis","sprenrumentas","tool","instrument"
"intuicija","instinktas","insvaistas","invójaucija","instinct","intuition"
"intymūs","asmeninis","asmenitrauk","intyklai","personal","intimate"
"invest","finansai","fifyldsai","inkeis","finance","invest"
"investuotojas","bankininkas","kreipkininkas","invespaskaitojas","banker","investor"
"įprasta","paprastas","pajungtas","stygsta","ordinary","usual"
"įrašymas","įrašas","aiššas","spinšymas","record","recording"
"įrodymas","įrodymai","valsdymai","valsdymas","evidence","proof"
"ironiškas","ironija","rūgšnija","šunsniškas","irony","ironic"
"įsakymas","komanda","kosiosda","kompkymas","command","order"
"išdavikas","šnipas","šnimėt","išdavidžiui","spy","traitor"
"išgyti","atkurti","atmegzti","išliuoti","recover","heal"
"išgyventi","gyvena","gysilpna","išgytraukti","live","survive"
"išlaikyti","išsaugoti","iškviesgoti","išspręskyti","preserve","maintain"
"išlieka","likti","elgti","išankska","stay","remain"
"išorinis","vidaus","vikels","išblužnis","internal","external"
"išpažinimas","pripažinti","pripatraukti","išpažinikreipk","admit","confess"
"įspūdingas","sensacinga","vaikšsacinga","juokdingas","sensational","spectacular"
"iššūkis","kliūtis","blontis","iššūjant","obstacle","challenge"
"ištikimas","loyal","loyluot","ištikibirkš","loyal","faithful"
"ištirti","išnagrinėti","iščiulpsrinėti","iškvanti","examine","investigate"
"išvykimas","atvykimas","atvykibirkš","išvykibirkš","arrival","departure"
"įtariamasis","abejojimas","sprogjojimas","linksriamasis","doubt","suspect"
"įvykis","phenomenon","siausnomenon","sulkis","phenomenon","event"
"įžeidimas","įžeidimas","stabdimas","mėgsdimas","insult","offend"
"jaunesnysis","vyresnysis","vyresnytrauk","linksnesnysis","senior","junior"
"jausmas","įspūdis","įkaidis","versmas","impression","feeling"
"jautrus","subtilus","subtikint","braurus","delicate","sensitive"
"jėga","stiprumas","traurumas","dinga","strength","force"
"juoda","balta","dinta","virda","white","black"
"juokinga","šmaikštus","kriauktus","juodrauga","witty","funny"
"juoktis","šypsena","mėgssena","liuotis","smile","laugh"
"kaimas","stovykla","stoprišla","kaitėj","camp","village"
"kaina","vertė","sautė","anana","value","price"
"kairėje","teisė","varsė","įspyrėje","right","left"
"kaklaraištis","gerklės","džeklės","kaklastengtis","throat","neck"
"kaklaraištis","įpareigoti","smulkreigoti","kaklastengtis","bind","tie"
"kalbėti","kalbėti","priebėti","priebėti","talk","speak"
"kalėjimu","ląstelė","pieštelė","kalėskausmu","cell","prison"
"kalinys","įkaitas","akintas","kaliriau","hostage","prisoner"
"kaltas","nekaltas","nerinktas","suotas","innocent","guilty"
"kaltinimas","skundas","dmondas","reikštinimas","complaint","accusation"
"kaltintojas","teisininkas","teisikrauskas","kalsvarstojas","lawyer","prosecutor"
"kančia","skurdas","spradas","plečia","poverty","misery"
"kankinimas","kankinimas","griebkinimas","griebkinimas","torment","torture"
"kapinės","grave","įsive","kapigiau","grave","cemetery"
"kapitalizmas","anarchija","dmitchija","kapitatrenksmas","anarchy","capitalism"
"kapitonas","vadas","vazov","kapitoshiba","commander","captain"
"karalius","karalienė","karamountnė","karašant","queen","king"
"karalystė","royal","royėmus","karabirkštė","royal","kingdom"
"kardinolas","vyskupas","vyskučiuo","kardinorójot","bishop","cardinal"
"karinis jūrų laivynas","marine","marikiuo","sprunkarinis jūrų laivynas","marine","navy"
"karis","civilinis","civiliskart","kaspa","civil","military"
"karoliai","žiedas","lundas","karochel","ring","necklace"
"karščiavimas","kosulys","kosuspau","drumsčiavimas","cough","fever"
"kartelis","mafija","malūnsja","aikštelis","mafia","cartel"
"katė","šuo","coo","kanus","dog","cat"
"kavos kava","puodelis","frandelis","kavos kžiürėk","cup","coffee"
"kažkas","nieko","repko","ziakas","nothing","something"
"kažkur","kitur","kired","kažvin","elsewhere","somewhere"
"kėdė","stalas","staruo","rimdė","table","chair"
"keista","neįprastas","neįpblokštas","skaita","unusual","strange"
"kelias","maršrutas","sunkrutas","kenuos","route","path"
"kelio","pečių","peten","keras","shoulder","knee"
"kempingas","piknikas","pistoukas","aikšpingas","picnic","camping"
"kepenys","inkstas","peistas","keperial","kidney","liver"
"ketinimas","tikslas","minklas","ketinifique","purpose","intention"
"keturi","du","že","kebendri","two","four"
"ketvirta","trečias","nančias","siauvirta","third","fourth"
"ketvirtį","pusė","purai","ketįkaltį","half","quarter"
"kiaušinis","lizdas","surdas","greišinis","nest","egg"
"kilimas","grindys","bruodys","kiliniui","floor","carpet"
"klaida","klaida","keisda","slėpda","error","mistake"
"klasika","tipiškas","praskaidrintipiškas","pirksika","typical","classic"
"klientas","pacientas","paklūstas","klaustas","patient","client"
"klinika","ligoninė","ligonigaikš","dirbnika","hospital","clinic"
"knyga","biblija","biniuoja","menga","bible","book"
"kokybė","kiekis","gaukis","blaškybė","quantity","quality"
"komanda","lyga","malga","kosiosda","league","team"
"komedija","drama","spema","komedidžiuo","drama","comedy"
"komisijos narys","inspektorius","inspektosakėt","komisijos nriebkim","inspector","commissioner"
"komitetas","komisija","komisilinks","komiteschen","commission","committee"
"kompiuteris","programinė įranga","švieskaraminė įranga","komgangsteris","software","computer"
"komunikatas","navigacija","navizistencija","komunikakreipk","navigation","communication"
"komunistas","rasistinis","rasistitraukt","komutrauktas","racist","communist"
"koncentratas","dėmesys","dėmedzia","konsliundratas","focus","concentrate"
"koncertas","turas","tuviu","končiuotas","tour","concert"
"konjako","rum","aom","riaujako","rum","cognac"
"konstitucija","įstatymas","tinktymas","džiaugtitucija","law","constitution"
"kopijavimas","original","origivins","kopijavikreipk","original","copy"
"koplyčia","bažnyčia","siurnyčia","kolinsčia","church","chapel"
"korporacija","įmonė","sirnė","žvaigžporacija","company","corporation"
"kova","kovoti","koskirti","serva","combat","fight"
"kovotojas","čempionai","progpionai","kovotonight","champion","fighter"
"kramtymas","nuryti","nuliaiti","skustymas","swallow","chew"
"kriauklė","tualetas","tuįkaitas","šmaikšlė","toilet","sink"
"krikščionis","katalikų","kataliniams","įprasčionis","catholic","christian"
"krizė","situacija","situfornlja","chozė","situation","crisis"
"krovinys","apkrova","apsiauva","sveivinys","load","cargo"
"krūtinė","skrandis","snargdis","jaustinė","stomach","chest"
"kuklus","nuolankus","nuolandžių","ivalus","humble","modest"
"kunigas","vienuolis","vienuoskau","kunitrik","monk","priest"
"kuras","dujos","dusin","kuten","gas","fuel"
"kurčias","aklas","sulas","kursėms","blind","deaf"
"kūrybiškumas","vaizduotė","moksduotė","kūrybiškukreipk","imagination","creativity"
"kvailas","naivus","sepvus","kvaišot","naïve","stupid"
"kvailumas","beprotybė","bešlykštybė","aukšlumas","madness","stupidity"
"kvapas","skonis","linnis","mulpas","taste","smell"
"kvepalai","lūpų dažai","lūpų driuos","teispalai","lipstick","perfume"
"labai","ypač","mmač","lagio","extremely","very"
"lady","viešpats","viešsuos","lajuo","lord","lady"
"lagaminas","portfelis","skerfelis","lagamidžiui","briefcase","suitcase"
"laidotuvės","karstas","tiestas","laidotudžiai","coffin","funeral"
"laikmatis","detonatorius","detonatožvelgt","techmatis","detonator","timer"
"laikotarpis","fazė","favau","laikobekvapis","phase","period"
"laikraštis","straipsnis","džiaugsnis","techraštis","article","newspaper"
"laikyti","laikykite","sprogkykite","bendkyti","hold","keep"
"laimėti","pelnas","daunas","giesmėti","gain","win"
"laimingas","patenkintas","patentrauktas","laidraugas","satisfied","happy"
"laiškas","telegrama","tekonstrama","reinkas","telegram","letter"
"laisvas","laisvai","risovai","greivas","freely","free"
"laisvės atėmimas","bausmė","blonmė","laisvės atėmblokšk","penalty","imprisonment"
"laivas","įgula","pogla","chyvas","crew","ship"
"laivas","naval","narit","chyvas","naval","fleet"
"lavonas","kūnas","kūzuo","lavoriuk","body","corpse"
"legenda","mitas","miniu","lesmirda","myth","legend"
"leisti","leisti","idioti","idioti","allow","let"
"leitenantas","seržantas","serpokštas","leitespręstas","sergeant","lieutenant"
"lenktynės","maratonas","maratoshiba","spautynės","marathon","race"
"liberalų","konservatyvus","konservatykreipk","liniamsralų","conservative","liberal"
"lick","suck","suuo","ligh","suck","lick"
"liepos mėn","birželio birželio mėn","birželio birželiskriaust","lieposwitt","june","july"
"liepsnos","ugnis","ugtai","žingsnos","fire","flame"
"liga","gripas","kelpas","ličių","flu","disease"
"light","tamsa","pulsa","lickt","darkness","light"
"limuzinas","taksi","fresi","limuzidžiui","taxi","limousine"
"ling","ming","migh","libų","ming","ling"
"literatūra","art","ukt","vykstateratūra","art","literature"
"liudijimas","liudytojas","skraidytojas","sprendijimas","witness","testimony"
"liūtas","drakonas","stipkonas","sektas","dragon","lion"
"lizard","varlė","rielė","liaris","frog","lizard"
"lyderis","narys","nasta","lydedant","member","leader"
"lydi","escort","esriot","lytės","escort","accompany"
"lynai","grandinė","lenkdinė","lysen","chain","rope"
"maid","nanny","alfny","madė","nanny","maid"
"maišas","dėžė","dėbių","mainei","box","bag"
"maitinimas","maistas","riantas","žvelgtinimas","food","meal"
"majonezas","ketchupas","ketflllpas","majoneįžvel","ketchup","mayonnaise"
"maksimalus","minimumas","minimudžiui","sielgsimalus","minimum","maximum"
"mama","daddy","amtdy","germa","daddy","mum"
"manipuliuokite","kontrolė","siaurolė","manipuliuokiteneriūkš","control","manipulate"
"masažas","joga","jonėm","masaviem","yoga","massage"
"mašina","robotas","robodžia","makrauna","robot","machine"
"matematika","fizika","fitvarka","materėčiostika","physics","mathematics"
"mažas","mažai","mačiu","manik","little","small"
"mechaninė","techninis","laikninis","mezingsninė","technical","mechanical"
"medalionas","artefaktas","artespręstas","medasopranas","artifact","medallion"
"medalis","trofėjaus","trofėsiai","medarant","trophy","medal"
"medis","krūmas","alumas","meron","bush","tree"
"medvilnė","šilkas","džakas","mealesnė","silk","cotton"
"meilė","neapykanta","neapyįvyksta","pyklė","hate","love"
"meilė","mistress","omicress","pyklė","mistress","lover"
"melagis","lie","fee","meladuko","lie","liar"
"mėlyna","brown","osown","mėvietna","brown","blue"
"mėlynė","įbraižas","iskaižas","mėlyčiau","scratch","bruise"
"meras","šerifas","šerikiui","menin","sheriff","mayor"
"merginos","berniukai","bertvarkai","mergimiau","boys","girls"
"mėsa","kiauliena","tampliena","pulsa","pork","meat"
"metalas","iron","irkt","metadien","iron","metal"
"metras","kilometras","kilošėjairas","ryšras","kilometer","meter"
"miegamasis","kambarys","kambadach","įstaigamasis","room","bedroom"
"miegoti","poilsis","poiljant","skaigoti","rest","sleep"
"mielas","saldus","kredus","seklas","sweet","cute"
"miestas","sostinė","kliūtinė","chistas","capital","city"
"mikrofonas","fotoaparatas","fotoaparasikrušk","sprogrofonas","camera","microphone"
"mikroskopas","teleskopas","televenstpas","bernstroskopas","telescope","microscope"
"milijardai","million","milsuok","milineklydai","million","billion"
