"lt_cue","lt_target","type","cue_type","target_type","lt_cosine"
"bejėgis","bejėgiai","related","word","word",0.638662314197006
"visuomenė","bendruomenė","related","word","word",0.62705777468998
"mergina","berniukas","related","word","word",0.104377554068811
"nenaudingas","bevertis","related","word","word",0.312626459101146
"chemija","biologija","related","word","word",0.608862484352258
"chemija","biologinis","related","word","word",0.281324373339763
"stalas","biuras","related","word","word",0.267008171279298
"nešvarus","bjaurus","related","word","word",0.517265041616051
"gerai","blogai","related","word","word",0.383318795770861
"vadybininkas","bosas","related","word","word",0.395543108702403
"vašingtonas","bostonas","related","word","word",0.664980074601446
"atomic","branduolys","related","word","word",NA
"deimantas","brangakmenis","related","word","word",0.274577329642365
"bananų","braškių","related","word","word",0.523318068837727
"kilnus","brave","related","word","word",0.207296019846493
"šviesti","bright","related","word","word",NA
"dude","bro","related","word","word",0.313787119854987
"sesuo","brolis","related","word","word",0.35451285515251
"statyba","build","related","word","word",0.162802804744958
"caliber","bullet","related","word","word",NA
"inkaras","buriavimas","related","word","word",NA
"magija","burtininkas","related","word","word",0.136732638575603
"dig","bury","related","word","word",NA
"bazė","būstinė","related","word","word",0.50300737427336
"stiklas","butelis","related","word","word",0.372187394817648
"akiniai","cap","related","word","word",NA
"patraukti","catch","related","word","word",0.192505803407059
"varzybos","čempionatas","related","word","word",NA
"mile","centimeter","related","word","word",NA
"smegenys","cerebral","related","word","word",NA
"ritualas","ceremonija","related","word","word",0.227298712787857
"veikia","chirurgija","related","word","word",NA
"dūmai","cigaras","related","word","word",0.282438950469331
"tabako","cigarette","related","word","word",NA
"naivus","ciniškas","related","word","word",0.348212656560344
"zoologijos sodas","cirkas","related","word","word",NA
"kultūra","civilizacija","related","word","word",0.448658267022481
"baronas","counters","related","word","word",NA
"rodeo","cowboy","related","word","word",NA
"paranoi","crazy","related","word","word",0.354769107481696
"baugus","creepy","related","word","word",NA
"dailininkas","dailininkas","related","word","word",1
"albumas","daina","related","word","word",0.342357323406125
"chirurgas","daktaras","related","word","word",0.383104698107071
"svarbu","dalelė","related","word","word",0.104226259454705
"objektas","dalykas","related","word","word",0.197478410216053
"dangus","dangaus","related","word","word",0.614880993260298
"nagai","dantis","related","word","word",0.209063981468584
"job","darbas","related","word","word",0.099362858616158
"ūkininkas","darbuotojas","related","word","word",0.36044665563466
"saulėlydis","dawn","related","word","word",0.289280259045853
"kartais","dažnai","related","word","word",0.27985703451567
"viskis","degtinė","related","word","word",0.254226856989474
"oras","deguonis","related","word","word",0.295605238544193
"dėkingas","dėkojame","related","word","word",0.445664599429955
"žavėtis","dėkojame","related","word","word",0.238450046937376
"laisvė","demokratija","related","word","word",0.256262367800171
"protestas","demonstracija","related","word","word",0.220433859805165
"kabina","denio","related","word","word",0.130377320207399
"stresas","depresija","related","word","word",0.376881492954409
"amžiaus","dešimtmetis","related","word","word",0.266447466671298
"likimas","destiny","related","word","word",NA
"agentas","detektyvas","related","word","word",0.313032258907092
"ištikimybė","devotimas","related","word","word",NA
"big","didelis","related","word","word",0.147010031085094
"didenybė","didysis","related","word","word",0.192683669613318
"dievui","dieviškas","related","word","word",0.286388431993627
"gunpowder","dinamitas","related","word","word",NA
"ping","ding","related","word","word",0.622896743012513
"mirtis","dingimas","related","word","word",0.217084722973093
"natural","dirbtinis","related","word","word",NA
"gamintojas","direktorius","related","word","word",0.303654334020953
"pokalbis","diskusija","related","word","word",0.314405145364193
"apskritis","district","related","word","word",NA
"make","do","related","word","word",0.516937898658467
"failas","dokumentas","related","word","word",0.338209271657352
"svaras","doleris","related","word","word",0.321231109296727
"apmokestinimas","dosniai","related","word","word",NA
"labdara","dovanojimas","related","word","word",NA
"komplimentas","dovanų","related","word","word",0.17485824595575
"kolega","draugas","related","word","word",0.328065744984239
"mandagus","draugiškas","related","word","word",0.449697325361948
"santykiai","draugystė","related","word","word",0.392278867866215
"košmaras","dream","related","word","word",NA
"pelenai","dulkės","related","word","word",0.356891726437275
"pasiūlymas","duok","related","word","word",0.0917104688055341
"langas","durys","related","word","word",0.477098526225029
"rusty","dusty","related","word","word",NA
"atsakomybė","duty","related","word","word",NA
"siela","dvasia","related","word","word",0.444208556375321
"malonumas","džiaugsmas","related","word","word",0.473587005143716
"romeo","džuljeta","related","word","word",0.458549938796889
"akis","ear","related","word","word",NA
"naudinga","efektyvus","related","word","word",0.252535256721842
"įveskite","eikite","related","word","word",0.724539765696252
"tekstas","eilė","related","word","word",0.159082088971738
"madingi","elegantiškas","related","word","word",NA
"dabartinis","elektra","related","word","word",0.0553329905652608
"magnetinis","elektriniai","related","word","word",0.28403030560975
"factor","elementas","related","word","word",NA
"psichikos","emocinis","related","word","word",0.43561584548502
"galia","energija","related","word","word",0.300687662538355
"maras","epidemija","related","word","word",0.236203742665646
"serija","epizodas","related","word","word",0.270657054569948
"įranga","equip","related","word","word",NA
"orgazmas","erekcija","related","word","word",0.231102754691723
"niekada","ever","related","word","word",0.234524183435164
"apibūdinti","express","related","word","word",0.214132390299315
"upė","ežeras","related","word","word",0.402337089273104
"paštas","faksas","related","word","word",0.313138922289935
"suklastotas","false","related","word","word",NA
"nuostabus","fantastinis","related","word","word",0.349662480657443
"realybė","fantazija","related","word","word",0.42526764575467
"kolonija","federacija","related","word","word",0.521521145496524
"karnavalas","festivalis","related","word","word",0.424146414090125
"porn","filmas","related","word","word",NA
"bjaurus","filthy","related","word","word",NA
"bankininkystė","finansai","related","word","word",0.247724503841854
"biudžetas","finansavimas","related","word","word",0.329206646597725
"finansiškai","finansavimas","related","word","word",0.43200887464618
"seksualinis","fizinė dalis","related","word","word",NA
"autografas","fotografas","related","word","word",NA
"žodynas","frazė","related","word","word",0.319111898727545
"pabėgėlis","fugitive","related","word","word",NA
"veikimas","funkcinis","related","word","word",NA
"krepšinis","futbolas","related","word","word",0.435383925086367
"fragmentas","gabalas","related","word","word",0.340696557488485
"atleidimas","gailestingumas","related","word","word",0.390828075450393
"priekyje","galas","related","word","word",0.122160582137456
"visata","galaxy","related","word","word",NA
"pasirinkimas","galimybė","related","word","word",0.180628162817618
"tikimybė","galimybė","related","word","word",0.601783621525218
"pagaliau","galų gale","related","word","word",NA
"sukurti","gaminti","related","word","word",0.319794541138223
"gamykla","gamyba","related","word","word",0.712345294551207
"seminaras","garažas","related","word","word",0.364380693279639
"privilegija","garbė","related","word","word",0.407862826627828
"populiarus","garsus","related","word","word",0.406563119849514
"avenue","gatvė","related","word","word",0.435693280009838
"lesbietė","gay","related","word","word",0.172714621536358
"talpa","gebėjimas","related","word","word",0.222588227113789
"herojus","gelbėtojas","related","word","word",0.314306815176137
"augalas","gėlių","related","word","word",0.103870903703872
"raudona","geltona","related","word","word",0.530976244499183
"jubiliejus","gimtadienis","related","word","word",0.361756851019005
"konfliktas","ginčas","related","word","word",0.504837302824711
"šautuvas","ginklas","related","word","word",0.469745987461152
"pistoletas","ginklas","related","word","word",0.348553084639233
"arsenal","ginkluotė","related","word","word",0.152039728202236
"apsaugokite","ginti","related","word","word",0.233578648807034
"klausykitės","girdėti","related","word","word",0.17609506604325
"blaivus","girtas","related","word","word",0.262371738622367
"fortepijonas","gitara","related","word","word",NA
"nacionalinis","global","related","word","word",0.271044436773877
"monkey","gorilla","related","word","word",NA
"romanas","graikų kalba","related","word","word",NA
"kilo","gram","related","word","word",NA
"graži","graži","related","word","word",1
"nicos","gražus","related","word","word",NA
"lėtai","greitai greitai","related","word","word",NA
"lėtai","greitas","related","word","word",0.240918531992044
"atstumas","greitis","related","word","word",0.413299163418672
"kelias","greitkelis","related","word","word",0.337399131314261
"žaibas","griaustinis","related","word","word",0.323686770574861
"atgal","grįžti","related","word","word",0.274431684436261
"charm","grožis","related","word","word",NA
"lapkričio mėn","gruodžio mėn","related","word","word",NA
"gauja","grupė","related","word","word",0.278921888943828
"terapija","gydymas","related","word","word",0.296666969491409
"žvėris","gyvūnas","related","word","word",0.355197783042556
"iliuzija","haliucinacija","related","word","word",0.612424180330376
"sandwich","hamburgeris","related","word","word",NA
"balansas","harmonija","related","word","word",0.205028822123852
"šalmas","hat","related","word","word",NA
"kokainas","heroinas","related","word","word",0.694569566415245
"į vakarus","į rytus","related","word","word",NA
"įdėti","įdėkite","related","word","word",0.361584815239929
"kvailys","idiotas","related","word","word",0.432530304504198
"jaudinantis","įdomus","related","word","word",0.416060792809741
"išeiti iš","įėjimas","related","word","word",NA
"inspire","įkvėpimas","related","word","word",NA
"trumpas","ilgai","related","word","word",0.232711789765457
"dydis","ilgis","related","word","word",0.487297096390175
"imperial","imperatorius","related","word","word",0.466082509937515
"dynasty","imperija","related","word","word",NA
"glostymas","impress","related","word","word",NA
"asmuo","individualus","related","word","word",0.355657058733161
"virusas","infekcija","related","word","word",0.341722375373231
"duomenys","informacija","related","word","word",0.240320687952572
"šaltinis","informatorius","related","word","word",0.2547321002472
"ataskaita","informuoti","related","word","word",0.249860731793298
"dozė","injekcija","related","word","word",0.492061279202427
"egzaminas","inspekcija","related","word","word",0.234621467108789
"jurisdikcija","institucija","related","word","word",0.620398328732346
"įrankis","instrumentas","related","word","word",0.288036941376545
"instinktas","intuicija","related","word","word",0.252374970733217
"asmeninis","intymūs","related","word","word",NA
"finansai","invest","related","word","word",NA
"bankininkas","investuotojas","related","word","word",0.436340729512692
"paprastas","įprasta","related","word","word",0.563434735555488
"įrašas","įrašymas","related","word","word",NA
"įrodymai","įrodymas","related","word","word",0.75197072407594
"ironija","ironiškas","related","word","word",NA
"komanda","įsakymas","related","word","word",0.116322393775179
"šnipas","išdavikas","related","word","word",0.320028007709189
"atkurti","išgyti","related","word","word",0.337575450093154
"gyvena","išgyventi","related","word","word",0.363955016778953
"išsaugoti","išlaikyti","related","word","word",0.382287457154565
"likti","išlieka","related","word","word",0.276595481651974
"vidaus","išorinis","related","word","word",0.270792012445668
"pripažinti","išpažinimas","related","word","word",NA
"sensacinga","įspūdingas","related","word","word",NA
"kliūtis","iššūkis","related","word","word",0.320619235397037
"loyal","ištikimas","related","word","word",NA
"išnagrinėti","ištirti","related","word","word",0.441097391410902
"atvykimas","išvykimas","related","word","word",0.777852316741152
"abejojimas","įtariamasis","related","word","word",NA
"phenomenon","įvykis","related","word","word",NA
"įžeidimas","įžeidimas","related","word","word",1
"vyresnysis","jaunesnysis","related","word","word",0.808561689557707
"įspūdis","jausmas","related","word","word",0.315290575500981
"subtilus","jautrus","related","word","word",0.54341382008705
"stiprumas","jėga","related","word","word",0.349800395420784
"balta","juoda","related","word","word",0.503338299243135
"šmaikštus","juokinga","related","word","word",0.322763723562722
"šypsena","juoktis","related","word","word",0.171266529123037
"stovykla","kaimas","related","word","word",0.225510584214795
"vertė","kaina","related","word","word",0.213909211118073
"teisė","kairėje","related","word","word",0.100427007882602
"gerklės","kaklaraištis","related","word","word",0.25375926978524
"įpareigoti","kaklaraištis","related","word","word",0.167827854625751
"kalbėti","kalbėti","related","word","word",1
"ląstelė","kalėjimu","related","word","word",0.0813142262458368
"įkaitas","kalinys","related","word","word",0.340027833894567
"nekaltas","kaltas","related","word","word",0.797873024632003
"skundas","kaltinimas","related","word","word",0.369257540026511
"teisininkas","kaltintojas","related","word","word",0.399082975954637
"skurdas","kančia","related","word","word",0.302335466916431
"kankinimas","kankinimas","related","word","word",1
"grave","kapinės","related","word","word",0.165900602957366
"anarchija","kapitalizmas","related","word","word",0.293587776502773
"vadas","kapitonas","related","word","word",0.36577628482935
"karalienė","karalius","related","word","word",0.716267413052056
"royal","karalystė","related","word","word",0.108703665411208
"vyskupas","kardinolas","related","word","word",0.463201133633777
"marine","karinis jūrų laivynas","related","word","word",NA
"civilinis","karis","related","word","word",NA
"žiedas","karoliai","related","word","word",0.226786940125497
"kosulys","karščiavimas","related","word","word",NA
"mafija","kartelis","related","word","word",0.200974765896013
"šuo","katė","related","word","word",0.339313067423914
"puodelis","kavos kava","related","word","word",NA
"nieko","kažkas","related","word","word",0.174161552089125
"kitur","kažkur","related","word","word",0.290477274457328
"stalas","kėdė","related","word","word",0.355949952324579
"neįprastas","keista","related","word","word",0.296325567899905
"maršrutas","kelias","related","word","word",0.330084007986616
"pečių","kelio","related","word","word",0.117247353451223
"piknikas","kempingas","related","word","word",NA
"inkstas","kepenys","related","word","word",0.386103622758318
"tikslas","ketinimas","related","word","word",0.284172400921836
"du","keturi","related","word","word",0.311189132250554
"trečias","ketvirta","related","word","word",0.433853025162706
"pusė","ketvirtį","related","word","word",0.246927997888699
"lizdas","kiaušinis","related","word","word",0.170800913184052
"grindys","kilimas","related","word","word",0.233880863748426
"klaida","klaida","related","word","word",1
"tipiškas","klasika","related","word","word",0.12405979500944
"pacientas","klientas","related","word","word",0.670278668119202
"ligoninė","klinika","related","word","word",0.305303216590581
"biblija","knyga","related","word","word",0.355938962884539
"kiekis","kokybė","related","word","word",0.340252872415042
"lyga","komanda","related","word","word",0.332443596728168
"drama","komedija","related","word","word",0.343833256933186
"inspektorius","komisijos narys","related","word","word",NA
"komisija","komitetas","related","word","word",0.556420029483492
"programinė įranga","kompiuteris","related","word","word",NA
"navigacija","komunikatas","related","word","word",NA
"rasistinis","komunistas","related","word","word",NA
"dėmesys","koncentratas","related","word","word",NA
"turas","koncertas","related","word","word",0.228051783570544
"rum","konjako","related","word","word",NA
"įstatymas","konstitucija","related","word","word",0.367669970935372
"original","kopijavimas","related","word","word",NA
"bažnyčia","koplyčia","related","word","word",0.490171838262841
"įmonė","korporacija","related","word","word",0.405846663572563
"kovoti","kova","related","word","word",0.525836037821516
"čempionai","kovotojas","related","word","word",0.262543654639762
"nuryti","kramtymas","related","word","word",NA
"tualetas","kriauklė","related","word","word",0.305277713636364
"katalikų","krikščionis","related","word","word",0.354766698206195
"situacija","krizė","related","word","word",0.371204354034235
"apkrova","krovinys","related","word","word",NA
"skrandis","krūtinė","related","word","word",0.300245496690148
"nuolankus","kuklus","related","word","word",0.48759685005711
"vienuolis","kunigas","related","word","word",0.29170250456636
"dujos","kuras","related","word","word",0.297661226980648
"aklas","kurčias","related","word","word",0.426020156624887
"vaizduotė","kūrybiškumas","related","word","word",NA
"naivus","kvailas","related","word","word",0.302927339327548
"beprotybė","kvailumas","related","word","word",0.346540317380132
"skonis","kvapas","related","word","word",0.442885880121771
"lūpų dažai","kvepalai","related","word","word",NA
"ypač","labai","related","word","word",0.239574919240745
"viešpats","lady","related","word","word",0.166642218776191
"portfelis","lagaminas","related","word","word",0.374983350594793
"karstas","laidotuvės","related","word","word",0.179875560157985
"detonatorius","laikmatis","related","word","word",0.316862824873359
"fazė","laikotarpis","related","word","word",0.298339386669601
"straipsnis","laikraštis","related","word","word",0.502852573205953
"laikykite","laikyti","related","word","word",0.518393184594977
"pelnas","laimėti","related","word","word",0.171000030047706
"patenkintas","laimingas","related","word","word",0.35851378985469
"telegrama","laiškas","related","word","word",0.252706462145371
"laisvai","laisvas","related","word","word",0.798122112944598
"bausmė","laisvės atėmimas","related","word","word",NA
"įgula","laivas","related","word","word",0.398227122948414
"naval","laivas","related","word","word",NA
"kūnas","lavonas","related","word","word",0.409626386925228
"mitas","legenda","related","word","word",0.263147362338976
"leisti","leisti","related","word","word",1
"seržantas","leitenantas","related","word","word",0.627476323413171
"maratonas","lenktynės","related","word","word",0.285932367248756
"konservatyvus","liberalų","related","word","word",NA
"suck","lick","related","word","word",NA
"birželio birželio mėn","liepos mėn","related","word","word",NA
"ugnis","liepsnos","related","word","word",0.380392046774876
"gripas","liga","related","word","word",0.229370738839018
"tamsa","light","related","word","word",0.159090470635616
"taksi","limuzinas","related","word","word",0.336337828764278
"ming","ling","related","word","word",0.248296684741653
"art","literatūra","related","word","word",0.190179969547718
"liudytojas","liudijimas","related","word","word",0.387756629749013
"drakonas","liūtas","related","word","word",0.361741415502217
"varlė","lizard","related","word","word",NA
"narys","lyderis","related","word","word",0.342500000696947
"escort","lydi","related","word","word",NA
"grandinė","lynai","related","word","word",0.248145029410335
"nanny","maid","related","word","word",NA
"dėžė","maišas","related","word","word",0.358827661759063
"maistas","maitinimas","related","word","word",0.247735059889034
"ketchupas","majonezas","related","word","word",NA
"minimumas","maksimalus","related","word","word",NA
"daddy","mama","related","word","word",0.240045120211351
"kontrolė","manipuliuokite","related","word","word",NA
"joga","masažas","related","word","word",0.260190534977584
"robotas","mašina","related","word","word",0.208892902627272
"fizika","matematika","related","word","word",0.418634488809932
"mažai","mažas","related","word","word",0.543185456660148
"techninis","mechaninė","related","word","word",NA
"artefaktas","medalionas","related","word","word",NA
"trofėjaus","medalis","related","word","word",NA
"krūmas","medis","related","word","word",0.369671847439786
"šilkas","medvilnė","related","word","word",0.301862221752316
"neapykanta","meilė","related","word","word",0.368119760946204
"mistress","meilė","related","word","word",NA
"lie","melagis","related","word","word",0.12000937136762
"brown","mėlyna","related","word","word",0.148748305340553
"įbraižas","mėlynė","related","word","word",NA
"šerifas","meras","related","word","word",0.388839444505288
"berniukai","merginos","related","word","word",0.163111657955659
"kiauliena","mėsa","related","word","word",0.42864232729699
"iron","metalas","related","word","word",NA
"kilometras","metras","related","word","word",0.772569379260971
"kambarys","miegamasis","related","word","word",0.332650461489714
"poilsis","miegoti","related","word","word",0.322587467001669
"saldus","mielas","related","word","word",0.330647064108053
"sostinė","miestas","related","word","word",0.296756613363075
"fotoaparatas","mikrofonas","related","word","word",0.46516281283759
"teleskopas","mikroskopas","related","word","word",NA
"million","milijardai","related","word","word",NA
"grūdai","miltai","related","word","word",0.447319398819997
"ambasada","ministerija","related","word","word",0.339898123949327
"ambasadorius","ministras","related","word","word",0.345556712420039
"plus","minus","related","word","word",0.4553497233841
"antra","minutė","related","word","word",0.0813162405467376
"gyvas","miręs","related","word","word",0.345700868996475
"kenčia","mirti","related","word","word",0.167996807820253
"mirtinas","mirtinas","related","word","word",1
"užduotis","misija","related","word","word",0.405164099412531
"derinys","mišinys","related","word","word",0.75951479990081
"jungle","miško","related","word","word",NA
"raketa","missile","related","word","word",NA
"senelis","močiutė","related","word","word",0.402801750717401
"technologijos","mokslas","related","word","word",0.358021945184689
"genijus","mokslininkas","related","word","word",0.291819910964134
"klasė","mokykla","related","word","word",0.340962932781195
"mokytis","mokyti","related","word","word",0.825662939715409
"studentas","mokytojas","related","word","word",0.347635026033199
"ekranas","monitorius","related","word","word",0.331450282171313
"aspirinas","morfinas","related","word","word",NA
"viešbutis","motel","related","word","word",NA
"patinas","moteris","related","word","word",0.148773447409869
"našlė","moteris","related","word","word",0.203800352885192
"hill","mountain","related","word","word",0.58388538979777
"karas","mūšis","related","word","word",0.446493079366874
"evoliucija","mutacija","related","word","word",0.66894678797729
"biblioteka","muziejus","related","word","word",0.330629576578647
"džiazas","muzika","related","word","word",0.290180852471414
"dainininkė","muzikantas","related","word","word",0.319796442147188
"taikyti","naudojimas","related","word","word",0.152548668215455
"nepagrįstas","neatsakingas","related","word","word",NA
"buvimas","nebuvimas","related","word","word",0.867838956234365
"nesugebėjimas","negali","related","word","word",NA
"teigiamas","neigiamas","related","word","word",0.89894828012864
"incidentas","nelaimingas atsitikimas","related","word","word",NA
"nepatogus","nemalonus","related","word","word",NA
"susirūpinimą","nerimauti","related","word","word",0.253302511348381
"neramus","nervai","related","word","word",0.45728961135286
"neteisybė","nesąžininga","related","word","word",0.319411631041169
"sėkmė","nesėkmė","related","word","word",0.745791173030277
"nevykęs","nesėkmė","related","word","word",0.253183493256395
"tiesiog","neseniai","related","word","word",0.00164105533291319
"gimdymas","nėštumas","related","word","word",0.553795080294158
"staiga","netikėtai","related","word","word",0.401409791559065
"anoniminis","nežinoma","related","word","word",0.177405103732864
"noras","noras","related","word","word",1
"sveikas","normalus","related","word","word",0.213332857724448
"audinys","nosinė","related","word","word",NA
"burna","nosis","related","word","word",0.466915184305413
"pergalė","nugalėti","related","word","word",0.400386268027214
"nevykėlis","nugalėtojas","related","word","word",0.235091882263848
"nuogas","nuogas","related","word","word",1
"visada","nuolat","related","word","word",0.370610524770167
"samdyti","nuoma","related","word","word",0.176815996836519
"nuomininkas","nuomotojas","related","word","word",NA
"duroninis","nuoširdus","related","word","word",NA
"įspūdingas","nuostabi","related","word","word",0.27291786160286
"jaunikis","nuotaka","related","word","word",0.359494359931809
"paveikslėlis","nuotrauka","related","word","word",NA
"švarus","nuplaukite","related","word","word",NA
"taškas","nurodykite","related","word","word",NA
"nuodėmė","nusikaltimas","related","word","word",0.300286513760171
"siurprizas","nusivylimas","related","word","word",0.309907284119317
"drąsa","nustatymas","related","word","word",0.109693469224986
"nuodų","nužudyti","related","word","word",0.303517326026026
"pirštu","nykštys","related","word","word",0.229079842257175
"tuna","omarų","related","word","word",0.160036290751724
"žalias","oranžinė","related","word","word",0.324878244829574
"planeta","orbita","related","word","word",0.522322437673566
"organizuoti","organizuoti","related","word","word",1
"terminalas","oro uostas","related","word","word",NA
"pride","orumas","related","word","word",NA
"paauglys","paauglys","related","word","word",1
"bėga","pabegti","related","word","word",0.212983118212989
"monstras","padaras","related","word","word",0.39983808651026
"padavėjas","padavėja","related","word","word",0.82926997314414
"kremas","padažas","related","word","word",0.471165617418051
"svetingumas","padėkos","related","word","word",0.243748191062071
"pagalba","pagalba","related","word","word",1
"pagalba","pagalba","related","word","word",1
"apsvarstykite","pagalvokite","related","word","word",NA
"pelnas","pajamos","related","word","word",0.339138441395733
"pakankamai","pakanka","related","word","word",0.785437346446158
"vokai","paketas","related","word","word",0.127949581830775
"klausimas","paklauskite","related","word","word",0.374436086077073
"papludimys","pakrantė","related","word","word",NA
"kalboje","pamokslas","related","word","word",0.211076953415576
"papildomai","papildomas","related","word","word",0.820008261221553
"neįmanomas","paprasta","related","word","word",0.128579497017416
"tiesiog","paprasta","related","word","word",0.185757169254243
"paprastai","paprastai","related","word","word",1
"natūraliai","paprastai","related","word","word",0.242503196075483
"antgamtinis","paranormal","related","word","word",NA
"antspaudas","parašas","related","word","word",0.349991701424108
"aukcionas","pardavimas","related","word","word",0.297696504942677
"pirkti","parduoti","related","word","word",0.377850607057436
"parduotuvė","parduotuvė","related","word","word",1
"oficialiai","pareigūnas","related","word","word",0.231898063807093
"komentuoti","pareiškimas","related","word","word",0.127022260142793
"galerija","paroda","related","word","word",0.180194664221914
"pasiruošęs","paruoškite","related","word","word",0.34603064805747
"pasakyti","pasakykite","related","word","word",0.362849579652758
"pašalinkite","pašalinti","related","word","word",0.460330500067825
"bilietas","pasas","related","word","word",0.261010608895923
"international","pasaulis","related","word","word",0.133612355833657
"pasirinkite","pasirinkti","related","word","word",0.597799856283684
"atleisk","pasiteisinimas","related","word","word",0.178364930969739
"pagarba","pasitikėjimas","related","word","word",0.213471441076849
"pasiūlyti","pasiūlyti","related","word","word",1
"runsing","pasivaikščiojimas","related","word","word",NA
"nap","pasivaikščiojimas","related","word","word",NA
"seminaras","paskaita","related","word","word",0.302761638781264
"kreditas","paskola","related","word","word",0.388430522070642
"pirmas","paskutinė","related","word","word",0.255064399282295
"paslaptis","paslaptis","related","word","word",1
"padengti","paslėpti","related","word","word",0.33071686102661
"bokštas","pastatas","related","word","word",0.317365606141705
"skyrius","pastraipa","related","word","word",0.343525702905899
"pasukite","pasukite","related","word","word",1
"sveikiname","pasveikinkite","related","word","word",0.550764461518089
"patarimai","patarti","related","word","word",0.612927656089291
"įgalinti","pateikite","related","word","word",0.148010343175358
"paaiškinimas","patikimas","related","word","word",0.504122542895006
"patikrinti","patikrinkite","related","word","word",0.600524165266384
"apsauga","patruliavimas","related","word","word",NA
"leidimas","patvirtinimas","related","word","word",0.465362189354942
"patvirtinimas","patvirtinti","related","word","word",0.699822610862297
"butterfly","paukštis","related","word","word",NA
"vardas","pavadinimas","related","word","word",0.33177449402171
