es_cue,es_target,type,cue_type,target_type,es_cosine
ignorancia,arrogancia,related,word,word,0.612915118969552
arsenal,armería,related,word,word,0.522557480606477
vena,arteria,related,word,word,0.641602472606943
natural,artificial,related,word,word,0.488992430890554
caballería,artillería,related,word,word,0.650661805533747
suicidio,asesinato,related,word,word,0.551473769744629
mercenario,asesino,related,word,word,0.379014905842136
criminal,delincuente,related,word,word,0.767559209087935
apoyo,asistencia,related,word,word,0.528285336026357
secretario,asistente,related,word,word,0.546136532216278
sucio,asqueroso,related,word,word,0.733508264042649
desagradable,repugnante,related,word,word,0.710033065463657
espantar,asustar,related,word,word,0.699594209881096
invasión,ataque,related,word,word,0.494280400720248
Pacífico,Atlántico,related,word,word,
ambiente,atmósfera,related,word,word,0.551888365487038
atención,atraer,related,word,word,0.500265587157988
tomar,atrapar,related,word,word,0.207186786975435
multitud,audiencia,related,word,word,0.437896474537791
presencia,ausencia,related,word,word,0.524196686996213
tren,autobús,related,word,word,0.778104816882671
jurisdicción,autoridad,related,word,word,0.552160421114107
hoy,ayer,related,word,word,0.632124404696371
asistir,ayudar,related,word,word,0.398510693286328
marrón,azul,related,word,word,0.685677177545977
calibre,bala,related,word,word,0.503891973478325
orquesta,banda,related,word,word,0.586516167102158
ducha,baño,related,word,word,0.732584677841306
club,bar,related,word,word,0.574669381343143
caro,barato,related,word,word,0.703862267942719
pelo,barba,related,word,word,0.591089259581734
residuos,basura,related,word,word,0.396031864228332
guerra,batalla,related,word,word,0.641212830830955
regimiento,batallón,related,word,word,0.751938840395553
estadio,béisbol,related,word,word,0.484911198486749
encanto,belleza,related,word,word,0.498381571596127
bolsillo,billetera,related,word,word,0.599580609374245
millón,billón,related,word,word,0.779124588835903
química,biología,related,word,word,0.669006928955811
químico,biológico,related,word,word,0.524111132232829
compromiso,boda,related,word,word,0.497518892203597
papel,bolígrafo,related,word,word,0.447785275322872
caja,bolsa,related,word,word,0.569150023163845
sobrio,borracho,related,word,word,0.622144152010722
selva,bosque,related,word,word,0.589306502324384
Washington,Boston,related,word,word,
submarino,barco,related,word,word,0.661267796050965
vidrio,botella,related,word,word,0.307324396937402
mano,brazo,related,word,word,0.564797217630015
brillar,relucir,related,word,word,0.312610649777992
chiste,broma,related,word,word,0.615885029496201
hechizo,bruja,related,word,word,0.524781768683357
burro,caballo,related,word,word,0.647193928200804
cable,alambre,related,word,word,0.579053104678965
cuerpo,cadáver,related,word,word,0.713269587266527
taza,café,related,word,word,0.749065186691769
contar,calcular,related,word,word,0.261953621408037
calendario,agenda,related,word,word,0.578374484846546
cantidad,calidad,related,word,word,0.440658694034781
avenida,calle,related,word,word,0.669868933098732
esquina,callejón,related,word,word,0.559054259817766
sofá,cama,related,word,word,0.569424956124016
mesero,camarero,related,word,word,0.77138552859017
todoterreno,camión,related,word,word,0.598172921849078
remolque,camioneta,related,word,word,0.601246650841197
competición,campeonato,related,word,word,0.586720684111624
picnic,cámping,related,word,word,0.405001294068219
arena,terreno,related,word,word,0.235549237582283
tumor,cáncer,related,word,word,0.62444404406805
disco,canción,related,word,word,0.45862280805415
capacidad,habilidad,related,word,word,0.795289058723729
iglesia,capilla,related,word,word,0.739174870123908
anarquía,capitalismo,related,word,word,0.522039243246928
comandante,capitán,related,word,word,0.690090617385057
obispo,cardenal,related,word,word,0.691623219196766
carga,cargamento,related,word,word,0.518771974181732
cerdo,carne,related,word,word,0.479990704464039
camino,carretera,related,word,word,0.523018628249983
mafia,cártel,related,word,word,0.539748574569864
soltero,casado,related,word,word,0.477297575869093
ocasionalmente,raramente,related,word,word,0.559182901323297
palacio,castillo,related,word,word,0.646014880013461
trampa,cebo,related,word,word,0.494234883619195
ajo,cebolla,related,word,word,0.641261167968667
cielo,celestial,related,word,word,0.509333229639374
tumba,cementerio,related,word,word,0.627452129047588
mil,cien,related,word,word,0.593999083068695
milla,centímetro,related,word,word,0.451418801974822
vaca,cerdo,related,word,word,0.601747794390031
neuronal,cerebral,related,word,word,0.655647169712803
ritual,ceremonia,related,word,word,0.529602386844501
bloqueado,cerrado,related,word,word,0.543443397302992
abrir,cerrar,related,word,word,0.766509682954511
llave,cerradura,related,word,word,0.580828573124513
bebida,cerveza,related,word,word,0.687186696693674
vino,champán,related,word,word,0.513199051875737
soborno,chantaje,related,word,word,0.61379786177599
camisa,chaqueta,related,word,word,0.800437706380711
niña,niño,related,word,word,0.758297567905677
azúcar,chocolate,related,word,word,0.577957810538932
tatuaje,cicatriz,related,word,word,0.545671817690265
tecnología,ciencia,related,word,word,0.56649333384432
genio,científico,related,word,word,0.457202960377324
apertura,cierre,related,word,word,0.520773663330703
tabaco,cigarrillo,related,word,word,0.639938382291706
humo,cigarro,related,word,word,0.450580783923491
ingenuo,cínico,related,word,word,0.631914738355202
zoológico,circo,related,word,word,0.516063482966974
operación,cirugía,related,word,word,0.663752199374824
capital,ciudad,related,word,word,0.510790238255118
cultura,civilización,related,word,word,0.637276854656435
típico,clásico,related,word,word,0.573952774653543
código,clave,related,word,word,0.458248612627942
paciente,cliente,related,word,word,0.501935319596689
hospital,clínica,related,word,word,0.630396086927459
motivo,coartada,related,word,word,0.340773152725235
vehículo,coche,related,word,word,0.721670901179893
horno,cocina,related,word,word,0.504510046942582
chef,cocinero,related,word,word,0.792500663431674
estómago,pecho,related,word,word,0.612961429853785
caída,colapso,related,word,word,0.532386520867927
clase,colegio,related,word,word,0.382731597708222
anillo,collar,related,word,word,0.662885540433644
campeón,luchador,related,word,word,0.582007091934823
alimentar,comer,related,word,word,0.487044912464397
drama,comedia,related,word,word,0.532100598464011
comercial,mercantil,related,word,word,0.38891246587817
bocadillo,almuerzo,related,word,word,0.566007842267097
alimento,comida,related,word,word,0.617708040763722
comisión,comité,related,word,word,0.588301055536705
paciencia,compasión,related,word,word,0.56621033036264
absolutamente,completamente,related,word,word,0.677747615086265
total,completo,related,word,word,0.459234033492008
vacío,lleno,related,word,word,0.502197340639139
vendedor,comprador,related,word,word,0.626814805577235
entender,comprender,related,word,word,0.914202360114138
software,hardware,related,word,word,0.703586049735341
navegación,comunicación,related,word,word,0.470339842084473
sociedad,comunidad,related,word,word,0.646332466358486
racista,comunista,related,word,word,0.503635441243448
ocasional,frecuente,related,word,word,0.476085535849535
ron,coñac,related,word,word,0.237054753559146
enfocarse,concentrarse,related,word,word,0.799335229350232
gira,concierto,related,word,word,0.485669259011592
barón,condesa,related,word,word,0.496610893191039
pasajero,conductor,related,word,word,0.57978113979633
zorro,conejo,related,word,word,0.634896350435517
contacto,conexión,related,word,word,0.423195132162456
seminario,conferencia,related,word,word,0.52907514485031
admitir,confesar,related,word,word,0.544058676498178
respeto,confianza,related,word,word,0.489523328440889
confirmación,confirmar,related,word,word,0.645261256793127
caos,confusión,related,word,word,0.607204202935085
derretir,congelar,related,word,word,0.54632941573822
experiencia,conocimiento,related,word,word,0.472874743126907
siempre,constantemente,related,word,word,0.522399993767506
ley,constitución,related,word,word,0.571111603217618
construcción,edificar,related,word,word,0.522555687635789
contener,contenido,related,word,word,0.492200325658542
satisfecho,contento,related,word,word,0.621954336639467
opuesto,contrario,related,word,word,0.458294921683835
contrato,convenio,related,word,word,0.635312483866473
orfanato,convento,related,word,word,0.550097227554672
original,copia,related,word,word,0.41684553524399
unir,atar,related,word,word,0.346818764250453
general,coronel,related,word,word,0.509223357658792
empresa,corporación,related,word,word,0.717276426657364
incorrecto,correcto,related,word,word,0.780641118456692
rasgar,cortar,related,word,word,0.546467034472305
playa,costa,related,word,word,0.550729749517466
hueso,cráneo,related,word,word,0.527496929688561
imaginación,creatividad,related,word,word,0.585064582841907
confiar,creer,related,word,word,0.501550460898567
niñera,criada,related,word,word,0.56152853552914
monstruo,criatura,related,word,word,0.555628490734768
pecado,crimen,related,word,word,0.462499281922705
inestabilidad,crisis,related,word,word,0.376444269309143
católico,cristiano,related,word,word,0.690029478437329
brutal,cruel,related,word,word,0.651207712322591
maldad,crueldad,related,word,word,0.6187000464172
tercero,cuarto,related,word,word,0.412952000815423
dos,cuatro,related,word,word,0.789947206141877
espada,cuchillo,related,word,word,0.593222364976184
garganta,cuello,related,word,word,0.505340261241391
cadena,cuerda,related,word,word,0.397123043291745
inocente,culpable,related,word,word,0.605412608478218
aniversario,cumpleaños,related,word,word,0.729055625527983
sanar,curar,related,word,word,0.755145363394414
bailarín,baile,related,word,word,0.507138928178029
ofrecer,dar,related,word,word,0.481291131468308
realmente,sinceramente,related,word,word,0.521534553598011
responsabilidad,deber,related,word,word,0.47370814959637
fuerte,débil,related,word,word,0.548053367323495
siglo,década,related,word,word,0.57129925839259
sorpresa,decepción,related,word,word,0.448629946005816
decir,contar,related,word,word,0.435273258735615
comentario,declaración,related,word,word,0.390225162073136
proteger,defender,related,word,word,0.700337883236919
concepto,definición,related,word,word,0.469834049774292
permitir,dejar,related,word,word,0.675867619469862
sabroso,delicioso,related,word,word,0.789884791033947
ladrón,delincuente,related,word,word,0.607038423061819
libertad,democracia,related,word,word,0.535661474237046
ángel,demonio,related,word,word,0.52467252844928
protesta,manifestación,related,word,word,0.603987423791509
casa,hogar,related,word,word,0.438428179650261
pasatiempo,deporte,related,word,word,0.489939211014803
presa,depredador,related,word,word,0.539849675288589
estrés,depresión,related,word,word,0.553323640076946
obstáculo,desafío,related,word,word,0.433958681039842
incómodo,desagradable,related,word,word,0.548402579811553
muerte,desaparición,related,word,word,0.464514754963105
progreso,desarrollo,related,word,word,0.493821180179113
cena,desayuno,related,word,word,0.657753044900143
aplastar,romper,related,word,word,0.417630527110494
anónimo,desconocido,related,word,word,0.489244640746572
perfil,descripción,related,word,word,0.480110082442745
deseo,anhelo,related,word,word,0.581828025060299
desafortunado,desgracia,related,word,word,0.576859087699561
nudismo,desnudo,related,word,word,0.335192377637243
renuncia,despido,related,word,word,0.466278923838137
fatalidad,destino,related,word,word,0.376033821659242
creación,destrucción,related,word,word,0.484619367309186
agente,detective,related,word,word,0.486087822692069
evitar,detener,related,word,word,0.504339643990613
coraje,determinación,related,word,word,0.598669031779136
fidelidad,devoción,related,word,word,0.636935582283147
pintar,dibujar,related,word,word,0.673756044201568
noviembre,diciembre,related,word,word,0.802055126979521
uña,diente,related,word,word,0.472511338358723
similar,diferente,related,word,word,0.561554117554875
orgullo,dignidad,related,word,word,0.522209388740726
pólvora,dinamita,related,word,word,0.544324188584182
efectivo,dinero,related,word,word,0.620538485791722
directo,directamente,related,word,word,0.743776774043699
productor,director,related,word,word,0.588716733072346
conversacion,discusión,related,word,word,0.606873559763025
disparo,disparar,related,word,word,0.564812417216668
chip,dispositivo,related,word,word,0.594457520145787
conflicto,disputa,related,word,word,0.550630292093192
condado,distrito,related,word,word,0.552399949467936
unidad,división,related,word,word,0.576274354294077
expediente,documento,related,word,word,0.542342655599046
euro,dólar,related,word,word,0.499732622959108
sufrimiento,dolor,related,word,word,0.726357217619386
sábado,domingo,related,word,word,0.825337306368321
caridad,donación,related,word,word,0.573390057835889
descansar,dormir,related,word,word,0.630480585500502
alcohol,droga,related,word,word,0.556813019778194
inquilino,propietario,related,word,word,0.541905332205821
propiedad,dueño,related,word,word,0.445044712250328
difícil,duro,related,word,word,0.558353398733072
torre,edificio,related,word,word,0.433678449585237
salud,educación,related,word,word,0.439859800178334
influencia,efecto,related,word,word,0.400208908353359
útil,eficaz,related,word,word,0.461867856370708
testarudo,egoísta,related,word,word,0.570771251535673
fusilamiento,ejecución,related,word,word,0.592462380906533
práctica,ejercicio,related,word,word,0.406861990259286
legión,ejército,related,word,word,0.422190866580594
nacimiento,embarazo,related,word,word,0.342160609008165
cemento,plástico,related,word,word,0.521862207721215
campaña,elección,related,word,word,0.399953201076551
corriente,electricidad,related,word,word,0.431863112218407
magnético,eléctrico,related,word,word,0.507731579007246
moderno,elegante,related,word,word,0.481911657655673
factor,elemento,related,word,word,0.483364901049987
bajo,alto,related,word,word,0.356868130585505
tripulación,embarcación,related,word,word,0.471817884940711
urgencia,emergencia,related,word,word,0.640753161565232
orgulloso,emocionado,related,word,word,0.539332167053404
mental,emocional,related,word,word,0.659292823870618
imperial,emperador,related,word,word,0.535641034297918
millonario,empresario,related,word,word,0.574980789564601
fuera,dentro,related,word,word,0.477324710566403
atractivo,encantador,related,word,word,0.638117503318239
agradable,amoroso,related,word,word,0.369015267108564
buscar,encontrar,related,word,word,0.600427716826092
potencia,energía,related,word,word,0.575713863640343
celoso,enojado,related,word,word,0.581739383389646
gripe,enfermedad,related,word,word,0.600275264905231
indispuesto,enfermo,related,word,word,0.458172682027645
grande,enorme,related,word,word,0.676987278261843
sopa,ensalada,related,word,word,0.691795743021423
aprender,enseñar,related,word,word,0.666779781078005
cavar,enterrar,related,word,word,0.553122930644898
salida,entrada,related,word,word,0.67037666858912
traer,enviar,related,word,word,0.505862074034758
plaga,epidemia,related,word,word,0.693777228101595
serie,episodio,related,word,word,0.413849513210133
equipo,equipar,related,word,word,0.345688489362515
liga,equipo,related,word,word,0.424000315137996
orgasmo,erección,related,word,word,0.543706522895181
error,equivocación,related,word,word,0.747733370015294
chisme,escándalo,related,word,word,0.440976639669725
huir,escapar,related,word,word,0.754979596914622
cubrir,esconder,related,word,word,0.402747748781922
leer,escribir,related,word,word,0.719080318622877
lectura,escritura,related,word,word,0.459180081166928
poeta,escritor,related,word,word,0.629549505215332
oír,escuchar,related,word,word,0.898691198228189
lasaña,espagueti,related,word,word,0.576195276363226
experto,especialista,related,word,word,0.753384192651102
sensacional,espectacular,related,word,word,0.61482334773933
reflejo,espejo,related,word,word,0.560679554681745
aterrador,espeluznante,related,word,word,0.653904053132961
alma,espíritu,related,word,word,0.55637102749595
esposo,esposa,related,word,word,0.832539325659338
plataforma,estación,related,word,word,0.500824207200643
federal,estado,related,word,word,0.210725212276999
monumento,estatua,related,word,word,0.581572120565159
oeste,este,related,word,word,0.194140895618918
ritmo,estilo,related,word,word,0.425050043336908
plan,estrategia,related,word,word,0.606682868198607
celebridad,estrella,related,word,word,0.506877987985076
pirámide,estructura,related,word,word,0.45677309614364
investigación,estudio,related,word,word,0.376518024845539
excelente,estupendo,related,word,word,0.662124960004448
locura,estupidez,related,word,word,0.682300510887962
ingenuo,estúpido,related,word,word,0.569598522026287
inspección,evaluación,related,word,word,0.546738548861373
fenómeno,evento,related,word,word,0.398285532931566
subestimar,exagerar,related,word,word,0.501534761639774
perdón,excusa,related,word,word,0.236547318208783
terremoto,explosión,related,word,word,0.541479007037039
bomba,explosivo,related,word,word,0.63104008606448
estallar,explotar,related,word,word,0.814244916080456
galería,exposición,related,word,word,0.556771872285371
interno,externo,related,word,word,0.687020763304251
raro,extraño,related,word,word,0.834897792374755
ovni,extraterrestre,related,word,word,0.526266016734475
culo,trasero,related,word,word,0.890064999505537
imposible,fácil,related,word,word,0.564602186027171
éxito,fracaso,related,word,word,0.602389916459601
engañoso,falso,related,word,word,0.474604159006242
clan,familia,related,word,word,0.479668236354036
popular,famoso,related,word,word,0.536389142000591
realidad,fantasía,related,word,word,0.446882503964308
maravilloso,fantástico,related,word,word,0.849190108149653
mortal,fatal,related,word,word,0.463706956942314
correo,fax,related,word,word,0.604493062335907
esperanza,fe,related,word,word,0.543099782928817
colonia,federación,related,word,word,0.434919424848662
desagradable,feo,related,word,word,0.572661816164262
carnaval,festival,related,word,word,0.536343999988644
tos,fiebre,related,word,word,0.549480200260117
leal,fiel,related,word,word,0.781127708636964
navidad,festividad,related,word,word,0.578443438812652
recepción,fiesta,related,word,word,0.499193791779453
terminar,finalizar,related,word,word,0.704722359933911
finalmente,eventualmente,related,word,word,0.482955301211615
financieramente,financiación,related,word,word,0.45509858843076
bancario,financiero,related,word,word,0.590697838417099
sello,firma,related,word,word,0.407839166420698
formulario,firmar,related,word,word,0.538608850018031
abogado,fiscal,related,word,word,0.552454044393976
sexual,físico,related,word,word,0.386404176318426
planta,flor,related,word,word,0.459323987669025
naval,flota,related,word,word,0.416659087181848
superficie,fondo,related,word,word,0.308827662062755
presupuesto,fondos,related,word,word,0.474244123868131
imagen,foto,related,word,word,0.565733160447402
autógrafo,fotógrafo,related,word,word,0.412842217628486
victoria,derrota,related,word,word,0.69420611116525
inglés,francés,related,word,word,0.788074626259822
tirador,francotirador,related,word,word,0.742032026722308
diccionario,frase,related,word,word,0.428628778698726
conspiración,fraude,related,word,word,0.51499859987055
banana,manzana,related,word,word,0.538833458032005
cálido,fresco,related,word,word,0.567851190603086
caliente,frío,related,word,word,0.549842940279216
manzana,fruta,related,word,word,0.573515467343364
fuego,llama,related,word,word,0.304725392172891
pesado,pesadamente,related,word,word,0.470658687215782
firme,fuerte,related,word,word,0.416437821200091
fortaleza,fuerza,related,word,word,0.563681668488011
refugiado,fugitivo,related,word,word,0.41504153150364
operacional,funcional,related,word,word,0.448972950149153
ataúd,funeral,related,word,word,0.503272323566404
enojo,furia,related,word,word,0.615582726941415
baloncesto,fútbol,related,word,word,0.854358412992347
universo,galaxia,related,word,word,0.661703296928139
perdedor,ganador,related,word,word,0.555227505567656
ganar,triunfar,related,word,word,0.458521112200962
taller,garaje,related,word,word,0.599599274237171
gas,combustible,related,word,word,0.537268540888277
derrochar,gastar,related,word,word,0.668146296610117
perro,gato,related,word,word,0.788936366080329
lesbiana,gay,related,word,word,0.644300710638023
normal,general,related,word,word,0.222457330482229
naturalmente,generalmente,related,word,word,0.409241698194559
compasivo,generoso,related,word,word,0.661207289341293
población,pueblo,related,word,word,0.399525203064401
girar,rotar,related,word,word,0.659303017808741
nacional,global,related,word,word,0.487910141338915
glorioso,gloria,related,word,word,0.560060826945969
administración,gobierno,related,word,word,0.584700540376012
mono,gorila,related,word,word,0.61145220668442
lentes,gorra,related,word,word,0.486217019958954
registro,grabación,related,word,word,0.385209334822346
agradecido,gracias,related,word,word,0.443641188233353
ingenioso,gracioso,related,word,word,0.575070762985694
diploma,graduado,related,word,word,0.530727489062093
kilo,gramo,related,word,word,0.660697165327689
gratuito,gratis,related,word,word,0.649521563395287
hospitalidad,gratitud,related,word,word,0.584150611202486
romano,griego,related,word,word,0.567956542150054
delgado,grueso,related,word,word,0.609599222585168
pandilla,grupo,related,word,word,0.511861638823942
soldado,guerrero,related,word,word,0.539964861512976
piano,guitarra,related,word,word,0.690042214138568
habitación,dormitorio,related,word,word,0.711572408280364
número,dirección,related,word,word,0.402866418935541
charlar,hablar,related,word,word,0.66707894931366
apenas,reciente,related,word,word,0.122921591628736
realizar,hacer,related,word,word,0.596354185188516
cansado,hambriento,related,word,word,0.560446418051552
sandwich,hamburguesa,related,word,word,0.600426699207886
grano,harina,related,word,word,0.474352364250497
ambulancia,helicóptero,related,word,word,0.504963001654963
herencia,heredar,related,word,word,0.569142900985714
amigo,compañero,related,word,word,0.703225570986002
hermana,hermano,related,word,word,0.704858833335783
bonito,hermoso,related,word,word,0.805031038490146
cocaína,heroína,related,word,word,0.779102610903118
carbón,hidrógeno,related,word,word,0.435794544074322
riñón,hígado,related,word,word,0.714956125632946
hija,hijo,related,word,word,0.709929438396854
Superman,Batman,related,word,word,
lealtad,honestidad,related,word,word,0.56599089675227
bueno,honesto,related,word,word,0.214539322044633
privilegio,honor,related,word,word,0.604315231526316
abeja,hormiga,related,word,word,0.62515154004941
terrible,horrible,related,word,word,0.863018144590381
golpear,pegar,related,word,word,0.652685033788323
ADN,huella,related,word,word,
nido,huevo,related,word,word,0.430620510020312
hombre,humano,related,word,word,0.402504314033161
baño,lavamanos,related,word,word,0.590520349623188
tonto,idiota,related,word,word,0.805630668803285
dinastía,imperio,related,word,word,0.522464107602917
sentido,importancia,related,word,word,0.394034102825035
valioso,importante,related,word,word,0.525675721484582
indefenso,impotente,related,word,word,0.580961746885481
halagar,impresionar,related,word,word,0.537290384632665
incapacidad,incapaz,related,word,word,0.59254190184515
impresionante,increíble,related,word,word,0.783810009033211
señalar,indicar,related,word,word,0.546035955065242
persona,individuo,related,word,word,0.480174401818147
repentino,súbito,related,word,word,0.710499396290384
juventud,infancia,related,word,word,0.525086514104741
virus,infección,related,word,word,0.598611915759126
paraíso,infierno,related,word,word,0.523986234234493
datos,información,related,word,word,0.614522171955119
fuente,informante,related,word,word,0.375671247023231
reportar,informar,related,word,word,0.762438671184941
ganancia,ingreso,related,word,word,0.364305350021919
injusticia,inequidad,related,word,word,0.508176559181297
araña,insecto,related,word,word,0.586213573823215
examen,inspección,related,word,word,0.445964991144373
inspirar,inspiración,related,word,word,0.592375213514571
herramienta,instrumento,related,word,word,0.540966476933608
ingenioso,inteligente,related,word,word,0.607934501416331
propósito,intención,related,word,word,0.496880458459055
accidentalmente,intencionalmente,related,word,word,0.510761210461292
tratar,intentar,related,word,word,0.755085682077823
excitante,interesante,related,word,word,0.646018757067505
privacidad,intimidad,related,word,word,0.759412396923016
personal,íntimo,related,word,word,0.389133378131089
instinto,intuición,related,word,word,0.662242109803254
banquero,inversor,related,word,word,0.549711189183175
finanzas,invertir,related,word,word,0.24560171784091
cabina,sonda,related,word,word,0.283545306842429
analista,investigador,related,word,word,0.545259339635362
examinar,investigar,related,word,word,0.595513626731521
verano,invierno,related,word,word,0.764536162167471
dosis,inyección,related,word,word,0.616220293588913
entrar,ir,related,word,word,0.413350337363927
ironía,irónico,related,word,word,0.506690032158513
irracional,irresponsable,related,word,word,0.506947129901644
derecha,izquierda,related,word,word,0.968769660205247
empujar,tirar,related,word,word,0.574282810381798
aguja,jeringa,related,word,word,0.636116505113196
viejo,joven,related,word,word,0.403992023332144
diamante,joya,related,word,word,0.566429479578444
jugar,juego,related,word,word,0.610929462898826
juzgado,juez,related,word,word,0.564964103013003
entrenador,jugador,related,word,word,0.574242286104982
leche,limonada,related,word,word,0.566866688006188
muñeca,juguete,related,word,word,0.409619227126273
Romeo,Julieta,related,word,word,
sénior,júnior,related,word,word,0.335125496293106
jurar,promesa,related,word,word,0.461735910804377
venganza,justicia,related,word,word,0.534303118325095
seguridad,confianza,related,word,word,0.325694880771402
rana,lagarto,related,word,word,0.496869678935556
río,lago,related,word,word,0.744220070612836
chupar,lamer,related,word,word,0.645886115661873
atún,langosta,related,word,word,0.619838501693851
corto,largo,related,word,word,0.565343086763071
limpiar,lavar,related,word,word,0.721985538774236
ilegal,legal,related,word,word,0.613706671120887
cerca,lejos,related,word,word,0.524608362124755
dragón,león,related,word,word,0.528033146899461
herida,lesión,related,word,word,0.560256592368881
telegrama,carta,related,word,word,0.589599479473638
mito,leyenda,related,word,word,0.627964605046597
conservador,liberal,related,word,word,0.665467799733204
biblia,libro,related,word,word,0.52718191594668
miembro,líder,related,word,word,0.533850133405535
taxi,limusina,related,word,word,0.595093498085015
dulce,tierno,related,word,word,0.660947155636405
líquido,fluido,related,word,word,0.655289960550161
arte,literatura,related,word,word,0.55877289014794
oso,lobo,related,word,word,0.658351379290241
regional,local,related,word,word,0.363739644219622
paranoico,loco,related,word,word,0.596306784705723
tamaño,longitud,related,word,word,0.450891060714441
oscuridad,luz,related,word,word,0.587279965810153
magia,hechicero,related,word,word,0.562099077152889
maletín,mochila,related,word,word,0.586688621236675
bien,mal,related,word,word,0.661653339269502
papi,mami,related,word,word,0.868787881445867
mañana,amanecer,related,word,word,0.537856549609889
bomba,manguera,related,word,word,0.332249023861106
controlar,manipular,related,word,word,0.547553605903411
miel,mantequilla,related,word,word,0.457083585242064
preservar,conservar,related,word,word,0.735948441007118
sostener,mantener,related,word,word,0.48384621219002
servicio,mantenimiento,related,word,word,0.47519210659598
brújula,mapa,related,word,word,0.524683558270434
ardilla,mapache,related,word,word,0.5895184200287
robot,máquina,related,word,word,0.431458075691418
pirata,marinero,related,word,word,0.535623829543345
publicidad,márketing,related,word,word,0.530900523501757
lunes,martes,related,word,word,0.84134557481526
palo,martillo,related,word,word,0.541699561793973
yoga,masaje,related,word,word,0.485817033121071
tragar,masticar,related,word,word,0.615176826411739
envenenar,matar,related,word,word,0.553072024981969
física,matemática,related,word,word,0.642946782888468
divorcio,matrimonio,related,word,word,0.617718051249146
mínimo,máximo,related,word,word,0.583586398824576
ketchup,mayonesa,related,word,word,0.687117904608676
técnico,mecánico,related,word,word,0.546380830673145
trofeo,medalla,related,word,word,0.534300321641959
artefacto,medallón,related,word,word,0.493360818578543
cirujano,médico,related,word,word,0.679872944150956
medianoche,mediodía,related,word,word,0.694596827526358
labio,mejilla,related,word,word,0.60895652653682
cambio,mejora,related,word,word,0.402280057558671
más,menos,related,word,word,0.523393498535539
advertencia,mensaje,related,word,word,0.383814096194334
mentira,mentiroso,related,word,word,0.518506079135904
junio,julio,related,word,word,0.765190847399652
hierro,metal,related,word,word,0.569283826906988
kilómetro,metro,related,word,word,0.517610269035873
combinación,mezcla,related,word,word,0.55867933605297
