"de_target","de_cue","type","target_type","cue_type","de_cosine"
"gegner","feind","related","word","word",0.587448751616126
"stein","felsen","related","word","word",0.516770056680379
"tür","fenster","related","word","word",0.549509256428336
"mikroskop","fernrohr","related","word","word",0.436315734391906
"stark","fest","related","word","word",0.194402181015286
"agentur","feste","related","word","word",0.112711199561664
"flamme","feuer","related","word","word",0.543115447023436
"ultimativ","finale","related","word","word",0.31566048352722
"investieren","finanzen","related","word","word",0.25555309403676
"finanzierung","finanziell","related","word","word",0.525776103732396
"daumen","finger","related","word","word",0.578018619161059
"reparatur","fix","related","word","word",0.242446636028334
"symbol","flagge","related","word","word",0.320591065072657
"flucht","fliehen","related","word","word",0.508398604294901
"hexe","fluch","related","word","word",0.449580673881853
"flüchtling","flüchtling","related","word","word",1
"see","fluss","related","word","word",0.563015097775716
"flüssigkeit","flüssigkeit","related","word","word",1
"zustand","föderal","related","word","word",NA
"konzentrieren","fokus","related","word","word",0.45273469770894
"jagen","folgen","related","word","word",0.278445826034889
"lernen","forschung","related","word","word",0.113238712121851
"fragen","frage","related","word","word",0.386314993022753
"stück","fragment","related","word","word",0.361446228549475
"kostenlos","frei","related","word","word",0.23306822017407
"demokratie","freiheit","related","word","word",0.490777332163885
"freiwillig","freiwillige","related","word","word",0.599510656369657
"signal","frequenz","related","word","word",0.542821340083112
"aktualisierung","frisch","related","word","word",0.0993142231574435
"eidechse","frosch","related","word","word",0.372454118183418
"herbst","frühling","related","word","word",0.666784856104645
"hase","fuchs","related","word","word",0.513424075928912
"essen","füttern","related","word","word",0.45019964709426
"ausstellung","galerie","related","word","word",0.53450465866587
"gruppe","gang","related","word","word",0.353638046438693
"ente","gans","related","word","word",0.559683221407313
"versprechen","garantie","related","word","word",0.38648943859187
"kraftstoff","gas","related","word","word",0.452385316723714
"dankbarkeit","gastfreundschaft","related","word","word",0.518986732991314
"schwangerschaft","geburt","related","word","word",0.539175696248492
"mitgefühl","geduld","related","word","word",0.466800571834633
"klient","geduldig","related","word","word",0.186117392040654
"falsch","gefälscht","related","word","word",0.367022308199011
"impfung","gegenmittel","related","word","word",0.403106738433882
"partikel","gegenstand","related","word","word",0.300966576035343
"gegenteil","gegenteil","related","word","word",1
"abwesenheit","gegenwart","related","word","word",0.438500750911529
"geheimnis","geheimnis","related","word","word",1
"zerebral","gehirn","related","word","word",0.436748266681172
"häftling","geisel","related","word","word",0.27146187168105
"selten","gelegentlich","related","word","word",0.485046425198594
"angenehm","gemütlich","related","word","word",0.458516883084252
"reaktor","generator","related","word","word",0.621140654459422
"wissenschaftler","genius","related","word","word",0.250452869007055
"reicht aus","genügend","related","word","word",NA
"vor kurzem","gerade","related","word","word",NA
"richter","gericht","related","word","word",0.632493402446471
"komplett","gesamt","related","word","word",0.320779012937197
"passieren","geschehen","related","word","word",0.722341928881763
"geruch","geschmack","related","word","word",0.533136779275841
"konzern","gesellschaft","related","word","word",0.25559378675153
"verfassung","gesetz","related","word","word",0.426029436536987
"geschlossen","gesperrt","related","word","word",0.494910194939468
"diskussion","gespräch","related","word","word",0.50167739923132
"handlung","geste","related","word","word",0.375026446198367
"normal","gesund","related","word","word",0.412648193558265
"schlagen","getroffen haben","related","word","word",NA
"pistole","gewehr","related","word","word",0.669968156291752
"höhe","gewicht","related","word","word",0.30212863451405
"sieg","gewinnen","related","word","word",0.430530756302353
"üblich","gewöhnliche","related","word","word",0.307275882277634
"töten","gift","related","word","word",0.271650717044243
"flasche","glas","related","word","word",0.532919368249093
"herrlichkeit","glorreich","related","word","word",0.398203594679248
"poker","glücksspiel","related","word","word",0.400080403332112
"silber-","golden","related","word","word",NA
"tennis","golf","related","word","word",0.465378419140158
"göttlich","gott","related","word","word",0.394777102714646
"senator","gouverneur","related","word","word",0.544080915751781
"friedhof","grab","related","word","word",0.552689644227956
"begraben","graben","related","word","word",0.557133673821907
"grüßen","gratulieren","related","word","word",0.3180278191744
"fangen","greifen","related","word","word",0.407279411760652
"erkrankung","grippe","related","word","word",0.492925765521885
"enorm","groß","related","word","word",0.2708711109078
"länge","größe","related","word","word",0.411937577267753
"oma","großvater","related","word","word",0.411832371163855
"orange","grün","related","word","word",0.414985995127868
"weil","grund","related","word","word",0.27868733677917
"furcht","grusel","related","word","word",0.215982035820978
"schlecht","gut","related","word","word",0.691997326949539
"bart","haar","related","word","word",0.485112171546706
"truthahn","hähnchen","related","word","word",0.512157944246702
"fisch","hai","related","word","word",0.500952197233446
"quartal","hälfte","related","word","word",0.238511112917899
"tschüss","hallo","related","word","word",0.59090526824445
"behalten","halten","related","word","word",0.43836188273123
"arm","hand","related","word","word",0.542507385566579
"hinrichtung","hängend","related","word","word",0.11288397248162
"egoistisch","hartnäckig","related","word","word",0.303238100265904
"liebe","hassen","related","word","word",0.237959334076165
"stadt","hauptstadt","related","word","word",0.562934901028974
"wohnung","haus","related","word","word",0.61859890420936
"gewebe","haut","related","word","word",0.456806285221159
"kalt","heiß","related","word","word",0.585732436835137
"retter","held","related","word","word",0.51741837729436
"hut","helm","related","word","word",0.511930092205975
"zusammenbruch","herbst","related","word","word",0.206063825179605
"dame","herr","related","word","word",0.273391737946524
"liebhaber","herrin","related","word","word",0.267945131661319
"gestern","heute","related","word","word",0.612538600768833
"dort","hier","related","word","word",0.675562364252344
"helfen","hilfe","related","word","word",0.456281377777766
"machtlos","hilflos","related","word","word",0.611646066280926
"paradiesisch","himmel","related","word","word",0.286335787126898
"herausforderung","hindernis","related","word","word",0.415472290234524
"sport","hobby","related","word","word",0.354090616044353
"universität","hochschule","related","word","word",0.660286859366629
"glaube","hoffen","related","word","word",0.328514066698707
"freundlich","höflich","related","word","word",0.704347748132434
"butter","honig","related","word","word",0.520801655131399
"gerichtsverhandlung","hören","related","word","word",0.151203296278463
"hören","hören","related","word","word",1
"adrenalin","hormon","related","word","word",0.466326833916199
"pfeife","horn","related","word","word",0.287853796842527
"motel","hotel","related","word","word",0.643370614859543
"schön","hübsch","related","word","word",0.591062840942228
"berg","hügel","related","word","word",0.617859087882244
"katze","hund","related","word","word",0.621775806706897
"durst","hunger","related","word","word",0.673106619899319
"tornado","hurrikan","related","word","word",0.470414775492384
"fieber","husten","related","word","word",0.496770329653351
"perfekt","ideal","related","word","word",0.494060337208834
"theorie","idee","related","word","word",0.40094195469335
"arroganz","ignoranz","related","word","word",0.506322494248008
"gesetzlich","illegal","related","word","word",0.459239165176795
"halluzination","illusion","related","word","word",0.436796833853412
"ständig","immer","related","word","word",0.587339138255398
"druck","impuls","related","word","word",0.226742989514613
"weit","in der nähe von","related","word","word",NA
"unternehmen","industrie","related","word","word",0.188575805864879
"external","innen","related","word","word",NA
"kommissar","inspektor","related","word","word",0.549144724545766
"inspiration","inspirieren","related","word","word",0.50468781709049
"intuition","instinkt","related","word","word",0.590011602095538
"welt","international","related","word","word",0.198349306896181
"netz","internet","related","word","word",0.398710568883935
"attacke","invasion","related","word","word",0.446891467430445
"ironisch","ironie","related","word","word",0.435281273705197
"angeln","jagd","related","word","word",0.303757398744034
"dekade","jahrhundert","related","word","word",0.409071563338902
"musik","jazz","related","word","word",0.512443442307748
"lkw","jeep","related","word","word",0.42970711436847
"wissen","jetzt","related","word","word",0.352365183440174
"politik","journalismus","related","word","word",0.443581755191205
"geburtstag","jubiläum","related","word","word",0.490563053717239
"kindheit","jugend","related","word","word",0.469887873381589
"mädchen","jungs","related","word","word",0.536281620430332
"juli","juni","related","word","word",0.604269485190799
"kabel","kabel","related","word","word",1
"deck","kabine","related","word","word",0.458771825991327
"wandschrank","kabinett","related","word","word",0.197774963260897
"kaiser","kaiserliche","related","word","word",0.522636464497728
"zeitplan","kalender","related","word","word",0.381506169577028
"patrone","kaliber","related","word","word",0.463171096587996
"mikrofon","kamera","related","word","word",0.468237420691769
"wahl","kampagne","related","word","word",0.344140525692705
"kampf","kampf","related","word","word",1
"nachrichten","kanal","related","word","word",0.333767636416385
"wähler","kandidat","related","word","word",0.375393257500454
"präsident","kanzler","related","word","word",0.408157104908945
"fähigkeit","kapazität","related","word","word",0.405709750425165
"sonde","kapsel","related","word","word",0.44518771666376
"festival","karneval","related","word","word",0.365717561901704
"leiche","karosserie","related","word","word",0.160646766972372
"tomate","kartoffel","related","word","word",0.530357872954171
"geld","kasse","related","word","word",0.357566438541433
"tasche","kasten","related","word","word",0.339903647311837
"christian","katholisch","related","word","word",0.200957798819517
"verkaufen","kaufen","related","word","word",0.739726401929523
"artillerie","kavallerie","related","word","word",0.590511484577775
"nacken","kehle","related","word","word",0.388316940619503
"kellnerin","kellner","related","word","word",0.652747189686558
"mayonnaise","ketchup","related","word","word",0.532768274716648
"seil","kette","related","word","word",0.327260274952181
"gramm","kilo","related","word","word",0.576839721644683
"meter","kilometer","related","word","word",0.654254725491236
"theater","kino","related","word","word",0.534437311882761
"kapelle","kirche","related","word","word",0.575500175412649
"schule","klasse","related","word","word",0.537558255902714
"gitarre","klavier","related","word","word",0.567401601519207
"klein","kleine","related","word","word",0.429111845491613
"ding","klingeln","related","word","word",0.215612766253975
"zwiebel","knoblauch","related","word","word",0.546266965105489
"schädel","knochen","related","word","word",0.470878032170761
"koch","koch","related","word","word",1
"öl","kohle","related","word","word",0.400550598352902
"wasserstoff","kohlenstoff","related","word","word",0.67516114310207
"heroin","kokain","related","word","word",0.743866780128839
"freundin","kollege","related","word","word",0.324195065934507
"föderation","kolonie","related","word","word",0.497294985553112
"mischung","kombination","related","word","word",0.433940597862834
"kapitän","kommandant","related","word","word",0.482404794323101
"aussage","kommentar","related","word","word",0.366393930705165
"händler","kommerziell","related","word","word",0.256826426868834
"ausschuss","kommission","related","word","word",0.466203485266821
"karte","kompass","related","word","word",0.395394381783253
"geschenk","kompliment","related","word","word",0.473246616683372
"meeting","konferenz","related","word","word",0.518673298095491
"disput","konflikt","related","word","word",0.403893782497725
"könig","königin","related","word","word",0.729047144689218
"königreich","königlich","related","word","word",0.291613856213146
"liberale","konservativ","related","word","word",0.467449046115871
"bauen","konstruktion","related","word","word",0.33598329911925
"verbindung","kontakt","related","word","word",0.604936522290335
"strahlung","kontamination","related","word","word",0.494712055788456
"manipulieren","kontrolle","related","word","word",0.224406282743049
"definition","konzept","related","word","word",0.370826888858863
"mehl","korn","related","word","word",0.412419318533119
"krank","krank","related","word","word",1
"klinik","krankenhaus","related","word","word",0.644139097816692
"hubschrauber","krankenwagen","related","word","word",0.517319208382893
"prellung","kratzen","related","word","word",0.231871474841034
"darlehen","kredit","related","word","word",0.662227406390118
"dreieck","kreis","related","word","word",0.431754233599004
"schlacht","krieg","related","word","word",0.601710403975969
"politisch","kritisch","related","word","word",0.42522392703026
"thron","krone","related","word","word",0.540455825369348
"schwein","kuh","related","word","word",0.409285376582733
"zivilisation","kultur","related","word","word",0.560883517002599
"bruder","kumpel","related","word","word",0.490891601877262
"literatur","kunst","related","word","word",0.519378333871708
"maler","künstler","related","word","word",0.633945389153779
"lang","kurz","related","word","word",0.292726056302697
"umarmung","kuss","related","word","word",0.525263974730753
"lachen","lächeln","related","word","word",0.310324587530894
"absurd","lächerlich","related","word","word",0.596869572775201
"krise","lage","related","word","word",0.326562907702854
"dorf","lager","related","word","word",0.451649536419784
"kerze","lampe","related","word","word",0.582448432998254
"fliegen","land","related","word","word",0.101036791541903
"nation","land","related","word","word",0.399851818637925
"flug","landung","related","word","word",0.473068564843413
"schnell","langsam","related","word","word",0.488670188604303
"klang","lärm","related","word","word",0.177309664215452
"spaghetti","lasagne","related","word","word",0.532219579514916
"spaziergang","lauf","related","word","word",0.217476763160422
"überleben","lebend","related","word","word",0.321961455311611
"mahlzeit","lebensmittel","related","word","word",0.295790825320369
"voll","leer","related","word","word",0.419598862128962
"heer","legion","related","word","word",0.405086011122484
"schmerzen","leiden","related","word","word",0.372379414597407
"sterben","leiden","related","word","word",0.528113537238384
"schweigen","leise","related","word","word",0.227446426119528
"unterrichten","lernen","related","word","word",0.439094824374587
"fröhlich","lesben","related","word","word",0.134643551639856
"schreiben","lesen","related","word","word",0.6516412414606
"schreiben","lesen","related","word","word",0.6516412414606
"mannschaft","liga","related","word","word",0.447960524833507
"limonade","limonade","related","word","word",1
"wange","lippe","related","word","word",0.62611050918947
"parfüm","lippenstift","related","word","word",0.493970283011862
"gabel","löffel","related","word","word",0.563894848389752
"ehrlichkeit","loyalität","related","word","word",0.628798990602869
"sauerstoff","luft","related","word","word",0.459066869208559
"lügner","lüge","related","word","word",0.429223563859871
"tun","machen","related","word","word",0.417963490859831
"junge","mädchen","related","word","word",0.485316230393409
"kartell","mafia","related","word","word",0.465475435783518
"truhe","magen","related","word","word",0.223058617307544
"magier","magie","related","word","word",0.564873081207384
"elektrisch","magnetisch","related","word","word",0.527817063312916
"hoheit","majestät","related","word","word",0.71646778820481
"zeichnen","malen","related","word","word",0.59601866752823
"boss","manager","related","word","word",0.503935035492479
"häufig","manchmal","related","word","word",0.442030978693763
"mensch","mann","related","word","word",0.439162949358839
"weiblich","männlich","related","word","word",0.758499503571724
"rennen","marathon-","related","word","word",NA
"marine","marine","related","word","word",1
"flotte","marine-","related","word","word",NA
"produkt","marke","related","word","word",0.235007289590206
"venus","mars","related","word","word",0.492623325398007
"ratte","maus","related","word","word",0.498785044943165
"psychologisch","medizinisch","related","word","word",0.49625656734984
"ozean","meer","related","word","word",0.697054379057012
"abstimmung","mehrheitlich","related","word","word",0.418005125436651
"zentimeter","meile","related","word","word",0.409801408923385
"einstellung","meinung","related","word","word",0.433269200201871
"publikum","menge","related","word","word",0.33910184501673
"qualität","menge","related","word","word",0.262391535031603
"angemessen","messe","related","word","word",0.163287213547268
"technik","methode","related","word","word",0.498065210364225
"mieten","mieten","related","word","word",1
"vermieter","mieter","related","word","word",0.693413646023049
"saft","milch","related","word","word",0.492797107021142
"milliarde","million","related","word","word",0.665517944518248
"unternehmer","millionär","related","word","word",0.329261673819849
"maximal","minimum","related","word","word",0.459577960663227
"ling","mischung","related","word","word",0.105871800919252
"erbärmlich","miserabel","related","word","word",0.400459868253452
"großzügig","mitfühlend","related","word","word",0.473758484135827
"führer","mitglied","related","word","word",0.291124628257227
"mittag","mitternacht","related","word","word",0.450666067004287
"prototyp","modell","related","word","word",0.35546409995427
"traditionell","modern","related","word","word",0.410046158529563
"elegant","modisch","related","word","word",0.489930832063448
"woche","monat","related","word","word",0.711878830525956
"priester","mönch","related","word","word",0.584727284423691
"sonne","mond","related","word","word",0.574491257911137
"solar-","mond-","related","word","word",NA
"kreatur","monster-","related","word","word",NA
"dienstag","montag","related","word","word",0.741475024366536
"statue","monument","related","word","word",0.429234787541487
"mörder","mörder","related","word","word",1
"morgen","morgen","related","word","word",1
"alibi","motiv","related","word","word",0.496234833436684
"hungrig","müde","related","word","word",0.640538915844636
"müll","müll","related","word","word",1
"nase","mund","related","word","word",0.436657434105137
"festlegung","mut","related","word","word",0.12439901411673
"vater","mutter","related","word","word",0.650641199047394
"legende","mythos","related","word","word",0.52454036674096
"abend","nacht","related","word","word",0.447642287543781
"kuchen","nachtisch","related","word","word",0.627096087514284
"nackt","nackt","related","word","word",1
"spritze","nadel","related","word","word",0.528865899577303
"zahn","nagel","related","word","word",0.346817764198096
"dumm","naiv","related","word","word",0.61216158070956
"zynisch","naiv","related","word","word",0.503586838948883
"titel","name","related","word","word",0.334620048326263
"global","national","related","word","word",0.368105347817861
"allgemein","natürlich","related","word","word",0.264444595155112
"künstlich","natürlich","related","word","word",0.19295724529428
"kommunikation","navigation","related","word","word",0.48281857276373
"wütend","neidisch","related","word","word",0.499873025358393
