"de_cue","de_target","de_fake_target","de_fake_cue","en_cue","en_target"
"aufmerksamkeit","anziehen","anfallhen","auftragssamkeit","attention","attract"
"aufregend","interessant","intereskleid","aufrecher","exciting","interesting"
"auge","ohr","mur","ßerge","eye","ear"
"aus","über","läer","rns","out","about"
"ausfahrt","eingang","einhaft","senfahrt","exit","entrance"
"ausgezeichnet","großartig","festartig","ausgefühlsnet","excellent","great"
"ausrüstung","ausrüstend","ausrüslauf","ausrüskeit","equipment","equip"
"außen","innerhalb","innerstoß","autig","outside","inside"
"außergewöhnlich","bemerkenswert","bemermarktwert","außergemenschlich","exceptional","remarkable"
"äußerst","sehr","selb","äuheiss","extremely","very"
"auswahl","möglichkeit","möglichrung","ausrohr","choice","option"
"autogramm","fotograf","fototech","autobruch","autograph","photographer"
"autopsie","analyse","scholyse","autoppeln","autopsy","analysis"
"autor","schauspieler","schauhändler","augus","author","actor"
"baby","kind","kiza","bagie","baby","child"
"balance","harmonie","harmoters","basource","balance","harmony"
"banane","erdbeere","schobeere","banalist","banana","strawberry"
"banken","finanziell","finanzilicht","kokken","banking","financial"
"banker","investor","inproctor","derker","banker","investor"
"bär","wolf","wobu","gér","bear","wolf"
"baron","gräfin","rüsfin","batis","baron","countess"
"base","hauptquartier","hauptquarbung","einse","base","headquarters"
"basketball","football","footgeld","basketlern","basketball","football"
"bauer","arbeiter","arrichter","rieer","farmer","worker"
"becher","kaffee","kafbon","bestim","cup","coffee"
"bedeutung","bedeutung","bedeukeit","bedeukeit","meaning","importance"
"bedienung","wartung","distung","bediebold","service","maintenance"
"beeindruckend","tolle","früle","beeindruwurst","impressive","amazing"
"beeinflussen","wirkung","folkung","beeinschlasen","influence","effect"
"befehl","befehl","befang","bescha","command","order"
"befriedigt","glücklich","stocklich","beständigt","satisfied","happy"
"begeisterung","hingabe","nakagabe","bescherterung","enthusiasm","passion"
"begleiten","begleiten","bekehrten","befahrten","escort","accompany"
"belastung","ladung","lamann","belassard","load","cargo"
"beleidigung","beleidigen","beschäfdigen","beleidischen","insult","offend"
"beliebt","berühmt","bewärmt","bediens","popular","famous"
"bereich","zone","krine","beplatz","area","zone"
"bereit","bereiten","betigsten","bezeln","ready","prepare"
"bereits","still","staml","bedrein","already","still"
"berühmtheit","stern","staun","begleitheit","celebrity","star"
"besatzung","schiff","schina","besattelt","crew","ship"
"bescheiden","bescheiden","bezirksden","bezirksden","humble","modest"
"beschreiben","ausdrücken","ausdrürung","betriebsben","describe","express"
"beschützen","verteidigen","verschuldigen","bekommtzen","protect","defend"
"beschwerde","anklage","anüberge","benachtsde","complaint","accusation"
"beseitigen","löschen","löchert","bekommttigen","eliminate","remove"
"besondere","einzigartig","einzigartigkeitscreme","bezirksdere","special","unique"
"besorgt","nervös","nerzui","behardt","worried","nervous"
"bestätigung","bestätigen sie","bestätigenwühlst","bestätisches","confirmation","confirm"
"bestechung","bestechung","bestewards","bestepford","bribe","blackmail"
"bestrafen","festnahme","lungnahme","bedienfen","punish","arrest"
"beton","stahl","stinl","bewäs","concrete","steel"
"betonen","depression","deckungsion","betokoll","stress","depression"
"betrachtung","spiegel","stangel","bemaleitung","reflection","mirror"
"betreten","gehen","gekom","begabtten","enter","go"
"betriebsbereit","funktional","hiertional","beschießbereit","operational","functional"
"beute","raubtier","leibtier","ökote","prey","predator"
"bewachen","patrouillieren","panachtslieren","bewaring","guard","patrol"
"bewahren","pflegen","rollgen","bestänren","preserve","maintain"
"bewegung","transfer","spielfer","bewetest","move","transfer"
"beweis","nachweisen","hensweisen","befert","evidence","proof"
"bewundern","schätzen","achilzen","bewunsche","admire","appreciate"
"beziehung","freundschaft","sprengschaft","beziefeld","relationship","friendship"
"bezirk","bezirk","belenk","belitz","county","district"
"bibel","buchen","buquer","bizar","bible","book"
"biene","ameise","akrose","munne","bee","ant"
"bild","foto","heito","teld","picture","photo"
"bilden","schild","schiau","fenden","form","sign"
"bildschirm","monitor","monicken","mondschirm","screen","monitor"
"binden","binden","netden","netden","bind","tie"
"bischof","kardinal","kardimung","biacher","bishop","cardinal"
"bleibe","bleiben übrig","bleiben üloads","kriebe","stay","remain"
"blind","taub","tazz","maind","blind","deaf"
"blitz","donner","oriner","blosz","lightning","thunder"
"blut","urin","urah","yout","blood","urine"
"boden","teppich","tepphan","botie","floor","carpet"
"bombe","explosiv","explobrot","desbe","bomb","explosive"
"bonus","belohnen","betrefnen","boort","bonus","reward"
"böse","schmutzig","schwimzig","gotse","nasty","filthy"
"botschaft","ministerium","ministeriumschleicht","vioschaft","embassy","ministry"
"botschafter","minister","mitochter","botfürchter","ambassador","minister"
"braun","blau","blxe","brpen","brown","blue"
"bräutigam","braut","brrnt","maultigam","groom","bride"
"bravo","alpha","allek","danvo","bravo","alpha"
"briefmarke","unterschrift","untererzählt","abendmarke","stamp","signature"
"brille","deckel","dezeln","treule","glasses","cap"
"bringen","schicken","herrcken","träugen","bring","send"
"brot","käse","stise","brhs","bread","cheese"
"brücke","tunnel","erbnel","wolcke","bridge","tunnel"
"brutal","grausam","grautos","türtal","brutal","cruel"
"bücherei","museum","museumschleicht","bügelnrei","library","museum"
"buchstäblich","praktisch","kristisch","buchhändlich","literally","practically"
"bucht","hafen","hashi","imcht","bay","harbor"
"budget","finanzierung","finanziescher","budauf","budget","funding"
"bürgerlich","militär-","milinigt","bürgerspit","civil","military"
"busch","baum","kuum","burlh","bush","tree"
"caesar","rom","imm","zumsar","caesar","rome"
"champion","kämpfer","kletfer","kochpion","champion","fighter"
"chance","wahrscheinlichkeit","wahrfreundlichkeit","blince","chance","possibility"
"chaos","verwechslung","verfrachlung","notos","chaos","confusion"
"charakter","persönlichkeit","persönlichscher","chaflüster","character","personality"
"charme","schönheit","sehrtheit","chtime","charm","beauty"
"chemie","biologie","frühlogie","chenas","chemistry","biology"
"chemisch","biologisch","biolockeln","einmisch","chemical","biological"
"chip","gerät","gelem","chrf","chip","device"
"clan","familie","famigung","maan","clan","family"
"clever","intelligent","intellischem","senver","smart","intelligent"
"coachen","spieler","stanler","lähchen","coach","player"
"code","passwort","ortswort","zude","code","password"
"dankbar","danken","symken","maulbar","grateful","thank"
"das schicksal","bestimmung","benachmung","das schicpont","fate","destiny"
"datei","dokumentieren","dokumenschanzren","dafon","file","document"
"daten","information","instinktmation","dazwi","data","information"
"dean","professor","profesdent","roran","dean","professor"
"decke","handtuch","handscha","derin","blanket","towel"
"der chirurg","arzt","otzt","der chively","surgeon","doctor"
"deutlich","offensichtlich","offendringlich","dorflich","clearly","obviously"
"diamant","juwel","juchu","diasars","diamond","jewel"
"dichter","schriftsteller","schwarzsteller","ideater","poet","writer"
"die gesellschaft","gemeinschaft","gewaltschaft","die geselschlupf","society","community"
"die gesundheit","ausbildung","ausbillard","die gesunlongs","health","education"
"die pension","gehalt","gesand","die pensterre","pension","salary"
"die seide","baumwolle","trotwolle","die sehard","silk","cotton"
"dieb","kriminell","krimichon","goeb","thief","criminal"
"diebstahl","raub","raoo","sichstahl","theft","robbery"
"diplom","absolvent","absolrald","dichok","diploma","graduate"
"direkte","direkt","dihemd","diklagte","direct","directly"
"distanz","geschwindigkeit","gekriegtdigkeit","diskauf","distance","speed"
"dna","fingerabdruck","fingerabschem","péa","dna","fingerprint"
"doppelt","verdreifachen","verkauftfachen","dopsein","double","triple"
"dosis","injektion","instandtion","dober","dose","injection"
"drachen","löwe","matwe","fußchen","dragon","lion"
"dramatisch","romantisch","romannings","dramachung","dramatic","romantic"
"dreck","sand","sads","aleck","mud","sand"
"dreckig","widerlich","widermann","vulckig","dirty","disgusting"
"dringend","notfall","wilfall","prakgend","urgent","emergency"
"dritter","vierte","krante","göttter","third","fourth"
"drücken","ziehen","säuhen","mahcken","push","pull"
"dschungel","wald","wamm","schultgel","jungle","forest"
"dufusting","hässlich","günslich","denksting","digusting","ugly"
"dunkelheit","hell","heuc","dunkellogg","darkness","light"
"dünn","dick","dite","fönn","thin","thick"
"durchfall","brechreiz","brookreiz","durchwühl","diarrhea","nausea"
"dusche","bad","νid","duples","shower","bathroom"
"dvd","video","vitry","rnd","dvd","video"
"dynastie","reich","refeh","dymountie","dynasty","empire"
"e-mail","fax","oux","emdel","mail","fax"
"ecke","gasse","zeise","hüke","corner","alley"
"edel","tapfer","crofer","büel","noble","brave"
"ehemann","ehefrau","ehesaal","gutmann","husband","wife"
"eichhörnchen","waschbär","waschwan","barmhörnchen","squirrel","raccoon"
"eigentlich","ja wirklich","ja wirknauf","eifräulich","actually","really"
"eigentum","eigentümer","eikaufstümer","eigensüch","property","owner"
"ein","drei","drbt","orn","one","three"
"eindruck","gefühl","gekehr","einkampf","impression","feeling"
"einfach","einfach","einfühl","einfühl","simply","simple"
"einfügung","setzen","evezen","einfümier","insert","put"
"einheit","einteilung","einteiisch","eingung","unit","division"
"einkaufen","laden","lator","eingingfen","shop","store"
"einzel","verheiratet","versuchsratet","einsha","single","married"
"eisen","metall","metris","eidig","iron","metal"
"empfindlich","empfidlich","werfidlich","empheimlich","delicate","sensitive"
"ende","ziel","tuel","akade","end","finish"
"endlich","letztlich","meistlich","gerlich","finally","eventually"
"energie","energie","enerraum","enerraum","power","energy"
"engagement","hochzeit","hochschu","engagespiel","engagement","wedding"
"englisch","französisch","nordzösisch","buslisch","english","french"
"enkel","neffe","liofe","enrat","grandson","nephew"
"entführen","entführen","entwickren","entwickren","kidnap","abduct"
"entführer","geisel","türsel","entwickrer","kidnapper","ransom"
"enthalten","inhalt","insitz","entsetzten","contain","content"
"erbe","erben","erläu","aufbe","heritage","inherit"
"erdbeben","explosion","exstression","erdbenutz","earthquake","explosion"
"erfahrung","wissen","melsen","erfahkeit","experience","knowledge"
"erfolg","versagen","langsagen","ergons","success","failure"
"ergebnis","ergebnis","erklärnis","erstatnis","result","outcome"
"erkenne","wusste","lieste","ersatzne","recognize","knew"
"erlaubnis","die genehmigung","die genehmsachst","erfolgnis","permission","approval"
"erläuterung","plausibel","zwiesibel","erläuteletts","explanation","plausible"
"ermöglichen","lassen","keisen","ermöglivings","allow","let"
"error","fehler","araler","ernix","error","mistake"
"ersetzen","ersatz","erheim","erhoffzen","replace","substitute"
"erste","zuletzt","zubeamt","tente","first","last"
"ertrinken","schwimmen","schmutmen","erhältken","drown","swim"
"erwachsene","elternteil","elhaarteil","erfolgssene","adult","parent"
"erwägen","überlegen","trollegen","erwäsche","consider","think"
"esel","pferd","pfuld","esco","donkey","horse"
"evolution","mutation","mulierttion","spritlution","evolution","mutation"
"ewig","für immer","für imaud","ewac","eternal","forever"
"experiment","prüfung","rolfung","experichard","experiment","test"
"experte","spezialist","speziavers","exfasste","expert","specialist"
"extra","zusätzlich","zutreflich","exdas","extra","additional"
"fabrik","produktion","programmtion","faphie","factory","production"
"fahrkarte","reisepass","reisehoch","traukarte","ticket","passport"
"fahrt","fahrt","falst","facet","drive","ride"
"fahrzeug","wagen","wacke","fahrmeln","vehicle","car"
"faktor","element","brüment","settor","factor","element"
"falsch","korrekt","korseys","faroch","wrong","correct"
"fangen","köder","körin","thegen","trap","bait"
"fazit","annahme","antreime","fasüß","conclusion","assumption"
"feind","gegner","tioner","ferod","enemy","opponent"
"felsen","stein","hlein","jussen","rock","stone"
"fenster","tür","avr","wandter","window","door"
"fernrohr","mikroskop","mikrobier","ferngier","telescope","microscope"
"fest","stark","geark","igst","firmly","strongly"
"feste","agentur","aquatur","krete","firm","agency"
"feuer","flamme","plünme","winer","fire","flame"
"finale","ultimativ","ultimahawks","fitrolle","final","ultimate"
"finanzen","investieren","instinktieren","fitrotzen","finance","invest"
"finanziell","finanzierung","finanziescher","finanzilicht","financially","financing"
"finger","daumen","sormen","plager","finger","thumb"
"fix","reparatur","repararicht","rax","fix","repair"
"flagge","symbol","symhit","clouge","flag","symbol"
"fliehen","flucht","flucdi","schehen","flee","escape"
"fluch","hexe","hedio","fliph","curse","witch"
"flüchtling","flüchtling","kirschling","tauschling","refugee","fugitive"
"fluss","see","bbe","flcas","river","lake"
"flüssigkeit","flüssigkeit","mondsigkeit","testsigkeit","liquid","fluid"
"föderal","zustand","zutiert","födemenz","federal","state"
"fokus","konzentrieren","konzenfischren","foral","focus","concentrate"
"folgen","jagen","jamai","mutgen","follow","chase"
"forschung","lernen","jacnen","staschung","research","study"
"frage","fragen","bosgen","mayge","question","ask"
"fragment","stück","stetk","plaument","fragment","piece"
"frei","kostenlos","koshaltlos","frzo","freely","free"
"freiheit","demokratie","demokraführt","freigung","freedom","democracy"
"freiwillige","freiwillig","benswillig","hauptwillige","volunteer","voluntarily"
"frequenz","signal","sisant","pauquenz","frequency","signal"
"frisch","aktualisierung","aktualisieschaft","frrich","fresh","refresh"
"frosch","eidechse","eimousse","frruch","frog","lizard"
"frühling","herbst","headst","kranling","spring","autumn"
"fuchs","hase","derse","fulls","fox","rabbit"
"füttern","essen","eskor","exotern","feed","eat"
"galerie","ausstellung","ausweislung","galegung","gallery","exhibition"
"gang","gruppe","golfpe","gata","gang","group"
"gans","ente","hyste","gadi","goose","duck"
"garantie","versprechen","vernichchen","garansatz","guarantee","promise"
"gas","kraftstoff","kraftstadt","rps","gas","fuel"
"gastfreundschaft","dankbarkeit","afribarkeit","chrofreundschaft","hospitality","gratitude"
"geburt","schwangerschaft","zwangsgerschaft","gelast","birth","pregnancy"
"geduld","mitgefühl","mitgenier","gefood","patience","compassion"
"geduldig","klient","delent","gesteudig","patient","client"
"gefälscht","falsch","faeach","gebauscht","fake","FALSE"
"gegenmittel","impfung","rhafung","gegenbrauetel","antidote","vaccine"
"gegenstand","partikel","bluttikel","gegenschüt","matter","particle"
"gegenteil","gegenteil","gegenbock","gegenbiss","opposite","contrary"
"gegenwart","abwesenheit","abwesenschaf","gegentich","presence","absence"
"geheimnis","geheimnis","gelaubnis","gelaubnis","secret","mystery"
"gehirn","zerebral","zerebort","gelard","brain","cerebral"
"geisel","häftling","pritling","türsel","hostage","prisoner"
"gelegentlich","selten","blaten","geleflächlich","occasionally","rarely"
"gemütlich","angenehm","angedank","gemüttern","comfortable","pleasant"
"generator","reaktor","reakches","generaschen","generator","reactor"
"genius","wissenschaftler","wissensprinkler","chronius","genius","scientist"
"genügend","reicht aus","reichtshas","genütigt","enough","sufficient"
"gerade","vor kurzem","vor kubrat","gelegtde","just","recently"
"gericht","richter","zielter","geschla","court","judge"
"gesamt","komplett","komplaus","gewegt","total","complete"
"geschehen","passieren","übersieren","gejagthen","occur","happen"
"geschmack","geruch","gereiz","gespringt","taste","smell"
"gesellschaft","konzern","konpier","gebietschaft","company","corporation"
"gesetz","verfassung","verfasdest","geless","law","constitution"
"gesperrt","geschlossen","gekriegtsen","getriert","locked","closed"
"gespräch","diskussion","distreffsion","gewitsch","conversation","discussion"
"geste","handlung","festlung","dayte","gesture","act"
"gesund","normal","chimal","gegons","healthy","normal"
"getroffen haben","schlagen","abendgen","getroffen hhoffst","hit","strike"
"gewehr","pistole","mondtole","gesens","rifle","gun"
"gewicht","höhe","deshe","geblatt","weight","height"
"gewinnen","sieg","sirp","gesteinen","gain","win"
"gewöhnliche","üblich","übrigt","gesetztliche","ordinary","usual"
"gift","töten","tönig","raft","poison","kill"
"glas","flasche","kansche","zias","glass","bottle"
"glorreich","herrlichkeit","schilichkeit","flinreich","glorious","glory"
"glücksspiel","poker","ponie","glückssträh","gambling","poker"
"golden","silber-","fußber","märden","golden","silver"
"golf","tennis","bürnis","goau","golf","tennis"
"gott","göttlich","glänlich","gome","god","divine"
"gouverneur","senator","senamens","gouverlikt","governor","senator"
"grab","friedhof","friedran","grßt","grave","cemetery"
"graben","begraben","berückben","bauben","dig","bury"
"gratulieren","grüßen","förßen","skulptulieren","congratulate","greet"
"greifen","fangen","thegen","seitfen","grab","catch"
"grippe","erkrankung","errichkung","dämppe","flu","disease"
"groß","enorm","enesm","gruh","big","huge"
"größe","länge","tagge","kieße","size","length"
"großvater","oma","yea","festvater","grandfather","grandmother"
"grün","orange","sehnge","grgq","green","orange"
"grund","weil","weni","tound","reason","cause"
"grusel","furcht","furcdi","engsel","horror","fear"
"gut","schlecht","schlecdi","ärt","good","bad"
"haar","bart","bata","haso","hair","beard"
"hähnchen","truthahn","croshahn","fuhrchen","chicken","turkey"
"hai","fisch","fileh","aui","shark","fish"
"hälfte","quartal","biertal","tallte","half","quarter"
"hallo","tschüss","tschtus","bunlo","hello","bye"
"halten","behalten","besitzten","menten","hold","keep"
"hand","arm","imm","hago","hand","arm"
"hängend","hinrichtung","hinderntung","wetgend","hanging","execution"
"hartnäckig","egoistisch","egoislands","treunäckig","stubborn","selfish"
"hassen","liebe","vorbe","rousen","hate","love"
"hauptstadt","stadt","stoft","hauptstras","capital","city"
"haus","wohnung","lännung","auus","house","apartment"
"haut","gewebe","gewebeherrschst","auut","skin","tissue"
"heiß","kalt","kams","hele","hot","cold"
"held","retter","koster","hett","hero","savior"
"helm","hut","äst","heaz","helmet","hat"
"herbst","zusammenbruch","zusammensträu","hemast","fall","collapse"
"herr","dame","kosme","hesk","lord","lady"
"herrin","liebhaber","wohlhaber","ckerin","mistress","lover"
"heute","gestern","bobtern","maste","today","yesterday"
"hier","dort","doza","puer","here","there"
"hilfe","helfen","wanfen","rusfe","help","assist"
"hilflos","machtlos","waschlos","hacklos","helpless","powerless"
"himmel","paradiesisch","paradiedreht","fahmel","sky","heavenly"
"hindernis","herausforderung","herausfordebleich","hinderschö","obstacle","challenge"
"hobby","sport","sprmt","papby","hobby","sport"
"hochschule","universität","schütversität","hochzeitle","college","university"
"hoffen","glaube","chapbe","gunfen","hope","faith"
"höflich","freundlich","sprenglich","wohlich","polite","friendly"
"honig","butter","meeter","hoves","honey","butter"
"hören","gerichtsverhandlung","gestelltverhandlung","höche","hearing","trial"
"hören","hören","höche","höche","listen","hear"
"hormon","adrenalin","adrenalincolnshire","blumon","hormone","adrenaline"
"horn","pfeife","siegfe","hoad","horn","whistle"
"hotel","motel","molie","holos","hotel","motel"
"hübsch","schön","scunn","ecbsch","pretty","beautiful"
"hügel","berg","betö","hütin","hill","mountain"
"hund","katze","fesze","huds","dog","cat"
"hunger","durst","carst","masger","hunger","thirst"
"hurrikan","tornado","pappnado","flamrikan","hurricane","tornado"
"husten","fieber","bolber","ohrten","cough","fever"
"ideal","perfekt","perblut","moial","ideal","perfect"
"idee","theorie","atemrie","xiee","idea","theory"
"ignoranz","arroganz","arrodoon","ignoscan","ignorance","arrogance"
"illegal","gesetzlich","gelässlich","illebend","illegal","legal"
"illusion","halluzination","fleischluzination","ilstression","illusion","hallucination"
"immer","ständig","sitzdig","impul","always","constantly"
"impuls","druck","drark","imvois","pulse","pressure"
"in der nähe von","weit","wede","in der näspekts","near","far"
"industrie","unternehmen","untergrundmen","indusholz","industry","business"
"innen","external","exterklop","indus","internal","external"
"inspektor","kommissar","kommisweis","inmelstor","inspector","commissioner"
"inspirieren","inspiration","inleuchtration","inrungsrieren","inspire","inspiration"
"instinkt","intuition","inhaltstion","instreut","instinct","intuition"
"international","welt","wego","internatioschung","international","world"
"internet","netz","ontz","interling","internet","web"
"invasion","attacke","attagung","instression","invasion","attack"
"ironie","ironisch","vasnisch","etanie","irony","ironic"
"jagd","angeln","anbrin","japo","hunting","fishing"
"jahrhundert","dekade","demonsde","vielhundert","century","decade"
"jazz","musik","murem","janu","jazz","music"
"jeep","lkw","eow","jeru","jeep","truck"
"jetzt","wissen","melsen","hützt","now","know"
"journalismus","politik","polimern","schwänalismus","journalism","politics"
"jubiläum","geburtstag","gelingstag","jubiläumschleicht","anniversary","birthday"
"jugend","kindheit","denkheit","judeln","youth","childhood"
"jungs","mädchen","wehchen","julls","boys","girls"
"juni","juli","billi","tanni","june","july"
"kabel","kabel","kanie","kanie","cable","wire"
"kabine","deck","depo","gläubine","cabin","deck"
"kabinett","wandschrank","weisschrank","kabilanz","cabinet","closet"
"kaiserliche","kaiser","choser","arschserliche","imperial","emperor"
"kalender","zeitplan","nessplan","kaputtder","calendar","schedule"
"kaliber","patrone","paspinne","kaligung","caliber","bullet"
"kamera","mikrofon","michiffon","kamelung","camera","microphone"
"kampagne","wahl","watc","gruppagne","campaign","election"
"kampf","kampf","kalaf","kannf","combat","fight"
"kanal","nachrichten","nachlassten","kaves","channel","news"
"kandidat","wähler","jenler","kandickig","candidate","voter"
"kanzler","präsident","präsifuhr","sackler","chancellor","president"
"kapazität","fähigkeit","fähigstel","kapazischen","capacity","ability"
"kapsel","sonde","parde","exesel","capsule","probe"
"karneval","festival","festimund","karnechef","carnival","festival"
"karosserie","leiche","warche","kanichtserie","body","corpse"
"kartoffel","tomate","torichte","kartofhaft","potato","tomato"
"kasse","geld","gerö","retse","cash","money"
"kasten","tasche","tastro","theten","box","bag"
"katholisch","christian","schwetian","kathomiert","catholic","christian"
"kaufen","verkaufen","versöhnfen","rolfen","buy","sell"
"kavallerie","artillerie","arschenlerie","kalischlerie","cavalry","artillery"
"kehle","nacken","naechs","paole","throat","neck"
"kellner","kellnerin","trennerin","chalner","waiter","waitress"
"ketchup","mayonnaise","mathersnaise","klickup","ketchup","mayonnaise"
"kette","seil","quil","hühte","chain","rope"
"kilo","gramm","grinm","tholo","kilo","gram"
"kilometer","meter","melan","kilometernachtssnack","kilometer","meter"
"kino","theater","everter","kidet","cinema","theater"
"kirche","kapelle","kamittle","gelche","church","chapel"
"klasse","schule","spitle","stanse","class","school"
"klavier","gitarre","gickiere","klarohr","piano","guitar"
"kleine","klein","klinn","weinne","little","small"
"klingeln","ding","dimi","platgeln","ping","ding"
"knoblauch","zwiebel","shinbel","koiolauch","garlic","onion"
"knochen","schädel","fliedel","grechen","bone","skull"
"koch","koch","komo","itch","cook","chef"
"kohle","öl","tä","radle","coal","oil"
"kohlenstoff","wasserstoff","wasserviert","kohlenspiel","carbon","hydrogen"
"kokain","heroin","heckenin","koherzin","cocaine","heroin"
"kollege","freundin","freunell","geislege","colleague","friend"
"kolonie","föderation","schaltderation","kolosung","colony","federation"
"kombination","mischung","mischiff","schlaubination","combination","mixture"
"kommandant","kapitän","kapidras","kommannuss","commander","captain"
"kommentar","aussage","seltsage","kommenshow","comment","statement"
"kommerziell","händler","münzler","kommerzilicht","commercial","merchant"
"kommission","ausschuss","ausschäft","komplottsion","commission","committee"
"kompass","karte","drote","komwart","compass","map"
"kompliment","geschenk","geschnit","komplinier","compliment","gift"
"konferenz","meeting","amating","konfevier","conference","meeting"
"konflikt","disput","disxin","konbeißt","conflict","dispute"
"königin","könig","kötos","könizeug","queen","king"
"königlich","königreich","königplatz","königtopf","royal","kingdom"
"konservativ","liberale","rungsberale","durchservativ","conservative","liberal"
"konstruktion","bauen","rieen","kongresstion","construction","build"
"kontakt","verbindung","verbingley","koniert","contact","connection"
"kontamination","strahlung","kraftlung","schmerztamination","contamination","radiation"
"kontrolle","manipulieren","manipuschnurren","konüberle","control","manipulate"
"konzept","definition","deschleunition","konseys","concept","definition"
"korn","mehl","mese","kovi","grain","flour"
"krank","krank","krisk","niank","ill","sick"
"krankenhaus","klinik","dopnik","tierkenhaus","hospital","clinic"
"krankenwagen","hubschrauber","hubmacgruber","scheikenwagen","ambulance","helicopter"
"kratzen","prellung","ärmslung","ariszen","scratch","bruise"
"kredit","darlehen","rücklehen","krehaw","credit","loan"
"kreis","dreieck","dreiaki","krums","circle","triangle"
"krieg","schlacht","schlacdi","hlieg","war","battle"
"kritisch","politisch","polischem","zautisch","critical","political"
"krone","thron","paron","zahne","crown","throne"
"kuh","schwein","schwann","lsh","cow","pig"
"kultur","zivilisation","zischrecklisation","mietur","culture","civilization"
"kumpel","bruder","geider","beapel","dude","bro"
"kunst","literatur","literaricht","kusht","art","literature"
"künstler","maler","matik","zweitler","artist","painter"
"kurz","lang","lari","kuum","short","long"
"kuss","umarmung","umargyle","kuta","kiss","hug"
"lächeln","lachen","lackie","läfisch","smile","laugh"
"lächerlich","absurd","abselm","läzärtlich","ridiculous","absurd"
"lage","krise","musse","wegge","situation","crisis"
"lager","dorf","dova","ladun","camp","village"
"lampe","kerze","rosze","aripe","lamp","candle"
"land","fliegen","schägen","lapa","land","fly"
"land","nation","idention","lapa","country","nation"
"landung","flug","flee","disdung","landing","flight"
"langsam","schnell","schnürl","langtos","slowly","quickly"
"lärm","klang","klopg","lähu","noise","sound"
"lasagne","spaghetti","spaeinsti","lasadeck","lasagna","spaghetti"
