"cs_target","cs_cue","type","target_type","cue_type","cs_cosine"
"svět","mezinárodní","related","word","word",0.156776337309998
"máslo","miláček","related","word","word",0.20467849220231
"centimetr","míle","related","word","word",0.388007653090435
"miliarda","milión","related","word","word",0.610976681313494
"podnikatel","milionář","related","word","word",0.558074838322991
"uvnitř","mimo","related","word","word",0.226712799569449
"ling","ming","related","word","word",0.612493896683402
"maximum","minimální","related","word","word",0.358690598187828
"talíř","miska","related","word","word",0.392807398955257
"umístění","místo","related","word","word",0.399520341798648
"bojovník","mistr","related","word","word",0.425951241107277
"dětství","mládí","related","word","word",0.592978507087766
"džus","mléko","related","word","word",0.53243834532066
"kázání","mluvený projev","related","word","word",NA
"mluvit","mluvit","related","word","word",1
"kněz","mnich","related","word","word",0.613836579329179
"kvalitní","množství","related","word","word",0.239604169900201
"prototyp","modelka","related","word","word",0.175692616310078
"tradiční","moderní","related","word","word",0.515125748498621
"elegantní","módní","related","word","word",0.447116246229936
"epidemický","mor","related","word","word",0.376944620522406
"oceán","moře","related","word","word",0.640761207005827
"námořnický","mořský","related","word","word",0.446284199123169
"tunel","most","related","word","word",0.495679586126662
"alibi","motiv","related","word","word",0.489682883241335
"pták","motýl","related","word","word",0.577369787801206
"intelektuální","mozek","related","word","word",0.303170574089419
"pravděpodobně","možná","related","word","word",0.498078235062833
"mlha","mrak","related","word","word",0.472992446007236
"člověk","muž","related","word","word",0.65656210876251
"ženský","mužský","related","word","word",0.669983514025839
"krysa","myš","related","word","word",0.552807984401086
"legenda","mýtus","related","word","word",0.461041173355156
"dát","nabídka","related","word","word",0.181941431941746
"víra","naděje","related","word","word",0.385585794937885
"rakovina","nádor","related","word","word",0.616007694730675
"paranormální","nadpřirozený","related","word","word",0.588782472940074
"motor","nádrž","related","word","word",0.418025901035855
"vášeň","nadšení","related","word","word",0.45338812648601
"záměrně","náhodou","related","word","word",0.260593450222675
"náhradní","nahradit","related","word","word",0.269358649890013
"cynický","naivní","related","word","word",0.522779848824678
"hloupý","naivní","related","word","word",0.564800431039517
"nečekaně","najednou","related","word","word",0.430190984805432
"hostinský","nájemce","related","word","word",0.359865256777465
"flotila","námořní","related","word","word",0.329470606788873
"energie","napájení","related","word","word",0.536128556642992
"pivo","napít se","related","word","word",NA
"opačný","naproti","related","word","word",0.260218398597731
"nástroj","nářadí","related","word","word",0.350460256613016
"globální","národní","related","word","word",0.51896686378583
"těhotenství","narození","related","word","word",0.422312119874533
"honit","následovat","related","word","word",0.333049993693808
"stát se","nastat","related","word","word",NA
"sdělení","navigace","related","word","word",0.17386056300812
"navrhnout","navrhnout","related","word","word",1
"titul","název","related","word","word",0.293891084372909
"mrtvý","naživu","related","word","word",0.448851314841233
"přístup","názor","related","word","word",0.392046933138819
"nebeský","nebe","related","word","word",0.450666854114768
"zub","nehet","related","word","word",0.501442025997774
"někde","někde jinde","related","word","word",NA
"často","někdy","related","word","word",0.439093495720654
"klinika","nemocnice","related","word","word",0.526145527349383
"nemocný","nemocný","related","word","word",1
"snadný","nemožný","related","word","word",0.535255885288788
"milovat","nenávist","related","word","word",0.255597160950388
"podivný","neobvyklý","related","word","word",0.69211460575993
"nepříjemný","nepříjemný","related","word","word",1
"nezodpovědný","nepřiměřeně","related","word","word",0.274887894027687
"oponent","nepřítel","related","word","word",0.35085660081137
"sval","nerv","related","word","word",0.574202571652981
"neschopný","neschopnost","related","word","word",0.554356613090662
"neštěstí","nešťastný","related","word","word",0.391354863090538
"špinavý","nešťastný","related","word","word",0.342706352738793
"stvoření","netvor","related","word","word",0.370767747517017
"vinenský","nevinný","related","word","word",NA
"potřeba","nezbytný","related","word","word",0.457460268880376
"arogance","neznalost","related","word","word",0.418527240795066
"něco","nic","related","word","word",0.504960832820266
"vůbec","nikdy","related","word","word",0.334348354198997
"samuraj","ninja","related","word","word",0.422696347734044
"vysoký","nízký","related","word","word",0.578462296110376
"večer","noc","related","word","word",0.530422350541248
"sen","noční můra","related","word","word",NA
"obvykle","normálně","related","word","word",0.566885005788827
"cena","nudný","related","word","word",0.105881286870736
"znát","nyní","related","word","word",0.112657913383694
"balík","obálka","related","word","word",0.333851512721416
"zřídka","občas","related","word","word",0.462330540225377
"vážit si","obdivovat","related","word","word",NA
"útočník","oběť","related","word","word",0.366301431260411
"mouka","obilí","related","word","word",0.358115975737216
"předmět","objekt","related","word","word",0.597341485842536
"slavný","oblíbený","related","word","word",0.505328241658273
"fotografie","obrázek","related","word","word",0.52970913020586
"monitor","obrazovka","related","word","word",0.45692954054515
"obsah","obsahovat","related","word","word",0.519084765375527
"obvyklý","obyčejný","related","word","word",0.461173384688024
"opustit","odejít","related","word","word",0.600802692048129
"přijmout","odmítnout","related","word","word",0.606729003649112
"strávit","odpad","related","word","word",0.162978166102108
"odpadky","odpadky","related","word","word",1
"odolat","odpor","related","word","word",0.277570758979277
"odpověď","odpovědět","related","word","word",0.609304081950483
"povinnost","odpovědnost","related","word","word",0.502852878064603
"soucit","odpuštění","related","word","word",0.429726669899328
"výmluva","odpustit","related","word","word",0.20744965030334
"zrcadlo","odraz","related","word","word",0.474606276239618
"odstranit","odstranit","related","word","word",1
"odhodlání","odvaha","related","word","word",0.576866000292682
"jednotný","odznak","related","word","word",0.115146873963202
"oficiální","oficiálně","related","word","word",0.673370416439809
"plamen","oheň","related","word","word",0.723987774159779
"dveře","okno","related","word","word",0.628019981585047
"ucho","oko","related","word","word",0.542668556618419
"okres","okres","related","word","word",1
"gorila","opice","related","word","word",0.527119705080282
"opravit","opravit","related","word","word",1
"realistický","optimistický","related","word","word",0.590721325641986
"kapela","orchestr","related","word","word",0.416608269988794
"erekce","orgasmus","related","word","word",0.436405992167391
"kopírovat","originál","related","word","word",0.385215422790194
"loď","osádka","related","word","word",0.478681007599902
"tupý","osel","related","word","word",0.306948146511682
"kůň","osel","related","word","word",0.525285328166174
"individuální","osoba","related","word","word",0.247348974596838
"intimní","osobní","related","word","word",0.492364021710076
"hvězda","osobnost","related","word","word",0.254248589448705
"osud","osud","related","word","word",1
"točit se","otáčet se","related","word","word",NA
"dotázat se","otázka","related","word","word",NA
"uzavření","otevírací","related","word","word",0.393493694015632
"zavřít","otevřeno","related","word","word",0.435416160135231
"služebník","otrok","related","word","word",0.447625990246036
"atlantik","pacifik","related","word","word",0.53390942822977
"hrad","palác","related","word","word",0.597468590182617
"socha","památník","related","word","word",0.394678857729926
"dáma","pán","related","word","word",0.420712107668936
"hračka","panenka","related","word","word",0.507731262557573
"milenec","paní","related","word","word",0.114255720604771
"pero","papír","related","word","word",0.535128384598265
"šílený","paranoidní","related","word","word",0.423319255299801
"senát","parlament","related","word","word",0.548154210921047
"návnada","past","related","word","word",0.467406621692864
"hmyz","pavouk","related","word","word",0.511062403848099
"půvabný","pěkný","related","word","word",0.475360578566642
"kočka","pes","related","word","word",0.55491895181729
"silně","pevně","related","word","word",0.569920750291842
"kempování","piknik","related","word","word",0.430796276406275
"ding","ping","related","word","word",0.561674610877062
"námořník","pirát","related","word","word",0.572512987911831
"zbraň","pistole","related","word","word",0.64512947806871
"analýza","pitva","related","word","word",0.557244209057609
"strategie","plán","related","word","word",0.461390903740572
"obíhat","planeta","related","word","word",0.431423531249068
"časopis","playboy","related","word","word",0.328362494073225
"pobřeží","pláž","related","word","word",0.502920801807152
"zóna","plocha","related","word","word",0.457144544162847
"stanice","plošina","related","word","word",0.372082691810914
"prapor","pluk","related","word","word",0.609178436198395
"mínus","plus","related","word","word",0.593245178915725
"palivo","plyn","related","word","word",0.475450832018383
"zůstat","pobyt","related","word","word",0.309743445728786
"vypočítat","počet","related","word","word",0.266745291949967
"lidé","počet obyvatel","related","word","word",NA
"tušit","pochybovat","related","word","word",0.357763581554285
"očekávat","počkejte","related","word","word",0.149603864362284
"přehánět","podcenění","related","word","word",0.366755259812273
"koberec","podlaha","related","word","word",0.395848403268154
"odlišný","podobný","related","word","word",0.554828104446345
"pomoc","podpěra, podpora","related","word","word",NA
"kolaps","podzim","related","word","word",0.125390079650876
"káva","pohár","related","word","word",0.271363365212489
"perspektivní","pohled","related","word","word",0.337740216009447
"vděčnost","pohostinství","related","word","word",0.445115479085996
"definice","pojem","related","word","word",0.286946167317031
"bohatství","poklad","related","word","word",0.45622164468059
"ložnice","pokoj, místnost","related","word","word",NA
"skromný","pokořit","related","word","word",0.181561789281874
"pokračovat","pokračovat","related","word","word",1
"rozvoj","pokrok","related","word","word",0.434654728366944
"skrýt","pokrýt","related","word","word",0.345841803361564
"salát","polévka","related","word","word",0.439987984915484
"politik","politika","related","word","word",0.527157018211318
"obvod","poloměr","related","word","word",0.448750255355
"čtvrťák","polovina","related","word","word",0.132587039041389
"žvýkat","polykat","related","word","word",0.534067544814782
"rychle","pomalu","related","word","word",0.586003851378654
"rychle","pomalý","related","word","word",0.331778782614618
"pomoc","pomoc","related","word","word",1
"spravedlnost","pomsta","related","word","word",0.432270481663
"úterý","pondělí","related","word","word",0.741960644989788
"loď","ponorka","related","word","word",0.575252779088767
"prach","popel","related","word","word",0.663969773951243
"vyjádřit","popsat","related","word","word",0.506582217739287
"žádost","poptávka","related","word","word",0.242844475796501
"film","porno","related","word","word",0.501590604626909
"brána","portál","related","word","word",0.528712579955919
"pohmoždit","poškrábat","related","word","word",0.506012264934407
"slyšet","poslouchat","related","word","word",0.548058189026052
"fax","pošta","related","word","word",0.361564365321082
"pozice","postavení","related","word","word",0.535610261747724
"talent","potenciál","related","word","word",0.550534965535223
"radost","potěšení","related","word","word",0.590651777420573
"zatknout","potrestat","related","word","word",0.524766220999798
"potvrdit","potvrzení","related","word","word",0.558894085929006
"údolí","poušť","related","word","word",0.437105074835812
"schválení","povolení","related","word","word",0.53246050201551
"brzy","pozdě","related","word","word",0.435408205457736
"negativní","pozitivní","related","word","word",0.77148373494007
"přitahovat","pozornost","related","word","word",0.353516880270161
"hodnocení","pozorování","related","word","word",0.447779899321261
"práce","práce","related","word","word",1
"explodovat","prasknout","related","word","word",0.579445309888239
"pravděpodobně","pravděpodobnost","related","word","word",0.490978212888261
"protokol","pravidlo","related","word","word",0.46982118362557
"žalobce","právník","related","word","word",0.569340457917396
"cvičení","praxe","related","word","word",0.304925493774794
"plný","prázdný","related","word","word",0.542041754005348
"zadní","přední","related","word","word",0.698608703322196
"tvořivost","představivost","related","word","word",0.602628440606196
"výzva","překážka","related","word","word",0.443584717621596
"zklamání","překvapení","related","word","word",0.558309691640175
"rušit","přerušit","related","word","word",0.58733524645034
"příjmení","přezdívka","related","word","word",0.435765466353006
"odchod","příchod","related","word","word",0.581791190137527
"přijít","přijet","related","word","word",0.673138007965663
"objednat","příkaz","related","word","word",0.106420367292275
"přímo","přímo","related","word","word",1
"princ","princezna","related","word","word",0.654517269256231
"poslat","přinést","related","word","word",0.427455768708647
"slanina","přípitek","related","word","word",0.159784780460296
"plánování","příprava","related","word","word",0.472942781332878
"připravit","připravený","related","word","word",0.483318905586074
"přiznej se","připustit","related","word","word",NA
"umělý","přírodní","related","word","word",0.394358332771994
