cs_cue,cs_target,type,cue_type,target_type,cs_cosine
formulář,podepsat,related,word,word,0.592059617529154
kamera,mikrofon,related,word,word,0.465870853429329
fragment,kus,related,word,word,0.386117101846978
frekvence,signál,related,word,word,0.453282603035555
operovat,operace,related,word,word,0.504862214186513
fyzika,matematika,related,word,word,0.674721440730835
galerie,výstava,related,word,word,0.499885893038328
gang,skupina,related,word,word,0.36789665551577
gauč,postel,related,word,word,0.654924981504796
generátor,reaktor,related,word,word,0.653195040893955
génius,vědec,related,word,word,0.461199069459079
gesto,čin,related,word,word,0.390508211480611
golf,tenis,related,word,word,0.667918886701144
guvernér,senátor,related,word,word,0.637241111051646
hazard,poker,related,word,word,0.569443188710662
hedvábí,bavlna,related,word,word,0.490910342154148
helma,čepice,related,word,word,0.467649457220498
hlad,žízeň,related,word,word,0.672232514647867
hlas,přízvuk,related,word,word,0.481313686548836
hlavní město,město,related,word,word,
hlemýžď,želva,related,word,word,0.336818933517427
hlídat,hlídkovat,related,word,word,0.535557565643462
hluk,zvuk,related,word,word,0.683547552831418
hmota,částice,related,word,word,0.613475281493802
hmotnost,výška,related,word,word,0.486437255152237
hnědý,modrý,related,word,word,0.650398386683948
hněv,vztek,related,word,word,0.727245731661678
hnízdo,vejce,related,word,word,0.414398522087312
koníček,sport,related,word,word,0.521543109931961
hodnota,cena,related,word,word,0.629600477956382
horký,studený,related,word,word,0.680459527842154
hormon,adrenalin,related,word,word,0.539678561727302
horní,dolní,related,word,word,0.728332500570989
hospoda,restaurace,related,word,word,0.474702624283803
hotel,motel,related,word,word,0.709224526385309
hotovost,peníze,related,word,word,0.578762707250539
hrát,hra,related,word,word,0.461601999758355
hrdina,zachránce,related,word,word,0.553588926317842
hrdlo,krk,related,word,word,0.594592429471767
hrdost,důstojnost,related,word,word,0.654597822109089
hrdý,vzrušený,related,word,word,0.348925062539251
hřích,zločin,related,word,word,0.617252055017782
hrob,hřbitov,related,word,word,0.584596534870309
děsný,hrozný,related,word,word,0.718031379455498
hrůza,strach,related,word,word,0.397914315757263
hurikán,tornádo,related,word,word,0.591871695869896
husa,kachna,related,word,word,0.554037115124322
přemístit,převést,related,word,word,0.535053423710928
nápad,teorie,related,word,word,0.344508021467125
ideál,perfektní,related,word,word,0.355592693621646
ilegální,legální,related,word,word,0.715408012540965
iluze,halucinace,related,word,word,0.445740234156625
impozantní,úžasný,related,word,word,0.448744708656787
incident,nehoda,related,word,word,0.35326918110557
inspektor,komisař,related,word,word,0.624582514756117
inspirovat,inspirace,related,word,word,0.531034063515616
instinkt,intuice,related,word,word,0.534538293308971
internet,web,related,word,word,0.657374169646199
invaze,útok,related,word,word,0.361035921819982
inženýr,architekt,related,word,word,0.597706038110826
ironie,ironický,related,word,word,0.530431468330278
jablko,ovoce,related,word,word,0.546601167202833
jaro,podzim,related,word,word,0.624184826079755
zjevně,očividně,related,word,word,0.78996437616631
jazz,hudba,related,word,word,0.492920781271838
jed,zabít,related,word,word,0.214172206977626
jeden,tři,related,word,word,0.239119468180178
jednoduše,jednoduchý,related,word,word,0.41125874244543
jednotka,divize,related,word,word,0.490802187862846
jehla,stříkačka,related,word,word,0.531917089836814
jev,událost,related,word,word,0.38572349789421
jídlo,chod,related,word,word,0.349294456190821
již,stále,related,word,word,0.301867087361434
jižní,západní,related,word,word,0.714555148628944
jih,sever,related,word,word,0.85280632203686
jóga,masáž,related,word,word,0.431776685699879
jurisdikce,autorita,related,word,word,0.359516042987742
kabel,drát,related,word,word,0.668636769904348
kalendář,rozvrh,related,word,word,0.458094219934935
kampaň,volby,related,word,word,0.415355427216785
kanál,zprávy,related,word,word,0.25015918279238
kancléř,prezident,related,word,word,0.501726012008463
kandidát,volič,related,word,word,0.524147798198829
kapacita,schopnost,related,word,word,0.3082184415493
kapsa,peněženka,related,word,word,0.525936159097609
kapsle,sonda,related,word,word,0.375653759054688
kariéra,pověst,related,word,word,0.495056051577472
karneval,festival,related,word,word,0.614359615430286
kašel,horečka,related,word,word,0.484713201908088
katolík,křesťan,related,word,word,0.63106237362457
kavalerie,dělostřelectvo,related,word,word,0.51229499554798
kečup,majonéza,related,word,word,0.554499318141581
keř,strom,related,word,word,0.605098558071705
kilo,gram,related,word,word,0.533604585507656
kilometr,metr,related,word,word,0.632546868037037
kino,divadlo,related,word,word,0.609560853867364
klan,rodina,related,word,word,0.351930031945539
klavír,kytara,related,word,word,0.55451040251011
kletba,čarodějnice,related,word,word,0.497356655959895
klíč,zámek,related,word,word,0.486858225817253
tichý,klidný,related,word,word,0.673929226546529
klub,bar,related,word,word,0.614254494752072
knihovna,muzeum,related,word,word,0.38320938813028
tlačítko,stisknout,related,word,word,0.587683547252753
kód,heslo,related,word,word,0.546774344774057
kokain,heroin,related,word,word,0.807423374472624
kolega,přítel,related,word,word,0.58128459351183
kolo,kolem,related,word,word,0.226882819318302
kolonie,federace,related,word,word,0.51166641859177
kombinace,směs,related,word,word,0.481413175830924
komentář,prohlášení,related,word,word,0.475925609732764
reklama,obchodník,related,word,word,0.261777409419167
komfortní,příjemný,related,word,word,0.407897988188585
komise,výbor,related,word,word,0.622636650781788
kompas,mapa,related,word,word,0.409567298840025
kompliment,dárek,related,word,word,0.457944766629935
konec,dokončit,related,word,word,0.197207333688154
konečně,nakonec,related,word,word,0.46977235796655
konference,setkání,related,word,word,0.400184156847029
konflikt,spor,related,word,word,0.623070359183415
konstrukce,stavět,related,word,word,0.407617349086381
kontakt,spojení,related,word,word,0.5231623732128
kontaminace,záření,related,word,word,0.417942011148054
konverzace,diskuse,related,word,word,0.594946809188785
konzervativní,liberální,related,word,word,0.691327847137156
kopat,pohřbít,related,word,word,0.397422998610505
kopec,hora,related,word,word,0.44123293103038
kořist,dravec,related,word,word,0.439595686097724
koruna,trůn,related,word,word,0.426484197888457
košile,bunda,related,word,word,0.595748448173499
kost,lebka,related,word,word,0.481034269276776
kostel,kaple,related,word,word,0.476155819498541
kotva,plachta,related,word,word,0.557669331733347
koupit,prodat,related,word,word,0.634122382830841
kouř,doutník,related,word,word,0.320764940965364
magie,kouzelník,related,word,word,0.399477721266756
kouzlo,krása,related,word,word,0.244503618328774
krádež,loupež,related,word,word,0.718793608242915
královna,král,related,word,word,0.693554306806578
královský,království,related,word,word,0.421561615292948
krátký,dlouhý,related,word,word,0.690214579528053
kráva,prase,related,word,word,0.507715715674148
kredit,půjčka,related,word,word,0.358225033631747
krém,omáčka,related,word,word,0.327640591218834
krev,moč,related,word,word,0.60660398198894
kritický,politický,related,word,word,0.57069263377837
krmit,jíst,related,word,word,0.455721794399894
kruh,trojúhelník,related,word,word,0.463493201242389
kuchařka,šéfkuchař,related,word,word,0.583874331596923
kultura,civilizace,related,word,word,0.535796858897412
kuře,krocan,related,word,word,0.502995881091177
kůže,tkáň,related,word,word,0.411063455372054
lasagně,špagety,related,word,word,0.568605358347129
stůl,kancelář,related,word,word,0.366885051424482
ledvina,játra,related,word,word,0.652843314680136
legie,armáda,related,word,word,0.465455609889245
lékařský,psychologický,related,word,word,0.612519329950041
tyč,kladivo,related,word,word,0.367470429018276
lesba,gay,related,word,word,0.523025821821212
lesk,zářivý,related,word,word,0.39733125600381
léto,zima,related,word,word,0.445375712227717
lhát,lhář,related,word,word,0.422881945659378
libra,dolar,related,word,word,0.414282080240207
lichotit,zapůsobit,related,word,word,0.430966174929698
liga,tým,related,word,word,0.324266355999394
limonáda,soda,related,word,word,0.603453078305554
liška,králičí,related,word,word,0.361263313170665
jízdenka,pas,related,word,word,0.310374789682331
listopad,prosinec,related,word,word,0.673011017312444
loajální,věřící,related,word,word,0.280242587675004
lov,rybolov,related,word,word,0.516503149196723
lžíce,vidlička,related,word,word,0.558206502886089
mafie,kartel,related,word,word,0.460951590718556
magnetický,elektrický,related,word,word,0.591446677154219
veličenstvo,výsost,related,word,word,0.594530112455063
malý,drobný,related,word,word,0.505735270386275
malovat,kreslit,related,word,word,0.756488182468865
manažer,šéf,related,word,word,0.597899186545267
manžel,manželka,related,word,word,0.578742468182537
maratón,závod,related,word,word,0.534120720158761
mars,venuše,related,word,word,0.459737447557531
matka,otec,related,word,word,0.666073277159155
meč,nůž,related,word,word,0.656517533254562
medvěd,vlk,related,word,word,0.618339087609306
měkký,jemný,related,word,word,0.55125876268584
měsíc,slunce,related,word,word,0.436244581446916
měsíc,týden,related,word,word,0.762671529102918
měsíční,sluneční,related,word,word,0.358415752434685
metoda,technika,related,word,word,0.594689243229978
mezinárodní,svět,related,word,word,0.156776337309998
med,máslo,related,word,word,0.414668847627499
míle,centimetr,related,word,word,0.388007653090435
milión,miliarda,related,word,word,0.610976681313495
milionář,podnikatel,related,word,word,0.558074838322991
vně,uvnitř,related,word,word,0.543098299986704
ming,štika,related,word,word,0.102135709545343
minimální,maximum,related,word,word,0.358690598187828
miska,talíř,related,word,word,0.392807398955257
místo,umístění,related,word,word,0.399520341798648
šampion,bojovník,related,word,word,0.480440981901554
mládí,dětství,related,word,word,0.592978507087766
mléko,džus,related,word,word,0.53243834532066
proslov,kázání,related,word,word,0.423655825943812
povídat,mluvit,related,word,word,0.65926389690865
mnich,kněz,related,word,word,0.613836579329179
kvantita,kvalita,related,word,word,0.582411621168196
model,prototyp,related,word,word,0.488163955740975
moderní,tradiční,related,word,word,0.515125748498621
módní,elegantní,related,word,word,0.447116246229936
mor,epidemie,related,word,word,0.569767384081515
moře,oceán,related,word,word,0.640761207005827
mariňák,námořnictvo,related,word,word,0.413564870638721
most,tunel,related,word,word,0.495679586126662
motiv,alibi,related,word,word,0.489682883241335
motýl,pták,related,word,word,0.577369787801206
mozek,intelektuální,related,word,word,0.303170574089419
možná,pravděpodobně,related,word,word,0.498078235062833
mrak,mlha,related,word,word,0.472992446007236
muž,člověk,related,word,word,0.65656210876251
mužský,ženský,related,word,word,0.669983514025839
myš,krysa,related,word,word,0.552807984401086
mýtus,legenda,related,word,word,0.461041173355156
nabídnout,dát,related,word,word,0.532568458735413
naděje,víra,related,word,word,0.385585794937884
nádor,rakovina,related,word,word,0.616007694730675
nadpřirozený,paranormální,related,word,word,0.588782472940074
nádrž,motor,related,word,word,0.418025901035855
nadšení,vášeň,related,word,word,0.45338812648601
náhodou,záměrně,related,word,word,0.260593450222675
nahradit,náhradní,related,word,word,0.269358649890013
naivní,cynický,related,word,word,0.522779848824678
naivní,hloupý,related,word,word,0.564800431039517
najednou,nečekaně,related,word,word,0.430190984805432
nájemce,pronajímatel,related,word,word,0.56955665538369
námořní,flotila,related,word,word,0.329470606788873
napájení,energie,related,word,word,0.536128556642992
pít,pivo,related,word,word,0.463014332046995
opačný,protichůdný,related,word,word,0.441227055063829
nářadí,nástroj,related,word,word,0.350460256613016
národní,globální,related,word,word,0.51896686378583
narození,těhotenství,related,word,word,0.422312119874533
následovat,honit,related,word,word,0.333049993693808
nastat,stát se,related,word,word,
navigace,sdělení,related,word,word,0.173860563008121
navrhnout,naznačit,related,word,word,0.407108568703589
název,titul,related,word,word,0.293891084372909
naživu,mrtvý,related,word,word,0.448851314841233
názor,postoj,related,word,word,0.555576649487358
nebe,nebeský,related,word,word,0.450666854114769
nehet,zub,related,word,word,0.501442025997774
jinde,někde,related,word,word,0.424135722288505
někdy,často,related,word,word,0.439093495720654
nemocnice,klinika,related,word,word,0.526145527349383
churavý,nemocný,related,word,word,0.507339350895245
nemožný,snadný,related,word,word,0.535255885288788
nenávidět,milovat,related,word,word,0.660302160706991
neobvyklý,podivný,related,word,word,0.692114605759929
nepohodlný,nepříjemný,related,word,word,0.614704197141039
nepřiměřený,nezodpovědný,related,word,word,0.399591964349873
nepřítel,oponent,related,word,word,0.35085660081137
nerv,sval,related,word,word,0.574202571652981
neschopnost,neschopný,related,word,word,0.554356613090662
nešťastný,neštěstí,related,word,word,0.391354863090538
ošklivý,špinavý,related,word,word,0.523424022511674
netvor,stvoření,related,word,word,0.370767747517017
nevinný,vinný,related,word,word,0.692694726754354
nezbytný,potřeba,related,word,word,0.457460268880376
neznalost,arogance,related,word,word,0.418527240795066
nic,něco,related,word,word,0.504960832820266
nikdy,vůbec,related,word,word,0.334348354198997
ninja,samuraj,related,word,word,0.422696347734044
nízký,vysoký,related,word,word,0.578462296110376
noc,večer,related,word,word,0.530422350541248
noční můra,sen,related,word,word,
normálně,obvykle,related,word,word,0.566885005788827
Nobelova,cena,related,word,word,
nyní,znát,related,word,word,0.112657913383694
obálka,balík,related,word,word,0.333851512721416
občas,zřídka,related,word,word,0.462330540225378
obdivovat,vážit si,related,word,word,
oběť,útočník,related,word,word,0.366301431260411
obilí,mouka,related,word,word,0.358115975737216
objekt,předmět,related,word,word,0.597341485842537
oblíbený,slavný,related,word,word,0.505328241658273
obrázek,fotografie,related,word,word,0.52970913020586
obrazovka,monitor,related,word,word,0.45692954054515
obsahovat,obsah,related,word,word,0.519084765375527
obyčejný,obvyklý,related,word,word,0.461173384688024
odejít,opustit,related,word,word,0.600802692048129
odmítnout,přijmout,related,word,word,0.606729003649112
promrhat,strávit,related,word,word,0.614916557549547
smetí,odpadky,related,word,word,0.657331306409991
odpor,odolat,related,word,word,0.277570758979277
odpovědět,odpověď,related,word,word,0.609304081950483
odpovědnost,povinnost,related,word,word,0.502852878064603
odpuštění,soucit,related,word,word,0.429726669899328
odpustit,výmluva,related,word,word,0.20744965030334
odraz,zrcadlo,related,word,word,0.474606276239618
eliminovat,odstranit,related,word,word,0.642355903506721
odvaha,odhodlání,related,word,word,0.576866000292682
odznak,uniforma,related,word,word,0.4402516022321
oficiálně,oficiální,related,word,word,0.673370416439809
oheň,plamen,related,word,word,0.723987774159779
okno,dveře,related,word,word,0.628019981585047
oko,ucho,related,word,word,0.542668556618419
okres,čtvrť,related,word,word,0.288638037951125
opice,gorila,related,word,word,0.527119705080282
stanovit,opravit,related,word,word,0.272387754264865
optimistický,realistický,related,word,word,0.590721325641986
orchestr,kapela,related,word,word,0.416608269988794
orgasmus,erekce,related,word,word,0.436405992167391
originál,kopie,related,word,word,0.53254971400024
posádka,loď,related,word,word,0.541514332389607
prdel,zadek,related,word,word,0.715318693642028
osel,kůň,related,word,word,0.525285328166174
osoba,individuální,related,word,word,0.247348974596838
osobní,intimní,related,word,word,0.492364021710076
celebrita,hvězda,related,word,word,0.491547986901852
zhouba,osud,related,word,word,0.262222029742988
zahnout,rotovat,related,word,word,0.366642298964294
vyslýchat,ptát se,related,word,word,
otvíračka,zavíračka,related,word,word,0.843331098226269
otevřít,zavřít,related,word,word,0.629848161437973
otrok,služebník,related,word,word,0.447625990246036
pacifik,atlantik,related,word,word,0.53390942822977
palác,hrad,related,word,word,0.597468590182617
monument,socha,related,word,word,0.420788045086455
lord,lady,related,word,word,0.468198556366431
panenka,hračka,related,word,word,0.507731262557573
milenka,milenec,related,word,word,0.585065312341194
papír,pero,related,word,word,0.535128384598265
paranoidní,šílený,related,word,word,0.423319255299801
parlament,senát,related,word,word,0.548154210921047
past,návnada,related,word,word,0.467406621692864
pavouk,hmyz,related,word,word,0.511062403848099
pěkný,půvabný,related,word,word,0.475360578566642
pes,kočka,related,word,word,0.554918951817291
pevně,silně,related,word,word,0.569920750291842
piknik,kempování,related,word,word,0.430796276406276
pink,cink,related,word,word,0.329741286162182
pirát,námořník,related,word,word,0.572512987911831
pistole,zbraň,related,word,word,0.645129478068709
pitva,analýza,related,word,word,0.557244209057609
plán,strategie,related,word,word,0.461390903740572
planeta,obíhat,related,word,word,0.431423531249068
playboy,časopis,related,word,word,0.328362494073225
pláž,pobřeží,related,word,word,0.502920801807152
plocha,zóna,related,word,word,0.457144544162847
plošina,stanice,related,word,word,0.372082691810914
pluk,prapor,related,word,word,0.609178436198395
plus,mínus,related,word,word,0.593245178915725
plyn,palivo,related,word,word,0.475450832018383
pobyt,zůstat,related,word,word,0.309743445728786
počet,vypočítat,related,word,word,0.266745291949967
populace,lidé,related,word,word,0.242204948253278
pochybovat,tušit,related,word,word,0.357763581554285
čekat,očekávat,related,word,word,0.582309603012485
podcenit,přehánět,related,word,word,0.426418662645252
podlaha,koberec,related,word,word,0.395848403268154
podobný,odlišný,related,word,word,0.554828104446345
podpora,asistence,related,word,word,0.37323890878739
pád,kolaps,related,word,word,0.498083353227719
hrnek,káva,related,word,word,0.338980138000477
výhled,perspektiva,related,word,word,0.314419724685624
pohostinnost,vděk,related,word,word,0.436644040481271
koncept,definice,related,word,word,0.332806239069903
poklad,bohatství,related,word,word,0.45622164468059
pokoj,ložnice,related,word,word,0.455481012864188
ponížit,skromný,related,word,word,0.221644531664572
postupovat,pokračovat,related,word,word,0.483440794174522
pokrok,rozvoj,related,word,word,0.434654728366944
zakrýt,skrýt,related,word,word,0.620920251311958
polévka,salát,related,word,word,0.439987984915484
předpis,politik,related,word,word,0.182771550217434
poloměr,obvod,related,word,word,0.448750255355
polovina,čtvrtina,related,word,word,0.647721874165328
polykat,žvýkat,related,word,word,0.534067544814782
pomalu,rychle,related,word,word,0.586003851378654
pomalý,rychlý,related,word,word,0.597612299162449
zabránit,pomoct,related,word,word,0.423507242812395
pomsta,spravedlnost,related,word,word,0.432270481663
pondělí,úterý,related,word,word,0.741960644989788
ponorka,člun,related,word,word,0.440737439709806
popel,prach,related,word,word,0.663969773951243
popsat,vyjádřit,related,word,word,0.506582217739287
požadavek,žádost,related,word,word,0.576398942248733
porno,film,related,word,word,0.501590604626909
portál,brána,related,word,word,0.528712579955919
poškrábat,pohmoždit,related,word,word,0.506012264934407
poslouchat,slyšet,related,word,word,0.548058189026052
pošta,fax,related,word,word,0.361564365321082
postavení,pozice,related,word,word,0.535610261747724
potenciál,talent,related,word,word,0.550534965535223
potěšení,radost,related,word,word,0.590651777420573
potrestat,zatknout,related,word,word,0.524766220999798
potvrzení,potvrdit,related,word,word,0.558894085929006
poušť,údolí,related,word,word,0.437105074835812
povolení,schválení,related,word,word,0.53246050201551
pozdě,brzy,related,word,word,0.435408205457736
pozitivní,negativní,related,word,word,0.77148373494007
pozornost,přitahovat,related,word,word,0.353516880270161
pozorování,hodnocení,related,word,word,0.447779899321261
zaměstnání,práce,related,word,word,0.464383868114503
prasknout,explodovat,related,word,word,0.579445309888239
pravděpodobnost,pravděpodobně,related,word,word,0.490978212888261
pravidlo,protokol,related,word,word,0.46982118362557
právník,žalobce,related,word,word,0.569340457917396
procvičovat,cvičit,related,word,word,0.647681941948354
prázdný,plný,related,word,word,0.542041754005348
přední,zadní,related,word,word,0.698608703322196
představivost,tvořivost,related,word,word,0.602628440606197
překážka,výzva,related,word,word,0.443584717621596
překvapení,zklamání,related,word,word,0.558309691640175
přerušit,rušit,related,word,word,0.587335246450341
přezdívka,příjmení,related,word,word,0.435765466353006
příchod,odchod,related,word,word,0.581791190137527
přijet,přijít,related,word,word,0.673138007965663
rozkazovat,poroučet,related,word,word,0.687912397354918
přímý,přímo,related,word,word,0.289964318504679
princezna,princ,related,word,word,0.654517269256231
přinést,poslat,related,word,word,0.427455768708647
toust,slanina,related,word,word,0.545328622520272
příprava,plánování,related,word,word,0.472942781332878
připravený,připravit,related,word,word,0.483318905586074
připustit,doznat,related,word,word,0.41020815957901
přírodní,umělý,related,word,word,0.394358332771994
přirozeně,obecně,related,word,word,0.3524097096501
přísahat,přísaha,related,word,word,0.723902841067936
přistání,let,related,word,word,0.351413494956442
přistát,létat,related,word,word,0.548173314717927
přitažlivý,okouzlující,related,word,word,0.553578174787702
přítomnost,absence,related,word,word,0.428686528275959
privilegium,čest,related,word,word,0.452069774664144
potíž,problém,related,word,word,0.557167096504113
proces,postup,related,word,word,0.53795441938429
prodejce,kupující,related,word,word,0.418142728317349
prodejna,obchod,related,word,word,0.455869634092112
profil,popis,related,word,word,0.483931391707917
prohlídka,koncert,related,word,word,0.219578406452161
projekt,program,related,word,word,0.500188997677237
najmout,pronajmout,related,word,word,0.664012330249009
právě,nedávno,related,word,word,0.486630332317542
protein,vitamín,related,word,word,0.60403095026206
protest,demonstrace,related,word,word,0.517976095795016
protijed,vakcína,related,word,word,0.467070222831381
