"cs_cue","cs_target","cs_fake_target","cs_fake_cue","en_cue","en_target"
"chléb","sýr","vér","chsob","bread","cheese"
"chrám","klášter","kryster","chybm","temple","monastery"
"chránit","hájit","hálen","častnit","protect","defend"
"chřipka","choroba","asteroba","chranka","flu","disease"
"chudoba","bída","uměda","skondoba","poverty","misery"
"chudý","bohatý","bohazard","chsvý","poor","rich"
"chuť","čich","nuch","chnc","taste","smell"
"chutný","lahodné","lawrenné","moudný","tasty","delicious"
"chůva","služka","nouška","svrva","nanny","maid"
"chyba","chyba","lejba","harba","error","mistake"
"chytrý","inteligentní","intelistrukční","zkourý","smart","intelligent"
"činidlo","detektivní","degislativní","činizmus","agent","detective"
"čip","přístroj","přístřeš","nup","chip","device"
"císařský","císař","cíkum","cítrojský","imperial","emperor"
"číslo","adresa","adresamozdřejmě","zválo","number","address"
"číšník","servírka","sersmyčka","debník","waiter","waitress"
"číst","napsat","natost","uhst","read","write"
"čistý","umýt","umhu","shatý","clean","wash"
"civilní","válečný","vákrásný","citrávní","civil","military"
"článek","noviny","nojohnny","nyanek","article","newspaper"
"člen","vůdce","novce","fúen","member","leader"
"co","že","lý","zy","what","that"
"crack","otvor","ottěj","crosk","crack","hole"
"čtení","psaní","tánní","vilní","reading","writing"
"cukr","čokoláda","straškoláda","cuub","sugar","chocolate"
"dalekohled","mikroskop","mikrothing","dalekovejch","telescope","microscope"
"další","další","zboší","cvoší","extra","additional"
"data","informace","indeskamace","daněj","data","information"
"dav","publikum","publichvář","luv","crowd","audience"
"dávka","injekce","instrace","nanka","dose","injection"
"dcera","syn","ern","očira","daughter","son"
"dědeček","babička","bazmeška","dědetail","grandfather","grandmother"
"dědictví","zdědit","plidit","dědicnech","heritage","inherit"
"deka","ručník","pinník","blika","blanket","towel"
"děkan","profesor","profepřít","děvio","dean","professor"
"delikátní","citlivý","umožlivý","delivingsní","delicate","sensitive"
"denně","týdně","ševně","kálně","daily","weekly"
"děsivý","strašidelný","rozkošidelný","děsilent","scary","creepy"
"déšť","sníh","snrj","déjk","rain","snow"
"dezert","dort","cart","desint","dessert","cake"
"diamant","klenot","klehák","diabron","diamond","jewel"
"digulování","škaredý","lhosredý","mustangulování","digusting","ugly"
"dílna","garáž","gabař","knona","workshop","garage"
"diplom","absolvovat","abuzdravovat","ditrém","diploma","graduate"
"dítě","dítě","liště","santě","baby","child"
"dívej se","hodinky","hohlídky","dívejdišť","look","watch"
"dívka","chlapec","chlalyn","hačka","girl","boy"
"dna","otisk prstu","recyk prstu","oša","dna","fingerprint"
"dnes","včera","murra","křes","today","yesterday"
"dobře","to jo","totrý","uhoře","okay","yeah"
"dobrovolník","dobrovolně","dobroslechně","dobrostředník","volunteer","voluntarily"
"dobrý","špatný","znamný","karrý","good","bad"
"dojem","pocit","potev","dovač","impression","feeling"
"dolní","horní","svaní","úvění","lower","upper"
"dolů","nahoru","nahokage","dobám","down","up"
"doprovod","doprovázet","doprovástvím","doprobral","escort","accompany"
"doslova","prakticky","zklaticky","dojdemva","literally","practically"
"dospělý","rodič","rozuz","dorostlý","adult","parent"
"dospívající","teenager","teethers","dorozhněvající","teenage","teenager"
"dost","dostatečný","dostasprávný","vást","enough","sufficient"
"dosti","krásná","stráná","dorýt","pretty","beautiful"
"dovolit","nechat","nemrav","dovodech","allow","let"
"drahý","levný","misný","svěhý","expensive","cheap"
"drak","lev","fův","osak","dragon","lion"
"drama","komedie","komeranč","stuma","drama","comedy"
"dramatický","romantický","rosexistický","ahjummatický","dramatic","romantic"
"drby","skandál","kachdál","drzos","gossip","scandal"
"druhý","minuta","michysta","benhý","second","minute"
"držet","držet","drhou","drhou","hold","keep"
"důchod","plat","líat","důland","pension","salary"
"důkaz","důkaz","důpeš","důpeš","evidence","proof"
"dům","byt","ont","lum","house","apartment"
"duše","duch","pých","ducím","soul","spirit"
"duševní","emocionální","ochrancionální","duokolní","mental","emotional"
"důvěra","věřit","věrou","důchytra","trust","believe"
"důvod","způsobit","starsobit","důdia","reason","cause"
"dva","čtyři","sarři","ďáa","two","four"
"dvd","video","vinaj","kdd","dvd","video"
"dvojnásobek","trojnásobný","ochutnásobný","ochutnásobek","double","triple"
"dynastie","říše","horše","dygustin","dynasty","empire"
"džíp","truck","trolk","džáť","jeep","truck"
"džungle","les","nds","džunzvu","jungle","forest"
"experiment","test","teně","experichiyo","experiment","test"
"expert","specialista","speciabarretta","exctít","expert","specialist"
"faktor","živel","židií","trátor","factor","element"
"falešný","nepravdivé","nezvěstdivé","faznačný","fake","FALSE"
"fáze","doba","dočit","zvuze","phase","period"
"federální","stát","stpě","fedetectiní","federal","state"
"filozofie","náboženství","náboženpadla","filozostvím","philosophy","religion"
"finále","ultimátni","ultisklapni","fistřele","final","ultimate"
"finance","investovat","inshingtovat","fizkráce","finance","invest"
"finančně","financování","firewallucování","fislibně","financially","financing"
"firma","agentura","vtiptura","vlhma","firm","agency"
"formulář","podepsat","podeting","formupřít","form","sign"
"fotoaparát","mikrofon","mikroberts","fotoapatečnej","camera","microphone"
"fragment","kus","ues","fešáment","fragment","piece"
"frekvence","signál","otánál","sharvence","frequency","signal"
"fungovat","chirurgická operace","chirurgická operdustrial","rostgovat","operate","surgery"
"fyzika","matematika","mateleskoptika","fyotázka","physics","mathematics"
"galerie","výstava","výhružva","galetích","gallery","exhibition"
"gang","skupina","chlapina","gasu","gang","group"
"gauč","postel","pogles","gabl","sofa","bed"
"generátor","reaktor","reakcent","generáských","generator","reactor"
"génius","vědec","věmém","gévens","genius","scientist"
"gesto","akt","nít","lůžto","gesture","act"
"golf","tenis","tečeš","goět","golf","tennis"
"guvernér","senátor","senákých","guvermmym","governor","senator"
"hazardní hry","poker","popru","hazardnílečte","gambling","poker"
"hedvábí","bavlna","basteina","arabvábí","silk","cotton"
"helma","čepice","čejížďce","kajma","helmet","hat"
"hlad","žízeň","žírit","zmad","hunger","thirst"
"hlas","přízvuk","přípnut","yeas","voice","accent"
"hlavní město","město","reyto","ustouní město","capital","city"
"hlemýžď","želva","úrova","hlemžik","snail","turtle"
"hlídat","hlídka","plavka","jendat","guard","patrol"
"hluk","zvuk","zvew","téuk","noise","sound"
"hmota","částice","skvětice","žolta","matter","particle"
"hmotnost","výška","táčka","doutnost","weight","height"
"hnědý","modrý","plerý","řekdý","brown","blue"
"hněv","vztek","vzdák","hnig","anger","rage"
"hnízdo","vejce","čince","déízdo","nest","egg"
"hobby","sport","thort","odyby","hobby","sport"
"hodnota","cena","kouna","střínota","value","price"
"horký","studený","frandený","becký","hot","cold"
"hormon","adrenalin","oplznalin","horžít","hormone","adrenaline"
"horní","dno","řao","dební","top","bottom"
"hospoda","restaurace","rechuděrace","střípoda","pub","restaurant"
"hotel","motel","movým","holín","hotel","motel"
"hotovost","peníze","pevzbuze","hotonách","cash","money"
"hrát si","hra","iya","hrátpín","play","game"
"hrdina","zachránce","zastrůjce","středina","hero","savior"
"hrdlo","krk","rik","hrker","throat","neck"
"hrdost","důstojnost","důohavnost","hrbert","pride","dignity"
"hrdý","vzrušený","eneršený","hrtáš","proud","excited"
"hřích","zločin","zlosák","ivích","sin","crime"
"hrob","hřbitov","hřbisan","hrdn","grave","cemetery"
"hrozný","hrozný","blázný","hledný","terrible","horrible"
"hrůza","strach","stprch","hraaa","horror","fear"
"hurikán","tornádo","zvyknádo","huripley","hurricane","tornado"
"husa","kachna","uchána","cesa","goose","duck"
"hýbat se","převod","přehle","hýbatbuci","move","transfer"
"idea","teorie","teoters","žíea","idea","theory"
"ideál","perfektní","pertravní","casál","ideal","perfect"
"ilegální","právní","charní","zmírgální","illegal","legal"
"iluze","halucinace","haluuzamčenace","asoze","illusion","hallucination"
"impozantní","úžasný","znamný","impovstupní","impressive","amazing"
"incident","nehoda","nepředda","inciward","incident","accident"
"inspektor","komisař","komivřou","inproctor","inspector","commissioner"
"inspirovat","inspirace","inarthurace","inmillerovat","inspire","inspiration"
"instinkt","intuice","struktuice","instrast","instinct","intuition"
"internet","web","přb","interking","internet","web"
"invaze","záchvat","závzdat","mlouvaze","invasion","attack"
"inženýr","architekt","archienix","inževích","engineer","architect"
"ironie","ironický","vstanický","stýnie","irony","ironic"
"jablko","ovoce","hurce","jatrysko","apple","fruit"
"jaro","podzim","podkay","supro","spring","autumn"
"jasně","očividně","očiumožně","zlaně","clearly","obviously"
"jazz","hudba","rocba","jaoh","jazz","music"
"jed","zabít","zated","wid","poison","kill"
"jeden","tři","zmi","jevíš","one","three"
"jednoduše","jednoduchý","jednodustřel","warrenoduše","simply","simple"
"jednotka","divize","divinách","jedchačka","unit","division"
"jehla","stříkačka","žvejkačka","ragla","needle","syringe"
"jev","událost","mailost","lív","phenomenon","event"
"jídlo","jídlo","guilo","peslo","food","meal"
"již","ještě pořád","ještě pmral","kaž","already","still"
"jižní","západní","zánostní","kokní","southern","western"
"jižní","severní","sestupní","kokní","south","north"
"jóga","masáž","mapon","mačga","yoga","massage"
"jurisdikce","autorita","autovzkvéta","juhispánce","jurisdiction","authority"
"kabel","drát","drbá","katán","cable","wire"
"kalendář","plán","plnt","kalenlals","calendar","schedule"
"kampaň","volby","hluby","kamkrů","campaign","election"
"kanál","zprávy","znervy","kalií","channel","news"
"kancléř","prezident","preziznám","kancbye","chancellor","president"
"kandidát","volič","vorům","kanditknu","candidate","voter"
"kapacita","schopnost","střelnost","katedrácita","capacity","ability"
"kapsa","peněženka","penězkouška","kajua","pocket","wallet"
"kapsle","sonda","arada","brisle","capsule","probe"
"kariéra","pověst","povleč","katedřeéra","career","reputation"
"karneval","festival","vtáhtival","karneúctu","carnival","festival"
"kašel","horečka","honistka","kaříš","cough","fever"
"katolík","křesťan","křesšlu","katokrat","catholic","christian"
"kavalerie","dělostřelectvo","dělothbroklectvo","kavalelouch","cavalry","artillery"
"kečup","majonéza","mavzkáza","kemrd","ketchup","mayonnaise"
"keř","strom","důrom","vyř","bush","tree"
"kilo","gram","gráz","izolo","kilo","gram"
"kilometr","metr","mecům","schvalometr","kilometer","meter"
"kino","divadlo","divachat","bubno","cinema","theater"
"klan","rodina","roměstna","přan","clan","family"
"klavír","kytara","spartara","klateb","piano","guitar"
"kletba","čarodějnice","čarosestřenice","kancba","curse","witch"
"klíč","zámek","zádii","kléé","key","lock"
"klid","uklidnit","prázdnit","přid","quiet","calm"
"klub","bar","cir","klkr","club","bar"
"knihovna","muzeum","muzerval","antarkna","library","museum"
"knoflík","lis","xas","dvoulík","button","press"
"kód","heslo","guilo","úsd","code","password"
"kokain","heroin","herobust","sračkain","cocaine","heroin"
"kolega","přítel","příchu","kolesbič","colleague","friend"
"kolo","kolem","kosat","koneč","round","around"
"kolonie","federace","fedešlýchce","kolokaus","colony","federation"
"kombinace","směs","smhr","destabinace","combination","mixture"
"komentář","prohlášení","prostředšení","komenslat","comment","statement"
"komerční","obchodník","obzkumník","kopřísní","commercial","merchant"
"komfortní","příjemný","příkrásný","komplicní","comfortable","pleasant"
"komise","výbor","výlyn","kootřese","commission","committee"
"kompas","mapa","manou","komrez","compass","map"
"kompliment","dárek","dásil","komplicích","compliment","gift"
"konec","dokončit","dokonvenč","kobyl","end","finish"
"konečně","nakonec","nakohout","koprávně","finally","eventually"
"konference","setkání","sevladní","konfeskládce","conference","meeting"
"konflikt","spor","spri","konpoint","conflict","dispute"
"konstrukce","stavět","staken","konzkrouce","construction","build"
"kontakt","spojení","ukryjení","konlark","contact","connection"
"kontaminace","záření","záchvaní","ochlastaminace","contamination","radiation"
"konverzace","diskuse","stříkuse","konhypnózace","conversation","discussion"
"konzervativní","liberální","libeaumonní","konzervalescenní","conservative","liberal"
"kopat","pohřbít","pohřeju","koger","dig","bury"
"kopec","hora","neura","kotou","hill","mountain"
"kořist","dravec","dradla","komrít","prey","predator"
"koruna","trůn","tryř","kosvalna","crown","throne"
"košile","bunda","smida","zlepšile","shirt","jacket"
"kost","lebka","ménka","koby","bone","skull"
"kostel","kaple","chele","znatel","church","chapel"
"kotva","plachta","truchta","emova","anchor","sail"
"koupit","prodat","prozře","koulek","buy","sell"
"kouř","doutník","šrouník","koúm","smoke","cigar"
"kouzlo","kouzelník","kouboučník","křiklo","magic","wizard"
"kouzlo","krása","přisa","křiklo","charm","beauty"
"krádež","loupež","lougům","krávěd","theft","robbery"
"královna","král","krot","kráobrana","queen","king"
"královský","království","královvých","kráměstský","royal","kingdom"
"krátký","dlouho","zpraho","trický","short","long"
"kráva","prase","rozse","cheva","cow","pig"
"kredit","půjčka","pierka","skudit","credit","loan"
"krém","omáčka","drážka","krua","cream","sauce"
"krev","moč","vyč","krnì","blood","urine"
"kritický","politický","polichvářký","gnostický","critical","political"
"krmit","jíst","lést","krbím","feed","eat"
"kruh","trojúhelník","ovlivúhelník","krad","circle","triangle"
"kuchařka","šéfkuchař","šéfkuspím","kučástka","cook","chef"
"kultura","civilizace","pozdravilizace","chyttura","culture","civilization"
"kuře","krocan","kročíš","svěře","chicken","turkey"
"kůže","tkáň","tkws","bosže","skin","tissue"
"lasagna","špagety","apartty","laflynna","lasagna","spaghetti"
"lavice","kancelář","kancenald","vštívice","desk","office"
"ledvina","játra","ošera","srovvina","kidney","liver"
"legie","armáda","arfielda","lepen","legion","army"
"lékařský","psychologický","psykoktejlogický","lécouzský","medical","psychological"
"lepit","kladivo","uškodivo","leděl","stick","hammer"
"lesbička","gay","dly","lenouška","lesbian","gay"
"lesk","jasný","uváný","leču","shine","bright"
"léto","zima","ziček","botto","summer","winter"
"lhát","lhář","lhír","ksát","lie","liar"
"libra","dolar","donit","úvara","pound","dollar"
"lichotit","zapůsobit","zapůsomewhe","lispustit","flatter","impress"
"liga","tým","emm","likos","league","team"
"limonáda","soda","genda","liochutnáda","lemonade","soda"
"liška","králičí","hlídličí","weaka","fox","rabbit"
"lístek","cestovní pas","cestovnígusta","zmůtek","ticket","passport"
"listopad","prosinec","prositost","listohrál","november","december"
"loajální","věřící","spatřící","loaschopní","loyal","faithful"
"lov","rybolov","ryboděls","øív","hunting","fishing"
"lžíce","vidlička","vidtrackka","davce","spoon","fork"
"mafie","kartel","karním","mahon","mafia","cartel"
"magnetický","elektrický","elekblízký","strážnetický","magnetic","electric"
"majestát","výsost","výself","makistán","majesty","highness"
"málo","malý","maceu","ptylo","little","small"
"malovat","kreslit","klidlit","malostře","paint","draw"
"manažer","šéf","waf","manazoun","manager","boss"
"manžel","manželka","manstávka","manříš","husband","wife"
"maratón","závod","zádia","marariel","marathon","race"
"mars","venuše","venutách","maté","mars","venus"
"matka","otec","snec","uvěka","mother","father"
"meč","nůž","púž","ruč","sword","knife"
"medvěd","vlk","cek","medbým","bear","wolf"
"měkký","jemný","otoný","udáký","soft","gentle"
"měsíc","slunce","smrace","měvii","moon","sun"
"měsíc","týden","týzím","měvii","month","week"
"měsíční","sluneční","sluchrání","mětentní","lunar","solar"
"metoda","technika","opranika","metokrát","method","technique"
"mezinárodní","svět","svdr","mezinázvláštní","international","world"
"miláček","máslo","jailo","milájích","honey","butter"
"míle","centimetr","gislatimetr","harle","mile","centimeter"
"milión","miliarda","milisekunda","milichům","million","billion"
"milionář","podnikatel","podnikanystr","miliostvím","millionaire","entrepreneur"
"mimo","uvnitř","uvniéd","mivím","outside","inside"
"ming","ling","liše","mivá","ming","ling"
"minimální","maximum","maxitkne","minivlastní","minimum","maximum"
"miska","talíř","tarez","hurka","bowl","plate"
"místo","umístění","srovtění","řekto","place","location"
"mistr","bojovník","bodeštník","puntr","champion","fighter"
"mládí","dětství","bydství","lindí","youth","childhood"
"mléko","džus","níus","kalko","milk","juice"
"mluvený projev","kázání","káhradní","mluvený przatkli","speech","sermon"
"mluvit","mluvit","frevit","svívit","talk","speak"
"mnich","kněz","knéd","vdich","monk","priest"
"množství","kvalitní","idenlitní","markství","quantity","quality"
"modelka","prototyp","protosviť","mostatka","model","prototype"
"moderní","tradiční","trataktní","mohlavní","modern","traditional"
"módní","elegantní","elevládní","nižní","fashionable","elegant"
"mor","epidemický","epidestrukký","nir","plague","epidemic"
"moře","oceán","lanán","ověře","sea","ocean"
"mořský","námořnický","návlastnický","břeský","marine","navy"
"most","tunel","tulií","syst","bridge","tunnel"
"motiv","alibi","dřebi","movol","motive","alibi"
"motýl","pták","udák","mosup","butterfly","bird"
"mozek","intelektuální","intefrastruktuální","momím","brain","cerebral"
"možná","pravděpodobně","zvláštděpodobně","větná","maybe","probably"
"mrak","mlha","užiha","mrza","cloud","fog"
"muž","člověk","člogán","chž","man","human"
"mužský","ženský","udeský","balský","male","female"
"myš","krysa","myssa","usš","mouse","rat"
"mýtus","legenda","leokráda","mýnea","myth","legend"
"nabídka","dát","rýt","naulička","offer","give"
"naděje","víra","podra","nazbroje","hope","faith"
"nádor","rakovina","středkovina","názmi","tumor","cancer"
"nadpřirozený","paranormální","paranorstrukční","nadcrusherozený","supernatural","paranormal"
"nádrž","motor","movej","nánis","tank","engine"
"nadšení","vášeň","vávio","vznášení","enthusiasm","passion"
"náhodou","záměrně","zástatně","náhokách","accidentally","intentionally"
"nahradit","náhradní","nánostní","navzbudit","replace","substitute"
"naivní","cynický","cysladký","nakrásní","naive","cynical"
"naivní","hloupý","hlouyo","nakrásní","naïve","stupid"
"najednou","nečekaně","nečezblázně","narostnou","suddenly","unexpectedly"
"nájemce","hostinský","hosškolský","náslance","tenant","landlord"
"námořní","flotila","spektila","náchrání","naval","fleet"
"napájení","energie","enerder","nahřešujení","power","energy"
"napít se","pivo","pižit","napítcert","drink","beer"
"naproti","opačný","mravný","naštvati","opposite","contrary"
"nářadí","nástroj","nástřed","náklondí","tool","instrument"
"národní","globální","glorenční","náchrání","national","global"
"narození","těhotenství","těhotenpadla","millerození","birth","pregnancy"
"následovat","honit","hopře","následoslech","follow","chase"
"nastat","stát se","skau se","nadent","occur","happen"
"navigace","sdělení","čtyřlení","navistrukce","navigation","communication"
"navrhnout","navrhnout","navrhcích","navrhcích","propose","suggest"
"název","titul","tidža","nářád","name","title"
"naživu","mrtvý","kenvý","dlouživu","alive","dead"
"názor","přístup","příking","nácíš","opinion","attitude"
"nebe","nebeský","nezetku","neplá","sky","heavenly"
"nehet","zub","býb","nesis","nail","tooth"
"někde jinde","někde","něors","někde jimostat","elsewhere","somewhere"
"někdy","často","punto","nětva","sometimes","often"
"nemocnice","klinika","uvolnika","neprázdnice","hospital","clinic"
"nemocný","nemocný","nestupný","nestupný","ill","sick"
"nemožný","snadný","švédný","nestejný","impossible","easy"
"nenávist","milovat","milostře","nenáfolk","hate","love"
"neobvyklý","podivný","pokrásný","neoburostlý","unusual","strange"
"nepříjemný","nepříjemný","nepřísprávný","nepřísprávný","uncomfortable","unpleasant"
"nepřiměřeně","nezodpovědný","nezodpotrestaný","nezvykleměřeně","unreasonable","irresponsible"
"nepřítel","oponent","smrnent","nepřísluš","enemy","opponent"
"nerv","sval","svza","neor","nerve","muscle"
"neschopnost","neschopný","nestrážný","nezvládnost","inability","unable"
"nešťastný","neštěstí","nepleťtí","nestrašný","unfortunate","misfortune"
"nešťastný","špinavý","eleknavý","nestrašný","nasty","filthy"
"netvor","stvoření","ukraření","nethem","monster","creature"
"nevinný","vinenský","vichyňský","nekrásný","innocent","guilty"
"nezbytný","potřeba","poškrába","nesvůdný","necessary","need"
"neznalost","arogance","hlavgance","neznamech","ignorance","arrogance"
"nic","něco","něnej","rnc","nothing","something"
"nikdy","vůbec","vůlán","niřek","never","ever"
"ninja","samuraj","samulong","trhja","ninja","samurai"
"nízký","vysoký","vykrátký","vrhký","low","high"
"noc","večer","vevis","drc","night","evening"
"noční můra","sen","ynn","noční mbons","nightmare","dream"
"normálně","obvykle","obtelle","norchodně","normally","usually"
"nudný","cena","kouna","honný","nobel","prize"
"nyní","znát","kóát","sagní","now","know"
"obálka","balík","badeš","skalka","envelope","package"
"občas","zřídka","všedka","oblíř","occasionally","rarely"
"obdivovat","vážit si","vážitchvy","obdivoských","admire","appreciate"
"oběť","útočník","stáhník","obgr","victim","attacker"
"obilí","mouka","žička","šišlí","grain","flour"
"objekt","předmět","předcej","obreau","object","subject"
"oblíbený","slavný","shroný","oblíšťastný","popular","famous"
"obrázek","fotografie","fotograstvím","obrádius","picture","photo"
"obrazovka","monitor","monifest","obrastránka","screen","monitor"
"obsahovat","obsah","obous","obsahorázná","contain","content"
"obyčejný","obvyklý","obskvělý","ukončejný","ordinary","usual"
"odejít","opustit","okoltit","odedii","leave","abandon"
"odmítnout","přijmout","přistein","odmítcích","refuse","accept"
"odpad","strávit","ovlávit","odron","waste","spend"
"odpadky","odpadky","odcházky","odznámky","trash","garbage"
"odpor","odolat","slýlat","odsal","resistance","resist"
"odpovědět","odpověď","odpofort","odpověstvím","answer","reply"
"odpovědnost","povinnost","povinkách","odpovědských","responsibility","duty"
"odpuštění","soucit","souzve","odstřihtění","forgiveness","mercy"
"odpustit","výmluva","výzvědva","odkroutit","forgive","excuse"
"odraz","zrcadlo","zrcachat","odích","reflection","mirror"
"odstranit","odstranit","odbláznit","odčastnit","eliminate","remove"
"odvaha","odhodlání","odvzteklání","odvacích","courage","determination"
"odznak","jednotný","jedhledný","odkrat","badge","uniform"
"oficiálně","oficiální","atrakciální","kalhociálně","officially","official"
"oheň","plamen","planii","ohih","fire","flame"
"okno","dveře","špíře","prano","window","door"
"oko","ucho","maho","kio","eye","ear"
"okres","okres","dáres","shres","county","district"
"opice","gorila","gochvála","ličce","monkey","gorilla"
"opravit","opravit","vštívit","vštívit","fix","repair"
"optimistický","realistický","gallagherealistický","ušlechtimistický","optimistic","realistic"
"orchestr","kapela","kapetent","orvestre","orchestra","band"
"orgasmus","erekce","bricce","orgasským","orgasm","erection"
"originál","kopírovat","kopírodokme","agenginál","original","copy"
"osádka","loď","ijď","úspoka","crew","ship"
"osel","tupý","tuír","dlel","ass","butt"
"osel","kůň","ahň","dlel","donkey","horse"
"osoba","individuální","indiportlanduální","šašba","person","individual"
"osobní","intimní","inrenční","vlouní","personal","intimate"
"osobnost","hvězda","glězda","brounost","celebrity","star"
"osud","osud","drud","boud","fate","destiny"
"otáčet se","točit se","tolikvie","otáčetňous","turn","rotate"
"otázka","dotázat se","dotánathan","utraka","question","ask"
"otevírací","uzavření","uzagantní","uzdravírací","opening","closure"
"otevřeno","zavřít","zavies","oteustano","open","close"
"otrok","služebník","služebrech","otkaž","slave","servant"
"pacifik","atlantik","atlangley","pacicech","pacific","atlantic"
"palác","hrad","hret","panuk","palace","castle"
"památník","socha","sokou","pažlučník","monument","statue"
"pán","dáma","herma","ldn","lord","lady"
"panenka","hračka","clauka","pahrávka","doll","toy"
"paní","milenec","milexing","deční","mistress","lover"
"papír","pero","směro","paidu","paper","pen"
"paranoidní","šílený","eleklený","paranolegrační","paranoid","crazy"
"parlament","senát","sečan","parlajdeš","parliament","senate"
"past","návnada","nelhada","rost","trap","bait"
"pavouk","hmyz","hmsp","pavage","spider","insect"
"pěkný","půvabný","půmléčný","evaný","nice","lovely"
"pes","kočka","kozía","tzs","dog","cat"
"pevně","silně","burně","sobně","firmly","strongly"
"piknik","kempování","zprošpování","lebnik","picnic","camping"
"ping","ding","heng","iang","ping","ding"
"pirát","námořník","námořskou","pibus","pirate","sailor"
"pistole","zbraň","udraň","zmlátole","pistol","weapon"
