"el_target","el_cue","type","target_type","cue_type","el_cosine"
"νόσος","γρίπη","related","word","word",0.453378259596426
"καπάκι","γυαλιά","related","word","word",0.234440610340574
"γυμνός","γυμνός","related","word","word",1
"δρομάκι","γωνία","related","word","word",0.426413534369184
"κολιέ","δαχτυλίδι","related","word","word",0.597428127352238
"αντίχειρας","δάχτυλο","related","word","word",0.588299897106327
"πληροφορίες","δεδομένα","related","word","word",0.506658051896798
"γραβάτα","δένω","related","word","word",0.331148590463179
"κινητήρας","δεξαμενή","related","word","word",0.271142277983939
"ιστός","δέρμα","related","word","word",0.422855344215381
"τρίτη","δευτέρα","related","word","word",0.69008853975529
"πρωταρχικός","δευτερεύων","related","word","word",0.41956536868327
"λεπτό","δεύτερος","related","word","word",0.0988742085967091
"σκοτώνω","δηλητήριο","related","word","word",0.186669875253807
"καταστροφή","δημιουργία","related","word","word",0.445569081553418
"παράγω","δημιουργώ","related","word","word",0.485248018849354
"πώληση","δημοπρασία","related","word","word",0.531193112744893
"πολιτική","δημοσιογραφία","related","word","word",0.455948817850317
"δημοσιογράφος","δημοσιογράφος","related","word","word",1
"διάσημος","δημοφιλής","related","word","word",0.50155320549804
"άσχημος","διαγράμματος","related","word","word",0.108509779646967
"ιστός","διαδίκτυο","related","word","word",0.198538364582921
"μονοπάτι","διαδρομή","related","word","word",0.450148614958402
"γάμος","διαζύγιο","related","word","word",0.418117310859295
"ενοχλεί","διακοπή","related","word","word",0.218257586293087
"κόσμημα","διαμάντι","related","word","word",0.605246414927835
"επίδειξη","διαμαρτυρία","related","word","word",0.301298397221001
"σφαίρα","διαμέτρημα","related","word","word",0.445527047837238
"παραμένει","διαμονή","related","word","word",0.216017690390738
"συναισθηματική","διανοητικός","related","word","word",0.472503884320422
"ναυτία","διάρροια","related","word","word",0.564789011378726
"αστέρι","διασημότητα","related","word","word",0.324611363912221
"συνάντηση","διάσκεψη","related","word","word",0.631143916451163
"αποθηκεύσετε","διάσωση","related","word","word",0.227617504931692
"διατηρούν","διατηρώ","related","word","word",0.734435693588035
"εμπορία","διαφήμιση","related","word","word",0.21899395063205
"πετυχαίνω","διαχειρίζονται","related","word","word",0.159670256908561
"κυβέρνηση","διαχείριση","related","word","word",0.282973180934504
"διοικητικός","διαχείριση","related","word","word",0.355574559775182
"κόσμος","διεθνές","related","word","word",0.169557634833123
"αφεντικό","διευθυντής","related","word","word",0.394613105937545
"εξουσία","δικαιοδοσία","related","word","word",0.5074393395648
"δικαστής","δικαστήριο","related","word","word",0.598791591874167
"κατήγορος","δικηγόρος","related","word","word",0.651027998791934
"σύστημα","δίκτυο","related","word","word",0.544194090992526
"καπετάνιος","διοικητής","related","word","word",0.491522313439801
"επισκευή","διορθώσετε","related","word","word",0.358077500235224
"τριπλούς","διπλό","related","word","word",0.416889385748339
"αποφοιτώ","δίπλωμα","related","word","word",0.351728580894703
"χάπι","δισκίο","related","word","word",0.36547242766569
"ένεση","δόση","related","word","word",0.502485211682673
"δουλειά","δουλειά","related","word","word",1
"υπηρέτης","δούλος","related","word","word",0.60905430951664
"λιοντάρι","δράκων","related","word","word",0.249508852586809
"κωμωδία","δράμα","related","word","word",0.473393723772052
"ρομαντικός","δραματικός","related","word","word",0.590628424945361
"αυτοκινητόδρομος","δρόμος","related","word","word",0.615176230595296
"δύναμη","δύναμη","related","word","word",1
"αυτοκρατορία","δυναστεία","related","word","word",0.597769185638183
"ταλέντο","δυνητικός","related","word","word",0.135214507658984
"τέσσερις","δύο","related","word","word",0.642822109502135
"ακάθαρτος","δυσάρεστος","related","word","word",0.454384898580497
"ανατολή","δυτικά","related","word","word",0.451096145048084
"υπνοδωμάτιο","δωμάτιο","related","word","word",0.749448474974643
"ανταμοιβή","δώρο","related","word","word",0.303172588145657
"εκβιασμός","δωροδοκία","related","word","word",0.490054123643332
"θέτω εις ενέργειαν","δώσει το έναυσμα για","related","word","word",NA
"ανιψιός","εγγονός","related","word","word",0.507836035784195
"υπόσχεση","εγγύηση","related","word","word",0.37616595871717
"εγκεφαλικός","εγκέφαλος","related","word","word",0.540416085447354
"άρρωστος","εγώ θα","related","word","word",NA
"εκεί","εδώ","related","word","word",0.681717210804528
"οικειοθελώς","εθελοντής","related","word","word",0.377898102011916
"παγκόσμια","εθνικός","related","word","word",0.335609252144172
"μοναδικός","ειδικός","related","word","word",0.414230448594204
"φωτογραφία","εικόνα","related","word","word",0.593453579247284
"ατλαντικός","ειρηνικός","related","word","word",0.424388231788791
"ειρωνικός","ειρωνεία","related","word","word",0.46336392788183
"βάζω","εισάγετε","related","word","word",0.218119087098375
"πηγαίνω","εισαγω","related","word","word",0.246537577335765
"επίθεση","εισβολή","related","word","word",0.619317687422947
"διαβατήριο","εισιτήριο","related","word","word",0.569379148522133
"δισεκατομμύριο","εκατομμύριο","related","word","word",0.850385409327966
"επιχειρηματίας","εκατομμυριούχος","related","word","word",0.48513389054351
"δικαιοσύνη","εκδίκηση","related","word","word",0.512836789233685
"λογικός","έκθεση","related","word","word",0.0786221462562969
"έκθεση","εκθεσιακός χώρος","related","word","word",NA
"παρεκκλήσι","εκκλησία","related","word","word",0.615469562867787
"φανταστικός","εκπληκτικός","related","word","word",0.740388361832422
"απογοήτευση","έκπληξη","related","word","word",0.377392268899779
"εκραγεί","έκρηξη","related","word","word",0.446599778992858
"το πολύ","ελάχιστο","related","word","word",NA
"επαληθεύω","έλεγχος","related","word","word",0.205482394370382
"χειραγωγώ","έλεγχος","related","word","word",0.147875570463499
"δημοκρατία","ελευθερία","related","word","word",0.531234329457337
"ελεύθερος","ελευθερώς","related","word","word",NA
"γοητευτικός","ελκυστικός","related","word","word",0.747167064529109
"πίστη","ελπίδα","related","word","word",0.463270718530359
"η γνώση","εμπειρία","related","word","word",NA
"ειδικός","εμπειρογνώμονας","related","word","word",0.615305967683205
"πιστεύω","εμπιστοσύνη","related","word","word",0.255748674229324
"έμπνευση","εμπνέω","related","word","word",0.432664344893603
"πρόκληση","εμπόδιο","related","word","word",0.214370944257647
"έμπορος","εμπορικός","related","word","word",0.406036309944277
"όπισθεν","εμπρός","related","word","word",0.196631569159586
"στρατός","εμφύλιος","related","word","word",0.437540490601675
"τρία","ένας","related","word","word",0.148632857322187
"δόξα","ένδοξος","related","word","word",0.371243926036349
"δραστηριότητα","ενεργός","related","word","word",0.352493479519504
"μητρική εταιρεία","ενήλικας","related","word","word",NA
"πάθος","ενθουσιασμός","related","word","word",0.479438115760304
"σπανίως","ενίοτε","related","word","word",0.446760235933965
"ορισμός","έννοια","related","word","word",0.44742611472691
"σημασια","έννοια","related","word","word",0.23463827416175
"ενοίκιο","ενοικίαση","related","word","word",0.49793823170906
"σπιτονοικοκύρης","ενοικιαστής","related","word","word",0.597308051452244
"παράγραφος","ενότητα","related","word","word",0.40083357668032
"διαίσθηση","ένστικτο","related","word","word",0.56207569822862
"ναι","εντάξει","related","word","word",0.353400207215194
"σειρά","εντολή","related","word","word",0.198748806899818
"συναισθημα","εντύπωση","related","word","word",0.172479927972262
"φοβερο","εντυπωσιακο","related","word","word",0.611557622161872
"θεαματικός","εντυπωσιακός","related","word","word",0.640047484248716
"αξιοσημείωτος","εξαιρετικός","related","word","word",0.58078589632608
"αφαιρώ","εξαλείφω","related","word","word",0.382535620081769
"μετάλλαξη","εξέλιξη","related","word","word",0.448151628098007
"ερευνώ","εξετάζω","related","word","word",0.522538668962408
"επιθεώρηση","εξέταση","related","word","word",0.476261807177724
"εύλογος","εξήγηση","related","word","word",0.321355820517761
"είσοδος","έξοδος","related","word","word",0.740446502336723
"εξοπλίζω","εξοπλισμός","related","word","word",0.369774296629832
"ενέργεια","εξουσία","related","word","word",0.366290426374406
"μεγάλος","έξοχος","related","word","word",0.401281032029763
"έξυπνος","έξυπνος","related","word","word",1
"σχετικά με","έξω","related","word","word",NA
"μέσα","εξω απο","related","word","word",NA
"πολύ","επακρώς","related","word","word",NA
"επείγον","επείγων","related","word","word",0.687896014628284
"διαδικασία","επεξεργάζομαι, διαδικασία","related","word","word",NA
"γενέθλια","επέτειος","related","word","word",0.531786162773495
"οδηγός","επιβάτης","related","word","word",0.543867329919366
"επιβεβαιώνω","επιβεβαίωση","related","word","word",0.54950088122074
"κέικ","επιδόρπιο","related","word","word",0.575696216166177
"επίτροπος","επιθεωρητής","related","word","word",0.514011926685741
"επιθυμία","επιθυμία","related","word","word",1
"επικίνδυνος","επικίνδυνος","related","word","word",1
"σύνδεση","επικοινωνία","related","word","word",0.640200519538998
"επιλέγω","επιλέγω","related","word","word",1
"επιλογή","επιλογή","related","word","word",1
"πρόσθετος","επιπλέον","related","word","word",0.506599637797413
"αποτέλεσμα","επιρροή","related","word","word",0.222565022629915
"επίσημος","επίσημα","related","word","word",0.449195673768968
"καρδινάλιος","επίσκοπος","related","word","word",0.538487929166595
"αφήνω","επιτρέπω","related","word","word",0.555109427532239
"προμηθεύω","επιτρέπω","related","word","word",0.267801230016297
"επιτροπή","επιτροπή","related","word","word",1
"αποτυχία","επιτυχία","related","word","word",0.620745224156629
"λειτουργικός","επιχειρήσεων","related","word","word",0.309165705603063
"επαγγελματίας","ερασιτέχνης","related","word","word",0.62750798212138
"όργανο","εργαλείο","related","word","word",0.492588521754265
"γκαράζ","εργαστηρι","related","word","word",0.230639538479564
"αποστολή","έργο","related","word","word",0.378030946447494
"πρόγραμμα","έργο","related","word","word",0.369921054064697
"παραγωγή","εργοστάσιο","related","word","word",0.33674187621524
"μελέτη","έρευνα","related","word","word",0.573385637059692
"κοιλάδα","έρημος","related","word","word",0.386150981399434
"εραστής","ερωμένη","related","word","word",0.475521172007204
"παρακαλώ","ερώτηση","related","word","word",0.209082206075097
"εξωτερικός","εσωτερικός","related","word","word",0.858014704467901
"πρακτορείο","εταιρεία","related","word","word",0.444694567936445
"εταιρεία","εταιρία","related","word","word",0.920151351468568
"προετοιμάζω","έτοιμος","related","word","word",0.347603299198931
"γενναίος","ευγενής","related","word","word",0.554234183762159
"φιλικός","ευγενικός","related","word","word",0.705756543177419
"ευχαριστώ","ευγνώμων","related","word","word",0.434061553465595
"καθήκον","ευθύνη","related","word","word",0.399880779489801
"δυνατότητα","ευκαιρία","related","word","word",0.520144691953628
"χαρά","ευχαρίστηση","related","word","word",0.700085268918447
"νεαρός","εφηβική","related","word","word",0.149119645981325
"όνειρο","εφιάλτης","related","word","word",0.510199408672218
"αντίπαλος","εχθρός","related","word","word",0.536849639401526
"σοκολάτα","ζάχαρη","related","word","word",0.572706076565773
"κρύο","ζεστό","related","word","word",0.606981963079227
"δροσερός","ζεστός","related","word","word",0.656758712023564
"θυμωμένος","ζηλιάρης","related","word","word",0.559633552717522
"αίτηση","ζήτηση","related","word","word",0.249845450814145
"δάσος","ζούγκλα","related","word","word",0.514119493251394
"επιζώ","ζω","related","word","word",0.337641683372894
"νεκρός","ζωντανός","related","word","word",0.658372543613387
"τσίρκο","ζωολογικοσ κηποσ","related","word","word",NA
"αυγή","η δυση του ηλιου","related","word","word",NA
"ψήφος","η πλειοψηφία","related","word","word",NA
"μαθηματικά","η φυσικη","related","word","word",NA
"ακόμη","ήδη","related","word","word",0.440059855904331
"πρόγραμμα","ημερολόγιο","related","word","word",0.326852713369843
"σωτήρας","ήρωας","related","word","word",0.534233419662105
"ηρεμία","ησυχια","related","word","word",0.459662852878426
"νικητής","ηττημένος","related","word","word",0.586857649466495
"ωκεανός","θάλασσα","related","word","word",0.521174564756088
"πολεμικο ναυτικο","θαλάσσια","related","word","word",NA
"δέντρο","θάμνος","related","word","word",0.501431399758599
"μοιραίος","θανάσιμα","related","word","word",0.290436662777935
"εξαφάνιση","θάνατος","related","word","word",0.305371014223362
"προσδιορισμός","θάρρος","related","word","word",0.129491355024377
"εκτιμώ","θαυμάζω","related","word","word",0.59125845482383
"προοπτική","θέα","related","word","word",0.322232334071321
"μπαμπάς","θείος","related","word","word",0.645435664922322
"θεϊκός","θεός","related","word","word",0.36450168196408
"θεραπευτική αγωγή","θεραπεία","related","word","word",NA
"θερμοκρασία","θερμότητα","related","word","word",0.596700114928585
"τοποθεσία","θέση","related","word","word",0.351379429603925
"αρνητικός","θετικός","related","word","word",0.785038007803128
"ζώο","θηρίο","related","word","word",0.585829571997691
"πλούτος","θησαυρός","related","word","word",0.511159546723203
"ήχος","θόρυβος","related","word","word",0.699154019216605
"κομμάτι","θραύσμα","related","word","word",0.481249402022525
"επιτεθείς","θύμα","related","word","word",0.172794403565008
"οργή","θυμός","related","word","word",0.519754779227957
"ψυχολογικός","ιατρικός","related","word","word",0.544358087752345
"τέλειος","ιδανικός","related","word","word",0.643881304455017
"θεωρία","ιδέα","related","word","word",0.444323966421898
"ιδιοκτήτης","ιδιοκτησία","related","word","word",0.46311957250271
"επιστήμονας","ιδιοφυία","related","word","word",0.454411354594641
"μυστικότητα","ιδιωτικός","related","word","word",0.242280021299184
"ευτυχισμένος","ικανοποιημένοι","related","word","word",0.435938260259945
"μόλυνση","ιός","related","word","word",0.468080422207528
"ιούλιος","ιούνιος","related","word","word",0.648045215373677
"πυροβολικό","ιππικό","related","word","word",0.533385580995683
"αρμονία","ισορροπία","related","word","word",0.475246073484249
"χρήση","ισχύουν","related","word","word",0.134293368161203
"αδύναμος","ισχυρός","related","word","word",0.567412029207006
"πρόεδρος","καγκελάριος","related","word","word",0.552725446642418
"πλύση","καθαρη","related","word","word",0.300350408361907
"εβδομαδιαίος","καθημερινά","related","word","word",0.316745917862826
"χριστιανός","καθολικός","related","word","word",0.610212829614195
"ρώμη","καίσαρας","related","word","word",0.450911470558293
"σκληρότητα","κακό","related","word","word",0.192747862936232
"ζωγράφος","καλλιτέχνης","related","word","word",0.701123149198107
"παπάς","καλόγερος","related","word","word",0.542540643761027
"χειμώνας","καλοκαίρι","related","word","word",0.596892892926902
"κακό","καλός","related","word","word",0.341699890071362
"κρύβω","κάλυμμα","related","word","word",0.247386536084311
"σύρμα","καλώδιο","related","word","word",0.68919756513674
"εκλογή","καμπάνια","related","word","word",0.522650817790347
"κατάστρωμα","καμπίνα","related","word","word",0.458122614049665
"νέα","κανάλι","related","word","word",0.160805100152566
"κρεβάτι","καναπές","related","word","word",0.428623770821513
"βανίλια","κανέλα","related","word","word",0.647588772816433
"πρωτόκολλο","κανόνας","related","word","word",0.418459731668702
"οργανώνω","κανονίζω","related","word","word",0.550934009769291
"συνήθως","κανονικά","related","word","word",0.29493677036057
"πληροφορώ","κανω αναφορα","related","word","word",NA
"εστιατόριο","καπηλειό","related","word","word",0.423367648027475
"πούρο","καπνός","related","word","word",0.322233361296656
"τσιγάρο","καπνός","related","word","word",0.366479512880756
"λάδι","κάρβουνο","related","word","word",0.416023014370172
"φήμη","καριέρα","related","word","word",0.461356065572118
"φεστιβάλ","καρναβάλι","related","word","word",0.47797767195342
"δόντι","καρφί","related","word","word",0.290956166578002
"ψάρι","καρχαρίας","related","word","word",0.529342222561148
"εκ προθέσεως","κατά λάθος","related","word","word",NA
"κατηγορία","καταγγελία","related","word","word",0.383910702553016
"μασάω","καταπιεί","related","word","word",0.28347163260499
"μάγισσα","κατάρα","related","word","word",0.480509515191641
"χτίζω","κατασκευή","related","word","word",0.368241658106588
"χωριό","κατασκήνωση","related","word","word",0.322743013125731
"σαμποτάζ","κατασκοπεία","related","word","word",0.384391114413675
"προδότης","κατάσκοπος","related","word","word",0.622606867938865
"κρίση","κατάσταση","related","word","word",0.349118513600737
"θέση","κατάσταση","related","word","word",0.405757805581223
"κατάστημα","κατάστημα","related","word","word",1
"καταφύγιο","καταφύγιο","related","word","word",1
"πάνω","κάτω","related","word","word",0.593780673492473
"μπλε","καφέ","related","word","word",0.320372443542405
"καθετήρας","κάψουλα","related","word","word",0.30889636800438
"ποίημα","κείμενο","related","word","word",0.477767365911064
"σφυρίζω","κέρατο","related","word","word",0.242659524348403
"νίκη","κέρδος","related","word","word",0.257549525244514
"εισόδημα","κέρδος","related","word","word",0.484493324735381
"μαγιονέζα","κέτσαπ","related","word","word",0.543904194680088
"πόλη","κεφάλαιο","related","word","word",0.0653735860704327
"γραμμάριο","κιλό","related","word","word",0.630355656488645
"κίνδυνος","κίνδυνος","related","word","word",1
"θέατρο","κινηματογράφος","related","word","word",0.500517981284176
"μεταφορα","κίνηση","related","word","word",0.215511527999921
"άλλοθι","κίνητρο","related","word","word",0.515843021821881
"ληστεύω","κλέβω","related","word","word",0.56769759743584
"κλειδαριά","κλειδί","related","word","word",0.49380796441286
"κλειστό","κλειδωμένος","related","word","word",0.366191654432136
"εγκληματίας","κλέφτης","related","word","word",0.588838209615463
"κληρονομώ","κληρονομία","related","word","word",0.794494688431043
"τηλέφωνο","κλήση","related","word","word",0.421689924807987
"ληστεία","κλοπή","related","word","word",0.610499597225974
"γερουσία","κοινοβούλιο","related","word","word",0.5125956195883
"κοινότητα","κοινωνία","related","word","word",0.615165696285929
"παρακολουθώ","κοίτα","related","word","word",0.220198682631563
"ηρωίνη","κοκαΐνη","related","word","word",0.759466989051927
"εντυπωσιάζω","κολακεύω","related","word","word",0.546895652889598
"πανεπιστήμιο","κολλέγιο","related","word","word",0.778908568225709
"πέος","κόλπος","related","word","word",0.397440267434698
"περιοχή","κομητεία","related","word","word",0.441469474253284
"μακριά","κοντά","related","word","word",0.452787880610444
"υιός","κόρη","related","word","word",0.224510204382678
"αγόρι","κορίτσι","related","word","word",0.835068593176963
"τίμιος","κόσμιος","related","word","word",0.51501510083636
"τουρκία","κοτόπουλο","related","word","word",0.21095244551416
"πετσέτα","κουβέρτα","related","word","word",0.599826697019078
"παιχνίδι","κούκλα","related","word","word",0.233722114966386
"τύπος","κουμπί","related","word","word",0.167119953152277
"πεινασμένος","κουρασμένος","related","word","word",0.666611873640238
"πιρούνι","κουτάλι","related","word","word",0.625437807828249
"τσάντα","κουτί","related","word","word",0.500151664193855
"σκάνδαλο","κουτσομπολιό","related","word","word",0.469754060677726
