"hy_target","hy_cue","type","target_type","cue_type","hy_cosine"
"նախադասություն","բանաձեվ","related","word","word",NA
"ելակ","բանան","related","word","word",0.457139627268089
"գրող","բանաստեղծ","related","word","word",0.613435926242916
"խումբ","բանդա","related","word","word",0.106849845731483
"ֆինանսական","բանկ","related","word","word",0.377367581227768
"ներդրող","բանկիր","related","word","word",0.458411039097632
"արտահայտություն","բառարան","related","word","word",0.253301719211698
"գործնականում","բառացիորեն","related","word","word",0.209438124791873
"ֆուտբոլ","բասկետբոլ","related","word","word",0.445720989478116
"բավարար","բավական","related","word","word",0.559740127943064
"նվիրատվություն","բարեգործություն","related","word","word",0.56938813748082
"բայ","բարեւ","related","word","word",0.21967315474276
"ցատկել","բարձրանալ","related","word","word",0.402104999893309
"կոմսուհի","բարոն","related","word","word",0.375427958225428
"փակել","բաց անել","related","word","word",NA
"հատկանշական","բացառիկ","related","word","word",0.212500021631684
"հավանական","բացատրություն","related","word","word",0.345263384358527
"ամբողջովին","բացարձակապես","related","word","word",0.31361645797897
"փակող","բացում","related","word","word",0.339223266148751
"շարժիչ","բաք","related","word","word",0.11809836193111
"կտոր","բեկոր","related","word","word",0.300222641387225
"նավահանգիստ","բեյս","related","word","word",0.200008056727604
"բեռ","բեռ","related","word","word",1
"պողպատ","բետոն","related","word","word",0.487818432000824
"քիթ","բերան","related","word","word",0.395438410224569
"ուղարկել","բերել","related","word","word",0.285112456186034
"հոգեբանական","բժշկական","related","word","word",0.381023383303637
"լեռ","բլուր","related","word","word",0.456961004768229
"ֆինանսավորում","բյուջե","related","word","word",0.57279076817395
"ինտուիցիա","բնազդ","related","word","word",0.330106729940138
"արհեստական","բնական","related","word","word",0.599654799863729
"ընդհանուր առմամբ","բնականաբար","related","word","word",NA
"ժողովուրդ","բնակչություն","related","word","word",0.380357615618447
"դասական","բնորոշ","related","word","word",0.217413038892371
"անձնավորություն","բնութագիր","related","word","word",0.325513856324849
"պատճեն","բնօրինակ","related","word","word",0.430865263475482
"ցույց","բողոք","related","word","word",0.14803317728457
"պարգեւատրում","բոնուս","related","word","word",NA
"ձու","բույն","related","word","word",0.367992936106159
"կառուցվածք","բուրգ","related","word","word",0.299569796423042
"բանտ","բջիջ","related","word","word",0.205758397536515
"ալֆա","բրենդ","related","word","word",0.126297122224528
"հատակից","գագաթ","related","word","word",0.250512000754728
"վառելանյութ","գազ","related","word","word",0.444953502705513
"կենդանի","գազան","related","word","word",0.288629800059914
"տեսություն","գաղափար","related","word","word",0.377998828914796
"ֆեդերացիա","գաղութ","related","word","word",0.278299953327456
"առեղծված","գաղտնի","related","word","word",0.29481777552091
"մեղադրանք","գանգատ","related","word","word",0.358515591824756
"հարստություն","գանձ","related","word","word",0.372397451015888
"սուրճ","գավաթ","related","word","word",0.32257309401427
"մեդալ","գավաթ","related","word","word",0.290819050822013
"աշուն","գարուն","related","word","word",0.444703079210881
"պատառաքաղ","գդալ","related","word","word",0.467248031013004
"գեղեցիկ","գեղեցիկ","related","word","word",1
"ռեակտոր","գեներատոր","related","word","word",0.412635509150813
"լիճ","գետ","related","word","word",0.46003248997288
"հիանալի","գերազանց","related","word","word",0.43209350001742
"պարանորմալություն","գերբնական","related","word","word",NA
"գերեզմանատուն","գերեզման","related","word","word",0.812219305115676
"բատմեն","գերմարդ","related","word","word",NA
"շամպայն","գինի","related","word","word",0.381398579746095
"երեկո","գիշերօթիկ","related","word","word",0.158191639967696
"հասկանալ","գիտակցել","related","word","word",0.56031004153109
"ավտոբուս","գնացք","related","word","word",0.519921328568886
"գումարտակ","գնդեր","related","word","word",0.446094671124241
"վաճառել","գնել","related","word","word",0.652046658274826
"թենիս","գոլֆ","related","word","word",0.492505705960693
"երջանիկ","գոհ","related","word","word",0.336880013685873
"հանցագործ","գող","related","word","word",0.48457029244768
"թալանել","գողանալ","related","word","word",0.416104308814551
"կողոպուտ","գողություն","related","word","word",0.52224862440359
"մարկետինգ","գովազդ","related","word","word",0.425259254857938
"խուզարկու","գործակալ","related","word","word",0.352851385948094
"ֆունկցիոնալ","գործառնական","related","word","word",0.440362137698723
"արտադրություն","գործարան","related","word","word",0.565400451806229
"ծաղիկ","գործարան","related","word","word",0.145144811241319
"վիրաբուժություն","գործել","related","word","word",0.135133866426132
"գործիք","գործիք","related","word","word",1
"տարր","գործոն","related","word","word",0.39090692958356
"մողես","գորտ","related","word","word",0.462900579053963
"գումար","գումար","related","word","word",1
"մինուս","գումարած","related","word","word",0.23965619754136
"ափսե","գունդ","related","word","word",0.302676015088885
"թանգարան","գրադարան","related","word","word",0.494398713335409
"ձայնագրությունը","գրառում","related","word","word",0.330146279687148
"գրասենյակ","գրասեղան","related","word","word",0.515995099188806
"հմայիչ","գրավիչ","related","word","word",0.478237603995676
"բռնել","գրավում","related","word","word",0.16380463249539
"օգնական","գրեկ քարտուղար","related","word","word",NA
"հիվանդություն","գրիպ","related","word","word",0.557720655369798
"դրամապանակ","գրպան","related","word","word",0.479818783778637
"հուղարկավորություն","դագաղ","related","word","word",0.447822819350859
"դաժան","դաժան","related","word","word",1
"աղախին","դայակ","related","word","word",0.390386335338224
"արագ","դանդաղ","related","word","word",0.609207963413967
"արագ","դանդաղկոտ","related","word","word",NA
"կիթառ","դաշնամուր","related","word","word",0.652332173353035
"պետություն","դաշնային","related","word","word",0.304602904320409
"սպի","դաջվածք","related","word","word",0.28604069853977
"դպրոց","դասավորել","related","word","word",0.0927943871248883
"խարդախություն","դավադրություն","related","word","word",0.520865550296645
"լի","դատարկ","related","word","word",0.307972580203915
"տասնամյակ","դար","related","word","word",0.415871764802147
"անելանելի","դարձնել","related","word","word",0.230893409192472
"վանիլ","դարչին","related","word","word",0.553230026557664
"պրոֆեսոր","դեկան","related","word","word",0.544777756350766
"հաբ","դեղահատ","related","word","word",0.131710845654892
"դեռահաս","դեռահաս","related","word","word",1
"մատնահետք","դեսանոց","related","word","word",NA
"տորթ","դեսերտ","related","word","word",0.368534414320118
"նախարար","դեսպան","related","word","word",0.423227236255885
"ծառայել","դեսպանություն","related","word","word",0.172230688470676
"ժմչփ","դետոնատոր","related","word","word",NA
"վերլուծում","դիահավիգ","related","word","word",NA
"դիմադրել","դիմադրություն","related","word","word",0.708421571767064
"կայսրություն","դինաստիա","related","word","word",0.469233590147552
"ավարտել","դիպլոմ","related","word","word",0.408831717487022
"գնահատում","դիտողություն","related","word","word",0.351272895094467
"ներարկում","դոզան","related","word","word",0.480535895807087
"որդի","դուստր","related","word","word",0.639579006087042
"մասին","դուրս","related","word","word",0.145083414175762
"դժոխք","դրախտ","related","word","word",0.502259372191873
"բացասական","դրական","related","word","word",0.833185151737444
"կատակերգություն","դրամ","related","word","word",0.232285142686827
"պոկեր","դրամախաղ","related","word","word",NA
"ռոմանտիկ","դրամատիկական","related","word","word",0.387231481697063
"խորհրդանիշ","դրոշ","related","word","word",0.419499513235046
"ներսի","դրսի","related","word","word",0.643257427938943
"առավելագույն","եզրափակիչ","related","word","word",0.185668381190156
"ենթադրություն","եզրափակում","related","word","word",0.240711995915773
"մուտք","ելք","related","word","word",0.397911105633111
"մատուռ","եկեղեցի","related","word","word",0.648913984031202
"ատամ","եղունգ","related","word","word",0.413177160543777
"սուլոց","եղջյուր","related","word","word",0.262701896333972
"կարդինալ","եպիսկոպոս","related","word","word",0.418200583372433
"վերադարձ","ետեվ","related","word","word",NA
"շնորհակալություն","երախտապարտ","related","word","word",0.423138148285927
"զարկերակ","երակ","related","word","word",0.65367860761336
"խոստում","երաշխիք","related","word","word",0.334743328166134
"հաճախ","երբեմն","related","word","word",0.669904049309769
"միշտ","երբեք","related","word","word",0.422201859710931
"երաժիշտ","երգիչ","related","word","word",0.646459533498503
"երդում","երդվել","related","word","word",0.494539951685044
"երեխա","երեխա","related","word","word",1
"ստեղծագործություն","երեւակայություն","related","word","word",NA
"ուղի","երթուղի","related","word","word",0.443964586884085
"լյարդ","երիկամ","related","word","word",0.555017079140711
"մանկություն","երիտասարդություն","related","word","word",0.53498007324762
"մետաղ","երկաթ","related","word","word",0.38484459817254
"երկնային","երկինք","related","word","word",0.467216609717864
"ազգ","երկիր","related","word","word",0.30447527558068
"թռչել","երկիր","related","word","word",0.121437916810733
"չորս","երկու","related","word","word",0.712128121736147
"երեքշաբթի","երկուշաբթի","related","word","word",0.811606280554411
"սողացող","երկչոտ","related","word","word",0.279112394649099
"պայթյուն","երկրաշարժ","related","word","word",0.46260308686126
"րոպե","երկրորդ","related","word","word",0.0935418026838286
"չորրորդ","երրորդ","related","word","word",0.843681129457794
"խոհարար","եփել","related","word","word",0.327499357493272
"զայրույթ","զայրույթ","related","word","word",1
"հեռախոս","զանգահարել","related","word","word",0.464761403833625
"մուտացիա","զարգացում","related","word","word",0.238600783036088
"ճնշում","զարկերակ","related","word","word",0.338727557959727
"պահել","զարկերակ","related","word","word",0.174297257002876
"հարսանիք","զբաղմունք","related","word","word",0.228865931086069
"զինանոց","զինանոց","related","word","word",1
"ռազմական","զինվոր","related","word","word",0.403077461273047
"հարձակվող","զոհ","related","word","word",0.180499520643994
"սուզել","զուգարան","related","word","word",0.129784443302094
"քննարկում","զրույց","related","word","word",0.363824326773927
"դինամիկ","զրպարտող","related","word","word",NA
"մոնիտոր","էկրան","related","word","word",0.287054819432061
"ճոճանակ","էշ","related","word","word",0.16886117936764
"ձիավոր","էշ","related","word","word",0.283054895490753
"գնդապետ","ընդհանուր","related","word","word",0.11841332945745
"լրիվ","ընդհանուր","related","word","word",0.233210981761045
"խանգարել","ընդհատել","related","word","word",0.370805508562939
"երեկույթ","ընդունում","related","word","word",0.138894326015518
"ընթացք","ընթացք","related","word","word",1
"էլեկտրականություն","ընթացք","related","word","word",0.236718652913791
"գրել","ընթերցում","related","word","word",0.255867877229287
"նախաճաշ","ընթրիք","related","word","word",0.500061117725014
"կորպորացիա","ընկերություն","related","word","word",0.591385485535949
"փլուզում","ընկնել","related","word","word",0.21849329246242
"ընտրել","ընտրել","related","word","word",1
"տարբերակ","ընտրություն","related","word","word",0.301561633303143
"թագավոր","թագուհի","related","word","word",0.550047856015568
"էժան","թանկ","related","word","word",0.502312063226927
"թարմացնել","թարմ","related","word","word",0.410898277121928
"ընտրող","թեկնածու","related","word","word",0.501057756140633
"չափազանցել","թերագնահատում","related","word","word",NA
"բուժում","թերապիա","related","word","word",0.575395297163062
"թռչուն","թիթեռ","related","word","word",0.462109134186194
"ուղերձ","թիվ","related","word","word",0.106724350568934
"ճամպրուկ","թղթապանակ","related","word","word",0.287434331881418
"հակառակորդ","թշնամի","related","word","word",0.447362874502343
"պաթետիկ","թշվառ","related","word","word",0.304727632997677
"եղբորորդի","թոռնիկ","related","word","word",0.346454847248065
"գրիչ","թուղթ","related","word","word",0.412379706486509
"թույլ տալ","թույլ տալ","related","word","word",NA
"հաստատում","թույլտվություն","related","word","word",0.23945798372701
"սպանել","թույն","related","word","word",0.393508939410953
"օմար","թունա","related","word","word",NA
"դանակ","թուր","related","word","word",0.423991614533756
"ծառ","թփուտ","related","word","word",0.420837783932887
"հազվադեպ","ժամանակ առ ժամանակ","related","word","word",NA
"ավանդական","ժամանակակից","related","word","word",0.4361046160756
"գալ","ժամանել","related","word","word",0.314716249277509
"անջատում","ժամանում","related","word","word",0.224702674331096
"քար","ժայռ","related","word","word",0.488358074676576
"թավուտ","ժանգոտած","related","word","word",0.222573792512242
"համաճարակ","ժանտախտ","related","word","word",0.611228848651055
"ժառանգել","ժառանգություն","related","word","word",0.559463633949144
"գործողություն","ժեստ","related","word","word",0.332350930498357
"ծիծաղել","ժպտալ","related","word","word",0.510847580358115
"կատարյալ","իդեալական","related","word","word",0.464832725055898
"կարեւորություն","իմաստ","related","word","word",0.295885633647788
"ճարտարապետ","ինժեներ","related","word","word",0.512178707551608
"որ","ինչ","related","word","word",0.493019569365803
"լուսանկարիչ","ինքնագիր","related","word","word",0.236415902504835
"սպանություն","ինքնասպանություն","related","word","word",0.720751634911992
"ֆանտազիա","իրականություն","related","word","word",0.392916728711496
"իրապես","իրականում","related","word","word",0.341662914097499
"դատախազություն","իրավաբան","related","word","word",0.399686223592304
"իշխանություն","իրավասություն","related","word","word",0.587113393401874
"սպագետտի","լազանա","related","word","word",NA
"մոմ","լամպ","related","word","word",0.362461649438869
"այո","լավ","related","word","word",0.157156967812464
"վատ","լավ","related","word","word",0.676657555634803
"իրատեսական","լավատես","related","word","word",0.32529190747571
"բանակ","լեգեոն","related","word","word",0.425097779237032
"գեյ","լեսբուհի","related","word","word",0.464672810867303
"ափ","լողափ","related","word","word",0.434149774208861
"տիկին","լորդ","related","word","word",0.342309567406422
"արեւ","լուս","related","word","word",0.301195949600847
"արեգակնային","լուսնի","related","word","word",0.496504985436537
"լռություն","լռակյաց","related","word","word",0.283264536846165
"լսել","լսել","related","word","word",1
"փորձ","լսում","related","word","word",0.123461450328351
"լրագրող","լրագրող","related","word","word",1
"քաղաքականություն","լրագրություն","related","word","word",0.475064124238655
"լրացուցիչ","լրացուցիչ","related","word","word",1
"դավաճան","լրտես","related","word","word",0.344350597703102
"սաբոտաժ","լրտեսություն","related","word","word",0.539299367865739
"դատավոր","խաղադաշտ","related","word","word",0.12650759882807
"խաղ","խաղալ","related","word","word",0.47382731467971
"ատլանտյան","խաղաղ","related","word","word",0.210149252170896
"կիրք","խանդավառություն","related","word","word",0.398297473853504
"կատաղած","խանդոտ","related","word","word",0.329133767954206
"խանութ","խանութ","related","word","word",1
"լապտեր","խավար","related","word","word",0.21577630622092
"առագաստանավ","խարիսխ","related","word","word",0.419758717411571
"բթամտություն","խելագարություն","related","word","word",NA
"խելացի","խելացի","related","word","word",1
"լողալ","խեղդել","related","word","word",0.423414637876082
"գարեջուր","խմել","related","word","word",0.462433996947661
"առաքելություն","խնդիր","related","word","word",0.295781233670258
"պտուղ","խնձոր","related","word","word",0.429217560933528
"ճամբար","խնջույք","related","word","word",0.211413348134561
"միս","խոզի միս","related","word","word",NA
"համեստ","խոնարհ","related","word","word",0.281568972453701
"մարտահրավեր","խոչընդոտ","related","word","word",0.312419161405118
"խոսել","խոսել","related","word","word",1
"խոստովանել","խոստովանել","related","word","word",1
"քարոզ","խոսք","related","word","word",0.283045897298239
"խորհուրդ տալ","խորհրդատվություն","related","word","word",NA
"սենատ","խորհրդարան","related","word","word",0.375904529670102
"լանչ","խորտիկ","related","word","word",0.297074710227664
"բարերար","խումբ","related","word","word",0.124142074360996
"գաղտնաբառ","ծածկագիր","related","word","word",0.429236301369245
"թաքցնել","ծածկոց","related","word","word",0.191331949054607
"մեծապես","ծանր","related","word","word",0.138424185597269
"ծառա","ծառա","related","word","word",1
"պահպանում","ծառայություն","related","word","word",0.260457709660233
"անհեթեթ","ծիծաղելի","related","word","word",0.471586016758911
"արարողություն","ծիսական","related","word","word",0.494591277877896
"սիգարետ","ծխախոտ","related","word","word",0.449615729683468
"լիզել","ծծել","related","word","word",0.380087685004988
"սարք","ծղոտ","related","word","word",0.26635377837965
"հղիություն","ծնունդ","related","word","word",0.282958485536813
"օվկիանոս","ծով","related","word","word",0.532880178478956
"նավաստի","ծովահեն","related","word","word",0.470858070284461
"նավաստի","ծովային","related","word","word",0.337415502921848
"նավատորմ","ծովային","related","word","word",0.518430558124653
"սիգար","ծուխ","related","word","word",0.274309245615279
"խայծ","ծուղակ","related","word","word",0.308109771408586
"համակարգիչ","ծրագիր","related","word","word",0.328837022534725
"փաթեթ","ծրար","related","word","word",0.449454372604438
"մետաղալար","կաբել","related","word","word",0.407119470175078
"առանձնասենյակ","կաբինետ","related","word","word",0.388244275440926
"կազմակերպել","կազմակերպել","related","word","word",1
"հյութ","կաթ","related","word","word",0.481937299743678
"քրիստոնյա","կաթոլիկ","related","word","word",0.48130406595276
"կատարելը","կախում","related","word","word",0.119637788082778
"կամավոր","կամավոր","related","word","word",1
"թունել","կամուրջ","related","word","word",0.412932060770935
"որոտ","կայծակ","related","word","word",0.311403262137978
"կայսր","կայսերական","related","word","word",0.578627832470772
"գոմ","կայսր","related","word","word",0.118073613935729
"նարնջի","կանաչ","related","word","word",0.426195374796615
"նստել","կանգնել","related","word","word",0.46809202562964
"կանգ առնել","կանխել","related","word","word",NA
"փող","կանխիկ","related","word","word",0.445575072156622
"արձանագրություն","կանոն","related","word","word",0.195390905988571
"նախագահ","կանցլեր","related","word","word",0.377923827544291
"շանտաժ","կաշառք տալ","related","word","word",NA
"կապ","կապ","related","word","word",1
"փողկապ","կապել","related","word","word",0.292926588224141
"գորիլա","կապիկ","related","word","word",0.367651710990057
"քաղաք","կապիտալ","related","word","word",0.162712695393429
"հաջողության հասնել","կառավարել","related","word","word",NA
"կառավարություն","կառավարում","related","word","word",0.639041035526058
"վարչական","կառավարում","related","word","word",0.286201653918902
"փառատոն","կառնավալ","related","word","word",0.445555697844787
"կասկածել","կասկածել","related","word","word",1
"փամփուշտ","կավագործ","related","word","word",0.163879798162718
"դիրք","կարգավիճակը","related","word","word",0.232469095757766
"գրել","կարդալ","related","word","word",0.451746504325959
"մեծահոգի","կարեկցող","related","word","word",0.498436831538889
"համբավ","կարիերա","related","word","word",0.297535875858212
"վերաբերմունք","կարծիք","related","word","word",0.379145578572023
"երկար","կարճ","related","word","word",0.682174177113036
"դեղնուց","կարմիր","related","word","word",0.342392720225215
"ունակություն","կարողություն","related","word","word",0.750998056241257
"լոլիկ","կարտոֆիլ","related","word","word",0.596806251309413
"կեղծ","կեղծել","related","word","word",0.511481606309635
"զզվելի","կեղտոտ","related","word","word",0.375053705791267
"կրկես","կենդանաբանական այգի","related","word","word",NA
"մեռել","կենդանի","related","word","word",0.320623397025523
"աշխատավարձ","կենսաթոշակ","related","word","word",0.478668113926883
"եռամսյակ","կես","related","word","word",0.25555121642391
"կեսօր","կեսգիշեր","related","word","word",0.594731344139444
"նշել","կետ","related","word","word",0.0173668765219284
"մայոնեզ","կետչուպ","related","word","word",0.623251686633909
"ուտել","կերակրել","related","word","word",0.52488309956139
"գրամ","կիլոգրամ","related","word","word",0.618065209405827
"մետր","կիլոմետր","related","word","word",0.516085119190526
"թատրոն","կինոթատրոն","related","word","word",0.537900904731691
"զգեստ","կիսաշրջազգեստ","related","word","word",0.6650379554068
"սոդա","կիտեմադ","related","word","word",NA
"օգտագործել","կիրառել","related","word","word",0.657717438998848
"ընտանիք","կլան","related","word","word",0.103492936363984
"շուրջը","կլոր","related","word","word",0.216915344608049
"ստորագրություն","կնիք","related","word","word",0.380475858273422
"ընկեր","կոլեգա","related","word","word",0.344459598765868
"հերոսուհի","կոկաին","related","word","word",0.0793822151313805
"պարանոց","կոկորդ","related","word","word",0.350220679193532
"քարտեզ","կողմնացույց","related","word","word",0.371144174082712
"մամուլ","կոճղ","related","word","word",0.254501347478303
"շրջան","կոմսություն","related","word","word",0.271875252468933
"վեճ","կոնֆլիկտ","related","word","word",0.492903352068585
"կոշիկ","կոշիկ","related","word","word",1
"ծանր","կոշտ","related","word","word",0.224227276165665
"խոզ","կով","related","word","word",0.497074551410301
"ծամել","կուլ տալը","related","word","word",NA
"խուլ","կույր","related","word","word",0.332558028840853
"պայքարել","կռվել","related","word","word",0.485668233989268
"թաշկինակ","կտոր","related","word","word",0.38346733405818
"կրակել","կրակոց","related","word","word",0.65494739386449
"սոուս","կրեմ","related","word","word",0.604102352162276
"եռապատիկ","կրկնակի","related","word","word",0.314231380494056
"վագոն","կցանք","related","word","word",NA
"ջերմություն","հազ","related","word","word",0.261881675050534
"հարյուր","հազար","related","word","word",0.463977154336054
"սառեցնել","հալվել","related","word","word",0.429941117676649
"հակադարձ","հակադիր","related","word","word",0.512864398435268
"պատվաստանյութ","հակաթույն","related","word","word",0.486105215729984
"պարտք","հաղթանակ","related","word","word",0.308882871579178
"տեղեկացնել","հաղորդել","related","word","word",0.399147267426647
"ազդանշան","հաճախություն","related","word","word",0.351746587864501
"սիրելի","հաճելի","related","word","word",0.31455962682486
"նվեր","հաճոյախոսություն","related","word","word",0.309431013876667
"տպավորվել","հաճույք","related","word","word",0.286405924236435
"ուրախություն","հաճույք","related","word","word",0.535472780734006
"հանդիպում","համաժողով","related","word","word",0.116012555918819
"խառնուրդ","համակցություն","related","word","word",0.310528317925369
"եսասեր","համառ","related","word","word",0.217089717100267
"ոստայն","համացանց","related","word","word",NA
"կարեկցում","համբերություն","related","word","word",0.45734323159262
"հյուծվել","համբուրել","related","word","word",0.243854908619146
"համեղ","համեղ","related","word","word",1
