"hy_cue","hy_target","hy_fake_target","hy_fake_cue","en_cue","en_target"
"առողջապահություն","կրթություն","լեթություն","առնաջապահություն","health","education"
"առջեվի","թիկունք","նեկունք","առգիվի","front","rear"
"ասեղ","ներարկիչ","ներարկրի","ասկո","needle","syringe"
"ասենք","պատմել","պաընել","ասոցք","say","tell"
"ասպարեզ","մարտադաշտ","մաաջադաշտ","ասդերեզ","arena","battlefield"
"ասպիրին","մորֆին","մոլվին","պապիրին","aspirin","morphine"
"աստված","աստվածային","աստվլլային","սիտված","god","divine"
"աստվածաշունչ","գիրք","բրրք","աստվածաշոււխ","bible","book"
"ավագ","կրտսեր","կրջբեր","ավիշ","senior","junior"
"ավելի ցածր","վերին","շարին","ավելի ցաdm","lower","upper"
"ատելություն","սեր","ւոր","որելություն","hate","love"
"ատոմային","ատոմային","ատխիային","ատգրային","atomic","nuclear"
"ատրճանակ","զենք","թվնք","ատտեանակ","pistol","weapon"
"արական","իգական","woական","արձաան","male","female"
"արգելափակված","փակ","եղկ","արգելայեկված","locked","closed"
"արգելված","արգելել","արկոլել","արցոլված","forbidden","prohibit"
"արդար","խելամիտ","խելախոտ","արգեր","fair","reasonable"
"արդեն","դեռահաս","դեռանիս","արհան","already","still"
"արդյունաբերություն","գործ","գոов","արյաունաբերություն","industry","business"
"արդյունք","արդյունք","արդյուրա","արդյուրա","result","outcome"
"արեւմուտք","արեւելք","արեւորք","արեւմոերք","west","east"
"արժանանալ","արժանի","արգենի","արժաչինալ","deserve","worthy"
"արժեք","գինը","ճանը","արուք","value","price"
"արժեքավոր","կարեւոր","կատաւոր","արժեքարդր","valuable","important"
"արիություն","որոշում","որապում","արբաւթյուն","courage","determination"
"արյան","մեզի","իոզի","արդյն","blood","urine"
"արշավ","ընտրություն","ընիտություն","արսգվ","campaign","election"
"արջ","գայլ","գաой","րիջ","bear","wolf"
"արվեստ","գրականություն","նյականություն","արփաստ","art","literature"
"արտադրող","ռեժիսոր","ռեժիցեր","արտացնող","producer","director"
"արտացոլում","հայելի","հահոլի","արտաղալում","reflection","mirror"
"արտեֆակտ","մեդալ","մեբոլ","արտեֆաւշ","artifact","medallion"
"արտիստ","նկարիչ","նկարկա","արբաստ","artist","painter"
"արտոնություն","պատիվ","պանով","արտուհւթյուն","privilege","honor"
"արցունք","կտրել","ցերել","նոցունք","tear","cut"
"արքայադուստր","իշխան","իշյոն","արքայադոփետր","princess","prince"
"արքայական","թագավորություն","գրգավորություն","արահյական","royal","kingdom"
"աֆրիկա","ամերիկա","ամյաիկա","fiրիկա","africa","america"
"բազմոց","անկողն","անկոve","բազմմա","sofa","bed"
"բաժին","պարբերություն","պայթերություն","բաղեն","section","paragraph"
"բամբասանք","խայտառակություն","խայտորակություն","բանզասանք","gossip","scandal"
"բանալի","կողպել","կոջոել","բանարկ","key","lock"
"բանաձեվ","նախադասություն","նախաղըսություն","բանասյվ","word","sentence"
"բանան","ելակ","ովակ","բասին","banana","strawberry"
"բանաստեղծ","գրող","գրագ","բանաստզած","poet","writer"
"բանդա","խումբ","ընւմբ","բաղնա","gang","group"
"բանկ","ֆինանսական","ֆինաոշական","բագո","banking","financial"
"բանկիր","ներդրող","ներդավղ","բասդիր","banker","investor"
"բառարան","արտահայտություն","արտահաիրություն","բաէկրան","dictionary","phrase"
"բառացիորեն","գործնականում","գոեևնականում","բառացինցեն","literally","practically"
"բասկետբոլ","ֆուտբոլ","ֆուտթալ","բասկետւյլ","basketball","football"
"բավական","բավարար","ացվարար","ացվական","enough","sufficient"
"բարեգործություն","նվիրատվություն","քոիրատվություն","բարեղբրծություն","charity","donation"
"բարեւ","բայ","ծոյ","բաչու","hello","bye"
"բարձրանալ","ցատկել","ցագվել","բարձմենալ","climb","jump"
"բարոն","կոմսուհի","կոտյուհի","բամին","baron","countess"
"բաց անել","փակել","փանիլ","բաաոանել","open","close"
"բացառիկ","հատկանշական","հատկանշարքն","բատոռիկ","exceptional","remarkable"
"բացատրություն","հավանական","հավածքկան","բաենտրություն","explanation","plausible"
"բացարձակապես","ամբողջովին","ամբողջւսին","բաբերձակապես","absolutely","completely"
"բացում","փակող","փայլղ","բառեւմ","opening","closure"
"բաք","շարժիչ","շարժար","յեք","tank","engine"
"բեկոր","կտոր","поոր","բեսիր","fragment","piece"
"բեյս","նավահանգիստ","նավահանգվատ","բելկ","bay","harbor"
"բեռ","բեռ","շառ","ֆսռ","load","cargo"
"բետոն","պողպատ","պոնաատ","բեբին","concrete","steel"
"բերան","քիթ","աղթ","վիրան","mouth","nose"
"բերել","ուղարկել","ուղաացել","նորել","bring","send"
"բժշկական","հոգեբանական","հոգեղենական","բժրեական","medical","psychological"
"բլուր","լեռ","կառ","նտուր","hill","mountain"
"բյուջե","ֆինանսավորում","ֆինարքավորում","բյումկ","budget","funding"
"բնազդ","ինտուիցիա","ինգեւիցիա","բնվադ","instinct","intuition"
"բնական","արհեստական","պահեստական","աշական","natural","artificial"
"բնականաբար","ընդհանուր առմամբ","ընդհանուր լոմամբ","բնակհրաբար","naturally","generally"
"բնակչություն","ժողովուրդ","ժոմավուրդ","աղակչություն","population","people"
"բնորոշ","դասական","դասահմն","աղորոշ","typical","classic"
"բնութագիր","անձնավորություն","անտրավորություն","աշութագիր","character","personality"
"բնօրինակ","պատճեն","պաալեն","աղօրինակ","original","copy"
"բողոք","ցույց","ցոյաց","բոեռք","protest","demonstration"
"բոնուս","պարգեւատրում","պարգեւատկաւմ","ջենուս","bonus","reward"
"բույն","ձու","աքւ","բորոն","nest","egg"
"բուրգ","կառուցվածք","կառուցվաջը","քաւրգ","pyramid","structure"
"բջիջ","բանտ","բաия","բջբե","cell","prison"
"բրենդ","ալֆա","ալեզ","նդենդ","bravo","alpha"
"գագաթ","հատակից","հաջոկից","գահոթ","top","bottom"
"գազ","վառելանյութ","վագիլանյութ","րեզ","gas","fuel"
"գազան","կենդանի","ունդանի","գաիին","beast","animal"
"գաղափար","տեսություն","տեղեւթյուն","գաղաթըր","idea","theory"
"գաղութ","ֆեդերացիա","ֆեդերաինա","գաղոցն","colony","federation"
"գաղտնի","առեղծված","առոգծված","գաբենի","secret","mystery"
"գանգատ","մեղադրանք","մերձդրանք","գատկատ","complaint","accusation"
"գանձ","հարստություն","հանոտություն","գաhy","treasure","wealth"
"գավաթ","սուրճ","սովոճ","գակոթ","cup","coffee"
"գավաթ","մեդալ","մեբոլ","գակոթ","trophy","medal"
"գարուն","աշուն","ծնուն","թորուն","spring","autumn"
"գդալ","պատառաքաղ","պատառածնղ","ռսալ","spoon","fork"
"գեղեցիկ","գեղեցիկ","գեմացիկ","գեմացիկ","pretty","beautiful"
"գեներատոր","ռեակտոր","ոնակտոր","իրներատոր","generator","reactor"
"գետ","լիճ","ւրճ","ենտ","river","lake"
"գերազանց","հիանալի","վնանալի","գերազարք","excellent","great"
"գերբնական","պարանորմալություն","պարանոռյալություն","գեեևնական","supernatural","paranormal"
"գերեզման","գերեզմանատուն","գերեերանատուն","գերեերան","grave","cemetery"
"գերմարդ","բատմեն","բալյեն","գերմուդ","superman","batman"
"գինի","շամպայն","շազդայն","ւանի","wine","champagne"
"գիշերօթիկ","երեկո","երւսո","գիշեդնթիկ","night","evening"
"գիտակցել","հասկանալ","հադյանալ","բրտակցել","realize","understand"
"գնացք","ավտոբուս","ավտոմսւս","գնսեք","train","bus"
"գնդեր","գումարտակ","գումարուկ","գնշար","regiment","battalion"
"գնել","վաճառել","վաճանչլ","ալել","buy","sell"
"գոլֆ","թենիս","թեհաս","գոյե","golf","tennis"
"գոհ","երջանիկ","երպենիկ","դեհ","satisfied","happy"
"գող","հանցագործ","հանցագռած","րեղ","thief","criminal"
"գողանալ","թալանել","թաեմնել","գոլինալ","steal","rob"
"գողություն","կողոպուտ","կողոցիւտ","գոհաւթյուն","theft","robbery"
"գովազդ","մարկետինգ","մանֆետինգ","գովաni","advertising","marketing"
"գործակալ","խուզարկու","խոլմարկու","գործակտը","agent","detective"
"գործառնական","ֆունկցիոնալ","ֆոսակցիոնալ","գործառողկան","operational","functional"
"գործարան","արտադրություն","արանդրություն","գոաջարան","factory","production"
"գործարան","ծաղիկ","ծաբեկ","գոաջարան","plant","flower"
"գործել","վիրաբուժություն","վիրագիւժություն","գունել","operate","surgery"
"գործիք","գործիք","գործծի","գործռի","tool","instrument"
"գործոն","տարր","տաup","գոարոն","factor","element"
"գորտ","մողես","մուծս","գովե","frog","lizard"
"գումար","գումար","գումլը","գումլը","sum","amount"
"գումարած","մինուս","ֆենուս","գումարող","plus","minus"
"գունդ","ափսե","ափas","գոերդ","bowl","plate"
"գրադարան","թանգարան","թամաարան","թաադարան","library","museum"
"գրառում","ձայնագրությունը","քնյնագրությունը","ամառում","record","recording"
"գրասեղան","գրասենյակ","գրգռենյակ","գրասբրան","desk","office"
"գրավիչ","հմայիչ","եթայիչ","գրավվո","attractive","charming"
"գրավում","բռնել","եանել","թաավում","grab","catch"
"գրեկ քարտուղար","օգնական","ողնական","գրած քարտուղար","secretary","assistant"
"գրիպ","հիվանդություն","հիվալյություն","գրum","flu","disease"
"գրպան","դրամապանակ","դրամյգանակ","գրալն","pocket","wallet"
"դագաղ","հուղարկավորություն","հովնարկավորություն","դացեղ","coffin","funeral"
"դաժան","դաժան","դարմն","դաեյն","brutal","cruel"
"դայակ","աղախին","աղախթա","դահլկ","nanny","maid"
"դանդաղ","արագ","արկէ","դանդms","slowly","quickly"
"դանդաղկոտ","արագ","արկէ","դանդզմկոտ","slow","fast"
"դաշնամուր","կիթառ","կիգիռ","դաասամուր","piano","guitar"
"դաշնային","պետություն","ապտություն","դաչկային","federal","state"
"դաջվածք","սպի","զդի","դաջվւնք","tattoo","scar"
"դասավորել","դպրոց","էքրոց","դարկվորել","class","school"
"դավադրություն","խարդախություն","խարդենություն","ծովադրություն","conspiracy","fraud"
"դատարկ","լի","սպ","դատալո","empty","full"
"դար","տասնամյակ","տասնամերկ","զեր","century","decade"
"դարձնել","անելանելի","անրհանելի","դաբանել","make","do"
"դարչին","վանիլ","վաեյլ","դաևնին","cinnamon","vanilla"
"դեկան","պրոֆեսոր","պրոֆրգոր","շիկան","dean","professor"
"դեղահատ","հաբ","գիբ","դեղատետ","tablet","pill"
"դեռահաս","դեռահաս","դեռանիս","դեռաենս","teenage","teenager"
"դեսանոց","մատնահետք","մաադահետք","դենդնոց","dna","fingerprint"
"դեսերտ","տորթ","տոքո","վոսերտ","dessert","cake"
"դեսպան","նախարար","նախադրր","դերյան","ambassador","minister"
"դեսպանություն","ծառայել","ծառարալ","դերյանություն","embassy","ministry"
"դետոնատոր","ժմչփ","ջէչփ","դեդինատոր","detonator","timer"
"դիահավիգ","վերլուծում","վեոնուծում","դիահավla","autopsy","analysis"
"դիմադրություն","դիմադրել","դիմատվել","թամադրություն","resistance","resist"
"դինաստիա","կայսրություն","կախորություն","դիլիստիա","dynasty","empire"
"դիպլոմ","ավարտել","ավարելլ","դիպլia","diploma","graduate"
"դիտողություն","գնահատում","ձեահատում","դիտոմեւթյուն","observation","evaluation"
"դոզան","ներարկում","ներալաում","դորրն","dose","injection"
"դուստր","որդի","ակդի","դուսւշ","daughter","son"
"դուրս","մասին","մաքրն","դոլոս","out","about"
"դրախտ","դժոխք","դժչոք","դրիատ","paradise","hell"
"դրական","բացասական","բացառեկան","րբական","positive","negative"
"դրամ","կատակերգություն","կատակեցիություն","չաամ","drama","comedy"
"դրամախաղ","պոկեր","պոնար","դրամախլե","gambling","poker"
"դրամատիկական","ռոմանտիկ","ռոմագլիկ","դրամատվեական","dramatic","romantic"
"դրոշ","խորհրդանիշ","խորհրդանփը","դրւզ","flag","symbol"
"դրսի","ներսի","նեիրի","թոսի","outside","inside"
"եզրափակիչ","առավելագույն","սլավելագույն","էմրափակիչ","final","ultimate"
"եզրափակում","ենթադրություն","բիթադրություն","էսրափակում","conclusion","assumption"
"ելք","մուտք","մոնցք","սիք","exit","entrance"
"եկեղեցի","մատուռ","մատոեթ","լրեղեցի","church","chapel"
"եղունգ","ատամ","ռիամ","եղույր","nail","tooth"
"եղջյուր","սուլոց","սուլիմ","եղբոուր","horn","whistle"
"եպիսկոպոս","կարդինալ","կարդռեալ","եպիսկոզիս","bishop","cardinal"
"ետեվ","վերադարձ","վերադաет","ետрф","back","return"
"երախտապարտ","շնորհակալություն","թվորհակալություն","րգախտապարտ","grateful","thank"
"երակ","զարկերակ","զաեզերակ","երլը","vein","artery"
"երաշխիք","խոստում","խունում","երաշջեք","guarantee","promise"
"երբեմն","հաճախ","հաասխ","երբեյք","sometimes","often"
"երբեք","միշտ","միհա","երետք","never","ever"
"երգիչ","երաժիշտ","երաժողտ","երազչ","singer","musician"
"երդվել","երդում","ւնդում","երապել","swear","oath"
"երեխա","երեխա","երլոա","երբմա","baby","child"
"երեւակայություն","ստեղծագործություն","շաեղծագործություն","երղյակայություն","imagination","creativity"
"երթուղի","ուղի","ումն","երթոիդի","route","path"
"երիկամ","լյարդ","ախարդ","երերամ","kidney","liver"
"երիտասարդություն","մանկություն","մացնություն","երրդասարդություն","youth","childhood"
"երկաթ","մետաղ","մեքող","երմեթ","iron","metal"
"երկինք","երկնային","երւգային","երմանք","sky","heavenly"
"երկիր","ազգ","ենգ","երսար","country","nation"
"երկիր","թռչել","թռմիլ","երսար","land","fly"
"երկու","չորս","չոլն","անկու","two","four"
"երկուշաբթի","երեքշաբթի","երեքշաոհի","երկուշաբստ","monday","tuesday"
"երկչոտ","սողացող","սոսիցող","երկչձև","scary","creepy"
"երկրաշարժ","պայթյուն","պանեյուն","երկրորարժ","earthquake","explosion"
"երկրորդ","րոպե","րոap","երկրաշդ","second","minute"
"երրորդ","չորրորդ","չոբյորդ","փորորդ","third","fourth"
"եփել","խոհարար","որհարար","յզել","cook","chef"
"զայրույթ","զայրույթ","զավաույթ","զայրուռը","anger","rage"
"զանգահարել","հեռախոս","հեռաւյս","զանգահարտե","call","telephone"
"զարգացում","մուտացիա","մորկացիա","ուրգացում","evolution","mutation"
"զարկերակ","ճնշում","թմշում","զաեզերակ","pulse","pressure"
"զարկերակ","պահել","արհել","զաեզերակ","hold","keep"
"զբաղմունք","հարսանիք","հանտանիք","զբաղմոածք","engagement","wedding"
"զինանոց","զինանոց","ջանանոց","զիմինոց","arsenal","armory"
"զինվոր","ռազմական","ռաստական","ջանվոր","soldier","warrior"
"զոհ","հարձակվող","հատկակվող","սեհ","victim","attacker"
"զուգարան","սուզել","սոփչել","զուգուան","toilet","sink"
"զրույց","քննարկում","քննալիում","աճույց","conversation","discussion"
"զրպարտող","դինամիկ","դինավեկ","զրպագնող","gunpowder","dynamite"
"էկրան","մոնիտոր","մոնիքըր","raրան","screen","monitor"
"էշ","ճոճանակ","ճուտնակ","ях","ass","butt"
"էշ","ձիավոր","փլավոր","ях","donkey","horse"
"ընդհանուր","գնդապետ","գնդայոտ","ընատանուր","general","colonel"
"ընդհանուր","լրիվ","օսիվ","ընատանուր","total","complete"
"ընդհատել","խանգարել","խարտարել","ընդհորել","interrupt","disturb"
"ընդունում","երեկույթ","երրիույթ","ընդոառում","reception","party"
"ընթացք","ընթացք","ընթազն","ընթաթե","process","procedure"
"ընթացք","էլեկտրականություն","ջեեկտրականություն","ընթաթե","current","electricity"
"ընթերցում","գրել","թաել","ընթերցնեմ","reading","writing"
"ընթրիք","նախաճաշ","նախածիշ","ընթրռի","dinner","breakfast"
"ընկերություն","կորպորացիա","կոնդորացիա","փոկերություն","company","corporation"
"ընկնել","փլուզում","իոուզում","ընաբել","fall","collapse"
"ընտրել","ընտրել","ընտրոս","ընտրոս","choose","select"
"ընտրություն","տարբերակ","տասներակ","ընիտություն","choice","option"
"թագուհի","թագավոր","գրգավոր","թամաւհի","queen","king"
"թանկ","էժան","киան","թաղե","expensive","cheap"
"թարմ","թարմացնել","թամնացնել","թաue","fresh","refresh"
"թեկնածու","ընտրող","ընրկող","թեկնելու","candidate","voter"
"թերագնահատում","չափազանցել","չափառինցել","թերազիահատում","underestimate","exaggerate"
"թերապիա","բուժում","բոլոում","թերալվա","therapy","treatment"
"թիթեռ","թռչուն","ձոչուն","իմթեռ","butterfly","bird"
"թիվ","ուղերձ","ուղեет","իմվ","number","address"
"թղթապանակ","ճամպրուկ","ճաիտրուկ","թղթացենակ","briefcase","suitcase"
"թշնամի","հակառակորդ","հակառակուտ","օժնամի","enemy","opponent"
"թշվառ","պաթետիկ","պաքատիկ","ցովառ","miserable","pathetic"
"թոռնիկ","եղբորորդի","թմբորորդի","թոռնադ","grandson","nephew"
"թուղթ","գրիչ","գրկա","թոնեթ","paper","pen"
"թույլ տալ","թույլ տալ","թույյշտալ","թույյշտալ","allow","let"
"թույլտվություն","հաստատում","հաստուում","թոդելտվություն","permission","approval"
"թույն","սպանել","սպանյա","թորոն","poison","kill"
"թունա","օմար","իբար","թոթյա","tuna","lobster"
"թուր","դանակ","դաշիկ","թոլա","sword","knife"
"թփուտ","ծառ","գիռ","фиուտ","bush","tree"
"ժամանակ առ ժամանակ","հազվադեպ","հաղիադեպ","ժամանակ առդյամանակ","occasionally","rarely"
"ժամանակակից","ավանդական","րյանդական","ժամանալիկից","modern","traditional"
"ժամանել","գալ","ւյլ","իրմանել","arrive","come"
"ժամանում","անջատում","անջանքւմ","ժամայիւմ","arrival","departure"
"ժայռ","քար","ւյր","ժակբ","rock","stone"
"ժանգոտած","թավուտ","թավոսե","թենգոտած","rusty","dusty"
"ժանտախտ","համաճարակ","համալորակ","ժանտպևտ","plague","epidemic"
"ժառանգություն","ժառանգել","ժառարձել","իրռանգություն","heritage","inherit"
"ժեստ","գործողություն","գործնյություն","չհստ","gesture","act"
"ժպտալ","ծիծաղել","ծիծաշոլ","օթտալ","smile","laugh"
"իդեալական","կատարյալ","կատանդալ","իդեայոկան","ideal","perfect"
"իմաստ","կարեւորություն","կատաւորություն","թիաստ","meaning","importance"
"ինժեներ","ճարտարապետ","ճանգարապետ","ինաչներ","engineer","architect"
"ինչ","որ","զո","նաչ","what","that"
"ինքնագիր","լուսանկարիչ","լուսանկավաչ","ինքնագետ","autograph","photographer"
"ինքնասպանություն","սպանություն","րյանություն","ինւկասպանություն","suicide","murder"
"իրականություն","ֆանտազիա","ֆանտազցի","ժաականություն","reality","fantasy"
"իրականում","իրապես","իրերես","ժաականում","actually","really"
"իրավաբան","դատախազություն","դատախազոիդյուն","իրտմաբան","lawyer","prosecutor"
"իրավասություն","իշխանություն","suխանություն","իրավրվություն","jurisdiction","authority"
"լազանա","սպագետտի","սպիլետտի","լանտնա","lasagna","spaghetti"
"լամպ","մոմ","ֆիմ","լաhs","lamp","candle"
"լավ","այո","եդո","խով","okay","yeah"
"լավ","վատ","միտ","խով","good","bad"
"լավատես","իրատեսական","իրատդիական","լաակտես","optimistic","realistic"
"լեգեոն","բանակ","բատիկ","լեեդոն","legion","army"
"լեսբուհի","գեյ","ույ","լեգաուհի","lesbian","gay"
"լողափ","ափ","սխ","լոթոփ","beach","coast"
"լորդ","տիկին","փակին","լոլի","lord","lady"
"լուս","արեւ","արds","լոly","moon","sun"
"լուսնի","արեգակնային","արցոակնային","լուստե","lunar","solar"
"լռակյաց","լռություն","спություն","տչակյաց","silent","silence"
"լսել","լսել","ոնել","քվել","listen","hear"
"լսում","փորձ","փոет","unում","hearing","trial"
"լրագրող","լրագրող","օդագրող","եկագրող","reporter","journalist"
"լրագրություն","քաղաքականություն","քաղադրկանություն","եկագրություն","journalism","politics"
"լրացուցիչ","լրացուցիչ","եկացուցիչ","եկացուցիչ","extra","additional"
"լրտես","դավաճան","դավախին","լրլաս","spy","traitor"
"լրտեսություն","սաբոտաժ","սաեզտաժ","եկտեսություն","espionage","sabotage"
"խաղադաշտ","դատավոր","դատալիր","խաղադափի","court","judge"
"խաղալ","խաղ","ջող","խազիլ","play","game"
"խաղաղ","ատլանտյան","ատլարդյան","խաբող","pacific","atlantic"
"խանդավառություն","կիրք","վորք","խաձնավառություն","enthusiasm","passion"
"խանդոտ","կատաղած","կահողած","խանդխի","jealous","angry"
"խանութ","խանութ","խանորէ","խանոեյ","shop","store"
"խավար","լապտեր","լաւշեր","խակեր","darkness","light"
"խարիսխ","առագաստանավ","առագաստաբով","խարիdx","anchor","sail"
"խելագարություն","բթամտություն","ogամտություն","միլագարություն","madness","stupidity"
"խելացի","խելացի","խելաիա","խեցեցի","smart","intelligent"
"խեղդել","լողալ","լոյէլ","խեղդատ","drown","swim"
"խմել","գարեջուր","գարեացւր","ոշել","drink","beer"
"խնդիր","առաքելություն","առնցելություն","խնքեր","task","mission"
"խնձոր","պտուղ","տվուղ","խնլար","apple","fruit"
"խնջույք","ճամբար","ախմբար","քաջույք","picnic","camping"
"խոզի միս","միս","նէս","էլզի միս","pork","meat"
"խոնարհ","համեստ","հաոաստ","խոնաւչ","humble","modest"
"խոչընդոտ","մարտահրավեր","մաանահրավեր","խոշոնդոտ","obstacle","challenge"
"խոսել","խոսել","խոուլ","խորշլ","talk","speak"
"խոստովանել","խոստովանել","խոստմիանել","խոստմիանել","admit","confess"
"խոսք","քարոզ","ղերոզ","խոիֆ","speech","sermon"
