"he_target","he_cue","type","target_type","cue_type","he_cosine"
"ברווז","אוווז","related","word","word",NA
"חַמצָן","אוויר","related","word","word",NA
"כנראה","אולי","related","word","word",0.616674242960907
"סִפְרוּת","אומנות","related","word","word",NA
"נחישות","אומץ","related","word","word",0.516782490487757
"אִישִׁיוּת","אופי","related","word","word",NA
"אֵלֶגַנטִי","אופנתי","related","word","word",NA
"שְׁלוֹשָׁה","אחד","related","word","word",NA
"א brמָנִיָה","אחי","related","word","word",NA
"בִּלבּוּל","אי סדר","related","word","word",NA
"לֹא הוֹגֶן","אי צדק","related","word","word",NA
"הַרמוֹנִיָה","איזון","related","word","word",NA
"חֲתוּנָה","אירוסין","related","word","word",NA
"בן אנוש","איש","related","word","word",NA
"חיבור","איש קשר","related","word","word",NA
"אִינטִימִי","אישי","related","word","word",NA
"אלוהי","אלוהים","related","word","word",0.614654889871514
"מֵאָה","אלף","related","word","word",NA
"לְהֶאֱמִין","אמון","related","word","word",NA
"צייר","אמן","related","word","word",0.42549701015629
"לאמר","אמר","related","word","word",0.357512326535339
"צָרְפָתִית","אנגלית","related","word","word",NA
"לֶאֱסוֹר","אסור","related","word","word",NA
"להודות","אסיר תודה","related","word","word",NA
"הַלוָיָה","ארון קבורה","related","word","word",NA
"לטוס, זבוב","ארץ","related","word","word",NA
"מובן מאליו","ב  ב ירו ר","related","word","word",NA
"מִמחָטָה","ב  ד","related","word","word",NA
"בְּדִיקָה","ב  ד יק ה","related","word","word",NA
"אוֹפְּצִיָה","ב  ח יר ה","related","word","word",NA
"חינם","ב  חו פ ש  יו ת","related","word","word",NA
"בְּטִיחוּת","ב  ט חו ן","related","word","word",NA
"חזה","ב  ט ן","related","word","word",NA
"פְּלָדָה","ב  טו ן","related","word","word",NA
"דִירָה","ב  י ת","related","word","word",NA
"חַבָּלָה","ב  יו ן","related","word","word",NA
"קַרדִינָל","ב  יש ו ף","related","word","word",NA
"זוּטָר","ב  כ יר","related","word","word",NA
"משפטי","ב  לת י חו ק י","related","word","word",NA
"אי שם","ב  מ קו ם א ח ר","related","word","word",NA
"לִבנוֹת","ב  נ י ה","related","word","word",NA
"המשקיעים","ב  נק א י","related","word","word",NA
"כַּספִּי","ב  נק או ת","related","word","word",NA
"לירות","ב  ע יט ה","related","word","word",NA
"אשה","ב  ע ל","related","word","word",NA
"נוֹרמָלִי","ב  ר יא","related","word","word",NA
"חינוך","ב  ר יאו ת","related","word","word",NA
"רַעַם","ב  ר ק","related","word","word",NA
"רוֹזֶנֶת","ב  רו ן","related","word","word",NA
"מַתֶכֶת","ב  רז ל","related","word","word",NA
"בֵּן","ב  ת","related","word","word",NA
"בְּתוֹקֶף","ב  תו ק ף","related","word","word",NA
"צַעֲצוּעַ","ב ו ב  ה","related","word","word",NA
"חוֹל","ב ו ץ","related","word","word",NA
"יְהִירוּת","ב ו רו ת","related","word","word",NA
"בדרך כלל","באופן טבעי","related","word","word",NA
"בְּדֶרֶך כְּלַל","בדרך כלל","related","word","word",NA
"לַחֲלוּטִין","בהחלט","related","word","word",NA
"לְבַלוֹת","בזבוז","related","word","word",NA
"בְּתוֹך","בחוץ","related","word","word",NA
"מֵת","בחיים","related","word","word",NA
"בחר","בחר","related","word","word",1
"לבטח","בטוח","related","word","word",0.44146411566823
"פלסטיק","בטון","related","word","word",0.35618612003128
"בְּמֵזִיד","בטעות","related","word","word",NA
"עוֹלָם","בינלאומי","related","word","word",NA
"מִנזָר","בית המקדש","related","word","word",NA
"מרפאה","בית חולים","related","word","word",NA
"מִנזָר","בית יתומים","related","word","word",NA
"לִשְׁפּוֹט","בית משפט","related","word","word",NA
"תיאטרון","בית קולנוע","related","word","word",NA
"קַל","בלתי אפשרי","related","word","word",NA
"מוּזָר","בלתי שגרתי","related","word","word",NA
"בנות","בנים","related","word","word",0.701698312592995
"תּוּת","בננה","related","word","word",NA
"כֵּן","בסדר","related","word","word",NA
"מַטֶה","בסיס","related","word","word",NA
"לא ידוע","בעילום שם","related","word","word",NA
"חָשׁוּב","בעל ערך","related","word","word",NA
"בֶּאֱמֶת","בעצם","related","word","word",NA
"פָּשׁוּט","בפשטות","related","word","word",NA
"אלפא","בראו","related","word","word",0.23564348133896
"בָּשָׂר","בשר חזיר","related","word","word",NA
"אָסִיר","בת ערובה","related","word","word",NA
"מוּסִיקָה","ג  ז","related","word","word",NA
"מַשָׂאִית","ג  יפ ","related","word","word",NA
"מַדְעָן","ג או ן","related","word","word",NA
"רוֹמֵמוּת","ג או ן","related","word","word",NA
"קפה","ג ב יע ","related","word","word",NA
"הַר","ג בע ה","related","word","word",NA
"גְדוּד","ג דו ד","related","word","word",NA
"עָצוּם","ג דו ל","related","word","word",NA
"יַעַר","ג ו נג ל","related","word","word",NA
"לתדלק","ג ז","related","word","word",NA
"קוֹמוּנִיסט","ג זע ן","related","word","word",NA
"פְּלִילִי","ג נ ב","related","word","word",NA
"שׁוֹד","ג נ ב ה","related","word","word",NA
"קרקס","ג ן ח יו ת","related","word","word",NA
"גֵיהִנוֹם","ג ן ע ד ן","related","word","word",NA
"כור","ג נ ר טו ר","related","word","word",NA
"ואן","ג רו ר","related","word","word",NA
"שֶׁלֶג","ג ש  ם","related","word","word",NA
"נִרגָשׁ","גאה","related","word","word",NA
"כָּבוֹד","גאווה","related","word","word",NA
"טֶנִיס","גו לף","related","word","word",NA
"גוּפָה","גו ף","related","word","word",NA
"גוֹרָל","גו ר ל","related","word","word",NA
"אורך","גודל","related","word","word",0.410301619626136
"אֵלֵמֶנט","גורם","related","word","word",NA
"מוֹשִׁיעַ","גיבור","related","word","word",NA
"מחלת הסרטן","גידול סרטני","related","word","word",NA
"תערוכה","גלריה","related","word","word",0.566237586451583
"צוואר","גרון","related","word","word",0.401562540745233
"דאגה","ד א ג ה","related","word","word",NA
"סֵמֶל","ד ג ל","related","word","word",NA
"אב טיפוס","ד ג ם","related","word","word",NA
"פּרוֹפֶסוֹר","ד יק ן","related","word","word",NA
"שֶׁתֶן","ד ם","related","word","word",NA
"יְצִירָתִיוּת","ד מיו ן","related","word","word",NA
"קוֹמֶדִיָה","ד ר מ ה","related","word","word",NA
"רוֹמַנטִי","ד ר מ ט י","related","word","word",NA
"אַריֵה","ד ר קו ן","related","word","word",NA
"צָפוֹן","ד רו ם","related","word","word",NA
"ווסטרן","ד רו מ י","related","word","word",NA
"נְמָלָה","דבורה","related","word","word",NA
"לְדַבֵּר","דבר","related","word","word",NA
"חמאה","דבש","related","word","word",0.422413201442333
"פַקס","דו א ר","related","word","word",NA
"אַבָּא","דו ד","related","word","word",NA
"שונה","דו מ ה","related","word","word",NA
"לַחַץ","דו פ ק","related","word","word",NA
"זְאֵב","דוב","related","word","word",NA
"חרום","דחוף","related","word","word",0.321583064109645
"בוגר","דיפלומה","related","word","word",0.178904180592529
"גזירה","דמעה","related","word","word",0.228159145514562
"טביעת אצבע","דננה","related","word","word",NA
"יַחַס","דעה","related","word","word",NA
"בַּקָשָׁה","דרש","related","word","word",NA
"יְצִיאָה","ה ג ע ה","related","word","word",NA
"יָשָׁר","ה גו ן","related","word","word",NA
"אפשרות","ה זד מ נו ת","related","word","word",NA
"אָנָלִיזָה","ה ח ל ש ו ת","related","word","word",NA
"על אודות","ה חו צ ה","related","word","word",NA
"מנהלי","ה נה ל ה","related","word","word",NA
"מִתקָבֵּל עַל הַדַעַת","ה סב  ר","related","word","word",NA
"סָבִיר","ה סת ב  רו ת","related","word","word",NA
"אַכזָבָה","ה פת ע ה","related","word","word",NA
"לָתֵת","ה צ ע ה","related","word","word",NA
"כישלון","ה צל ח ה","related","word","word",NA
"מַרְאָה","ה ש ת ק פו ת","related","word","word",NA
"רֶצַח","ה תא ב  דו ת","related","word","word",NA
"חָזוֹן","ה תג לו ת","related","word","word",NA
"תשוקה","ה תל ה בו ת","related","word","word",NA
"לְהִתְנַגֵד","ה תנ ג דו ת","related","word","word",NA
"לְהִתְפּוֹצֵץ","ה תפ  ר צו ת","related","word","word",NA
"א '","האוקיינוס   השקט","related","word","word",NA
"לְהַפְעִיל","הדק","related","word","word",NA
"הֵרָיוֹן","הו ל ד ת","related","word","word",NA
"טוֹרנָדוֹ","הו ר יק ן","related","word","word",NA
"אדרנלין","הו רמו ן","related","word","word",NA
"-","הופעה","related","word","word",NA
"לאכול","הזנה","related","word","word",0.168335703190113
"חוף","החוף","related","word","word",0.697021677222762
"תחליף","החלף","related","word","word",0.407449196340268
"אתמול","היום","related","word","word",0.577722210164117
"פּוֹקֶר","הימורים","related","word","word",NA
"תִכנוּן","הכנה","related","word","word",NA
"הכרת תודה","הכנסת אורחים","related","word","word",NA
"שִׂמְחָה","הנאה","related","word","word",NA
"אֵמוּן","הערכה","related","word","word",NA
"בייקון","הרמת כוסית","related","word","word",NA
"הַשׁרָאָה","השראה","related","word","word",NA
"הֲדָחָה","התפטרות","related","word","word",NA
"התפתחות","התקדמות","related","word","word",0.538112798579953
"פְּגִישָׁה","ו ע יד ה","related","word","word",NA
"עוֹרֶק","ו ר יד","related","word","word",NA
"וודקה","וויסקי","related","word","word",0.622535965306815
"בוסטון","וושינגטון","related","word","word",0.471056867731667
"מִינוּס","ועוד","related","word","word",NA
"כסף","ז הו ב","related","word","word",NA
"שדה קרב","ז יר ה","related","word","word",NA
"נְקֵבָה","ז כ ר","related","word","word",NA
"כָּבוֹד","ז כו ת","related","word","word",NA
"בָּהִיר","זוהר","related","word","word",NA
"בקבוק","זכוכית","related","word","word",0.309090343995203
"מוּסִיקָאִי","זמרת","related","word","word",NA
"תַאֲגִיד","ח בר ה","related","word","word",NA
"קְהִלָה","ח בר ה","related","word","word",NA
"חַג","ח ג ה מו ל ד","related","word","word",NA
"חדר שינה","ח ד ר","related","word","word",NA
"חלק אחורי","ח ז ית","related","word","word",NA
"חלש","ח ז ק","related","word","word",NA
"ארוחת צהריים","ח ט יף","related","word","word",NA
"בעל חיים","ח י ה","related","word","word",NA
"שלילי","ח יו ב י","related","word","word",NA
"אָרְטִילֶרִיָה","ח יל ה פ  ר ש  ים","related","word","word",NA
"וִיטָמִין","ח ל ב ו ן","related","word","word",NA
"מְאוּבָּק","ח לו ד","related","word","word",NA
"דלת","ח לו ן","related","word","word",NA
"קַר","ח ם","related","word","word",NA
"חסר ערך","ח ס ר תו ע ל ת","related","word","word",NA
"רובע","ח צ י","related","word","word",NA
"עוֹבֵד","ח קלא י","related","word","word",NA
"סַכִּין","ח ר ב","related","word","word",NA
"פַּחַד","ח ר ד ה","related","word","word",NA
"צַלָם","ח ת ימ ה","related","word","word",NA
"כַּלָה","ח ת ן","related","word","word",NA
"מַנהִיג","חבר","related","word","word",NA
"מקצועי","חו ב ב ן","related","word","word",NA
"שָׁבוּעַ","חו ד ש ","related","word","word",NA
"הֶסכֵּם","חו ז ה","related","word","word",NA
"כּוֹפֶר","חו ט ף","related","word","word",NA
"ז'ָקֵט","חו לצ ה","related","word","word",NA
"טֶמפֶּרָטוּרָה","חו ם","related","word","word",NA
"חֶלְקִיק","חו מ ר","related","word","word",NA
"דֵמוֹקרָטִיָה","חו פ ש ","related","word","word",NA
"חוּקָה","חו ק","related","word","word",NA
"אוֹר","חו ש  ך","related","word","word",NA
"חוֹלֶה","חולה","related","word","word",NA
"כָּחוֹל","חום","related","word","word",NA
"לא מסוגל","חוסר יכולת","related","word","word",NA
"חֲתִימָה","חותמת","related","word","word",NA
"לַחֲזוֹר","חזור","related","word","word",NA
"פֶּשַׁע","חטא","related","word","word",NA
"לִצְחוֹק","חיוך","related","word","word",NA
"מַשׁדֵר","חיישן","related","word","word",NA
"מיץ","חלב","related","word","word",0.451848319024797
"תַחתִית","חלק עליון","related","word","word",NA
"סוּס","חמור","related","word","word",NA
"חֲסַר אוֹנִים","חסר ישע","related","word","word",NA
"צָרָה","חסר מזל","related","word","word",NA
"מֵדַלִיוֹן","חפץ","related","word","word",NA
"שמלה","חצאית","related","word","word",0.526992002664006
"צָהֳרַיִים","חצות","related","word","word",NA
"תאשר","חשבון","related","word","word",0.196095996468765
"שַׁרשֶׁרֶת","ט ב  ע ת","related","word","word",NA
"סִיגַרִיָה","ט ב  ק","related","word","word",NA
"מְלָאכוּתִי","ט בע י","related","word","word",NA
"מֵכָנִי","ט כנ י","related","word","word",NA
"מַדָע","ט כנו לו ג י ה","related","word","word",NA
"מִיקרוֹסקוֹפּ","ט ל סקו פ ","related","word","word",NA
"מנוע","ט נק","related","word","word",NA
"טָעִים מְאוֹד","ט ע ים","related","word","word",NA
"רֵיחַ","ט ע ם","related","word","word",NA
"שִׁיר","ט קסט","related","word","word",NA
"לְרַעֲנֵן","ט ר י","related","word","word",NA
"טוֹרֵף","ט ר ף","related","word","word",NA
"רַע","טו ב","related","word","word",NA
"לובסטר","טונה","related","word","word",0.380891903796132
"סִימָן","טופס","related","word","word",NA
"התאמה","טורניר","related","word","word",0.16699423417401
"קלַאסִי","טיפוסי","related","word","word",NA
"בדיחה","טריק","related","word","word",0.308944043695082
"רָטוֹב","י ב ש ","related","word","word",NA
"שמפנייה","י י ן","related","word","word",NA
"אוקיינוס","י ם","related","word","word",NA
"כְּנִיסָה","י צ יא ה","related","word","word",NA
"אינטואיציה","י צ ר","related","word","word",NA
"מְנַהֵל","י צר ן","related","word","word",NA
"זוֹל","י ק ר","related","word","word",NA
"סוֹלָרִי","י ר ח י","related","word","word",NA
"לגימה","י ר יד ה","related","word","word",NA
"זְרוֹעַ","יד","related","word","word",NA
"תַכשִׁיט","יהלום","related","word","word",NA
"לְעַסוֹת","יו ג ה","related","word","word",NA
"יום הולדת","יו ם ה ש  נ ה","related","word","word",NA
"יוֹם שְׁלִישִׁי","יו ם ש  נ י","related","word","word",NA
"ראוי לציון","יו צ א דו פ ן","related","word","word",NA
"צַלָף","יו ר ה","related","word","word",NA
"שְׁבוּעִי","יום יומי","related","word","word",NA
"יוֹם רִאשׁוֹן","יום שבת","related","word","word",NA
"יולי","יוני","related","word","word",0.541931404080017
"נָשׂוּי","יחיד","related","word","word",NA
"חֲלוּקָה","יחידה","related","word","word",NA
"חיל הים","ימי","related","word","word",NA
"שמאלה","ימין","related","word","word",0.501080000587395
"יפה","יפה","related","word","word",1
"הֶרֶס","יצירה","related","word","word",NA
"תפוז","ירוק","related","word","word",0.297988905031835
"שמש","ירח","related","word","word",0.428580584775825
"סביר","יריד","related","word","word",0.0966393874543659
"באופן ישיר","ישיר","related","word","word",NA
"צָעִיר","ישן","related","word","word",NA
"בִּכְבֵדוּת","כ  ב ד","related","word","word",NA
"כביש מהיר","כ  ב יש ","related","word","word",NA
"חוּט","כ  ב ל","related","word","word",NA
"עוֹד","כ  ב ר","related","word","word",NA
"בִּיוֹלוֹגִי","כ  ימ י","related","word","word",NA
"ביולוגיה","כ  ימ י ה","related","word","word",NA
"ארנק","כ  יס","related","word","word",NA
"חתול","כ  ל ב","related","word","word",NA
"כלי","כ  ל י","related","word","word",NA
"נוהל","כ  ל ל","related","word","word",NA
"כָּבֵד","כ  לי ה","related","word","word",NA
"איכות","כ  מו ת","related","word","word",NA
"קפלה","כ  נ ס י ה","related","word","word",NA
"קְבוּצָה","כ  נו פ י ה","related","word","word",NA
"זעם","כ  ע ס","related","word","word",NA
"דַרכּוֹן","כ  ר ט יס","related","word","word",NA
"הברך","כ  ת ף","related","word","word",NA
"כס","כ  ת ר","related","word","word",NA
"סֵפֶר","כ  תב י ה קו ד ש ","related","word","word",NA
"תְרוּפָה","כ ו ה ל","related","word","word",NA
"אֵנֶרְגִיָה","כ ו ח ","related","word","word",NA
"בְּדִיקָה","כ מו ס ה","related","word","word",NA
"עִתוֹנָאִי","כ ת ב","related","word","word",NA
"שם","כאן","related","word","word",0.736403140518575
"כדורגל","כדורסל","related","word","word",0.684329034660813
"כּוֹחַ","כוח","related","word","word",NA
"מַסלוּל","כוכב לכת","related","word","word",NA
"שֵׁם מִשׁפָּחָה","כינוי","related","word","word",NA
"להתחבא","כיסוי","related","word","word",0.167666226168357
"אלוף משנה","כללי","related","word","word",NA
"כֶּסֶף","כסף מזומן","related","word","word",NA
"מזלג","כף","related","word","word",0.40089924439945
"המבורגר","כריך","related","word","word",0.536667464518626
"דג","כריש","related","word","word",0.60987192221314
"לְסַפֵּק","ל א פש  ר","related","word","word",NA
"לְאַרגֵן","ל א רג ן","related","word","word",NA
"לברך","ל ב ר ך","related","word","word",NA
"שֶׁף","ל ב ש  ל","related","word","word",NA
"לַחקוֹר","ל בחו ן","related","word","word",NA
"ללעוס","ל בלו ע ","related","word","word",NA
"צָבָא","ל ג יו ן","related","word","word",NA
"מִנהָרָה","ל ג ש  ר","related","word","word",NA
"לִשְׁדוֹד","ל גנו ב","related","word","word",NA
"מְשׁוֹך","ל דחו ף","related","word","word",NA
"מָהִיר","ל ה א ט","related","word","word",NA
"לִשְׁלוֹחַ","ל ה ב יא","related","word","word",NA
"מבינה","ל ה ב ין","related","word","word",NA
"לבוא","ל ה ג יע ","related","word","word",NA
"לְהַגֵן","ל ה ג ן","related","word","word",NA
"לִשְׁמוֹר","ל ה חז יק","related","word","word",NA
"לְרַפֵּא","ל ה חל ים","related","word","word",NA
"לְהַרְשִׁים","ל ה חמ יא","related","word","word",NA
"לשחות","ל ה טב  יע ","related","word","word",NA
"תוֹכֶן","ל ה כ יל","related","word","word",NA
"לָשִׂים","ל ה כנ יס","related","word","word",NA
"לְשַׁלֵשׁ","ל ה כפ  יל","related","word","word",NA
"לְהַגזִים","ל ה מע יט ב  ע רכ ו ","related","word","word",NA
"סַכָּנָה","ל ה ס ת כ  ן","related","word","word",NA
"לְהַעֲלִיב","ל ה ע ל יב","related","word","word",NA
"מַעְצָר","ל ה ע נ יש ","related","word","word",NA
"כִּירוּרגִיָה","ל ה פ ע יל","related","word","word",NA
"להפחיד","ל ה פח יד","related","word","word",NA
"לשמור","ל ה צ יל","related","word","word",NA
"לנצח","ל ה ש  יג","related","word","word",NA
"השפעה","ל ה ש  פ  יע ","related","word","word",NA
"חום","ל ה ש  ת ע ל","related","word","word",NA
"נישואים","ל ה ת ג ר ש ","related","word","word",NA
"נושא","ל ה ת נ ג ד","related","word","word",NA
"מרצון","ל ה ת נ ד ב","related","word","word",NA
"מעריך","ל ה ת פ  ע ל","related","word","word",NA
"לְצַפּוֹת","ל ח כו ת","related","word","word",NA
"לְהַסִיר","ל ח ס ל","related","word","word",NA
"ללחוץ","ל ח צ ן","related","word","word",NA
"לַחטוֹף","ל חטו ף","related","word","word",NA
"לִקְבּוֹר","ל חפ ו ר","related","word","word",NA
"קְפִיצָה","ל ט פ  ס","related","word","word",NA
"מטען","ל טעו ן","related","word","word",NA
"עֶרֶב","ל י ל ה","related","word","word",NA
"קְבוּצָה","ל יג ה","related","word","word",NA
"ליצר","ל יצו ר","related","word","word",NA
"דוֹלָר","ל יר ה","related","word","word",NA
"אִינְטֶלִיגֶנְטִי","ל כאו ב","related","word","word",NA
"ללוות","ל ל וו ת","related","word","word",NA
"לְלַמֵד","ל למו ד","related","word","word",NA
"להשקיע","ל מ מ ן","related","word","word",NA
"תפסיק","ל מ נו ע ","related","word","word",NA
"לְלַקֵק","ל מ צו ץ","related","word","word",NA
"מִבְחָן","ל נ סו ת","related","word","word",NA
"לְנַסוֹת","ל נ סו ת","related","word","word",NA
"לִשְׁטוֹף","ל נ קו ת","related","word","word",NA
"סְלִיחָה","ל ס לו ח ","related","word","word",NA
"מפרש","ל ע ג ן","related","word","word",NA
"לָשֶׁבֶת","ל ע מו ד","related","word","word",NA
"לַעֲנוֹת","ל ע נו ת","related","word","word",NA
"לעתים קרובות","ל פ ע מ ים","related","word","word",NA
"לעתים רחוקות","ל פ ע מ ים","related","word","word",NA
"סגור","ל פ תו ח ","related","word","word",NA
"רָחָב","ל צ מ צ ם","related","word","word",NA
"אֱמוּנָה","ל ק וו ת","related","word","word",NA
"שְׁבוּעָה","ל ק ל ל","related","word","word",NA
"מכירה","ל ק נו ת","related","word","word",NA
"חנות","ל ק נו ת","related","word","word",NA
"צַלֶקֶת","ל ק ע ק ע ","related","word","word",NA
"עניבה","ל ק ש ו ר","related","word","word",NA
"לִפְגוֹשׁ","ל ר או ת","related","word","word",NA
"לשבור","ל ר ס ק","related","word","word",NA
"לָלֶכֶת","ל רו ץ","related","word","word",NA
"צינור","ל ש  או ב","related","word","word",NA
"מִשְׂחָק","ל ש  ח ק","related","word","word",NA
"השכרה","ל ש  כ ו ר","related","word","word",NA
"לְתַפְעֵל","ל ש  לו ט","related","word","word",NA
"בירה","ל ש  תו ת","related","word","word",NA
"אֶקְסְפּרֶס","ל ת א ר","related","word","word",NA
"אִסטרָטֶגִיָה","ל ת כ נ ן","related","word","word",NA
"לתפוס","ל ת פ ו ס","related","word","word",NA
"לא נעים","לא נוח","related","word","word",NA
"נכון","לא נכון","related","word","word",NA
"לֹא אַחֲרַאִי","לא סביר","related","word","word",NA
"גלוֹבָּלִי","לאומי","related","word","word",NA
"בִּמְהִירוּת","לאט","related","word","word",NA
"לאסוף","לאסוף","related","word","word",1
"בּוֹדֵד","לבד","related","word","word",NA
"שָׁחוֹר","לבן","related","word","word",NA
"בריחה","לברוח","related","word","word",0.529251748368714
"הַבטָחָה","להבטיח","related","word","word",NA
"לְהַפחִית","להגביר","related","word","word",NA
"להשתמש","להגיש מועמדות","related","word","word",NA
"לדווח","להגיש תלונה","related","word","word",NA
"ללכת","להיכנס","related","word","word",0.486567473313875
"הַקפָּאָה","להמיס","related","word","word",NA
"לְהַמשִׁיך","להמשיך","related","word","word",NA
"לְהַצִיעַ","להציע","related","word","word",NA
"לִשְׁמוֹעַ","להקשיב","related","word","word",NA
"לְהוֹדוֹת","להתוודות","related","word","word",NA
"לתת","להתיר","related","word","word",0.294338507713354
"כַּדוּר","לו ח ","related","word","word",NA
"לוח זמנים","לו ח  ש  נ ה","related","word","word",NA
"לוֹחֶם","לו ח ם","related","word","word",NA
"ידע","לזהות","related","word","word",0.188368667224569
"ספגטי","לזניה","related","word","word",0.488355409895498
"לִשְׂרוֹד","לחיות","related","word","word",NA
"מַאֲבָק","לחימה","related","word","word",NA
"גבינה","לחם","related","word","word",0.484159856156141
"למצוא","לחפש","related","word","word",0.606932799276554
"דִכָּאוֹן","לחץ","related","word","word",NA
"סודה","לימונדה","related","word","word",0.512234522021886
"הפגנה","למחות","related","word","word",0.344768120556897
"מצליח","לנהל","related","word","word",0.198783840193527
"הוֹמִי","לסביות","related","word","word",NA
"לחשב","לספור","related","word","word",0.40212314971143
"אֵיִ פַּעַם","לעולם לא","related","word","word",NA
"לִנְטוֹשׁ","לעזוב","related","word","word",NA
"מִרדָף","לעקוב אחר","related","word","word",NA
"לִכתוֹב","לקרוא","related","word","word",NA
"זכור","לשכוח","related","word","word",0.364113786365036
"לְתַחְזֵק","לשמור","related","word","word",NA
"לַחשׁוֹב","לשקול","related","word","word",NA
"לְתַקֵן","לתקן","related","word","word",NA
"וֵנוּס","מ א ד ים","related","word","word",NA
"עָשׂוֹר","מ א ה","related","word","word",NA
"שחקן","מ א מ ן","related","word","word",NA
"מאוד","מ או ד","related","word","word",NA
"הוֹרֶה","מ בו ג ר","related","word","word",NA
"פוּנקצִיוֹנָלִי","מ בצ ע י","related","word","word",NA
"מִכְתָב","מ בר ק","related","word","word",NA
"שִׁריוֹן","מ ג ן","related","word","word",NA
"מלוכלך","מ ג ע יל","related","word","word",NA
"נַעַל","מ ג ף","related","word","word",NA
"מגפה","מ ג פ ה","related","word","word",NA
"בִּניָן","מ גד ל","related","word","word",NA
"אַבּסוּרדִי","מ גו ח ך","related","word","word",NA
"חשמלי","מ גנ ט י","related","word","word",NA
"פּוֹלִיטִיקָאִי","מ ד ינ יו ת","related","word","word",NA
"עֶמֶק","מ דב  ר","related","word","word",NA
"שֶׁקֶר","מ זו י ף","related","word","word",NA
"שַׂחְקָן","מ ח ב  ר","related","word","word",NA
"מַזרֵק","מ ח ט","related","word","word",NA
"מתנה","מ ח מ א ה","related","word","word",NA
"כְּפָר","מ ח נ ה","related","word","word",NA
"בוקר","מ ח ר","related","word","word",NA
"מָחוֹז","מ חו ז","related","word","word",NA
"נִשׁקִיָה","מ חס ן נ ש  ק","related","word","word",NA
"עוזרת","מ ט פ  ל ת","related","word","word",NA
"מַטָרָה","מ ט ר ה","related","word","word",NA
"עַרפָּד","מ טו מט ם","related","word","word",NA
"סַנטִימֶטֶר","מ יל","related","word","word",NA
"מיליארד דולר","מ יל יו ן","related","word","word",NA
"יזם","מ יל יו נ ר","related","word","word",NA
"גוּפָנִי","מ ינ י","related","word","word",NA
"מַקסִימוּם","מ ינ ימו ם","related","word","word",NA
"אגדה","מ יתו ס","related","word","word",NA
"אוּנִיבֶרְסִיטָה","מ כל ל ה","related","word","word",NA
"אתגר","מ כש ו ל","related","word","word",NA
"שָׂטָן","מ ל א ך","related","word","word",NA
"משפט","מ ל ה","related","word","word",NA
"מֶלְצָרִית","מ ל צ ר","related","word","word",NA
"מגעיל","מ לו כל ך","related","word","word",NA
"קרב","מ לח מ ה","related","word","word",NA
"מלך","מ לכ  ה","related","word","word",NA
"פְּתָיוֹן","מ לכ ו ד ת","related","word","word",NA
