"he_cue","he_target","he_fake_target","he_fake_cue","en_cue","en_target"
"ד רו מ י","ווסטרן","ווסטיג","ד רו מci","southern","western"
"דבורה","נְמָלָה","wrמָלָה","סוורה","bee","ant"
"דבר","לְדַבֵּר","לְדַבֵpn","רדר","talk","speak"
"דבש","חמאה","חמוצ","שעש","honey","butter"
"דו א ר","פַקס","הץקס","דוטק ר","mail","fax"
"דו ד","אַבָּא","אַבָuy","דוxo","uncle","dad"
"דו מ ה","שונה","שוין","דותנ ה","similar","different"
"דו פ ק","לַחַץ","עםחַץ","דו פעא","pulse","pressure"
"דוב","זְאֵב","זְקיב","בהב","bear","wolf"
"דחוף","חרום","מנום","יהוף","urgent","emergency"
"דיפלומה","בוגר","בויג","דיוןומה","diploma","graduate"
"דמעה","גזירה","פחירה","דמבל","tear","cut"
"דננה","טביעת אצבע","לשיעת אצבע","טלנה","dna","fingerprint"
"דעה","יַחַס","ivחַס","סכה","opinion","attitude"
"דרש","בַּקָשָׁה","gtּקָשָׁה","ונש","demand","request"
"ה ג ע ה","יְצִיאָה","יְצִיאספ","טםג ע ה","arrival","departure"
"ה גו ן","יָשָׁר","יָשָדצ","ה גוfr","decent","honest"
"ה זד מ נו ת","אפשרות","אפאיות","ה זד מ נךלת","chance","possibility"
"ה ח ל ש ו ת","אָנָלִיזָה","אָנָלִיזהפ","fdח ל ש ו ת","autopsy","analysis"
"ה חו צ ה","על אודות","עלוחודות","אץחו צ ה","out","about"
"ה נה ל ה","מנהלי","מנדזי","לרנה ל ה","management","administrative"
"ה סב  ר","מִתקָבֵּל עַל הַדַעַת","ןחתקָבֵּל עַל הַדַעַת","jcסב  ר","explanation","plausible"
"ה סת ב  רו ת","סָבִיר","tmבִיר","טםסת ב  רו ת","probability","likely"
"ה פת ע ה","אַכזָבָה","אַכזָבbb","ה פת עaa","surprise","disappointment"
"ה צ ע ה","לָתֵת","lyתֵת","oxצ ע ה","offer","give"
"ה צל ח ה","כישלון","כיפרון","ffצל ח ה","success","failure"
"ה ש ת ק פו ת","מַרְאָה","חןרְאָה","סםש ת ק פו ת","reflection","mirror"
"ה תא ב  דו ת","רֶצַח","רֶםכח","ה תא ב  דולפ","suicide","murder"
"ה תג לו ת","חָזוֹן","ghזוֹן","ivתג לו ת","revelation","vision"
"ה תל ה בו ת","תשוקה","לאוקה","ה תל ה בגסת","enthusiasm","passion"
"ה תנ ג דו ת","לְהִתְנַגֵד","לְהִתְנַממד","wuתנ ג דו ת","resistance","resist"
"ה תפ  ר צו ת","לְהִתְפּוֹצֵץ","cmהִתְפּוֹצֵץ","ה תפ  ר צוrb","burst","explode"
"האוקיינוס   השקט","א '","ew'","האוקיינוס   השבע","pacific","atlantic"
"הדק","לְהַפְעִיל","jfהַפְעִיל","קתק","trigger","activate"
"הו ל ד ת","הֵרָיוֹן","jfרָיוֹן","הו ל דכג","birth","pregnancy"
"הו ר יק ן","טוֹרנָדוֹ","טוֹרכקדוֹ","הו ר ימבן","hurricane","tornado"
"הו רמו ן","אדרנלין","הזרנלין","הוסבמו ן","hormone","adrenaline"
"הופעה","-","סז","הוכיה","show","performance"
"הזנה","לאכול","לאזהל","תונה","feed","eat"
"החוף","חוף","ופף","החתכ","beach","coast"
"החלף","תחליף","בוליף","החסק","replace","substitute"
"היום","אתמול","לממול","יכום","today","yesterday"
"הימורים","פּוֹקֶר","פּוֹנשר","דרמורים","gambling","poker"
"הכנה","תִכנוּן","ףלכנוּן","הכיי","preparation","planning"
"הכנסת אורחים","הכרת תודה","הכרתפלודה","הכנסת אובעים","hospitality","gratitude"
"הנאה","שִׂמְחָה","tlׂמְחָה","מהאה","pleasure","joy"
"הערכה","אֵמוּן","ןעמוּן","העיגה","respect","confidence"
"הרמת כוסית","בייקון","יניקון","הרמתאפוסית","toast","bacon"
"השראה","הַשׁרָאָה","םצשׁרָאָה","השבץה","inspire","inspiration"
"התפטרות","הֲדָחָה","ףאדָחָה","התמירות","resignation","dismissal"
"התקדמות","התפתחות","התבאחות","התארמות","progress","development"
"ו ע יד ה","פְּגִישָׁה","פְּגִישָךל","ו ע ידין","conference","meeting"
"ו ר יד","עוֹרֶק","עותםֶק","rjר יד","vein","artery"
"וויסקי","וודקה","ווסחה","וומוקי","whiskey","vodka"
"וושינגטון","בוסטון","בולגון","וושיישטון","washington","boston"
"ועוד","מִינוּס","מִינעהס","וערפ","plus","minus"
"ז הו ב","כסף","יהף","ז הוjc","golden","silver"
"ז יר ה","שדה קרב","שדרןקרב","רניר ה","arena","battlefield"
"ז כ ר","נְקֵבָה","jrקֵבָה","ז ליר","male","female"
"ז כו ת","כָּבוֹד","phּבוֹד","phכו ת","privilege","honor"
"זוהר","בָּהִיר","הךּהִיר","הבהר","shine","bright"
"זכוכית","בקבוק","בקורק","זכגיית","glass","bottle"
"זמרת","מוּסִיקָאִי","מואץִיקָאִי","אתרת","singer","musician"
"ח בר ה","תַאֲגִיד","תַאֲמניד","ןחבר ה","company","corporation"
"ח בר ה","קְהִלָה","hmהִלָה","ןחבר ה","society","community"
"ח ג ה מו ל ד","חַג","ivג","מךג ה מו ל ד","christmas","holiday"
"ח ד ר","חדר שינה","חדטרשינה","hrד ר","room","bedroom"
"ח ז ית","חלק אחורי","חלידאחורי","ftז ית","front","rear"
"ח ז ק","חלש","שקש","יןז ק","strong","weak"
"ח ט יף","ארוחת צהריים","ארוחת אקריים","ח תניף","snack","lunch"
"ח י ה","בעל חיים","בעל רכים","ח עפה","beast","animal"
"ח יו ב י","שלילי","שלעתי","ח יו בpm","positive","negative"
"ח יל ה פ  ר ש  ים","אָרְטִילֶרִיָה","צףרְטִילֶרִיָה","טשיל ה פ  ר ש  ים","cavalry","artillery"
"ח ל ב ו ן","וִיטָמִין","חףיטָמִין","כךל ב ו ן","protein","vitamin"
"ח לו ד","מְאוּבָּק","ahאוּבָּק","ח לוun","rusty","dusty"
"ח לו ן","דלת","יגת","רםלו ן","window","door"
"ח ם","קַר","לגר","סךם","hot","cold"
"ח ס ר תו ע ל ת","חסר ערך","חסושערך","ח ס ר תו ע לyo","useless","worthless"
"ח צ י","רובע","רוור","יםצ י","half","quarter"
"ח קלא י","עוֹבֵד","עוֹבab","ח קלנחי","farmer","worker"
"ח ר ב","סַכִּין","axכִּין","רםר ב","sword","knife"
"ח ר ד ה","פַּחַד","ngּחַד","כףר ד ה","horror","fear"
"ח ת ימ ה","צַלָם","sqלָם","ח ת ימoo","autograph","photographer"
"ח ת ן","כַּלָה","odּלָה","oiת ן","groom","bride"
"חבר","מַנהִיג","נבנהִיג","נכר","member","leader"
"חו ב ב ן","מקצועי","מקצואר","חו ב בmu","amateur","professional"
"חו ד ש ","שָׁבוּעַ","obׁבוּעַ","חובק ש ","month","week"
"חו ז ה","הֶסכֵּם","הֶסכהסם","חו זup","contract","agreement"
"חו ט ף","כּוֹפֶר","מךוֹפֶר","חו טdj","kidnapper","ransom"
"חו לצ ה","ז'ָקֵט","אךָקֵט","חו לםשה","shirt","jacket"
"חו ם","טֶמפֶּרָטוּרָה","fbמפֶּרָטוּרָה","חוףא","heat","temperature"
"חו מ ר","חֶלְקִיק","lfלְקִיק","חו מכצ","matter","particle"
"חו פ ש ","דֵמוֹקרָטִיָה","יץמוֹקרָטִיָה","חוטה ש ","freedom","democracy"
"חו ק","חוּקָה","חורמָה","חוונ","law","constitution"
"חו ש  ך","אוֹר","אוnc","חוצמ  ך","darkness","light"
"חולה","חוֹלֶה","חוֹלג ","חוזת","ill","sick"
"חום","כָּחוֹל","כָּחבצל","דכם","brown","blue"
"חוסר יכולת","לא מסוגל","לאצטסוגל","חוסרבהכולת","inability","unable"
"חותמת","חֲתִימָה","חֲתִימex","חואגת","stamp","signature"
"חזור","לַחֲזוֹר","לַחֲזוph","רכור","back","return"
"חטא","פֶּשַׁע","דםּשַׁע","דלא","sin","crime"
"חיוך","לִצְחוֹק","לִצְחוiq","חיאו","smile","laugh"
"חיישן","מַשׁדֵר","lfשׁדֵר","כרישן","sensor","transmitter"
"חלב","מיץ","צוץ","היב","milk","juice"
"חלק עליון","תַחתִית","צץחתִית","חלברעליון","top","bottom"
"חמור","סוּס","סוxo","דפור","donkey","horse"
"חסר ישע","חֲסַר אוֹנִים","חֲסַתגאוֹנִים","חסבבישע","helpless","powerless"
"חסר מזל","צָרָה","צָחוה","חסר בהל","unfortunate","misfortune"
"חפץ","מֵדַלִיוֹן","axדַלִיוֹן","עדץ","artifact","medallion"
"חצאית","שמלה","נהלה","תטאית","skirt","dress"
"חצות","צָהֳרַיִים","צָהֳרַמבים","עגות","midnight","noon"
"חשבון","תאשר","שתשר","חשוין","check","verify"
"ט ב  ע ת","שַׁרשֶׁרֶת","oxׁרשֶׁרֶת","xbב  ע ת","ring","necklace"
"ט ב  ק","סִיגַרִיָה","סִיגַרִיls","זגב  ק","tobacco","cigarette"
"ט בע י","מְלָאכוּתִי","כםלָאכוּתִי","tcבע י","natural","artificial"
"ט כנ י","מֵכָנִי","jcכָנִי","חןכנ י","technical","mechanical"
"ט כנו לו ג י ה","מַדָע","oiדָע","cmכנו לו ג י ה","technology","science"
"ט ל סקו פ ","מִיקרוֹסקוֹפּ","מִיקרופלקוֹפּ","ט ל סקו צש","telescope","microscope"
"ט נק","מנוע","יצוע","הץנק","tank","engine"
"ט ע ים","טָעִים מְאוֹד","רןעִים מְאוֹד","jpע ים","tasty","delicious"
"ט ע ם","רֵיחַ","חהיחַ","ג ע ם","taste","smell"
"ט קסט","שִׁיר","ucׁיר","ptקסט","text","poem"
"ט ר י","לְרַעֲנֵן","לְרַעֲאהן","ט ןאי","fresh","refresh"
"ט ר ף","טוֹרֵף","טוחןֵף","笙ェר ף","prey","predator"
"טו ב","רַע","wwע","טוrv","good","bad"
"טונה","לובסטר","לולהטר","מזנה","tuna","lobster"
"טופס","סִימָן","חםימָן","תיפס","form","sign"
"טורניר","התאמה","התננה","טויויר","tournament","match"
"טיפוסי","קלַאסִי","קלביסִי","טיפויף","typical","classic"
"טריק","בדיחה","הייחה","בטיק","trick","joke"
"י ב ש ","רָטוֹב","רָטועכ","fdב ש ","dry","wet"
"י י ן","שמפנייה","שמובייה","zhי ן","wine","champagne"
"י ם","אוקיינוס","השקיינוס","otם","sea","ocean"
"י צ יא ה","כְּנִיסָה","ovּנִיסָה","י צ יאםע","exit","entrance"
"י צ ר","אינטואיציה","אינטגויציה","gcצ ר","instinct","intuition"
"י צר ן","מְנַהֵל","מְנַרחל","סןצר ן","producer","director"
"י ק ר","זוֹל","זוqc","עףק ר","expensive","cheap"
"י ר ח י","סוֹלָרִי","סוֹלָרקצ","נןר ח י","lunar","solar"
"י ר יד ה","לגימה","לגרדה","פןר יד ה","drop","sip"
"יד","זְרוֹעַ","וןרוֹעַ","תכ","hand","arm"
"יהלום","תַכשִׁיט","iאכשִׁיט","פאלום","diamond","jewel"
"יו ג ה","לְעַסוֹת","עהעַסוֹת","יו גai","yoga","massage"
"יו ם ה ש  נ ה","יום הולדת","יוענהולדת","יו ם ה ש  בפה","anniversary","birthday"
"יו ם ש  נ י","יוֹם שְׁלִישִׁי","יוֹם שְׁלִישעמי","יו ם ש  הטי","monday","tuesday"
"יו צ א דו פ ן","ראוי לציון","ראוי לגעון","יו צ א דו מהן","exceptional","remarkable"
"יו ר ה","צַלָף","צַרעף","יו רxt","shooter","sniper"
"יום יומי","שְׁבוּעִי","qcׁבוּעִי","יוגביומי","daily","weekly"
"יום שבת","יוֹם רִאשׁוֹן","יולה רִאשׁוֹן","יואששבת","Saturday","Sunday"
"יוני","יולי","והלי","לתני","june","july"
"יחיד","נָשׂוּי","וaשׂוּי","ואיד","single","married"
"יחידה","חֲלוּקָה","חֲלוּקםו","ויידה","unit","division"
"ימי","חיל הים","חירםהים","תזי","marine","navy"
"ימין","שמאלה","שמכיה","ימוז","right","left"
"יפה","יפה","נרה","תנה","pretty","beautiful"
"יצירה","הֶרֶס","הֶתיס","כלירה","creation","destruction"
"ירוק","תפוז","וסוז","ירתי","green","orange"
"ירח","שמש","מתש","חצח","moon","sun"
"יריד","סביר","תגיר","ירמי","fair","reasonable"
"ישיר","באופן ישיר","באופן סדיר","ישרד","direct","directly"
"ישן","צָעִיר","תךעִיר","תין","old","young"
"כ  ב ד","בִּכְבֵדוּת","kfּכְבֵדוּת","כ  בםח","heavy","heavily"
"כ  ב יש ","כביש מהיר","חמיש מהיר","נם ב יש ","road","highway"
"כ  ב ל","חוּט","חוספ","כ  בלפ","cable","wire"
"כ  ב ר","עוֹד","עוof","בf ב ר","already","still"
"כ  ימ י","בִּיוֹלוֹגִי","ddּיוֹלוֹגִי","lf ימ י","chemical","biological"
"כ  ימ י ה","ביולוגיה","המולוגיה","fm ימ י ה","chemistry","biology"
"כ  יס","ארנק","אררח","שם יס","pocket","wallet"
"כ  ל ב","חתול","כנול","דף ל ב","dog","cat"
"כ  ל י","כלי","זתי","כ  לju","tool","instrument"
"כ  ל ל","נוהל","נוסי","ng ל ל","rule","protocol"
"כ  לי ה","כָּבֵד","כָּבei","ףא לי ה","kidney","liver"
"כ  מו ת","איכות","אימית","rn מו ת","quantity","quality"
"כ  נ ס י ה","קפלה","ודלה","sd נ ס י ה","church","chapel"
"כ  נו פ י ה","קְבוּצָה","קְבוּצhk","כ  נו פ כהה","gang","group"
"כ  ע ס","זעם","חגם","כ  עac","anger","rage"
"כ  ר ט יס","דַרכּוֹן","דַרכּוכץ","os ר ט יס","ticket","passport"
"כ  ת ף","הברך","הבאפ","כ  תka","shoulder","knee"
"כ  ת ר","כס","טש","כ  תoo","crown","throne"
"כ  תב י ה קו ד ש ","סֵפֶר","דףפֶר","sq תב י ה קו ד ש ","bible","book"
"כ ו ה ל","תְרוּפָה","תְרוחלָה","הץו ה ל","alcohol","drug"
"כ ו ח ","אֵנֶרְגִיָה","nzנֶרְגִיָה","rbו ח ","power","energy"
"כ מו ס ה","בְּדִיקָה","ttּדִיקָה","כ מו סof","capsule","probe"
"כ ת ב","עִתוֹנָאִי","תקתוֹנָאִי","גןת ב","reporter","journalist"
"כאן","שם","ox","טפן","here","there"
"כדורסל","כדורגל","אחורגל","כדורדס","basketball","football"
"כוח","כּוֹחַ","כּוֹyo","ותח","strength","force"
