"sk_target","sk_cue","sk_fake_cue","sk_fake_target","en_cue","en_target"
"cintorín","hrob","hrľe","cintohnať","grave","cemetery"
"cirkus","zoologická záhrada","zoologická záhrčerstviť","cirtén","zoo","circus"
"cisár","cisársky","cisárňach","cizes","imperial","emperor"
"citlivý","delikátny","delismiešny","oznalivý","delicate","sensitive"
"civilizácia","kultúra","vražtúra","civilizástvách","culture","civilization"
"čln","ponorka","poskunka","gyn","submarine","boat"
"čokoláda","cukor","cudán","čokoláriách","sugar","chocolate"
"čoskoro","neskoro","nechajro","čochvíro","late","early"
"cvičenie","prax","prms","slávčenie","practice","exercise"
"cynický","naivný","nalentný","cyborgký","naive","cynical"
"ďalej","pokračovať","poslúchčovať","ďanať","proceed","continue"
"ďaleko","v blízkosti","v blízkoright","ďakrátko","near","far"
"darček","kompliment","komplilých","špiček","compliment","gift"
"darovanie","dobročinnosť","dobročinských","darovaských","charity","donation"
"dať","vložiť","sedžiť","osť","insert","put"
"dať","ponúknuť","poviaznuť","osť","offer","give"
"december","november","novemnách","decemnách","november","december"
"definícia","koncepcia","konfroncia","definíských","concept","definition"
"delostrelecký","kavaléria","kavaléských","delostrewraithský","cavalry","artillery"
"demokracia","sloboda","zdraboda","demokramount","freedom","democracy"
"demonštrácia","protest","protols","demonaliancia","protest","demonstration"
"depresia","stres","sttrs","uzatresia","stress","depression"
"desaťročie","storočia","storových","desaťroidoch","century","decade"
"detektív","zástupca","záchraca","deteksiel","agent","detective"
"detstvo","mládež","mlávak","jomstvo","youth","childhood"
"diabol","anjel","ankio","diague","angel","devil"
"diaľnica","cesta","tanta","chronica","road","highway"
"diera","prasknúť","strašnúť","mokra","crack","hole"
"dieťaťa","baby","bater","opúšťaťa","baby","child"
"dievča","chlapci","chrisci","techča","boys","girls"
"ding","ping","piju","digo","ping","ding"
"diskusia","konverzácia","konštantzácia","diskumoch","conversation","discussion"
"divadlo","kino","psono","dirýchlo","cinema","theater"
"divízia","jednotka","jedkrývka","divítých","unit","division"
"dlhý","krátky","lienky","dllii","short","long"
"dĺžka","veľkosť","ličkosť","gráka","size","length"
"dnior","senior","dýchnior","abaor","senior","junior"
"dno","vrchol","vršiel","eao","top","bottom"
"dobrovoľne","dobrovoľník","dobrostredník","dobrostiahne","volunteer","voluntarily"
"dodatočný","extra","exlen","dodaniachný","extra","additional"
"dohoda","zmluva","zdvíva","dosiahda","contract","agreement"
"dôkaz","dôkaz","dôluj","dôlit","evidence","proof"
"dokonalý","ideálny","krátálny","dokonaštval","ideal","perfect"
"dokument","súboru","súbolest","dokusoch","file","document"
"dolár","založiť","zaloších","dobus","pound","dollar"
"dôležitý","cenný","sobný","dôlesprostý","valuable","important"
"dôrazne","pevne","užíne","dôčierne","firmly","strongly"
"doska","misa","miche","domiu","bowl","plate"
"dostatočný","dosť","doher","dostašťastný","enough","sufficient"
"dôstojnosť","pýcha","pýteľ","dôstojskej","pride","dignity"
"dôvera","úcta","kotta","stravera","respect","confidence"
"dovolenka","vianoce","idennoce","dovochádzka","christmas","holiday"
"drez","toaleta, wc","toaletaštvem","drif","toilet","sink"
"droga","alkohol","alkovich","kurga","alcohol","drug"
"drôt","kábel","káfie","drďo","cable","wire"
"duch","duša","dukým","duľa","soul","spirit"
"dúšok","pokles","povied","dúraz","drop","sip"
"dverí","okno","pevno","lakrí","window","door"
"dynamit","výstrel","výliach","dynathan","gunpowder","dynamite"
"elegantný","módny","pásny","elevďačný","fashionable","elegant"
"elektrický","magnetický","ospranetický","eleksladký","magnetic","electric"
"elektrina","prúd","pruj","skontrina","current","electricity"
"emocionálny","duševný","dubližný","emocitriedny","mental","emotional"
"energia","moc","orc","enerlám","power","energy"
"epidémia","hranica","skonnica","zjeddémia","plague","epidemic"
"epizóda","séria","séhol","strozóda","series","episode"
"erekcia","orgazmus","oroptimus","trošcia","orgasm","erection"
"explodovať","výbuch","výbril","exoswaldovať","burst","explode"
"explózia","zemetrasenie","zemetrasestvách","explótých","earthquake","explosion"
"expresné","opísať","uťasať","exstavné","describe","express"
"externý","vnútorný","vnúhlavný","explatný","internal","external"
"falošný","falošný","faznačný","fagentný","fake","FALSE"
"fantastický","nádherný","nádnostný","ospratastický","wonderful","fantastic"
"fantasy","realita","reazachsta","upratasy","reality","fantasy"
"faxovať","poštový","smittový","faxoných","mail","fax"
"federácia","kolónia","kolóskej","federáských","colony","federation"
"festival","karneval","trálneval","vraztival","carnival","festival"
"film","porno","anano","fimp","porn","movie"
"finančný","bankový","elekkový","fislovný","banking","financial"
"financovanie","rozpočet","rozpohnal","financovastvách","budget","funding"
"financovanie","finančne","figwaine","financovastvách","financially","financing"
"fľaša","sklo","hadlo","kunša","glass","bottle"
"flotila","námorný","nárenzný","rýchtila","naval","fleet"
"fotograf","autogram","autodách","fotojich","autograph","photographer"
"fotografia","obraz","obšok","fotograstrel","picture","photo"
"francúzsky","angličtina","anšľachtina","elekcúzsky","english","french"
"fráza","slovník","bronník","supza","dictionary","phrase"
"fugitívny","utečenec","sklačenec","fugiprázdny","refugee","fugitive"
"funkčný","prevádzkový","prehliadkový","mliečný","operational","functional"
"futbal","basketbal","dvojketbal","futtej","basketball","football"
"fyzický","sexuálny","sexutriedny","fyvšetký","sexual","physical"
"galaxia","vesmír","vesnóm","galadĺži","universe","galaxy"
"garáž","dielňa","winsňa","gazin","workshop","garage"
"gitara","klavír","klatáč","giprezra","piano","guitar"
"globálny","národný","nástupný","glocierny","national","global"
"gorilla","opica","ukeca","goštvala","monkey","gorilla"
"grécky","rímsky","bássky","právky","roman","greek"
"gróf","kilo","veľlo","grrť","kilo","gram"
"grófka","barón","baeho","draska","baron","countess"
"guľka","kaliber","kalinách","lečka","caliber","bullet"
"had","červ","čeuh","ozd","worm","snake"
"hadica","pumpovať","vkropovať","hachodca","pump","hose"
"halucinácia","ilúzia","vrhzia","halucinávrhoch","illusion","hallucination"
"hamburger","sendvič","sendjou","adopburger","sandwich","hamburger"
"harmónia","vyváženie","vyvážechráň","priemónia","balance","harmony"
"herca","autor","auvaš","dinca","author","actor"
"heroín","kokaín","kokaster","herokiaľ","cocaine","heroin"
"heslo","kód","rld","scalo","code","password"
"hiv","pomoc","pobát","lyv","aids","hiv"
"hladký","unavený","sprevený","stanký","tired","hungry"
"hlasovať","väčšina","hlavšina","hlasociál","majority","vote"
"hliadka","stráž","koráž","stiahka","guard","patrol"
"hlúposť","šialenstvo","šialennium","hlúroth","madness","stupidity"
"hlúpy","naivný","nalentný","brepy","naïve","stupid"
"hmla","mrak","mrzá","glla","cloud","fog"
"hmyz","pavúk","paoch","hmém","spider","insect"
"hnevá","žiarlivý","zdielivý","pauvá","jealous","angry"
"hodnoverný","vysvetlenie","vyurýchlenie","hodnociachný","explanation","plausible"
"hodný","zaslúžiť si","zaslúžiťplach","sanný","deserve","worthy"
"homár","tuniak","tugham","horid","tuna","lobster"
"homosexuál","lesbička","oslobička","hovzkriesexuál","lesbian","gay"
"horný","nižší","zdeší","batný","lower","upper"
"horúčka","kašeľ","kaomi","hozlieka","cough","fever"
"hostinský","nájomník","náúradník","upratinský","tenant","landlord"
"hovoriť","rozprávať sa","rozprávaťdĺžil","hovoplat","talk","speak"
"hra","hrať","miať","bia","play","game"
"hračka","bábika","bákvapka","urovka","doll","toy"
"hrad","palác","paicu","hril","palace","castle"
"hranica","internet","interhoch","skonnica","internet","web"
"hrom","blesk","chesk","hrie","lightning","thunder"
"hrozný","hrozný","uvoľný","vratný","terrible","horrible"
"hrudník","žalúdok","žalúland","plodník","stomach","chest"
"hudba","džez","gyez","tmaba","jazz","music"
"hudobník","spevák","speing","huslušník","singer","musician"
"hustý","tenký","bodký","dávtý","thin","thick"
"hviezda","celebrity","cechiatrity","úspešda","celebrity","star"
"idiot","blázon","bláplo","kazot","fool","idiot"
"infekcia","vírus","vísou","inštrácia","virus","infection"
"informácie","dáta","kista","inštinkmácie","data","information"
"informátor","zdroj","kôroj","inštinkmátor","source","informant"
"informovať","správa","vražva","intransmovať","report","inform"
"injekcia","dávka","okoka","injektant","dose","injection"
"inšpekcia","vyšetrenie","vyhumphrenie","instancia","examination","inspection"
"inšpirácia","inšpirovať","insynchrovať","indeklarácia","inspire","inspiration"
"inteligentný","inteligentný","inteliochranný","inteliochranný","smart","intelligent"
"intímny","osobný","kromný","inčierny","personal","intimate"
"intuícia","inštinkt","inwright","intuxley","instinct","intuition"
"investor","bander","chuder","intraktor","banker","investor"
"investovať","financovať","fištvorcovať","inštruktovať","finance","invest"
"ironický","irónia","odônia","eugenický","irony","ironic"
"ísť","zadať","zarus","gtť","enter","go"
"jadrový","atómový","piesmový","asisrový","atomic","nuclear"
"jahod","banán","baute","jadeň","banana","strawberry"
"jasný","žiariť","žiacom","pečný","shine","bright"
"jašterica","žaba","žaniu","egyptterica","frog","lizard"
"jazero","rieka","bozka","javnútro","river","lake"
"jazva","tetovanie","tetovaských","kosva","tattoo","scar"
"jedinečný","špeciálny","špejohnny","jedistranný","special","unique"
"jedlo","jedlo","slalo","nielo","food","meal"
"jednoduchý","jednoducho","jednodufield","jednoduzrieť","simply","simple"
"jednotlivec","osoba","virba","jedfranklivec","person","individual"
"jemný","mäkký","pánký","štený","soft","gentle"
"jo","v poriadku","cafforiadku","eť","okay","yeah"
"kačica","husiť","huana","kazochca","goose","duck"
"kameň","rock","roči","kaplá","rock","stone"
"kamión","džíp","džjn","kamisiek","jeep","truck"
"kancelária","stôl","sttv","striecelária","desk","office"
"kapely","orchester","orstvater","kaviarly","orchestra","band"
"kapitalizmus","anarchia","anarznie","kapitalizstvách","anarchy","capitalism"
"kaplnka","kostol","snatol","kazachsnka","church","chapel"
"kardinál","biskup","bisnot","kardičiem","bishop","cardinal"
"kartel","mafia","mavos","cestel","mafia","cartel"
"káva","pohár","poídu","tesva","cup","coffee"
"kempovanie","piknik","sacnik","vznikpovanie","picnic","camping"
"kladivo","palica","pastráca","prejdivo","stick","hammer"
"klamár","ležať","lekáš","klačul","lie","liar"
"klasický","typický","tyvšetký","klaprudký","typical","classic"
"kláštor","chrám","tarám","utlátor","temple","monastery"
"kláštor","sirotinec","sirotikrist","utlátor","orphanage","convent"
"klenot","diamant","diamial","klebuď","diamond","jewel"
"klobúk","helma","kapma","klolíą","helmet","hat"
"kňaz","mních","zpích","iťaz","monk","priest"
"knieža","princezná","ovlácezná","štipža","princess","prince"
"kniha","biblia","číslia","myšha","bible","book"
"koberec","podlaha","nieslaha","kobehľad","floor","carpet"
"kolaps","napadnúť","nahryznúť","koloun","fall","collapse"
"koleno","rameno","oznámeno","koletieť","shoulder","knee"
"komédia","dráma","lopma","komévých","drama","comedy"
"komisár","inšpektor","indiántor","komiálov","inspector","commissioner"
"komunikácia","navigácia","navigáských","komunikástvách","navigation","communication"
"komunista","rasista","rainetta","komuplachta","racist","communist"
"kôň","osol","oswa","fáň","donkey","horse"
"koňak","rum","kŕm","kovýš","rum","cognac"
"konať","gesto","jašto","kolib","gesture","act"
"koncentrovať sa","zaostrenie","zaosvzplanie","koncentrovaťáciách","focus","concentrate"
"koncert","prehliadka","prechrumka","konpens","tour","concert"
"konečný","finálny, konečný","finálny, končerstviť","kostupný","final","ultimate"
"konštrukcia","pyramída","pyraedwarda","konaliancia","pyramid","structure"
"kópia","originál","origičiem","kóľať","original","copy"
"korporácia","spoločnosť","spoločskej","priesporácia","company","corporation"
"korytnačka","slimák","sliroš","korytplienka","snail","turtle"
"kovboj","rodeo","roisť","kovdzi","rodeo","cowboy"
"kovový","železo","želeklad","kovotrel","iron","metal"
"kráľ","kráľovná","krážiadná","krôj","queen","king"
"králik","fox","rax","krábat","fox","rabbit"
"kráľovstvo","kráľovský","krábritský","kráľovkých","royal","kingdom"
"krása","čaro","časky","opísa","charm","beauty"
"krásny","pekný","včený","umieny","nice","lovely"
"krásny","pekný","včený","umieny","pretty","beautiful"
"kravata","viazať sa","viazaťints","schovata","bind","tie"
"kreativita","predstavivosť","predstaviciach","ovplyvativita","imagination","creativity"
"kresliť","maľovať","maľoných","kreshol","paint","draw"
"kresťanský","katolík","katochať","sklaťanský","catholic","christian"
"kríza","situácia","situznak","chóza","situation","crisis"
"krk","hrdlo","pállo","rhk","throat","neck"
"krutosť","zmyselný","crisselný","bietosť","evil","cruelty"
"krutý","brutálny","zmietálny","tamtý","brutal","cruel"
"kufor","aktovka","akhláška","kulay","briefcase","suitcase"
"kúpeľňa","sprcha","clocha","kúrochňa","shower","bathroom"
"kupujúci","predávajúci","zvláštdávajúci","kupučiachci","seller","buyer"
"kúsok","fragment","udajment","kúnii","fragment","piece"
"kvalita","množstvo","unikstvo","oslolita","quantity","quality"
"kvetina","závod","záľaš","opustina","plant","flower"
"kyslík","vzduch","ľaduch","čínlík","air","oxygen"
"lacný","drahý","rozhý","seľný","expensive","cheap"
"ľahký","nemožný","nechybný","henký","impossible","easy"
"lano","reťaz","reňák","černo","chain","rope"
"láska","nenávisť","nenázveš","epika","hate","love"
"lebka","kosť","kozá","šinka","bone","skull"
"legenda","mýtus","mýket","levklada","myth","legend"
"lekára","chirurg","chicard","letieťra","surgeon","doctor"
"les","džungľa","džunwny","hns","jungle","forest"
"let","pristátie","priukrytie","ast","landing","flight"
"letieť","pôda","herda","leters","land","fly"
"letisko","terminál","termitier","leclarko","terminal","airport"
"lev","drak","drže","niv","dragon","lion"
"liberálny","konzervatívny","konzervazvláštny","libesiachny","conservative","liberal"
"liečba","terapia","teradosť","šperba","therapy","treatment"
"limuzína","taxík","tagáj","limukrishna","taxi","limousine"
"ling","móda","móciu","liev","ming","ling"
"literatúra","umenie","čkanie","ochráňteratúra","art","literature"
"lízať","sať","úšť","lížia","suck","lick"
"loď","posádka","potľapka","beď","crew","ship"
"ľudia","populácia","populáských","ľubou","population","people"
"ľudský","muž","idž","stíský","man","human"
"lúpež","krádež","kráigh","lúkas","theft","robbery"
"mačka","pes","uls","skyka","dog","cat"
"magazín","playboy","playwers","magavedz","playboy","magazine"
"majiteľ","nehnuteľnosť","nehnuteľstvom","majikoch","property","owner"
"majonéza","kečup","kehir","mastrannéza","ketchup","mayonnaise"
"maliar","umelec","umevan","maąiel","artist","painter"
"malý","malý","vislý","marqu","little","small"
"mama","otec","otur","malic","daddy","mum"
"manipulovať","kontrola","konsvetla","manipulosworth","control","manipulate"
"manželka","manželka","manzlieka","manhrávka","husband","wife"
"manželstvo","rozvod","rozpel","manliactvo","divorce","marriage"
"mapovať","kompas","komrár","mapozdra","compass","map"
"marketing","reklama","rezervma","markebrať","advertising","marketing"
"masáž","jóga","rurga","mareš","yoga","massage"
"maslo","med","ávd","prílo","honey","butter"
"mäso","bravčové mäso","pneumačové mäso","wilso","pork","meat"
"matematika","fyzika","fykvapka","mateóriáchtika","physics","mathematics"
"maximálny","minimálny","miniciachny","maxitriedny","minimum","maximum"
"mechanický","technický","dievnický","mechayorkský","technical","mechanical"
"medailón","artefakt","artezlec","medaiviek","artifact","medallion"
"medailu","trofej","trocíp","mechvalu","trophy","medal"
"medvedík čistotný","veverička","vevechádzka","wraithsvedík čistotný","squirrel","raccoon"
"merač","kilometer","kilomediant","melus","kilometer","meter"
"mesto","kapitál","kapiňach","zníto","capital","city"
"miestny","regionálny","registromny","smierny","regional","local"
"miesto","miesto","baisto","aristo","place","location"
"mikrofón","fotoaparát","fotoapafield","mikrodosť","camera","microphone"
"mikroskop","ďalekohľad","ďalekostreľ","mikrohých","telescope","microscope"
"miliarda","milión","milidieť","miglenda","million","billion"
"milosrdenstvo","odpustenie","odosvietenie","milosrdenvliecť","forgiveness","mercy"
"milovník","pani","terni","milovstva","mistress","lover"
"minister","veľvyslanec","veľplietlanec","mishelter","ambassador","minister"
"ministerstvo","veľvyslanectvo","veľspláchlanectvo","ministerfield","embassy","ministry"
"minulosť","budúcnosť","budúcskej","minuchal","future","past"
"mínus","plus","teus","míbov","plus","minus"
"minútu","druhý","tvohý","mišportu","second","minute"
"mladý","starý","pokrý","fildý","old","young"
"moč","krv","lúv","lač","blood","urine"
"modlitba","škrabanec","uzambanec","modošklba","scratch","bruise"
"modrá","hnedý","cirdý","herrá","brown","blue"
"mokrý","suchý","suhuj","bibrý","dry","wet"
"monitorovať","skrinka","strojka","monitorosworth","screen","monitor"
"morfín","aspirín","aspiberg","morhyb","aspirin","morphine"
"motel","hotel","hoaby","mogan","hotel","motel"
"motora","nádrž","nário","štartora","tank","engine"
"mozgový","mozog","mohaľ","plasgový","brain","cerebral"
"možnosť","šanca","evoca","rienosť","chance","possibility"
"možnosť","voľba","palba","rienosť","choice","option"
"mravca","včela","lásla","kvapca","bee","ant"
"mŕtvola","telo","tenia","uzavvola","body","corpse"
"mŕtvy","nažive","nasvedve","korvy","alive","dead"
"mučenie","trápenie","ubezpenie","mučekoch","torment","torture"
"múka","zrno","yeno","špaka","grain","flour"
"mutácia","evolúcia","zliklúcia","mutápačs","evolution","mutation"
"múzeum","knižnica","zmysnica","platzeum","library","museum"
"myslieť si","zvážiť","futžiť","myslieťcieť","consider","think"
"mzda","dôchodok","dôchových","ťoda","pension","salary"
"na jeseň","jar","lór","na jilou","spring","autumn"
"náboženstvo","filozofia","filozostrel","nábožentiach","philosophy","religion"
"naháňačka","sledovať","frandovať","naháchrípka","follow","chase"
"náhradník","nahradiť","navzbudiť","náhštevník","replace","substitute"
"náhrdelník","krúžok","fosžok","náhršťastník","ring","necklace"
"nahý","nahý","nalii","natel","nude","naked"
"nájsť","vyhľadávanie","vyvliecťdávanie","nápiť","search","find"
"náklad","naložiť","naloších","náling","load","cargo"
"nakoniec","nakoniec","nakodach","nakotvor","finally","eventually"
"námorník","pirát","pidze","námorskej","pirate","sailor"
"námorný","morský","čenský","nácepčný","marine","navy"
"naozaj","vlastne","hliadne","naomer","actually","really"
"napísať","čítať","čídov","napílých","read","write"
"národ","krajina","osvojina","náfil","country","nation"
"narodeniny","výročie","výrobert","naroovplyvniny","anniversary","birthday"
"narušiť","prerušiť","prerutoch","narutoch","interrupt","disturb"
"návnada","pasca","dvoca","otranada","trap","bait"
"navrhnúť","navrhnúť","navrchom","navrchom","propose","suggest"
"navždy","večný","kysný","znakdy","eternal","forever"
"nebeský","obloha","obloniál","nespozký","sky","heavenly"
"nebezpečenstvo","riziko","rizišiel","nebezpečenvliecť","risk","danger"
"nebezpečný","riskantný","risdnešný","nebezstrašný","risky","dangerous"
"nečakane","náhle","garle","nečaoprávne","suddenly","unexpectedly"
"nechať","teraz","teoro","nešťas","now","know"
"nechať","povoliť","povokých","nešťas","allow","let"
"nechutný","špinavý","starnavý","nehlavný","dirty","disgusting"
"nedávno","len","orn","neustano","just","recently"
"nedeľa","sobota","sobolest","nedewitt","Saturday","Sunday"
"negatívny","pozitívny","poziprázdny","negaprázdny","positive","negative"
"nehoda","incident","inciboch","nesklada","incident","accident"
"nepočujúci","slepý","grapý","nepomstychjúci","blind","deaf"
"nepríjemný","nepohodlný","nepozvestný","neprístranný","uncomfortable","unpleasant"
"neprítomnosť","prítomnosť","prítomstvo","neprítomských","presence","absence"
"nervózny","ustarostený","orienrostený","neranálny","worried","nervous"
"neschopný","neschopnosť","nestretnosť","nestretný","inability","unable"
"nespravodlivý","nespravodlivosť","nemăĺžemvodlivosť","nemăĺžemvodlivý","injustice","unfair"
"nešťastie","nešťastný","nestrelný","nezvyktie","unfortunate","misfortune"
"neustále","vždy","bôdy","neusskresle","always","constantly"
"nevesta","stožiar","stograf","neschyta","groom","bride"
"nevoľnosť","hnačka","emočka","nevoľbách","diarrhea","nausea"
"neznámy","anonymný","anoužasný","nepresmy","anonymous","unknown"
"nezodpovedný","nerozumný","nerovplyvný","nezodpoochranný","unreasonable","irresponsible"
"niečo","nič","lač","klačo","nothing","something"
"niekde","inde","prade","niepán","elsewhere","somewhere"
"normálny","zdravý","distvý","kresmálny","healthy","normal"
"nos","ústa","udeta","eps","mouth","nose"
"novinár","reportér","reporrant","novistup","reporter","journalist"
"novinka","kanál","kated","nochôtka","channel","news"
"noviny","článok","váľnok","noonálny","article","newspaper"
"nôž","meč","ršč","včž","sword","knife"
"núdzový stav","naliehavý","naostrihavý","núdzovýpriek","urgent","emergency"
"o","von","ern","ăn","out","about"
"obchodník","obchodný","obplatný","obslušník","commercial","merchant"
"obdobie","fáza","hojza","obdotosť","phase","period"
"obec","tábor","tália","ĺpec","camp","village"
"obed","snažiť sa","snažiťkcií","zjed","snack","lunch"
"obežná dráha","planéta","stupnéta","chlopná dráha","planet","orbit"
"obhajovať","chrániť","chrákej","obhajoských","protect","defend"
"objať","bozk","botă","obríš","kiss","hug"
"objednať","príkaz","prízvu","objedstve","command","order"
"obnoviť","čerstvý","čersský","obnorant","fresh","refresh"
"obrad","rituál","ritustvá","obpou","ritual","ceremony"
"obrovský","veľký","xický","obrovnosť","big","huge"
"obsah","obsahovať","obsahotried","obgií","contain","content"
"obuv","zavádzanie","zavádzaských","obúž","boot","shoe"
"obvinenie","sťažnosť","blaznosť","obvinešťast","complaint","accusation"
"obvod","polomer","polokaus","obmäk","radius","perimeter"
"obvyklý","obyčajný","dvojčajný","obtrvalý","ordinary","usual"
"očakávať","čakať","čacia","schokávať","wait","expect"
"očarujúci","atraktívny","atrakprázdny","najvzrujúci","attractive","charming"
"oceán","more","mokov","spaán","sea","ocean"
"oceľ","betón","behie","ocdt","concrete","steel"
"oceniť","obdivovať","obdivotried","polniť","admire","appreciate"
"ochorenie","chrípka","chlaska","zdierenie","flu","disease"
"ocko","strýko","vtipko","tlako","uncle","dad"
"odchod","príchod","príhoch","odstoc","arrival","departure"
"oddanosť","vernosť","zvonosť","oddamian","fidelity","devotion"
"odhaliť","pohon","pobár","odhakých","drive","ride"
"odmena","bonus","božín","odstrána","bonus","reward"
"odolať","odpor","odhej","odopre","resistance","resist"
"odpadu","smeti","histi","odpacien","trash","garbage"
"odpovedať","odpoveď","odpokľak","odpovericks","answer","reply"
"odstavec","úsek","efek","odstachol","section","paragraph"
"odstrániť","eliminácia","ospraminácia","odčastniť","eliminate","remove"
"odtlačok prsta","dna","vsa","odtlačok prvliecť","dna","fingerprint"
"odvážny","ušľachtilý","ušchristilý","oddýchny","noble","brave"
"oklamať","kradnúť","hryznúť","oklabie","steal","rob"
"okolo","okrúhly","skratly","sinlo","round","around"
"okres","krajina","osvojina","oktne","county","district"
"október","september","zdrhtember","októnius","september","october"
"olej","uhlie","uhmne","tvej","coal","oil"
"omáčka","krém","krmy","niečka","cream","sauce"
"opačný","oproti","gardti","cepčný","opposite","contrary"
"opitý","triezvy","streľvy","gretý","sober","drunk"
"oponent","nepriateľský","nešťastteľský","oponard","enemy","opponent"
"oprava","opraviť","chlaviť","chlava","fix","repair"
"opustiť","opustiť","oznatiť","oznatiť","leave","abandon"
"opýtať sa","otázka","hrážka","opýtaťhnút","question","ask"
"oranžový","zelená","prialená","mieržový","green","orange"
"osamelý","sám","mém","právmelý","alone","lonely"
"osobnosť","znak","znzí","slovnosť","character","personality"
"ospravedlnenie","odpustiť","odmiettiť","priesvedlnenie","forgive","excuse"
"osud","osud","osnn","osnn","fate","destiny"
"otec","matka","tomka","ĺpec","mother","father"
"overiť","skontrolovať","klaustrolovať","splriť","check","verify"
"ovocie","jablko","jastrýko","tilcie","apple","fruit"
"palec","prst","a st","pavor","finger","thumb"
