"sk_cue","sk_target","type","cue_type","target_type","sk_cosine"
"šialenstvo","hlúposť","related","word","word",0.263811270953666
"naivný","hlúpy","related","word","word",0.485190359888777
"mrak","hmla","related","word","word",0.337404909861426
"pavúk","hmyz","related","word","word",0.371596399256741
"žiarlivý","hnevá","related","word","word",0.350493193047435
"vysvetlenie","hodnoverný","related","word","word",0.150091151231112
"zaslúžiť si","hodný","related","word","word",NA
"tuniak","homár","related","word","word",0.483378354106398
"lesbička","homosexuál","related","word","word",0.336286758228996
"nižší","horný","related","word","word",0.33104624093525
"kašeľ","horúčka","related","word","word",0.493309278006748
"nájomník","hostinský","related","word","word",0.204071912533139
"rozprávať sa","hovoriť","related","word","word",NA
"hrať","hra","related","word","word",0.503209035851889
"bábika","hračka","related","word","word",0.416604996684727
"palác","hrad","related","word","word",0.458909156883443
"internet","hranica","related","word","word",0.0861657924078034
"blesk","hrom","related","word","word",0.353524680932953
"hrozný","hrozný","related","word","word",1
"žalúdok","hrudník","related","word","word",0.369121402868943
"džez","hudba","related","word","word",0.241287502179495
"spevák","hudobník","related","word","word",0.429077148197256
"tenký","hustý","related","word","word",0.406672342660987
"celebrity","hviezda","related","word","word",0.267305260179935
"blázon","idiot","related","word","word",0.489947845150438
"vírus","infekcia","related","word","word",0.462614341992591
"dáta","informácie","related","word","word",0.444256915503798
"zdroj","informátor","related","word","word",0.345697243214156
"správa","informovať","related","word","word",0.277306603469206
"dávka","injekcia","related","word","word",0.43831128052218
"vyšetrenie","inšpekcia","related","word","word",0.274685185106279
"inšpirovať","inšpirácia","related","word","word",0.561167395055333
"inteligentný","inteligentný","related","word","word",1
"osobný","intímny","related","word","word",0.426011788821521
"inštinkt","intuícia","related","word","word",0.469688971424527
"bander","investor","related","word","word",NA
"financovať","investovať","related","word","word",0.476103937977536
"irónia","ironický","related","word","word",0.210859788936257
"zadať","ísť","related","word","word",0.305304025999416
"atómový","jadrový","related","word","word",0.563304989297946
"banán","jahod","related","word","word",NA
"žiariť","jasný","related","word","word",0.285671111756187
"žaba","jašterica","related","word","word",0.432077529620646
"rieka","jazero","related","word","word",0.384412491243795
"tetovanie","jazva","related","word","word",0.437239349862721
"špeciálny","jedinečný","related","word","word",0.416578720956204
"jedlo","jedlo","related","word","word",1
"jednoducho","jednoduchý","related","word","word",0.487070328088068
"osoba","jednotlivec","related","word","word",0.260867684523522
"mäkký","jemný","related","word","word",0.430061268001531
"v poriadku","jo","related","word","word",NA
"husiť","kačica","related","word","word",NA
"rock","kameň","related","word","word",0.109382610254773
"džíp","kamión","related","word","word",0.391088236442997
"stôl","kancelária","related","word","word",0.263529507290227
"orchester","kapely","related","word","word",0.338606099133969
"anarchia","kapitalizmus","related","word","word",0.391020472854897
"kostol","kaplnka","related","word","word",0.419583637358872
"biskup","kardinál","related","word","word",0.416368269467912
"mafia","kartel","related","word","word",0.361228950070206
"pohár","káva","related","word","word",0.210424331012848
"piknik","kempovanie","related","word","word",0.40042161087237
"palica","kladivo","related","word","word",0.371831568638419
"ležať","klamár","related","word","word",0.082867212064005
"typický","klasický","related","word","word",0.482699996670894
"chrám","kláštor","related","word","word",0.456040938862071
"sirotinec","kláštor","related","word","word",0.444451071518598
"diamant","klenot","related","word","word",0.421894410027192
"helma","klobúk","related","word","word",0.358637061050713
"mních","kňaz","related","word","word",0.518345646190776
"princezná","knieža","related","word","word",0.29217490293989
"biblia","kniha","related","word","word",0.436150802186416
"podlaha","koberec","related","word","word",0.291993926112313
"napadnúť","kolaps","related","word","word",0.137337316039339
"rameno","koleno","related","word","word",0.561311435205638
"dráma","komédia","related","word","word",0.420452311100149
"inšpektor","komisár","related","word","word",0.475159563448323
"navigácia","komunikácia","related","word","word",0.474568574485147
"rasista","komunista","related","word","word",0.492373646570473
"osol","kôň","related","word","word",0.344799605864832
"rum","koňak","related","word","word",0.423470673413224
"gesto","konať","related","word","word",0.151052592419082
"zaostrenie","koncentrovať sa","related","word","word",NA
"prehliadka","koncert","related","word","word",0.22193122895759
"finálny, konečný","konečný","related","word","word",NA
"pyramída","konštrukcia","related","word","word",0.388281855360384
"originál","kópia","related","word","word",0.286691187553425
"spoločnosť","korporácia","related","word","word",0.460503692142607
"slimák","korytnačka","related","word","word",0.309957069110382
"rodeo","kovboj","related","word","word",0.168517900277813
"železo","kovový","related","word","word",0.341614217245675
"kráľovná","kráľ","related","word","word",0.514623746257191
"fox","králik","related","word","word",0.174979486978254
"kráľovský","kráľovstvo","related","word","word",0.482873542915991
"čaro","krása","related","word","word",0.301888481694665
"pekný","krásny","related","word","word",0.618563616028656
"pekný","krásny","related","word","word",0.618563616028656
"viazať sa","kravata","related","word","word",NA
"predstavivosť","kreativita","related","word","word",0.428630575991822
"maľovať","kresliť","related","word","word",0.584073752998402
"katolík","kresťanský","related","word","word",0.496564272265196
"situácia","kríza","related","word","word",0.429036339854625
"hrdlo","krk","related","word","word",0.412803443994021
"zmyselný","krutosť","related","word","word",0.0886929826443495
"brutálny","krutý","related","word","word",0.463163374029312
"aktovka","kufor","related","word","word",0.233267204560378
"sprcha","kúpeľňa","related","word","word",0.525236907194146
"predávajúci","kupujúci","related","word","word",0.566863296666851
"fragment","kúsok","related","word","word",0.319723414311573
"množstvo","kvalita","related","word","word",0.279394556745224
"závod","kvetina","related","word","word",0.150133325321014
"vzduch","kyslík","related","word","word",0.541944181875037
"drahý","lacný","related","word","word",0.305709328457837
"nemožný","ľahký","related","word","word",0.347232405367264
"reťaz","lano","related","word","word",0.395411327380162
"nenávisť","láska","related","word","word",0.481466503750724
"kosť","lebka","related","word","word",0.372754034724482
"mýtus","legenda","related","word","word",0.390510807246775
"chirurg","lekára","related","word","word",0.325395763379386
"džungľa","les","related","word","word",0.296038870496376
"pristátie","let","related","word","word",0.401037656336248
"pôda","letieť","related","word","word",0.156056173454551
"terminál","letisko","related","word","word",0.341998130824014
"drak","lev","related","word","word",0.410502844211882
"konzervatívny","liberálny","related","word","word",0.486488212372722
"terapia","liečba","related","word","word",0.574753415766775
"taxík","limuzína","related","word","word",0.422410083686413
"móda","ling","related","word","word",0.127714912976671
"umenie","literatúra","related","word","word",0.40035840397349
"sať","lízať","related","word","word",0.432731600452633
"posádka","loď","related","word","word",0.48220237838372
"populácia","ľudia","related","word","word",0.191949131532329
"muž","ľudský","related","word","word",0.167915901303628
"krádež","lúpež","related","word","word",0.586345009526879
"pes","mačka","related","word","word",0.445523281233147
"playboy","magazín","related","word","word",0.286274807518607
"nehnuteľnosť","majiteľ","related","word","word",0.305866956198421
"kečup","majonéza","related","word","word",0.543631634755759
"umelec","maliar","related","word","word",0.481800581992058
"malý","malý","related","word","word",1
"otec","mama","related","word","word",0.539750625706
"kontrola","manipulovať","related","word","word",0.125375111242107
"manželka","manželka","related","word","word",1
"rozvod","manželstvo","related","word","word",0.451454385263576
"kompas","mapovať","related","word","word",0.225796191718438
"reklama","marketing","related","word","word",0.374360989784433
"jóga","masáž","related","word","word",0.308138865219029
"med","maslo","related","word","word",0.331549393584155
"bravčové mäso","mäso","related","word","word",NA
"fyzika","matematika","related","word","word",0.564047500914806
"minimálny","maximálny","related","word","word",0.653065370451631
"technický","mechanický","related","word","word",0.505365586764207
"artefakt","medailón","related","word","word",0.336044648083592
"trofej","medailu","related","word","word",0.377729090858853
"veverička","medvedík čistotný","related","word","word",NA
"kilometer","merač","related","word","word",0.255222522386872
"kapitál","mesto","related","word","word",0.0858449810689947
"regionálny","miestny","related","word","word",0.405314546868845
"miesto","miesto","related","word","word",1
"fotoaparát","mikrofón","related","word","word",0.347065890235382
"ďalekohľad","mikroskop","related","word","word",0.384556768241627
"milión","miliarda","related","word","word",0.486153199812609
"odpustenie","milosrdenstvo","related","word","word",0.471011848529711
"pani","milovník","related","word","word",0.10205413000667
"veľvyslanec","minister","related","word","word",0.368746586618693
"veľvyslanectvo","ministerstvo","related","word","word",0.416359858241853
"budúcnosť","minulosť","related","word","word",0.521772183896266
"plus","mínus","related","word","word",0.474728524484819
"druhý","minútu","related","word","word",0.175079687115418
"starý","mladý","related","word","word",0.439390426276981
"krv","moč","related","word","word",0.451458859728375
"škrabanec","modlitba","related","word","word",0.0987314106041294
"hnedý","modrá","related","word","word",0.354210122724618
"suchý","mokrý","related","word","word",0.447259812993568
"skrinka","monitorovať","related","word","word",0.156132944051398
"aspirín","morfín","related","word","word",0.61330986628077
"hotel","motel","related","word","word",0.654776550905124
"nádrž","motora","related","word","word",0.293602187546698
"mozog","mozgový","related","word","word",0.483565608816526
"šanca","možnosť","related","word","word",0.493323642523684
"voľba","možnosť","related","word","word",0.333074319190538
"včela","mravca","related","word","word",0.327903698501689
"telo","mŕtvola","related","word","word",0.329986458881349
"nažive","mŕtvy","related","word","word",0.413160354507934
"trápenie","mučenie","related","word","word",0.400727124685776
"zrno","múka","related","word","word",0.336673714961939
"evolúcia","mutácia","related","word","word",0.457429796993612
"knižnica","múzeum","related","word","word",0.308712209683422
"zvážiť","myslieť si","related","word","word",NA
"dôchodok","mzda","related","word","word",0.280856051551257
"jar","na jeseň","related","word","word",NA
"filozofia","náboženstvo","related","word","word",0.393100580594275
"sledovať","naháňačka","related","word","word",0.200467423115127
"nahradiť","náhradník","related","word","word",0.263860635750129
"krúžok","náhrdelník","related","word","word",0.2430605288514
"nahý","nahý","related","word","word",1
"vyhľadávanie","nájsť","related","word","word",0.295580726750957
"naložiť","náklad","related","word","word",0.453506977112991
"nakoniec","nakoniec","related","word","word",1
"pirát","námorník","related","word","word",0.256259718178631
"morský","námorný","related","word","word",0.352495398235758
"vlastne","naozaj","related","word","word",0.342365289769681
"čítať","napísať","related","word","word",0.493749838553313
"krajina","národ","related","word","word",0.359295109873586
"výročie","narodeniny","related","word","word",0.577840987950778
"prerušiť","narušiť","related","word","word",0.601680915558873
"pasca","návnada","related","word","word",0.439472923374283
"navrhnúť","navrhnúť","related","word","word",1
"večný","navždy","related","word","word",0.222739610510831
"obloha","nebeský","related","word","word",0.242864132993436
"riziko","nebezpečenstvo","related","word","word",0.538778508231546
"riskantný","nebezpečný","related","word","word",0.489503106653147
"náhle","nečakane","related","word","word",0.426431740624926
"teraz","nechať","related","word","word",0.213913587478084
"povoliť","nechať","related","word","word",0.379769931467939
"špinavý","nechutný","related","word","word",0.522067779918844
"len","nedávno","related","word","word",0.173798946204985
"sobota","nedeľa","related","word","word",0.516189738528708
"pozitívny","negatívny","related","word","word",0.709276796670787
"incident","nehoda","related","word","word",0.354343152088229
"slepý","nepočujúci","related","word","word",0.175005131184278
"nepohodlný","nepríjemný","related","word","word",0.495267576025793
"prítomnosť","neprítomnosť","related","word","word",0.890747637348178
"ustarostený","nervózny","related","word","word",0.456552327640414
"neschopnosť","neschopný","related","word","word",0.670102339853451
"nespravodlivosť","nespravodlivý","related","word","word",0.723001152469084
"nešťastný","nešťastie","related","word","word",0.626225174942964
"vždy","neustále","related","word","word",0.408933747913676
"stožiar","nevesta","related","word","word",0.128373282104941
"hnačka","nevoľnosť","related","word","word",0.485834323585815
"anonymný","neznámy","related","word","word",0.354380449445361
"nerozumný","nezodpovedný","related","word","word",0.438160604704526
"nič","niečo","related","word","word",0.520348713005943
"inde","niekde","related","word","word",0.313152749464959
"zdravý","normálny","related","word","word",0.410632863006864
"ústa","nos","related","word","word",0.394947301067241
"reportér","novinár","related","word","word",0.5962110515116
"kanál","novinka","related","word","word",0.149094084941153
"článok","noviny","related","word","word",0.408158470067608
"meč","nôž","related","word","word",0.491841201804163
"naliehavý","núdzový stav","related","word","word",NA
"von","o","related","word","word",0.11840257666372
"obchodný","obchodník","related","word","word",0.68235644709334
"fáza","obdobie","related","word","word",0.338283097334347
"tábor","obec","related","word","word",0.16601924879217
"snažiť sa","obed","related","word","word",NA
"planéta","obežná dráha","related","word","word",NA
"chrániť","obhajovať","related","word","word",0.399263344008162
"bozk","objať","related","word","word",0.306562880661674
"príkaz","objednať","related","word","word",0.0896762898584111
"čerstvý","obnoviť","related","word","word",0.0651707202106049
"rituál","obrad","related","word","word",0.501623661823516
"veľký","obrovský","related","word","word",0.571706222235268
"obsahovať","obsah","related","word","word",0.545835065854548
"zavádzanie","obuv","related","word","word",0.143513062233168
"sťažnosť","obvinenie","related","word","word",0.337400913482766
"polomer","obvod","related","word","word",0.365262513074743
"obyčajný","obvyklý","related","word","word",0.423860930663267
"čakať","očakávať","related","word","word",0.540825149887069
"atraktívny","očarujúci","related","word","word",0.441543124370897
"more","oceán","related","word","word",0.513206300236724
"betón","oceľ","related","word","word",0.407807792816211
"obdivovať","oceniť","related","word","word",0.406068922468855
"chrípka","ochorenie","related","word","word",0.355996982597557
"strýko","ocko","related","word","word",0.443056920795815
"príchod","odchod","related","word","word",0.489039138411917
"vernosť","oddanosť","related","word","word",0.664867456408477
"pohon","odhaliť","related","word","word",0.0581872194227466
"bonus","odmena","related","word","word",0.222381861911324
"odpor","odolať","related","word","word",0.179517807906925
"smeti","odpadu","related","word","word",0.383829841133125
"odpoveď","odpovedať","related","word","word",0.627600357786282
"úsek","odstavec","related","word","word",0.318043127003821
"eliminácia","odstrániť","related","word","word",0.267157846590777
"dna","odtlačok prsta","related","word","word",NA
"ušľachtilý","odvážny","related","word","word",0.422825278174019
"kradnúť","oklamať","related","word","word",0.265771887137917
"okrúhly","okolo","related","word","word",0.231798020736321
"krajina","okres","related","word","word",0.169853494926779
"september","október","related","word","word",0.575666054036621
"uhlie","olej","related","word","word",0.326867296387573
"krém","omáčka","related","word","word",0.315941948483976
"oproti","opačný","related","word","word",0.269285007965359
"triezvy","opitý","related","word","word",0.450646158537102
"nepriateľský","oponent","related","word","word",0.28273595657575
"opraviť","oprava","related","word","word",0.524913310791095
"opustiť","opustiť","related","word","word",1
"otázka","opýtať sa","related","word","word",NA
"zelená","oranžový","related","word","word",0.353627228065967
"sám","osamelý","related","word","word",0.32522729444257
"znak","osobnosť","related","word","word",0.103026141559894
"odpustiť","ospravedlnenie","related","word","word",0.383918558960394
"osud","osud","related","word","word",1
"matka","otec","related","word","word",0.485535642616274
"skontrolovať","overiť","related","word","word",0.552313936043983
"jablko","ovocie","related","word","word",0.290545451611555
"prst","palec","related","word","word",0.556984423520443
"plyn","palivo","related","word","word",0.383377470678313
"kabína","paluba","related","word","word",0.420066321588636
"pán","pani","related","word","word",0.384372900206253
"zemiak","paradajka","related","word","word",0.455815211735084
"nadprirodzený","paranormálny","related","word","word",0.449343643863901
"rúž","parfum","related","word","word",0.391942714929643
"nešťastný","patetický","related","word","word",0.388146838601833
"oblička","pečeň","related","word","word",0.505114791081966
"raj","pekla","related","word","word",0.198390453694779
"vrecko","peňaženka","related","word","word",0.334069633279102
"hotovosť","peniaze","related","word","word",0.443848042519754
"vagina","penis","related","word","word",NA
"papierový","pero","related","word","word",0.344734299126164
"vyhliadka","perspektíva","related","word","word",0.274532506668405
"album","pieseň","related","word","word",0.342205356044647
"bahno","piesok","related","word","word",0.337467619240146
"astronaut","pilot","related","word","word",0.305883984298514
"tableta","pilulka","related","word","word",0.542409515660148
"čítanie","písanie","related","word","word",0.557820279699503
"telegram","písmeno","related","word","word",0.105964537004094
"roh","píšťalka","related","word","word",0.181379365720582
"puška","pištoľ","related","word","word",0.530355725987497
"piť","pivo","related","word","word",0.40801619411402
"kotva","plachtiť sa","related","word","word",NA
"oheň","plameň","related","word","word",0.444781372955215
"príprava","plánovanie","related","word","word",0.396938870332679
"cement","plastový","related","word","word",0.383261126582292
"prázdny","plný","related","word","word",0.480542243254471
"stena","plot","related","word","word",0.333149395192656
"všeobecný","plukovník","related","word","word",0.1382278328324
"pláž","pobrežie","related","word","word",0.380789698467876
"kopať","pochovať","related","word","word",0.370112999067755
"dojem","pocit","related","word","word",0.354600940607321
"softvér","počítač","related","word","word",0.573600229881677
"vďačný","poďakovať","related","word","word",0.549179050749599
"neobvyklý","podivný","related","word","word",0.395294881992926
"priemysel","podnik","related","word","word",0.370893616404131
"milionár","podnikateľ","related","word","word",0.425304724398894
"pochybnosť","podozrivý","related","word","word",0.140677899112
"pečiatka","podpis","related","word","word",0.410121005666751
"konšpirácia","podvod","related","word","word",0.304165326623934
"rakva","pohreb","related","word","word",0.272639083367013
"hazardné hry","poker","related","word","word",NA
"tichý","pokojný","related","word","word",0.513787124489846
"vyskúšať","pokus","related","word","word",0.265362862508118
"vypočutie","pokus","related","word","word",0.291206181749049
"nemocnica","poliklinika","related","word","word",NA
"kritický","politický","related","word","word",0.590458615694582
"politika","politik","related","word","word",0.687102234046292
"žurnalistika","politika","related","word","word",0.432637277316166
"polnočný","poludnie","related","word","word",0.368156757324173
"pomoc","pomáhať","related","word","word",0.339560322835243
"podpora","pomoc","related","word","word",0.43725857584937
"profil","popis","related","word","word",0.40843473656399
"poradenstvo","poradiť","related","word","word",0.326657153376211
"víťazstvo","porážka","related","word","word",0.417612836427648
"seržant","poručík","related","word","word",0.529762223713657
"rana","poškodenie","related","word","word",0.340806416067883
"povoliť","poskytnúť","related","word","word",0.297991541947292
"úloha","poslanie","related","word","word",0.339436714823447
"priniesť","poslať","related","word","word",0.402990285182663
"najprv","posledný","related","word","word",0.150188807338242
"pohovka","posteľ","related","word","word",0.377254391253305
"stanovisko","postoj","related","word","word",0.312534646361701
"proces","postup","related","word","word",0.360526737445534
"myš","potkan","related","word","word",0.383259975468919
"nevyhnutný","potreba","related","word","word",0.385580316197285
"potvrdenie","potvrdiť","related","word","word",0.61993383556722
"platiť","použitie","related","word","word",0.132613863447341
"kariéra","povesť","related","word","word",0.358254704342456
"povedať","povie","related","word","word",0.465476689593813
"zodpovednosť","povinnosť","related","word","word",0.462305184502138
"vrstva","povrch","related","word","word",0.353883179429242
"zablahoželať","pozdraviť","related","word","word",0.3695496374191
"dopyt","požiadavka","related","word","word",0.256232485579038
"postavenie","pozícia","related","word","word",0.297703257476653
"výnimočný","pozoruhodný","related","word","word",0.497283789212172
"zamestnanie","práca","related","word","word",0.32182107396969
"popol","prach","related","word","word",0.480173927077545
"poľnohospodár","pracovník","related","word","word",0.309061834291035
"doslova","prakticky","related","word","word",0.34302048104114
"pluk","prápor","related","word","word",0.497084648607306
"krava","prasa","related","word","word",0.310938320397574
"hrdzavý","prašný","related","word","word",0.220048280853315
"možno","pravdepodobne","related","word","word",0.401141713649085
"pravdepodobnosť","pravdepodobný","related","word","word",0.747260230840752
"nezákonný","právny","related","word","word",0.417361512050387
"spustiť","prechádzka","related","word","word",0.12994645546791
"zdriemnutie","prechádzka","related","word","word",0.350093368984556
"kúpiť","predať","related","word","word",0.533607660443021
"korisť","predátor","related","word","word",0.511384796543402
"objekt","predmet","related","word","word",0.448062459210855
"seminár","prednáška","related","word","word",0.406812842334386
