fr_cue,fr_target,type,cue_type,target_type,fr_cosine
auteur,acteur,related,word,word,0.494913087788255
autopsie,analyse,related,word,word,0.5367661625161
autorisation,approbation,related,word,word,0.580993342366265
autoriser,laisser,related,word,word,0.443313214715999
avaler,mâcher,related,word,word,0.532229918607404
futur,passé,related,word,word,0.305692061984134
aveugle,sourd,related,word,word,0.61162560425893
opinion,avis,related,word,word,0.629682359325284
avocat,procureur,related,word,word,0.510336518726151
badge,uniforme,related,word,word,0.553276042258914
bague,collier,related,word,word,0.644804294928323
baie,port,related,word,word,0.4647844020252
banane,fraise,related,word,word,0.594144939708858
bancaire,financier,related,word,word,0.542111659846124
remorque,fourgonnette,related,word,word,0.605575756979769
banquier,investisseur,related,word,word,0.546480844530765
baron,comtesse,related,word,word,0.47692226816504
base,quartier-général,related,word,word,
basket-ball,football,related,word,word,
bébé,enfant,related,word,word,0.69084847415864
bénévole,volontairement,related,word,word,0.264712352755866
bête,animal,related,word,word,0.475825144133448
béton,acier,related,word,word,0.575857795993858
bible,livre,related,word,word,0.513390790915424
bibliothèque,musée,related,word,word,0.44729995995059
bien,mal,related,word,word,0.541541126739181
immobilier,propriétaire,related,word,word,0.276848126442712
billet,passeport,related,word,word,0.5299087757118
blanc,noir,related,word,word,0.756272081823173
plaie,blessure,related,word,word,0.768137675187411
boisson,bière,related,word,word,0.614123122252383
boîte,sac,related,word,word,0.358149755103415
bol,assiette,related,word,word,0.470240683645735
bombe,explosif,related,word,word,0.606892327745442
bonjour,salut,related,word,word,0.782105592221111
bouche,nez,related,word,word,0.433507975821233
bouclier,armure,related,word,word,0.482172994012291
boue,sable,related,word,word,0.461628639381406
déplacement,transfert,related,word,word,0.436947501860839
boussole,carte,related,word,word,0.414293549045167
bouton,appuyer,related,word,word,0.465437702173239
bravo,alpha,related,word,word,0.443251594942126
briser,casser,related,word,word,0.714010454554472
livre,dollar,related,word,word,0.248936400331978
bruit,son,related,word,word,0.10888870434125
brutal,cruel,related,word,word,0.621009513492497
budget,financement,related,word,word,0.580049595098486
buisson,arbre,related,word,word,0.609766080961822
objectif,intention,related,word,word,0.30503227632954
cabine,pont,related,word,word,0.306906344074766
cabinet,toilettes,related,word,word,0.178831546609216
câble,fil,related,word,word,0.470310114407529
calendrier,programme,related,word,word,0.318190466463889
calibre,balle,related,word,word,0.457412853156802
campement,village,related,word,word,0.572586473348558
campagne,élection,related,word,word,0.469266050963507
chaîne,informations,related,word,word,0.134342184024564
candidat,électeur,related,word,word,0.541181089168576
cannelle,vanille,related,word,word,0.664884597169496
capacité,aptitude,related,word,word,0.670698880001558
capitale,ville,related,word,word,0.49148457568454
capsule,sonde,related,word,word,0.499662691551362
capteur,émetteur,related,word,word,0.61134085181649
carbone,hydrogène,related,word,word,0.637860594623361
carnaval,festival,related,word,word,0.519543783060013
carrière,réputation,related,word,word,0.512816796084314
casque,chapeau,related,word,word,0.56818479588993
catholique,chrétien,related,word,word,0.595098946028073
cauchemar,rêve,related,word,word,0.5988207991393
cavalerie,artillerie,related,word,word,0.540524373585298
célébrité,star,related,word,word,0.598069105902586
célibataire,marié,related,word,word,0.595507611866205
cellule,prison,related,word,word,0.5826175368376
cendre,poussière,related,word,word,0.646005322752215
cercle,triangle,related,word,word,0.49992219228961
cercueil,funérailles,related,word,word,0.412039234221778
cerveau,cérébral,related,word,word,0.605609639230583
césar,rome,related,word,word,0.581830061673107
chaîne,corde,related,word,word,0.374092018913502
chaleureux,cool,related,word,word,0.315729219572201
champion,combattant,related,word,word,0.408505843778849
chance,possibilité,related,word,word,0.528907727914285
chancelier,président,related,word,word,0.458928963776528
changement,amélioration,related,word,word,0.468822478117124
chanteur,musicien,related,word,word,0.709896111326238
char,moteur,related,word,word,0.318596723928321
charbon,pétrole,related,word,word,0.586687783342071
charge,cargaison,related,word,word,0.271368659967754
charité,don,related,word,word,0.341572494898305
charme,beauté,related,word,word,0.39416877090455
chasser,pêcher,related,word,word,0.555794603123503
chaud,froid,related,word,word,0.741484538679176
chauffer,température,related,word,word,0.383638620370737
chemise,veste,related,word,word,0.758272419394626
contrôler,vérifier,related,word,word,0.305927853302885
cher,économique,related,word,word,0.0975690080515634
chercher,trouver,related,word,word,0.530319127205858
cheveu,barbe,related,word,word,0.398748165058462
chien,chat,related,word,word,0.730924270153601
chiffon,mouchoir,related,word,word,0.571504005028961
chimie,biologie,related,word,word,0.745735697861139
chimique,biologique,related,word,word,0.594200822962734
chirurgien,médecin,related,word,word,0.695118939586604
choisir,sélectionner,related,word,word,0.562890591781662
choix,option,related,word,word,0.454413571172776
ciel,céleste,related,word,word,0.482612971244203
ciment,plastique,related,word,word,0.462350719897667
cinéma,théâtre,related,word,word,0.663273128931427
civil,militaire,related,word,word,0.51759867953222
clairement,évidemment,related,word,word,0.4273357434668
clan,famille,related,word,word,0.493556731362056
classe,école,related,word,word,0.486162492374599
clé,serrure,related,word,word,0.488712162467061
ongle,dent,related,word,word,0.486915047799881
club,bar,related,word,word,0.605942331660597
cocaïne,héroïne,related,word,word,0.73127235912173
code,mot de passe,related,word,word,
coin,rue,related,word,word,0.530682588171367
colère,rage,related,word,word,0.591879852635165
collation,déjeuner,related,word,word,0.406410406016091
collecter,rassembler,related,word,word,0.542879378426658
collègue,ami,related,word,word,0.572453642403306
planter,marteau,related,word,word,0.239974435249703
colline,montagne,related,word,word,0.713230116316084
colonie,fédération,related,word,word,0.492921209216344
combattre,lutter,related,word,word,0.677627519474882
combinaison,mélange,related,word,word,0.346200961323009
commander,ordonner,related,word,word,0.332297432113
commenter,déclarer,related,word,word,0.32886116024756
publicité,marchand,related,word,word,0.130777161373827
commission,comité,related,word,word,0.672702079544536
compatissant,généreuse,related,word,word,0.417737508117058
complimenter,cadeau,related,word,word,0.363552108322371
compter,calculer,related,word,word,0.314452730042504
comté,district,related,word,word,0.464147422652092
concept,définition,related,word,word,0.456258849051762
conclusion,hypothèse,related,word,word,0.393453873516598
compétition,championnat,related,word,word,0.516808718382372
conduire,piloter,related,word,word,0.480249696816375
conférence,réunion,related,word,word,0.648295813295988
confiance,croire,related,word,word,0.392899761198713
confirmation,confirmer,related,word,word,0.604989705338152
conflit,dispute,related,word,word,0.472576292334414
recommendation,conseil,related,word,word,0.304878012700572
conservateur,libéral,related,word,word,0.592317540630145
considérer,penser,related,word,word,0.494135280213807
complot,fraude,related,word,word,0.44328981500525
construction,bâtir,related,word,word,0.526586467946018
contact,connexion,related,word,word,0.426079473012781
contamination,radiation,related,word,word,0.583254659057999
contenir,contenu,related,word,word,0.51453568333059
contrat,accord,related,word,word,0.606251887674901
contrôler,manipuler,related,word,word,0.616465440965517
conversation,discussion,related,word,word,0.821199338084858
corps,cadavre,related,word,word,0.677178935225267
couche,surface,related,word,word,0.20977217941496
crépuscule,aube,related,word,word,0.565242957282609
tasse,café,related,word,word,0.712694927696927
courage,détermination,related,word,word,0.545906766001815
courant,électricité,related,word,word,0.475422650605229
couronne,trône,related,word,word,0.540627141505735
courrier,fax,related,word,word,0.509608169658972
courir,marcher,related,word,word,0.563852748633703
court,long,related,word,word,0.412024912801666
couverture,serviette,related,word,word,0.399759310819083
couvrir,cacher,related,word,word,0.473635855795618
création,destruction,related,word,word,0.510978788279
crédit,prêt,related,word,word,0.227454853212308
créer,produire,related,word,word,0.517243698413276
crème,sauce,related,word,word,0.547730076714686
creuser,enterrer,related,word,word,0.546388467509038
critique,politique,related,word,word,0.332861166727474
cuillère,fourchette,related,word,word,0.631177796023829
cuisinier,chef,related,word,word,0.412441649343913
cul,fesse,related,word,word,0.603873430549092
culture,civilisation,related,word,word,0.597407459270842
oui,ouais,related,word,word,0.836076145292613
danseur,danse,related,word,word,0.517916614637218
pays,nation,related,word,word,0.535035846517507
face,arrière,related,word,word,0.257494910824065
alcool,drogue,related,word,word,0.556787067108677
précieux,important,related,word,word,0.448712192920989
décent,honnête,related,word,word,0.504044863953769
décès,disparition,related,word,word,0.491394207592735
déchet,ordure,related,word,word,0.510052626872776
gaspiller,dépenser,related,word,word,0.602042366137577
décrire,exprimer,related,word,word,0.457815821509263
déjà,toujours,related,word,word,0.360894522492241
délicat,sensible,related,word,word,0.547087745938111
savoureux,délicieux,related,word,word,0.739794788795893
demain,matin,related,word,word,0.409452813765613
demande,requête,related,word,word,0.53559205094458
botte,chaussure,related,word,word,0.543707998917142
moitié,quart,related,word,word,0.41952221258809
démission,licenciement,related,word,word,0.527117174317139
déraisonnable,irresponsable,related,word,word,0.547298737838886
désert,vallée,related,word,word,0.443576768975426
désirer,souhaiter,related,word,word,0.377515423885231
fatalité,destinée,related,word,word,0.407613761944745
haïr,aimer,related,word,word,0.616368040655133
détonateur,minuteur,related,word,word,0.658658869617189
deux,quatre,related,word,word,0.758845955606356
diamant,bijou,related,word,word,0.65730216840783
dictionnaire,phrase,related,word,word,0.460863383436116
dieu,divin,related,word,word,0.423073821639613
difficile,dur,related,word,word,0.762291996391672
dégoutant,laid,related,word,word,0.449899497036615
dîner,petit-déjeuner,related,word,word,
diplôme,diplômé,related,word,word,0.685478910070714
dire,raconter,related,word,word,0.505753499858018
direct,directement,related,word,word,0.492416819608583
manageur,chef,related,word,word,0.336866724104793
discours,sermon,related,word,word,0.615636819002391
disque,enregistrement,related,word,word,0.490521469044997
distance,vitesse,related,word,word,0.399477654283097
divorce,mariage,related,word,word,0.56224856993915
doigt,pouce,related,word,word,0.614126994574261
doré,argenté,related,word,word,0.574302415077243
dose,injection,related,word,word,0.527740298797584
double,triple,related,word,word,0.750110348344673
douche,salle de bain,related,word,word,
douter,suspecter,related,word,word,0.51040059582432
doux,gentil,related,word,word,0.477122886240495
doyen,professeur,related,word,word,0.544492740939868
dragon,lion,related,word,word,0.585997858421069
drame,comédie,related,word,word,0.504106504984498
drapeau,symbole,related,word,word,0.438904320708992
droite,gauche,related,word,word,0.946163013922679
droit,constitution,related,word,word,0.336761548902396
quotidiennement,hebdomadaire,related,word,word,0.337820841747164
repos,sommeil,related,word,word,0.426666293704525
sang,urine,related,word,word,0.569199137445745
sucre,chocolat,related,word,word,0.57592310244936
méridional,occidental,related,word,word,0.416955723930488
farce,blague,related,word,word,0.580669972637704
dvd,vidéo,related,word,word,0.482708975307311
dynastie,empire,related,word,word,0.417223882265364
puce,appareil,related,word,word,0.353801130371381
éclat,brillant,related,word,word,0.366058079941239
éclater,exploser,related,word,word,0.621813215193006
écouter,entendre,related,word,word,0.665600214880254
écran,moniteur,related,word,word,0.411546449043957
écureuil,raton laveur,related,word,word,
effrayant,sinistre,related,word,word,0.510240699290418
épouvanter,effrayer,related,word,word,0.368163323730811
église,chapelle,related,word,word,0.665399329212786
élève,professeur,related,word,word,0.462934955051521
éliminer,retirer,related,word,word,0.343647601384258
embaucher,louer,related,word,word,0.354575953010319
bisou,câlin,related,word,word,0.703514800382212
empêcher,arrêter,related,word,word,0.579191006963285
dehors,autour,related,word,word,0.305052789719787
espèce,monnaie,related,word,word,0.174146362546167
réellement,vraiment,related,word,word,0.69754004751716
retard,avance,related,word,word,0.52644143921913
normalement,habituellement,related,word,word,0.605501609918211
enchère,vente,related,word,word,0.49699858979162
fiançailles,mariage,related,word,word,0.566419493306328
ennemi,adversaire,related,word,word,0.617720083164039
enthousiasme,passion,related,word,word,0.479831336599506
pratiquer,exercer,related,word,word,0.55214760297404
entraîneur,joueur,related,word,word,0.549250211319612
entreprise,société,related,word,word,0.715444898453885
entrer,aller,related,word,word,0.400798677600704
envelopper,emballer,related,word,word,0.517724169762584
environnement,atmosphère,related,word,word,0.476816309533982
épaule,genou,related,word,word,0.62094523457463
épée,couteau,related,word,word,0.521930328740755
équilibre,harmonie,related,word,word,0.524032413507065
équipage,bateau,related,word,word,0.40637642112118
équipement,équiper,related,word,word,0.516819498110704
équitable,raisonnable,related,word,word,0.502830014944407
erreur,faute,related,word,word,0.464404953775375
escargot,tortue,related,word,word,0.458250109451122
escorte,accompagner,related,word,word,0.36299151058923
espérer,foi,related,word,word,0.250533429134573
espionnage,sabotage,related,word,word,0.464365341150861
espion,traître,related,word,word,0.546077624632299
essayer,tentative,related,word,word,0.352671978495344
estomac,poitrine,related,word,word,0.495535444805643
éternel,toujours,related,word,word,0.322827675463038
étroit,large,related,word,word,0.437139230486558
valeur,prix,related,word,word,0.406009626587515
évêque,cardinal,related,word,word,0.581678659224733
évolution,mutation,related,word,word,0.493294491773149
examen,inspection,related,word,word,0.457411927214495
examiner,enquêter,related,word,word,0.465651087863549
excellent,génial,related,word,word,0.52514347050931
exceptionnel,remarquable,related,word,word,0.626628193236813
expérience,connaissances,related,word,word,0.407188231068027
expérience,test,related,word,word,0.274975337634014
expert,spécialiste,related,word,word,0.754058645579301
explication,plausible,related,word,word,0.480262585595995
extrêmement,très,related,word,word,0.773396303328857
fabriquer,faire,related,word,word,0.358810677771761
facteur,élément,related,word,word,0.373987068269768
faim,soif,related,word,word,0.693686107542857
gérer,réussir,related,word,word,0.280579038354285
fatigué,faim,related,word,word,0.424455002160823
factice,faux,related,word,word,0.371267623140656
fédéral,état,related,word,word,0.207501462929003
féliciter,saluer,related,word,word,0.595260826979292
fer,métal,related,word,word,0.492754766008994
verrouillé,fermé,related,word,word,0.579642518295357
fermement,fortement,related,word,word,0.461675087719102
fermier,ouvrier,related,word,word,0.446540388522335
feu,flamme,related,word,word,0.511827020670373
fichier,document,related,word,word,0.528402021046694
loyal,fidèle,related,word,word,0.659536909617069
fidélité,dévouement,related,word,word,0.483593920498192
loyauté,honnêteté,related,word,word,0.618637773529474
fier,enthousiaste,related,word,word,0.380559685338226
fille,garçon,related,word,word,0.579083956184534
final,ultime,related,word,word,0.487481841363864
finalement,enfin,related,word,word,0.78520150810327
financièrement,financement,related,word,word,0.455150850277264
finir,terminer,related,word,word,0.820214703668419
fissure,trou,related,word,word,0.427531768580721
flatter,impressionner,related,word,word,0.546577892190304
fleuve,lac,related,word,word,0.690316489269323
opérer,chirurgie,related,word,word,0.614639915513151
fondre,geler,related,word,word,0.469072685561198
puissance,force,related,word,word,0.575877942981649
formulaire,signer,related,word,word,0.553328971570124
train,bus,related,word,word,0.415494914409279
fort,faible,related,word,word,0.428381200385751
foudre,tonnerre,related,word,word,0.535550341462782
foule,public,related,word,word,0.429606232950898
four,poêle,related,word,word,0.528174643549444
fragment,morceau,related,word,word,0.541431940861742
frais,rafraîchir,related,word,word,0.23445036714877
coup,frappe,related,word,word,0.291999217029023
fuir,échapper,related,word,word,0.57108602745677
fumée,cigare,related,word,word,0.373383657801801
fusée,missile,related,word,word,0.501319480173163
fusil,pistolet,related,word,word,0.803127089769326
déclencher,activer,related,word,word,0.525025544209352
gain,gagner,related,word,word,0.346054913147992
galerie,exposition,related,word,word,0.542009673803284
gang,groupe,related,word,word,0.451599229609664
garantie,promettre,related,word,word,0.378187204882291
garçons,filles,related,word,word,0.738411798666274
garder,patrouille,related,word,word,0.108429142471454
gaz,carburant,related,word,word,0.490731690827056
général,colonel,related,word,word,0.646772484817725
générateur,réacteur,related,word,word,0.661133852175536
génie,scientifique,related,word,word,0.427457699313219
geste,acte,related,word,word,0.481566532120462
glorieux,gloire,related,word,word,0.534674436094549
gorge,cou,related,word,word,0.484091083281827
goût,sentir,related,word,word,0.272835200950547
gouverneur,sénateur,related,word,word,0.688039575686441
grain,farine,related,word,word,0.39400917835128
grand-père,grand-mère,related,word,word,
grenouille,lézard,related,word,word,0.515976865644215
toast,bacon,related,word,word,0.399860369593594
grimper,saut,related,word,word,0.296238109208926
grippe,maladie,related,word,word,0.597055790376807
gros,énorme,related,word,word,0.576262132589968
guerre,bataille,related,word,word,0.608006007107208
vivre,survivre,related,word,word,0.505131117955657
haut,bas,related,word,word,0.791565483858913
héros,sauveur,related,word,word,0.543194143215884
homme,humain,related,word,word,0.461500999004614
hôpital,clinique,related,word,word,0.6352037528347
hormone,adrénaline,related,word,word,0.554842415384071
horreur,peur,related,word,word,0.37369292767359
hospitalité,reconnaissance,related,word,word,0.406920715146415
hôtel,motel,related,word,word,0.680619930886736
humble,modeste,related,word,word,0.620526598114754
ici,là-bas,related,word,word,
idéal,parfait,related,word,word,0.646334840499253
idée,théorie,related,word,word,0.424536775249387
ignorance,arrogance,related,word,word,0.582171932289575
illégal,légal,related,word,word,0.673750742885061
illusion,hallucination,related,word,word,0.524992373024445
image,photo,related,word,word,0.48699696861934
imagination,créativité,related,word,word,0.521390752364658
impérial,empereur,related,word,word,0.513066585394832
impossible,facile,related,word,word,0.546816658128847
impression,sensation,related,word,word,0.5270669074109
impressionnant,incroyable,related,word,word,0.614272969224771
impulsion,pression,related,word,word,0.26889516344038
incapacité,incapable,related,word,word,0.648134661655508
incident,accident,related,word,word,0.621637330815696
inconfortable,désagréable,related,word,word,0.572714979922011
pointer,indiquer,related,word,word,0.291359440121023
industrie,business,related,word,word,0.394695988292927
influence,effet,related,word,word,0.387769193739681
ingénieur,architecte,related,word,word,0.568138403583392
inhabituel,étrange,related,word,word,0.65479102992236
injustice,déloyal,related,word,word,0.298908139914477
innocent,coupable,related,word,word,0.55553125766092
inquiet,nerveux,related,word,word,0.560367022876669
difficulté,problème,related,word,word,0.418556228821195
insérer,mettre,related,word,word,0.416612410349975
inspecteur,commissaire,related,word,word,0.614796480597974
inspirer,inspiration,related,word,word,0.559473545593636
instinct,intuition,related,word,word,0.628184315812859
insulter,offenser,related,word,word,0.549342621351446
malin,intelligent,related,word,word,0.717499708787231
interdit,prohiber,related,word,word,0.423227649409391
international,monde,related,word,word,0.220170542494656
interne,externe,related,word,word,0.70254478541532
interrompre,déranger,related,word,word,0.659439924379361
inutile,misérable,related,word,word,0.383315079182306
invasion,attaque,related,word,word,0.598744248516538
ironie,ironique,related,word,word,0.557583398943388
jaloux,fâché,related,word,word,0.521522759848091
jamais,toujours,related,word,word,0.44910497452972
jeep,camion,related,word,word,0.552064992279737
fiancé,mariée,related,word,word,0.53698624235427
jeunesse,enfance,related,word,word,0.499866242782622
pari,poker,related,word,word,0.428788978877384
jolie,magnifique,related,word,word,0.606443696456145
jouer,jeu,related,word,word,0.450007168049835
journalisme,politique,related,word,word,0.467318500912714
reporter,journaliste,related,word,word,0.639729207537996
juin,juillet,related,word,word,0.732955272000801
jungle,forêt,related,word,word,0.613956308301885
jupe,robe,related,word,word,0.672791107176358
jurer,serment,related,word,word,0.474820453249494
juridiction,autorité,related,word,word,0.49734107663256
juste,récemment,related,word,word,0.195153941154074
ketchup,mayonnaise,related,word,word,0.587528649688836
kidnapper,enlever,related,word,word,0.38919838262843
kidnappeur,rançon,related,word,word,0.469791450488716
kilo,gramme,related,word,word,0.627621424791087
kilomètre,mètre,related,word,word,0.596680696656437
klaxon,sifflet,related,word,word,0.530799891019025
été,hiver,related,word,word,0.187467781307044
internet,web,related,word,word,0.617391490382347
démence,stupidité,related,word,word,0.418402351987035
diarrhée,nausée,related,word,word,0.61179364555995
fenêtre,porte,related,word,word,0.536482421507262
fille,fils,related,word,word,0.480342648383716
finance,investir,related,word,word,0.405986309187244
fréquence,signal,related,word,word,0.520322815064118
lecture,écriture,related,word,word,0.400413434799219
magie,sorcier,related,word,word,0.501980668138186
navigation,communication,related,word,word,0.492487063141633
pauvreté,misère,related,word,word,0.599931357702413
peau,tissus,related,word,word,0.452932572746686
personne,individu,related,word,word,0.374867084478532
peste,épidémie,related,word,word,0.627692824834131
physique,mathématiques,related,word,word,0.571661653083078
publicité,marketing,related,word,word,0.519227982349174
résistance,résister,related,word,word,0.473600384046705
source,informateur,related,word,word,0.380257349340474
technologie,science,related,word,word,0.569604844807917
tombe,cimetière,related,word,word,0.419125583169341
tour,bâtiment,related,word,word,0.207137737219641
toux,fièvre,related,word,word,0.525185357463279
troisième,quatrième,related,word,word,0.86131305727088
victoire,défaite,related,word,word,0.690724354149521
goutte,gorgée,related,word,word,0.49835183918337
lait,jus,related,word,word,0.607715732163853
lampe,bougie,related,word,word,0.62540392433952
larme,couper,related,word,word,0.111114233384821
lasagne,spaghetti,related,word,word,0.564401138981264
chaos,confusion,related,word,word,0.505093876732031
commandant,capitaine,related,word,word,0.720176384937681
dessert,gâteau,related,word,word,0.617938372469021
golf,tennis,related,word,word,0.700903796336817
jazz,musique,related,word,word,0.584769741900186
management,administratif,related,word,word,0.423629771069727
minimum,maximum,related,word,word,0.698831100752773
pardon,pitié,related,word,word,0.161321695510006
printemps,automne,related,word,word,0.733614373304645
progrès,développement,related,word,word,0.437877092271261
respect,confiance,related,word,word,0.362208943398316
sida,vih,related,word,word,0.646211516546156
sourire,rigoler,related,word,word,0.361412556276361
tabac,cigarette,related,word,word,0.497242937874922
légion,armée,related,word,word,0.515949828881045
lent,vite,related,word,word,0.31993822037885
lentement,rapidement,related,word,word,0.595951038089005
données,information,related,word,word,0.462617126626459
lesbienne,gay,related,word,word,0.625754191150572
lèvre,joue,related,word,word,0.254519314271545
liberté,démocratie,related,word,word,0.530511231561705
librement,libre,related,word,word,0.460217915312324
lier,nouer,related,word,word,0.38826743837029
place,lieu,related,word,word,0.221167328884536
ligue,équipe,related,word,word,0.471528715391083
limonade,soda,related,word,word,0.685350891181499
liquide,fluide,related,word,word,0.566998835079429
lire,écrire,related,word,word,0.682563421635971
locataire,propriétaire,related,word,word,0.572656543099533
maison,appartement,related,word,word,0.568483187164192
logiciel,ordinateur,related,word,word,0.594521908011014
loisir,sport,related,word,word,0.325907866299603
lourd,lourdement,related,word,word,0.471979924544365
lunaire,solaire,related,word,word,0.473146369145871
lundi,mardi,related,word,word,0.798301080708412
lune,soleil,related,word,word,0.502146431968609
lunettes,casquette,related,word,word,0.59715609783839
mafia,cartel,related,word,word,0.546493201942437
magasin,boutique,related,word,word,0.805870809869098
magnétique,électrique,related,word,word,0.581576561411954
magnifique,fantastique,related,word,word,0.700422964829771
main,bras,related,word,word,0.460410491986586
maîtresse,amant,related,word,word,0.505107325633517
majesté,altesse,related,word,word,0.674114819238859
majorité,voter,related,word,word,0.454908578445061
mal,cruauté,related,word,word,0.199780764506007
souffrant,malade,related,word,word,0.50596597707205
malédiction,sorcière,related,word,word,0.528802213897586
malheureux,malheur,related,word,word,0.481442418991896
mallette,valise,related,word,word,0.751842239169724
protestation,manifestation,related,word,word,0.676852163042994
maquette,prototype,related,word,word,0.422982530628682
marathon,course,related,word,word,0.406850709488967
mari,femme,related,word,word,0.604201567014264
marin,marine,related,word,word,0.60083582792754
marque,produit,related,word,word,0.242085006922347
marron,bleu,related,word,word,0.658070931067847
mars,vénus,related,word,word,0.523286105700858
homme,femme,related,word,word,0.569103198892677
mec,pote,related,word,word,0.540627879146862
impur,dégoûtant,related,word,word,0.404031023310982
médical,psychologique,related,word,word,0.494048250874071
membre,chef,related,word,word,0.384678802060158
mensonge,menteur,related,word,word,0.499031835668172
cérébral,émotif,related,word,word,0.402516859163662
mer,océan,related,word,word,0.691007659574587
mercenaire,assassin,related,word,word,0.420777955097657
mère,père,related,word,word,0.650678164790762
mériter,digne,related,word,word,0.443004522691947
méthode,technique,related,word,word,0.634773928236826
sous,élevé,related,word,word,0.0829274339306503
mile,centimètre,related,word,word,0.0541091133621833
mille,cent,related,word,word,0.670745378508706
million,milliard,related,word,word,0.821234752750742
millionnaire,entrepreneur,related,word,word,0.439055242919236
mince,épais,related,word,word,0.484453055385319
mêler,mélanger,related,word,word,0.472350112790273
minuit,midi,related,word,word,0.630977786098241
misérable,pathétique,related,word,word,0.638076974126967
moderne,traditionnel,related,word,word,0.438820624260374
moine,prêtre,related,word,word,0.619552816211822
mois,semaine,related,word,word,0.708269908904943
miel,beurre,related,word,word,0.432655427169967
monstre,créature,related,word,word,0.579690540693443
monument,statue,related,word,word,0.513921364923815
mortel,fatal,related,word,word,0.579920011388045
mot,phrase,related,word,word,0.545595096306545
motif,alibi,related,word,word,0.35321712430247
mur,clôture,related,word,word,0.454234552062979
mythe,légende,related,word,word,0.618057551858188
naissance,grossesse,related,word,word,0.358612388331872
naïf,cynique,related,word,word,0.588293797016837
naïve,stupide,related,word,word,0.474597893242111
national,global,related,word,word,0.295445381080481
naturel,artificiel,related,word,word,0.450227287530805
naturellement,généralement,related,word,word,0.422634886282162
naval,flotte,related,word,word,0.330794153997836
nécessaire,besoin,related,word,word,0.405072825163509
nerf,muscle,related,word,word,0.516194075210435
nettoyer,laver,related,word,word,0.629059323452329
nid,oeuf,related,word,word,0.415343506660735
ninja,samouraï,related,word,word,0.476722769684836
nobel,prix,related,word,word,0.280020256282202
noble,courageux,related,word,word,0.425690840227725
noël,vacances,related,word,word,0.455777686305901
nom,titre,related,word,word,0.400163361450977
nounou,domestique,related,word,word,0.491794275079948
