de_cue,de_target,type,cue_type,target_type,de_cosine
außen,innen,related,word,word,0.711341589704895
außergewöhnlich,bemerkenswert,related,word,word,0.635594614513806
äußerst,sehr,related,word,word,0.65758556882315
auswahl,möglichkeit,related,word,word,0.241809993744372
autogramm,fotograf,related,word,word,0.324143081412313
autopsie,analyse,related,word,word,0.531609586288811
autor,schauspieler,related,word,word,0.498149874131787
baby,kind,related,word,word,0.72816007925289
balance,harmonie,related,word,word,0.437987077898857
banane,erdbeere,related,word,word,0.571376844567307
bankwesen,finanzen,related,word,word,0.393832483996897
banker,investor,related,word,word,0.383294860822758
bär,wolf,related,word,word,0.450242349416511
baron,gräfin,related,word,word,0.451248363650319
basis,hauptquartier,related,word,word,0.31664415610501
basketball,football,related,word,word,0.719489127210769
bauer,arbeiter,related,word,word,0.289696869995432
becher,kaffee,related,word,word,0.380758242073287
bedeutung,wichtigkeit,related,word,word,0.557821733004253
bedienung,wartung,related,word,word,0.309866532112389
beeindruckend,erstaunlich,related,word,word,0.564693970673846
einfluss,wirkung,related,word,word,0.364467802751169
befehl,auftrag,related,word,word,0.474896257407772
befriedigt,glücklich,related,word,word,0.274618381607375
begeisterung,hingabe,related,word,word,0.534808473785834
geleiten,begleiten,related,word,word,0.606058219273119
ladung,fracht,related,word,word,0.526406704548489
beleidigung,beleidigen,related,word,word,0.465253371637647
beliebt,berühmt,related,word,word,0.404932607138074
bereich,zone,related,word,word,0.448448662500912
bereit,vorbereiten,related,word,word,0.432836437530566
bereits,noch,related,word,word,0.276668649922512
berühmtheit,star,related,word,word,0.366988029689605
besatzung,schiff,related,word,word,0.472847650741337
demütig,bescheiden,related,word,word,0.414376083052605
beschreiben,ausdrücken,related,word,word,0.452614040441771
beschützen,verteidigen,related,word,word,0.571860488574334
beschwerde,anklage,related,word,word,0.414653120609172
beseitigen,löschen,related,word,word,0.351221020141611
besonders,einzigartig,related,word,word,0.333133416770298
besorgt,nervös,related,word,word,0.383828580039366
bestätigung,bestätigen,related,word,word,0.507846921321666
bestechung,erpressung,related,word,word,0.632489832511061
bestrafen,festnehmen,related,word,word,0.389671247522714
beton,stahl,related,word,word,0.440102992303008
stress,depression,related,word,word,0.409086664974125
betrachtung,spiegel,related,word,word,0.206581313541495
betreten,gehen,related,word,word,0.336128853886652
betriebsbereit,funktionell,related,word,word,0.374080239008671
beute,raubtier,related,word,word,0.433883384740231
bewachen,patrouillieren,related,word,word,0.518981718313261
bewahren,pflegen,related,word,word,0.279781645708698
bewegung,transfer,related,word,word,0.169690437399253
beweis,nachweis,related,word,word,0.588509834547286
bewundern,schätzen,related,word,word,0.408052926511229
beziehung,freundschaft,related,word,word,0.600403459950055
land,bezirk,related,word,word,0.293365320200905
bibel,buch,related,word,word,0.492346432071997
biene,ameise,related,word,word,0.423146102940436
bild,foto,related,word,word,0.796732515193293
formular,unterschreiben,related,word,word,0.495561168695026
bildschirm,monitor,related,word,word,0.629956908380482
binden,band,related,word,word,0.196241587113561
bischof,kardinal,related,word,word,0.588943707185426
bleibe,bleiben,related,word,word,0.764901350222889
blind,taub,related,word,word,0.580688726952344
blitz,donner,related,word,word,0.534688489031558
blut,urin,related,word,word,0.536603311292415
boden,teppich,related,word,word,0.47613529341119
bombe,explosiv,related,word,word,0.409516441104836
bonus,belohnen,related,word,word,0.264598198909872
böse,schmutzig,related,word,word,0.317043732258471
botschaft,ministerium,related,word,word,0.259920745988503
botschafter,minister,related,word,word,0.472544329500241
braun,blau,related,word,word,0.580601172140153
bräutigam,braut,related,word,word,0.680560672206513
bravo,alpha,related,word,word,0.423788575113047
briefmarke,unterschrift,related,word,word,0.376858431215023
brille,kappe,related,word,word,0.489928580444447
bringen,schicken,related,word,word,0.41029192630559
brot,käse,related,word,word,0.478473649770102
brücke,tunnel,related,word,word,0.428452687516452
brutal,grausam,related,word,word,0.652670302195572
bücherei,museum,related,word,word,0.341861345551326
buchstäblich,praktisch,related,word,word,0.427308930256923
bucht,hafen,related,word,word,0.52880172160498
budget,finanzierung,related,word,word,0.457144972541533
zivil,militärisch,related,word,word,0.302266131525636
busch,baum,related,word,word,0.510460438287928
cäsar,rom,related,word,word,0.468959573559325
champion,kämpfer,related,word,word,0.459270697588421
chance,möglichkeit,related,word,word,0.711090783922983
chaos,verwechslung,related,word,word,0.218757737952177
charakter,persönlichkeit,related,word,word,0.506051711704538
charme,schönheit,related,word,word,0.428106565187277
chemie,biologie,related,word,word,0.579768928761635
chemisch,biologisch,related,word,word,0.537794517848215
chip,gerät,related,word,word,0.358000572299154
clan,familie,related,word,word,0.417261718960319
schlau,intelligent,related,word,word,0.619854785655313
trainieren,spieler,related,word,word,0.258503861373322
code,passwort,related,word,word,0.553958920394647
dankbar,danken,related,word,word,0.678159388401955
schicksal,bestimmung,related,word,word,0.44421286742864
datei,dokument,related,word,word,0.432487108965983
daten,information,related,word,word,0.559349861677752
dekan,professor,related,word,word,0.505515631189684
decke,handtuch,related,word,word,0.391256628953426
chirurg,arzt,related,word,word,0.608885250063404
deutlich,offensichtlich,related,word,word,0.301054625667072
diamant,juwel,related,word,word,0.511755997693508
dichter,schriftsteller,related,word,word,0.643815881061887
gesellschaft,gemeinschaft,related,word,word,0.517000954733744
gesundheit,bildung,related,word,word,0.412887578799081
rente,gehalt,related,word,word,0.430441411678817
seide,baumwolle,related,word,word,0.540889583854346
dieb,kriminell,related,word,word,0.281389360181453
diebstahl,raub,related,word,word,0.628814638594819
diplom,absolvent,related,word,word,0.456267110819434
sofort,direkt,related,word,word,0.328293567880548
distanz,geschwindigkeit,related,word,word,0.387162681202885
dna,fingerabdruck,related,word,word,0.559445985485773
doppelt,dreifach,related,word,word,0.607938807697351
dosis,injektion,related,word,word,0.574503439917195
drache,löwe,related,word,word,0.441332847175159
dramatisch,romantisch,related,word,word,0.4308884309209
dreck,sand,related,word,word,0.349107699742357
dreckig,widerlich,related,word,word,0.485425702657042
dringend,notfall,related,word,word,0.330979276964607
dritter,vierter,related,word,word,0.617742237172404
drücken,ziehen,related,word,word,0.354936812327423
dschungel,wald,related,word,word,0.534437442778118
ekelhaft,hässlich,related,word,word,0.512842667881658
dunkelheit,hell,related,word,word,0.368817813609638
dünn,dick,related,word,word,0.655753931203528
durchfall,übelkeit,related,word,word,0.468467518264677
dusche,badezimmer,related,word,word,0.496469487479063
dvd,video,related,word,word,0.473819165909287
dynastie,imperium,related,word,word,0.32892340427038
e-mail,fax,related,word,word,
ecke,gasse,related,word,word,0.477187898535399
edel,tapfer,related,word,word,0.411723518959825
ehemann,ehefrau,related,word,word,0.621646004995776
eichhörnchen,waschbär,related,word,word,0.386731377794893
eigentlich,wirklich,related,word,word,0.41972625748957
eigentum,besitzer,related,word,word,0.312378601220194
eins,drei,related,word,word,0.447131419960024
eindruck,gefühl,related,word,word,0.435562041485022
schlicht,einfach,related,word,word,0.419928851432523
einsatz,setzen,related,word,word,0.155115628022982
einheit,teilung,related,word,word,0.339530738835355
einkaufen,geschäft,related,word,word,0.273272130431348
single,verheiratet,related,word,word,0.440872897005204
eisen,metall,related,word,word,0.563297675106133
empfindlich,sensibel,related,word,word,0.640784246689954
ende,ziel,related,word,word,0.303884424852017
endlich,letztlich,related,word,word,0.26292914017092
power,energie,related,word,word,0.35321220076077
verlobung,hochzeit,related,word,word,0.624047373961678
englisch,französisch,related,word,word,0.7725755547985
enkel,neffe,related,word,word,0.423501657360437
kidnappen,entführen,related,word,word,0.631410963448316
entführer,geisel,related,word,word,0.419581194378488
enthalten,inhalt,related,word,word,0.397399828893075
erbe,erben,related,word,word,0.654450785535643
erdbeben,explosion,related,word,word,0.478875358064224
erfahrung,wissen,related,word,word,0.216148307743591
erfolg,versagen,related,word,word,0.305347903492173
resultat,ergebnis,related,word,word,0.719624094387932
erkennen,wissen,related,word,word,0.31335122184408
erlaubnis,genehmigung,related,word,word,0.692822063974156
erklärung,plausibel,related,word,word,0.40003258763161
ermöglichen,lassen,related,word,word,0.193206454122585
irrtum,fehler,related,word,word,0.562325180360616
ersetzen,ersatz,related,word,word,0.400215428546642
erster,letzter,related,word,word,0.62172952002401
ertrinken,schwimmen,related,word,word,0.582718615832896
erwachsene,elternteil,related,word,word,0.381881946477969
erwägen,überlegen,related,word,word,0.364488640022087
esel,pferd,related,word,word,0.485321729368005
evolution,mutation,related,word,word,0.513537080965516
ewig,für immer,related,word,word,
experiment,test,related,word,word,0.42491447859211
experte,spezialist,related,word,word,0.652613865595126
extra,zusätzlich,related,word,word,0.373571835736034
fabrik,produktion,related,word,word,0.393703965482056
fahrkarte,reisepass,related,word,word,0.463190481025767
lenken,fahren,related,word,word,0.21882544011259
fahrzeug,auto,related,word,word,0.681705609371313
faktor,element,related,word,word,0.345299641323325
falsch,richtig,related,word,word,0.618770611719092
fangen,köder,related,word,word,0.35492751207157
fazit,annahme,related,word,word,0.187501706322522
feind,gegner,related,word,word,0.587448751616126
felsen,stein,related,word,word,0.516770056680379
fenster,tür,related,word,word,0.549509256428336
fernrohr,mikroskop,related,word,word,0.436315734391906
fest,stark,related,word,word,0.194402181015286
firma,agentur,related,word,word,0.579868180578229
feuer,flamme,related,word,word,0.543115447023436
final,ultimativ,related,word,word,0.299357759781483
finanzen,investieren,related,word,word,0.25555309403676
finanziell,finanzierung,related,word,word,0.525776103732396
finger,daumen,related,word,word,0.578018619161059
reparieren,reperatur,related,word,word,0.244523091998303
flagge,symbol,related,word,word,0.320591065072657
fliehen,flucht,related,word,word,0.508398604294901
fluch,hexe,related,word,word,0.449580673881853
flüchtling,flüchtig,related,word,word,0.310275578553353
fluss,see,related,word,word,0.563015097775716
flüssig,flüssigkeit,related,word,word,0.430870425883074
föderal,staat,related,word,word,
fokus,konzentrieren,related,word,word,0.45273469770894
folgen,jagen,related,word,word,0.278445826034889
forschung,studieren,related,word,word,0.329066673609284
frage,fragen,related,word,word,0.386314993022752
fragment,stück,related,word,word,0.361446228549475
frei,kostenlos,related,word,word,0.23306822017407
freiheit,demokratie,related,word,word,0.490777332163885
freiwilliger,freiwillig,related,word,word,0.602144566378528
frequenz,signal,related,word,word,0.542821340083112
frisch,erfrischen,related,word,word,0.472682653246538
frosch,eidechse,related,word,word,0.372454118183418
frühling,herbst,related,word,word,0.666784856104645
fuchs,hase,related,word,word,0.513424075928912
füttern,essen,related,word,word,0.45019964709426
galerie,ausstellung,related,word,word,0.53450465866587
gang,gruppe,related,word,word,0.353638046438693
gans,ente,related,word,word,0.559683221407313
garantie,versprechen,related,word,word,0.38648943859187
gas,kraftstoff,related,word,word,0.452385316723714
gastfreundschaft,dankbarkeit,related,word,word,0.518986732991314
geburt,schwangerschaft,related,word,word,0.539175696248492
geduld,mitgefühl,related,word,word,0.466800571834633
patient,klient,related,word,word,0.483302461416116
gefälscht,falsch,related,word,word,0.367022308199011
gegenmittel,impfstoff,related,word,word,0.588700090888486
materie,teilchen,related,word,word,0.482833151013758
gegenteil,gegensätzlich,related,word,word,0.272202405905396
anwesenheit,abwesenheit,related,word,word,0.698345362240727
geheimnis,mysterium,related,word,word,0.434094878876332
gehirn,zerebral,related,word,word,0.436748266681172
geisel,häftling,related,word,word,0.27146187168105
gelegentlich,selten,related,word,word,0.485046425198594
gemütlich,angenehm,related,word,word,0.458516883084252
generator,reaktor,related,word,word,0.621140654459422
genie,wissenschaftler,related,word,word,0.3835901274026
genügend,ausreichend,related,word,word,0.599049840114901
gerade,kürzlich,related,word,word,0.478757674130253
gericht,richter,related,word,word,0.632493402446471
gesamt,komplett,related,word,word,0.320779012937197
geschehen,passieren,related,word,word,0.722341928881763
geschmack,geruch,related,word,word,0.533136779275842
gesellschaft,konzern,related,word,word,0.25559378675153
gesetz,verfassung,related,word,word,0.426029436536987
gesperrt,geschlossen,related,word,word,0.494910194939468
gespräch,diskussion,related,word,word,0.50167739923132
geste,handlung,related,word,word,0.375026446198367
gesund,normal,related,word,word,0.412648193558265
treffen,schlagen,related,word,word,0.247987768430148
gewehr,pistole,related,word,word,0.669968156291752
gewicht,höhe,related,word,word,0.30212863451405
gewinnen,sieg,related,word,word,0.430530756302354
gewöhnlich,üblich,related,word,word,0.492717300361956
gift,töten,related,word,word,0.271650717044243
glas,flasche,related,word,word,0.532919368249093
glorreich,ruhm,related,word,word,0.344282354222533
glücksspiel,poker,related,word,word,0.400080403332112
golden,silbern,related,word,word,0.314755138576804
golf,tennis,related,word,word,0.465378419140158
gott,göttlich,related,word,word,0.394777102714646
gouverneur,senator,related,word,word,0.544080915751781
grab,friedhof,related,word,word,0.552689644227956
graben,beerdigen,related,word,word,0.335739341465037
gratulieren,grüßen,related,word,word,0.3180278191744
greifen,fangen,related,word,word,0.407279411760652
grippe,krankheit,related,word,word,0.527779382581296
groß,riesig,related,word,word,0.576592286031402
größe,länge,related,word,word,0.411937577267753
großvater,großmutter,related,word,word,0.520866219341285
grün,orange,related,word,word,0.414985995127868
grund,ursache,related,word,word,0.372088258653582
horror,furcht,related,word,word,0.328601455923206
gut,schlecht,related,word,word,0.691997326949539
haare,bart,related,word,word,0.466778728335187
huhn,truthahn,related,word,word,0.46385025459625
hai,fisch,related,word,word,0.500952197233446
hälfte,viertel,related,word,word,0.346858898167964
hallo,tschüss,related,word,word,0.59090526824445
halten,behalten,related,word,word,0.43836188273123
hand,arm,related,word,word,0.542507385566579
hängend,hinrichtung,related,word,word,0.11288397248162
dickköpfig,egoistisch,related,word,word,0.530998580050252
hass,liebe,related,word,word,0.470222476538328
hauptstadt,stadt,related,word,word,0.562934901028974
haus,wohnung,related,word,word,0.61859890420936
haut,gewebe,related,word,word,0.456806285221159
heiß,kalt,related,word,word,0.585732436835137
held,retter,related,word,word,0.51741837729436
helm,hut,related,word,word,0.511930092205975
herbst,zusammenbruch,related,word,word,0.206063825179605
herr,dame,related,word,word,0.273391737946524
geliebte,liebhaber,related,word,word,0.465851652733262
heute,gestern,related,word,word,0.612538600768833
hier,dort,related,word,word,0.675562364252344
hilfe,helfen,related,word,word,0.456281377777766
hilflos,machtlos,related,word,word,0.611646066280926
himmel,himmlisch,related,word,word,0.401330993329555
hindernis,herausforderung,related,word,word,0.415472290234524
hobby,sport,related,word,word,0.354090616044353
hochschule,universität,related,word,word,0.660286859366629
hoffen,glaube,related,word,word,0.328514066698707
höflich,freundlich,related,word,word,0.704347748132433
honig,butter,related,word,word,0.520801655131399
anhörung,gerichtsverhandlung,related,word,word,0.695547294360095
zuhören,hören,related,word,word,0.545068015100177
hormon,adrenalin,related,word,word,0.466326833916199
horn,pfeife,related,word,word,0.287853796842527
hotel,motel,related,word,word,0.643370614859543
hübsch,schön,related,word,word,0.591062840942228
hügel,berg,related,word,word,0.617859087882244
hund,katze,related,word,word,0.621775806706897
hunger,durst,related,word,word,0.673106619899319
wirbelsturm,tornado,related,word,word,0.481589451446838
husten,fieber,related,word,word,0.496770329653351
ideal,perfekt,related,word,word,0.494060337208834
idee,theorie,related,word,word,0.40094195469335
ignoranz,arroganz,related,word,word,0.506322494248008
illegal,legal,related,word,word,0.705811334266745
illusion,halluzination,related,word,word,0.436796833853412
immer,ständig,related,word,word,0.587339138255398
puls,druck,related,word,word,0.312210494504416
nahe,fern,related,word,word,0.314946926449845
industrie,unternehmen,related,word,word,0.188575805864879
innen,außen,related,word,word,0.711341589704895
inspektor,kommissar,related,word,word,0.549144724545766
inspirieren,inspiration,related,word,word,0.50468781709049
instinkt,intuition,related,word,word,0.590011602095539
international,welt,related,word,word,0.198349306896181
internet,web,related,word,word,0.549334663024461
invasion,attacke,related,word,word,0.446891467430445
ironie,ironisch,related,word,word,0.435281273705197
jagd,angeln,related,word,word,0.303757398744034
jahrhundert,jahrzehnt,related,word,word,0.570371706843852
jazz,musik,related,word,word,0.512443442307748
jeep,lkw,related,word,word,0.42970711436847
jetzt,wissen,related,word,word,0.352365183440174
journalismus,politik,related,word,word,0.443581755191205
jubiläum,geburtstag,related,word,word,0.490563053717239
jugend,kindheit,related,word,word,0.469887873381589
jungen,mädchen,related,word,word,0.615995669228165
juni,juli,related,word,word,0.604269485190799
kabel,leitung,related,word,word,0.322597672459059
kabine,deck,related,word,word,0.458771825991327
schrank,kasten,related,word,word,0.472470726844072
kaiserlich,kaiser,related,word,word,0.517390381580996
kalender,zeitplan,related,word,word,0.381506169577029
kaliber,geschoss,related,word,word,0.525395357558308
kamera,mikrofon,related,word,word,0.468237420691769
kampagne,wahl,related,word,word,0.344140525692705
schlacht,kampf,related,word,word,0.627942131111567
fernsehsender,nachrichten,related,word,word,0.416553388554228
kandidat,wähler,related,word,word,0.375393257500454
kanzler,präsident,related,word,word,0.408157104908945
kapazität,fähigkeit,related,word,word,0.405709750425164
kapsel,sonde,related,word,word,0.44518771666376
karneval,festival,related,word,word,0.365717561901705
körper,leiche,related,word,word,0.342091998775908
kartoffel,tomate,related,word,word,0.530357872954172
kasse,geld,related,word,word,0.357566438541434
kasten,tasche,related,word,word,0.339903647311837
katholisch,christlich,related,word,word,0.553763400686152
kaufen,verkaufen,related,word,word,0.739726401929523
kavallerie,artillerie,related,word,word,0.590511484577775
kehle,nacken,related,word,word,0.388316940619503
kellner,kellnerin,related,word,word,0.652747189686558
ketchup,mayonnaise,related,word,word,0.532768274716648
kette,seil,related,word,word,0.327260274952181
kilo,gramm,related,word,word,0.576839721644683
kilometer,meter,related,word,word,0.654254725491236
kino,theater,related,word,word,0.534437311882761
kirche,kapelle,related,word,word,0.575500175412649
klasse,schule,related,word,word,0.537558255902714
klavier,gitarre,related,word,word,0.567401601519207
wenig,klein,related,word,word,0.231096601807714
klingeln,läuten,related,word,word,0.592881771660577
knoblauch,zwiebel,related,word,word,0.546266965105489
knochen,schädel,related,word,word,0.470878032170761
koch,chefkoch,related,word,word,0.646237491636992
kohle,öl,related,word,word,0.400550598352902
kohlenstoff,wasserstoff,related,word,word,0.67516114310207
kokain,heroin,related,word,word,0.743866780128839
kollege,freund,related,word,word,0.496201816816996
kolonie,föderation,related,word,word,0.497294985553112
kombination,mischung,related,word,word,0.433940597862834
kommandant,kapitän,related,word,word,0.482404794323101
kommentar,aussage,related,word,word,0.366393930705165
kommerziell,händler,related,word,word,0.256826426868834
kommission,ausschuss,related,word,word,0.466203485266821
kompass,karte,related,word,word,0.395394381783253
kompliment,geschenk,related,word,word,0.473246616683372
konferenz,sitzung,related,word,word,0.536740085500971
konflikt,streit,related,word,word,0.546959775677166
königin,könig,related,word,word,0.729047144689218
königlich,königreich,related,word,word,0.291613856213146
konservativ,liberal,related,word,word,0.508514813937122
konstruktion,bauen,related,word,word,0.33598329911925
kontakt,verbindung,related,word,word,0.604936522290335
kontamination,strahlung,related,word,word,0.494712055788456
kontrolle,manipulieren,related,word,word,0.224406282743049
konzept,definition,related,word,word,0.370826888858863
getreide,mehl,related,word,word,0.47397332628192
übel,krank,related,word,word,0.284983802924054
krankenhaus,klinik,related,word,word,0.644139097816692
krankenwagen,hubschrauber,related,word,word,0.517319208382894
kratzer,prellung,related,word,word,0.525750463043589
kredit,darlehen,related,word,word,0.662227406390118
kreis,dreieck,related,word,word,0.431754233599004
krieg,schlacht,related,word,word,0.601710403975969
kritisch,politisch,related,word,word,0.42522392703026
krone,thron,related,word,word,0.540455825369348
kuh,schwein,related,word,word,0.409285376582733
kultur,zivilisation,related,word,word,0.560883517002599
typ,kumpel,related,word,word,0.292767772304314
kunst,literatur,related,word,word,0.519378333871708
künstler,maler,related,word,word,0.633945389153779
kurz,lang,related,word,word,0.292726056302697
kuss,umarmung,related,word,word,0.525263974730753
lächeln,lachen,related,word,word,0.310324587530894
lächerlich,absurd,related,word,word,0.596869572775201
situation,krise,related,word,word,0.463844069009044
lager,dorf,related,word,word,0.451649536419784
lampe,kerze,related,word,word,0.582448432998254
landen,fliegen,related,word,word,0.403799777297276
land,nation,related,word,word,0.399851818637925
landung,flug,related,word,word,0.473068564843413
langsam,rasch,related,word,word,0.391105347620874
lärm,klang,related,word,word,0.177309664215452
lasagne,spaghetti,related,word,word,0.532219579514917
laufen,gehen,related,word,word,0.453400466303078
leben,überleben,related,word,word,0.280102342593748
essen,mahlzeit,related,word,word,0.408351099492962
leer,voll,related,word,word,0.419598862128962
legion,armee,related,word,word,0.491257149198183
leiden,schmerzen,related,word,word,0.372379414597407
leiden,sterben,related,word,word,0.528113537238384
leise,stille,related,word,word,0.363932922435039
lernen,lehren,related,word,word,0.603402148951798
lesbisch,schwul,related,word,word,0.586326410421384
lesen,schreiben,related,word,word,0.6516412414606
lesung,abfassung,related,word,word,0.405199825577197
liga,mannschaft,related,word,word,0.447960524833507
limonade,soda,related,word,word,0.559910190200938
lippe,wange,related,word,word,0.62611050918947
lippenstift,parfüm,related,word,word,0.493970283011862
löffel,gabel,related,word,word,0.563894848389752
loyalität,ehrlichkeit,related,word,word,0.628798990602869
luft,sauerstoff,related,word,word,0.459066869208559
lüge,lügner,related,word,word,0.429223563859871
machen,tun,related,word,word,0.417963490859831
mädchen,junge,related,word,word,0.485316230393409
mafia,kartell,related,word,word,0.465475435783518
magen,brust,related,word,word,0.393328591267542
magie,magier,related,word,word,0.564873081207384
magnetisch,elektrisch,related,word,word,0.527817063312916
majestät,hoheit,related,word,word,0.71646778820481
malen,zeichnen,related,word,word,0.59601866752823
manager,chef,related,word,word,0.530646192013042
manchmal,häufig,related,word,word,0.442030978693763
mann,mensch,related,word,word,0.439162949358839
männlich,weiblich,related,word,word,0.758499503571724
marathon,rennen,related,word,word,0.377502520528937
marine,schifffahrt,related,word,word,0.246875554198928
marine,flotte,related,word,word,0.350686631693837
marke,produkt,related,word,word,0.235007289590206
mars,venus,related,word,word,0.492623325398007
maus,ratte,related,word,word,0.498785044943165
medizinisch,psychologisch,related,word,word,0.49625656734984
meer,ozean,related,word,word,0.697054379057012
mehrheit,abstimmung,related,word,word,0.512695581372792
meile,zentimeter,related,word,word,0.409801408923385
meinung,einstellung,related,word,word,0.433269200201871
zuschauer,publikum,related,word,word,0.562533779151056
quantität,qualität,related,word,word,0.586502358730835
fair,angemessen,related,word,word,0.429817614358016
methode,technik,related,word,word,0.498065210364226
leihen,mieten,related,word,word,0.424851378125733
mieter,vermieter,related,word,word,0.693413646023049
milch,saft,related,word,word,0.492797107021142
million,milliarde,related,word,word,0.665517944518248
millionär,unternehmer,related,word,word,0.329261673819849
minimum,maximum,related,word,word,0.587099584206985
mischung,ling,related,word,word,0.105871800919252
miserabel,erbärmlich,related,word,word,0.400459868253452
mitfühlend,großzügig,related,word,word,0.473758484135827
mitglied,anführer,related,word,word,0.376382117043317
mitternacht,mittag,related,word,word,0.450666067004287
modell,prototyp,related,word,word,0.35546409995427
modern,traditionell,related,word,word,0.410046158529563
modisch,elegant,related,word,word,0.489930832063448
monat,woche,related,word,word,0.711878830525957
mönch,priester,related,word,word,0.584727284423691
mond,sonne,related,word,word,0.574491257911137
lunar,solar,related,word,word,0.349984808700942
monster,kreatur,related,word,word,0.453650909720512
montag,dienstag,related,word,word,0.741475024366536
denkmal,statue,related,word,word,0.379357452722224
killer,mörder,related,word,word,0.683507899183239
vormittags,morgen,related,word,word,0.432573153496996
motiv,alibi,related,word,word,0.496234833436684
müde,hungrig,related,word,word,0.640538915844636
müll,abfall,related,word,word,0.623074282053572
mund,nase,related,word,word,0.436657434105137
mut,entschlossenheit,related,word,word,0.51758850617721
mutter,vater,related,word,word,0.650641199047394
mythos,legende,related,word,word,0.524540366740961
nacht,abend,related,word,word,0.447642287543781
nachtisch,kuchen,related,word,word,0.627096087514284
nackig,nackt,related,word,word,0.518032945223343
nadel,spritze,related,word,word,0.528865899577303
nagel,zahn,related,word,word,0.346817764198096
naiv,dumm,related,word,word,0.61216158070956
naiv,zynisch,related,word,word,0.503586838948883
name,titel,related,word,word,0.334620048326263
national,global,related,word,word,0.368105347817861
natürlich,allgemein,related,word,word,0.264444595155112
natürlich,künstlich,related,word,word,0.19295724529428
navigation,kommunikation,related,word,word,0.48281857276373
eifersüchtig,wütend,related,word,word,0.66179965774032
nerv,muskel,related,word,word,0.464260156180841
nest,ei,related,word,word,0.351284688511305
netzwerk,system,related,word,word,0.502017804895727
nichts,etwas,related,word,word,0.505077997372616
nickerchen,spaziergang,related,word,word,0.453371881041194
runter,hoch,related,word,word,0.569596028759317
niedrig,hoch,related,word,word,0.558467463833856
niedriger,höher,related,word,word,0.624484634453832
niere,leber,related,word,word,0.685071603598482
ninja,samurai,related,word,word,0.453109657316015
nobel,preis,related,word,word,0.160695044135631
nie,jemals,related,word,word,0.505092222612791
normalerweise,meistens,related,word,word,0.6147997167101
notwendig,brauchen,related,word,word,0.321677342739677
november,dezember,related,word,word,0.666377644685992
