"it_target","it_cue","it_fake_cue","it_fake_target","en_cue","en_target"
"assistenza","sostegno","sostemics","assighiozza","support","assistance"
"assunzione","conclusione","conestensione","assuncrearne","conclusion","assumption"
"assurdo","ridicolo","ridistruglo","asagendo","ridiculous","absurd"
"atlantico","pacifico","gliercifico","spiartico","pacific","atlantic"
"atmosfera","ambiente","amleotte","atmonarchra","environment","atmosphere"
"attaccante","vittima","tromtima","atubriacante","victim","attacker"
"attacco","invasione","invaljeanne","atagrico","invasion","attack"
"atteggiamento","opinione","hardnione","atteggiaistrutto","opinion","attitude"
"attirare","attenzione","atiscrizione","atesplorare","attention","attract"
"attivare","grilletto","steiletto","attischiere","trigger","activate"
"attività","attivo","identivo","attivigliac","active","activity"
"attività commerciale","industria","induspect","attività commercialexia","industry","business"
"atto","gesto","geren","miato","gesture","act"
"attore","autore","gliatore","giuntore","author","actor"
"augurare","desiderio","desidefault","austriarare","desire","wish"
"autista","passeggeri","strinseggeri","autiglie","passenger","driver"
"auto","veicolo","horncolo","ciato","vehicle","car"
"autobus","treno","conno","autostar","train","bus"
"autorità","giurisdizione","espresrisdizione","autorischie","jurisdiction","authority"
"autostrada","strada","chioda","autogliesda","road","highway"
"autunno","primavera","schermavera","auariano","spring","autumn"
"avere successo","gestire","knightsbridgestire","istruire successo","manage","succeed"
"avversario","nemico","chiamico","avversamuels","enemy","opponent"
"bacon","pane abbrustolito","pane abbrustolbleweed","baruf","toast","bacon"
"bagnato","asciutto","springto","bachetto","dry","wet"
"bagno","doccia","isacia","baper","shower","bathroom"
"bambino","bambino","stenbino","spezbino","baby","child"
"barba","capelli","castrali","senba","hair","beard"
"barca","sottomarino","friendtomarino","preca","submarine","boat"
"baseball","stadio","stacei","basediar","stadium","baseball"
"batman","superuomo","supeschiumo","guaman","superman","batman"
"battaglia","guerra","riorra","battaster","war","battle"
"battaglione","reggimento","esplogimento","battaesterne","regiment","battalion"
"bellezza","fascino","fapranno","spielezza","charm","beauty"
"bellissima","bella","frala","straplissima","pretty","beautiful"
"bello","bello","fralo","fralo","nice","lovely"
"bibita","limonata","schermonata","bisnonta","lemonade","soda"
"biologia","chimica","grammica","sprelogia","chemistry","biology"
"biologico","chimico","grammico","straplogico","chemical","biological"
"birra","bere","trare","pegra","drink","beer"
"bisogno","necessario","nesburgsario","bisorien","necessary","need"
"blu","marrone","sclerone","ieu","brown","blue"
"boston","washington","wacharlton","borian","washington","boston"
"bottiglia","bicchiere","bicstrare","bottiquat","glass","bottle"
"box auto","workshop.","wharshop.","box asión","workshop","garage"
"braccio","mano","scono","quancio","hand","arm"
"brutta","digusting.","digustruii","traita","digusting","ugly"
"buco","crepa","stipa","linco","crack","hole"
"buffo","spiritoso","voyeuritoso","timfo","witty","funny"
"bugiardo","menzogna","quazzogna","buspiedo","lie","liar"
"burro","miele","gocle","niero","honey","butter"
"caccia","seguire","sestrare","adocia","follow","chase"
"cadavere","corpo","suppo","caiscrivere","body","corpse"
"caffè","tazza","cluza","gunfè","cup","coffee"
"calcio","pallacanestro","pallacanefriend","calzet","basketball","football"
"calcolare","contano","gliatano","ubriacolare","count","calculate"
"calma","silenzioso","siostruzioso","germa","quiet","calm"
"camera da letto","camera","castrara","camera da ltskills","room","bedroom"
"cameriera","cameriere","cameesporre","cameesplora","waiter","waitress"
"camion","jeep.","jesu.","casein","jeep","truck"
"camminare a piedi","correre","gliarere","camminare a psquatch","run","walk"
"campeggio","picnic","picdez","cambiasgio","picnic","camping"
"campionato","concorrenza","concorschizza","camesternato","competition","championship"
"campo di battaglia","arena","sapna","campo di batbleweed","arena","battlefield"
"cancello","portale","trattale","canstarlo","portal","gate"
"cancro","tumore","grammore","cantez","tumor","cancer"
"candela","lampada","provpada","stradela","lamp","candle"
"canzone","album","alvss","sterzone","album","song"
"capacità","capacità","estirpacità","estirpacità","capacity","ability"
"capire","rendersi conto","rendersi cochaels","cascorre","realize","understand"
"capitalismo","anarchia","inefchia","capitalichurch","anarchy","capitalism"
"capitano","comandante","comanaspette","caascoltano","commander","captain"
"capo","membro","shubro","cader","member","leader"
"capo","manager","manation","cader","manager","boss"
"cappella","chiesa","sciosa","blocpella","church","chapel"
"cappello","casco","cathe","capgnarlo","helmet","hat"
"cappuccio","occhiali","ocbrelli","capamancio","glasses","cap"
"carburante","gas","hns","carbusterste","gas","fuel"
"cardinale","vescovo","vechiavo","splendinale","bishop","cardinal"
"carico","carico","castleco","castleco","load","cargo"
"carino","dolce","tarce","caripren","sweet","cute"
"carne","maiale","masterle","suone","pork","meat"
"carta geografica","bussola","sgomsola","carta geografstroyer","compass","map"
"cartello","mafia","malau","frittello","mafia","cartel"
"cartello","modulo","moscialo","frittello","form","sign"
"castello","palazzo","pasquazo","camionlo","palace","castle"
"cattivo","buona","rotna","strativo","good","bad"
"causa","motivo","spettivo","amasa","reason","cause"
"cavallo","asino","zinno","caideolo","donkey","horse"
"cecchino","sparatutto","sparaphaelto","snobchino","shooter","sniper"
"celeste","cielo","loolo","celegrar","sky","heavenly"
"centimetro","miglio","miford","struttimetro","mile","centimeter"
"centinaio","mille","grile","struttinaio","thousand","hundred"
"cerebrale","cervello","cergiarlo","cereespelle","brain","cerebral"
"cerimonia","rituale","rispecle","cerimostruo","ritual","ceremony"
"champagne","vino","vider","grospagne","wine","champagne"
"chef","cucinare","gliarcinare","chxx","cook","chef"
"chiedi","domanda","doglioda","esaudi","question","ask"
"chirurgia","operare","tranrare","chisfoggia","operate","surgery"
"chitarra","pianoforte","pianosciente","svuotarra","piano","guitar"
"chiudere","aprire","spazre","spardere","open","close"
"chiuso","bloccato","riemcato","glioso","locked","closed"
"chiusura","apertura","fiactura","ieyasura","opening","closure"
"cicatrice","tatuaggio","tasfregio","cicalhounce","tattoo","scar"
"cimitero","grave","ferve","estremitero","grave","cemetery"
"cinico","ingenuo","ingegram","eternico","naive","cynical"
"cioccolato","zucchero","sbalchero","sfratcolato","sugar","chocolate"
"cipolla","aglio","agtro","cisterla","garlic","onion"
"circo","zoo","iyo","sfico","zoo","circus"
"città","capitale","caascoltale","neità","capital","city"
"civiltà","cultura","stertura","ciclettà","culture","civilization"
"classico","tipico","tipiglia","sgomsico","typical","classic"
"cliente","paziente","pagliate","cheerte","patient","client"
"clinica","ospedale","trotdale","spunnica","hospital","clinic"
"cognac","rum","iom","conich","rum","cognac"
"cognome","nickname.","nicknasight","corianme","nickname","surname"
"collana","squillare","stramlare","glielana","ring","necklace"
"collo","gola","penla","gerlo","throat","neck"
"colonnello","generale","knightsbridgenerale","colonghornlo","general","colonel"
"colpevole","innocente","innostrumte","strappevole","innocent","guilty"
"colpire","colpo","evapo","strepire","hit","strike"
"coltello","spada","jorda","smantello","sword","knife"
"combattente","campione","cambourne","combatascolte","champion","fighter"
"combattere","combattere","compoundtere","compoundtere","combat","fight"
"comitato","commissione","compleansione","gliarmitato","commission","committee"
"commedia","dramma","idroma","commewood","drama","comedy"
"commissario","ispettore","idrautore","comstruosario","inspector","commissioner"
"compassione","pazienza","pagliaza","strappassione","patience","compassion"
"compleanno","anniversario","annichollssario","comchiaino","anniversary","birthday"
"completamente","assolutamente","nightlisolutamente","comschiantamente","absolutely","completely"
"completare","totale","sputtale","comsfruttare","total","complete"
"completo","vuoto","bicto","comquanto","empty","full"
"computer","software","coulware","compublic","software","computer"
"comunicazione","navigazione","navigacheyenne","cotswoldsnicazione","navigation","communication"
"comunista","razzista","sfrezista","comunigliet","racist","communist"
"comunità","società","soequità","costrinnità","society","community"
"concentrare","messa a fuoco","messa a fplant","concenschiere","focus","concentrate"
"concerto","tour","tode","conpianto","tour","concert"
"conferenza","seminario","seminathers","confeschizza","seminar","lecture"
"confermare","conferma","contratma","constantmare","confirmation","confirm"
"confessare","ammettere","ampliantere","construosare","admit","confess"
"confusione","caos","caek","confucayenne","chaos","confusion"
"congelare","sciolto","espelto","struggelare","melt","freeze"
"coniglio","volpe","stope","conichol","fox","rabbit"
"connessione","contatto","consporto","constricsione","contact","connection"
"conoscenza","esperienza","planrienza","conogliuzza","experience","knowledge"
"conosceva","riconoscere","ricoistruiscere","conothingva","recognize","knew"
"consigliare","consigli","consirius","consistantre","advice","advise"
"contenuto","contenere","aspettenere","aspettenuto","contain","content"
"contessa","barone","glierone","flettessa","baron","countess"
"continua","procedere","sciarcedere","contizard","proceed","continue"
"contrario","opposto","oppochis","contrachea","opposite","contrary"
"convento","orfanotrofio","orfanotrostreet","contrarto","orphanage","convent"
"copia","originale","escluginale","cotor","original","copy"
"coraggioso","nobile","noscenle","coragascenso","noble","brave"
"corda","catena","cagiorna","grada","chain","rope"
"corretta","sbagliato","sbaciucto","corgliata","wrong","correct"
"costa","spiaggia","sprezgia","coper","beach","coast"
"costantemente","sempre","semsin","coalouettemente","always","constantly"
"costituzione","legge","scuge","costitucheyenne","law","constitution"
"costruire","costruzione","coglieszione","coschiare","construction","build"
"costruzione","torre","duare","coglionzione","tower","building"
"cotone","seta","guata","sventone","silk","cotton"
"cowboy.","rodeo","ropin","cowsbau","rodeo","cowboy"
"cranio","osso","nioso","lonnio","bone","skull"
"cravatta","legamento","legagliarto","crastorta","bind","tie"
"creatività","immaginazione","ablewhimaginazione","esclutività","imagination","creativity"
"creatura","mostro","moscel","schitura","monster","creature"
"credere","fiducia","fidujour","spondere","trust","believe"
"crimine","peccato","scolcato","pianmine","sin","crime"
"crisi","situazione","siscienzione","napsi","situation","crisis"
"cristiano","cattolico","espiatolico","crivranno","catholic","christian"
"crollo","cade","catri","quillo","fall","collapse"
"crudele","brutale","guantale","uscidele","brutal","cruel"
"crudeltà","il male","il mljan","eserdeltà","evil","cruelty"
"cugino","parente","pasticte","cugistra","relative","cousin"
"culo","culo","cumen","cumen","ass","butt"
"danza","ballerino","glierlerino","sofza","dancer","dance"
"dare","offerta","ofesulta","rinre","offer","give"
"debole","forte","blate","degliele","strong","weak"
"decennio","secolo","segnialo","decentral","century","decade"
"definizione","concetto","contracto","definischewine","concept","definition"
"degno","meritare","schiaritare","delai","deserve","worthy"
"delicato","morbido","chiabido","destroncato","soft","gentle"
"delizioso","gustoso","gugrasso","deliascenso","tasty","delicious"
"delusione","sorpresa","sorgliosa","deluucraine","surprise","disappointment"
"democrazia","libertà","liprietà","demosquinzia","freedom","democracy"
"dente","chiodo","blindo","walte","nail","tooth"
"dentro","fuori da","fuoriclei","coctro","outside","inside"
"depressione","fatica","spettica","delightsione","stress","depression"
"descrizione","profilo","ineffilo","derhillzione","profile","description"
"destino","destino","degiorno","degiorno","fate","destiny"
"detective","agente","stecte","desquittive","agent","detective"
"determinazione","coraggio","cogliegio","istruirterminazione","courage","determination"
"devozione","fedeltà","festantà","devoigraine","fidelity","devotion"
"di","fuori","tieri","rò","out","about"
"diavolo","angelo","bridgelo","scrivolo","angel","devil"
"dicembre","novembre","nostrabre","disporbre","november","december"
"dichiarazione","commento","zialmento","dispatchrazione","comment","statement"
"difendere","proteggere","proscroogere","distrugdere","protect","defend"
"difficile","difficile","aspetficile","aspetficile","tough","hard"
"dignità","orgoglio","orgozian","distortà","pride","dignity"
"dimostrazione","protesta","scentesta","dimostracheyenne","protest","demonstration"
"dinamite","polvere da sparo","polvere da slightly","dinamischia","gunpowder","dynamite"
"ding","ping.","dang.","digy","ping","ding"
"diplomato","diploma","ditrauma","dischermato","diploma","graduate"
"direttamente","diretto","dispiato","dischiantamente","direct","directly"
"direttore","produttore","proschiatore","dispiactore","producer","director"
"discussione","conversazione","conversaestrarne","diciottsione","conversation","discussion"
"disegnare","dipingere","diestrogere","diseschiere","paint","draw"
"disgrazia","sfortunato","ubriatunato","diciotzia","unfortunate","misfortune"
"disgustoso","sporco","idroco","disguchiasso","dirty","disgusting"
"dispositivo","patata fritta","patatagliauntta","disposilhouetvo","chip","device"
"disputa","conflitto","conmiauto","divingta","conflict","dispute"
"distruzione","creazione","schizione","diciottzione","creation","destruction"
"disturbare","interrompere","interschiappere","diciottbare","interrupt","disturb"
"diverso","simile","sitrolle","disponso","similar","different"
"divine","dio","iao","diviglia","god","divine"
"divisione","unità","zietà","diviucraine","unit","division"
"documento","file","relle","docutlassto","file","document"
"dollaro","libbra","urobra","stenlaro","pound","dollar"
"dolore","sofferenza","soffeschizza","glielore","suffering","pain"
"domenica","il sabato","il sabhound","domestruaca","Saturday","Sunday"
"domestica","bambinaia","scherbinaia","domeliornca","nanny","maid"
"donazione","beneficenza","benesportscenza","donasreenne","charity","donation"
"donna","vedova","veequiva","riena","widow","woman"
"dormire","riposo","rigrasso","stanmire","rest","sleep"
"dovere","responsabilità","responsasquatchlità","donaldre","responsibility","duty"
"droga","alcool","alrall","sodga","alcohol","drug"
"eccitato","orgoglioso","orgoascenso","gliarcitato","proud","excited"
"economico","costoso","cograsso","strannomico","expensive","cheap"
"effetto","influenza","insprezza","efsciato","influence","effect"
"efficace","utile","fotle","ascolficace","useful","effective"
"egoista","testardo","teunendo","estasta","stubborn","selfish"
"elegante","alla moda","alla mdinck","grangante","fashionable","elegant"
"elemento","fattore","chiatore","granmento","factor","element"
"elettricità","attuale","atgliele","ascoltricità","current","electricity"
"elettrico","magnetico","mastruttico","frantrico","magnetic","electric"
"elezione","campagna","campaford","priazione","campaign","election"
"elicottero","ambulanza","ambuspruzza","eligliantero","ambulance","helicopter"
"emergenza","urgente","urstrate","chrigenza","urgent","emergency"
"emotivo","mentale","chietale","ghettivo","mental","emotional"
"energia","energia","espogia","espogia","power","energy"
"enorme","grande","scinde","oberme","big","huge"
"entrata","uscita","esenta","enquenta","exit","entrance"
"epidemia","appestare","appeaguirre","svendemia","plague","epidemic"
"episodio","serie","sepol","plessodio","series","episode"
"equipaggiamento","attrezzatura","attrezzaturabrights","straorpaggiamento","equipment","equip"
"ereditare","eredità","giordità","asciuditare","heritage","inherit"
"erezione","orgasmo","orgamind","giorzione","orgasm","erection"
"eroina","cocaina","coiberna","bridna","cocaine","heroin"
"esagerare","sottovalutare","ablewhitovalutare","struggerare","underestimate","exaggerate"
"esca","trappola","schopola","esth","trap","bait"
"esecuzione","impiccagione","impiccathleenne","strincuzione","hanging","execution"
"esercito","legione","lescenne","spuncito","legion","army"
"esercizio","la pratica","la pratlhoun","avancizio","practice","exercise"
"esplodere","scoppiare","grafpiare","strapdere","burst","explode"
"esplosione","terremoto","schiaremoto","sgressione","earthquake","explosion"
"esplosivo","bomba","evaba","chiarsivo","bomb","explosive"
"esposizione","galleria","straleria","chiarsizione","gallery","exhibition"
"esprimere","descrivere","defaultvere","schiamere","describe","express"
"est","ovest","zipst","ynt","west","east"
"esterno","interno","indranno","spiarno","internal","external"
"evento","fenomeno","astronomeno","bionto","phenomenon","event"
"facile","impossibile","imschiarsibile","princile","impossible","easy"
"fallimento","successo","piancesso","falliplockto","success","failure"
"falso","impostore","impoaguirre","benso","fake","FALSE"
"famiglia","clan","skan","famister","clan","family"
"famoso","popolare","chiappolare","fasciaso","popular","famous"
"fantasia","realtà","philtà","chettasia","reality","fantasy"
"fantastico","meraviglioso","meraviespresso","ascoltastico","wonderful","fantastic"
"far sapere","rapporto","sporporto","far sapsciov","report","inform"
"fare","fare","ghere","ghere","make","do"
"farina","grano","steno","chierina","grain","flour"
"fatale","mortale","grattale","sportale","deadly","fatal"
"fax","mail","mage","hox","mail","fax"
"fazzoletto","stoffa","phoefa","kleinzoletto","cloth","handkerchief"
"fazzoletto di carta","pelle","smale","schiiiinzoletto di carta","skin","tissue"
"febbre","tosse","cluse","blibre","cough","fever"
"fede","speranza","spegnerza","mande","hope","faith"
"fedele","leale","anole","fedestra","loyal","faithful"
"federazione","colonia","colovers","federaestrarne","colony","federation"
"fegato","rene","rezio","piangato","kidney","liver"
"felice","soddisfatto","soddicruento","festegce","satisfied","happy"
"femmina","maschio","makland","spilmina","male","female"
"fermare","prevenire","schiavenire","sconmare","prevent","stop"
"festival","carnevale","thleenevale","festitria","carnival","festival"
"fiamma","fuoco","cleco","sganma","fire","flame"
"fiducia","rispetto","richiato","fiduvall","respect","confidence"
"figlio","figlia","fibril","fichia","daughter","son"
"film","porno","econo","fitr","porn","movie"
"filo","cavo","caliz","rello","cable","wire"
"finanziamento","finanziariamente","bestselnanziariamente","fischietziamento","financially","financing"
"finanziamento","bilancio","bispiccio","fischietziamento","budget","funding"
"finanziario","bancario","bancastle","fisprezziario","banking","financial"
"finire","fine","fidar","fiscorre","end","finish"
"fiore","pianta","fronta","orire","plant","flower"
"firma","francobollo","scioccobollo","mulma","stamp","signature"
"fischio","corno","tuano","figlioc","horn","whistle"
"fisico","sessuale","viagsuale","prossico","sexual","physical"
"flotta","navale","nasconle","phoeta","naval","fleet"
"fluido","liquido","livrando","elendo","liquid","fluid"
"forchetta","cucchiaio","cucscuoio","forwardta","spoon","fork"
"foresta","giungla","giuncam","forepres","jungle","forest"
"formaggio","pane","pagas","forchetgio","bread","cheese"
"formazione scolastica","salute","sastante","formazione scolasticarus","health","education"
"formica","ape","hie","grammica","bee","ant"
"fornello","forno","tiano","forgoodlo","oven","stove"
"fornire","abilitare","strarlitare","glionire","enable","provide"
"fortemente","saldamente","aziendamente","gliettemente","firmly","strongly"
"forza","forza","canza","canza","strength","force"
"foto","foto","ziato","ziato","picture","photo"
"fotografo","autografo","autoriousfo","fotoriousfo","autograph","photographer"
"fra","tipo","tisce","wea","dude","bro"
"fragola","banana","basforna","spiegola","banana","strawberry"
"francese","inglese","inscasse","eletcese","english","french"
"frase","dizionario","distrugnario","gerse","dictionary","phrase"
"frase","parola","pastilla","gerse","word","sentence"
"fratello","sorella","sostanla","spietello","sister","brother"
"freddo","caldo","seido","cripdo","warm","cool"
"freddo","piccante","tratcante","cripdo","hot","cold"
"frode","cospirazione","cospiraestrarne","wolde","conspiracy","fraud"
"frutta","mela","trala","fiamta","apple","fruit"
"fuga","fuggire","strigire","grega","flee","escape"
"fuggitivo","profugo","chiafugo","stringitivo","refugee","fugitive"
"funerale","bara","riera","gliernerale","coffin","funeral"
"funzionale","operativo","ascolrativo","strapzionale","operational","functional"
"furgone","trailer","brutler","spongone","trailer","van"
"galassia","universo","pianverso","gastrosia","universe","galaxy"
"gara","maratona","esploratona","siera","marathon","race"
"gatto","cane","catri","tuato","dog","cat"
"gay","lesbica","leplumca","twy","lesbian","gay"
"generalmente","naturalmente","naturalostruite","knightsbridgeneralmente","naturally","generally"
"generalmente","normalmente","norescremente","knightsbridgeneralmente","normally","usually"
"generoso","compassionevole","istruirpassionevole","knightsbridgeneroso","compassionate","generous"
"genitore","adulto","sdetto","knightsbridgenitore","adult","parent"
"giacca","camicia","camikael","driaca","shirt","jacket"
"giallo","rosso","curso","gremlo","red","yellow"
"ginocchio","spalla","biarla","ginocwood","shoulder","knee"
"giocatore","allenatore","aladriannatore","ostricatore","coach","player"
"giocattolo","bambola","giorbola","gioespiatolo","doll","toy"
"gioco","giocare a","giocacaux","stuco","play","game"
"gioia","piacere","scorcere","stuia","pleasure","joy"
"gioiello","diamante","stermante","giotrarlo","diamond","jewel"
"giornale","articolo","scienticolo","speznale","article","newspaper"
"giornalista","reporter","resmetter","ubrianalista","reporter","journalist"
"giovane","vecchio","kinchio","stravane","old","young"
"giudice","tribunale","ghostbunale","prendice","court","judge"
"giulietta","romeo.","rodrov","giuscuota","romeo","juliet"
"giuramento","imprecare","imscioccare","esploramento","swear","oath"
"giustizia","vendetta","vengliata","giustituen","revenge","justice"
"globale","nazionale","nasreennale","trenbale","national","global"
"gloria","glorioso","trenrioso","sferia","glorious","glory"
"gorilla","scimmia","sgatmia","goaneela","monkey","gorilla"
"governo","amministrazione","istruirministrazione","goequino","administration","government"
"grammo","chilo","pello","smarmo","kilo","gram"
"grande","eccellente","ecklundlente","scinde","excellent","great"
"gratitudine","ospitalità","sfruttalità","schiettitudine","hospitality","gratitude"
"gravidanza","nascita","napianta","gravischioza","birth","pregnancy"
"grazie","grato","zetto","graber","grateful","thank"
"greco","romano","spalmano","caico","roman","greek"
"gruppo","banda","grada","dreapo","gang","group"
"gruppo musicale","orchestra","orchening","bestselpo musicale","orchestra","band"
"guancia","labbro","ripbro","sharcia","lip","cheek"
"guarda","guarda","tratda","tratda","look","watch"
"guardaroba","consiglio dei ministri","consiglio dei mitschland","aspetdaroba","cabinet","closet"
"guarire","recuperare","reagreatperare","prenrire","recover","heal"
"guerriero","soldato","piandato","sgririero","soldier","warrior"
"hamburger","sandwich","analwich","sponburger","sandwich","hamburger"
"hiv","aids","aiha","juv","aids","hiv"
"i soldi","denaro contante","denaro contatskills","i sodux","cash","money"
"idiota","scemo","pemmo","whitta","fool","idiot"
"idrogeno","carbonio","carbosley","gringeno","carbon","hydrogen"
"ieri","oggi","ningi","snori","today","yesterday"
"il petrolio","carbone","piombone","il petrtsche","coal","oil"
"il pranzo","merenda","mechioda","ildebsnzo","snack","lunch"
"il quarto","terzo","cizzo","ildebsrto","third","fourth"
"imperatore","imperiale","impeespelle","agreatperatore","imperial","emperor"
"impero","dinastia","dinanard","impestar","dynasty","empire"
"importante","prezioso","giunzioso","iminiettante","valuable","important"
"importanza","significato","silhouetficato","imporspruzza","meaning","importance"
"impotente","impotente","impodrickte","impodrickte","helpless","powerless"
"imprenditore","milionario","miesternario","imprenistruttore","millionaire","entrepreneur"
"impressionare","lusingare","lucroorgare","impressioistruire","flatter","impress"
"imprigionamento","pena","perio","bestselprigionamento","penalty","imprisonment"
"impronta digitale","dna.","dnlã","impronta digitbrighton","dna","fingerprint"
"in pratica","letteralmente","schiacteralmente","in prathauer","literally","practically"
"in qualche luogo","altrove","allearve","in qualche lstling","elsewhere","somewhere"
"inaspettatamente","all'improvviso","all'improvvflheim","bestselspettatamente","suddenly","unexpectedly"
"incapace","incapacità","incathleencità","incapagliac","inability","unable"
"incidente","incidente","incisgiorte","incipriarte","incident","accident"
"incontrare","vedere","spondere","inconschiere","see","meet"
"incontro","torneo","torbie","inelettro","tournament","match"
"incontro","conferenza","confeschizza","inelettro","conference","meeting"
"indagare","esaminare","strinminare","inasciugare","examine","investigate"
"indicare","punto","miato","indistrugre","point","indicate"
"indirizzo","numero","scormero","indischerzo","number","address"
"individuale","persona","grossona","indistraesduale","person","individual"
"infanzia","gioventù","giostratù","inastuzia","youth","childhood"
"inferno","paradiso","pasplendiso","ingliono","paradise","hell"
"infezione","virus","vinal","infeguardne","virus","infection"
"infine","finalmente","fischiomente","infiglio","finally","eventually"
"informatore","fonte","nerte","instinctmatore","source","informant"
"informazione","dati","rinti","informathayusne","data","information"
"infortunio","ferita","ferispon","infortuthers","wound","injury"
"iniezione","dose","gasse","proczione","dose","injection"
"insalata","zuppa","elypa","inghiotlata","soup","salad"
"insegnante","alunno","oleono","insesfrutte","student","teacher"
"insegnare","imparare","strapparare","inseschiere","learn","teach"
"insetto","ragno","rabel","infligto","spider","insect"
"intelligente","inteligente","inteliasciutte","intelliastratte","smart","intelligent"
"intenzionalmente","accidentalmente","istruircidentalmente","ablewhitenzionalmente","accidentally","intentionally"
"intenzione","scopo","adipo","iniscrizione","purpose","intention"
"interessante","eccitante","eccischiate","intereslhouette","exciting","interesting"
"intimo","personale","chiassonale","spettimo","personal","intimate"
"intorno a","tondo","leado","intorclhe","round","around"
"intuizione","istinto","sciento","indianszione","instinct","intuition"
"inutile","inutili","stentili","sceltile","useless","worthless"
"inverno","estate","chatte","ingliono","summer","winter"
"investigatore","analista","gliolista","investigatoresearch","analyst","investigator"
"investire","finanza","fispezza","invemewhere","finance","invest"
"investitore","banchiere","banningre","instinctstitore","banker","investor"
"inviare","portare","chettare","instrere","bring","send"
"ironico","ironia","ravnia","amannico","irony","ironic"
"irresponsabile","irragionevole","bestselragionevole","irresponsasquatchle","unreasonable","irresponsible"
"ispezione","visita medica","visita medstroyer","broozione","examination","inspection"
