"et_target","et_cue","type","target_type","cue_type","et_cosine"
"dokument","faili","related","word","word",0.359533650462867
"element","faktor","related","word","word",0.355243557062953
"sündmus","fenomen","related","word","word",0.363314783991453
"religioon","filosoofia","related","word","word",0.446404102338778
"riik","föderaalne","related","word","word",0.275644182784378
"keskenduma","fookus","related","word","word",0.286186621984626
"tükk","fragment","related","word","word",0.369811887874424
"matemaatika","füüsika","related","word","word",0.6183232899873
"kütus","gaas","related","word","word",0.409129922156747
"näitus","galerii","related","word","word",0.444298672436829
"grupp","gang","related","word","word",0.162617056964674
"lubadus","garantii","related","word","word",0.281491235681556
"teadlane","geenius","related","word","word",0.42490919729045
"reaktor","generaator","related","word","word",0.510713562839583
"tennis","golf","related","word","word",0.392775281383298
"haigus","gripp","related","word","word",0.470142697814554
"van","haagis","related","word","word",0.0945036814477146
"aktsent","hääl","related","word","word",0.431069634658436
"saak","haarama","related","word","word",0.162854143969378
"vigastus","haava","related","word","word",0.42636607723273
"kala","hai","related","word","word",0.473265737193662
"haige","haige","related","word","word",1
"kliinik","haigla","related","word","word",0.436745056340063
"pardil","hane","related","word","word",0.306752127926388
"pokker","hasartmängud","related","word","word",0.396228002439437
"kalmistu","haud","related","word","word",0.344569441763517
"halb","hea","related","word","word",0.628837285945642
"annetus","heategevus","related","word","word",0.456189861286845
"telefon","helistama","related","word","word",0.395664904391467
"rott","hiir","related","word","word",0.421584048606217
"vara","hilja","related","word","word",0.486326741879717
"vaim","hing","related","word","word",0.536952554525229
"hirmutama","hirmutama","related","word","word",1
"jube","hirmutav","related","word","word",0.439529663989965
"streik","hitt","related","word","word",0.271768115412497
"sport","hobi","related","word","word",0.367588053102411
"häire","hoiatama","related","word","word",0.177368437854335
"sõnum","hoiatus","related","word","word",0.33468360395038
"hommik","homme","related","word","word",0.325525006638145
"adrenaliin","hormoon","related","word","word",0.358118171458953
"motell","hotell","related","word","word",0.698632498166449
"rumalus","hullumeelsus","related","word","word",0.422713013805833
"perekonnanimi","hüüdnimi","related","word","word",0.526024622010146
"parfüümi","huulepulk","related","word","word",0.38164101025623
"põske","huulepulk","related","word","word",0.377941962649978
"täiuslik","ideaalne","related","word","word",0.648395917677904
"teooria","idee","related","word","word",0.421031037685454
"iganädalane","iga päev","related","word","word",NA
"igavesti","igavene","related","word","word",0.367304379153234
"seaduslik","illegaalne","related","word","word",0.484058284052718
"hallutsinatsioon","illusioon","related","word","word",0.423496514793103
"visioon","ilmutus","related","word","word",0.276798128285487
"fantastiline","imeline","related","word","word",0.604097969440998
"lakkuma","imema","related","word","word",0.499154457759285
"hindama","imetlema","related","word","word",0.531415898600813
"keiser","imperiaalne","related","word","word",0.232427486824046
"kurat","ingel","related","word","word",0.141036622169774
"prantsuse keel","inglise","related","word","word",NA
"arhitekt","insener","related","word","word",0.462552298885506
"volinik","inspektor","related","word","word",0.302337158995052
"inspiratsioon","inspireerima","related","word","word",0.477362282941438
"intuitsioon","instinkt","related","word","word",0.448533440343361
"võrk","internet","related","word","word",0.387827661786966
"õnnetus","intsident","related","word","word",0.420545686867901
"rünnak","invasioon","related","word","word",0.491200673771439
"irooniline","iroonia","related","word","word",0.589355852026732
"ema","isa","related","word","word",0.836932207691094
"daam","isand","related","word","word",0.232248317169307
"iseloom","iseloom","related","word","word",1
"üksikisik","isik","related","word","word",0.43763917936694
"intiimne","isiklik","related","word","word",0.397038598691287
"jääma","jää","related","word","word",0.441439679037046
"kalapüük","jahipidamine","related","word","word",0.484614070019046
"eeldus","järeldus","related","word","word",0.550574553048752
"jälitama","järgima","related","word","word",0.413626459997513
"muusika","jazz","related","word","word",0.487041674328206
"veoauto","jeep","related","word","word",0.36317184316583
"järv","jõe","related","word","word",0.390492273858857
"julm","jõhker","related","word","word",0.502984389623444
"massaaž","jooga","related","word","word",0.45854079156965
"puhkus","jõulud","related","word","word",0.355819244278974
"ikka","juba","related","word","word",0.28007617885945
"ülemus","juhataja","related","word","word",0.483481481360424
"õnnestuma","juhtima","related","word","word",0.274715351643312
"haldus-","juhtimine","related","word","word",NA
"võimalus","juhus","related","word","word",0.266694257128831
"ohutus","julgeolek","related","word","word",0.376772996032693
"määramine","julgus","related","word","word",0.108886074116027
"jumalik","jumal","related","word","word",0.406273780868066
"hiljuti","just","related","word","word",0.467865708039861
"õlu","juua","related","word","word",0.384700325051243
"habe","juuksed","related","word","word",0.522269351724525
"juuli","juunis","related","word","word",0.535092690876801
"traat","kaabel","related","word","word",0.376446930818623
"kõrgus","kaal","related","word","word",0.326834605490845
"arvama","kaaluma","related","word","word",0.304091409910461
"mikrofon","kaamera","related","word","word",0.524237016009468
"traditsiooniline","kaasaegne","related","word","word",0.334921656755249
"pulm","kaasamine","related","word","word",0.22824781085732
"helde","kaastundlik","related","word","word",0.480958972333949
"pakk","kabiin","related","word","word",0.319050773295361
"kapp","kabinet","related","word","word",0.427169106301856
"süüdistus","kaebus","related","word","word",0.506253515469214
"matma","kaevama","related","word","word",0.510432784667067
"kolmekordne","kahekordne","related","word","word",0.819109971052725
"ebaõnne","kahetsusväärne","related","word","word",0.319030249103634
"kahtlustama","kahtlema","related","word","word",0.512226255198446
"purjus","kaine","related","word","word",0.415730008192216
"kaitsma","kaitsma","related","word","word",1
"aktiveerima","käivitus","related","word","word",0.465699229351841
"kinsa","käivitus","related","word","word",0.0630075175224624
"neli","kaks korda","related","word","word",NA
"ajakava","kalender","related","word","word",0.353178684257027
"bullet","kaliiber","related","word","word",0.194578121294289
"odav","kallis","related","word","word",0.322169084689885
"vangla","kamber","related","word","word",0.320259904948702
"valimised","kampaania","related","word","word",0.387513321305223
"türgi","kana","related","word","word",0.141443010912528
"uudised","kanal","related","word","word",0.272513128911103
"valija","kandidaat","related","word","word",0.43361406930362
"vanilje","kaneel","related","word","word",0.514922131102503
"isekas","kangekaelne","related","word","word",0.523325299566482
"päästja","kangelane","related","word","word",0.465678429344425
"surema","kannatama","related","word","word",0.442882131554501
"valu","kannatamine","related","word","word",0.342105105452218
"kaastunne","kannatlikkus","related","word","word",0.327561542355486
"president","kantsler","related","word","word",0.383707115521675
"segiajamine","kaos","related","word","word",NA
"võitja","kaotaja","related","word","word",0.529835632257214
"linn","kapitali-","related","word","word",NA
"sond","kapsel","related","word","word",0.358268315275204
"vahistama","karistama","related","word","word",0.586977825532801
"vangistus","karistus","related","word","word",0.592841866646904
"maine","karjäär","related","word","word",0.35444017835667
"kõva","karm","related","word","word",0.405997733259977
"festival","karneval","related","word","word",0.402601130919741
"tomat","kartuli","related","word","word",0.477849571018903
"hunt","karu","related","word","word",0.492844669620928
"käsi","käsi","related","word","word",1
"tellimus","käsk","related","word","word",0.253363293116425
"võita","kasu saama","related","word","word",NA
"efektiivne","kasulik","related","word","word",0.369973195145586
"sissetulek","kasum","related","word","word",0.455146367150031
"väärtusetu","kasutu","related","word","word",0.466853439435626
"vähk","kasvaja","related","word","word",0.510997284901948
"epideemia","katk","related","word","word",0.40516274809745
"peitma","katma","related","word","word",0.341873538863267
"kristlane","katoliku","related","word","word",0.443843899133709
"katse","katse","related","word","word",1
"õiglus","kättemaks","related","word","word",0.376094220559571
"kaupmees","kaubanduslik","related","word","word",0.324531169504691
"kiirus","kaugus","related","word","word",0.465010769155723
"plaat","kauss","related","word","word",0.339884478321144
"keelama","keelatud","related","word","word",0.55684374639713
"vastu võtma","keelduma","related","word","word",NA
"bioloogia","keemia","related","word","word",0.542481724570725
"ettekandja","kelner","related","word","word",0.483232853391302
"bioloogiline","kemikaal","related","word","word",0.431211042440641
"korpus","kere","related","word","word",0.24221133629878
"atmosfäär","keskkond","related","word","word",0.425446132653647
"keskpäev","kesköö","related","word","word",0.480343910666132
"majoneesi","ketšup","related","word","word",0.465449080998538
"sügisel","kevane","related","word","word",NA
"pind","kiht","related","word","word",0.453917232357815
"seade","kiip","related","word","word",0.454626931088993
"helikopter","kiirabi","related","word","word",0.318457908603738
"hädaolukord","kiireloomuline","related","word","word",0.340050394999691
"müts","kiiver","related","word","word",0.474360988612281
"gramm","kilo","related","word","word",0.46303483965476
"meter","kilomeeter","related","word","word",NA
"armor","kilp","related","word","word",0.194110975903469
"agentuur","kindel","related","word","word",0.160790756447937
"tugevalt","kindlalt","related","word","word",0.384528026977683
"haamer","kinni panema","related","word","word",NA
"pidama","kinni pidama","related","word","word",NA
"kinnitama","kinnitamine","related","word","word",0.646595625285385
"teater","kino","related","word","word",0.35687625834064
"kabel","kirik","related","word","word",0.38761596909193
"väljendama","kirjeldama","related","word","word",0.512781135798929
"matused","kirstu","related","word","word",0.302015726908016
"arst","kirurg","related","word","word",0.6383890429191
"laiali","kitsas","related","word","word",0.198758169477233
"kivi","kivi","related","word","word",1
"pudel","klaas","related","word","word",0.495174176141201
"perekond","klann","related","word","word",0.388965477703979
"kool","klass","related","word","word",0.358295960925263
"kitarr","klaver","related","word","word",0.489438168277208
"baar","klubi","related","word","word",0.344024889893327
"kass","koer","related","word","word",0.571520400789263
"tahtlikult","kogemata","related","word","word",0.324251322825224
"teadmised","kogemus","related","word","word",0.339188441884066
"kogunema","koguma","related","word","word",0.431279787676269
"kvaliteet","kogus","related","word","word",0.193855668171482
"täielik","kogusumma","related","word","word",0.201848646788628
"palavik","köha","related","word","word",0.504752855242923
"puudumine","kohalolek","related","word","word",0.388031315772318
"asukoht","koht","related","word","word",0.34357061289174
"asutus","kohtualluvus","related","word","word",NA
"iiveldus","kõhulahtisus","related","word","word",0.576236642615833
"kohtunik","kohus","related","word","word",0.38042810255241
"kohutav","kohutav","related","word","word",1
"kohver","kohver","related","word","word",1
"heroiin","kokaiin","related","word","word",0.67792909578455
"kokk","kokk","related","word","word",1
"loovutama","koletis","related","word","word",0.0596495737570492
"ülikool","kolledž","related","word","word",0.600264123675838
"sõber","kolleeg","related","word","word",0.497145370388218
"neljas","kolmas","related","word","word",0.62858589766392
"föderatsioon","koloonia","related","word","word",0.383235862028678
"segu","kombinatsioon","related","word","word",0.406076047023837
"komisjon","komisjonitasu","related","word","word",0.719604991375108
"avaldus","kommentaar","related","word","word",0.3425293728268
"kaart","kompass","related","word","word",0.400639634041091
"kingitus","kompliment","related","word","word",0.43490624779481
"jutlus","kõne","related","word","word",0.342149570990686
"vaidlustama","konflikt","related","word","word",0.270623442532402
"meistrivõistlused","konkurents","related","word","word",0.308472802898211
"sisalik","konn","related","word","word",0.3343215511316
"liberaalne","konservatiivne","related","word","word",0.54196921511681
"ühendus","kontakt","related","word","word",0.490795701445978
"manipuleerima","kontroll","related","word","word",0.201452183930482
"kontrollima","kontrollima","related","word","word",1
"määratlus","kontseptsioon","related","word","word",0.428811448868494
"kohtumine","konverents","related","word","word",0.459871717662789
"parool","kood","related","word","word",0.488969570639533
"kaste","koor","related","word","word",0.350025148720616
"lasti-","koormus","related","word","word",NA
"oru","kõrbes","related","word","word",0.27566669589173
"kaela","kõri","related","word","word",0.330809824739333
"korraldama","korraldama","related","word","word",1
"aus","korralik","related","word","word",0.367456595631374
"eemaldama","kõrvaldama","related","word","word",0.68505836194666
"jalgpall","korvpall","related","word","word",0.61834233293683
"laen","krediiti","related","word","word",0.328483399110706
"verevalum","kriimustama","related","word","word",NA
"poliitiline","kriitiline","related","word","word",0.608744458932016
"troon","kroon","related","word","word",0.613809479801338
"senaator","kuberner","related","word","word",0.390088090824013
"märg","kuiv","related","word","word",0.479132462818912
"loovus","kujutlusvõime","related","word","word",0.334097353934024
"tänu","külalislahkus","related","word","word",0.23092018290601
"hõbedane","kuldne","related","word","word",0.421833425696594
"tsivilisatsioon","kultuur","related","word","word",0.488045156756546
"kuningas","kuninganna","related","word","word",0.696784160784859
"kuningriik","kuninglik","related","word","word",0.396495162447949
"kirjandus","kunst","related","word","word",0.393354154624168
"maalikunstnik","kunstnik","related","word","word",0.866306555464068
"traagiline","kurb","related","word","word",0.505042252310622
"julmus","kurjus","related","word","word",0.411146355627555
"küsima","küsimus","related","word","word",0.44105653910277
"bro","kutt","related","word","word",0.265383912787494
"nädal","kuu","related","word","word",0.515191859242053
"kuulda","kuulama","related","word","word",0.457238783494501
"täht","kuulsus","related","word","word",0.338051780608035
"aukartus","kuulsusrikas","related","word","word",0.287085407566173
"skandaal","kuulujutt","related","word","word",0.340053758439767
"külm","kuum","related","word","word",0.533289390000606
"hammaste","küüs","related","word","word",0.283548378945057
"sibul","küüslauk","related","word","word",0.514405132831657
"küla","laager","related","word","word",0.353516676509303
"idas","läänes","related","word","word",0.669337831276987
"sadama","lahe","related","word","word",0.155782755867758
"kaugel","lähedal","related","word","word",0.491293577492006
"loobuma","lahkuma","related","word","word",0.482803648818842
"sissepääs","lahkuma","related","word","word",0.12142375499549
"kott","lahter","related","word","word",0.24734436089453
"ihaldama","lamedama","related","word","word",0.149265672201846
"küünla","lamp","related","word","word",0.280911239664971
"sip","langus","related","word","word",0.076321330316367
"laps","laps","related","word","word",1
"klooster","lapsehoidja","related","word","word",0.158712862224391
"neiu","lapsehoidja","related","word","word",0.219076146869215
"vennapoeg","lapselaps","related","word","word",0.443372451164658
"spagetid","lasagna","related","word","word",NA
"kontor","laud","related","word","word",0.365308705624734
"muusik","laulja","related","word","word",0.612062864558377
"pühapäev","laupäev","related","word","word",0.70203071400772
"armee","leegion","related","word","word",0.520422088629268
"siga","lehm","related","word","word",0.468070096446962
"juustu","leib","related","word","word",0.319240961358598
"kokkulepe","leping","related","word","word",0.554187014220461
"gei","lesbi","related","word","word",0.472022665869799
"naist","lesk","related","word","word",0.235300445136526
"lind","liblikas","related","word","word",0.477267533815945
"lihtne","lihtsalt","related","word","word",0.319609807633168
"meeskond","liiga","related","word","word",0.101261138976697
"liider","liige","related","word","word",0.410686857622826
"üleandmine","liikuma","related","word","word",0.132622150600512
"sooda","limonaad","related","word","word",0.414239622927816
"sümbol","lipp","related","word","word",0.323398867549192
"lisaks","lisa","related","word","word",0.376841662990937
"plahvatama","lõhkema","related","word","word",0.667236101609676
"ustav","lojaalne","related","word","word",0.582162953856316
"ausus","lojaalsus","related","word","word",0.501207135632548
"sööda","lõksu","related","word","word",0.320298425600048
"idioot","loll","related","word","word",0.547539828694646
"tsirkus","loomaaia","related","word","word",0.307482586438426
"hävitamine","loomine","related","word","word",0.592596516320126
"tehis-","loomulik","related","word","word",NA
"üldiselt","loomulikult","related","word","word",0.290536374184936
"usk","lootus","related","word","word",0.388735617497073
"tootma","loovutama","related","word","word",0.360284548449311
"ülim","lõplik","related","word","word",0.268091722547346
"lõpetama","lõpp","related","word","word",0.264633096374524
"lõpuks","lõpuks","related","word","word",1
"põhja","lõuna","related","word","word",0.352873322473067
"lääne-","lõunapoolne","related","word","word",NA
"heakskiit","luba","related","word","word",0.30311792955569
"lasta","lubama","related","word","word",0.237679858487732
"esitama","lubama","related","word","word",0.281924239774058
"kirjutama","lugema","related","word","word",0.550121621356416
"kirjandus","lugemine","related","word","word",0.296574366047859
"pikk","lühike","related","word","word",0.601758840654302
"tõmbama","lükkama","related","word","word",0.474766651711669
"suletud","lukustatud","related","word","word",0.50111429642005
"päikeseenergia","lunar","related","word","word",0.26684972951411
"kahvel","lusikas","related","word","word",0.461493435267851
"kolju","luu","related","word","word",0.454789656263699
"kirjanik","luuletaja","related","word","word",0.522036288184733
"lendama","maa","related","word","word",0.091269101699032
"viisard","maagia","related","word","word",NA
"piirkond","maakond","related","word","word",0.415271954228087
"lend","maandumine","related","word","word",0.478638061764681
"vastik","määrdunud","related","word","word",0.190099978635984
"plahvatus","maavärin","related","word","word",0.519325839329901
"kõrge","madal","related","word","word",0.577596563198145
"ülemine","madalam","related","word","word",0.240570073174991
"kartell","maffia","related","word","word",0.410746531577458
"mägi","mägi","related","word","word",1
"elektriline","magnetiline","related","word","word",0.619180821012169
"armas","magus","related","word","word",0.383294970017749
"kook","magustoit","related","word","word",0.532646477075173
"faks","mail","related","word","word",0.268010508020445
"lõhn","maitsema","related","word","word",0.367504593712345
"maitsev","maitsv","related","word","word",NA
"korter","maja","related","word","word",0.585373855218817
"kõrgjoon","majesteetlikkus","related","word","word",NA
"mäng","mängima","related","word","word",0.372394637589307
"valitsus","manustamine","related","word","word",0.178746231264956
"rind","mao","related","word","word",0.179432929982332
"rass","maraton","related","word","word",0.093484302160001
"ühtne","märk","related","word","word",0.112965492941209
"venus","mars","related","word","word",0.29529718184545
"psühholoogiline","meditsiiniline","related","word","word",0.607083423770528
"inimene","mees","related","word","word",0.647734244513424
"naissoost","mees","related","word","word",0.258579171832998
"laeva","meeskond","related","word","word",0.239159087120289
"tehnika","meetod","related","word","word",0.373472023189657
"võitleja","meister","related","word","word",0.391592485537114
"laevastik","mere-","related","word","word",NA
"merevägi","mere-","related","word","word",NA
"ookean","meri","related","word","word",0.565777103783835
"võid","mesi","related","word","word",0.139080447797403
"ant","mesilane","related","word","word",0.158087589788169
"mõistlik","messiline","related","word","word",NA
"loom","metsaline","related","word","word",0.344665655587995
"et","mida","related","word","word",0.383046871441116
"midagi","midagi","related","word","word",1
"sentimeeter","miil","related","word","word",0.382788113092656
"ettevõtja","miljonär","related","word","word",0.316723897100544
"miljardit","miljonit","related","word","word",0.699545100412134
"ling","ming","related","word","word",0.539070969518738
"maksimaalne","minimaalne","related","word","word",0.729886970110572
"kunagi","mitte kunagi","related","word","word",NA
"mõju","mõjutama","related","word","word",0.380562476263239
"sageli","mõnikord","related","word","word",0.421318335395577
"kuju","monument","related","word","word",0.281018945699459
"elegantne","moodne","related","word","word",0.372108276664634
"nuga","mõõk","related","word","word",0.437077588722455
"päike","moon","related","word","word",0.117197068609631
"alibi","motiiv","related","word","word",0.383091653339352
"liiv","muda","related","word","word",0.443056318197566
"prototüüp","mudel","related","word","word",0.449051669346356
"meeldiv","mugav","related","word","word",0.432699824985665
"kusagil","mujal","related","word","word",0.344338690552641
"tunne","mulje","related","word","word",0.231238784509773
"hämmastav","muljetavaldav","related","word","word",0.425394761323405
"preester","munk","related","word","word",0.402924905795469
"heli","müra","related","word","word",0.483624064434679
"närviline","mures","related","word","word",0.431769732777662
"muretsema","muretsema","related","word","word",1
"tappa","mürk","related","word","word",0.253351417878354
"ostja","müüja","related","word","word",0.420574269947209
"legend","müüt","related","word","word",0.479552186267579
"parandamine","muutuma","related","word","word",0.141977914704229
"dollari","nael","related","word","word",0.28716096925933
"naerma","naeratama","related","word","word",0.514803697302485
"absurdne","naeruväärne","related","word","word",0.57469549057775
"vastama","nägema","related","word","word",0.388614890082126
"pabertaskurätik","nahk","related","word","word",NA
"küüniline","naiivne","related","word","word",0.511466158799067
"loll","naiivsed","related","word","word",0.236361013034357
"toimivus","näitama","related","word","word",0.105638333025927
"janu","nälg","related","word","word",0.531302265444701
"jalutama","nap","related","word","word",0.141496107831661
"lihas","närvi","related","word","word",0.195180811326296
"kommunikatsioon","navigatsioon","related","word","word",0.512934170364128
"nõid","needus","related","word","word",0.479573868832603
"maks","neer","related","word","word",0.453454805896223
"pealkiri","nimetus","related","word","word",0.395056799049926
"samurai","ninja","related","word","word",0.368579161003034
"auhind","nobeli","related","word","word",0.349170585797444
"süstal","nõel","related","word","word",0.455632877672311
"lapsepõlv","noored","related","word","word",0.182616391437546
"tavaliselt","normaalselt","related","word","word",0.253790536780867
"nõustama","nõuanne","related","word","word",0.244460753794097
"taotlus","nõudma","related","word","word",0.256742314113515
"detsember","november","related","word","word",0.708514501373456
"mänguasi","nukk","related","word","word",0.408178822697112
"aadress","number","related","word","word",0.423900531148116
"vajutama","nupp","related","word","word",0.512120738826994
"allee","nurk","related","word","word",0.308151210685138
"arukas","nutikas","related","word","word",0.545740985298698
"teadma","nüüd","related","word","word",0.189162813123865
"teema","objekt","related","word","word",0.211264420759195
"vend","õde","related","word","word",0.550995937673575
"hapnik","õhk","related","word","word",0.459710635820784
"hommikusöök","õhtusöök","related","word","word",0.746803068734102
"paks","õhuke","related","word","word",0.415890439551515
"kindlustama","ohutu","related","word","word",0.242123491290879
"ründaja","ohver","related","word","word",0.329821896322382
"vasakule","õigus","related","word","word",0.109999943804007
"jah","okei","related","word","word",0.579995813602803
"soodustus","oksjon","related","word","word",0.274854716374185
"põlve","õla","related","word","word",0.339986685301459
"kriis","olukord","related","word","word",0.364867905926169
"pöörama","omakorda","related","word","word",0.106614548350815
"haletsusväärne","õnnetu","related","word","word",0.472911376830315
"tervitama","õnnitlema","related","word","word",0.523073032858757
"isa","onu","related","word","word",0.561616272201176
"õhtu","öösel","related","word","word",0.227946517225304
"ootama","ootama","related","word","word",1
"õpetama","õppima","related","word","word",0.597190576896699
"realistlik","optimistlik","related","word","word",0.594137433851356
"pesukaru","orav","related","word","word",0.334683269201078
"erektsioon","orgasm","related","word","word",0.463387189147704
"teenija","ori","related","word","word",0.386612604020614
"koopia","originaalne","related","word","word",0.332409344721084
"tornaado","orkaan","related","word","word",0.458513193238341
"bändi","orkester","related","word","word",0.275545882635568
"tundlik","õrn","related","word","word",0.442110603437809
"lõik","osa","related","word","word",0.293856403429116
"divisjon","osa","related","word","word",0.212681044369113
"müüma","ostma","related","word","word",0.552771543955378
"otse","otsene","related","word","word",0.351972583838469
"valvama","otsima","related","word","word",0.418305393310585
"leidma","otsing","related","word","word",0.209288238786314
"hirm","õudus","related","word","word",0.331194863579142
"unenägu","õudusunenägu","related","word","word",0.742505673110763
"viljad","õun","related","word","word",0.268892943544252
"mootor","paak","related","word","word",0.546821852488958
"säästa","päästma","related","word","word",0.331111864270812
"pliiats","paber","related","word","word",0.526452918759305
"atlandi","pacific","related","word","word",0.259928281204749
"lenduv","pagulane","related","word","word",0.192164904991948
"koitu","päikeseloojang","related","word","word",0.357688865935951
"andma","pakkuma","related","word","word",0.447225605113558
"loss","palee","related","word","word",0.399523548441006
