"et_cue","et_target","et_fake_target","et_fake_cue","en_cue","en_target"
"ekspert","spetsialist","hirmsialist","ekskepp","expert","specialist"
"elama","ellu jääma","ellu järique","kerma","live","survive"
"elanikkond","inimesed","võrdmesed","elaniklaus","population","people"
"elus","surnud","helnud","eltt","alive","dead"
"ema","isa","coa","jua","mother","father"
"enamus","hääletama","elektletama","ronmus","majority","vote"
"enesetapp","mõrvama","teadvama","enesepeye","suicide","murder"
"entusiasmi","kirglikkus","baarlikkus","entulusummi","enthusiasm","passion"
"erandlik","tähelepanuväärne","tähelepanuväärnemuistsel","roanolik","exceptional","remarkable"
"eriline","ainulaadne","ainuookeane","kompline","special","unique"
"esimene","viimati","tundmati","juhtmene","first","last"
"esinema","juhtuma","võittuma","väärnema","occur","happen"
"esitama","viitama","ajastama","kvartama","propose","suggest"
"eskort","kaasas olema","kaasas olsikuks","estons","escort","accompany"
"esmaspäev","teisipäev","teisiauke","esmassaaþ","monday","tuesday"
"ettevalmistamine","planeerimine","planeeriminemuistsel","ettevalmistaminemuistsel","preparation","planning"
"ettevõte","korporatsioon","korporattused","ettevõtegutsesin","company","corporation"
"evolutsioon","mutatsioon","mutatmisel","evolutmisel","evolution","mutation"
"faas","periood","pebious","ükas","phase","period"
"faili","dokument","dokugawa","vibli","file","document"
"faktor","element","eleteed","hõltor","factor","element"
"fenomen","sündmus","asenmus","fenojaam","phenomenon","event"
"filosoofia","religioon","relihburn","filosoopunkt","philosophy","religion"
"föderaalne","riik","tšik","födelusõnne","federal","state"
"fookus","keskenduma","printkenduma","newkus","focus","concentrate"
"fragment","tükk","tühu","fitzment","fragment","piece"
"füüsika","matemaatika","matemaatikavatsesin","naabsika","physics","mathematics"
"gaas","kütus","kübet","gaki","gas","fuel"
"galerii","näitus","vistus","galepuks","gallery","exhibition"
"gang","grupp","kuupp","gadi","gang","group"
"garantii","lubadus","lubataht","garansate","guarantee","promise"
"geenius","teadlane","kontlane","bronius","genius","scientist"
"generaator","reaktor","diaator","generaamisel","generator","reactor"
"golf","tennis","naknis","gohn","golf","tennis"
"gripp","haigus","igagus","õpipp","flu","disease"
"haagis","van","oun","arugis","trailer","van"
"hääl","aktsent","aktping","häwa","voice","accent"
"haarama","saak","sawy","keskrama","grab","catch"
"haava","vigastus","viriietus","aruva","wound","injury"
"hai","kala","kahet","rci","shark","fish"
"haige","haige","seage","igage","ill","sick"
"haigla","kliinik","kliikul","toitla","hospital","clinic"
"hane","pardil","tendil","halas","goose","duck"
"hasartmängud","pokker","astker","hatoosimängud","gambling","poker"
"haud","kalmistu","nõudmistu","hahi","grave","cemetery"
"hea","halb","haeh","zca","good","bad"
"heategevus","annetus","annevalt","lalistegevus","charity","donation"
"helistama","telefon","telerias","hepanzatama","call","telephone"
"hiir","rott","antt","hium","mouse","rat"
"hilja","vara","vakud","posja","late","early"
"hing","vaim","vals","hily","soul","spirit"
"hirmutama","hirmutama","elektmutama","elektmutama","scare","frighten"
"hirmutav","jube","junal","hirmusiga","scary","creepy"
"hitt","streik","stabik","hius","hit","strike"
"hobi","sport","spatt","homaa","hobby","sport"
"hoiatama","häire","penre","juhttama","alert","alarm"
"hoiatus","sõnum","sõdar","sündtus","warning","message"
"homme","hommik","plamik","jeeme","tomorrow","morning"
"hormoon","adrenaliin","liugnaliin","hortern","hormone","adrenaline"
"hotell","motell","motöös","hojälg","hotel","motel"
"hullumeelsus","rumalus","rumavalt","hulluprantsus","madness","stupidity"
"hüüdnimi","perekonnanimi","perekonnanimikueineks","töösnimi","nickname","surname"
"huulepulk","parfüümi","pargrimmi","huuletorn","lipstick","perfume"
"huulepulk","põske","kunke","huuletorn","lip","cheek"
"ideaalne","täiuslik","päästlik","lisesine","ideal","perfect"
"idee","teooria","tekõria","hõee","idea","theory"
"iga päev","iganädalane","iganädalanemuistsel","ras päev","daily","weekly"
"igavene","igavesti","igakülgti","prohvene","eternal","forever"
"illegaalne","seaduslik","kontduslik","illelusõnne","illegal","legal"
"illusioon","hallutsinatsioon","hallutsinattuseks","illupeole","illusion","hallucination"
"ilmutus","visioon","videoma","ilmuseid","revelation","vision"
"imeline","fantastiline","fantastilinemuistsel","võitline","wonderful","fantastic"
"imema","lakkuma","ringkuma","klõma","suck","lick"
"imetlema","hindama","pooldama","kiirlema","admire","appreciate"
"imperiaalne","keiser","popser","impetööstne","imperial","emperor"
"ingel","kurat","kugil","invam","angel","devil"
"inglise","prantsuse keel","prantsusenosse","komplise","english","french"
"insener","arhitekt","arhieile","insejaks","engineer","architect"
"inspektor","volinik","volikott","ühenpektor","inspector","commissioner"
"inspireerima","inspiratsioon","inspirattused","inspidusöökrima","inspire","inspiration"
"instinkt","intuitsioon","innesssioon","insteost","instinct","intuition"
"internet","võrk","võpp","indaannet","internet","web"
"intsident","õnnetus","õnnevaid","intsilöök","incident","accident"
"invasioon","rünnak","rünjon","invarises","invasion","attack"
"iroonia","irooniline","kautsniline","soodnia","irony","ironic"
"isa","ema","dua","coa","daddy","mum"
"isand","daam","dath","ruand","lord","lady"
"iseloom","iseloom","tutloom","tutloom","character","personality"
"isik","üksikisik","üksingist","coik","person","individual"
"isiklik","intiimne","inhäälne","nistlik","personal","intimate"
"jää","jääma","uskma","asä","stay","remain"
"jahipidamine","kalapüük","kalaroop","jahipidaminemuistsel","hunting","fishing"
"järeldus","eeldus","eelaja","jäkoondus","conclusion","assumption"
"järgima","jälitama","mõistlitama","kahtgima","follow","chase"
"jazz","muusika","tantsika","jaäl","jazz","music"
"jeep","veoauto","naabauto","duep","jeep","truck"
"jõe","järv","jäii","ble","river","lake"
"jõhker","julm","jujo","dexker","brutal","cruel"
"jooga","massaaž","maskaev","lasga","yoga","massage"
"jõulud","puhkus","venkus","jõujja","christmas","holiday"
"juba","ikka","tucka","parba","already","still"
"juhataja","ülemus","peamus","jueelistaja","manager","boss"
"juhtima","õnnestuma","õnvärvatuma","võittima","manage","succeed"
"juhtimine","haldus-","halolu","elekttimine","management","administrative"
"juhus","võimalus","võimavalt","jusal","chance","possibility"
"julgeolek","ohutus","jestus","julgeraat","security","safety"
"julgus","määramine","elektramine","julval","courage","determination"
"jumal","jumalik","jumatust","juled","god","divine"
"just","hiljuti","unusjuti","owst","just","recently"
"juua","õlu","rüu","juot","drink","beer"
"juuksed","habe","hanal","kõiksed","hair","beard"
"juunis","juuli","päili","goonis","june","july"
"kaabel","traat","õhaat","kaalid","cable","wire"
"kaal","kõrgus","singus","kaue","weight","height"
"kaaluma","arvama","artundma","seikluma","consider","think"
"kaamera","mikrofon","mikrorelv","liikmera","camera","microphone"
"kaasaegne","traditsiooniline","traditsioonilinemuistsel","inimaegne","modern","traditional"
"kaasamine","pulm","pukõ","väeossamine","engagement","wedding"
"kaastundlik","helde","sõide","kaaslastlik","compassionate","generous"
"kabiin","pakk","pabi","kaseim","cabin","deck"
"kabinet","kapp","mupp","kabipääs","cabinet","closet"
"kaebus","süüdistus","süüstaatus","kaesik","complaint","accusation"
"kaevama","matma","lisma","võitvama","dig","bury"
"kahekordne","kolmekordne","kolmebaasine","kaheteistne","double","triple"
"kahetsusväärne","ebaõnne","võitõnne","kahetsuspetentne","unfortunate","misfortune"
"kahtlema","kahtlustama","juurdlustama","teadlema","doubt","suspect"
"kaine","purjus","purgem","blone","sober","drunk"
"kaitsma","kaitsma","pootsma","võistma","protect","defend"
"käivitus","aktiveerima","aktiruumisrima","proovitus","trigger","activate"
"käivitus","kinsa","püksa","proovitus","boot","shoe"
"kaks korda","neli","komli","thor korda","two","four"
"kalender","ajakava","külmkava","kachowder","calendar","schedule"
"kaliiber","bullet","bulhal","kaliivias","caliber","bullet"
"kallis","odav","teav","piilis","expensive","cheap"
"kamber","vangla","stanla","eleber","cell","prison"
"kampaania","valimised","valipoiss","kampaavust","campaign","election"
"kana","türgi","nangi","karis","chicken","turkey"
"kanal","uudised","ööbised","karid","channel","news"
"kandidaat","valija","vakandja","kandiholm","candidate","voter"
"kaneel","vanilje","vaseksje","kateid","cinnamon","vanilla"
"kangekaelne","isekas","isevär","kangeseiiine","stubborn","selfish"
"kangelane","päästja","täiusja","elektgelane","hero","savior"
"kannatama","surema","suregist","puhtanatama","suffer","die"
"kannatamine","valu","vamis","kannataminemuistsel","suffering","pain"
"kannatlikkus","kaastunne","inimtunne","kantäiuslikkus","patience","compassion"
"kantsler","president","presisaim","portsler","chancellor","president"
"kaos","segiajamine","sereþiimine","egos","chaos","confusion"
"kaotaja","võitja","siasja","alustaja","loser","winner"
"kapitali-","linn","lipä","kapitalikopteriga","capital","city"
"kapsel","sond","zand","löösel","capsule","probe"
"karistama","vahistama","vanemadtama","kavandatama","punish","arrest"
"karistus","vangistus","vangismaal","kariskant","penalty","imprisonment"
"karjäär","maine","noone","kardier","career","reputation"
"karm","kõva","vusva","kawa","tough","hard"
"karneval","festival","elavtival","karnetist","carnival","festival"
"kartuli","tomat","torii","alistuli","potato","tomato"
"karu","hunt","bent","kadan","bear","wolf"
"käsi","käsi","taksi","taksi","hand","arm"
"käsk","tellimus","tellireid","käor","command","order"
"kasu saama","võita","rauta","kasu sarebro","gain","win"
"kasulik","efektiivne","võlgtiivne","kasudest","useful","effective"
"kasum","sissetulek","sissetunivad","kakov","profit","income"
"kasutu","väärtusetu","eemaltusetu","kasumaks","useless","worthless"
"kasvaja","vähk","väem","võitvaja","tumor","cancer"
"katk","epideemia","epideevest","kagh","plague","epidemic"
"katma","peitma","pinkma","rosma","cover","hide"
"katoliku","kristlane","täienlane","kamõistliku","catholic","christian"
"katse","katse","hoose","hinse","experiment","test"
"kättemaks","õiglus","kotlus","kättereid","revenge","justice"
"kaubanduslik","kaupmees","eralmees","kaubanalandlik","commercial","merchant"
"kaugus","kiirus","kiiner","kaunei","distance","speed"
"kauss","plaat","uuaat","tõuss","bowl","plate"
"keelatud","keelama","salklama","juhtitud","forbidden","prohibit"
"keelduma","vastu võtma","vastu võseuse","paisduma","refuse","accept"
"keemia","bioloogia","stanloogia","keenel","chemistry","biology"
"kelner","ettekandja","ettegelekja","kelrus","waiter","waitress"
"kemikaal","bioloogiline","bioloogilinemuistsel","keminyga","chemical","biological"
"kere","korpus","korgen","laure","body","corpse"
"keskkond","atmosfäär","atmoslets","kontkond","environment","atmosphere"
"kesköö","keskpäev","kontpäev","kontöö","midnight","noon"
"ketšup","majoneesi","majokruiisi","ketreth","ketchup","mayonnaise"
"kevane","sügisel","sügilaua","keseksne","spring","autumn"
"kiht","pind","piku","kich","layer","surface"
"kiip","seade","rasde","kilg","chip","device"
"kiirabi","helikopter","helitusidter","kihiabi","ambulance","helicopter"
"kiireloomuline","hädaolukord","hädaolutusin","kiireloomulinemuistsel","urgent","emergency"
"kiiver","müts","ints","kiilat","helmet","hat"
"kilo","gramm","õpamm","kigud","kilo","gram"
"kilomeeter","meter","mesoo","kilokaustter","kilometer","meter"
"kilp","armor","arart","kivu","shield","armor"
"kindel","agentuur","agenteed","terdel","firm","agency"
"kindlalt","tugevalt","tugemeel","kindgaks","firmly","strongly"
"kinni panema","haamer","järmer","kinni pangaksid","stick","hammer"
"kinni pidama","pidama","tõendama","kinni piddusöök","hold","keep"
"kinnitamine","kinnitama","hassanitama","kinnitaminemuistsel","confirmation","confirm"
"kino","teater","puuter","kimus","cinema","theater"
"kirik","kabel","katas","kisen","church","chapel"
"kirjeldama","väljendama","väldivaddama","kirpihtidama","describe","express"
"kirstu","matused","matumist","konktu","coffin","funeral"
"kirurg","arst","arck","kiping","surgeon","doctor"
"kitsas","laiali","hiidli","prisas","narrow","wide"
"kivi","kivi","kimad","kimad","rock","stone"
"klaas","pudel","putad","staas","glass","bottle"
"klann","perekond","peremaks","ffann","clan","family"
"klass","kool","kova","guass","class","school"
"klaver","kitarr","kilats","univer","piano","guitar"
"klubi","baar","bako","jeebi","club","bar"
"koer","kass","kalg","nber","dog","cat"
"kogemata","tahtlikult","grillikult","kogematavatsesin","accidentally","intentionally"
"kogemus","teadmised","murdmised","kogereid","experience","knowledge"
"koguma","kogunema","kogumõistma","koteadma","collect","gather"
"kogus","kvaliteet","kvalimiga","koval","quantity","quality"
"kogusumma","täielik","piitlik","koguplatsma","total","complete"
"köha","palavik","palajuht","vorha","cough","fever"
"kohalolek","puudumine","elektdumine","kohalpust","presence","absence"
"koht","asukoht","peekoht","koay","place","location"
"kohtualluvus","asutus","peetus","kohtuallutoriga","jurisdiction","authority"
"kõhulahtisus","iiveldus","iitaandus","kõhulahtiretkel","diarrhea","nausea"
"kohus","kohtunik","kohtudest","kosal","court","judge"
"kohutav","kohutav","kohumeel","kohumeel","terrible","horrible"
"kohver","kohver","kohtak","kohlat","briefcase","suitcase"
"kokaiin","heroiin","herixis","kodawan","cocaine","heroin"
"kokk","kokk","koje","koza","cook","chef"
"koletis","loovutama","eemalvutama","kolegaal","monster","creature"
"kolledž","ülikool","ülipoes","kollowe","college","university"
"kolleeg","sõber","sõkis","kollary","colleague","friend"
"kolmas","neljas","opejas","varmas","third","fourth"
"koloonia","föderatsioon","föderattused","kohastnia","colony","federation"
"kombinatsioon","segu","semat","kombinattused","combination","mixture"
"komisjonitasu","komisjon","komistiiv","komisjonitasuperstaar","commission","committee"
"kommentaar","avaldus","meesdus","kommenkink","comment","statement"
"kompass","kaart","kauat","komšees","compass","map"
"kompliment","kingitus","kingivald","pähkliment","compliment","gift"
"kõne","jutlus","orilus","viine","speech","sermon"
"konflikt","vaidlustama","teesklustama","konflows","conflict","dispute"
"konkurents","meistrivõistlused","jooksrivõistlused","konkutiast","competition","championship"
"konn","sisalik","sisatest","koaa","frog","lizard"
"konservatiivne","liberaalne","libelesinne","konservanemaksne","conservative","liberal"
"kontakt","ühendus","meesdus","kongiit","contact","connection"
"kontroll","manipuleerima","manipuleerimarakratt","kontruks","control","manipulate"
"kontrollima","kontrollima","eemalrollima","eemalrollima","check","verify"
"kontseptsioon","määratlus","määratseid","teadseptsioon","concept","definition"
"konverents","kohtumine","värvatumine","konverough","conference","meeting"
"kood","parool","patost","kobo","code","password"
"koor","kaste","elute","koee","cream","sauce"
"koormus","lasti-","jooti","saatmus","load","cargo"
"kõrbes","oru","ldu","kõrgat","desert","valley"
"kõri","kaela","dolla","viiri","throat","neck"
"korraldama","korraldama","kortäiendama","kortäiendama","arrange","organize"
"korralik","aus","tos","korratuur","decent","honest"
"kõrvaldama","eemaldama","kaitsdama","kõrtäiendama","eliminate","remove"
"korvpall","jalgpall","jalgramm","klaupall","basketball","football"
"krediiti","laen","fren","alandiiti","credit","loan"
"kriimustama","verevalum","verevaniega","eemalmustama","scratch","bruise"
"kriitiline","poliitiline","poliitilinemuistsel","eemaltiline","critical","political"
"kroon","troon","trevn","bloon","crown","throne"
"kuberner","senaator","senaaliks","kuberjaks","governor","senator"
"kuiv","märg","mäah","kuui","dry","wet"
"kujutlusvõime","loovus","looõpe","kujutlustuseksme","imagination","creativity"
"külalislahkus","tänu","täril","külahezbollahkus","hospitality","gratitude"
"kuldne","hõbedane","hõbedanemuistsel","nuwine","golden","silver"
"kultuur","tsivilisatsioon","tsivilisattuseks","aastuur","culture","civilization"
"kuninganna","kuningas","kuduurgas","kuninkorstna","queen","king"
"kuninglik","kuningriik","kuningpest","kuleidlik","royal","kingdom"
"kunst","kirjandus","kirdestdus","kulgt","art","literature"
"kunstnik","maalikunstnik","maaliliananik","teistnik","artist","painter"
"kurb","traagiline","kliengiline","kunä","sad","tragic"
"kurjus","julmus","rahmus","kurgem","evil","cruelty"
"küsimus","küsima","kütundma","küsireid","question","ask"
"kutt","bro","ggo","kuei","dude","bro"
"kuu","nädal","näpit","rku","month","week"
"kuulama","kuulda","kaitda","haiglama","listen","hear"
"kuulsus","täht","tänk","kaitsus","celebrity","star"
"kuulsusrikas","aukartus","auunustus","prantsusrikas","glorious","glory"
"kuulujutt","skandaal","skanlace","kuulupoeg","gossip","scandal"
"kuum","külm","küub","kupo","hot","cold"
"küüs","hammaste","võitmaste","kügg","nail","tooth"
"küüslauk","sibul","sitüd","küüsjõul","garlic","onion"
"laager","küla","loola","aseger","camp","village"
"läänes","idas","idly","grenes","west","east"
"lahe","sadama","tõendama","lavas","bay","harbor"
"lähedal","kaugel","esigel","lähevõit","near","far"
"lahkuma","loobuma","triibuma","võitkuma","leave","abandon"
"lahkuma","sissepääs","sissenior","võitkuma","exit","entrance"
"lahter","kott","kopo","kester","box","bag"
"lamedama","ihaldama","kelddama","seitsmedama","flatter","impress"
"lamp","küünla","olümla","laot","lamp","candle"
"langus","sip","aap","landil","drop","sip"
"laps","laps","labo","lako","baby","child"
"lapsehoidja","klooster","vronster","lapseruumija","orphanage","convent"
"lapsehoidja","neiu","nelv","lapseruumija","nanny","maid"
"lapselaps","vennapoeg","vennagist","lapsevend","grandson","nephew"
"lasagna","spagetid","alekgetid","lavetena","lasagna","spaghetti"
"laud","kontor","naator","ladi","desk","office"
"laulja","muusik","muurel","alanja","singer","musician"
"laupäev","pühapäev","pühaneks","laukalt","Saturday","Sunday"
"leegion","armee","arrio","leedici","legion","army"
"lehm","siga","siden","lexu","cow","pig"
"leib","juustu","säästu","chib","bread","cheese"
"leping","kokkulepe","eemalkulepe","lemiin","contract","agreement"
"lesbi","gei","rxi","madbi","lesbian","gay"
"lesk","naist","nanot","leas","widow","woman"
"liblikas","lind","lidi","konslikas","butterfly","bird"
"lihtsalt","lihtne","rektne","lihtlasi","simply","simple"
"liiga","meeskond","lihtkond","reaga","league","team"
"liige","liider","liiguk","nõrge","member","leader"
"liikuma","üleandmine","ülemõistmine","tähtkuma","move","transfer"
"limonaad","sooda","derda","limosoom","lemonade","soda"
"lipp","sümbol","sümoad","lird","flag","symbol"
"lisa","lisaks","linaar","litis","extra","additional"
"lõhkema","plahvatama","täiusvatama","inimkema","burst","explode"
"lojaalne","ustav","usnis","lotentne","loyal","faithful"
"lojaalsus","ausus","aukar","lokortsus","loyalty","honesty"
"lõksu","sööda","durda","vatsu","trap","bait"
"loll","idioot","deioot","logg","fool","idiot"
"loomaaia","tsirkus","liigkus","looranza","zoo","circus"
"loomine","hävitamine","hävitaminemuistsel","kreemine","creation","destruction"
"loomulik","tehis-","tegul","loomuselt","natural","artificial"
"loomulikult","üldiselt","laieselt","loomulisioon","naturally","generally"
"lootus","usk","eik","bustus","hope","faith"
"loovutama","tootma","hoffma","eemalvutama","create","produce"
"lõplik","ülim","saim","nutlik","final","ultimate"
"lõpp","lõpetama","lõtäiustama","lõrk","end","finish"
"lõpuks","lõpuks","lõtund","lõkuni","finally","eventually"
"lõuna","põhja","torja","määna","south","north"
"lõunapoolne","lääne-","vahne","lõunahalisne","southern","western"
"luba","heakskiit","heakshicu","lusis","permission","approval"
"lubama","lasta","kelta","lutundma","allow","let"
"lubama","esitama","kvartama","lutundma","enable","provide"
"lugema","kirjutama","igaksjutama","lutundma","read","write"
"lugemine","kirjandus","kirdestdus","lugeminemuistsel","reading","writing"
"lühike","pikk","pire","kahthike","short","long"
"lükkama","tõmbama","maanbama","sporkama","push","pull"
"lukustatud","suletud","sulegaal","lumeinitatud","locked","closed"
"lunar","päikeseenergia","päikeseriaaligia","lulov","lunar","solar"
"lusikas","kahvel","sõlvel","lusitiiv","spoon","fork"
"luu","kolju","alaju","kru","bone","skull"
"luuletaja","kirjanik","kirjapres","võistletaja","poet","writer"
"maa","lendama","pooldama","lla","land","fly"
"maagia","viisard","viikass","maakel","magic","wizard"
"maakond","piirkond","kunskond","likkond","county","district"
"maandumine","lend","ound","võistdumine","landing","flight"
"määrdunud","vastik","vasras","trasdunud","dirty","disgusting"
"maavärin","plahvatus","vaidvatus","maaväkest","earthquake","explosion"
"madal","kõrge","maage","marün","low","high"
"madalam","ülemine","aatomine","madarelt","lower","upper"
"maffia","kartell","kargial","tosfia","mafia","cartel"
"mägi","mägi","burgi","burgi","hill","mountain"
"magnetiline","elektriline","kaitsriline","magnetilinemuistsel","magnetic","electric"
"magus","armas","artik","maval","sweet","cute"
"magustoit","kook","kona","magusrius","dessert","cake"
"mail","faks","iuks","maar","mail","fax"
"maitsema","lõhn","lõue","suudsema","taste","smell"
"maitsv","maitsev","maitmil","maitrx","tasty","delicious"
"maja","korter","amster","mased","house","apartment"
"majesteetlikkus","kõrgjoon","kõrgrian","majesumbusklikkus","majesty","highness"
"mängima","mäng","mähk","võitgima","play","game"
"manustamine","valitsus","vakuulsus","manustaminemuistsel","administration","government"
"mao","rind","dund","cco","stomach","chest"
"maraton","rass","raqu","marahaah","marathon","race"
"märk","ühtne","kiine","mäpp","badge","uniform"
"mars","venus","vesai","mapo","mars","venus"
"meditsiiniline","psühholoogiline","psühholoogilinemuistsel","meditsiinilinemuistsel","medical","psychological"
"mees","inimene","tõesmene","meot","man","human"
"mees","naissoost","kiirsoost","meot","male","female"
"meeskond","laeva","järva","lihtkond","crew","ship"
"meetod","tehnika","maannika","meediu","method","technique"
"meister","võitleja","kindleja","britter","champion","fighter"
"mere-","laevastik","laevaskese","metad","naval","fleet"
"mere-","merevägi","merekonstgi","metad","marine","navy"
"meri","ookean","ooswan","soori","sea","ocean"
"mesi","võid","deid","taksi","honey","butter"
"mesilane","ant","olt","mesilanemuistsel","bee","ant"
"messiline","mõistlik","translik","kohtasiline","fair","reasonable"
"metsaline","loom","loag","transsaline","beast","animal"
"mida","et","od","kenda","what","that"
"midagi","midagi","asendagi","asendagi","nothing","something"
