"lv_target","lv_cue","lv_fake_cue","lv_fake_target","en_cue","en_target"
"brālis","māsa","māsagriezļsiet","vinlis","sister","brother"
"braukt","disks","diezs","brauon","drive","ride"
"briesmas","risks","rills","cieđamas","risk","danger"
"briesmīgs","šausmīgs","sniemīgs","briesliek","terrible","horrible"
"brīvdiena","ziemsvētki","tirdznieki","dzeldiena","christmas","holiday"
"brīvprātīgi","brīvprātīgais","skaidprātīgais","skaidprātīgi","volunteer","voluntarily"
"brokastis","vakariņas","vakarisotto","meiskastis","dinner","breakfast"
"bruņas","vairogs","vaigurs","ujiņas","shield","armor"
"bruņurupucis","gliemeža","prosmeža","bruņuruputekšņu","snail","turtle"
"bura","enkurs","entīns","bulen","anchor","sail"
"burvīgs","pievilcīgs","pievilktām","mekvīgs","attractive","charming"
"būvēt","būvniecība","būvniecībaterfīldas","būņos","construction","build"
"bye","sveiki","frenki","ļve","hello","bye"
"caurums","plaisa","stalsa","caunīts","crack","hole"
"ceļgals","pleca","tekca","krēgals","shoulder","knee"
"ceļš","maršruts","marsūkts","ceeb","route","path"
"čemodāns","portfelis","trautfelis","čemopiež","briefcase","suitcase"
"čempionāts","konkurence","konkurencepeškrāsns","čempioļiem","competition","championship"
"cena","vērtība","drautība","raina","value","price"
"centimetrs","jūdze","jūrīt","centinelji","mile","centimeter"
"cepure","ķivere","ķiveremontstrād","cepuremontstrād","helmet","hat"
"ceremonija","rituāls","ririāts","grauzdsierceremonija","ritual","ceremony"
"četri","divi","tervi","sigri","two","four"
"ceturksnis","pusi","versi","ceturklēkt","half","quarter"
"ceturtais","trešais","malšais","ceturkiem","third","fourth"
"ciems","nometne","nometnedraudzŗjas","cilus","camp","village"
"cieņa","lepnums","lepvējs","vaiņa","pride","dignity"
"cienīgs","pelnījuši","skaisnījuši","kaunīgs","deserve","worthy"
"ciešanas","nabadzība","pontčartreinabadzība","brukšanas","poverty","misery"
"cietums","šūna","iauna","cienaas","cell","prison"
"cigarete","tabaka","tabakaļaspūlkve","cigareteņutyrrell","tobacco","cigarette"
"cigārs","dūmi","mušmi","citiis","smoke","cigar"
"cilvēki","populācija","poputekšņucija","drauvēki","population","people"
"cilvēks","cilvēks","cilveic","cilzers","man","human"
"cīņa","cīnīties","cīnījuùi","stiņa","combat","fight"
"cīņa","karš","kaģī","stiņa","war","battle"
"cinisks","naivs","naīks","cifiksu","naive","cynical"
"cīnītājs","čempions","trūpions","cīnīšiem","champion","fighter"
"cirks","zooloģiskais dārzs","zooloģiskaisdzējät","yorks","zoo","circus"
"civilizācija","kultūra","džentūra","zesreakcivilizācija","culture","civilization"
"crazy","paranoiķis","parasakssķis","crusy","paranoid","crazy"
"cūka","govs","goan","volka","cow","pig"
"čūska","tārps","tāīrs","viika","worm","snake"
"dakšiņa","karote","karoteņutyrrell","dolliņa","spoon","fork"
"daļiņa","lieta","parta","dakrāšņa","matter","particle"
"dāma","kungs","kuļis","dājām","lord","lady"
"darbība","aktīvs","akrots","elekbība","active","activity"
"darbs","darbs","dames","danes","job","work"
"dārgakmens","dimants","divalds","dārgakstam","diamond","jewel"
"darīt","veidot","dardot","dadze","make","do"
"dāsns","līdzjūtīgs","aresjūtīgs","dāļās","compassionate","generous"
"dators","programmatūra","programmatūratiņkrēsls","dajevs","software","computer"
"dāvana","kompliments","komplistiem","dāvanabadzîgiem","compliment","gift"
"dawn","saulriets","saullerks","daüt","sunset","dawn"
"debesu","debess","delāgs","kortfīldgārdebesu","sky","heavenly"
"decembris","novembris","novemaugt","decemsarg","november","december"
"definīcija","koncepcija","konarliecija","kortfīldgārdefinīcija","concept","definition"
"deguns","muti","musam","dekāls","mouth","nose"
"degviela","gāze","kurze","stikviela","gas","fuel"
"degvīns","viskijs","visvien","degvelt","whiskey","vodka"
"deja","dejotājs","dejošiem","kortfīldgārdeja","dancer","dance"
"dēls","meita","dzīta","dētī","daughter","son"
"demokrātija","brīvība","dzesvība","kortfīldgārdemokrātija","freedom","democracy"
"demonstrācija","protests","protuāls","kortfīldgārdemonstrācija","protest","demonstration"
"depresija","stress","strezā","spļauresija","stress","depression"
"desmitgade","gadsimtā","gadlauztā","desmitgademokrätiskäs","century","decade"
"detektīvs","aģents","ovents","detekniek","agent","detective"
"dievišķīgs","dievs","diizs","dievišciņš","god","divine"
"dinamīts","šaujampulveris","šaujampulveselļba","dinašķēt","gunpowder","dynamite"
"ding","ping","teng","dibs","ping","ding"
"direktors","ražotājs","ražokiem","direkliem","producer","director"
"diskusija","saruna","sarunabadzîgiem","kurdūkusija","conversation","discussion"
"dokuments","fabrika","breirika","dokuļains","file","document"
"dolārs","mārciņa","lznīciņa","dozīgs","pound","dollar"
"domāt","apsvērt","apsveik","dokar","consider","think"
"dot","piedāvājums","piedāvācieùi","sļt","offer","give"
"draudzība","attiecības","atbraukcības","steidzība","relationship","friendship"
"draudzīgs","pieklājīgs","pieklāsist","drausties","polite","friendly"
"draugs","kolēģis","kolērauj","čaaugs","colleague","friend"
"drošība","drošība","stipšība","spiešība","security","safety"
"drosmīgs","cēls","cēļo","idenmīgs","noble","brave"
"drošs","drošs","šiošs","drlss","safe","secure"
"drudzis","klepus","klegai","tūkdzis","cough","fever"
"durvis","logs","lome","ciivis","window","door"
"dusmas","dusmas","raimas","bremas","anger","rage"
"dusmīgs","greizsirdīgs","straisirdīgs","bremīgs","jealous","angry"
"dvielis","sega","seles","smillis","blanket","towel"
"dzejolis","teksts","enksts","graujolis","text","poem"
"dzeltens","sarkans","sarrils","dzelkošs","red","yellow"
"dziedēt","atgūties","atgūdzam","dzienam","recover","heal"
"dziesma","albums","alviss","spiedma","album","song"
"dzimšanas diena","jubileja","skrambileja","dzimšavarmuena","anniversary","birthday"
"dzimumloceklis","maksts","matāts","dzinieksceklis","vagina","penis"
"dzinējs","tvertne","tvervēk","dzituss","tank","engine"
"dzīvnieks","zvērs","väērs","pirmnieks","beast","animal"
"dzīvoklis","māja","dzēja","dzīgaislis","house","apartment"
"efektīvs","noderīgs","nodestam","jauktīvs","useful","effective"
"efekts","ietekme","iedrosme","vąekts","influence","effect"
"ēka","tornis","gannis","woa","tower","building"
"eksplodēt","eksplodēt","eksskandēt","eksplosiis","burst","explode"
"elegants","moderns","moforts","elebaums","fashionable","elegant"
"elektrība","strāva","sveiva","kristrība","current","electricity"
"elektrisks","magnētisks","magnēdzies","elektrakts","magnetic","electric"
"elements","faktors","blators","penments","factor","element"
"eļļa","ogles","ogjat","ābeļa","coal","oil"
"elle","paradīze","parakrievze","laule","paradise","hell"
"emocionāls","garīgs","gajuas","emociorauj","mental","emotional"
"enerģija","jauda","dzēda","amatģija","power","energy"
"epidēmija","mēris","mētam","ugunsdēmija","plague","epidemic"
"epizode","sērija","piekrija","krekzode","series","episode"
"erekcija","orgasms","ornails","adapcija","orgasm","erection"
"ēsma","slazds","sltąds","kolma","trap","bait"
"ēst","barot","basei","egt","feed","eat"
"ezers","upe","pâe","lkers","river","lake"
"fakss","mail","svil","falts","mail","fax"
"fantastisks","brīnišķīgs","brīnišņemt","fantasdzies","wonderful","fantastic"
"fantāzija","realitāte","realitāteņutyrrell","sprostāzija","reality","fantasy"
"federācija","kolonija","kokrietnija","fevisgudrācija","colony","federation"
"festivāls","karnevāls","karneesot","festipērc","carnival","festival"
"filma","porno","grāno","stuma","porn","movie"
"finansējums","budžets","bufakts","finansēdziet","budget","funding"
"finansējums","finansiāli","finantrausli","finansēdziet","financially","financing"
"finansiāls","banka","iloka","finanstosh","banking","financial"
"fizisks","seksuāls","seksions","firiods","sexual","physical"
"flote","marine","marinedraudzŗjas","tulte","marine","navy"
"flote","jūras","jūtie","tulte","naval","fleet"
"foto","bilde","mīkde","rekto","picture","photo"
"fotogrāfs","autogramma","autogrammazinâđanâs","fotogving","autograph","photographer"
"franču valoda","angļu","anāko","līdzdaču valoda","english","french"
"frāze","vārdnīca","āķilnīca","gļoze","dictionary","phrase"
"funkcionāls","operatīvs","operajoną","funkciostat","operational","functional"
"furgons","piekabe","smalkabe","furraks","trailer","van"
"futbols","basketbols","basketning","rokbols","basketball","football"
"gabals","fragments","raupments","gasējs","fragment","piece"
"gaisma","tumsa","prusa","idioma","darkness","light"
"gaļa","cūkgaļa","pviegaļa","cekļa","pork","meat"
"galaktika","visums","vissnim","nürburgringalaktika","universe","galaxy"
"galīgs","galīgs","gariai","gariai","final","ultimate"
"galu galā","beidzot","beiders","nürburgringalu galā","finally","eventually"
"galvaskauss","kauls","gouls","galvasniels","bone","skull"
"galvenā mītne","bāze","striptīzklubāze","galvenāvēžiemtne","base","headquarters"
"garāža","seminārs","semitage","nürburgringarāža","workshop","garage"
"gars","dvēsele","kautsele","gami","soul","spirit"
"garš","īslaicīgs","īslaikiem","gaaa","short","long"
"garšīgs","garšīgs","garlūts","gartuls","tasty","delicious"
"garums","izmērs","izrājs","ganīts","size","length"
"gejot","lesbiete","lesskaite","gelus","lesbian","gay"
"ģimene","klana","grēna","ģimenedraudzŗjas","clan","family"
"ģitāra","klavieres","klavietuļš","ģitāratiņkrēsls","piano","guitar"
"glābējs","varonis","varobeūo","musbējs","hero","savior"
"gleznotājs","mākslinieks","mākslidziet","gleznoslīk","artist","painter"
"globāls","valsts","valsen","glokiis","national","global"
"godīgs","pienācīgs","pienāļiem","godzil","decent","honest"
"godīgums","lojalitāte","lojalitāteņutyrrell","godītiem","loyalty","honesty"
"gods","privilēģija","līdzdavilēģija","gobe","privilege","honor"
"gorilla","mērkaķis","veikkaķis","gosmaila","monkey","gorilla"
"grāfiene","barons","bagāks","grāfienedraudzŗjas","baron","countess"
"grafiks","kalendārs","kalentage","gralūts","calendar","schedule"
"grāmata","bible","duble","dziemata","bible","book"
"grams","kilograma","kilogramazinâđanâs","grizs","kilo","gram"
"grieķu valoda","romiešu","rosaukšu","feirve valoda","roman","greek"
"griezt","plīsums","hamsums","griebj","tear","cut"
"grupa","banda","dzeda","bīspa","gang","group"
"grūtniecība","dzimšana","graušana","klienniecība","birth","pregnancy"
"gudrs","salds","sanns","guids","sweet","cute"
"gudrs","gudrs","gumas","guids","smart","intelligent"
"guļamistaba","istaba","istabaterfīldas","guļamistabaterfīldas","room","bedroom"
"gulēt","atpūsties","atpūsstam","guber","rest","sleep"
"gulta","dīvāns","dīlābj","takta","sofa","bed"
"gūt panākumus","pārvaldīt","pārvalgiem","gūt panāktieùām","manage","succeed"
"halucinācija","ilūzija","ēģipzija","kaljdziishalucinācija","illusion","hallucination"
"hamburgers","sviestmaize","sviesbreeze","rupburgers","sandwich","hamburger"
"harmonija","līdzsvars","līdzsmīgs","smiekmonija","balance","harmony"
"helikopters","ātrā palīdzība","ātrā palīdzvessods","helikopdziet","ambulance","helicopter"
"heroīns","kokaīns","kovalds","hekeins","cocaine","heroin"
"hivs","palīglīdzekļi","palīglīnijdanļi","hilt","aids","hiv"
"idiots","muļķis","berķis","idžets","fool","idiot"
"iedvesma","iedvesmot","ieizōemot","ieapņema","inspire","inspiration"
"ieeja","izeja","izgre","ieķos","exit","entrance"
"ieguldīt","finanses","fišlipses","iegulgiem","finance","invest"
"iekšā","ārā","ržā","glāšā","outside","inside"
"iela","avēnija","trannija","iemes","avenue","street"
"ieleja","tuksnesis","tukfransis","iebrauja","desert","valley"
"ienākumi","peļņa","lašņa","ienākumilitârais","profit","income"
"iepakojums","aploksne","aplokdoms","iepakodolra","envelope","package"
"ierakstīšana","ierakstīt","ieraklers","ierakstīšanabadzîgiem","record","recording"
"ierēdnis","oficiāli","šausciāli","iespainis","officially","official"
"ierīce","chip","chnd","ierīcepeškrāsns","chip","device"
"ierocis","pistole","deaktole","ierojuùi","pistol","weapon"
"iesaldēt","izkausēt","izkaunies","iepirkēt","melt","freeze"
"ieskaidrot","glaimot","glainie","iebraucrot","flatter","impress"
"ieslodzījums","sods","azds","ieslodzīdziet","penalty","imprisonment"
"ieslodzītais","ķīlnieks","kemnieks","ieslodzīslēdz","hostage","prisoner"
"iespaidīgs","sensacionāls","sensaciobrauc","iespaiņiem","sensational","spectacular"
"iespēja","iespēja","iedvesja","iedvesja","chance","possibility"
"iespēja","izvēle","izvējais","iedvesja","choice","option"
"iespējams","var būt","varnect","iespēkiem","maybe","probably"
"iespējams","varbūtība","varbūtībaterfīldas","iespēkiem","probability","likely"
"iet","ievadīt","ievagiem","rst","enter","go"
"ietaupīt","glābt","glrat","ietauvelk","rescue","save"
"ieteikt","ierosināt","ierositiens","iesaukt","propose","suggest"
"ievainojums","ieskrāpēt","iezvelpēt","ievainoziedz","scratch","bruise"
"ievērojams","ārkārtējs","ārkārrauj","ievērodziņš","exceptional","remarkable"
"iknedēļas","ikdienas","ikransnas","iknedēdziet","daily","weekly"
"īkšķis","pirksts","pivests","īkzēts","finger","thumb"
"imperators","imperiāls","impeliedz","imperadžiem","imperial","emperor"
"impērija","dinastija","tiespūlkvedinastija","imskaidrija","dynasty","empire"
"individuāls","persona","drausona","indivipeštā","person","individual"
"infekcija","vīruss","vībils","insultscija","virus","infection"
"informācija","dati","pūsti","ingenheimācija","data","information"
"informators","avots","avīns","informarihuā","source","informant"
"informēt","ziņot","zirēm","infordzes","report","inform"
"injekcija","deva","kortfīldgārdeva","insultscija","dose","injection"
"instruments","rīks","rīgä","instrujillo","tool","instrument"
"interesants","aizraujošs","aizraucaug","interejēdzu","exciting","interesting"
"intīms","personisks","persosaukt","inpars","personal","intimate"
"intuīcija","instinkts","instatįts","inarliecija","instinct","intuition"
"investors","baņķieris","svīsķieris","invesliem","banker","investor"
"īpašnieks","īpašums","īpagots","amatnieks","property","owner"
"ironisks","ironija","dvienija","tinnisks","irony","ironic"
"izaicinājums","šķērslis","šķērpams","izaicināvēžiem","obstacle","challenge"
"izdzīvot","tiešraide","slīkraide","izdzīnāks","live","survive"
"izglītība","veselība","veselībaterfīldas","izglītībaterfīldas","health","education"
"izlidošana","ierašanās","ierašavarmu","izlidošanabadzîgiem","arrival","departure"
"izlietne","tualete","speclete","izšķērne","toilet","sink"
"izloze","gleznot","biednot","izlokaus","paint","draw"
"izmantot","piemērot","piemēmais","izmandcen","apply","use"
"izmēģinājums","uzklausīšana","uzklausīšanabadzîgiem","izmēģināvēžiem","hearing","trial"
"izmeklēt","pārbaudīt","pārbaugiem","izmeksons","examine","investigate"
"izmeklētājs","analītiķis","smieklītiķis","izmeklēdziet","analyst","investigator"
"iznākums","rezultāts","rezulsmei","iznāliem","result","outcome"
"iznīcināšana","radīšana","radīšanabadzîgiem","iznīcināšanabadzîgiem","creation","destruction"
"izpilde","karājas","karākiem","izgvarde","hanging","execution"
"izpirkums","nolaupītājs","nolaupīdziet","izpirmāot","kidnapper","ransom"
"izraisīt","iemesls","iemains","izraiņiem","reason","cause"
"izsalcis","noguris","nogulēùu","izgriecis","tired","hungry"
"izstāde","galerija","nürburgringalerija","izmaalde","gallery","exhibition"
"izteikt","aprakstīt","aprakmans","izsviit","describe","express"
"iztērēt","atkritumi","atbilsttumi","iztējais","waste","spend"
"izzušana","nāve","pontčartreināve","izzušanabadzîgiem","death","disappearance"
"jā","labi","laces","li","okay","yeah"
"jaka","krekls","krāmls","bīska","shirt","jacket"
"jauks","jauks","jabas","jabas","nice","lovely"
"jaunākais","vecākais","vecājiet","jaunāciet","senior","junior"
"jaunietis","vecs","vehe","jaupraktis","old","young"
"jaunumi","kanāls","kalops","dzienumi","channel","news"
"jenots","vāvere","vāveremontstrād","jetans","squirrel","raccoon"
"joks","triks","aļiks","jorī","trick","joke"
"josla","orķestris","orķesrēùu","rilla","orchestra","band"
"juliete","romeo","rouzē","jumusste","romeo","juliet"
"jūlijs","jūnijs","jūgāks","jūdzas","june","july"
"jūrnieks","pirāts","pimers","ābonieks","pirate","sailor"
"jutīgs","delikāts","delivērš","jumuss","delicate","sensitive"
"kā parasti","parasts","pastīts","kā paragorns","ordinary","usual"
"kabatas lakatiņš","audums","auguie","kabatas lakcienļtu","cloth","handkerchief"
"kādreiz","nekad","neliņ","ģilreiz","never","ever"
"kafija","kauss","kamēs","karīgsja","cup","coffee"
"kails","kails","kafks","kafks","nude","naked"
"kaislība","entuziasms","entuničres","aģenlība","enthusiasm","passion"
"kaitējums","brūce","teice","kaitēsiet","wound","injury"
"kaķis","suns","sušu","karek","dog","cat"
"kakla saite","saistīt","saisland","kakla sakoùos","bind","tie"
"kaklarota","gredzens","gredzumâ","brieslarota","ring","necklace"
"kakls","rīkle","walle","ookls","throat","neck"
"kalns","kalns","kaops","kaujs","hill","mountain"
"kalpone","aukle","pelle","kalponedraudzŗjas","nanny","maid"
"kalpotājs","vēstnieks","gantnieks","kalponiem","ambassador","minister"
"kalps","vergs","veils","kaùos","slave","servant"
"kapela","baznīca","arodnīca","kaperīgs","church","chapel"
"kapitālisms","anarhija","viešhija","kapitāslēpj","anarchy","capitalism"
"kapsēta","kaps","kadū","džeisēta","grave","cemetery"
"kapteinis","komandieris","komanvįsturis","kapīpatnis","commander","captain"
"karalis","karaliene","karalienedraudzŗjas","karasear","queen","king"
"karaliste","karaļa","karajons","karalisteņutyrrell","royal","kingdom"
"karavīrs","karavīrs","kararakt","karadaat","soldier","warrior"
"kardināls","bīskaps","bīsvārs","kardirauj","bishop","cardinal"
"karte","kompass","komfils","likte","compass","map"
"kartelis","mafija","manītsja","dzeltelis","mafia","cartel"
"kaujas lauks","arēna","ģerna","kaujasstains","arena","battlefield"
"kaut kas","nekas","nelēm","kautņias","nothing","something"
"kaut kur","citur","cigas","kaut kac","elsewhere","somewhere"
"kāzas","saderināšanās","kingskrosaderināšanās","kādei","engagement","wedding"
"kempings","pikniks","jumniks","ķīlpings","picnic","camping"
"ķēriens","skūpsts","grūpsts","ķētisms","kiss","hug"
"ķirurģija","darboties","darboņour","ķimaņkuģija","operate","surgery"
"ķirzaka","varde","epide","glezzaka","frog","lizard"
"klājs","kabīne","kabīnedraudzŗjas","klers","cabin","deck"
"klasisks","tipisks","tirioss","klalasts","typical","classic"
"kleita","svārki","smouki","kripta","skirt","dress"
"klients","pacients","pacinjsh","klielus","patient","client"
"klīnika","slimnīca","šķīsnīca","stunnika","hospital","clinic"
"klosteris","bāreņu nams","bāreņurillo","taukteris","orphanage","convent"
"klosteris","templis","temčums","taukteris","temple","monastery"
"kļūda","kļūda","likda","šķīda","error","mistake"
"klusums","kluss","kląts","klusver","silent","silence"
"kodols","atomu","atrič","kodaat","atomic","nuclear"
"koks","krūms","krjäs","kong","bush","tree"
"kokvilna","zīda","trada","gaisvilna","silk","cotton"
"komanda","līga","līdzī","kospieda","league","team"
"komēdija","drāma","gasma","kodolradija","drama","comedy"
"komisārs","inspektors","inaviators","komideil","inspector","commissioner"
"komiteja","komisija","kodolrasija","komiteriāls","commission","committee"
"komunikācija","navigācija","pontčartreinavigācija","koscjuškomunikācija","navigation","communication"
"komunists","rasistisks","rasisdzies","komuteikt","racist","communist"
"koncentrāts","fokuss","fosīvs","koncenejošs","focus","concentrate"
"koncerts","ceļojums","ceļotiap","konbēgts","tour","concert"
"konjaks","rums","isms","konzārs","rum","cognac"
"konstitūcija","likums","lizēts","kontrolpatūcija","law","constitution"
"konsultēt","padoms","pagijs","konprintēt","advice","advise"
"kopēt","oriģināls","oriģistat","kodās","original","copy"
"kopiena","sabiedrība","sasprinrība","kojumsna","society","community"
"korporācija","sabiedrība","sasprinrība","priekšporācija","company","corporation"
"košļāt","norīt","nokra","košjūk","swallow","chew"
"kovbojs","rodeo","ročam","kovpits","rodeo","cowboy"
"krāpšana","sazvērestība","sazvērestībaterfīldas","staišana","conspiracy","fraud"
"krava","slodze","verdze","vaiva","load","cargo"
"krēsls","tabula","tagnarla","krēsto","table","chair"
"kristietis","katoļu","kariemļu","vientietis","catholic","christian"
"krīze","stāvoklis","stādītslis","sjūze","situation","crisis"
"krūtis","kuņģis","etiģis","lastis","stomach","chest"
"kuģis","apkalpe","appēcope","kulār","crew","ship"
"kūka","deserts","demalts","aļāka","dessert","cake"
"kukaiņa","zirneklis","stulneklis","kušiesņa","spider","insect"
