"lv_cue","lv_target","type","cue_type","target_type","lv_cosine"
"gāze","degviela","related","word","word",0.552238182595297
"viskijs","degvīns","related","word","word",NA
"dejotājs","deja","related","word","word",0.410752396693078
"meita","dēls","related","word","word",0.314044581495883
"brīvība","demokrātija","related","word","word",0.469528774877795
"protests","demonstrācija","related","word","word",NA
"stress","depresija","related","word","word",0.40222637726411
"gadsimtā","desmitgade","related","word","word",NA
"aģents","detektīvs","related","word","word",0.510288005866836
"dievs","dievišķīgs","related","word","word",NA
"šaujampulveris","dinamīts","related","word","word",NA
"ping","ding","related","word","word",NA
"ražotājs","direktors","related","word","word",0.540087724126167
"saruna","diskusija","related","word","word",0.395502994273738
"fabrika","dokuments","related","word","word",0.0965237752036705
"mārciņa","dolārs","related","word","word",0.465718669342898
"apsvērt","domāt","related","word","word",0.262912037160533
"piedāvājums","dot","related","word","word",0.130679294784275
"attiecības","draudzība","related","word","word",0.263315718776029
"pieklājīgs","draudzīgs","related","word","word",0.48160623549304
"kolēģis","draugs","related","word","word",0.335868093505107
"drošība","drošība","related","word","word",1
"cēls","drosmīgs","related","word","word",0.437547094329137
"drošs","drošs","related","word","word",1
"klepus","drudzis","related","word","word",0.291716308895044
"logs","durvis","related","word","word",0.464963577885553
"dusmas","dusmas","related","word","word",1
"greizsirdīgs","dusmīgs","related","word","word",0.672000499818737
"sega","dvielis","related","word","word",NA
"teksts","dzejolis","related","word","word",NA
"sarkans","dzeltens","related","word","word",0.654557784869898
"atgūties","dziedēt","related","word","word",NA
"albums","dziesma","related","word","word",0.297476700961163
"jubileja","dzimšanas diena","related","word","word",NA
"maksts","dzimumloceklis","related","word","word",NA
"tvertne","dzinējs","related","word","word",0.335010507667988
"zvērs","dzīvnieks","related","word","word",0.344191997393467
"māja","dzīvoklis","related","word","word",0.223090297192433
"noderīgs","efektīvs","related","word","word",0.501085411626704
"ietekme","efekts","related","word","word",0.319953325240661
"tornis","ēka","related","word","word",0.273523332765261
"eksplodēt","eksplodēt","related","word","word",NA
"moderns","elegants","related","word","word",NA
"strāva","elektrība","related","word","word",0.40452756217546
"magnētisks","elektrisks","related","word","word",NA
"faktors","elements","related","word","word",0.561754163620619
"ogles","eļļa","related","word","word",0.362393069789752
"paradīze","elle","related","word","word",0.481100322498638
"garīgs","emocionāls","related","word","word",0.52838327914449
"jauda","enerģija","related","word","word",0.366551496596158
"mēris","epidēmija","related","word","word",NA
"sērija","epizode","related","word","word",NA
"orgasms","erekcija","related","word","word",0.385417895926233
"slazds","ēsma","related","word","word",0.420117538976789
"barot","ēst","related","word","word",0.395229052062909
"upe","ezers","related","word","word",0.473540233397489
"mail","fakss","related","word","word",NA
"brīnišķīgs","fantastisks","related","word","word",0.576805310156991
"realitāte","fantāzija","related","word","word",0.49352991807545
"kolonija","federācija","related","word","word",NA
"karnevāls","festivāls","related","word","word",NA
"porno","filma","related","word","word",0.313343021772786
"budžets","finansējums","related","word","word",NA
"finansiāli","finansējums","related","word","word",NA
"banka","finansiāls","related","word","word",NA
"seksuāls","fizisks","related","word","word",NA
"marine","flote","related","word","word",NA
"jūras","flote","related","word","word",0.232044956332551
"bilde","foto","related","word","word",0.364907003033874
"autogramma","fotogrāfs","related","word","word",NA
"angļu","franču valoda","related","word","word",NA
"vārdnīca","frāze","related","word","word",NA
"operatīvs","funkcionāls","related","word","word",NA
"piekabe","furgons","related","word","word",NA
"basketbols","futbols","related","word","word",NA
"fragments","gabals","related","word","word",0.421458431815885
"tumsa","gaisma","related","word","word",0.482852362423765
"cūkgaļa","gaļa","related","word","word",NA
"visums","galaktika","related","word","word",0.342435732057551
"galīgs","galīgs","related","word","word",1
"beidzot","galu galā","related","word","word",NA
"kauls","galvaskauss","related","word","word",NA
"bāze","galvenā mītne","related","word","word",NA
"seminārs","garāža","related","word","word",NA
"dvēsele","gars","related","word","word",0.357318533794676
"īslaicīgs","garš","related","word","word",NA
"garšīgs","garšīgs","related","word","word",1
"izmērs","garums","related","word","word",0.390884784829308
"lesbiete","gejot","related","word","word",NA
"klana","ģimene","related","word","word",0.200855066044035
"klavieres","ģitāra","related","word","word",0.486979035002929
"varonis","glābējs","related","word","word",0.448681711731494
"mākslinieks","gleznotājs","related","word","word",NA
"valsts","globāls","related","word","word",NA
"pienācīgs","godīgs","related","word","word",NA
"lojalitāte","godīgums","related","word","word",NA
"privilēģija","gods","related","word","word",0.425983148593008
"mērkaķis","gorilla","related","word","word",NA
"barons","grāfiene","related","word","word",0.406141238136551
"kalendārs","grafiks","related","word","word",NA
"bible","grāmata","related","word","word",NA
"kilograma","grams","related","word","word",NA
"romiešu","grieķu valoda","related","word","word",NA
"plīsums","griezt","related","word","word",0.2043911485831
"banda","grupa","related","word","word",0.343575665983488
"dzimšana","grūtniecība","related","word","word",NA
"salds","gudrs","related","word","word",0.329383866905243
"gudrs","gudrs","related","word","word",1
"istaba","guļamistaba","related","word","word",0.834702335366991
"atpūsties","gulēt","related","word","word",0.442743676718782
"dīvāns","gulta","related","word","word",0.357350004083571
"pārvaldīt","gūt panākumus","related","word","word",NA
"ilūzija","halucinācija","related","word","word",0.482752925415048
"sviestmaize","hamburgers","related","word","word",NA
"līdzsvars","harmonija","related","word","word",NA
"ātrā palīdzība","helikopters","related","word","word",NA
"kokaīns","heroīns","related","word","word",NA
"palīglīdzekļi","hivs","related","word","word",NA
"muļķis","idiots","related","word","word",0.462159485423185
"iedvesmot","iedvesma","related","word","word",NA
"izeja","ieeja","related","word","word",0.644840426569944
"finanses","ieguldīt","related","word","word",NA
"ārā","iekšā","related","word","word",0.353961372473069
"avēnija","iela","related","word","word",0.345952647463152
"tuksnesis","ieleja","related","word","word",0.360919563859996
"peļņa","ienākumi","related","word","word",0.298006834315088
"aploksne","iepakojums","related","word","word",NA
"ierakstīt","ierakstīšana","related","word","word",NA
"oficiāli","ierēdnis","related","word","word",NA
"chip","ierīce","related","word","word",NA
"pistole","ierocis","related","word","word",0.30919013368039
"izkausēt","iesaldēt","related","word","word",NA
"glaimot","ieskaidrot","related","word","word",NA
"sods","ieslodzījums","related","word","word",0.488729373451367
"ķīlnieks","ieslodzītais","related","word","word",0.374521534860059
"sensacionāls","iespaidīgs","related","word","word",NA
"iespēja","iespēja","related","word","word",1
"izvēle","iespēja","related","word","word",0.201816828144217
"var būt","iespējams","related","word","word",NA
"varbūtība","iespējams","related","word","word",0.191949941587193
"ievadīt","iet","related","word","word",0.327522022584018
"glābt","ietaupīt","related","word","word",0.332789855825129
"ierosināt","ieteikt","related","word","word",0.46118171260799
"ieskrāpēt","ievainojums","related","word","word",NA
"ārkārtējs","ievērojams","related","word","word",NA
"ikdienas","iknedēļas","related","word","word",NA
"pirksts","īkšķis","related","word","word",0.40227303218058
"imperiāls","imperators","related","word","word",NA
"dinastija","impērija","related","word","word",0.545671802632216
"persona","individuāls","related","word","word",NA
"vīruss","infekcija","related","word","word",0.251870357509148
"dati","informācija","related","word","word",0.274480791709385
"avots","informators","related","word","word",0.399332846957351
"ziņot","informēt","related","word","word",0.505481704403836
"deva","injekcija","related","word","word",NA
"rīks","instruments","related","word","word",0.379261830773659
"aizraujošs","interesants","related","word","word",0.473896525453793
"personisks","intīms","related","word","word",NA
"instinkts","intuīcija","related","word","word",0.452052042454681
"baņķieris","investors","related","word","word",NA
"īpašums","īpašnieks","related","word","word",0.517320002209041
"ironija","ironisks","related","word","word",NA
"šķērslis","izaicinājums","related","word","word",0.412094427292431
"tiešraide","izdzīvot","related","word","word",0.139316084664859
"veselība","izglītība","related","word","word",0.672589699914348
"ierašanās","izlidošana","related","word","word",NA
"tualete","izlietne","related","word","word",0.282377206289784
"gleznot","izloze","related","word","word",NA
"piemērot","izmantot","related","word","word",NA
"uzklausīšana","izmēģinājums","related","word","word",NA
"pārbaudīt","izmeklēt","related","word","word",0.324337003895866
"analītiķis","izmeklētājs","related","word","word",0.598101269249773
"rezultāts","iznākums","related","word","word",0.41294010747564
"radīšana","iznīcināšana","related","word","word",0.557968956101164
"karājas","izpilde","related","word","word",0.116229407488977
"nolaupītājs","izpirkums","related","word","word",NA
"iemesls","izraisīt","related","word","word",0.0821287043944916
"noguris","izsalcis","related","word","word",0.60470713632424
"galerija","izstāde","related","word","word",NA
"aprakstīt","izteikt","related","word","word",0.364219819043458
"atkritumi","iztērēt","related","word","word",0.242048966745294
"nāve","izzušana","related","word","word",NA
"labi","jā","related","word","word",0.172250028687058
"krekls","jaka","related","word","word",0.47187341892174
"jauks","jauks","related","word","word",1
"vecākais","jaunākais","related","word","word",0.789667362064612
"vecs","jaunietis","related","word","word",0.321620485704319
"kanāls","jaunumi","related","word","word",0.142495481377871
"vāvere","jenots","related","word","word",NA
"triks","joks","related","word","word",0.643044664696304
"orķestris","josla","related","word","word",0.401709630319756
"romeo","juliete","related","word","word",NA
"jūnijs","jūlijs","related","word","word",0.847552587706544
"pirāts","jūrnieks","related","word","word",0.361667802572856
"delikāts","jutīgs","related","word","word",NA
"parasts","kā parasti","related","word","word",NA
"audums","kabatas lakatiņš","related","word","word",NA
"nekad","kādreiz","related","word","word",0.240698624381774
"kauss","kafija","related","word","word",0.326621753382553
"kails","kails","related","word","word",1
"entuziasms","kaislība","related","word","word",NA
"brūce","kaitējums","related","word","word",NA
"suns","kaķis","related","word","word",0.540852994047291
"saistīt","kakla saite","related","word","word",NA
"gredzens","kaklarota","related","word","word",0.28931548282532
"rīkle","kakls","related","word","word",0.365891556733294
"kalns","kalns","related","word","word",1
"aukle","kalpone","related","word","word",0.478137899653516
"vēstnieks","kalpotājs","related","word","word",NA
"vergs","kalps","related","word","word",0.440719841909276
"baznīca","kapela","related","word","word",NA
"anarhija","kapitālisms","related","word","word",NA
"kaps","kapsēta","related","word","word",0.677134868589938
"komandieris","kapteinis","related","word","word",0.436751627700816
"karaliene","karalis","related","word","word",0.811164756544103
"karaļa","karaliste","related","word","word",NA
"karavīrs","karavīrs","related","word","word",1
"bīskaps","kardināls","related","word","word",NA
"kompass","karte","related","word","word",0.346843405160819
"mafija","kartelis","related","word","word",NA
"arēna","kaujas lauks","related","word","word",NA
"nekas","kaut kas","related","word","word",NA
"citur","kaut kur","related","word","word",NA
"saderināšanās","kāzas","related","word","word",0.29223647679137
"pikniks","kempings","related","word","word",NA
"skūpsts","ķēriens","related","word","word",0.390785664401133
"darboties","ķirurģija","related","word","word",NA
"varde","ķirzaka","related","word","word",0.410368106664357
"kabīne","klājs","related","word","word",0.327046472089943
"tipisks","klasisks","related","word","word",0.863875231231181
"svārki","kleita","related","word","word",0.489431627911549
"pacients","klients","related","word","word",0.70975477398194
"slimnīca","klīnika","related","word","word",NA
"bāreņu nams","klosteris","related","word","word",NA
"templis","klosteris","related","word","word",NA
"kļūda","kļūda","related","word","word",1
"kluss","klusums","related","word","word",0.665417715154957
"atomu","kodols","related","word","word",0.198838468537083
"krūms","koks","related","word","word",0.571516134925765
"zīda","kokvilna","related","word","word",0.377709609654696
"līga","komanda","related","word","word",NA
"drāma","komēdija","related","word","word",NA
"inspektors","komisārs","related","word","word",0.643472833986688
"komisija","komiteja","related","word","word",0.711656048537962
"navigācija","komunikācija","related","word","word",NA
"rasistisks","komunists","related","word","word",NA
"fokuss","koncentrāts","related","word","word",NA
"ceļojums","koncerts","related","word","word",0.299175539620289
"rums","konjaks","related","word","word",NA
"likums","konstitūcija","related","word","word",0.358096564263777
"padoms","konsultēt","related","word","word",NA
"oriģināls","kopēt","related","word","word",NA
"sabiedrība","kopiena","related","word","word",0.192802877288224
"sabiedrība","korporācija","related","word","word",0.502088066559847
"norīt","košļāt","related","word","word",0.250864671382192
"rodeo","kovbojs","related","word","word",NA
"sazvērestība","krāpšana","related","word","word",0.458009467688665
"slodze","krava","related","word","word",0.507251796940493
"tabula","krēsls","related","word","word",NA
"katoļu","kristietis","related","word","word",0.363586014818093
"stāvoklis","krīze","related","word","word",0.389560095199568
"kuņģis","krūtis","related","word","word",NA
"apkalpe","kuģis","related","word","word",0.345665762791336
"deserts","kūka","related","word","word",0.433531952140251
"zirneklis","kukaiņa","related","word","word",NA
"akls","kurls","related","word","word",0.522651378564413
"daudzums","kvalitāte","related","word","word",0.387875704471074
"raksts","laikraksts","related","word","word",NA
"apmierināts","laimīgs","related","word","word",0.419648356940728
"zemūdens","laiva","related","word","word",0.347230442242529
"sūkāt","laizīšana","related","word","word",NA
"laulības šķiršana","laulība","related","word","word",NA
"zādzība","laupīšana","related","word","word",0.500413682136622
"laupījums","laupītājs","related","word","word",0.638288741008182
"atļaut","ļaut","related","word","word",0.679488524509138
"pūķis","lauva","related","word","word",0.385883740070886
"mīts","leģenda","related","word","word",0.300926318250898
"seržants","leitnants","related","word","word",0.836198822295797
"seminārs","lekcija","related","word","word",NA
"uzkāpt","lēkt","related","word","word",0.562216074373672
"nāvējošs","letāls","related","word","word",NA
"dārgs","lēts","related","word","word",0.259554369366676
"konservatīvs","liberāls","related","word","word",NA
"ming","līdaka","related","word","word",NA
"biedrs","līderis","related","word","word",0.517738051539732
"nolaišanās","lidojums","related","word","word",0.274784497358451
"termināls","lidosta","related","word","word",NA
"zeme","lidot","related","word","word",0.122295750256585
"pacietība","līdzjūtība","related","word","word",0.59482052042577
"liecinieks","liecība","related","word","word",0.524110949714054
"lielisks","liels","related","word","word",0.689706073438539
"uguns","liesma","related","word","word",0.423647760965185
"līgavainis","līgava","related","word","word",0.788476025009723
"korpuss","līķis","related","word","word",0.433190321715858
"ievietot","likt","related","word","word",0.233431246445005
"liktenis","liktenis","related","word","word",1
"nelegāls","likumīgs","related","word","word",0.5195671136464
"taksometrs","limuzīns","related","word","word",0.601102766064378
"māksla","literatūra","related","word","word",0.24669357034298
"kalibrs","lode","related","word","word",0.364387135054133
"ļoti","ļoti","related","word","word",1
"apšaubīt","lūgt","related","word","word",0.360124878466629
"mācīties","mācīt","related","word","word",0.696127579125716
"mīksts","maigs","related","word","word",0.522761863335334
"kombinācija","maisījums","related","word","word",NA
"kečups","majonēze","related","word","word",NA
"kabata","maka","related","word","word",0.246831412454169
"minimums","maksimums","related","word","word",NA
"dabisks","mākslīgs","related","word","word",NA
"ēdiens","maltīte","related","word","word",0.323698760611968
"tētis","mamma","related","word","word",0.450154148028385
"kontrole","manipulēt","related","word","word",0.305556971617106
"mantojums","mantot","related","word","word",0.532832242770196
"reklāma","mārketings","related","word","word",NA
"joga","masāža","related","word","word",0.286765482491872
"robots","mašīna","related","word","word",0.141560584224896
"fizika","matemātika","related","word","word",NA
"tīrs","mazgāt","related","word","word",0.195450465813731
"mazliet","mazs","related","word","word",0.454020025834665
"trofeja","medaļa","related","word","word",0.196869650664584
"artefakts","medaljons","related","word","word",0.405656857181471
"mēģināt","mēģinājums","related","word","word",0.647523224387809
"tehnisks","mehānisks","related","word","word",NA
"zēni","meitenes","related","word","word",0.339240875502854
"gulēt","melis","related","word","word",0.163454125495119
"balts","melns","related","word","word",0.499379246836525
"krējums","mērce","related","word","word",NA
"šerifs","mērs","related","word","word",0.338909773270298
"dzelzs","metāls","related","word","word",0.42824531203712
"kilometrs","metrs","related","word","word",NA
"džungļi","mežs","related","word","word",0.566594405511528
"kluss","mierīgs","related","word","word",0.457131392745572
"mākonis","migla","related","word","word",0.406433691461167
"kamerā","mikrofons","related","word","word",0.254410094803555
"teleskops","mikroskops","related","word","word",NA
"saimniece","mīļākais","related","word","word",0.206732447175497
"ienīst","mīlestība","related","word","word",0.323638262348636
"civils","militārs","related","word","word",NA
"miljons","miljards","related","word","word",0.740435906402526
"grauds","milti","related","word","word",NA
"liels","milzīgs","related","word","word",0.515531504685061
"vēstniecība","ministrija","related","word","word",0.430440600448383
"plus","mīnuss","related","word","word",NA
"otrkārt","minūte","related","word","word",0.0964923739935546
"dzīvs","miris","related","word","word",0.394992807413521
"ciest","mirt","related","word","word",0.406218476335281
"uzdevums","misija","related","word","word",0.32609117417236
"sauss","mitrs","related","word","word",NA
"aspirīns","morfīns","related","word","word",NA
"viesnīca","motelis","related","word","word",NA
"ass","muca","related","word","word",0.171307959306142
"nervs","muskuļi","related","word","word",NA
"attīstība","mutācija","related","word","word",0.479613440760917
"bibliotēka","muzejs","related","word","word",0.526579677504269
"džezs","mūzika","related","word","word",0.321073929316765
"dziedātājs","mūziķis","related","word","word",0.557654405457588
"valsts","nācija","related","word","word",0.297244730578913
"alkohols","narkotika","related","word","word",0.426362214854439
"nauda","nauda","related","word","word",1
"zobens","nazis","related","word","word",0.464802270368727
"mēnesis","nedēļa","related","word","word",0.389015203630191
"pēkšņi","negaidīti","related","word","word",0.344470579611669
"pozitīvs","negatīvs","related","word","word",NA
"grēkozi","neglīts","related","word","word",NA
"netaisnība","negodīgs","related","word","word",NA
"neveiksmīgs","nelaime","related","word","word",0.319955265071869
"incidents","nelaimes gadījums","related","word","word",NA
"viltus","nepatiess","related","word","word",NA
"neērts","nepatīkams","related","word","word",NA
"nepieciešams","nepieciešams","related","word","word",1
"noraizējies","nervozs","related","word","word",0.409500564219897
"tikko","nesen","related","word","word",0.303916153858689
"nespēja","nespējīgs","related","word","word",NA
"šķebinošs","netīrs","related","word","word",NA
"panākumi","neveiksme","related","word","word",0.369122349167946
"bezjēdzīgs","nevērtīgs","related","word","word",NA
"ļaunums","nežēlība","related","word","word",0.41587773454014
"brutāls","nežēlīgs","related","word","word",NA
"anonīms","nezināms","related","word","word",0.357959514574036
"rīt","no rīta","related","word","word",NA
"vienība","nodaļa","related","word","word",0.319199131973906
"spiegs","nodevējs","related","word","word",0.402165184797837
"atbildība","nodoklis","related","word","word",0.30165798721447
"mērķis","nodoms","related","word","word",0.328532018358266
"inde","nogalināt","related","word","word",0.206759496953362
"nolaupīšana","nolaupīt","related","word","word",0.626706229179765
"līgums","nolīgums","related","word","word",NA
"noma","noma","related","word","word",NA
"izskaust","noņemt","related","word","word",NA
"punkts","norādīt","related","word","word",0.240068141100729
"veselīgs","normāls","related","word","word",0.521943419603303
"noslēpums","noslēpums","related","word","word",1
"poga","nospiest","related","word","word",0.352345744138873
"atnest","nosūtīt","related","word","word",0.494026172624813
"rasties","notikt","related","word","word",0.207437893124902
"parādība","notikums","related","word","word",0.190749655205513
"novērošana","novērtēšana","related","word","word",NA
"apbrīnot","novērtēt","related","word","word",0.436507500593035
"nelaimīgs","nožēlojams","related","word","word",0.425354912927991
"zaglis","noziedznieks","related","word","word",0.435796650393196
"grēks","noziegums","related","word","word",0.259421372062075
"nozīme","nozīme","related","word","word",1
"grābiens","nozveja","related","word","word",NA
"jūra","okeāns","related","word","word",0.351325963981123
"septembris","oktobris","related","word","word",0.835735088846971
"ligzda","ola","related","word","word",NA
"tunzivis","omārs","related","word","word",NA
"planēta","orbītā","related","word","word",0.37716965333417
"sakārtot","organizēt","related","word","word",NA
"līcis","osta","related","word","word",0.343750398996592
"pirmdiena","otrdiena","related","word","word",0.613392623091608
"taisnība","pa kreisi","related","word","word",NA
"kopā","pabeigt","related","word","word",0.166884593036478
"beigt","pabeigt","related","word","word",0.797936493505871
"nākotne","pagātnē","related","word","word",0.293754826225168
"pārvērsties","pagriezt pagriezt","related","word","word",NA
"grīda","paklājs","related","word","word",0.352937887613098
"pateicīgs","paldies","related","word","word",0.324067936964571
"palīdzēt","palīdzēt","related","word","word",1
