observation,duration_demographics,time_run_demographics,time_render_demographics,time_show_demographics,time_end_demographics,time_commit_demographics,timestamp_demographics,time_switch_demographics,please_tell_us_your_gender,which_year_were_you_born,please_tell_us_your_education_level,native_language,duration_consent,time_run_consent,time_render_consent,time_show_consent,time_end_consent,time_commit_consent,timestamp_consent,time_switch_consent,url_lab,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,keep,n_trials,correct
572f9,25908.2949999285,22654.6000000238,22645.621,22661.905,48570.1999999285,48570.3999999762,2022-08-11T03:03:50.679Z,48571.128,male,2001,college,Spanish,17119.7019999523,5517.69999992847,5511.391,5528.098,22647.7999999523,22654.3999999762,2022-08-11T03:03:24.763Z,22661.905,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1920,1080,1920,889,1920,937,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.93640897755611
5ad24,24630.9989999989,742714.6,742696.339,742729.801,767360.799999999,767361,2022-08-12T06:39:05.462Z,767372.644,female,1999,high school,English,738649.405,4042.59999999963,4044.587,4061.195,742710.6,742714.1,2022-08-12T06:38:40.815Z,742729.801,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1368,912,1368,713,1368,761,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.957605985037407
5bc5b,31941.2559999911,52927.099999994,52907.478,52924.144,84865.3999999911,84866,2022-08-10T07:12:03.433Z,84868.058,female,2001,college,English,48758.803,4132.29999999702,4057.701,4157.697,52916.5,52926.599999994,2022-08-10T07:11:31.492Z,52924.144,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",MacIntel,en-US,en-GB,Australia/Sydney,-600,1440,900,1440,741,1440,789,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.891521197007481
5bca7,46645.4529999993,31268.6999999993,31259.239,31275.747,77921.1999999993,77921.5,2022-08-11T02:12:07.799Z,77926.776,female,2000,high school,English,26096.1469999996,5141.89999999851,5151.281,5167.953,31264.0999999996,31268.0999999996,2022-08-11T02:11:21.145Z,31275.747,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-AU,en-US,Australia/Sydney,-600,1536,864,1536,666,1536,714,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.885286783042394
5d9f4,27368.5719998569,10355.5999999046,10345.161,10361.828,37730.3999998569,37730.7999999523,2022-08-10T07:10:55.158Z,37729.432,female,2000,high school,english,6903.18199985695,3424.79999995232,3378.217,3428.218,10331.3999998569,10355.3999998569,2022-08-10T07:10:27.784Z,10361.828,1531,20.2.4,https://psa007.psysciacc.org/en4/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1440,900,699,643,699,691,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.84788029925187
5f61a,39841,13774,13807,13831,53672,53673,2022-08-12T06:10:08.492Z,53707,female,2001,college,english,11511,2315,2331,2373,13842,13774,2022-08-12T06:09:28.594Z,13831,1531,20.2.4,https://psa007.psysciacc.org/en4/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",MacIntel,en-AU,en-AU,Australia/Melbourne,-600,1440,900,1440,772,1440,820,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,477,0.941299790356394
5fa58,39410.112999997,38175.5,38161.521,38178.187,77588.299999997,77588.799999997,2022-08-11T03:03:29.317Z,77597.555,female,2000,high school,English,34308.6320000089,3835.10000000894,3837.802,3854.468,38163.1000000089,38174.799999997,2022-08-11T03:02:49.904Z,38178.187,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Melbourne,-600,1440,900,1329,650,1329,698,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.885286783042394
60527,16033.5900000238,163244.799999952,163231.344,163248.01,179281.600000024,179282,2022-08-12T06:08:39.224Z,179280.967,female,2000,high school,English,160870.257999952,2351.70000004768,2350.376,2367.042,163237.299999952,163244.399999976,2022-08-12T06:08:23.187Z,163248.01,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",MacIntel,en-US,en-GB,Australia/Melbourne,-600,1680,1050,859,796,859,844,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.956810631229236
617c0,35721.8130000119,32274.3000000119,32250.655,32283.987,68005.8000000119,68007.3000000119,2022-08-10T08:06:09.491Z,68016.961,female,1998,college,English,28087.7799999881,4089.80000001192,4084.59,4167.92,32255.6999999881,32273.1999999881,2022-08-10T08:05:33.755Z,32283.987,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1680,1050,1680,867,1680,915,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.951371571072319
64323,31780.5989996185,83976.5,83956.048,84005.801,115786.399999619,115787.199999809,2022-08-10T08:06:55.366Z,115798.021,male,2000,college,English,79159.7969999046,4765.89999961853,4771.444,4804.803,83964.5999999046,83975.2999997139,2022-08-10T08:06:23.554Z,84005.801,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Australia/Sydney,-600,1504,1003,1504,812,1504,860,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.951371571072319
6ab19,26648.5339999985,22743,22731.2,22747.866,49396.3999999985,49396.799999997,2022-08-10T08:05:59.783Z,49395.535,female,1982,high school,english,19361.755999997,3310.10000000149,3306.88,3373.544,22735.299999997,22742.6999999955,2022-08-10T08:05:33.129Z,22747.866,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",MacIntel,en-US,en-GB,Australia/Sydney,-600,1792,1120,1792,961,1792,1009,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.948877805486284
7057e,12073.1729999999,5947.89999999991,5936.342,5952.727,18025.8999999999,18026.3999999999,2022-08-02T23:38:17.517Z,18026.223,female,1967,doctorate,,2963.65099999991,2967.70000000019,2963.555,2980.249,5943.89999999991,5947.20000000019,2022-08-02T23:38:05.438Z,5952.727,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36 Edg/103.0.1264.62",Win32,en-US,en-US,Australia/Sydney,-600,1920,1080,1292,833,1292,881,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.973815461346634
