"eu_cue","eu_target","eu_fake_target","eu_fake_cue","en_cue","en_target"
"ama","aita","teta","eka","mother","father"
"amai","bukatu","zakatu","urai","end","finish"
"amesgaizto","ametsa","zketsa","amgigaizto","nightmare","dream"
"anabasa","nahaste","nahaoke","antrasa","chaos","confusion"
"anarkia","kapitalismo","kapitalikio","anardua","anarchy","capitalism"
"anatomia","psikologia","psikolazia","anatriia","anatomy","psychology"
"anbulantzia","helikoptero","helikodgero","zabulantzia","ambulance","helicopter"
"andre","mait zaldi","maitnkaldi","annne","mistress","lover"
"anker","izugarria","izanarria","angur","terrible","horrible"
"antidoto","txerto","txatto","aneedoto","antidote","vaccine"
"antolatu","antolatu","anpalatu","anpalatu","arrange","organize"
"antzara","ahate","eiate","anriara","goose","duck"
"antzeko","desberdin","detherdin","antzato","similar","different"
"apal","linac","oenac","tzal","humble","modest"
"apezpiku","artudinal","artudibil","apezpium","bishop","cardinal"
"apikoz","greziera","grsliera","fbikoz","roman","greek"
"ar","emakumezko","emakezezko","uz","male","female"
"araketa","aurkitu","audeitu","areneta","search","find"
"arao","sorgina","sopaina","arzu","curse","witch"
"arau","protokolo","protokito","arky","rule","protocol"
"arazo","arazo","arixo","arlto","trouble","problem"
"ardo","xanpaina","xarraina","arab","wine","champagne"
"arerio","aurkari","aushari","rderio","enemy","opponent"
"argi eta garbi","ezbairik gabe","ezbairikhwabe","argifsta garbi","clearly","obviously"
"arima","izpiritu","izseritu","arpia","soul","spirit"
"armategi","armategi","armateel","armateel","arsenal","armory"
"armiarma","intsektu","intslotu","arerarma","spider","insect"
"arraia egin","ubelune","myelune","arraiatsgin","scratch","bruise"
"arrakasta","porrot","porrir","arradusta","success","failure"
"arrangura","salakuntza","salamintza","arrangaba","complaint","accusation"
"arrazista","komunista","kondnista","arrabasta","racist","communist"
"arrazoi","eragin","ertzin","arratai","reason","cause"
"arreta","eragin","ertzin","arista","attention","attract"
"arrisku","arrisku","arrilou","arribru","risk","danger"
"arriskugarri","arriskutsu","arrirputsu","arriskadarri","risky","dangerous"
"arroka","harri","esrri","arseka","rock","stone"
"arte","literatura","literastra","inte","art","literature"
"artiflact","domina","admina","artiflcpt","artifact","medallion"
"artikulu","egunkari","egundiri","ararkulu","article","newspaper"
"artista","margolari","maisolari","arrasta","artist","painter"
"asalde","bitxi","biesi","assede","witty","funny"
"asasino","hiltzaile","moltzaile","asizino","killer","murderer"
"askatasuna","demokrazia","demokrogia","dokatasuna","freedom","democracy"
"asko","han","xen","doko","here","there"
"asmo","jomuga","joakga","asru","purpose","intention"
"aspirina","morfina","mombina","asherina","aspirin","morphine"
"astelehen","astearte","asteinte","dotelehen","monday","tuesday"
"asto","ipurdi","ipurey","ngto","ass","butt"
"asto","zaldi","zatui","ngto","donkey","horse"
"astronauta","pilotu","pilogi","astrdeauta","astronaut","pilot"
"astun","biziki","bieeki","asdon","heavy","heavily"
"asuntu","kezka","keima","asunst","concern","worry"
"atari","burdin langa","burdinidanga","deari","portal","gate"
"aterpe","babestu","bankstu","aterha","refuge","shelter"
"atoi","furgoneta","furgureta","rgoi","trailer","van"
"atomiko","nuklear","nuonear","atriiko","atomic","nuclear"
"atsedena","lo","ck","atsedese","rest","sleep"
"atsegin","polit","podat","atsenon","nice","lovely"
"aturan","paranormal","paranormen","aturka","supernatural","paranormal"
"atxiki","erabilpen","erabilehn","atozki","apply","use"
"atzeratu","goiztiar","goritiar","dozeratu","late","early"
"aukera","ahalbide","inalbide","aulora","chance","possibility"
"aukera","gerta daitekeen","gertrodaitekeen","aulora","probability","likely"
"aukera","hauta","ituta","aulora","choice","option"
"aukeratu","hautatu","hautenu","erkeratu","choose","select"
"aurrealdeko","hazi","haue","barrealdeko","front","rear"
"aurrekontu","finantzak","finalazak","aurrekondi","budget","funding"
"aurrerabide","garapen","garason","aurrerabane","progress","development"
"autografo","argazkilari","argatzilari","autogrpio","autograph","photographer"
"automata","makina","mantna","automagn","robot","machine"
"autopsia","azterketa","aznarketa","automaia","autopsy","analysis"
"auzitegi","epaile","veaile","auziteel","court","judge"
"azalpen","pleatua","pliztua","azalkon","explanation","plausible"
"azaro","abendu","toendu","soaro","november","december"
"azeri","untxi","unali","everi","fox","rabbit"
"azkenburuko","pastel","pastgi","azkeefuruko","dessert","cake"
"azkenik","azkenean","azdanean","azkemak","finally","eventually"
"azpilan","maula","mazta","azsolan","conspiracy","fraud"
"azterketa","ikertzaile","azertzaile","aznarketa","analyst","investigator"
"azterketa","ikuskapen","ikuskabin","aznarketa","examination","inspection"
"aztertu","ikertu","ikerio","aznortu","examine","investigate"
"azukre","txokolate","txokitate","azukad","sugar","chocolate"
"babesgabe","indargabe","inekrgabe","banksgabe","helpless","powerless"
"babestu","babestu","bankstu","bankstu","protect","defend"
"badia","portu","poliu","bakaa","bay","harbor"
"bagina","zakil","zadal","basona","vagina","penis"
"bagoi","jokatzaile","nikatzaile","bacci","coach","player"
"bahibide","erreskate","erreizate","basubide","kidnapper","ransom"
"bahitu","preso","prlto","bahidr","hostage","prisoner"
"bahitu","bahitu","bahidr","bahidr","kidnap","abduct"
"baiezko","ezezko","umezko","balazko","positive","negative"
"baikor","errealista","errealleta","basior","optimistic","realistic"
"baimen","laga","lanc","baloen","leave","abandon"
"baimen","oniritzi","rairitzi","baloen","permission","approval"
"baimendu","utzi","evzi","baloendu","allow","let"
"bainugela","hondoratu","mendoratu","bainnkela","toilet","sink"
"bakarrik","bakarrik","baterrik","baterrik","alone","lonely"
"balbula","aireztapen","airesoapen","baozula","valve","ventilation"
"balio","salneurri","saereurri","baulo","value","price"
"baliotsu","garrantzitsu","garriztzitsu","balilusu","valuable","important"
"banana","marrubi","marrigi","banain","banana","strawberry"
"banatz","finantzario","finalazario","baritz","banking","financial"
"bandera","sinbolo","sinbiro","banduaa","flag","symbol"
"bankari","inorri","inoria","baaiari","banker","investor"
"baratxuri","tipula","tietla","heratxuri","garlic","onion"
"barkamen","gupida","gupiku","barkoren","forgiveness","mercy"
"barkatu","barkatu","baziatu","baidatu","forgive","excuse"
"barne-","kanpoko","kaoroko","baice","internal","external"
"baroi","berezko","berelao","bakii","baron","countess"
"barregarri","zentzugabe","zentakgabe","barrunarri","ridiculous","absurd"
"basati","anker","usker","basaue","brutal","cruel"
"base","bulego nagusi","bulegoomagusi","bamo","base","headquarters"
"bat","hiru","himo","net","one","three"
"bat-batean","ustekaba ere","ustekabaasre","batbakaan","suddenly","unexpectedly"
"batuketa","kopuru","zapuru","batubota","sum","amount"
"batzorde","komite","korute","batzoren","commission","committee"
"baxu","garai","gaeli","baga","low","high"
"baxuagoa","goiko","raiko","bagiagoa","lower","upper"
"bazkide","buruzagi","buruzael","zizkide","member","leader"
"begi","belarri","begirri","beel","eye","ear"
"begirune","konfiantza","kotriantza","begingne","respect","confidence"
"behaketa","ebaluazio","craluazio","behaixta","observation","evaluation"
"beharrezko","behar","bekor","beharrotko","necessary","need"
"behegain","alfonbra","alfohora","bekagain","floor","carpet"
"beherako","goragale","urragale","bebarako","diarrhea","nausea"
"beherantz","gora","urra","bekarantz","down","up"
"behi","txerri","txatri","beko","cow","pig"
"behin","azken","azton","beinn","final","ultimate"
"bekatu","delitu","ralitu","behetu","sin","crime"
"beldur","minusbi","minuzai","raldur","scary","creepy"
"benetako","benetako","betitako","betitako","TRUE","real"
"berde","laranja","laraeda","beare","green","orange"
"berezi","bakar","baner","tarezi","special","unique"
"berezko","klasiko","klrniko","berelao","typical","classic"
"bermatu","promestu","prakestu","bentatu","guarantee","promise"
"berme","segurtasun","sedartasun","beyce","security","safety"
"bero","hotzeri","honeeri","beke","hot","cold"
"bero","tenperatura","terseratura","beke","heat","temperature"
"berreskuratu","sendatu","sestatu","berresperatu","recover","heal"
"berrespen","berretsi","berretey","berresson","confirmation","confirm"
"berrikuspen","mantenimendu","mantltimendu","berrikustrn","service","maintenance"
"bertan egote","ez egote","ezolgote","bertandvgote","presence","absence"
"beste nonbait","nonbait","nonbort","bestiqnonbait","elsewhere","somewhere"
"betaurrekoak","txapel","txapgi","betazarekoak","glasses","cap"
"beti bait","etengabe","etengard","betirvait","always","constantly"
"betierekoa","betirako","benerako","beneerekoa","eternal","forever"
"betilun","tragiko","inagiko","betixin","sad","tragic"
"bi","lau","idu","om","two","four"
"biao","jokagoa egin","jokagormegin","bioz","nap","stroll"
"biblia","liburu","libumo","biblog","bible","book"
"bidaia","kontzertu","kontzetiu","biesia","tour","concert"
"bidaiari","gidari","gianri","bitxiari","passenger","driver"
"bideratu","gogoa bildu","gogossbildu","bintratu","focus","concentrate"
"bigarren mailako","funtsezko","funtseteo","bigarrentgailako","secondary","primary"
"bigun","leun","leei","binan","soft","gentle"
"bihar","goiz","ofiz","biarr","tomorrow","morning"
"bikain","handi","hauki","unkain","excellent","great"
"bikoitz","erromso","erroepo","bikodez","double","triple"
"biktima","erasotzaile","erixotzaile","bikttta","victim","attacker"
"bilakaera","mutazio","musezio","bilakaila","evolution","mutation"
"bildu","bildu","bistu","bistu","collect","gather"
"bilo","bizar","birrr","bisu","hair","beard"
"biloba","iloba","ileza","bideba","grandson","nephew"
"biltzar","bilera","bileku","biltmer","conference","meeting"
"biluzi","biluzik","bizazik","bizazi","nude","naked"
"biribil","-en inguru","edyinguru","biriazl","round","around"
"birus","infekzio","infenoio","jerus","virus","infection"
"bizi izan","biziraun","biziklun","bizifozan","live","survive"
"bizirik","hil","eal","biziurk","alive","dead"
"bizkar","itzulera","itzutira","bistar","back","return"
"bizkor","admientsu","admishtsu","bistor","smart","intelligent"
"bizkor","amaraun","liaraun","bistor","internet","web"
"bolbora","dinamatu","disimatu","bonuora","gunpowder","dynamite"
"bolondres","borondatez","borondator","bosgndres","volunteer","voluntarily"
"bordari","langile","lakaile","boazari","farmer","worker"
"botere","talentu","taaintu","ratere","potential","talent"
"botere","energia","enereda","ratere","power","energy"
"botoi","prentsa","omentsa","bozki","button","press"
"bravo","paus","hous","brooo","bravo","alpha"
"bukaera","uste","blte","bunbera","conclusion","assumption"
"bukaerako","aireportua","airezartua","bunberako","terminal","airport"
"bultzatu","tiratu","iaratu","bultzald","push","pull"
"burdin","metal","urtal","butxin","iron","metal"
"burdin lehertu","lehertu","lehedau","burdinwrehertu","burst","explode"
"burmuin","zerebal","zeregel","burmhon","brain","cerebral"
"buru-","amultsu","urultsu","soru","mental","emotional"
"buru-hiltze","gizahilketa","gielhilketa","buruhartze","suicide","murder"
"burusi","xukadera","mokadera","buruey","blanket","towel"
"d / marraz","inperio","inagrio","há/ marraz","dynasty","empire"
"d proiektu dt","bidetsio","bidegeio","d proiektutst","dvd","video"
"dantzari","dantzatu","dantzald","dantzale","dancer","dance"
"datuak","informazio","infograzio","nituak","data","information"
"debekatu","debekatu","desokatu","debehetu","forbidden","prohibit"
"dekano","irakasle","irakerle","deztno","dean","professor"
"denda","hornidura","hondidura","deena","shop","store"
"deseroso","desatsegin","desahiegin","denaroso","uncomfortable","unpleasant"
"deskribatzea","adierazi","adpirazi","dezaribatzea","describe","express"
"detonatzaile","ordutegi","oriztegi","rstonatzaile","detonator","timer"
"diamante","bitxi","biesi","diekante","diamond","jewel"
"dibortziatu","ezkontza","nekontza","dioertziatu","divorce","marriage"
"digusting","itsusi","itsuey","digudaing","digusting","ugly"
"dimisioa","iraizte","apaizte","nomisioa","resignation","dismissal"
"diploma","graduatu","gradittu","ditioma","diploma","graduate"
"disko","grabazio","zoabazio","dirdo","record","recording"
"distantzia","abiadura","abardura","didiantzia","distance","speed"
"distira","distiratsu","disteiatsu","disteia","shine","bright"
"dna","hatz-aztarna","hatzaztartx","nza","dna","fingerprint"
"doilor","antzepegi","antzoiegi","dothor","evil","cruelty"
"dorre","eraikin","eraizkn","doute","tower","building"
"dosi","injekzio","inghkzio","doro","dose","injection"
"drama","komedia","ramedia","dreka","drama","comedy"
"drato","erromantiko","erromantxao","obato","dramatic","romantic"
"ebakuntza","funtzional","nentzional","crakuntza","operational","functional"
"edalontzi","botila","patila","edalonnei","glass","bottle"
"edari","garagardo","garagasko","moari","drink","beer"
"eduki","alai","alie","edndi","contain","content"
"edukiera","trebetasun","trebetseun","edisiera","capacity","ability"
"egaluño","talde","tatxe","egalivo","league","team"
"egiaztatu","egiaztatu","egiaamatu","egiaamatu","check","verify"
"egile ezezaguneko","ezezagun","umezagun","egilisezezaguneko","anonymous","unknown"
"egin","egin","guin","rdin","make","do"
"egin-eginean","benetan","betitan","eginesonean","actually","really"
"egoera","krisi","kreli","rroera","situation","crisis"
"egon","jarraiki","jarraizk","egir","stay","remain"
"egonarri handiko","bezero","berbro","egonarripkandiko","patient","client"
"egosgogor","berekoi","berehai","egosawgor","stubborn","selfish"
"eguneroko","asteko","doteko","egunereso","daily","weekly"
"egutegi","egutegi","rmutegi","nputegi","calendar","schedule"
"ehun","mukizapi","mukizazo","igun","cloth","handkerchief"
"ekain","uztail","lotail","igain","june","july"
"ekarri","bidali","bifili","ntarri","bring","send"
"ekoizle","zuzendari","zuaindari","ekoimae","producer","director"
"ekonomikoki","finantzamendu","finantzardndu","ekongiikoki","financially","financing"
"eliza","kapera","kakura","eloma","church","chapel"
"emaitza","emaitza","emlatza","emlatza","result","outcome"
"enbaxada","ministerio","ministeroa","enbarida","embassy","ministry"
"enbaxadore","zerbitzari","zezaitzari","enbarodore","ambassador","minister"
"entseina","uniforme","unotorme","enoteina","badge","uniform"
"entzumen","froga","frhua","entzguen","hearing","trial"
"entzun","entzun","enrrun","enrrun","listen","hear"
"epaitu","ahalegin","ahalizin","veaitu","try","attempt"
"epel","hoztu","hobiu","nuel","warm","cool"
"erabat","erabat","erabez","erabez","absolutely","completely"
"eragin","ondorio","ondoano","ertzin","influence","effect"
"eraginkor","jardun","jateun","eragindir","active","activity"
"eragotzi","geldialdi","georialdi","eragukzi","prevent","stop"
"eragozpen","erronka","errouna","erageppen","obstacle","challenge"
"eraikuntza","eraiki","eraizk","eraimintza","construction","build"
"erakargarri","xarmangarri","xaagangarri","erugargarri","attractive","charming"
"erakustazoka","zentzuzko","zentzukao","erakustanhka","fair","reasonable"
"erakutsi","antzezpen","antzezenn","erakutey","show","performance"
"eraldagai","ironiko","azoniko","eraldachi","irony","ironic"
"erantzukizun","zerga","zexua","erantzifizun","responsibility","duty"
"erantzun","erantzun","eranrrun","eranrrun","answer","reply"
"eraztun","iduneko","zkuneko","erektun","ring","necklace"
"erdi","laurden","laaiden","erey","half","quarter"
"eredu","prototipoa","prototipio","ergiu","model","prototype"
"ergel","mozolo","mozoie","erill","fool","idiot"
"erle","inurri","inferi","kole","bee","ant"
"ernaketa","arrantza","arrantki","tunaketa","hunting","fishing"
"erne","alarma","alarro","erif","alert","alarm"
"erome","ergelkeria","ergeogeria","ereae","madness","stupidity"
"erosi","txantaje","txantaox","erroi","bribe","blackmail"
"erosi","saldu","sakau","erroi","buy","sell"
"eroso","atsegingarri","atsekangarri","ereno","comfortable","pleasant"
"erradio","perimetro","perimeibo","errargo","radius","perimeter"
"errakuntza","errakuntza","erraunntza","erraunntza","error","mistake"
"errauts","hauts","halos","errarks","ash","dust"
"erre","puru","pusk","eruz","smoke","cigar"
"erreal","erresuma","errelema","eronal","royal","kingdom"
"errealitate","fantasia","nintasia","errehaitate","reality","fantasy"
"errebolber","arma","ares","erhubolber","pistol","weapon"
"errefuxiatu","iheslari","uteslari","errebixiatu","refugee","fugitive"
"erregimentu","batailoi","bataillo","erreanmentu","regiment","battalion"
"erregina","errege","erreth","erresona","queen","king"
"erremate","salmenta","sagienta","erreplte","auction","sale"
"errepide","errepide","errepizt","erreende","road","highway"
"erreskatatu","aurreztu","aurrezar","erreizatatu","rescue","save"
"errifle","pistola","pistira","errieve","rifle","gun"
"erritmo","estilo","eslelo","erriaho","rhythm","style"
"errito","zeremonia","zereprnia","erdoto","ritual","ceremony"
"errub","cognac","coupac","erkgb","rum","cognac"
"errugai","eskuzabal","esgozabal","erruchi","compassionate","generous"
"esan","adierazpen","adieracken","kaan","comment","statement"
"esan","kontatu","kontuau","kaan","say","tell"
"esangura","garrantzi","garriztzi","esankera","meaning","importance"
"eskaintza","eman","puan","eskainura","offer","give"
"eskerroneko","esker","esanr","esanrroneko","grateful","thank"
"esklabo","otsein","unsein","eskllgo","slave","servant"
"eskolta","lagundu","landndu","eskoeza","escort","accompany"
"esku","hornitu","hoositu","esth","hand","arm"
"eskualde","alde","altz","eskutsde","area","zone"
"eskualdeko","lokal","lonel","eskutsdeko","regional","local"
"eskumen","aginte","agarte","eskuzan","jurisdiction","authority"
"esne","zuku","zuth","tine","milk","juice"
"esperientzia","ezagutza","ezagilza","essarientzia","experience","knowledge"
"esperimentu","saiatu","ikiatu","esperiazntu","experiment","test"
"espioitza","sabotaje","sargtaje","espingtza","espionage","sabotage"
"estadio","gudu-zelai","guduzahai","estasto","arena","battlefield"
"estadio","beisbol","omisbol","estasto","stadium","baseball"
"estalki","larru","lautu","estandi","cover","hide"
"estekatu","gorbata","gomaata","estenitu","bind","tie"
"estiratu","oinaze","wanaze","esreratu","torment","torture"
"estu","zabal","zagel","zatu","narrow","wide"
"etako","barruti","barrali","caako","county","district"
"etantze","jarauntsi","jaraunoni","caantze","heritage","inherit"
"etekina atera","diru-sarrerak","dikosarrerak","etekiniqatera","profit","income"
"eten","destorbatu","destorrotu","keen","interrupt","disturb"
"etorbide","kale","esle","etorazde","avenue","street"
"etxe","apartamentu","aplitamentu","etku","house","apartment"
"euria","elur","ngur","beria","rain","snow"
"eutsi","gorde","gouse","euoni","hold","keep"
"ezabatu","atera","doera","liabatu","eliminate","remove"
"ezagutarazte","ikuste","ikatte","ezntutarazte","revelation","vision"
"ezer ez","zerbait","zerbbot","ezerybz","nothing","something"
"ezgaitasun","nola izan","nolaaazan","ezkiitasun","inability","unable"
"ezinezko","erraz","erikz","eziniako","impossible","easy"
"ezizen","deitura","demoura","urizen","nickname","surname"
"ezjakintasun","harrokeria","harreaeria","ezenkintasun","ignorance","arrogance"
"ezkongai-aldi","eztei","jatei","ezkongelaldi","engagement","wedding"
"ezkutu","armadura","armapara","ezbetu","shield","armor"
"ezohiko","arraro","arrazp","ezeliko","unusual","strange"
"ezpain","masaila","masarra","ezazin","lip","cheek"
"ezpain","lurrin","torrin","ezazin","lipstick","perfume"
"ezpal","tramankulu","tramjukulu","eznil","chip","device"
"ezpata","aizto","aiodo","ezizta","sword","knife"
"eztarri","idun","zkun","kotarri","throat","neck"
"ezti","gurin","skrin","kiti","honey","butter"
"eztul","sukar","suenr","ezerl","cough","fever"
"faktore","osagai","ikagai","niktore","factor","element"
"faltsutu","gezurrezko","gentrrezko","faltbitu","fake","FALSE"
"fase","esakune","esakire","fart","phase","period"
"federal","estatu","katatu","videral","federal","state"
"fenomenoi","gertaera","gertorra","fefemenoi","phenomenon","event"
"fidatu","sinetsi","sineoni","jodatu","trust","believe"
"fideltasun","eraspen","erastun","fideviasun","fidelity","devotion"
"filosofia","erlijio","erlidao","filosouma","philosophy","religion"
"fin","sentibera","seadibera","zon","delicate","sensitive"
"finantzatu","inbertitu","ingurtitu","finantzald","finance","invest"
"finkatu","konponketa","konphiketa","firiatu","fix","repair"
"fisika","matematika","matemareka","utsika","physics","mathematics"
"forma","sinatu","siontu","fopoa","form","sign"
"fresko","freskatu","cheskatu","frriko","fresh","refresh"
"funtzionatu","kirurgia","kirurgam","nentzionatu","operate","surgery"
"gabonak","opor","nkor","gacanak","christmas","holiday"
"gai kimiko","biologiko","biolbliko","garpkimiko","chemical","biological"
"gaixo","gaixo","gauso","gaelo","ill","sick"
"gako","banztatu","baostatu","gane","trigger","activate"
"galdetu","galdetu","galdilu","gainetu","question","ask"
"galtzaile","garaile","garakee","gatzzaile","loser","winner"
"garaikur","domina","admina","garabour","trophy","medal"
"garaitza","porrot","porrir","garasoza","victory","defeat"
"garbitu","garbitu","gazaitu","gazaitu","clean","wash"
"garesti","merke","meige","garezzi","expensive","cheap"
"gas","erregai","errechi","ips","gas","fuel"
"gatazka","eztabaidatu","kotabaidatu","gaudzka","conflict","dispute"
"gau","iluntze","ilertze","npu","night","evening"
"gauerdi","eguerlan","egkurlan","gartrdi","midnight","noon"
"gaur","atzo","atff","izur","today","yesterday"
"gauzaez","baliorik gabe","baliorikssabe","gauzniz","useless","worthless"
"gazteria","haurtzaro","haurtzilo","gaineria","youth","childhood"
"gaztigu","mezu","hozu","gaesigu","warning","message"
"gehi","ken","iln","geur","plus","minus"
"gehiengo","botoa eman","botobbeman","gedeengo","majority","vote"
"gela","kartzela","esrtzela","gerr","cell","prison"
"gela","bizkar","bistar","gerr","cabin","deck"
"geriza","iluna","ekuna","gerifl","shadow","dark"
"geroaldi","iragana","irrmana","gelhaldi","future","past"
"geruza","azalera","azaliaa","geunza","layer","surface"
"gezurra esan","iruzurti","iruzurue","gezurredesan","lie","liar"
"gidatu","zamalkatu","zapelkatu","ginitu","drive","ride"
"giltza","morroilo","ferroilo","faltza","key","lock"
"giltzapore","itxi","itim","faltzapore","locked","closed"
"giltzurrun","gibel","bobel","faltzurrun","kidney","liver"
"gizalege","irakasle","irakerle","gizaleth","policy","politician"
"gizarte","elkarte","tokarte","gigorte","society","community"
"gizon","gizaki","gizaba","gihun","man","human"
"gizon puska","nortasun","tertasun","gizohipuska","character","personality"
"gobernadore","jategona","jatedrna","goarrnadore","governor","senator"
"gogo bizi","grina","koina","gogowaizi","enthusiasm","passion"
"gogoan hartu","pentsatu","pentsara","gogoanegartu","consider","think"
"gogor","gogor","goour","goour","tough","hard"
"golf","tenis","tekas","goip","golf","tennis"
"gona","jantzi","gentzi","zana","skirt","dress"
"gora egin","murriztu","murrizot","goraiggin","increase","reduce"
"gordetegi","motore","istore","gokietegi","tank","engine"
"gorputz","gorpu","gooru","gorpoiz","body","corpse"
"gorri","horia","meria","marri","red","yellow"
"gorrotatu","maite izan","maitopizan","gorrazatu","hate","love"
"gose","egarri","guarri","gomo","hunger","thirst"
"gozo","polit","podat","gony","sweet","cute"
"gripe","gaixotasun","gaarotasun","grave","flu","disease"
"guda","bataila","dutaila","gutu","war","battle"
"gudukatu","borroka","borrida","gumokatu","combat","fight"
"gutunazal","pakete","urkete","guernazal","envelope","package"
"gutxienezko","gehienezko","gehiendako","gutxronezko","minimum","maximum"
"gutxietsi","exageratu","peageratu","gutxlitsi","underestimate","exaggerate"
"guztizko","burutu","buruin","gulkizko","total","complete"
"haga","mailu","maetu","kiga","stick","hammer"
"halabeharrez","nahita","naguta","kilabeharrez","accidentally","intentionally"
"handi","itzel","itdal","hauki","big","huge"
"harilkatu","ekaitz","eklatz","harisgatu","wind","storm"
"harrapakiak","bahitzaile","baretzaile","harrapstiak","prey","predator"
"harremanak","adospen","adosoan","hastemanak","relationship","friendship"
"harrera-leku","jai","exi","harreraleth","reception","party"
"harritu","etsipen","hasipen","harrazu","surprise","disappointment"
"harro","ernagarri","tunagarri","haibo","proud","excited"
"haserre","sumin","sustn","haseute","anger","rage"
"hatz","erpuru","errkru","hade","finger","thumb"
"hautagai","hautespe","hannespe","haalagai","candidate","voter"
"hegalabur","abakando","abakuado","hegalarer","tuna","lobster"
"hegoalde","ipar","clar","hesualde","south","north"
"hegoaldeko","mendebaldeko","mendrealdeko","heataldeko","southern","western"
"heldu","guraso","guraas","hereu","adult","parent"
"heldu","etorri","etoria","hereu","arrive","come"
"helduera","irteera","irriera","heneuera","arrival","departure"
"herdoildu","hautseztatu","hautseauatu","herdvaldu","rusty","dusty"
"herensuge","lehoi","lepei","herensepe","dragon","lion"
"heriotza","galtze","galtor","piriotza","death","disappearance"
"heroi","saltzor","saltotr","hessi","hero","savior"
"herrialde","nazio","narao","herriaale","country","nation"
"herrikoi","ospetsu","ostutsu","herrcroi","popular","famous"
"hezur","garezur","garever","hever","bone","skull"
"higuingarri","ugerdo","ugereu","hippingarri","nasty","filthy"
"hil","aste","ente","sel","month","week"
"hilkor","hilgarri","hibearri","hiscor","deadly","fatal"
"hilkutxa","hileta","hiista","hilkuton","coffin","funeral"
"hirugarren","laugarren","laanarren","hiruntrren","third","fourth"
"hitz","epaitu","veaitu","hide","word","sentence"
"hitzez hitz","eskualde","eskutsde","hitzezlritz","literally","practically"
"hizketa","eztabaida","eztabanka","hiameta","conversation","discussion"
"hiztegi","esaldi","afaldi","hiaregi","dictionary","phrase"
"hobari","saria","peria","holori","bonus","reward"
"hodei","laino","lanpo","lidei","cloud","fog"
"hondar","harmonia","hazkonia","mendar","balance","harmony"
"hondartza","kostaldea","konealdea","hondarita","beach","coast"
"hondatu","hausketa","haorketa","hostatu","smash","break"
"hormigoi","altzairu","altzaimo","hormkuoi","concrete","steel"
"hormon","adrenalina","adrenanena","houson","hormone","adrenaline"
"hornikuntza","hornitu","hoositu","hoasikuntza","equipment","equip"
"hotel","moten","laten","hoial","hotel","motel"
"hurakan","tornado","torncko","huraion","hurricane","tornado"
"hurko","urrutiko","amrutiko","humao","near","far"
"huts","bete","ente","huch","empty","full"
"ibai","laku","laum","ngai","river","lake"
"ibilbidea","bidezidor","bidesldor","ibiloedea","route","path"
"ibilgailu","kotxe","koale","ibilgaetu","vehicle","car"
"idazkari","laguntzaile","landntzaile","idazpiri","secretary","assistant"
