"eu_target","eu_cue","type","target_type","cue_type","eu_cosine"
"hauta","aukera","related","word","word",0.301124253002657
"hautatu","aukeratu","related","word","word",0.494683840194663
"hazi","aurrealdeko","related","word","word",NA
"finantzak","aurrekontu","related","word","word",NA
"garapen","aurrerabide","related","word","word",NA
"argazkilari","autografo","related","word","word",0.425186024237561
"makina","automata","related","word","word",NA
"azterketa","autopsia","related","word","word",0.336102322548219
"epaile","auzitegi","related","word","word",0.502112111891858
"pleatua","azalpen","related","word","word",NA
"abendu","azaro","related","word","word",NA
"untxi","azeri","related","word","word",0.3308605060298
"pastel","azkenburuko","related","word","word",NA
"azkenean","azkenik","related","word","word",0.518353333839856
"maula","azpilan","related","word","word",NA
"ikertzaile","azterketa","related","word","word",0.259426070060512
"ikuskapen","azterketa","related","word","word",0.356975596479652
"ikertu","aztertu","related","word","word",0.573747424354908
"txokolate","azukre","related","word","word",0.55702619680821
"indargabe","babesgabe","related","word","word",NA
"babestu","babestu","related","word","word",1
"portu","badia","related","word","word",0.0996000585339834
"zakil","bagina","related","word","word",0.184569507297043
"jokatzaile","bagoi","related","word","word",NA
"erreskate","bahibide","related","word","word",NA
"preso","bahitu","related","word","word",0.257808203582203
"bahitu","bahitu","related","word","word",1
"ezezko","baiezko","related","word","word",0.793401893376864
"errealista","baikor","related","word","word",0.180746402148856
"laga","baimen","related","word","word",0.136723048924643
"oniritzi","baimen","related","word","word",0.184361604184724
"utzi","baimendu","related","word","word",0.190898662552723
"hondoratu","bainugela","related","word","word",0.210202390157857
"bakarrik","bakarrik","related","word","word",1
"aireztapen","balbula","related","word","word",NA
"salneurri","balio","related","word","word",NA
"garrantzitsu","baliotsu","related","word","word",0.276800506917201
"marrubi","banana","related","word","word",0.227096264953253
"finantzario","banatz","related","word","word",NA
"sinbolo","bandera","related","word","word",0.20299889358403
"inorri","bankari","related","word","word",0.2559391194748
"tipula","baratxuri","related","word","word",0.368321801708723
"gupida","barkamen","related","word","word",0.254236822791621
"barkatu","barkatu","related","word","word",1
"kanpoko","barne-","related","word","word",NA
"berezko","baroi","related","word","word",0.084151759975117
"zentzugabe","barregarri","related","word","word",0.334900020236329
"anker","basati","related","word","word",0.28841059100544
"bulego nagusi","base","related","word","word",NA
"hiru","bat","related","word","word",0.190546238577608
"ustekaba ere","bat-batean","related","word","word",NA
"kopuru","batuketa","related","word","word",NA
"komite","batzorde","related","word","word",0.410588743058216
"garai","baxu","related","word","word",0.115138334920325
"goiko","baxuagoa","related","word","word",0.16220807836511
"buruzagi","bazkide","related","word","word",0.235556950416841
"belarri","begi","related","word","word",0.265418860276874
"konfiantza","begirune","related","word","word",0.343327013978955
"ebaluazio","behaketa","related","word","word",NA
"behar","beharrezko","related","word","word",0.45322814114635
"alfonbra","behegain","related","word","word",NA
"goragale","beherako","related","word","word",0.248809755894849
"gora","beherantz","related","word","word",0.358109539353203
"txerri","behi","related","word","word",0.243065019347094
"azken","behin","related","word","word",0.133307564634963
"delitu","bekatu","related","word","word",0.227104371864742
"minusbi","beldur","related","word","word",NA
"benetako","benetako","related","word","word",1
"laranja","berde","related","word","word",0.358057759348065
"bakar","berezi","related","word","word",0.224208686666003
"klasiko","berezko","related","word","word",0.245018054094969
"promestu","bermatu","related","word","word",NA
"segurtasun","berme","related","word","word",0.265280318968606
"hotzeri","bero","related","word","word",0.139578454812661
"tenperatura","bero","related","word","word",0.167894817540286
"sendatu","berreskuratu","related","word","word",0.279371654666293
"berretsi","berrespen","related","word","word",NA
"mantenimendu","berrikuspen","related","word","word",NA
"ez egote","bertan egote","related","word","word",NA
"nonbait","beste nonbait","related","word","word",NA
"txapel","betaurrekoak","related","word","word",0.219619598939171
"etengabe","beti bait","related","word","word",NA
"betirako","betierekoa","related","word","word",0.380062575215885
"tragiko","betilun","related","word","word",NA
"lau","bi","related","word","word",0.369808770538341
"jokagoa egin","biao","related","word","word",NA
"liburu","biblia","related","word","word",0.363760021611107
"kontzertu","bidaia","related","word","word",0.166025448532913
"gidari","bidaiari","related","word","word",0.36476720068266
"gogoa bildu","bideratu","related","word","word",NA
"funtsezko","bigarren mailako","related","word","word",NA
"leun","bigun","related","word","word",0.532146730643326
"goiz","bihar","related","word","word",0.293842760547213
"handi","bikain","related","word","word",0.116371343104657
"erromso","bikoitz","related","word","word",NA
"erasotzaile","biktima","related","word","word",0.301206982003292
"mutazio","bilakaera","related","word","word",0.200437223477543
"bildu","bildu","related","word","word",1
"bizar","bilo","related","word","word",NA
"iloba","biloba","related","word","word",0.77481204753154
"bilera","biltzar","related","word","word",0.453071476852386
"biluzik","biluzi","related","word","word",0.87581073302239
"-en inguru","biribil","related","word","word",NA
"infekzio","birus","related","word","word",0.303979189329084
"biziraun","bizi izan","related","word","word",NA
"hil","bizirik","related","word","word",0.266435162387824
"itzulera","bizkar","related","word","word",0.106369465561576
"admientsu","bizkor","related","word","word",NA
"amaraun","bizkor","related","word","word",NA
"dinamatu","bolbora","related","word","word",NA
"borondatez","bolondres","related","word","word",0.261621800363893
"langile","bordari","related","word","word",NA
"talentu","botere","related","word","word",0.263956441824535
"energia","botere","related","word","word",0.207396699773135
"prentsa","botoi","related","word","word",0.0858316850458411
"paus","bravo","related","word","word",NA
"uste","bukaera","related","word","word",0.170164881268838
"aireportua","bukaerako","related","word","word",0.104254997573528
"tiratu","bultzatu","related","word","word",0.35361125846727
"metal","burdin","related","word","word",0.273009235495015
"lehertu","burdin lehertu","related","word","word",NA
"zerebal","burmuin","related","word","word",NA
"amultsu","buru-","related","word","word",NA
"gizahilketa","buru-hiltze","related","word","word",NA
"xukadera","burusi","related","word","word",NA
"inperio","d / marraz","related","word","word",NA
"bidetsio","d proiektu dt","related","word","word",NA
"dantzatu","dantzari","related","word","word",0.684238547941584
"informazio","datuak","related","word","word",0.18570088556658
"debekatu","debekatu","related","word","word",1
"irakasle","dekano","related","word","word",0.311142424356537
"hornidura","denda","related","word","word",0.242318622832233
"desatsegin","deseroso","related","word","word",0.429494866208187
"adierazi","deskribatzea","related","word","word",NA
"ordutegi","detonatzaile","related","word","word",NA
"bitxi","diamante","related","word","word",0.28357566482794
"ezkontza","dibortziatu","related","word","word",0.290702248733719
"itsusi","digusting","related","word","word",NA
"iraizte","dimisioa","related","word","word",NA
"graduatu","diploma","related","word","word",NA
"grabazio","disko","related","word","word",0.311833995421839
"abiadura","distantzia","related","word","word",0.368446587258939
"distiratsu","distira","related","word","word",0.826385471182591
"hatz-aztarna","dna","related","word","word",NA
"antzepegi","doilor","related","word","word",NA
"eraikin","dorre","related","word","word",0.264679949996228
"injekzio","dosi","related","word","word",0.338923970727935
"komedia","drama","related","word","word",0.342763262953732
"erromantiko","drato","related","word","word",NA
"funtzional","ebakuntza","related","word","word",0.339520101802348
"botila","edalontzi","related","word","word",0.402030060668357
"garagardo","edari","related","word","word",0.454291421555211
"alai","eduki","related","word","word",0.139501376468579
"trebetasun","edukiera","related","word","word",NA
"talde","egaluño","related","word","word",NA
"egiaztatu","egiaztatu","related","word","word",1
"ezezagun","egile ezezaguneko","related","word","word",NA
"egin","egin","related","word","word",1
"benetan","egin-eginean","related","word","word",NA
"krisi","egoera","related","word","word",0.316122780923605
"jarraiki","egon","related","word","word",0.152688077437522
"bezero","egonarri handiko","related","word","word",NA
"berekoi","egosgogor","related","word","word",NA
"asteko","eguneroko","related","word","word",0.169479861671422
"egutegi","egutegi","related","word","word",1
"mukizapi","ehun","related","word","word",NA
"uztail","ekain","related","word","word",NA
"bidali","ekarri","related","word","word",0.171929070725379
"zuzendari","ekoizle","related","word","word",0.396725215785913
"finantzamendu","ekonomikoki","related","word","word",NA
"kapera","eliza","related","word","word",0.239064347007478
"emaitza","emaitza","related","word","word",1
"ministerio","enbaxada","related","word","word",NA
"zerbitzari","enbaxadore","related","word","word",0.150375465632
"uniforme","entseina","related","word","word",NA
"froga","entzumen","related","word","word",0.190208800970883
"entzun","entzun","related","word","word",1
"ahalegin","epaitu","related","word","word",0.149462034310807
"hoztu","epel","related","word","word",0.273115436942675
"erabat","erabat","related","word","word",1
"ondorio","eragin","related","word","word",0.266705050114332
"jardun","eraginkor","related","word","word",0.155870375440663
"geldialdi","eragotzi","related","word","word",0.140644184966151
"erronka","eragozpen","related","word","word",0.356588208513552
"eraiki","eraikuntza","related","word","word",0.553214458110305
"xarmangarri","erakargarri","related","word","word",0.629513759573563
"zentzuzko","erakustazoka","related","word","word",NA
"antzezpen","erakutsi","related","word","word",0.113624050603621
"ironiko","eraldagai","related","word","word",NA
"zerga","erantzukizun","related","word","word",0.255277134780502
"erantzun","erantzun","related","word","word",1
"iduneko","eraztun","related","word","word",NA
"laurden","erdi","related","word","word",0.320917975820425
"prototipoa","eredu","related","word","word",0.300414256076505
"mozolo","ergel","related","word","word",0.335294126554482
"inurri","erle","related","word","word",0.265771910086786
"arrantza","ernaketa","related","word","word",NA
"alarma","erne","related","word","word",0.208865249323987
"ergelkeria","erome","related","word","word",NA
"txantaje","erosi","related","word","word",0.194351017472665
"saldu","erosi","related","word","word",0.356382588066685
"atsegingarri","eroso","related","word","word",0.222611193915279
"perimetro","erradio","related","word","word",NA
"errakuntza","errakuntza","related","word","word",NA
"hauts","errauts","related","word","word",0.557011179281238
"puru","erre","related","word","word",0.241984488781657
"erresuma","erreal","related","word","word",0.588947364272053
"fantasia","errealitate","related","word","word",0.373010179211859
"arma","errebolber","related","word","word",NA
"iheslari","errefuxiatu","related","word","word",0.299518544294174
"batailoi","erregimentu","related","word","word",0.338629982803127
"errege","erregina","related","word","word",0.743852216182944
"salmenta","erremate","related","word","word",NA
"errepide","errepide","related","word","word",1
"aurreztu","erreskatatu","related","word","word",0.236728104656318
"pistola","errifle","related","word","word",0.325782569672088
"estilo","erritmo","related","word","word",0.350645703056602
"zeremonia","errito","related","word","word",NA
"cognac","errub","related","word","word",NA
"eskuzabal","errugai","related","word","word",NA
"adierazpen","esan","related","word","word",0.239937047855279
"kontatu","esan","related","word","word",0.32113607538655
"garrantzi","esangura","related","word","word",0.221580189573577
"eman","eskaintza","related","word","word",0.172160089587098
"esker","eskerroneko","related","word","word",NA
"otsein","esklabo","related","word","word",NA
"lagundu","eskolta","related","word","word",0.150174444874706
"hornitu","esku","related","word","word",0.159695046052524
"alde","eskualde","related","word","word",0.500068822434811
"lokal","eskualdeko","related","word","word",0.130120449873155
"aginte","eskumen","related","word","word",NA
"zuku","esne","related","word","word",0.578212800072619
"ezagutza","esperientzia","related","word","word",0.211681288699766
"saiatu","esperimentu","related","word","word",0.139637443728206
"sabotaje","espioitza","related","word","word",NA
"gudu-zelai","estadio","related","word","word",NA
"beisbol","estadio","related","word","word",0.313431258827453
"larru","estalki","related","word","word",0.107213129111297
"gorbata","estekatu","related","word","word",NA
"oinaze","estiratu","related","word","word",NA
"zabal","estu","related","word","word",0.177723085052447
"barruti","etako","related","word","word",0.142597669435263
"jarauntsi","etantze","related","word","word",NA
"diru-sarrerak","etekina atera","related","word","word",NA
"destorbatu","eten","related","word","word",NA
"kale","etorbide","related","word","word",NA
"apartamentu","etxe","related","word","word",0.318166737211835
"elur","euria","related","word","word",0.292138735408366
"gorde","eutsi","related","word","word",0.161592350480211
"atera","ezabatu","related","word","word",0.206281029960871
"ikuste","ezagutarazte","related","word","word",NA
"zerbait","ezer ez","related","word","word",NA
"nola izan","ezgaitasun","related","word","word",NA
"erraz","ezinezko","related","word","word",0.204672318581017
"deitura","ezizen","related","word","word",0.30529965309897
"harrokeria","ezjakintasun","related","word","word",0.320434462447555
"eztei","ezkongai-aldi","related","word","word",NA
"armadura","ezkutu","related","word","word",0.216218237380644
"arraro","ezohiko","related","word","word",0.259454875080618
"masaila","ezpain","related","word","word",0.386788960318616
"lurrin","ezpain","related","word","word",0.322343382781434
"tramankulu","ezpal","related","word","word",NA
"aizto","ezpata","related","word","word",0.285863302196325
"idun","eztarri","related","word","word",NA
"gurin","ezti","related","word","word",0.373583442050076
"sukar","eztul","related","word","word",0.270936284481451
"osagai","faktore","related","word","word",0.277589453881102
"gezurrezko","faltsutu","related","word","word",0.306088466417537
"esakune","fase","related","word","word",NA
"estatu","federal","related","word","word",0.269010640949841
"gertaera","fenomenoi","related","word","word",NA
"sinetsi","fidatu","related","word","word",0.119002880512137
"eraspen","fideltasun","related","word","word",NA
"erlijio","filosofia","related","word","word",0.467165298413528
"sentibera","fin","related","word","word",0.22731291824603
"inbertitu","finantzatu","related","word","word",0.358294850461479
"konponketa","finkatu","related","word","word",0.126190950803758
"matematika","fisika","related","word","word",0.528267269697771
"sinatu","forma","related","word","word",0.108058776482854
"freskatu","fresko","related","word","word",0.589442433352887
"kirurgia","funtzionatu","related","word","word",0.180933115722162
"opor","gabonak","related","word","word",0.335728704523128
"biologiko","gai kimiko","related","word","word",NA
"gaixo","gaixo","related","word","word",1
"banztatu","gako","related","word","word",NA
"galdetu","galdetu","related","word","word",1
"garaile","galtzaile","related","word","word",0.451059700032591
"domina","garaikur","related","word","word",0.309560785801384
"porrot","garaitza","related","word","word",NA
"garbitu","garbitu","related","word","word",1
"merke","garesti","related","word","word",0.413607861031378
"erregai","gas","related","word","word",0.214133392588534
"eztabaidatu","gatazka","related","word","word",0.272843246727047
"iluntze","gau","related","word","word",NA
"eguerlan","gauerdi","related","word","word",NA
"atzo","gaur","related","word","word",0.245897792726721
"baliorik gabe","gauzaez","related","word","word",NA
"haurtzaro","gazteria","related","word","word",NA
"mezu","gaztigu","related","word","word",NA
"ken","gehi","related","word","word",0.163188253587883
"botoa eman","gehiengo","related","word","word",NA
"kartzela","gela","related","word","word",0.221758121146855
"bizkar","gela","related","word","word",0.077134941621927
"iluna","geriza","related","word","word",NA
"iragana","geroaldi","related","word","word",NA
"azalera","geruza","related","word","word",0.216535112938039
"iruzurti","gezurra esan","related","word","word",NA
"zamalkatu","gidatu","related","word","word",0.326512109390287
"morroilo","giltza","related","word","word",NA
"itxi","giltzapore","related","word","word",NA
"gibel","giltzurrun","related","word","word",0.282298679640738
"irakasle","gizalege","related","word","word",0.166650724363646
"elkarte","gizarte","related","word","word",0.337281804048217
"gizaki","gizon","related","word","word",0.303373574872632
"nortasun","gizon puska","related","word","word",NA
"jategona","gobernadore","related","word","word",NA
"grina","gogo bizi","related","word","word",NA
"pentsatu","gogoan hartu","related","word","word",NA
"gogor","gogor","related","word","word",1
"tenis","golf","related","word","word",0.183230944741313
"jantzi","gona","related","word","word",0.329093290775744
"murriztu","gora egin","related","word","word",NA
"motore","gordetegi","related","word","word",NA
"gorpu","gorputz","related","word","word",0.803534788575779
"horia","gorri","related","word","word",0.29859689723587
"maite izan","gorrotatu","related","word","word",NA
"egarri","gose","related","word","word",0.278096416209284
"polit","gozo","related","word","word",0.225412852254794
"gaixotasun","gripe","related","word","word",0.394383382851137
"bataila","guda","related","word","word",0.456980129640887
"borroka","gudukatu","related","word","word",NA
"pakete","gutunazal","related","word","word",0.252855228850501
"gehienezko","gutxienezko","related","word","word",NA
"exageratu","gutxietsi","related","word","word",NA
"burutu","guztizko","related","word","word",NA
"mailu","haga","related","word","word",0.196146622731418
"nahita","halabeharrez","related","word","word",0.209343582074744
"itzel","handi","related","word","word",0.321153439325079
"ekaitz","harilkatu","related","word","word",NA
"bahitzaile","harrapakiak","related","word","word",NA
"adospen","harremanak","related","word","word",NA
"jai","harrera-leku","related","word","word",NA
"etsipen","harritu","related","word","word",0.295501165665691
"ernagarri","harro","related","word","word",NA
"sumin","haserre","related","word","word",NA
"erpuru","hatz","related","word","word",NA
"hautespe","hautagai","related","word","word",NA
"abakando","hegalabur","related","word","word",NA
"ipar","hegoalde","related","word","word",NA
"mendebaldeko","hegoaldeko","related","word","word",0.714700487714145
"guraso","heldu","related","word","word",0.0822001175150782
"etorri","heldu","related","word","word",0.185666624786246
"irteera","helduera","related","word","word",NA
"hautseztatu","herdoildu","related","word","word",NA
"lehoi","herensuge","related","word","word",NA
"galtze","heriotza","related","word","word",0.0862642392294021
"saltzor","heroi","related","word","word",NA
"nazio","herrialde","related","word","word",0.32790723868062
"ospetsu","herrikoi","related","word","word",NA
"garezur","hezur","related","word","word",NA
"ugerdo","higuingarri","related","word","word",NA
"aste","hil","related","word","word",0.152715125381172
"hilgarri","hilkor","related","word","word",0.451359810305039
"hileta","hilkutxa","related","word","word",0.421156872115884
"laugarren","hirugarren","related","word","word",0.882506299477476
"epaitu","hitz","related","word","word",0.192089233248938
"eskualde","hitzez hitz","related","word","word",NA
"eztabaida","hizketa","related","word","word",0.352202569197961
"esaldi","hiztegi","related","word","word",0.255795972447778
"saria","hobari","related","word","word",NA
"laino","hodei","related","word","word",0.468639794232658
"harmonia","hondar","related","word","word",0.210475300738045
"kostaldea","hondartza","related","word","word",0.205843814049839
"hausketa","hondatu","related","word","word",NA
"altzairu","hormigoi","related","word","word",0.384315962395783
"adrenalina","hormon","related","word","word",0.281490556279688
"hornitu","hornikuntza","related","word","word",0.44298651086487
"moten","hotel","related","word","word",NA
"tornado","hurakan","related","word","word",NA
"urrutiko","hurko","related","word","word",0.0690073522759762
"bete","huts","related","word","word",0.169111183465454
"laku","ibai","related","word","word",0.450059647693795
"bidezidor","ibilbidea","related","word","word",NA
"kotxe","ibilgailu","related","word","word",0.324731781687016
"laguntzaile","idazkari","related","word","word",0.327838191886755
"antzezle","idazle","related","word","word",NA
"buelgo","idazmahai","related","word","word",NA
"ezin hobe","ideal","related","word","word",NA
"teoria","ideia","related","word","word",0.278387703891273
"musker","igel","related","word","word",0.25293416167662
"an","igerileku","related","word","word",0.150836320662486
"salto egin","igoera","related","word","word",NA
"jaialdi","ihauteri","related","word","word",NA
"irakatsi","ikasi","related","word","word",0.326678316883715
"irakasle","ikasle","related","word","word",0.638176161739813
"koipeztatu","ikatz","related","word","word",NA
"ikasketa","ikerkuntza","related","word","word",NA
"topatu","ikusi","related","word","word",0.332181951814959
"komislario","ikuskari","related","word","word",NA
"ikuskera","ikusmen","related","word","word",NA
"eguzki","ilargi","related","word","word",0.468372980347279
"hortz","iltze","related","word","word",0.330485584437958
"argi-urratze","ilunsenti","related","word","word",NA
"arin","iluntasun","related","word","word",0.176250173554798
"atake","inbasio","related","word","word",0.165520048150246
"ahul","indartsu","related","word","word",0.332348753781302
"ezkondu","indibidual","related","word","word",NA
"negozioak","industria","related","word","word",0.23069417848556
"frantsesa","ingeles","related","word","word",0.38539235780433
"atmosfera","ingurugiro","related","word","word",NA
"arkitekto","injineru","related","word","word",NA
"enperadore","inperioko","related","word","word",0.524027928896671
"garaipen","irabazia","related","word","word",0.321980791339426
"urria","irail","related","word","word",NA
"laidotu","irain","related","word","word",NA
"idatzi","irakurri","related","word","word",0.405597576254748
"idazketa","irakurtze","related","word","word",NA
"eutsi","iraupen","related","word","word",0.147172868050438
"hurbileko","ireki","related","word","word",0.117263362571728
"itxiera","irekitze","related","word","word",NA
"jarrera","iritzia","related","word","word",0.224554377028403
"ahalki biziki","irmotly","related","word","word",NA
"telebista","irrati","related","word","word",0.365915519955358
"axolagabe","irrazional","related","word","word",0.153542559891572
"desira","irrikatu","related","word","word",NA
"barre","irriño","related","word","word",NA
"sarbide","irteera","related","word","word",0.416068179948925
"murtxikatu","irtenda","related","word","word",NA
"argazki","irudi","related","word","word",0.225023148243967
"sorgartasun","irudimen","related","word","word",NA
"haluzinazio","irudipen","related","word","word",0.308321614284369
"isiltasun","isil","related","word","word",0.504545807150257
"misterio","isileko","related","word","word",0.136845869730878
"ispilu","islada","related","word","word",0.522569302467592
"igeri egin","ito","related","word","word",NA
"ozeano","itsasoa","related","word","word",0.361005763919034
"flota","itsasuntzi-","related","word","word",NA
"gor","itsu","related","word","word",0.195233822746325
"hobekien","iturri","related","word","word",0.124805607889087
"itxaron","itxaron","related","word","word",1
"konfiantza","itxaropen","related","word","word",0.225036391663613
"prestu","itxuroso","related","word","word",NA
"eskuarki","izaeraz","related","word","word",NA
"izenburua","izen","related","word","word",0.609075288616553
"telefono","izena izan","related","word","word",NA
"kaleska","izkina","related","word","word",NA
"beldur","izu","related","word","word",0.247315878548644
"izutu","izualdi","related","word","word",0.397181198136842
"epidemikoa","izurri","related","word","word",NA
"jabea","jabetasun","related","word","word",NA
"lasai","jadanik","related","word","word",0.145829904877868
"desberdin","jainko","related","word","word",0.116629915618774
"haurdunaldi","jaiotza","related","word","word",0.202545588503042
"bazkari","janari","related","word","word",0.380289934737834
"jan","jangai","related","word","word",NA
"segika ibili","jarraiki","related","word","word",NA
"otso","jasan","related","word","word",0.0947706667007371
"kopia","jatorrizko","related","word","word",0.0685058049905311
"gaztelu","jauregi","related","word","word",0.327874632671153
"frankotiratzaile","jaurtitzaile","related","word","word",NA
"gertatu","jazo","related","word","word",0.485356896879902
"ezbehar","jazoera","related","word","word",NA
"musika","jeazz","related","word","word",NA
"kamioi","jeep","related","word","word",0.376705324753654
"zientzilari","jeinu","related","word","word",NA
"sumindu","jeloskor","related","word","word",0.253356698130411
"entzuleria","jendetza","related","word","word",NA
"koronel","jeneral","related","word","word",0.410115462020693
"jo","jo","related","word","word",1
"jarraitu","jokatu","related","word","word",0.165285258880719
"joko","jokatu","related","word","word",0.460882427722614
"polit","joko","related","word","word",0.104274017939417
"oihan","jungla","related","word","word",NA
"arrautza","kabi","related","word","word",0.203347525123703
"armairu","kabinete","related","word","word",0.339941730627344
"burdin hari","kablegrama","related","word","word",NA
"bala","kaliba","related","word","word",NA
"mikrofonoa","kamera","related","word","word",0.367661054253185
"hrinta","kanela","related","word","word",NA
"hautaketa","kanpaina","related","word","word",0.339035873827001
"herriska","kanpatu","related","word","word",NA
"ei buruz","kanpo","related","word","word",NA
"kalitate","kantitate","related","word","word",0.71713752774428
"presidente","kantzelari","related","word","word",NA
"zopa","kapsula","related","word","word",0.221248888296222
"hidrogeni","karbono","related","word","word",NA
"agiri","karraska","related","word","word",NA
"entzute","karrera","related","word","word",NA
"kapelu","kasket","related","word","word",NA
"soka","katea","related","word","word",0.237871312286884
"plater","katilu","related","word","word",0.398250884948058
"kristau","katoliko","related","word","word",0.301010935499937
"kazetari","kazetari","related","word","word",1
"politika","kazetaritza","related","word","word",0.361238295750701
"jokatu","keinu","related","word","word",0.0413061409837216
"erabaki","kemen","related","word","word",0.156209752839684
"maonionesa","ketchup","related","word","word",NA
"urduri","kezkatsu","related","word","word",NA
"lagun","kide","related","word","word",0.318875746739709
"kafe","kikara","related","word","word",0.319334401878622
"gramo","kilo","related","word","word",0.499380208140793
"kontagailu","kilometro","related","word","word",NA
"biologia","kimika","related","word","word",0.362251988924554
"doktore","kirurgilari","related","word","word",NA
"familia","klan","related","word","word",0.21034392481534
"diru","kobratu","related","word","word",0.279232386387797
"kontrazeinu","kodea","related","word","word",NA
"bidebanatze","koilara","related","word","word",NA
"heroína","kokaina","related","word","word",NA
"kokaleku","kokapen","related","word","word",0.571278859531345
"transferitu","kokatu","related","word","word",0.239577685995667
