"no_target","no_cue","no_fake_cue","no_fake_target","en_cue","en_target"
"cognac","rom","imm","cogpod","rum","cognac"
"countess","baron","balie","counvevd","baron","countess"
"cowboy","rodeo","rotop","skåboy","rodeo","cowboy"
"dal","ørken","ørlil","åhl","desert","valley"
"dame","lord","loer","sume","lord","lady"
"danse","danser","lysser","holse","dancer","dance"
"dårlig","flink","shink","ronlig","good","bad"
"datamaskin","programvare","programbens","datamatalt","software","computer"
"definisjon","konsept","konperm","definifesta","concept","definition"
"dekk","hytte","odete","deau","cabin","deck"
"demokrati","frihet","denhet","demoningsti","freedom","democracy"
"demonstrasjon","protest","promens","demongolsksjon","protest","demonstration"
"departement","ambassade","amgrønnsade","departeplass","embassy","ministry"
"depresjon","understreke","undervannske","depremier","stress","depression"
"der","her","eur","eur","here","there"
"desember","november","noskubber","degrasber","november","december"
"detektiv","middel","veidel","detekment","agent","detective"
"dikt","tekst","teurt","diig","text","poem"
"ding","ping","piei","dity","ping","ding"
"direkte","direkte","diskitte","ditvilte","direct","directly"
"diskusjon","samtale","foretale","diskunaga","conversation","discussion"
"distrikt","fylke","yorke","disternt","county","district"
"djevel","engel","ennas","honvel","angel","devil"
"dø","lide","øyde","νe","suffer","die"
"død","i live","tofive","yld","alive","dead"
"doktor","kirurg","kigart","mamtor","surgeon","doctor"
"dokument","fil","ryl","dokubikk","file","document"
"dollar","pund","dend","kinlar","pound","dollar"
"dømme","domstol","leistol","kofme","court","judge"
"donasjon","veldedighet","veldestrukhet","donalist","charity","donation"
"dør","vindu","høydu","oor","window","door"
"døv","blind","isind","kov","blind","deaf"
"dra","trykk","roykk","ema","push","pull"
"drepe","gift","giig","raipe","poison","kill"
"drøm","mareritt","marepper","drpf","nightmare","dream"
"dum","naiv","naab","amm","naïve","stupid"
"dumhet","galskap","somskap","dumble","madness","stupidity"
"dynamitt","krutt","boutt","dynadrar","gunpowder","dynamite"
"dyr","beist","bedtt","òor","beast","animal"
"ed","sverge","skytge","ks","swear","oath"
"effekt","innflytelse","inntektstelse","efveis","influence","effect"
"effektiv","nyttig","rovtig","efstrativ","useful","effective"
"egentlig","faktisk","klotisk","venstlig","actually","really"
"egg","rede","avde","ryg","nest","egg"
"eieren","eiendom","eienrett","eielita","property","owner"
"eksplodere","briste","trygte","eksskreddere","burst","explode"
"eksplosiv","bombe","spabe","eksplokant","bomb","explosive"
"eksplosjon","jordskjelv","jordskjært","eksploling","earthquake","explosion"
"ekte","ekte","jute","jute","TRUE","real"
"ekteskap","skilsmisse","strekmisse","ektetets","divorce","marriage"
"elegant","fasjonable","fasjogjengle","elejing","fashionable","elegant"
"elektrisitet","nåværende","nåvæstoffde","mannstrisitet","current","electricity"
"elektrisk","magnetisk","magnerens","elektging","magnetic","electric"
"element","faktor","pintor","forment","factor","element"
"elendighet","fattigdom","fatbarndom","gudedighet","poverty","misery"
"emne","gjenstand","gjenbrudd","bune","object","subject"
"emosjonell","mental","menpes","emosjolagt","mental","emotional"
"energi","makt","maco","scorgi","power","energy"
"enhet","chip","siip","endom","chip","device"
"enkel","ganske enkelt","feiike enkelt","endom","simply","simple"
"enorm","stor","strs","giorm","big","huge"
"ensom","alene","vorne","enmes","alone","lonely"
"entreprenør","millionær","milliobånd","entreprestill","millionaire","entrepreneur"
"epidemi","pest","peen","barndemi","plague","epidemic"
"episode","serie","sejen","æressode","series","episode"
"ereksjon","orgasme","orkjemme","brumsjon","orgasm","erection"
"erstatning","erstatte","erbrente","ermerkning","replace","substitute"
"et sted","andre steder","andre stegne","etcôted","elsewhere","somewhere"
"etter hvert","endelig","enderens","ettercovery","finally","eventually"
"etterforsker","analytiker","strømlytiker","etterstyrker","analyst","investigator"
"etternavn","kallenavn","viljenavn","etterrick","nickname","surname"
"evaluering","observasjon","observanilje","evaluehjelm","observation","evaluation"
"evnen","kapasitet","kapasikalsk","evlig","capacity","ability"
"faks","post","poin","fano","mail","fax"
"falsk","forfalskning","forskrekning","fabok","fake","FALSE"
"familie","klan","klei","famirert","clan","family"
"fange","gissel","lavsel","torge","hostage","prisoner"
"fantasi","virkelighet","helsekelighet","livstasi","reality","fantasy"
"fantastisk","herlig","mislig","fantasmans","wonderful","fantastic"
"fantastisk","imponerende","imponebuchadde","fantasmans","impressive","amazing"
"far","mor","oir","zir","mother","father"
"fare","fare","kure","dore","risk","danger"
"farlig","risikabelt","risikathies","menlig","risky","dangerous"
"fatal","dødelig","døderens","faere","deadly","fatal"
"feber","hoste","zette","fesjo","cough","fever"
"feil","feil","feus","fepp","error","mistake"
"feil","suksess","sukskog","fepp","success","failure"
"fengsel","celle","sutle","badesel","cell","prison"
"fengsling","straff","strask","merkeling","penalty","imprisonment"
"ferie","jul","aal","fejen","christmas","holiday"
"festival","karneval","karnelege","salttival","carnival","festival"
"fetter","slektning","plattning","umoter","relative","cousin"
"film","porno","basno","fith","porn","movie"
"finansiell","banking","pilking","fikrisesiell","banking","financial"
"finansiering","budsjett","budstalt","finansiefullt","budget","funding"
"finansiering","økonomisk","økonoborg","finansiefullt","financially","financing"
"fingeravtrykk","dna","nca","fingeravnings","dna","fingerprint"
"finne","søk","awk","melne","search","find"
"fire","to","ks","utre","two","four"
"fisk","hai","poi","fiky","shark","fish"
"fiske","jakt","rekt","fixie","hunting","fishing"
"fjell","høyde","pande","ziell","hill","mountain"
"fjerde","tredje","frysje","horede","third","fourth"
"fjerdedel","halv","bolv","hjørnedel","half","quarter"
"fjernsyn","radio","ranan","skjersyn","radio","television"
"flamme","brann","brtan","taleme","fire","flame"
"flaske","glass","stass","thaike","glass","bottle"
"flate","lag","aug","trute","layer","surface"
"flåte","marine-","makjenne","onate","naval","fleet"
"flott","utmerket","utstilket","riott","excellent","great"
"flukt","flykte","sjakte","flavt","flee","escape"
"fly","land","labo","oky","land","fly"
"flygning","landing","romding","coyoning","landing","flight"
"flyplassen","terminal","termisons","flyvertsen","terminal","airport"
"føderasjon","koloni","kolosert","føderaments","colony","federation"
"fødselsdag","jubileum","brannbileum","fødfriddag","anniversary","birthday"
"følelse","inntrykk","innfalls","føringse","impression","feeling"
"følsom","delikat","delibysk","jersom","delicate","sensitive"
"for evig","evig","smig","forevalg","eternal","forever"
"forbedring","endring","hauring","forbeddoes","change","improvement"
"forberede","klar","klit","vitneberede","ready","prepare"
"forbi","framtid","framgan","diobi","future","past"
"forbindelse","ta kontakt med","ta kontakhanne","forskjeldelse","contact","connection"
"forbli","oppholde seg","oppholdebeca","forurt","stay","remain"
"forbrytelse","synd","syks","forfolketelse","sin","crime"
"forbryter","tyv","kov","forpunkter","thief","criminal"
"forby","forbudt","forslåt","resby","forbidden","prohibit"
"foredrag","seminar","semilits","foretrek","seminar","lecture"
"foreldre","voksen","tapsen","forgistre","adult","parent"
"foreslås","foreslå","foregur","forestar","propose","suggest"
"forfatter","dikter","popter","foreninter","poet","writer"
"forfriske","fersk","carsk","forsettke","fresh","refresh"
"forlate","permisjon","stakisjon","stallate","leave","abandon"
"fornærme","fornærmelse","forskjelmelse","forskamme","insult","offend"
"forræder","spion","spyrn","forræning","spy","traitor"
"forsker","geni","kani","goldker","genius","scientist"
"forsøk","prøve","uanve","fordon","try","attempt"
"forstå","innse","frise","forels","realize","understand"
"forstyrre","avbryte","avstemte","forlustre","interrupt","disturb"
"forsvare","beskytte","behjerte","forgistre","protect","defend"
"forsvinning","død","uad","forveltning","death","disappearance"
"fort","langsom","langmes","hert","slow","fast"
"fortelle","si","ks","forflytle","say","tell"
"fortsatt","allerede","beidslerede","flagsatt","already","still"
"fortsette","fortsette","tripsette","trimsette","proceed","continue"
"forvent","vente","lykte","forvold","wait","expect"
"forvirring","kaos","hlos","forvirtuos","chaos","confusion"
"fotball","basketball","basketkens","delball","basketball","football"
"foto","bilde","nende","trto","picture","photo"
"fotograf","autograf","autotron","fotoless","autograph","photographer"
"fransk","engelsk","engetts","franth","english","french"
"fravær","tilstedeværelse","tilfluktsværelse","franin","presence","absence"
"frelser","helt","hend","forsser","hero","savior"
"fremgangsmåte","prosess","prokelt","fremgangssønn","process","procedure"
"frivillig","frivillig","kampvillig","frigjorlig","volunteer","voluntarily"
"frokost","middag","veidag","telkost","dinner","breakfast"
"frukt","eple","bæle","frift","apple","fruit"
"frykt","skrekk","skrest","freft","horror","fear"
"fryktelig","fryktelig","helltelig","etabtelig","terrible","horrible"
"fryse","smelte","slørte","bouse","melt","freeze"
"fugl","sommerfugl","sommershow","fuøs","butterfly","bird"
"full","tømme","kaime","holl","empty","full"
"full","nykter","daiter","holl","sober","drunk"
"fullstendig","total","tolog","fulltidsdig","total","complete"
"funksjonell","operativ","vaktrativ","portsjonell","operational","functional"
"fysisk","seksuell","hodesuell","fytest","sexual","physical"
"gå","tast inn","tabb inn","ht","enter","go"
"gå","løpe","impe","ht","run","walk"
"gå i stykker","knuse","ærese","gå i stpaxin","smash","break"
"gaffel","skje","vaje","hugfel","spoon","fork"
"gal","paranoid","paranoplass","rol","paranoid","crazy"
"galaxy","univers","kjøvers","galitz","universe","galaxy"
"garasje","verksted","rocksted","gararisk","workshop","garage"
"gate","allé","alcu","kote","avenue","street"
"gave","kompliment","komplifull","gara","compliment","gift"
"gi","by på","byrdå","ks","offer","give"
"gi","muliggjøre","mukjentgjøre","ks","enable","provide"
"gift","enkelt","enpenn","ginæ","single","married"
"gitar","piano","jefno","gilys","piano","guitar"
"gjemme seg","dekke","padke","gjemmesafe","cover","hide"
"gjerde","vegg","venø","kvelde","wall","fence"
"gjøre","gjøre","skere","ikore","make","do"
"glede","glede","smade","hayde","pleasure","joy"
"global","nasjonal","nasjosons","glogin","national","global"
"godkjenning","tillatelse","tillasjonsse","godgiftning","permission","approval"
"gorilla","ape","zie","gosempla","monkey","gorilla"
"gram","kilo","kive","grps","kilo","gram"
"gratis","fritt","frayt","graher","freely","free"
"gravplass","grav","grgd","pingplass","grave","cemetery"
"gresk","roman","roner","blesk","roman","greek"
"gris","ku","vn","akis","cow","pig"
"grunnlov","lov","tav","grunncer","law","constitution"
"gruppe","gjeng","fueng","tauspe","gang","group"
"grusom","brutal","peptal","tarsom","brutal","cruel"
"grusomhet","ond","agd","skalsomhet","evil","cruelty"
"guddommelig","gud","wid","bestedommelig","god","divine"
"gul","rød","yad","sml","red","yellow"
"gutt","pike","pira","gura","girl","boy"
"ha det","hallo","prolo","hadela","hello","bye"
"hæren","legion","lesøvn","hælig","legion","army"
"hallusinasjon","illusjon","illurest","hallusinaturiig","illusion","hallucination"
"halskjede","ringe","togge","sparkjede","ring","necklace"
"hamburger","smørbrød","slipbrød","toppburger","sandwich","hamburger"
"hammer","pinne","fakne","sukmer","stick","hammer"
"håndkle","teppe","plepe","håndpis","blanket","towel"
"handling","gest","gerr","brødling","gesture","act"
"hard","vanskelig","skuekelig","omrd","tough","hard"
"harmoni","balansere","batsjovsere","fremmoni","balance","harmony"
"hastighet","avstand","avkjørs","sølvtighet","distance","speed"
"hatt","hjelm","fielm","hagu","helmet","hat"
"hav","hav","kov","jøv","sea","ocean"
"havn","bukt","bubo","hazz","bay","harbor"
"heks","forbannelse","forskjelnelse","viks","curse","witch"
"helbrede","komme seg","kommeenke","helselvde","recover","heal"
"helikopter","ambulanse","amburoughse","helispretter","ambulance","helicopter"
"helt","absolutt","absodern","hede","absolutely","completely"
"helvete","paradis","parabånd","storvete","paradise","hell"
"hengivenhet","gjengivelse","dragsgivelse","hengistillhet","fidelity","devotion"
"henrettelse","henger","bakger","pulverettelse","hanging","execution"
"herlig","hyggelig","wildgelig","mislig","nice","lovely"
"herlighet","herlig","mislig","ståelighet","glorious","glory"
"heroin","kokain","koklem","heflis","cocaine","heroin"
"hest","esel","ests","heko","donkey","horse"
"hilse på","gratulere","skulptulere","hilsehab","congratulate","greet"
"himmelsk","himmel","gulmel","himbalik","sky","heavenly"
"hiv","hjelpemidler","skrivemidler","jøv","aids","hiv"
"hodeskalle","bein","belø","dritskalle","bone","skull"
"holdning","mening","mekvin","olymning","opinion","attitude"
"homofil","lesbisk","knebisk","homonard","lesbian","gay"
"hoppe","klatre","rustre","smape","climb","jump"
"høre","lytte","kopte","nure","listen","hear"
"høst","vår","jær","høko","spring","autumn"
"hoved","sekundær","sekuntisj","hosos","secondary","primary"
"hovedkvarter","utgangspunkt","utgangsgjort","hovedstrømter","base","headquarters"
"hovedvei","vei","gii","hosnarvei","road","highway"
"høy","lav","jev","tty","low","high"
"høyde","vekt","vesn","pande","weight","height"
"høyhet","majestet","maprintet","høybår","majesty","highness"
"hull","sprekk","spreri","aill","crack","hole"
"hummer","tunfisk","vasfisk","nesmer","tuna","lobster"
"hundre","tusen","tuell","stunre","thousand","hundred"
"hunn","mann","maro","huro","male","female"
"huseier","leietaker","spartaker","tikkeier","tenant","landlord"
"hushjelp","nanny","tynny","hustjent","nanny","maid"
"huske","glemme","lensme","tyrke","forget","remember"
"husly","tilfluktssted","tilfluktstion","perly","refuge","shelter"
"hydrogen","karbon","karnez","kontogen","carbon","hydrogen"
"hyggelig","komfortabel","plattfortabel","støygelig","comfortable","pleasant"
"i går","i dag","jwdag","lúgår","today","yesterday"
"idiot","lure","aire","idpet","fool","idiot"
"imperium","dynastiet","passamaquoddynastiet","sjonsperium","dynasty","empire"
"imponere","smigre","skryre","imstjernere","flatter","impress"
"indikerer","punkt","putet","indikeholds","point","indicate"
"individuell","person","disson","individustries","person","individual"
"infeksjon","virus","vibre","infektivt","virus","infection"
"informant","kilde","fabde","inforregn","source","informant"
"informasjon","data","dago","informadrass","data","information"
"informere","rapportere","bombeportere","inrettsmere","report","inform"
"injeksjon","dose","tuse","injektivt","dose","injection"
"inndeling","enhet","endom","inndestru","unit","division"
"inngang","exit","rait","innkaps","exit","entrance"
"innhold","inneholde","hvitholde","lighold","contain","content"
"innsiden","utenfor","utenets","pressiden","outside","inside"
"innsjø","elv","urv","inneps","river","lake"
"innspilling","ta opp","tatous","inngrevling","record","recording"
"inntekt","profitt","pronice","inntårn","profit","income"
"insekt","edderkopp","edderfert","inepet","spider","insect"
"inspirasjon","inspirere","inmonstrere","inspiraments","inspire","inspiration"
"instrument","verktøy","karttøy","infragment","tool","instrument"
"intelligent","smart","maart","intelliklubb","smart","intelligent"
"intensjon","hensikt","henlies","intenking","purpose","intention"
"interessant","spennende","damenende","interesklubb","exciting","interesting"
"intimt","personlig","perbøyelig","inviig","personal","intimate"
"intuisjon","instinkt","instreks","intuierer","instinct","intuition"
"investere","finansiere","finansmith","instruktere","finance","invest"
"investor","bankier","darkser","inproctor","banker","investor"
"ironisk","ironi","aleni","bøtnisk","irony","ironic"
"jage","følg","solg","toge","follow","chase"
"jagerfly","champion","chamneon","jagermans","champion","fighter"
"jakke","skjorte","skramte","meike","shirt","jacket"
"jenter","gutter","boyter","fagter","boys","girls"
"jordbær","banan","badio","jordrel","banana","strawberry"
"journalist","journalist","saksnalist","beinnalist","reporter","journalist"
"juice","melk","meim","juone","milk","juice"
"juli","juni","peni","juon","june","july"
"juliet","romeo","roniz","kjelet","romeo","juliet"
"junior","senior","sejero","binior","senior","junior"
"juvel","diamant","diafair","judyr","diamond","jewel"
"kaffe","kopp","koet","dupfe","cup","coffee"
"kake","dessert","krasert","ecke","dessert","cake"
"kald","varmt","vaãrt","kasu","hot","cold"
"kamp","turnering","turnesper","kado","tournament","match"
"kanin","rev","eiv","kavær","fox","rabbit"
"kapell","kirke","jetke","kathle","church","chapel"
"kapitalisme","anarki","stirki","kapitalismetersklub","anarchy","capitalism"
"kaptein","kommandør","kommanlong","kapborn","commander","captain"
"kardinal","biskop","biseie","kardisjon","bishop","cardinal"
"kart","kompass","komtant","kadi","compass","map"
"kartell","mafia","maaky","kartrer","mafia","cartel"
"katt","hund","humv","kazo","dog","cat"
"keiser","imperial","impesjonsal","araser","imperial","emperor"
"kinn","leppe","quipe","kita","lip","cheek"
"kirurgi","operere","krydrere","kigjengi","operate","surgery"
"kjærlighet","hat","jøt","regnlighet","hate","love"
"kjole","skjørt","skiurt","cinle","skirt","dress"
"kjøper","selger","diager","chaper","seller","buyer"
"kjøpmann","kommersiell","komkrisesiell","kystmann","commercial","merchant"
"kjøtt","svinekjøtt","svartkjøtt","kjant","pork","meat"
"klem","kysse","hefse","klau","kiss","hug"
"klient","pasient","pasibaum","klilio","patient","client"
"klinikk","sykehus","sykerom","resnikk","hospital","clinic"
"kloster","barnehjem","barnehode","tauster","orphanage","convent"
"kloster","tinning","mayning","tauster","temple","monastery"
"kne","skulder","kunnder","ite","shoulder","knee"
"kniv","sverd","svøyd","kncs","sword","knife"
"koffert","stresskoffert","stresskofbror","gnafert","briefcase","suitcase"
"kokk","kokk","kova","kofa","cook","chef"
"kollapse","falle","glole","banklapse","fall","collapse"
"komedie","drama","veima","komeless","drama","comedy"
"komfyr","stekeovn","tsjekovn","komcue","oven","stove"
"komiteen","kommisjon","komminell","komiteskaps","commission","committee"
"komme","ankomme","anfallme","nisme","arrive","come"
"komme tilbake","tilbake","åpenbake","komme tilbrichos","back","return"
"kommisjonær","inspektør","inhalstør","kommisjostilt","inspector","commissioner"
"kommunikasjon","navigasjon","navigamieux","kommunikalandsk","navigation","communication"
"kommunistisk","rasist","rasmak","kommunisfullt","racist","communist"
"kone","ektemann","fotomann","gyne","husband","wife"
"konge","dronning","quinning","slage","queen","king"
"konsentrere","fokus","fodio","konsenknoppre","focus","concentrate"
"konsert","tur","νer","konting","tour","concert"
"kontor","pulten","tapten","kondes","desk","office"
"kopiere","opprinnelig","oppsjeldnelig","kopreik","original","copy"
"kreativitet","fantasi","livstasi","beidstivitet","imagination","creativity"
"kreft","svulst","svkost","kryst","tumor","cancer"
"kriger","soldat","solrør","melger","soldier","warrior"
"krise","situasjon","situaling","melse","situation","crisis"
"kristen","katolikk","katowatt","fredten","catholic","christian"
"kul","varm","vaså","rål","warm","cool"
"kule","kaliber","kalitikk","jole","caliber","bullet"
"kunnskap","erfaring","erfascis","skulskap","experience","knowledge"
"kunstig","naturlig","nabøyelig","glastig","natural","artificial"
"kutte opp","rive","ikve","kuttedour","tear","cut"
"kvalitet","mengde","kneide","hagelitet","quantity","quality"
"kvalme","diaré","vedré","skvime","diarrhea","nausea"
"kveld","natt","nado","kvoyd","night","evening"
"kvinne","enke","ensa","drikne","widow","woman"
"kynisk","naiv","naab","kyzeit","naive","cynical"
"kyst","strand","stravn","wist","beach","coast"
"la","tillate","semplate","cr","allow","let"
"lære bort","lære","eure","læreriert","learn","teach"
"lærer","student","fotdent","lælig","student","teacher"
"lagre","redde","pande","femre","rescue","save"
"landsby","leir","ledu","narkoby","camp","village"
"låne","kreditt","kredert","ærne","credit","loan"
"lang","kort","koco","laty","short","long"
"langt","nær","xor","mingt","near","far"
"låse","nøkkel","sarkel","tøse","key","lock"
"last","laste","sønte","uist","load","cargo"
"lastebil","jeep","jesú","fargebil","jeep","truck"
"latter","smil","smay","newter","smile","laugh"
"leder","medlem","medfly","lefon","member","leader"
"ledsage","eskorte","essantte","munnsage","escort","accompany"
"legemiddel","alkohol","alkokisk","uformiddel","alcohol","drug"
"legende","myte","vote","lehavsde","myth","legend"
"leie","ansette","anfallte","lemu","hire","rent"
"leilighet","hus","oms","voldlighet","house","apartment"
"leketøy","dukke","lotke","lekedent","doll","toy"
"lengde","størrelse","flaurelse","dekkde","size","length"
"lett","umulig","cerlig","leic","impossible","easy"
"lever","nyre","tire","lerin","kidney","liver"
"liberal","konservativ","konservalance","libeetee","conservative","liberal"
"lidenskap","entusiasme","entusiasmetersklub","lidenburg","enthusiasm","passion"
"lik","kropp","peopp","økk","body","corpse"
"limousine","taxi","taån","likrisesine","taxi","limousine"
"ling","ming","miti","ligh","ming","ling"
"liten","litt","ligh","limou","little","small"
"litteratur","kunst","kusat","spareteratur","art","literature"
"løgner","å ligge","å licks","poiner","lie","liar"
"løk","hvitløk","hvitera","årk","garlic","onion"
"lokal","regional","reeternal","losty","regional","local"
"lokk","briller","smitler","loya","glasses","cap"
"lommebok","lomme","tjeme","lommeskru","pocket","wallet"
"lommetørkle","klut","klop","lommetørening","cloth","handkerchief"
"lønn","pensjon","siasjon","mynn","pension","salary"
"løp","maraton","maraseri","myp","marathon","race"
"løsepenger","kidnapper","kidnaface","tillpenger","kidnapper","ransom"
"love","garanti","gagnosti","lora","guarantee","promise"
"løve","drage","basge","årve","dragon","lion"
"lover","elskerinne","bombekerinne","lonia","mistress","lover"
"lovlig","ulovlig","stoilig","lovpri","illegal","legal"
"løytnant","sersjant","vansjant","bartnant","sergeant","lieutenant"
"lukk","åpen","swen","lule","open","close"
"lukket","låst","jist","vidket","locked","closed"
"lukning","åpning","åpsjon","bilning","opening","closure"
"lukt","smak","smhy","lulæ","taste","smell"
"lunsj","matbit","forbit","ludaj","snack","lunch"
"lyd","bråk","brhd","pud","noise","sound"
