"hu_target","hu_cue","type","target_type","cue_type","hu_cosine"
"ügyfél","beteg","related","word","word",0.249844631314257
"tedd","betét","related","word","word",0.127109202954507
"szállítmány","betöltés","related","word","word",0.239958828352732
"könyv","biblia","related","word","word",0.518471912609224
"bíró","bíróság","related","word","word",0.660564333514351
"hinni","bizalom","related","word","word",0.267517644955016
"bizonyíték","bizonyíték","related","word","word",1
"biztonság","biztonság","related","word","word",1
"biztonságos","biztonságos","related","word","word",1
"ajándék","bók","related","word","word",0.360216251995995
"fa","bokor","related","word","word",0.505176730814393
"idióta","bolond","related","word","word",0.661937711908905
"pálya","bolygó","related","word","word",0.310353350537551
"robbanó","bomba","related","word","word",0.574537821380393
"elemzés","boncolás","related","word","word",0.487016293847226
"jutalom","bónusz","related","word","word",0.477377419713296
"pezsgő","bor","related","word","word",0.671535292937954
"szövet","bőr","related","word","word",0.595294049667707
"csomag","boríték","related","word","word",0.482838241134414
"elrejt","borító","related","word","word",0.123248164766738
"félelem","borzalom","related","word","word",0.406974408858192
"igazságszolgáltatás","bosszú","related","word","word",0.366491677771907
"alfa","bravo","related","word","word",0.533244811351006
"kegyetlen","brutális","related","word","word",0.662785872903248
"bűn","bűn","related","word","word",1
"letartóztatás","büntet","related","word","word",0.266150474564364
"bebörtönzés","büntetés","related","word","word",0.478333559381297
"paradicsom","burgonya","related","word","word",0.52464278526326
"izgatott","büszke","related","word","word",0.395814575202406
"méltóság","büszkeség","related","word","word",0.55376346165093
"róma","caesar","related","word","word",0.461026379031161
"hal","cápa","related","word","word",0.480870731062709
"ügynökség","cég","related","word","word",0.494851396984906
"szándék","célja","related","word","word",0.354848088662891
"műanyag","cement","related","word","word",0.403312003048945
"újság","cikk","related","word","word",0.558194897951786
"katonai","civil","related","word","word",0.464696479378414
"csali","csapda","related","word","word",0.453037689202632
"császár","császári","related","word","word",0.733317491728367
"hírek","csatorna","related","word","word",0.329472349434497
"nyugodt","csendes","related","word","word",0.653693524744453
"csend","csendes","related","word","word",0.569440292105472
"korty","csepp","related","word","word",0.50706641243027
"kávé","csésze","related","word","word",0.563998502201125
"teknősbéka","csiga","related","word","word",0.385831825102964
"pulyka","csirke","related","word","word",0.506890072587458
"méltányol","csodál","related","word","word",0.429909384314458
"fantasztikus","csodálatos","related","word","word",0.773105310318046
"ölelés","csók","related","word","word",0.576070495531755
"cipő","csomagtartó","related","word","word",0.24679220789123
"koponya","csont","related","word","word",0.553318911705202
"mocskos","csúnya","related","word","word",0.482804745659693
"csokoládé","cukor","related","word","word",0.584049874400668
"szobalány","dajka","related","word","word",0.400862875351744
"egyetemi tanár","dékán","related","word","word",NA
"északi","déli","related","word","word",0.75380410493531
"nyugati","déli","related","word","word",0.644933483117815
"torta","desszert","related","word","word",0.511528415860797
"időzítő","detonátor","related","word","word",0.524024033037475
"tanár","diák","related","word","word",0.668729912046583
"dicsőség","dicső","related","word","word",0.636473052262134
"birodalom","dinasztia","related","word","word",0.528564295478498
"elegáns","divatos","related","word","word",0.577045095177684
"ujjlenyomat","dna","related","word","word",0.470840211943433
"táska","doboz","related","word","word",0.535013931652668
"cigaretta","dohány","related","word","word",0.605192312185204
"injekció","dózis","related","word","word",0.55408006701439
"olcsó","drága","related","word","word",0.480551400422995
"komédia","dráma","related","word","word",0.436979000033289
"romantikus","drámai","related","word","word",0.45108473656121
"videó-","dvd","related","word","word",NA
"zene","dzsessz","related","word","word",0.549135757096142
"kamion","dzsip","related","word","word",0.547993511420406
"erdő","dzsungel","related","word","word",0.546390072630337
"riasztás","éber","related","word","word",0.26720631485279
"aranyos","édes","related","word","word",0.528768919810775
"vaj","édesem","related","word","word",0.233876762829837
"mennyei","ég","related","word","word",0.247150173991394
"patkány","egér","related","word","word",0.513129496859998
"oktatás","egészség","related","word","word",0.444950149378427
"normál","egészséges","related","word","word",0.321136544363196
"három","egy","related","word","word",0.395873199949254
"magányos","egyedül","related","word","word",0.463265178247368
"harmónia","egyensúly","related","word","word",0.540729353015829
"házas","egyetlen","related","word","word",0.11278301229799
"egyszerű","egyszerűen","related","word","word",0.36534588491296
"szomjúság","éhség","related","word","word",0.603741928227798
"dél","éjfél","related","word","word",0.179470134318877
"este","éjszaka","related","word","word",0.669566182836917
"vevő","eladó","related","word","word",0.515977640151267
"elegendő","elég","related","word","word",0.606518505589217
"boldog","elégedett","related","word","word",0.577992842068125
"nyomozó","elemző","related","word","word",0.307808274964971
"emlékezik","elfelejt","related","word","word",0.434920612552927
"elhagyott","elhagy","related","word","word",0.681293935298659
"tudta","elismerik","related","word","word",0.221785055987642
"esküvő","elkötelezettség","related","word","word",0.239865538565498
"ellenáll","ellenállás","related","word","word",0.627530219446489
"vakcina","ellenméreg","related","word","word",0.515591861000391
"biztos","ellenőr","related","word","word",0.215092342087979
"manipulál","ellenőrzés","related","word","word",0.144614288386597
"ellenfél","ellenség","related","word","word",0.579043021757986
"túlél","élő","related","word","word",0.192048572156413
"halott","élő","related","word","word",0.313914740839354
"teljesítmény","előadás","related","word","word",0.34864005651932
"történik","előfordul","related","word","word",0.507412369438568
"fejlődés","előrehalad","related","word","word",0.439923785829822
"elrabol","elrabol","related","word","word",1
"utolsó","első","related","word","word",0.637537899678194
"hátulsó","elülső","related","word","word",0.565989323570613
"váltságdíj","emberrabló","related","word","word",0.462090653678811
"szobor","emlékmű","related","word","word",0.433734939942619
"zenész","énekes","related","word","word",0.658720554182238
"jóváhagyás","engedély","related","word","word",0.572043826399127
"biztosítani","engedélyezze","related","word","word",0.272362143941141
"épít","építkezés","related","word","word",0.371717248653337
"mostanában","éppen","related","word","word",0.245002843370005
"másolat","eredeti","related","word","word",0.40671119158116
"eredmény","eredmény","related","word","word",1
"indulás","érkezés","related","word","word",0.444150065162374
"kényszerítés","erő","related","word","word",0.254645282712968
"energia","erő","related","word","word",0.510946931440993
"gyenge","erős","related","word","word",0.548047717021264
"ár","érték","related","word","word",0.354897146230715
"fontos","értékes","related","word","word",0.555179214781513
"adó","érzékelő","related","word","word",0.260335331342317
"összeomlás","esik","related","word","word",0.150395873442311
"eskü","esküszik","related","word","word",0.446067421392625
"hó","eső","related","word","word",0.582450994916209
"felelőtlen","ésszerűtlen","related","word","word",0.505489274195222
"hangszer","eszköz","related","word","word",0.392180162534679
"étkezés","étel","related","word","word",0.528812925507235
"születésnap","évforduló","related","word","word",0.703102849279791
"mutáció","evolúció","related","word","word",0.561973717772145
"száz","ezer","related","word","word",0.712928591170095
"zászlóalj","ezred","related","word","word",0.638157351516225
"vanília","fahéj","related","word","word",0.601044015620079
"dokumentum","fájl","related","word","word",0.475274540097504
"kerítés","fal","related","word","word",0.465611089273331
"ebéd","falatozás","related","word","word",0.450164764389083
"éhes","fáradt","related","word","word",0.573335977698756
"időszak","fázis","related","word","word",0.41925656176376
"fekete","fehér","related","word","word",0.793770839427727
"vitamin","fehérje","related","word","word",0.553183700471712
"negyed","fél","related","word","word",0.435534757226758
"küldetés","feladat","related","word","word",0.553165553281953
"kötelesség","felelősség","related","word","word",0.501238680997955
"köd","felhő","related","word","word",0.513965138698447
"szülő","felnőtt","related","word","word",0.398342408632743
"fenség","felség","related","word","word",0.767309761857132
"alsó","felső","related","word","word",0.75268408814835
"denevérember","felsőbbrendű ember","related","word","word",NA
"felszerel","felszerelés","related","word","word",0.709865157191656
"állomás","felület","related","word","word",0.259288229832197
"kígyó","féreg","related","word","word",0.438458642817249
"emberi","férfi","related","word","word",0.216067835160321
"női","férfi","related","word","word",0.461733912768368
"feleség","férj","related","word","word",0.879374648944403
"húz","festék","related","word","word",0.0499374793894083
"tojás","fészek","related","word","word",0.406600354474133
"depresszió","feszültség","related","word","word",0.352340653229646
"üzenet","figyelem","related","word","word",0.187100290607889
"vonz","figyelem","related","word","word",0.121508545880957
"vád","filmelőzetes","related","word","word",NA
"vallás","filozófia","related","word","word",0.528898029445115
"lányok","fiúk","related","word","word",0.807498857135486
"matematika","fizika","related","word","word",0.697111085563784
"egyetemi","főiskola","related","word","word",0.548183947732623
"hagyma","fokhagyma","related","word","word",0.782079886883903
"sűrítmény","fókusz","related","word","word",0.225245146196205
"légy","föld","related","word","word",0.100774747572785
"robbanás","földrengés","related","word","word",0.589619493333356
"eljárás","folyamat","related","word","word",0.60112142771584
"folyadék","folyékony","related","word","word",0.435915642100643
"tó","folyó","related","word","word",0.549393198478927
"folytatni","folytassa","related","word","word",0.645357819504088
"dollár","font","related","word","word",0.597346286814881
"gondol","fontolgat","related","word","word",0.289239847717478
"forog","fordulat","related","word","word",0.306851012647552
"eszköz","forgács","related","word","word",0.340467812842111
"jel","forma","related","word","word",0.191058216640896
"informátor","forrás","related","word","word",0.38701647094426
"hideg","forró","related","word","word",0.550611606613669
"város","főváros","related","word","word",0.582411308132692
"jel","frekvencia","related","word","word",0.414064660511838
"frissítés","friss","related","word","word",0.334472703654634
"végrehajtás","függő","related","word","word",0.0353149759805658
"séta","fuss","related","word","word",0.170626034531403
"szivar","füst","related","word","word",0.342004158487024
"liszt","gabona","related","word","word",0.473378360760169
"ígéret","garancia","related","word","word",0.384781671664698
"üzemanyag","gáz","related","word","word",0.418931985530927
"munkás","gazda","related","word","word",0.279781766217475
"reaktor","generátor","related","word","word",0.60648553282559
"hasi","gerinc-","related","word","word",NA
"törvény","gesztus","related","word","word",0.191633281982747
"tenisz","golf","related","word","word",0.575889078257898
"nyomja meg","gomb","related","word","word",NA
"kegyetlenség","gonosz","related","word","word",0.373745049219346
"üdvözöl","gratulál","related","word","word",0.402568754547224
"gyakorlat","gyakorlat","related","word","word",1
"termelés","gyár","related","word","word",0.397755648901614
"ékszer","gyémánt","related","word","word",0.575664330767788
"gyilkos","gyilkos","related","word","word",1
"mellkas","gyomor","related","word","word",0.436892262921606
"vereség","győzelem","related","word","word",0.702132337738407
"összegyűjt","gyűjt","related","word","word",0.632058499384333
"szerelem","gyűlöl","related","word","word",0.203724266194894
"nyaklánc","gyűrű","related","word","word",0.664519247122633
"csata","háború","related","word","word",0.641742715184009
"flotta","haditengerészeti","related","word","word",0.528604388451933
"funkcionális","hadműveleti","related","word","word",0.238007488191225
"szakáll","haj","related","word","word",0.590322039459756
"lovagol","hajtás","related","word","word",0.185463869543125
"eltűnés","halál","related","word","word",0.316443264195048
"halálos","halálos","related","word","word",1
"köszönet","hálás","related","word","word",0.519897990108244
"hall","hallgat","related","word","word",0.444707132598895
"rendszer","hálózat","related","word","word",0.525393500580837
"hamis","hamisítvány","related","word","word",0.616409272861861
"por","hamu","related","word","word",0.545447504578469
"hangsúly","hang","related","word","word",0.290654243052626
"düh","harag","related","word","word",0.777793851179739
"harc","harc","related","word","word",1
"negyedik","harmadik","related","word","word",0.864713506086194
"hányinger","hasmenés","related","word","word",0.626442472785465
"különböző","hasonló","related","word","word",0.467419763968755
"hatékony","hasznos","related","word","word",0.425898569229906
"erősen","határozottan","related","word","word",0.396728884510855
"elképesztő","hatásos","related","word","word",0.232621170812203
"tesó","haver","related","word","word",0.80473839957997
"lakás","ház","related","word","word",0.663895510727625
"hazug","hazugság","related","word","word",0.588363879666144
"hegy","hegy","related","word","word",1
"viszlát","helló","related","word","word",0.505705827259091
"elhelyezkedés","hely","related","word","word",0.304712194735098
"helyettes","helyettesít","related","word","word",0.600490799174542
"válság","helyzet","related","word","word",0.305119960604535
"herceg","hercegnő","related","word","word",0.703043475369747
"kedd","hétfő","related","word","word",0.707055268520444
"értéktelen","hiábavaló","related","word","word",0.35935884276059
"hiba","hiba","related","word","word",1
"alagút","híd","related","word","word",0.474672294296584
"marketing","hirdető","related","word","word",0.236492133795849
"csillag","híres ember","related","word","word",NA
"váratlanul","hirtelen","related","word","word",0.57105642492795
"hitel","hitel","related","word","word",1
"telefon","hívás","related","word","word",0.507283170902087
"hivatalos","hivatalosan","related","word","word",0.565143791881411
"lenyűgöz","hízeleg","related","word","word",0.274443865663576
"hőfok","hő","related","word","word",0.478709263841479
"sport","hobbi","related","word","word",0.404866131096294
"nap","hold","related","word","word",0.359181297101002
"nap-","hold-","related","word","word",NA
"reggel","holnap","related","word","word",0.474428678689556
"hét","hónap","related","word","word",0.653924516890407
"vitorla","horgony","related","word","word",0.531383201794395
"adrenalin","hormon","related","word","word",0.533078107071103
"megmentő","hős","related","word","word",0.567457122613398
"küld","hozza","related","word","word",0.28271727831985
"fiú testvér","húga","related","word","word",NA
"tornádó","hurrikán","related","word","word",0.62456944179954
"odaadás","hűség","related","word","word",0.565464094340383
"őszinteség","hűség","related","word","word",0.6013128091689
"hűséges","hűséges","related","word","word",1
"hímvessző","hüvely","related","word","word",0.397967722665158
"tökéletes","ideál","related","word","word",0.426268357765911
"izom","ideg","related","word","word",0.522592906363052
"junior","idősebb","related","word","word",0.129669911422596
"gyermekkor","ifjúság","related","word","word",0.407252062758534
"igazi","igaz","related","word","word",0.301552025093048
"tisztességtelen","igazságtalanság","related","word","word",0.387310125365905
"kérés","igény","related","word","word",0.31330929702476
"hátborzongató","ijedős","related","word","word",0.284037893456607
"jogi","illegális","related","word","word",0.136888394755558
"hallucináció","illúzió","related","word","word",0.375139746529614
"nyomás","impulzus","related","word","word",0.289778758960718
"baleset","incidens","related","word","word",0.525158784476573
"alibi","indíték","related","word","word",0.472527129521808
"betegség","influenza","related","word","word",0.580256253025429
"dzseki","ing","related","word","word",0.543393774527781
"tulajdonos","ingatlan","related","word","word",0.401835408332177
"ihlet","inspirál","related","word","word",0.442227692643339
"webes","internet","related","word","word",0.463933348661362
"támadás","invázió","related","word","word",0.568367639100964
"üzleti","ipar","related","word","word",0.260518745884634
"politikus","irányelv","related","word","word",0.216528676086443
"közigazgatási","irányítás","related","word","word",0.257211076621837
"térkép","iránytű","related","word","word",0.538646545799095
"mérges","irigy","related","word","word",0.479276562108382
"ironikus","irónia","related","word","word",0.409262799456548
"isteni","isten","related","word","word",0.377857147684643
"sör","ital","related","word","word",0.646971571928231
"ott","itt","related","word","word",0.707080412108036
"szag","íz","related","word","word",0.493991517396938
"érdekes","izgalmas","related","word","word",0.653497615664783
"finom","ízletes","related","word","word",0.624287305190487
"autó","jármű","related","word","word",0.674558082746846
"játszma, meccs","játék","related","word","word",NA
"javasol","javasol","related","word","word",1
"javítás","javít","related","word","word",0.544043461275235
"útlevél","jegy","related","word","word",0.449454422527864
"elektromosság","jelenlegi","related","word","word",0.0669686935742929
"hiány","jelenlét","related","word","word",0.352839863524922
"esemény","jelenség","related","word","word",0.515745823741267
"fontosság","jelentés","related","word","word",0.24971952606626
"tájékoztat","jelentés","related","word","word",0.365664274822016
"ellenőriz","jelölje be","related","word","word",NA
"szavazó","jelölt","related","word","word",0.482582207492986
"egyenruha","jelvény","related","word","word",0.542647074288613
"rossz","jó","related","word","word",0.637346617729279
"bal","jobb","related","word","word",0.493991874180766
"masszázs","jóga","related","word","word",0.524939812306089
"ügyész","jogász","related","word","word",0.443089041568932
"hatóság","joghatóság","related","word","word",0.732526657672635
"múlt","jövő","related","word","word",0.573858773477173
"részeg","józan","related","word","word",0.47722663571389
"július","június","related","word","word",0.685394308493704
"bizottság","jutalék","related","word","word",0.15763411544782
"huzal","kábel","related","word","word",0.505315987788849
"fedélzet","kabin","related","word","word",0.567951900784845
"golyó","kaliber","related","word","word",0.541723631249861
"tengerész","kalóz","related","word","word",0.471743651232516
"mikrofon","kamera","related","word","word",0.530790673771714
"választás","kampány","related","word","word",0.433479506771653
"villa","kanál","related","word","word",0.410703602560062
"ágy","kanapé","related","word","word",0.58017392199565
"elnök","kancellár","related","word","word",0.419087315326958
"zavar","káosz","related","word","word",0.230801521199991
"képesség","kapacitás","related","word","word",0.463630095023315
"barátság","kapcsolat","related","word","word",0.567891892838225
"kapcsolat","kapcsolatba lépni","related","word","word",NA
"szonda","kapszula","related","word","word",0.469194529913223
"ünnep","karácsony","related","word","word",0.644893408372564
"személyiség","karakter","related","word","word",0.473047768897368
"zúzódás","karcolás","related","word","word",0.620812125539706
"kés","kard","related","word","word",0.569183609755919
"fesztivál","karnevál","related","word","word",0.57223329282838
"hírnév","karrier","related","word","word",0.42133191850352
"keresztény","katolikus","related","word","word",0.637058778403733
"harcos","katona","related","word","word",0.555852281488553
"áruló","kém","related","word","word",0.52277669601438
"kemény","kemény","related","word","word",1
"biológia","kémia","related","word","word",0.636731352605644
"biológiai","kémiai","related","word","word",0.555260321678404
"szabotázs","kémkedés","related","word","word",0.509181327426783
"kellemes","kényelmes","related","word","word",0.529504403152909
"kellemetlen","kényelmetlen","related","word","word",0.678449408555362
"sajt","kenyér","related","word","word",0.611215341104514
"fénykép","kép","related","word","word",0.768113813277507
"monitor","képernyő","related","word","word",0.574706947745018
"kiállítás","képtár","related","word","word",0.471283376688511
"képtelen","képtelenség","related","word","word",0.726735144498439
"kreativitás","képzelet","related","word","word",0.387826091104574
"kérdez","kérdés","related","word","word",0.343982871698297
"körül","kerek","related","word","word",0.289028300620935
"megtalálja","keresés","related","word","word",0.288920204872151
"kereskedő","kereskedelmi","related","word","word",0.561351901573283
"széles","keskeny","related","word","word",0.563166263326873
"korai","késő","related","word","word",0.462218356088071
"készít","kész","related","word","word",0.249609829139693
"tegye","készít","related","word","word",0.106032216858158
"tervezés","készítmény","related","word","word",0.266520553234322
"pénz","készpénz","related","word","word",0.648450524738532
"négy","két","related","word","word",0.722813885554171
"majonéz","ketchup","related","word","word",0.580811927456105
"gyanúsított","kétség","related","word","word",0.177366026852941
"hármas","kettős","related","word","word",0.382242308534004
"kar","kéz","related","word","word",0.483139232592307
"sikerül","kezel","related","word","word",0.102369240608722
"ról ről","ki","related","word","word",NA
"bejárat","kijárat","related","word","word",0.74612329255917
"perspektíva","kilátás","related","word","word",0.355583822815706
"gramm","kiló","related","word","word",0.619562867160335
"méter","kilométer","related","word","word",0.739414178341755
"kínzás","kín","related","word","word",0.52396509328738
"jólét","kincs","related","word","word",0.277194778921348
"látomás","kinyilatkoztatás","related","word","word",0.370959322880286
"királyság","királyi","related","word","word",0.40766783123973
"király","királynő","related","word","word",0.663184563075199
"kicsi","kis","related","word","word",0.477134652816208
"kísérő","kíséret","related","word","word",0.606999390659058
"teszt","kísérlet","related","word","word",0.469851862594005
"nagy","kiváló","related","word","word",0.207368574044075
"becsület","kiváltság","related","word","word",0.412300224477743
"figyelemre méltó","kivételes","related","word","word",NA
"belül","kívül","related","word","word",0.632340287839222
"család","klán","related","word","word",0.554670704856652
"rúd","klub","related","word","word",0.224074808486536
"veszély","kockázat","related","word","word",0.576588654899872
"veszélyes","kockázatos","related","word","word",0.661947620425682
"étterem","kocsma","related","word","word",0.511564524581055
"jelszó","kód","related","word","word",0.571230007667312
"láz","köhögés","related","word","word",0.537234081574507
"heroin","kokain","related","word","word",0.770499740197183
"barát","kolléga","related","word","word",0.517140163248537
"szövetség","kolónia","related","word","word",0.303859455583056
"író","költő","related","word","word",0.565075776221511
"finanszírozás","költségvetés","related","word","word",0.529015817627176
"keverék","kombináció","related","word","word",0.375631740120679
"meghatározás","koncepció","related","word","word",0.388741064176592
"találkozó","konferencia","related","word","word",0.566354833189702
"vita","konfliktus","related","word","word",0.502673533225559
"acél-","konkrét","related","word","word",NA
"vágott","könny","related","word","word",0.165985269889346
"nagylelkű","könyörületes","related","word","word",0.569231636351172
"múzeum","könyvtár","related","word","word",0.523815943183641
"liberális","konzervatív","related","word","word",0.657009573819497
"temetés","koporsó","related","word","word",0.55036009748239
"háromszög","kör","related","word","word",0.385047233738831
"klinika","kórház","related","word","word",0.665213425539399
"szenátor","kormányzó","related","word","word",0.619831751266325
"légkör","környezet","related","word","word",0.482538539970565
"fog","köröm","related","word","word",0.128193621123753
"trón","korona","related","word","word",0.490249070271527
"futball","kosárlabda","related","word","word",0.703080862922673
"nyakkendő","kötődik","related","word","word",0.201363853466357
"üldözés","kövesse","related","word","word",0.188022124872498
"feltevés","következtetés","related","word","word",0.500288386835343
"messze","közel","related","word","word",0.46252275724969
"közvetlenül","közvetlen","related","word","word",0.829367830366857
"szósz","krém","related","word","word",0.461278625092562
"politikai","kritikai","related","word","word",0.643962211041126
"zár","kulcs","related","word","word",0.435875162648474
"további","külön-","related","word","word",NA
"egyedi","különleges","related","word","word",0.528390685096682
"civilizáció","kultúra","related","word","word",0.583752209589777
"síp","kürt","related","word","word",0.420320830425235
"tanulmány","kutatás","related","word","word",0.559345513086859
"macska","kutya","related","word","word",0.658499345314667
"gyertya","lámpa","related","word","word",0.528064614348332
"kötél","lánc","related","word","word",0.504977106265666
"fiú","lány","related","word","word",0.735057447829679
"fiú","lánya","related","word","word",0.360095076282638
"spagetti","lasagna","related","word","word",0.548371634246565
"gyorsan","lassan","related","word","word",0.487906826851537
"gyors","lassú","related","word","word",0.608154449439434
"találkozik","lát","related","word","word",0.294129365764959
"fel","le-","related","word","word",NA
"hajó","legénység","related","word","word",0.598843127666323
"hadsereg","légió","related","word","word",0.380613950127508
"könnyen","lehetetlen","related","word","word",0.208719998170285
"enged","lehetővé teszi","related","word","word",NA
"tehetség","lehetséges","related","word","word",0.240217694064436
"expressz","leír","related","word","word",0.167008929529771
"szellem","lélek","related","word","word",0.570997813752735
"szenvedély","lelkesedés","related","word","word",0.56575601521261
"elbocsátás","lemondás","related","word","word",0.447937858034461
"repülési","leszállás","related","word","word",0.408881927112257
"meleg","leszbikus","related","word","word",0.47361582545847
"oxigén","levegő","related","word","word",0.569166986642856
"fax","levél","related","word","word",0.322513908418667
"saláta","leves","related","word","word",0.606899160901417
"kacsa","liba","related","word","word",0.417859464345618
"csapat","liga","related","word","word",0.309198117404049
"szóda","limonádé","related","word","word",0.546241080362334
"rabol","lop","related","word","word",0.574125481235574
"rablás","lopás","related","word","word",0.633600899196924
"hölgy","lord","related","word","word",0.13973843542617
"tüzérségi","lovasság","related","word","word",0.401660308067164
"lő","lövés","related","word","word",0.462417474965152
"tegnap","ma","related","word","word",0.632714535851093
"kartell","maffia","related","word","word",0.534821355958971
"magánélet","magán","related","word","word",0.250635568593788
"elektromos","mágneses","related","word","word",0.505708954708079
"valószínű","magyarázat","related","word","word",0.20434859791745
"gorilla","majom","related","word","word",0.536149633056286
"önző","makacs","related","word","word",0.529730274457347
"még mindig","már","related","word","word",NA
"marad","marad","related","word","word",1
"verseny","maraton","related","word","word",0.402353095035163
"termék","márka","related","word","word",0.501066406426641
"vénusz","mars","related","word","word",0.565749277459685
"valahol","máshol","related","word","word",0.467052081634429
"perc","második","related","word","word",0.0126562858112323
"elsődleges","másodlagos","related","word","word",0.56545815583932
"ugrás","mászik","related","word","word",0.252561357066843
"farkas","medve","related","word","word",0.616624614469063
"álljon meg","megakadályoz","related","word","word",NA
"mentség","megbocsát","related","word","word",0.162217075383253
"kegyelem","megbocsátás","related","word","word",0.609415113167365
"méltó","megérdemel","related","word","word",0.373988661472136
"jön","megérkezik","related","word","word",0.472765736929682
"megerősít","megerősítés","related","word","word",0.654803721473553
"becsületes","megfelelő","related","word","word",0.245289755271992
"értékelés","megfigyelés","related","word","word",0.464227284813059
"úszás","megfullad","related","word","word",0.310833254047529
"próba","meghallgatás","related","word","word",0.491469147582586
"megijeszt","megijeszt","related","word","word",1
"nyilatkozat","megjegyzés","related","word","word",0.454114236284425
"csalódás","meglepetés","related","word","word",0.429366375333303
"karbantart","megőrzik","related","word","word",NA
"fogás","megragad","related","word","word",0.162275193849987
"megzavar","megszakít","related","word","word",0.435707642313046
"eltávolít","megszüntet","related","word","word",0.363529391697991
"elfogad","megtagadja","related","word","word",0.36553048071625
"elad","megvesz","related","word","word",0.64678991221832
"zsarolás","megveszteget","related","word","word",0.369380671632049
"megvizsgál","megvizsgálni","related","word","word",0.812949140026501
"kerület","megye","related","word","word",0.497471456867067
"hangya","méh","related","word","word",0.40531917588945
"menő","meleg","related","word","word",0.248341207554383
"menedék","menedék","related","word","word",1
"főnök","menedzser","related","word","word",0.474592317363157
"menekülni","menekülni","related","word","word",1
"szökevény","menekült","related","word","word",0.445074949900427
"minőség","mennyiség","related","word","word",0.454427109459472
"megment","mentés","related","word","word",0.239526830436303
"helikopter","mentőautó","related","word","word",0.563315176658971
