hu_cue,hu_target,type,cue_type,target_type,hu_cosine
dráma,komédia,related,word,word,0.436979000033289
drámai,romantikus,related,word,word,0.45108473656121
dvd,videó-,related,word,word,
dzsezz,zene,related,word,word,
dzsip,kamion,related,word,word,0.547993511420406
dzsungel,erdő,related,word,word,0.546390072630337
éber,riasztás,related,word,word,0.26720631485279
édes,aranyos,related,word,word,0.528768919810775
édesem,vaj,related,word,word,0.233876762829837
ég,mennyei,related,word,word,0.247150173991394
egér,patkány,related,word,word,0.513129496859998
egészség,oktatás,related,word,word,0.444950149378427
egészséges,normál,related,word,word,0.321136544363196
egy,három,related,word,word,0.395873199949254
egyedül,magányos,related,word,word,0.463265178247368
egyensúly,harmónia,related,word,word,0.540729353015829
egyetlen,házas,related,word,word,0.11278301229799
egyszerűen,egyszerű,related,word,word,0.36534588491296
éhség,szomjúság,related,word,word,0.603741928227798
éjfél,dél,related,word,word,0.179470134318877
éjszaka,este,related,word,word,0.669566182836917
eladó,vevő,related,word,word,0.515977640151267
elég,elegendő,related,word,word,0.606518505589217
elégedett,boldog,related,word,word,0.577992842068125
elemző,nyomozó,related,word,word,0.307808274964971
elfelejt,emlékezik,related,word,word,0.434920612552927
elhagy,elhagyott,related,word,word,0.681293935298659
elismerik,tudta,related,word,word,0.221785055987642
eljegyzés,esküvő,related,word,word,0.619049693858975
ellenállás,ellenáll,related,word,word,0.627530219446489
ellenméreg,vakcina,related,word,word,0.515591861000391
ellenőr,biztos,related,word,word,0.215092342087979
ellenőrzés,manipulál,related,word,word,0.144614288386597
ellenség,ellenfél,related,word,word,0.579043021757987
élő,túlél,related,word,word,0.192048572156413
élő,halott,related,word,word,0.313914740839354
előadás,teljesítmény,related,word,word,0.34864005651932
előfordul,történik,related,word,word,0.507412369438568
előrehalad,fejlődés,related,word,word,0.439923785829822
elvisz,elrabol,related,word,word,0.401084544816138
első,utolsó,related,word,word,0.637537899678194
elülső,hátulsó,related,word,word,0.565989323570613
emberrabló,váltságdíj,related,word,word,0.462090653678811
emlékmű,szobor,related,word,word,0.433734939942619
énekes,zenész,related,word,word,0.658720554182237
engedély,jóváhagyás,related,word,word,0.572043826399128
engedélyezze,biztosítani,related,word,word,0.272362143941141
építkezés,épít,related,word,word,0.371717248653337
éppen,mostanában,related,word,word,0.245002843370005
eredeti,másolat,related,word,word,0.40671119158116
következmény,eredmény,related,word,word,0.239586204420697
érkezés,indulás,related,word,word,0.444150065162374
erő,kényszerítés,related,word,word,0.254645282712968
erő,energia,related,word,word,0.510946931440993
erős,gyenge,related,word,word,0.548047717021264
érték,ár,related,word,word,0.354897146230715
értékes,fontos,related,word,word,0.555179214781513
érzékelő,adó,related,word,word,0.260335331342318
esik,összeomlás,related,word,word,0.150395873442311
esküszik,eskü,related,word,word,0.446067421392625
eső,hó,related,word,word,0.582450994916209
ésszerűtlen,felelőtlen,related,word,word,0.505489274195222
eszköz,hangszer,related,word,word,0.392180162534679
étel,étkezés,related,word,word,0.528812925507235
évforduló,születésnap,related,word,word,0.703102849279791
evolúció,mutáció,related,word,word,0.561973717772145
ezer,száz,related,word,word,0.712928591170095
ezred,zászlóalj,related,word,word,0.638157351516225
fahéj,vanília,related,word,word,0.601044015620079
fájl,dokumentum,related,word,word,0.475274540097504
fal,kerítés,related,word,word,0.465611089273331
falatozás,ebéd,related,word,word,0.450164764389083
fáradt,éhes,related,word,word,0.573335977698756
fázis,időszak,related,word,word,0.41925656176376
fehér,fekete,related,word,word,0.793770839427727
fehérje,vitamin,related,word,word,0.553183700471712
fél,negyed,related,word,word,0.435534757226758
feladat,küldetés,related,word,word,0.553165553281953
felelősség,kötelesség,related,word,word,0.501238680997955
felhő,köd,related,word,word,0.513965138698447
felnőtt,szülő,related,word,word,0.398342408632743
felség,fenség,related,word,word,0.767309761857132
felső,alsó,related,word,word,0.75268408814835
superman,batman,related,word,word,0.618531179777742
felszerelés,felszerel,related,word,word,0.709865157191656
felület,állomás,related,word,word,0.259288229832197
féreg,kígyó,related,word,word,0.438458642817249
férfi,emberi,related,word,word,0.216067835160321
férfi,női,related,word,word,0.461733912768368
férj,feleség,related,word,word,0.879374648944403
festék,rajzol,related,word,word,0.260841419681022
fészek,tojás,related,word,word,0.406600354474133
feszültség,depresszió,related,word,word,0.352340653229646
figyelem,üzenet,related,word,word,0.187100290607889
figyelem,vonz,related,word,word,0.121508545880957
filmelőzetes,vád,related,word,word,
filozófia,vallás,related,word,word,0.528898029445115
fiúk,lányok,related,word,word,0.807498857135486
fizika,matematika,related,word,word,0.697111085563784
főiskola,egyetem,related,word,word,0.728499425480479
fokhagyma,hagyma,related,word,word,0.782079886883903
fókusz,sűrítmény,related,word,word,0.225245146196205
föld,repül,related,word,word,0.128758095527575
földrengés,robbanás,related,word,word,0.589619493333356
folyamat,eljárás,related,word,word,0.60112142771584
folyékony,folyadék,related,word,word,0.435915642100643
folyó,tó,related,word,word,0.549393198478927
folytassa,folytatni,related,word,word,0.645357819504088
font,dollár,related,word,word,0.597346286814881
fontolgat,gondol,related,word,word,0.289239847717478
fordulat,forog,related,word,word,0.306851012647552
csip,eszköz,related,word,word,0.323562908552728
forma,jel,related,word,word,0.191058216640896
forrás,informátor,related,word,word,0.38701647094426
forró,hideg,related,word,word,0.550611606613669
főváros,város,related,word,word,0.582411308132692
frekvencia,jel,related,word,word,0.414064660511838
friss,frissítés,related,word,word,0.334472703654634
függő,végrehajtás,related,word,word,0.0353149759805657
fuss,séta,related,word,word,0.170626034531403
füst,szivar,related,word,word,0.342004158487024
gabona,liszt,related,word,word,0.473378360760169
garancia,ígéret,related,word,word,0.384781671664698
gáz,üzemanyag,related,word,word,0.418931985530927
gazda,munkás,related,word,word,0.279781766217475
generátor,reaktor,related,word,word,0.606485532825589
gerinc-,hasi,related,word,word,
gesztus,törvény,related,word,word,0.191633281982747
golf,tenisz,related,word,word,0.575889078257898
gomb,nyomja meg,related,word,word,
gonosz,kegyetlenség,related,word,word,0.373745049219346
gratulál,üdvözöl,related,word,word,0.402568754547224
szokás,gyakorlat,related,word,word,0.322271176777794
gyár,termelés,related,word,word,0.397755648901614
gyémánt,ékszer,related,word,word,0.575664330767788
öldöklő,gyilkos,related,word,word,0.390909613952352
gyomor,mellkas,related,word,word,0.436892262921606
győzelem,vereség,related,word,word,0.702132337738407
gyűjt,összegyűjt,related,word,word,0.632058499384333
gyűlöl,szerelem,related,word,word,0.203724266194894
gyűrű,nyaklánc,related,word,word,0.664519247122633
háború,csata,related,word,word,0.641742715184009
haditengerészeti,flotta,related,word,word,0.528604388451933
hadműveleti,funkcionális,related,word,word,0.238007488191225
haj,szakáll,related,word,word,0.590322039459756
hajtás,lovagol,related,word,word,0.185463869543125
halál,eltűnés,related,word,word,0.316443264195048
szörnyű,halálos,related,word,word,0.317205555378143
hálás,köszönet,related,word,word,0.519897990108244
hallgat,hall,related,word,word,0.444707132598895
hálózat,rendszer,related,word,word,0.525393500580837
hamisítvány,hamis,related,word,word,0.616409272861861
hamu,por,related,word,word,0.545447504578469
hang,hangsúly,related,word,word,0.290654243052626
harag,düh,related,word,word,0.777793851179738
küzdelem,harc,related,word,word,0.785302384459729
harmadik,negyedik,related,word,word,0.864713506086194
hasmenés,hányinger,related,word,word,0.626442472785466
hasonló,különböző,related,word,word,0.467419763968755
hasznos,hatékony,related,word,word,0.425898569229906
határozottan,erősen,related,word,word,0.396728884510856
hatásos,elképesztő,related,word,word,0.232621170812203
haver,tesó,related,word,word,0.80473839957997
ház,lakás,related,word,word,0.663895510727625
hazugság,hazug,related,word,word,0.588363879666144
magaslat,hegy,related,word,word,0.413713040519996
helló,viszlát,related,word,word,0.505705827259091
hely,elhelyezkedés,related,word,word,0.304712194735098
helyettesít,helyettes,related,word,word,0.600490799174542
helyzet,válság,related,word,word,0.305119960604535
hercegnő,herceg,related,word,word,0.703043475369747
hétfő,kedd,related,word,word,0.707055268520444
hiábavaló,értéktelen,related,word,word,0.359358842760591
tévedés,hiba,related,word,word,0.689829708316277
híd,alagút,related,word,word,0.474672294296584
hirdető,marketing,related,word,word,0.236492133795848
híres ember,csillag,related,word,word,
hirtelen,váratlanul,related,word,word,0.57105642492795
kredit,hitel,related,word,word,0.369025592905866
hívás,telefon,related,word,word,0.507283170902087
hivatalosan,hivatalos,related,word,word,0.565143791881411
hízeleg,lenyűgöz,related,word,word,0.274443865663576
hő,hőfok,related,word,word,0.478709263841479
hobbi,sport,related,word,word,0.404866131096294
hold,nap,related,word,word,0.359181297101002
hold-,nap-,related,word,word,
holnap,reggel,related,word,word,0.474428678689556
hónap,hét,related,word,word,0.653924516890407
horgony,vitorla,related,word,word,0.531383201794395
hormon,adrenalin,related,word,word,0.533078107071103
hős,megmentő,related,word,word,0.567457122613397
hozza,küld,related,word,word,0.28271727831985
húga,fiú testvér,related,word,word,
hurrikán,tornádó,related,word,word,0.62456944179954
hűség,odaadás,related,word,word,0.565464094340383
hűség,őszinteség,related,word,word,0.6013128091689
lojális,hűséges,related,word,word,0.731515733467449
hüvely,hímvessző,related,word,word,0.397967722665158
ideál,tökéletes,related,word,word,0.426268357765911
ideg,izom,related,word,word,0.522592906363052
idősebb,junior,related,word,word,0.129669911422596
ifjúság,gyermekkor,related,word,word,0.407252062758534
igaz,igazi,related,word,word,0.301552025093048
igazságtalanság,tisztességtelen,related,word,word,0.387310125365905
igény,kérés,related,word,word,0.31330929702476
ijedős,hátborzongató,related,word,word,0.284037893456607
illegális,jogi,related,word,word,0.136888394755558
illúzió,hallucináció,related,word,word,0.375139746529614
impulzus,nyomás,related,word,word,0.289778758960718
incidens,baleset,related,word,word,0.525158784476574
indíték,alibi,related,word,word,0.472527129521808
influenza,betegség,related,word,word,0.580256253025429
ing,dzseki,related,word,word,0.543393774527781
ingatlan,tulajdonos,related,word,word,0.401835408332177
inspirál,ihlet,related,word,word,0.442227692643339
internet,webes,related,word,word,0.463933348661362
invázió,támadás,related,word,word,0.568367639100964
ipar,üzleti,related,word,word,0.260518745884634
irányelv,politikus,related,word,word,0.216528676086443
irányítás,közigazgatási,related,word,word,0.257211076621837
iránytű,térkép,related,word,word,0.538646545799096
irigy,mérges,related,word,word,0.479276562108382
irónia,ironikus,related,word,word,0.409262799456548
isten,isteni,related,word,word,0.377857147684643
ital,sör,related,word,word,0.646971571928231
itt,ott,related,word,word,0.707080412108036
íz,szag,related,word,word,0.493991517396938
izgalmas,érdekes,related,word,word,0.653497615664783
ízletes,finom,related,word,word,0.624287305190487
jármű,autó,related,word,word,0.674558082746847
játék,"játszma, meccs",related,word,word,
ajánl,javasol,related,word,word,0.523358561667918
javít,javítás,related,word,word,0.544043461275235
jegy,útlevél,related,word,word,0.449454422527864
jelenlegi,elektromosság,related,word,word,0.0669686935742929
jelenlét,hiány,related,word,word,0.352839863524922
jelenség,esemény,related,word,word,0.515745823741268
jelentés,fontosság,related,word,word,0.24971952606626
jelentés,tájékoztat,related,word,word,0.365664274822016
csekkol,ellenőriz,related,word,word,0.490204357845893
jelölt,szavazó,related,word,word,0.482582207492986
jelvény,egyenruha,related,word,word,0.542647074288613
jó,rossz,related,word,word,0.637346617729279
jobb,bal,related,word,word,0.493991874180766
jóga,masszázs,related,word,word,0.524939812306089
jogász,ügyész,related,word,word,0.443089041568932
joghatóság,hatóság,related,word,word,0.732526657672635
jövő,múlt,related,word,word,0.573858773477173
józan,részeg,related,word,word,0.47722663571389
június,július,related,word,word,0.685394308493704
jutalék,bizottság,related,word,word,0.15763411544782
kábel,huzal,related,word,word,0.505315987788849
kabin,fedélzet,related,word,word,0.567951900784845
kaliber,golyó,related,word,word,0.541723631249861
kalóz,tengerész,related,word,word,0.471743651232516
kamera,mikrofon,related,word,word,0.530790673771714
kampány,választás,related,word,word,0.433479506771653
kanál,villa,related,word,word,0.410703602560062
kanapé,ágy,related,word,word,0.58017392199565
kancellár,elnök,related,word,word,0.419087315326957
káosz,zavar,related,word,word,0.230801521199991
kapacitás,képesség,related,word,word,0.463630095023315
kapcsolat,barátság,related,word,word,0.567891892838225
kapcsolatba lépni,kapcsolat,related,word,word,
kapszula,szonda,related,word,word,0.469194529913223
karácsony,ünnep,related,word,word,0.644893408372564
karakter,személyiség,related,word,word,0.473047768897368
karcolás,zúzódás,related,word,word,0.620812125539706
kard,kés,related,word,word,0.569183609755919
karnevál,fesztivál,related,word,word,0.57223329282838
karrier,hírnév,related,word,word,0.42133191850352
katolikus,keresztény,related,word,word,0.637058778403733
katona,harcos,related,word,word,0.555852281488553
kém,áruló,related,word,word,0.52277669601438
rágós,kemény,related,word,word,0.314695757528134
kémia,biológia,related,word,word,0.636731352605644
kémiai,biológiai,related,word,word,0.555260321678404
kémkedés,szabotázs,related,word,word,0.509181327426783
kényelmes,kellemes,related,word,word,0.529504403152909
kényelmetlen,kellemetlen,related,word,word,0.678449408555362
kenyér,sajt,related,word,word,0.611215341104514
kép,fénykép,related,word,word,0.768113813277507
képernyő,monitor,related,word,word,0.574706947745018
galéria,kiállítás,related,word,word,0.540445313933626
képtelenség,képtelen,related,word,word,0.726735144498439
képzelet,kreativitás,related,word,word,0.387826091104573
kérdés,kérdez,related,word,word,0.343982871698297
kerek,körül,related,word,word,0.289028300620935
keresés,megtalálja,related,word,word,0.288920204872151
kereskedelmi,kereskedő,related,word,word,0.561351901573283
keskeny,széles,related,word,word,0.563166263326873
késő,korai,related,word,word,0.462218356088071
kész,készít,related,word,word,0.249609829139693
készít,tegye,related,word,word,0.106032216858158
készítmény,tervezés,related,word,word,0.266520553234322
készpénz,pénz,related,word,word,0.648450524738532
két,négy,related,word,word,0.722813885554171
ketchup,majonéz,related,word,word,0.580811927456105
kétség,gyanúsított,related,word,word,0.177366026852941
kettős,hármas,related,word,word,0.382242308534004
kéz,kar,related,word,word,0.483139232592307
kezel,sikerül,related,word,word,0.102369240608722
ki,valamiről,related,word,word,0.0705031885594497
kijárat,bejárat,related,word,word,0.746123292559171
kilátás,perspektíva,related,word,word,0.355583822815707
kiló,gramm,related,word,word,0.619562867160335
kilométer,méter,related,word,word,0.739414178341755
kín,kínzás,related,word,word,0.52396509328738
kincs,jólét,related,word,word,0.277194778921348
kinyilatkoztatás,látomás,related,word,word,0.370959322880286
királyi,királyság,related,word,word,0.40766783123973
királynő,király,related,word,word,0.663184563075199
kis,kicsi,related,word,word,0.477134652816208
kíséret,kísérő,related,word,word,0.606999390659058
kísérlet,teszt,related,word,word,0.469851862594005
kiváló,nagy,related,word,word,0.207368574044075
kiváltság,becsület,related,word,word,0.412300224477743
kivételes,figyelemre méltó,related,word,word,
kívül,belül,related,word,word,0.632340287839222
klán,család,related,word,word,0.554670704856652
klub,rúd,related,word,word,0.224074808486536
kockázat,veszély,related,word,word,0.576588654899872
kockázatos,veszélyes,related,word,word,0.661947620425682
kocsma,étterem,related,word,word,0.511564524581055
kód,jelszó,related,word,word,0.571230007667313
köhögés,láz,related,word,word,0.537234081574507
kokain,heroin,related,word,word,0.770499740197184
kolléga,barát,related,word,word,0.517140163248537
kolónia,szövetség,related,word,word,0.303859455583057
költő,író,related,word,word,0.565075776221511
költségvetés,finanszírozás,related,word,word,0.529015817627176
kombináció,keverék,related,word,word,0.375631740120679
koncepció,meghatározás,related,word,word,0.388741064176592
konferencia,találkozó,related,word,word,0.566354833189701
konfliktus,vita,related,word,word,0.502673533225559
konkrét,acél,related,word,word,0.105670309252713
tépett,vágott,related,word,word,0.49245364341679
könyörületes,nagylelkű,related,word,word,0.569231636351172
könyvtár,múzeum,related,word,word,0.523815943183641
konzervatív,liberális,related,word,word,0.657009573819497
koporsó,temetés,related,word,word,0.55036009748239
kör,háromszög,related,word,word,0.385047233738831
kórház,klinika,related,word,word,0.665213425539398
kormányzó,szenátor,related,word,word,0.619831751266325
környezet,légkör,related,word,word,0.482538539970565
köröm,fog,related,word,word,0.128193621123753
korona,trón,related,word,word,0.490249070271528
kosárlabda,futball,related,word,word,0.703080862922673
kötődik,nyakkendő,related,word,word,0.201363853466357
kövesse,üldözés,related,word,word,0.188022124872498
következtetés,feltevés,related,word,word,0.500288386835343
közel,messze,related,word,word,0.46252275724969
közvetlen,közvetlenül,related,word,word,0.829367830366857
krém,szósz,related,word,word,0.461278625092562
kritikai,politikai,related,word,word,0.643962211041126
kulcs,zár,related,word,word,0.435875162648474
extra,további,related,word,word,0.242417146831208
különleges,egyedi,related,word,word,0.528390685096682
kultúra,civilizáció,related,word,word,0.583752209589777
kürt,síp,related,word,word,0.420320830425235
kutatás,tanulmány,related,word,word,0.559345513086859
kutya,macska,related,word,word,0.658499345314667
lámpa,gyertya,related,word,word,0.528064614348332
lánc,kötél,related,word,word,0.504977106265666
lány,fiú,related,word,word,0.735057447829679
lánya,fia,related,word,word,0.730361352475269
lasagna,spagetti,related,word,word,0.548371634246565
lassan,gyorsan,related,word,word,0.487906826851537
lassú,gyors,related,word,word,0.608154449439434
lát,találkozik,related,word,word,0.294129365764959
le,fel,related,word,word,0.377876524949836
legénység,hajó,related,word,word,0.598843127666323
légió,hadsereg,related,word,word,0.380613950127508
lehetetlen,könnyen,related,word,word,0.208719998170285
lehetővé teszi,enged,related,word,word,
lehetséges,tehetség,related,word,word,0.240217694064436
leír,kifejez,related,word,word,0.378773841967903
lélek,szellem,related,word,word,0.570997813752735
lelkesedés,szenvedély,related,word,word,0.56575601521261
lemondás,elbocsátás,related,word,word,0.447937858034461
leszállás,repülési,related,word,word,0.408881927112257
leszbikus,meleg,related,word,word,0.47361582545847
levegő,oxigén,related,word,word,0.569166986642856
levél,fax,related,word,word,0.322513908418667
leves,saláta,related,word,word,0.606899160901417
liba,kacsa,related,word,word,0.417859464345618
liga,csapat,related,word,word,0.309198117404049
limonádé,szóda,related,word,word,0.546241080362334
lop,rabol,related,word,word,0.574125481235574
lopás,rablás,related,word,word,0.633600899196924
lord,hölgy,related,word,word,0.13973843542617
lovasság,tüzérségi,related,word,word,0.401660308067164
lövés,lő,related,word,word,0.462417474965152
ma,tegnap,related,word,word,0.632714535851093
maffia,kartell,related,word,word,0.534821355958971
magán,magánélet,related,word,word,0.250635568593788
mágneses,elektromos,related,word,word,0.505708954708079
magyarázat,valószínű,related,word,word,0.20434859791745
majom,gorilla,related,word,word,0.536149633056286
makacs,önző,related,word,word,0.529730274457347
már,még mindig,related,word,word,
támasz,marad,related,word,word,0.182863810902072
maraton,verseny,related,word,word,0.402353095035163
márka,termék,related,word,word,0.501066406426641
mars,vénusz,related,word,word,0.565749277459684
máshol,valahol,related,word,word,0.467052081634429
második,perc,related,word,word,0.0126562858112323
másodlagos,elsődleges,related,word,word,0.56545815583932
mászik,ugrás,related,word,word,0.252561357066843
medve,farkas,related,word,word,0.616624614469063
megelőz,megállít,related,word,word,0.501911988193541
megbocsát,mentség,related,word,word,0.162217075383253
megbocsátás,kegyelem,related,word,word,0.609415113167365
megérdemel,méltó,related,word,word,0.373988661472136
megérkezik,jön,related,word,word,0.472765736929682
megerősítés,megerősít,related,word,word,0.654803721473553
megfelelő,becsületes,related,word,word,0.245289755271992
megfigyelés,értékelés,related,word,word,0.464227284813059
megfullad,úszás,related,word,word,0.310833254047529
meghallgatás,próba,related,word,word,0.491469147582586
rémület,megijeszt,related,word,word,0.334026923373252
megjegyzés,nyilatkozat,related,word,word,0.454114236284425
meglepetés,csalódás,related,word,word,0.429366375333303
megőrzik,karbantart,related,word,word,
megragad,fogás,related,word,word,0.162275193849987
megszakít,megzavar,related,word,word,0.435707642313046
megszüntet,eltávolít,related,word,word,0.363529391697991
megtagadja,elfogad,related,word,word,0.36553048071625
megvesz,elad,related,word,word,0.64678991221832
megveszteget,zsarolás,related,word,word,0.369380671632049
megvizsgálni,megvizsgál,related,word,word,0.812949140026501
megye,kerület,related,word,word,0.497471456867067
méh,hangya,related,word,word,0.40531917588945
meleg,hűvös,related,word,word,0.469607985048383
óvóhely,menedék,related,word,word,0.523830572293534
menedzser,főnök,related,word,word,0.474592317363157
menekülni,szökés,related,word,word,0.334244822961249
menekült,szökevény,related,word,word,0.445074949900427
mennyiség,minőség,related,word,word,0.454427109459472
mentés,megment,related,word,word,0.239526830436303
mentőautó,helikopter,related,word,word,0.563315176658971
méreg,megöl,related,word,word,0.307655548660372
méret,hossz,related,word,word,0.377082533590669
mérföld,centiméter,related,word,word,0.442891559660413
mérnök,építészmérnök,related,word,word,0.785910078392353
egység,osztály,related,word,word,0.401073466550954
meztelen,pucér,related,word,word,0.723719845549337
millió,milliárd,related,word,word,0.77147305113852
milliomos,vállalkozó,related,word,word,0.333194432342063
mindig,állandóan,related,word,word,0.577039566023718
ming,ling,related,word,word,0.601277241397464
minimális,maximális,related,word,word,0.651595552465988
mit,hogy,related,word,word,0.281834435157943
mítosz,legenda,related,word,word,0.575038102559923
modell,prototípus,related,word,word,0.459560757878506
modern,hagyományos,related,word,word,0.409075343850491
módszer,technika,related,word,word,0.491078405056471
mókus,mosómedve,related,word,word,0.49986431399069
beszél,mond,related,word,word,0.280949094799522
mosoly,nevetés,related,word,word,0.544383917860732
most,tud,related,word,word,0.184930636858015
mozi,színház,related,word,word,0.506536060749583
