"bg_cue","bg_target","type","cue_type","target_type","bg_cosine"
"уиски","водка","related","word","word",0.636943791884568
"въглерод","водород","related","word","word",0.679911426804531
"граждански","военни","related","word","word",0.37999553034505
"войник","войн","related","word","word",0.61005175858256
"лаская","впечатлявам","related","word","word",0.512109026229596
"прозорец","вратичка","related","word","word",0.358524725732027
"обвързвам","вратовръзка","related","word","word",0.249681326106033
"рана","вреда","related","word","word",0.306106668455568
"контакт","връзка","related","word","word",0.472022936224991
"обратно","връщане","related","word","word",0.392271032985196
"вече","все още","related","word","word",NA
"в понеделник","вторник","related","word","word",NA
"изход","вход","related","word","word",0.562638948601453
"днес","вчера","related","word","word",0.626148382530578
"верига","въже","related","word","word",0.326026531210349
"шанс","възможност","related","word","word",0.689605589492585
"мечка","вълка","related","word","word",0.455772407735402
"вътрешен","външен","related","word","word",0.55516652394018
"навън","вътре","related","word","word",0.541918487495177
"надявам се","вяра","related","word","word",NA
"доверие","вярвам","related","word","word",0.409308497063051
"диария","гадене","related","word","word",0.586833088234162
"лимонада","газирани напитки","related","word","word",NA
"вселена","галактика","related","word","word",0.460046567755288
"семинар","гараж","related","word","word",0.18008941012601
"лесбийки","гей","related","word","word",0.586869419923421
"състрадателен","генерал","related","word","word",0.16783568391527
"уморен","гладен","related","word","word",0.621019763941099
"мнозинство","гласуване","related","word","word",0.553650619887116
"виж","гледам","related","word","word",0.287078998845442
"гражданин","глобален","related","word","word",0.185158917545845
"наивни","глупак","related","word","word",0.330028760722594
"лудост","глупост","related","word","word",0.591825221575522
"сляп","глух","related","word","word",0.622427049017718
"изпускайте","глътка","related","word","word",0.150641433587832
"говоря","говоря","related","word","word",1
"яд","гол","related","word","word",0.140576016932984
"последвам","гонитба","related","word","word",0.245055040952078
"джунглата","гора","related","word","word",0.512806425881387
"нисък","горен","related","word","word",0.284538420976149
"газ","гориво","related","word","word",0.497453301946812
"маймуна","горила","related","word","word",0.584412634357424
"готвач","готвач","related","word","word",1
"топло","готино","related","word","word",0.340835616820396
"кражба","грабя","related","word","word",0.228737924387075
"столица","град","related","word","word",0.465325254765864
"килограм","грам","related","word","word",0.535139176364327
"сензационен","грандиозен","related","word","word",0.461557998892774
"календар","график","related","word","word",0.393050755686254
"барон","графиня","related","word","word",0.464989756403886
"грешка","грешка","related","word","word",1
"гроб","гробище","related","word","word",0.553344376104489
"изсушаване","грозливо","related","word","word",NA
"банда","група","related","word","word",0.698589976195483
"стомах","гръден кош","related","word","word",NA
"светкавица","гръм","related","word","word",0.507045390029084
"романски","гръцки","related","word","word",0.51644834335449
"жаба","гущер","related","word","word",0.488556288179765
"добре","да","related","word","word",0.287709781983505
"оферта","давам","related","word","word",0.161957571453807
"лорд","дама","related","word","word",0.203516962387066
"близо до","дамски","related","word","word",NA
"благотворителност","дарение","related","word","word",0.566314739410581
"резервоар","двигател","related","word","word",0.473372645846149
"тънка","дебела","related","word","word",0.479877856574762
"отговорност","дежурство","related","word","word",0.252821343318172
"активен","дейност","related","word","word",0.330089424735863
"ноември","декември","related","word","word",0.73817105411309
"свобода","демокрация","related","word","word",0.488860281366675
"протест","демонстрация","related","word","word",0.440603601079242
"стреса","депресия","related","word","word",0.410657534164277
"век","десетилетие","related","word","word",0.405078532779044
"бебе","дете","related","word","word",0.726864373019678
"агент","детектив","related","word","word",0.460512031345259
"младежта","детство","related","word","word",0.191518816172949
"концепция","дефиниция","related","word","word",0.440915854376795
"ромео","джулиет","related","word","word",0.283175379284187
"мерна единица","дивизия","related","word","word",NA
"барут","динамит","related","word","word",0.495450805642359
"производител","директор","related","word","word",0.277440710124264
"разговор","дискусия","related","word","word",0.477360965036549
"доброволци","доброволно","related","word","word",0.397191526674023
"уважение","доверие","related","word","word",0.496527653580091
"доказателства","доказателство","related","word","word",0.794906183247032
"файл","документ","related","word","word",0.484313673585392
"паунд","долар","related","word","word",0.46782466559425
"пустинен","долината","related","word","word",0.317694644749497
"картофи","домат","related","word","word",0.536992079446345
"бавачка","домашна прислужница","related","word","word",NA
"екстра","допълнителен","related","word","word",0.371287333041116
"достатъчно","достатъчно","related","word","word",1
"заслужават","достоен","related","word","word",0.39592095393554
"гордост","достойнство","related","word","word",0.505725250188439
"печалба","доход","related","word","word",0.492995057470867
"задника","дупето","related","word","word",0.678766755243466
"пукнатина","дупка","related","word","word",0.512842964983026
"душа","дух","related","word","word",0.380088387140217
"гълъл","дъвча","related","word","word",NA
"гъска","дък","related","word","word",0.155222204609102
"къс","дълго","related","word","word",0.200292021156748
"размер","дължина","related","word","word",0.435216289678444
"връх","дъно","related","word","word",0.206021598266764
"буш","дърво","related","word","word",0.0970395056547975
"федерален","държава","related","word","word",0.227225851301598
"ръждясал","дъсти","related","word","word",0.153832341797059
"ангел","дявол","related","word","word",0.407096385150805
"скъпи","евтини","related","word","word",0.363736696471781
"инат","егоистичен","related","word","word",0.471126775567199
"движение","езда","related","word","word",0.160962160027138
"река","езеро","related","word","word",0.54759697895472
"висящ","екзекуция","related","word","word",0.115451151237128
"лига","екип","related","word","word",0.234338333516325
"бомба","експлозивни","related","word","word",0.486491083817083
"земетресение","експлозия","related","word","word",0.502959171949335
"описвам","експрес","related","word","word",0.127297027489108
"моден","елегантен","related","word","word",0.480614415716469
"магнитен","електрически","related","word","word",0.521271986166738
"текущ","електричество","related","word","word",0.0895482362017538
"фактор","елемент","related","word","word",0.455061800871044
"психически","емоционален","related","word","word",0.479107354362078
"власт","енергия","related","word","word",0.282992905493658
"чума","епидемия","related","word","word",0.636677966600824
"серия","епизод","related","word","word",0.313914028777032
"организъм","ерекция","related","word","word",0.208700389642136
"пролет","есен","related","word","word",0.692623588141011
"въздействие","ефект","related","word","word",0.52230217818665
"полезен","ефективно","related","word","word",0.303647220067062
"глад","жажда","related","word","word",0.609512925243842
"жалък","жалко","related","word","word",0.236617016763284
"вдовица","жена","related","word","word",0.493124039505915
"единичен","женен","related","word","word",0.142221927409856
"мъжки","женски пол","related","word","word",NA
"брутал","жестоко","related","word","word",0.341567116808995
"зъл","жестокост","related","word","word",0.221855231126104
"звънец","животно","related","word","word",0.18031662860816
"репортер","журналист","related","word","word",0.783228335190415
"червен","жълт","related","word","word",0.665084170394202
"остроумен","забавен","related","word","word",0.625642517717564
"изключителен","забележителен","related","word","word",0.773333885066664
"забранен","забрана","related","word","word",0.624020119028771
"вечен","завинаги","related","word","word",0.337295274861591
"договор","завъртане","related","word","word",0.063385471669392
"диплома","завършвам","related","word","word",0.353338902088894
"край","завършек","related","word","word",0.433007097023642
"име","заглавие","related","word","word",0.416703754347949
"лисица","заек","related","word","word",0.489923831097285
"кредит","заем","related","word","word",0.691781951502687
"откриване","закриване","related","word","word",0.638815583481814
"вечеря","закуска","related","word","word",0.649960682310649
"заместник","заместител","related","word","word",0.531680969081778
"опитвам","замисъл","related","word","word",0.123227924033144
"стопяване","замръзвам","related","word","word",0.278740965765822
"дворец","замък","related","word","word",0.650418962245025
"южен","западна","related","word","word",0.419891743087552
"рекорд","записване","related","word","word",0.199879111433957
"търсенето","запитване","related","word","word",0.24794118308779
"пенсия","заплата","related","word","word",0.56911143665591
"съмнение","заподозрян","related","word","word",0.207556841794547
"клетка","затвор","related","word","word",0.356019086043221
"заключен","затворен","related","word","word",0.745467535058742
"заложник","затворник","related","word","word",0.47736180488804
"защита","защитавам","related","word","word",0.481935389304011
"знаменитост","звезда","related","word","word",0.514392781159043
"шум","звук","related","word","word",0.578551486735617
"лято","зима","related","word","word",0.563740676167198
"инцидент","злополука","related","word","word",0.726061310066332
"червей","змия","related","word","word",0.464641818597879
"разпознава","знаех","related","word","word",0.10105369306191
"форма","знак","related","word","word",0.170966900503633
"опит","знание","related","word","word",0.298855875654682
"значение","значение","related","word","word",1
"сега","зная","related","word","word",0.305097700145731
"площ","зона","related","word","word",0.465587909096846
"залез","зората","related","word","word",0.350938488442987
"нокти","зъб","related","word","word",0.373505760937649
"играя","игра","related","word","word",0.581845374618941
"треньор","играч","related","word","word",0.534950708257199
"кукла","играчка","related","word","word",0.603180097614803
"пристигам","идвам","related","word","word",0.61358574517072
"глупак","идиот","related","word","word",0.820491541154252
"избирам","изберете","related","word","word",0.594775230330984
"кандидат","избирател","related","word","word",0.490895410151037
"кампания","избори","related","word","word",0.387732666020077
"популярен","известен","related","word","word",0.583206750809912
"прощавам","извинение","related","word","word",0.363047334408377
"нло","извънземно","related","word","word",0.509469005549062
"строителство","изграждане","related","word","word",0.543846409735805
"бутане","издърпайте","related","word","word",0.32166762796518
"естествено","изкуствен","related","word","word",0.258925459587168
"галерия","изложба","related","word","word",0.662874218035398
"конспирация","измама","related","word","word",0.566540655450055
"подкуп","изнудване","related","word","word",0.584291072678929
"оставям","изоставен","related","word","word",0.234872642342564
"донасям","изпращане","related","word","word",0.19657231787331
"мъка","изтезание","related","word","word",0.214929634890308
"запад","изток","related","word","word",0.898132268992876
"шампион","изтребител","related","word","word",0.229177368031196
"смърт","изчезване","related","word","word",0.288358994858044
"броя","изчисли","related","word","word",0.314305679838338
"коментар","изявление","related","word","word",0.514888634005032
"империал","император","related","word","word",0.262959715472841
"династия","империя","related","word","word",0.553112135034212
"финанси","инвестирам","related","word","word",0.344437954588052
"банкер","инвеститор","related","word","word",0.514774032732448
"човек","индивидуален","related","word","word",0.239488387825252
"доза","инжекция","related","word","word",0.558712461356189
"преглед","инспекция","related","word","word",0.466586705312688
"инструмент","инструмент","related","word","word",1
"източник","интелигентен","related","word","word",0.159208370329677
"умни","интелигентен","related","word","word",0.452353348986462
"вълнуващ","интересно","related","word","word",0.42104975063583
"личен","интимен","related","word","word",0.470005146092524
"инстинкт","интуиция","related","word","word",0.535375055892729
"вирус","инфекция","related","word","word",0.508734193048361
"данни","информация","related","word","word",0.589867905269467
"доклад","информирам","related","word","word",0.327930221646992
"ирония","ироничен","related","word","word",0.59315841974508
"казвам","казвам","related","word","word",1
"джип","камион","related","word","word",0.650599420246438
"рок","камъка","related","word","word",0.086463856502078
"анархия","капитализъм","related","word","word",0.446917040071332
"командир","капитан","related","word","word",0.620122255478438
"епископ","кардинал","related","word","word",0.604336824883494
"компас","карта","related","word","word",0.354012740975778
"мафия","картел","related","word","word",0.485486125454739
"родео","каубой","related","word","word",0.448669760148738
"купа","кафе","related","word","word",0.202513798914061
"количество","качество","related","word","word",0.548757695196835
"кабинет","килер","related","word","word",0.497231968504167
"етаж","килим","related","word","word",0.259601397294812
"въздух","кислород","related","word","word",0.606365389146414
"пиано","китарист","related","word","word",0.425315211804586
"типичен","класик","related","word","word",0.215188724448782
"закълни се","клетва","related","word","word",NA
"търпелив","клиент","related","word","word",0.209253958570729
"болница","клиника","related","word","word",0.71460544919244
"ключ","ключалка","related","word","word",0.60375373743388
"шериф","кмет","related","word","word",0.567036743926323
"библията","книга","related","word","word",0.477247972593821
"превозно средство","кола","related","word","word",NA
"сума","количество","related","word","word",0.288170309040566
"рамо","коляно","related","word","word",0.459091018109043
"драма","комедия","related","word","word",0.604784153966291
"инспектор","комисар","related","word","word",0.640544970481905
"комисия","комитет","related","word","word",0.596369149273082
"софтуер","компютър","related","word","word",0.576732542075038
"навигация","комуникация","related","word","word",0.483814914097778
"расистки","комунистически","related","word","word",0.4927394855135
"магаре","кон","related","word","word",0.456731267890311
"право","конституция","related","word","word",0.283959901677631
"фокус","концентрат","related","word","word",0.276684249206994
"обиколка","концерт","related","word","word",0.227176859798358
"ром","коняк","related","word","word",0.560090658126628
"оригинал","копие","related","word","word",0.442478164870477
"екипаж","кораб","related","word","word",0.590087710383338
"гръбначния стълб","коремна","related","word","word",NA
"търговско дружество","корпорация","related","word","word",NA
"тяло","корпус","related","word","word",0.145091496463399
"охлюв","костенурка","related","word","word",0.49997369311743
"кучета","котка","related","word","word",0.451683055953623
"финал","край","related","word","word",0.301667651406619
"кралица","крал","related","word","word",0.703891087984243
"красива","красив","related","word","word",0.643678245205304
"чар","красота","related","word","word",0.421377094064669
"ситуация","криза","related","word","word",0.493497762672232
"католически","кристиян","related","word","word",0.256494451236067
"покрийте","крия","related","word","word",0.251938343042826
"продавач","купувач","related","word","word",0.596225320762235
"калибър","куршум","related","word","word",0.544423537303563
"куфарче","куфарче","related","word","word",1
"пикник","къмпинг","related","word","word",0.626626824150982
"одеяло","кърпа за баня","related","word","word",NA
"мит","легенда","related","word","word",0.572138493685845
"диван","легло","related","word","word",0.556126348143725
"сержант","лейтенант","related","word","word",0.659992590583629
"меки","лек","related","word","word",0.202032129014913
"хирург","лекар","related","word","word",0.664863640055644
"алкохол","лекарство","related","word","word",0.312699267795236
"възстановяване","лекуване","related","word","word",0.548877443380824
"семинар","лекция","related","word","word",0.491013576175815
"невъзможен","лесен","related","word","word",0.533006340164527
"терминал","летище","related","word","word",0.415533762586566
"земя","летя","related","word","word",0.181605282366478
"терапия","лечение","related","word","word",0.567263751715664
"консервативен","либерал","related","word","word",0.589817037702927
"член","лидер","related","word","word",0.458338085164528
"такси","лимузина","related","word","word",0.520081533476644
"мошеник","линг","related","word","word",0.118414114452827
"изкуство","литература","related","word","word",0.480600283840481
"речник","личност","related","word","word",0.0868996727441525
"характер","личност","related","word","word",0.395934731530477
"наказание","лишаване от свобода","related","word","word",NA
"подводница","лодка","related","word","word",0.586957293200892
"добре","лоша","related","word","word",0.269123742819998
"параноид","луд","related","word","word",0.423296184369417
"чесън","лук","related","word","word",0.648877179957421
"дракон","лъв","related","word","word",0.571463253048843
"лъжа","лъжец","related","word","word",0.420518747755806
"омраза","любов","related","word","word",0.509367031300502
"любовница","любовник","related","word","word",0.653651472424309
"магазин","магазин","related","word","word",1
"пътник","магистрала","related","word","word",0.2644427400198
"магия","магьосник","related","word","word",0.518406075048078
"татко","майка","related","word","word",0.559274262559859
"кетчуп","майонеза","related","word","word",0.654341726436464
"минимален","максимум","related","word","word",0.342124561103161
"малко","малък","related","word","word",0.240444986883094
"храм","манастир","related","word","word",0.504292589962735
"сиропиталище","манастир","related","word","word",0.46068727217436
"контрол","манипулиране","related","word","word",0.389002814682382
"реклама","маркетинг","related","word","word",0.466231017997782
"помпа","маркуч","related","word","word",0.417458772745208
"йога","масаж","related","word","word",0.546357690859266
"пчелен мед","масло","related","word","word",NA
"физика","математика","related","word","word",0.704349724845591
"робот","машина","related","word","word",0.464354855692285
"трофей","медал","related","word","word",0.509437354012137
"артефакт","медальон","related","word","word",0.437160392405017
"фаза","месечен цикъл","related","word","word",NA
"свинско","месо","related","word","word",0.650021126785991
"регионален","местни","related","word","word",0.21509089776665
"място","местоположение","related","word","word",0.375326647887522
"желязо","метален","related","word","word",0.362432781125581
"километър","метър","related","word","word",0.650412274909684
"технически","механични","related","word","word",0.405609984985615
"кошмар","мечта","related","word","word",0.416075314187174
"тоалетна","мивка","related","word","word",0.629445404765686
"катерица","миеща мечка","related","word","word",NA
"бедност","мизерия","related","word","word",0.600401659940208
"телескоп","микроскоп","related","word","word",0.654066820634967
"камера","микрофон","related","word","word",0.517579023680548
"милион","милиард","related","word","word",0.681085164458894
"прошка","милост","related","word","word",0.646146934360832
"бъдеще","минало","related","word","word",0.419508665766801
"посолство","министерство","related","word","word",0.514822524059228
"посланик","министър","related","word","word",0.550541458961923
"плюс","минус","related","word","word",0.580067453124377
"втори","минута","related","word","word",0.100717224487495
"вкус","миризма","related","word","word",0.484000425663222
"задача","мисия","related","word","word",0.631170742872431
"обмисли","мисля","related","word","word",0.264897973785233
"тайна","мистерия","related","word","word",0.417942799182038
"чисто","мия","related","word","word",0.146619590542267
"стар","млад","related","word","word",0.516258809018795
"старши","младши","related","word","word",0.56532236705613
"изключително","много","related","word","word",0.615670567625468
"вкусно","много вкусен","related","word","word",NA
"сухо","мокър","related","word","word",0.323816696563992
"момчета","момичета","related","word","word",0.783315482941762
"момиче","момче","related","word","word",0.817721095537743
"екран","монитор","related","word","word",0.537499669436397
"аспирин","морфин","related","word","word",0.58211452257343
"пират","моряк","related","word","word",0.504566675470577
"хотел","мотел","related","word","word",0.749431851468086
"пчела","мравка","related","word","word",0.56744911604338
"библиотека","музей","related","word","word",0.460838361641697
"джаз","музика","related","word","word",0.537456974154751
"певица","музикант","related","word","word",0.552186763576115
"нерв","мускул","related","word","word",0.555163951982925
"еволюция","мутация","related","word","word",0.544684209322879
"облак","мъгла","related","word","word",0.462394728493252
"жив","мъртъв","related","word","word",0.552901930441893
"бонус","награда","related","word","word",0.444091112211695
"йобел","награда","related","word","word",NA
"наемник","наемен убиец","related","word","word",NA
"наемател","наемодател","related","word","word",0.670687902537631
"всъщност","наистина ли","related","word","word",NA
"дясно","наляво","related","word","word",0.732837216584961
"нараства","намаляване","related","word","word",0.448336926785904
"предназначение","намерение","related","word","word",0.388767045502294
"търсене","намирам","related","word","word",0.210581193172519
"кръгъл","наоколо","related","word","word",0.202518122394882
"жертва","нападател","related","word","word",0.360038964547802
"абсолютно","напълно","related","word","word",0.671165989685966
"паяк","насекомо","related","word","word",0.496213219074939
"просто","наскоро","related","word","word",0.103581618116851
"наследство","наследство","related","word","word",1
"пулс","натиск","related","word","word",0.281897417207017
"бутон","натиснете","related","word","word",0.591058948907366
"технология","наука","related","word","word",0.511329841615243
"страна","нация","related","word","word",0.489546060058754
"небе","небесен","related","word","word",0.470235324593422
"впечатляващ","невероятно","related","word","word",0.415092302678647
"събота","неделя","related","word","word",0.820301789608056
"анонимен","неизвестен","related","word","word",0.490476478263461
"внезапно","неочаквано","related","word","word",0.704057973697443
"неудобно","неприятни","related","word","word",0.301273623173868
"притеснен","нервен","related","word","word",0.657453847721533
"неспособност","неспособна","related","word","word",0.62093774157655
"несправедливост","несправедлива","related","word","word",0.753252971396322
"нещастен","нещастие","related","word","word",0.39344332707968
"нищо","нещо","related","word","word",0.555262958991814
"хаос","нещо объркване","related","word","word",NA
"канал","новини","related","word","word",0.339785442204409
"меч","нож","related","word","word",0.598919591767407
"здрави","нормално","related","word","word",0.229751706047816
"устие","нос","related","word","word",0.236251337004321
"кърпа","носна кърпичка","related","word","word",NA
"никога","някога","related","word","word",0.469349580759618
"другаде","някъде","related","word","word",0.444790534370352
"оплакване","обвинение","related","word","word",0.437796198589238
"гаранция","обещай","related","word","word",0.251327513750873
"нормално","обикновено","related","word","word",0.378322158663937
"кражба","обир","related","word","word",0.590118489231785
"обикновен","обичайно","related","word","word",0.362451127486598
"окръг","област","related","word","word",0.430321576759703
"смущение","обличам","related","word","word",0.0414483850276061
"оборудване","оборудване","related","word","word",1
"здраве","образование","related","word","word",0.342371160032015
"зареждане","обувки","related","word","word",0.184442415764655
"общество","общност","related","word","word",0.498466940915794
"лека закуска","обяд","related","word","word",NA
"размисъл","огледало","related","word","word",0.118299196719614
"инсулт","огорчение","related","word","word",0.167992712490345
"стена","ограда","related","word","word",0.608900700614128
"голям","огром","related","word","word",0.427953376052836
"пръстен","огърлица","related","word","word",0.540114504688923
"разрешение","одобрение","related","word","word",0.516224054479718
"в морето","океан","related","word","word",NA
"септември","октомври","related","word","word",0.710793333172048
"тон","омар","related","word","word",0.106633154090952
"рискова","опасни","related","word","word",0.436270605877619
"риск","опасност","related","word","word",0.645562908244391
"профил","описание","related","word","word",0.364986223069707
"враг","опонент","related","word","word",0.463209968944078
"пресни","опресняване","related","word","word",0.365850543793431
"зелено","оранжево","related","word","word",0.673266245262179
"планета","орбита","related","word","word",0.525661094909796
"подреждане","организиране","related","word","word",0.43234797347515
"арсенал","оръжейница","related","word","word",0.369583149001093
"пистолет","оръжие","related","word","word",0.600463380948811
"престой","остават","related","word","word",0.182863962128339
"отвличане","отвличат","related","word","word",0.597220866277141
"гаден","отвратителен","related","word","word",0.738182187732339
"мръсни","отвратително","related","word","word",0.393325370355436
"отговор","отговор","related","word","word",1
"фронт","отзад","related","word","word",0.0903525734582151
"въведете","отивам","related","word","word",0.154204307324719
"похитител","откуп","related","word","word",0.496367874332831
"навън","относно","related","word","word",0.0993288326699524
"пристигане","отпътуване","related","word","word",0.562904116450321
"положителен","отрицателен","related","word","word",0.775031840536034
"присъствие","отсъствие","related","word","word",0.680629078545667
"на бюро","офис","related","word","word",NA
"официално","официален","related","word","word",0.609814898715405
"на живо","оцелея","related","word","word",NA
"наблюдение","оценка","related","word","word",0.331012065503435
"възхищавам се","оценявам","related","word","word",NA
"изчакайте","очаквам","related","word","word",0.170590123389484
"атрактивен","очарователен","related","word","word",0.649027385870268
"ясно","очевидно","related","word","word",0.258772715569706
"държа се","пазя","related","word","word",NA
"плик","пакет","related","word","word",0.556651359497801
"пръст на ръката","палец","related","word","word",NA
"кабина","палуба","related","word","word",0.44590996997216
"коприна","памук","related","word","word",0.528787212505355
"раздел","параграф","related","word","word",0.696852057060959
"църква","параклис","related","word","word",0.508488121796726
"свръхестествено","паранормално","related","word","word",0.574206420999425
"пари в брой","пари","related","word","word",NA
"код","парола","related","word","word",0.528084169377717
"рецепция","парти","related","word","word",0.157451058213181
"червило","парфюм","related","word","word",0.45964711306402
"фрагмент","парче","related","word","word",0.404919925143656
"билет","паспорт","related","word","word",0.515893573937904
"пазарство","патрул","related","word","word",NA
"влагалище","пенис","related","word","word",0.335286996786275
"радиус","периметър","related","word","word",0.541257198508403
"гледка","перспектива","related","word","word",0.350693340715823
"албум","песен","related","word","word",0.493705451471918
"въглища","петрол","related","word","word",0.491767974781246
"печалба","печеля","related","word","word",0.332722892389324
"фурна","печка","related","word","word",0.596489030786266
"астронат","пилот","related","word","word",NA
"четене","писане","related","word","word",0.650708346206792
"поет","писателка","related","word","word",0.471330734532314
"телеграма","писмо","related","word","word",0.57174078832373
"пушка","пистолет","related","word","word",0.709900198740722
"въпрос","питам","related","word","word",0.370958114782278
"прочети","пиша","related","word","word",0.335854191284082
"трезвен","пиян","related","word","word",0.576974698490282
"пожар","пламък","related","word","word",0.487892369932254
"хълм","планина","related","word","word",0.520782974325203
"подготовка","планиране","related","word","word",0.547724379080933
"цимент","пластмасов","related","word","word",0.38421840954535
"котва","платно","related","word","word",0.319919664632614
"плаша","плаша","related","word","word",1
"внук","племенник","related","word","word",0.560367898748652
"ябълка","плод","related","word","word",0.396483209958033
"купа","плоча","related","word","word",0.257114366187115
"ударение","плуване","related","word","word",0.185222645690453
"мишка","плъх","related","word","word",0.519305913791744
"парадайз","по дяволите","related","word","word",NA
"полунощ","по обяд","related","word","word",NA
"победа","победа","related","word","word",1
"загубеняк","победител","related","word","word",0.376757139438181
"становище","поведение","related","word","word",0.390783851880567
"частни","поверителност","related","word","word",0.301878048108787
"слой","повърхност","related","word","word",0.508393640529604
"копаене","погребване","related","word","word",0.450685712547501
