"bg_target","bg_cue","bg_fake_cue","bg_fake_target","en_cue","en_target"
"булка","младоженец","младожелязна","удука","groom","bride"
"буря","вятър","югтър","старя","wind","storm"
"бутилка","стъкло","евърло","бухрупка","glass","bottle"
"бърз","бавен","банал","бъcu","slow","fast"
"бързо","бавно","рисно","конзо","slowly","quickly"
"бягство","бягая","бялор","афество","flee","escape"
"в крайна сметка","накрая","наклийн","крейгйна сметка","finally","eventually"
"в общи линии","естествено","грешствено","в общи нитът","naturally","generally"
"в противен случай","противоположно","противоположнотавърът","в противен скайне","opposite","contrary"
"важно","ценна","турна","хидно","valuable","important"
"ваксина","антидот","антиутън","учебсина","antidote","vaccine"
"вампир","зомби","пичби","кийпир","zombie","vampire"
"ван","ремарке","регентке","жън","trailer","van"
"ванилия","канела","каствала","ваниголд","cinnamon","vanilla"
"вариант","избор","излио","варизвай","choice","option"
"вдлъбнатина","в гърлото","стедрлото","вдлъбнатинарастване","throat","neck"
"вдъхновение","вдъхновим","пробновим","състеновение","inspire","inspiration"
"венера","марс","маил","странера","mars","venus"
"вентилация","клапан","кланяк","вентилмоне","valve","ventilation"
"верен","лоялен","лояност","ведат","loyal","faithful"
"вероятно","вероятност","вероятствен","веросъревно","probability","likely"
"вероятно","може би","можетрос","веросъревно","maybe","probably"
"вестник","статия","рултия","влюбник","article","newspaper"
"вечерта","нощ","бещ","векраста","night","evening"
"вещица","проклятие","простортие","вестанца","curse","witch"
"взривяване","избухвам","изрудван","същевяване","burst","explode"
"видео","dvd","aхd","вилам","dvd","video"
"визия","откровение","отсъставение","виков","revelation","vision"
"вилица","лъжица","освежица","предлица","spoon","fork"
"вина","невинни","съврени","нална","innocent","guilty"
"високо","нисък","нинов","предсоко","low","high"
"височество","величество","величетохме","височетохме","majesty","highness"
"височина","тегло","екило","височинарастване","weight","height"
"витамин","протеин","стватеин","витастят","protein","vitamin"
"власт","юрисдикция","метъдикция","buаст","jurisdiction","authority"
"водка","уиски","кьоки","либка","whiskey","vodka"
"водород","въглерод","успялерод","водосъци","carbon","hydrogen"
"военни","граждански","отегдански","воуточни","civil","military"
"войн","войник","ревник","воай","soldier","warrior"
"впечатлявам","лаская","ластус","съглачатлявам","flatter","impress"
"вратичка","прозорец","прозовост","скептичка","window","door"
"вратовръзка","обвързвам","обвърсъци","вратоподдъка","bind","tie"
"вреда","рана","телна","седда","wound","injury"
"връзка","контакт","концинт","уредка","contact","connection"
"връщане","обратно","обстъпно","джощане","back","return"
"все още","вече","ключе","всепяне","already","still"
"вторник","в понеделник","в понедесулът","огърник","monday","tuesday"
"вход","изход","изсар","nyод","exit","entrance"
"вчера","днес","пьес","стъра","today","yesterday"
"въже","верига","веристич","цяже","chain","rope"
"възможност","шанс","шало","възможство","chance","possibility"
"вълка","мечка","зойка","стака","bear","wolf"
"външен","вътрешен","цифрешен","вънбра","internal","external"
"вътре","навън","нарой","жерре","outside","inside"
"вяра","надявам се","надявамвирът","нинра","hope","faith"
"вярвам","доверие","довещайн","сенвам","trust","believe"
"гадене","диария","малрия","галант","diarrhea","nausea"
"газирани напитки","лимонада","неграмонада","газирани напиползване","lemonade","soda"
"галактика","вселена","ставлена","ганизъмтика","universe","galaxy"
"гараж","семинар","семифлин","гакол","workshop","garage"
"гей","лесбийки","обикбийки","вaй","lesbian","gay"
"генерал","състрадателен","несъщедателен","генехвър","compassionate","generous"
"гладен","уморен","стурен","кунден","tired","hungry"
"гласуване","мнозинство","мнозинност","гласуийтс","majority","vote"
"гледам","виж","йдж","студам","look","watch"
"глобален","гражданин","спорданин","здрабален","national","global"
"глупак","наивни","наужасни","срепак","naïve","stupid"
"глупост","лудост","лузват","упопост","madness","stupidity"
"глух","сляп","слpr","глeд","blind","deaf"
"глътка","изпускайте","изизтъркайте","хленка","drop","sip"
"говоря","говоря","говослов","говослов","talk","speak"
"гол","яд","рф","дyл","nude","naked"
"гонитба","последвам","поползвам","гостенба","follow","chase"
"гора","джунглата","сродглата","окура","jungle","forest"
"горен","нисък","нинов","гомол","lower","upper"
"гориво","газ","айз","гонегово","gas","fuel"
"горила","маймуна","обезмуна","сестрила","monkey","gorilla"
"готвач","готвач","задвач","удовач","cook","chef"
"готино","топло","тодьо","говдъхно","warm","cool"
"грабя","кражба","значба","спобя","steal","rob"
"град","столица","влеклица","греъ","capital","city"
"грам","килограм","килофърд","грув","kilo","gram"
"грандиозен","сензационен","развързационен","съкродиозен","sensational","spectacular"
"график","календар","каленслен","гражай","calendar","schedule"
"графиня","барон","басал","смърфиня","baron","countess"
"грешка","грешка","травка","хрупка","error","mistake"
"гробище","гроб","грaд","събибище","grave","cemetery"
"грозливо","изсушаване","изсушаторът","опреливо","digusting","ugly"
"група","банда","озада","грага","gang","group"
"гръден кош","стомах","стобин","гръдензуне","stomach","chest"
"гръм","светкавица","свенеуловица","греъ","lightning","thunder"
"гръцки","романски","роглийски","омъжки","roman","greek"
"гущер","жаба","пълба","гусби","frog","lizard"
"да","добре","скаре","ръ","okay","yeah"
"давам","оферта","идеота","дамен","offer","give"
"дама","лорд","ломе","низма","lord","lady"
"дамски","близо до","близоденс","бойски","near","far"
"дарение","благотворителност","благотворителказване","дарезерв","charity","donation"
"двигател","резервоар","регруповоар","вклюгател","tank","engine"
"дебела","тънка","пчека","дествала","thin","thick"
"дежурство","отговорност","отговорствен","дежурност","responsibility","duty"
"дейност","активен","актистич","скъност","active","activity"
"декември","ноември","ноемстве","декемсинг","november","december"
"демокрация","свобода","изясбода","демократерът","freedom","democracy"
"демонстрация","протест","протиър","демонстраторът","protest","demonstration"
"депресия","стреса","тракса","депреобръ","stress","depression"
"десетилетие","век","ийк","десетилельонът","century","decade"
"дете","бебе","бесат","райте","baby","child"
"детектив","агент","урент","детекдене","agent","detective"
"детство","младежта","младепаст","цикство","youth","childhood"
"дефиниция","концепция","конфронция","дефинизонът","concept","definition"
"джулиет","ромео","рориж","вклюлиет","romeo","juliet"
"дивизия","мерна единица","мерна единмартър","дивиждах","unit","division"
"динамит","барут","баеха","динахлуе","gunpowder","dynamite"
"директор","производител","производигардът","дирекране","producer","director"
"дискусия","разговор","разгостик","дискулант","conversation","discussion"
"доброволно","доброволци","добронедисци","добространно","volunteer","voluntarily"
"доверие","уважение","вклюжение","довестан","respect","confidence"
"доказателство","доказателства","доказателкинсън","доказателкинсън","evidence","proof"
"документ","файл","факе","докулидж","file","document"
"долар","паунд","брунд","допет","pound","dollar"
"долината","пустинен","пустилист","страхлината","desert","valley"
"домат","картофи","спектофи","добяд","potato","tomato"
"домашна прислужница","бавачка","баобърка","домашнарастванеислужница","nanny","maid"
"допълнителен","екстра","остатра","достигненителен","extra","additional"
"достатъчно","достатъчно","донеуравно","довътрешно","enough","sufficient"
"достоен","заслужават","завъоръжават","доаудиен","deserve","worthy"
"достойнство","гордост","горзват","допотомство","pride","dignity"
"доход","печалба","пеавиоба","добиш","profit","income"
"дупето","задника","спусника","тромпето","ass","butt"
"дупка","пукнатина","изтрънатина","зовка","crack","hole"
"дух","душа","дунем","пах","soul","spirit"
"дъвча","гълъл","гъятa","бодча","swallow","chew"
"дък","гъска","гъбар","ийк","goose","duck"
"дълго","къс","гес","дълства","short","long"
"дължина","размер","разряз","дължинарастване","size","length"
"дъно","връх","врмм","хично","top","bottom"
"дърво","буш","pиш","дъртинг","bush","tree"
"държава","федерален","федераторът","дърстрелва","federal","state"
"дъсти","ръждясал","ръскинсал","дъщер","rusty","dusty"
"дявол","ангел","анлай","дяучи","angel","devil"
"евтини","скъпи","храпи","адаптини","expensive","cheap"
"егоистичен","инат","инйн","съсреистичен","stubborn","selfish"
"езда","движение","вклюжение","сгъда","drive","ride"
"езеро","река","вулка","инаро","river","lake"
"екзекуция","висящ","викио","кваркуция","hanging","execution"
"екип","лига","лител","плип","league","team"
"експлозивни","бомба","изуба","експлопютърни","bomb","explosive"
"експлозия","земетресение","земетресераства","ексевразия","earthquake","explosion"
"експрес","описвам","кьосвам","ексдокс","describe","express"
"елегантен","моден","мозва","стригантен","fashionable","elegant"
"електрически","магнитен","нервнитен","транстрически","magnetic","electric"
"електричество","текущ","тегле","транстричество","current","electricity"
"елемент","фактор","вертор","мермент","factor","element"
"емоционален","психически","трансхически","съблазционален","mental","emotional"
"енергия","власт","мoаст","невегия","power","energy"
"епидемия","чума","борма","оградемия","plague","epidemic"
"епизод","серия","сецът","брезод","series","episode"
"ерекция","организъм","оргаторът","ерсяция","orgasm","erection"
"есен","пролет","прович","флен","spring","autumn"
"ефект","въздействие","въздейфийлд","unект","influence","effect"
"ефективно","полезен","поленост","квадтивно","useful","effective"
"жажда","глад","омад","зетда","hunger","thirst"
"жалко","жалък","жангк","нейко","miserable","pathetic"
"жена","вдовица","смазвица","надна","widow","woman"
"женен","единичен","служничен","жерал","single","married"
"женски пол","мъжки","зейки","женскимеър","male","female"
"жестоко","брутал","брупят","жепраско","brutal","cruel"
"жестокост","зъл","мял","жестогнем","evil","cruelty"
"животно","звънец","ашънец","жикръвно","beast","animal"
"журналист","репортер","репоргане","журнаграж","reporter","journalist"
"жълт","червен","чернах","наглт","red","yellow"
"забавен","остроумен","остропърт","забатрос","witty","funny"
"забележителен","изключителен","израствачителен","забележитечиствам","exceptional","remarkable"
"забрана","забранен","зауединен","завдигна","forbidden","prohibit"
"завинаги","вечен","велас","завинаторът","eternal","forever"
"завъртане","договор","догомейн","завърсваш","turn","rotate"
"завършвам","диплома","дитравма","завърлийн","diploma","graduate"
"завършек","край","снай","завърсман","end","finish"
"заглавие","име","бще","заглалтън","name","title"
"заек","лисица","лисистем","залът","fox","rabbit"
"заем","кредит","крезов","засаж","credit","loan"
"закриване","откриване","откристал","закристал","opening","closure"
"закуска","вечеря","веодобря","запоръка","dinner","breakfast"
"заместител","заместник","закрайник","заметанъттел","replace","substitute"
"замисъл","опитвам","движвам","замитане","try","attempt"
"замръзвам","стопяване","стопясъка","замръзболът","melt","freeze"
"замък","дворец","въврец","загла","palace","castle"
"западна","южен","туен","заствена","southern","western"
"записване","рекорд","регрид","запифийлд","record","recording"
"запитване","търсенето","предусенето","запитство","demand","request"
"заплата","пенсия","гласия","засъчета","pension","salary"
"заподозрян","съмнение","изиснение","заподозгнахте","doubt","suspect"
"затвор","клетка","укрека","зарват","cell","prison"
"затворен","заключен","заизточен","закадърен","locked","closed"
"затворник","заложник","заезичник","заслужник","hostage","prisoner"
"защитавам","защита","заочерта","защизахче","protect","defend"
"звезда","знаменитост","знаменинизъм","близда","celebrity","star"
"звук","шум","еъм","wiук","noise","sound"
"зима","лято","колто","зиция","summer","winter"
"злополука","инцидент","инцистич","неразполука","incident","accident"
"змия","червей","чертях","orия","worm","snake"
"знаех","разпознава","разпострелва","перех","recognize","knew"
"знак","форма","опома","знer","form","sign"
"знание","опит","опци","ждение","experience","knowledge"
"значение","значение","непочение","непочение","meaning","importance"
"зная","сега","сеник","знрю","now","know"
"зона","площ","плмy","чална","area","zone"
"зората","залез","занъж","вклюрата","sunset","dawn"
"зъб","нокти","амоти","сиб","nail","tooth"
"игра","играя","игход","бърра","play","game"
"играч","треньор","тренене","игцио","coach","player"
"играчка","кукла","тайла","иггмурка","doll","toy"
"идвам","пристигам","пристистър","идски","arrive","come"
"идиот","глупак","глушиш","чужот","fool","idiot"
"изберете","избирам","избилярд","изнудварете","choose","select"
"избирател","кандидат","кандиства","избираходът","candidate","voter"
"избори","кампания","кампадане","изплъзри","campaign","election"
"известен","популярен","популязахте","извеност","popular","famous"
"извинение","прощавам","схващавам","извинералът","forgive","excuse"
"извънземно","нло","olо","извънстранно","ufo","alien"
"изграждане","строителство","прекъителство","изстисдане","construction","build"
"издърпайте","бутане","булент","объркпайте","push","pull"
"изкуствен","естествено","грешствено","изкуинтън","natural","artificial"
"изложба","галерия","галеност","изстраба","gallery","exhibition"
"измама","конспирация","контрактрация","изкръчма","conspiracy","fraud"
"изнудване","подкуп","подмъл","излизване","bribe","blackmail"
"изоставен","оставям","остадел","обезставен","leave","abandon"
"изпращане","донасям","донаберг","изпрасваш","bring","send"
"изтезание","мъка","прика","изтезагадъч","torment","torture"
"изток","запад","зашър","излик","west","east"
"изтребител","шампион","стиспион","сграббител","champion","fighter"
"изчезване","смърт","ртърт","изчествал","death","disappearance"
"изчисли","броя","брюъ","изсъдили","count","calculate"
"изявление","коментар","коменмент","кексление","comment","statement"
"император","империал","империторът","имперамаунт","imperial","emperor"
"империя","династия","динавред","импетерс","dynasty","empire"
"инвестирам","финанси","фипрокси","инвеститутът","finance","invest"
"инвеститор","банкер","бантии","инвестивалът","banker","investor"
"индивидуален","човек","чожия","индивидуачиства","person","individual"
"инжекция","доза","преза","инзумпция","dose","injection"
"инспекция","преглед","прегкае","инзумпция","examination","inspection"
"инструмент","инструмент","инфрагмент","инфрагмент","tool","instrument"
"интелигентен","източник","неподник","интелигенпардът","source","informant"
"интелигентен","умни","труни","интелигенпардът","smart","intelligent"
"интересно","вълнуващ","вълнумент","интемозъчно","exciting","interesting"
"интимен","личен","лирам","интистич","personal","intimate"
"интуиция","инстинкт","инсторът","интуинахте","instinct","intuition"
"инфекция","вирус","визов","инстрация","virus","infection"
"информация","данни","терни","информахване","data","information"
"информирам","доклад","докойн","информисълът","report","inform"
"ироничен","ирония","акиния","сталничен","irony","ironic"
"казвам","казвам","метвам","имивам","say","tell"
"камион","джип","джme","каминист","jeep","truck"
"камъка","рок","ийк","капляска","rock","stone"
"капитализъм","анархия","анарньо","капитазахте","anarchy","capitalism"
"капитан","командир","комансайд","капифорд","commander","captain"
"кардинал","епископ","епитрон","събудинал","bishop","cardinal"
"карта","компас","комшие","пента","compass","map"
"картел","мафия","макен","чтител","mafia","cartel"
"каубой","родео","ронъж","каупял","rodeo","cowboy"
"кафе","купа","курор","касър","cup","coffee"
"качество","количество","количетохме","качелюст","quantity","quality"
"килер","кабинет","кабистиш","кипия","cabinet","closet"
"килим","етаж","язаж","кисът","floor","carpet"
"кислород","въздух","възкащ","кислостри","air","oxygen"
"китарист","пиано","пиалист","китатрон","piano","guitar"
"класик","типичен","типионът","кларен","typical","classic"
"клетва","закълни се","затресени се","климва","swear","oath"
"клиент","търпелив","снайпелив","клитец","patient","client"
"клиника","болница","неизница","изясника","hospital","clinic"
"ключалка","ключ","клtе","клюстиска","key","lock"
"кмет","шериф","шепех","ичет","sheriff","mayor"
"книга","библията","услужлията","дебга","bible","book"
"кола","превозно средство","превозно среулингс","комен","vehicle","car"
"количество","сума","прама","количетохме","sum","amount"
"коляно","рамо","раваш","осмеляно","shoulder","knee"
"комедия","драма","убима","комесваш","drama","comedy"
"комисар","инспектор","инавиатор","комишоне","inspector","commissioner"
"комитет","комисия","коминьор","комилорд","commission","committee"
"компютър","софтуер","удартуер","комжетът","software","computer"
"комуникация","навигация","навигаражът","комуниканьонът","navigation","communication"
"комунистически","расистки","рахвайки","комунистичеведохме","racist","communist"
"кон","магаре","маодобре","жън","donkey","horse"
"конституция","право","угово","конституомбли","law","constitution"
"концентрат","фокус","фомих","конценедър","focus","concentrate"
"концерт","обиколка","обидръжка","конгрен","tour","concert"
"коняк","ром","айм","комор","rum","cognac"
"копие","оригинал","хвъргинал","котем","original","copy"
"кораб","екипаж","екиряк","козоп","crew","ship"
"коремна","гръбначния стълб","гръбначнисъствия","ковъжена","spinal","abdominal"
"корпорация","търговско дружество","търговско дружхвръкне","корпораторът","company","corporation"
"корпус","тяло","апело","кормял","body","corpse"
"костенурка","охлюв","щилюв","костеоставка","snail","turtle"
"котка","кучета","кусвалта","чулка","dog","cat"
"край","финал","фиден","крйт","final","ultimate"
"крал","кралица","лантлица","крот","queen","king"
"красив","красива","джинсива","кралаш","pretty","beautiful"
"красота","чар","юър","чангсота","charm","beauty"
"криза","ситуация","ситуаторът","осеза","situation","crisis"
"кристиян","католически","сервитьоркатолически","нечестиян","catholic","christian"
"крия","покрийте","пооглете","кръм","cover","hide"
"купувач","продавач","продаджър","купустош","seller","buyer"
"куршум","калибър","каликане","куртаа","caliber","bullet"
"куфарче","куфарче","кукексче","кукексче","briefcase","suitcase"
"къмпинг","пикник","земник","чалпинг","picnic","camping"
"кърпа за баня","одеяло","двойяло","кърпа за кертън","blanket","towel"
"легенда","мит","ехт","леправда","myth","legend"
"легло","диван","дикус","мавло","sofa","bed"
"лейтенант","сержант","серфинг","лейтешвах","sergeant","lieutenant"
"лек","меки","чулки","ичк","soft","gentle"
"лекар","хирург","хидвиг","ленов","surgeon","doctor"
"лекарство","алкохол","алкозващ","лекармине","alcohol","drug"
"лекуване","възстановяване","възстановячиства","лекуства","recover","heal"
"лекция","семинар","семифлин","езиция","seminar","lecture"
"лесен","невъзможен","отвлиможен","лечих","impossible","easy"
"летище","терминал","опламинал","леобезще","terminal","airport"
"летя","земя","зезиш","лениш","land","fly"
"лечение","терапия","тераджър","лечество","therapy","treatment"
"либерал","консервативен","контактътвативен","либедняш","conservative","liberal"
"лидер","член","mcен","лисан","member","leader"
"лимузина","такси","норси","лимузинарастване","taxi","limousine"
"линг","мошеник","мошестър","лиоз","ming","ling"
"литература","изкуство","изкуийнс","литературадиовръз","art","literature"
"личност","речник","носник","сдоност","dictionary","phrase"
"личност","характер","харакгане","сдоност","character","personality"
"лишаване от свобода","наказание","наказагадъч","съветвалишаване от свобода","penalty","imprisonment"
"лодка","подводница","подсъзнаница","щатка","submarine","boat"
"лоша","добре","скаре","лород","good","bad"
"луд","параноид","параностран","peд","paranoid","crazy"
"лук","чесън","черят","вeк","garlic","onion"
"лъв","дракон","драбър","ков","dragon","lion"
"лъжец","лъжа","безжа","лъцис","lie","liar"
"любов","омраза","свлаза","людже","hate","love"
"любовник","любовница","люстранница","люсвещник","mistress","lover"
"магазин","магазин","магабърт","магакърс","shop","store"
"магистрала","пътник","сарник","магиувлякла","road","highway"
"магьосник","магия","мамон","мадръжник","magic","wizard"
"майка","татко","въвко","апока","daddy","mum"
"майонеза","кетчуп","кетжов","продъонеза","ketchup","mayonnaise"
"максимум","минимален","миниматизъм","максигант","minimum","maximum"
"малък","малко","глуко","масук","little","small"
"манастир","храм","хрот","манапрая","temple","monastery"
"манастир","сиропиталище","несъгласиропиталище","манапрая","orphanage","convent"
"манипулиране","контрол","конгнил","манипуличиства","control","manipulate"
"маркетинг","реклама","респерма","маркенард","advertising","marketing"
"маркуч","помпа","линпа","марцая","pump","hose"
"масаж","йога","фрега","маеър","yoga","massage"
"масло","пчелен мед","пчеленкалф","блоло","honey","butter"
"математика","физика","фидрънка","матеатъръттика","physics","mathematics"
"машина","робот","роций","мапредна","robot","machine"
"медал","трофей","тронир","мерия","trophy","medal"
"медальон","артефакт","артещoтo","медаация","artifact","medallion"
"месечен цикъл","фаза","фанел","месегатряб цикъл","phase","period"
"месо","свинско","глийско","мевич","pork","meat"
"местни","регионален","регионараства","мрънни","regional","local"
"местоположение","място","мянец","участвахместоположение","place","location"
"метален","желязо","желястим","метастич","iron","metal"
"метър","километър","килородът","айтър","kilometer","meter"
"механични","технически","управнически","мехакерътни","technical","mechanical"
"мечта","кошмар","кошльо","борта","nightmare","dream"
"мивка","тоалетна","тоизящна","овака","toilet","sink"
"миеща мечка","катерица","сервитьоркатерица","миеща местеърс","squirrel","raccoon"
"мизерия","бедност","линност","мизестра","poverty","misery"
"микроскоп","телескоп","теленард","микрохват","telescope","microscope"
"микрофон","камера","каизобра","микроклас","camera","microphone"
"милиард","милион","милистич","милиждай","million","billion"
"милост","прошка","фрукка","мигнат","forgiveness","mercy"
"минало","бъдеще","бъдесант","минапред","future","past"
"министерство","посолство","посолност","мининехайство","embassy","ministry"
"министър","посланик","поезичник","миникват","ambassador","minister"
"минус","плюс","пллп","микав","plus","minus"
"минута","втори","ранри","микварта","second","minute"
"миризма","вкус","ииус","мисперма","taste","smell"
"мисия","задача","заотегча","миках","task","mission"
"мисля","обмисли","обслужли","катля","consider","think"
"мистерия","тайна","двана","мистестве","secret","mystery"
"мия","чисто","чинец","дея","clean","wash"
"млад","стар","стиш","ocад","old","young"
"младши","старши","елекши","плямши","senior","junior"
"много","изключително","изчиствачително","казго","extremely","very"
"много вкусен","вкусно","плясно","много вкщерът","tasty","delicious"
"мокър","сухо","сурел","сънър","dry","wet"
"момичета","момчета","мотракта","трансмичета","boys","girls"
"момче","момиче","момислих","моминът","girl","boy"
"монитор","екран","екцин","моничане","screen","monitor"
"морфин","аспирин","аспикард","моррям","aspirin","morphine"
"моряк","пират","пител","моулф","pirate","sailor"
"мотел","хотел","хораш","мости","hotel","motel"
"мравка","пчела","шапла","вредка","bee","ant"
"музей","библиотека","потърлиотека","мунук","library","museum"
"музика","джаз","джъл","мудрънка","jazz","music"
"музикант","певица","съживица","музигнеш","singer","musician"
"мускул","нерв","неуч","муньол","nerve","muscle"
"мутация","еволюция","нарълюция","мутастро","evolution","mutation"
"мъгла","облак","обпеш","бузла","cloud","fog"
"мъртъв","жив","ръв","мъртaм","alive","dead"
"награда","бонус","бохай","назвезда","bonus","reward"
"награда","йобел","йокон","назвезда","nobel","prize"
"наемен убиец","наемник","наемство","наемен убстръхне","mercenary","assassin"
"наемодател","наемател","наемахване","наемодальонът","tenant","landlord"
"наистина ли","всъщност","вграност","наистинаджънт","actually","really"
"наляво","дясно","олено","напразво","right","left"
"намаляване","нараства","надентът","намаляторът","increase","reduce"
"намерение","предназначение","нещастназначение","намереардън","purpose","intention"
"намирам","търсене","търтант","намистич","search","find"
"наоколо","кръгъл","кръбар","есетколо","round","around"
"нападател","жертва","ненава","напададохме","victim","attacker"
"напълно","абсолютно","абсонеделно","наследно","absolutely","completely"
"насекомо","паяк","пашам","насебастимо","spider","insect"
"наскоро","просто","пронец","наученро","just","recently"
"наследство","наследство","натайнство","наабатство","heritage","inherit"
"натиск","пулс","холс","навиан","pulse","pressure"
"натиснете","бутон","бучам","наопразнете","button","press"
"наука","технология","съгланология","науторн","technology","science"
"нация","страна","тронна","насти","country","nation"
"небесен","небе","неех","утресен","sky","heavenly"
"невероятно","впечатляващ","съглачатляващ","упражроятно","impressive","amazing"
"неделя","събота","тромбота","впреля","Saturday","Sunday"
"неизвестен","анонимен","уличнимен","предвестен","anonymous","unknown"
"неочаквано","внезапно","внементно","данъчквано","suddenly","unexpectedly"
"неприятни","неудобно","необосно","стараятни","uncomfortable","unpleasant"
"нервен","притеснен","присравнен","мадвен","worried","nervous"
"неспособна","неспособност","сътвособност","сътвособна","inability","unable"
"несправедлива","несправедливост","възвърведливост","възвърведлива","injustice","unfair"
"нещастие","нещастен","рентстен","узнастие","unfortunate","misfortune"
"нещо","нищо","ниран","пищо","nothing","something"
"нещо объркване","хаос","ханан","отра объркване","chaos","confusion"
"новини","канал","кабин","ноограни","channel","news"
"нож","меч","анч","ъдж","sword","knife"
"нормално","здрави","иденви","освомално","healthy","normal"
"нос","устие","интие","вес","mouth","nose"
"носна кърпичка","кърпа","маспа","носна кърпифелтър","cloth","handkerchief"
"някога","никога","никоност","свъркога","never","ever"
"някъде","другаде","незагаде","свъркъде","elsewhere","somewhere"
"обвинение","оплакване","твъркване","обвинегатът","complaint","accusation"
"обещай","гаранция","газумпция","обезон","guarantee","promise"
"обикновено","нормално","освомално","странновено","normally","usually"
"обир","кражба","значба","обуз","theft","robbery"
"обичайно","обикновен","сглоновен","обидневно","ordinary","usual"
"област","окръг","царъг","обпарк","county","district"
"обличам","смущение","оглещение","облигент","suck","lick"
"оборудване","оборудване","хайрудване","микрудване","equipment","equip"
"образование","здраве","взриве","образовараства","health","education"
"обувки","зареждане","зарествия","окръки","boot","shoe"
"общност","общество","общехата","мотност","society","community"
"обяд","лека закуска","лека знепредска","обфу","snack","lunch"
"огледало","размисъл","размитане","струдало","reflection","mirror"
"огорчение","инсулт","инявят","блудчение","insult","offend"
"ограда","стена","журна","джорда","wall","fence"
"огром","голям","гович","адром","big","huge"
