"fr_cue","fr_target","fr_fake_target","fr_fake_cue","en_cue","en_target"
"apporter","envoyer","enroles","apchester","bring","send"
"apprendre","enseigner","enseitale","apriennes","learn","teach"
"araignée","insecte","indiche","préagnée","spider","insect"
"arène","champ de bataille","fuchs de bataille","arrbe","arena","battlefield"
"arrière","retourner","reraisner","artille","back","return"
"arrivée","départ","débale","arridrai","arrival","departure"
"arrivée","viens","viits","arridrai","arrive","come"
"arsenal","arsenal","arseguin","arsegers","arsenal","armory"
"art","littérature","littérageant","ght","art","literature"
"artefact","médaillon","mépaillés","artelome","artifact","medallion"
"article","un journal","un jouchoï","artompe","article","newspaper"
"artiste","peintre","pelotre","arcieux","artist","painter"
"aspirine","morphine","mortrise","aspileur","aspirin","morphine"
"assez","suffisant","sufficher","aspar","enough","sufficient"
"astronaute","pilote","pimets","astrofense","astronaut","pilot"
"atelier","garage","gapore","elllier","workshop","garage"
"atomique","nucléaire","nuchiatre","radmique","atomic","nuclear"
"attendre","attendre","atrieure","atgeable","wait","expect"
"attention","attirer","attiquée","attenberg","attention","attract"
"attention","un message","un meçoire","attenberg","warning","message"
"attractif","charmant","charsage","athaustif","attractive","charming"
"au sens propre","pratiquement","pratiquenaude","auronss propre","literally","practically"
"audience","essai","esbit","audaigne","hearing","trial"
"augmenter","réduire","récière","époumenter","increase","reduce"
"aujourd'hui","hier","auer","aujourdgotá","today","yesterday"
"auteur","acteur","actual","autoch","author","actor"
"autopsie","analyse","anapide","aubeansie","autopsy","analysis"
"autorisation","approbation","approbarasse","autorisageable","permission","approval"
"autoriser","laisser","éclaser","autoriserpillières","allow","let"
"avaler","mâcher","mâsion","lasler","swallow","chew"
"avenir","passé","sersé","younir","future","past"
"aveugle","sourd","soind","avoigle","blind","deaf"
"avis","attitude","attibert","guis","opinion","attitude"
"avocat","procureur","procubits","mehcat","lawyer","prosecutor"
"badge","uniforme","créforme","banqe","badge","uniform"
"bague","collier","coltées","bavae","ring","necklace"
"baie","port","poir","banq","bay","harbor"
"banane","fraise","étaise","bagars","banana","strawberry"
"bancaire","financier","finandale","banmante","banking","financial"
"bande annonce","van","ãon","bande acroute","trailer","van"
"banquier","investisseur","investisfaits","bansuite","banker","investor"
"baron","comtesse","compette","balei","baron","countess"
"base","quartier général","quartier géngoisse","baly","base","headquarters"
"basket-ball","football","crosball","basketking","basketball","football"
"bébé","enfant","englan","béryl","baby","child"
"bénévole","volontairement","volontaireparles","bénésues","volunteer","voluntarily"
"bête","animal","flomal","erte","beast","animal"
"béton","acier","shier","bérée","concrete","steel"
"bible","livre","litse","binie","bible","book"
"bibliothèque","musée","murez","bibliotaille","library","museum"
"bien","mal","ndl","bino","good","bad"
"biens","propriétaire","propriénique","ndens","property","owner"
"billet","passeport","passerand","billir","ticket","passport"
"blanche","le noir","lecoire","granche","white","black"
"blesser","blessure","blestard","caisser","wound","injury"
"boisson","bière","biide","cockson","drink","beer"
"boîte","sac","erc","boâne","box","bag"
"bol","assiette","asdiatre","oûl","bowl","plate"
"bombe","explosif","explognez","boûte","bomb","explosive"
"bonjour","au revoir","au rtoons","bonfort","hello","bye"
"bouche","nez","géz","boxehe","mouth","nose"
"bouclier","armure","argirl","bourayer","shield","armor"
"boue","sable","sacke","boto","mud","sand"
"bouge toi","transfert","transplit","bougezeck","move","transfer"
"boussole","carte","cavee","bousroux","compass","map"
"bouton","presse","usesse","verton","button","press"
"bravo","alpha","albué","nervo","bravo","alpha"
"briser","pause","packe","brifié","smash","break"
"broyer","dollar","guslar","brpier","pound","dollar"
"bruit","sonner","farner","veuit","noise","sound"
"brutal","cruel","cretl","sontal","brutal","cruel"
"budget","le financement","le financrosses","crèget","budget","funding"
"buisson","arbre","arase","évinson","bush","tree"
"but","intention","intendues","ilt","purpose","intention"
"cabine","plate-forme","platedaire","caquin","cabin","deck"
"cabinet","toilettes","ayalettes","cabichon","cabinet","closet"
"câble","fil","rol","yable","cable","wire"
"calendrier","programme","pronistes","calenmanes","calendar","schedule"
"calibre","balle","sille","cashore","caliber","bullet"
"camp","village","villets","caor","camp","village"
"campagne","élection","tinction","toupagne","campaign","election"
"canal","nouvelles","nouvières","cabos","channel","news"
"candidat","électeur","ploiteur","candinesh","candidate","voter"
"canelle","vanille","vatrale","cadente","cinnamon","vanilla"
"capacité","capacité","capacitémoignent","capacitémoignent","capacity","ability"
"capitale","ville","allle","capiniez","capital","city"
"capsule","sonde","hande","caprige","capsule","probe"
"capteur","émetteur","freiteur","gnateur","sensor","transmitter"
"carbone","hydrogène","hydrovers","carmour","carbon","hydrogen"
"carnaval","festival","printival","carnatone","carnival","festival"
"carrière","réputation","réputachées","cartisse","career","reputation"
"casque","chapeau","chabell","cakeue","helmet","hat"
"catholique","christian","chrisvine","cathoscope","catholic","christian"
"cauchemar","rêver","rêtés","cauchevées","nightmare","dream"
"cavalerie","artillerie","arpenterie","cavalements","cavalry","artillery"
"célébrité","star","joar","céléloyauté","celebrity","star"
"célibataire","marié","matum","célibafoués","single","married"
"cellule","prison","merson","cellait","cell","prison"
"cendre","poussière","équisière","aindre","ash","dust"
"cercle","triangle","trisogne","thrcle","circle","triangle"
"cercueil","funéraire","funégible","cerculte","coffin","funeral"
"cerveau","cérébral","céréjohn","fréveau","brain","cerebral"
"césar","rome","rogé","cépis","caesar","rome"
"chaîne","corde","uarde","châlne","chain","rope"
"chaleureux","frais","clais","chaleumore","warm","cool"
"champion","combattant","combatchev","croipion","champion","fighter"
"chance","possibilité","possibilitémoignent","plance","chance","possibility"
"chancelier","président","prémulent","chancevrai","chancellor","president"
"changement","amélioration","améliorapeute","voyagement","change","improvement"
"chanteur","musicien","musinait","flecteur","singer","musician"
"char","moteur","monium","chth","tank","engine"
"charbon","huile","humme","chardam","coal","oil"
"charge","cargaison","carpherson","chiege","load","cargo"
"charité","don","éan","pourrité","charity","donation"
"charme","beauté","briété","chieme","charm","beauty"
"chasse","faire de la pêche","faire de bauchent","flasse","hunting","fishing"
"chaud","du froid","dudroide","chuid","hot","cold"
"chauffer","température","tempérageant","chauftra","heat","temperature"
"chemise","veste","niste","cheviks","shirt","jacket"
"chèque","vérifier","vériront","chèqmi","check","verify"
"cher","pas cher","padoches","chga","expensive","cheap"
"chercher","trouver","trounés","fourcher","search","find"
"cheveu","barbe","bayae","chelad","hair","beard"
"chien","chat","chif","chaun","dog","cat"
"chiffon","mouchoir","moucroft","pharfon","cloth","handkerchief"
"chimie","la biologie","la biolleans","chitec","chemistry","biology"
"chimique","biologique","biologeant","garmique","chemical","biological"
"chirurgien","médecin","médelote","chirurvard","surgeon","doctor"
"choisir","sélectionner","sélechotchner","choibré","choose","select"
"choix","option","oppres","chicx","choice","option"
"ciel","céleste","céreine","circ","sky","heavenly"
"ciment","plastique","guistique","cisait","cement","plastic"
"cinéma","théâtre","thèmtre","cinémagouilleurs","cinema","theater"
"civil","militaire","milinique","cilué","civil","military"
"clairement","de toute évidence","de toute éfridges","lindrement","clearly","obviously"
"clan","famille","famonde","cloc","clan","family"
"classer","l'école","l'voile","bourser","class","school"
"clé","fermer à clé","fermer bâche","loé","key","lock"
"clou","dent","iant","clsk","nail","tooth"
"club","bar","ahr","roub","club","bar"
"cocaïne","héroïne","héligne","cocrons","cocaine","heroin"
"code","le mot de passe","le mot droyante","coff","code","password"
"coin","ruelle","rutile","inin","corner","alley"
"colère","rage","radi","covite","anger","rage"
"collation","déjeuner","détrainer","collacher","snack","lunch"
"collecter","rassembler","rassemtins","colchanter","collect","gather"
"collègue","amie","amck","colleaux","colleague","friend"
"coller","marteau","marreur","weiler","stick","hammer"
"colline","montagne","montiere","coltant","hill","mountain"
"colonie","fédération","fédérapeute","colorenz","colony","federation"
"combat","se battre","seraîitre","comtry","combat","fight"
"combinaison","mélange","méclame","combiteursson","combination","mixture"
"commander","commande","comtonne","commanchot","command","order"
"commenter","déclaration","déclarapeute","commension","comment","statement"
"commercial","marchande","marghanes","commerdeux","commercial","merchant"
"commission","comité","maximité","commischer","commission","committee"
"compatissant","généreuse","génélisme","compatistique","compassionate","generous"
"compliment","cadeau","cadrée","complitude","compliment","gift"
"compter","calculer","calcution","proster","count","calculate"
"comté","quartier","blastier","rauté","county","district"
"concept","définition","définiquait","conctot","concept","definition"
"conclusion","supposition","supposidente","contorsion","conclusion","assumption"
"concurrence","championnat","pouspionnat","confisrence","competition","championship"
"conduire","conduire","condfore","condrtre","drive","ride"
"conférence","rencontre","rennombre","cultirence","conference","meeting"
"confiance","croyez","croyke","confiaiee","trust","believe"
"confirmation","confirmer","condammer","ishiyamation","confirmation","confirm"
"conflit","contestation","éclairtation","confcht","conflict","dispute"
"conseils","conseiller","covieiller","consmels","advice","advise"
"conservateur","libéral","libébert","conservalise","conservative","liberal"
"considérer","pense","perbe","échandérer","consider","think"
"conspiration","fraude","frauva","éclairration","conspiracy","fraud"
"construction","construire","constrgare","vieillistion","construction","build"
"contact","connexion","connarion","contett","contact","connection"
"contamination","radiation","radiamant","désesmination","contamination","radiation"
"contenir","contenu","cultinu","contecha","contain","content"
"contrat","accord","acchen","contlit","contract","agreement"
"contrôler","manipuler","manipudique","constiler","control","manipulate"
"conversation","discussion","discuscher","éclairsation","conversation","discussion"
"corps","corps","cogns","codrs","body","corpse"
"couche","surface","surckle","collhe","layer","surface"
"coucher de soleil","aube","auqu","coucher de rieur ","sunset","dawn"
"coupe","café","catas","colée","cup","coffee"
"courage","détermination","déterminageuses","coucien","courage","determination"
"courant","électricité","consitricité","coupage","current","electricity"
"couronne","trône","truee","counente","crown","throne"
"courrier","fax","iux","courcées","mail","fax"
"cours","marche","madehe","coies","run","walk"
"court","long","lote","coett","short","long"
"couverture","serviette","servestre","couverriez","blanket","towel"
"couverture","cacher","cahuen","couverriez","cover","hide"
"création","destruction","dessomption","frottion","creation","destruction"
"crédit","prêter","choter","syndit","credit","loan"
"créer","produire","proprier","crmgr","create","produce"
"crème","sauce","sanse","crape","cream","sauce"
"creuser","enterrer","entermine","ajouser","dig","bury"
"critique","politique","polisions","spétique","critical","political"
"cuillère","fourchette","foursables","cupèlère","spoon","fork"
"cuisiner","chef","chlm","tromsiner","cook","chef"
"cul","bout","bovi","arl","ass","butt"
"culture","civilisation","civilisageable","curoure","culture","civilization"
"d'accord","ouais","grais","azeccord","okay","yeah"
"danseur","danse","lonse","hisseur","dancer","dance"
"de campagne","nation","nateur","de cagrande","country","nation"
"de face","arrière","arshire","dephase","front","rear"
"de l'alcool","drogue","drogmi","de l'shions","alcohol","drug"
"de valeur","important","imporquoi","de vgroup","valuable","important"
"décent","honnête","honcase","déping","decent","honest"
"décès","disparition","disparivages","désol","death","disappearance"
"déchets","des ordures","des otoises","désiens","trash","garbage"
"déchets","dépenser","dépenront","désiens","waste","spend"
"décris","express","expayés","défred","describe","express"
"déjà","toujours","toulures","démur","already","still"
"délicat","sensible","sennière","délisiez","delicate","sensitive"
"délicieux","délicieuse","délithique","délileuse","tasty","delicious"
"demain","matin","maged","denois","tomorrow","morning"
"demande","demande","decaine","detonne","demand","request"
"démarrage","chaussure","chaustime","démarvoir","boot","shoe"
"demi","trimestre","tricontre","demitraillette","half","quarter"
"démission","congédiement","congédierais","démischer","resignation","dismissal"
"déraisonnable","irresponsable","irresponquées","déraisontines","unreasonable","irresponsible"
"désert","vallée","gnalée","dénère","desert","valley"
"désir","souhaiter","souajouter","détéc","desire","wish"
"destin","destin","dessai","dessoû","fate","destiny"
"détester","amour","amear","déplanter","hate","love"
"détonateur","minuteur","minulome","détonaliste","detonator","timer"
"deux","quatre","blatre","depy","two","four"
"diamant","bijou","bidek","sommant","diamond","jewel"
"dictionnaire","phrase","rorase","dictionsants","dictionary","phrase"
"dieu","divin","dimat","dioc","god","divine"
"difficile","dur","ior","diffiless","tough","hard"
"digue","laid","lays","urgue","digusting","ugly"
"dîner","petit-déjeuner","petitdébillonner","dîman","dinner","breakfast"
"diplôme","diplômé","dirontmé","dipache","diploma","graduate"
"dire","dire","ttre","lère","say","tell"
"direct","directement","directenaire","dichat","direct","directly"
"directeur","chef","chlm","direcrons","manager","boss"
"discours","sermon","serdit","discards","speech","sermon"
"disque","enregistrement","enregistreprises","rusque","record","recording"
"distance","vitesse","vidence","disfarne","distance","speed"
"divorce","mariage","mamings","dicorns","divorce","marriage"
"doigt","pouce","ponse","doaãt","finger","thumb"
"doré","argent","arrans","doréveillaient","golden","silver"
"dose","injection","injecment","doua","dose","injection"
"double","tripler","trilore","doaule","double","triple"
"douche","salle de bain","salle dtreuil","donnhe","shower","bathroom"
"doute","suspect","fanpect","doyee","doubt","suspect"
"doux","doux","brux","dohe","soft","gentle"
"doyen","professeur","profestins","docin","dean","professor"
"dragon","lion","ligu","dralas","dragon","lion"
"drame","la comédie","la comgrand","drune","drama","comedy"
"drapeau","symbole","symgere","draplin","flag","symbol"
"droit","la gauche","lavauches","druet","right","left"
"droit","constitution","constiturées","druet","law","constitution"
"du quotidien","hebdomadaire","hebdomacents","du quotflète","daily","weekly"
"du repos","sommeil","sommuée","du rwene","rest","sleep"
"du sang","urine","urtte","dutrane","blood","urine"
"du sucre","chocolat","chocodiée","dusource","sugar","chocolate"
"du sud","occidental","occichrystal","duleux","southern","western"
"duper","blague","blâmue","durés","trick","joke"
"dvd","vidéo","viguë","tmd","dvd","video"
"dynastie","empire","emface","dyamortie","dynasty","empire"
"ébrécher","appareil","appamick","splécher","chip","device"
"éclat","brillant","brilment","écaît","shine","bright"
"éclater","exploser","exlaisser","laister","burst","explode"
"ecoutez","écouter","tienter","pseutez","listen","hear"
"écran","surveiller","sursailles","écinn","screen","monitor"
"écureuil","raton laveur","raton lryone","jogreuil","squirrel","raccoon"
"effrayant","sinistre","sidiaire","efbrasent","scary","creepy"
"effrayer","effrayer","efflakes","efvrages","scare","frighten"
"église","chapelle","chaveuse","lâlise","church","chapel"
"élève","prof","prôn","evève","student","teacher"
"éliminer","retirer","retiquée","chamminer","eliminate","remove"
"embaucher","louer","losor","embausion","hire","rent"
"embrasser","câlin","câqué","emepouser","kiss","hug"
"empêcher","arrêter","arrêvant","empêsion","prevent","stop"
"en dehors","sur","ior","en dmexis","out","about"
"en espèces","de l'argent","debillaient","centspèces","cash","money"
"en fait","vraiment","bretment","enraîit","actually","really"
"en retard","de bonne heure","de bonnlexique","en rvraux","late","early"
"en temps normal","d'habitude","d'habdarme","en temps ncheck","normally","usually"
"enchères","vendre","gondre","envoures","auction","sale"
"engagement","mariage","mamings","engagelures","engagement","wedding"
"ennemi","adversaire","advertures","ennemitrailleuse","enemy","opponent"
"enthousiasme","passion","chision","enthouvasses","enthusiasm","passion"
"entraine toi","exercer","sourcer","entrainerouac","practice","exercise"
"entraîneur","joueur","joueez","enfouineur","coach","player"
"entreprise","société","soéquité","entresonne","company","corporation"
"entrer","va","e ","enguir","enter","go"
"enveloppe","emballer","emgueuler","enveboles","envelope","package"
"environnement","atmosphère","atmopèrent","environnetoques","environment","atmosphere"
"épaule","le genou","le ggraw","neaule","shoulder","knee"
"épée","couteau","coutown","épau","sword","knife"
"équilibre","harmonie","harmoteur","équiriole","balance","harmony"
"équipage","bateau","baties","équiguée","crew","ship"
"équipement","équiper","croiper","flippement","equipment","equip"
"équitable","raisonnable","raisonrette","quentable","fair","reasonable"
"erreur","erreur","erburn","ernaux","error","mistake"
"escargot","tortue","torpas","escarreau","snail","turtle"
"escorte","accompagner","accompaliste","esckout","escort","accompany"
"espérer","foi","nfi","espétais","hope","faith"
"espionnage","sabotage","saboréal","essayenage","espionage","sabotage"
"espionner","traitre","trairse","esgartner","spy","traitor"
"essayer","tentative","tentarant","esgages","try","attempt"
"estomac","coffre","copure","estocute","stomach","chest"
"éternel","toujours","toulures","technel","eternal","forever"
"étroit","large","laone","wiroit","narrow","wide"
"évaluer","le prix","leprait","évatern","value","price"
"évêque","cardinal","cardigère","évblue","bishop","cardinal"
"évolution","mutation","mutanées","évolument","evolution","mutation"
"examen","inspection","inspecment","sermen","examination","inspection"
"examiner","enquêter","enfighter","prosminer","examine","investigate"
"excellent","génial","géwing","expentent","excellent","great"
"exceptionnel","remarquable","remarnaille","excepshrapnel","exceptional","remarkable"
"expérience","connaissances","connaiscentes","expépenses","experience","knowledge"
"expérience","test","tely","expépenses","experiment","test"
"expert","spécialiste","spéciations","expour","expert","specialist"
"explication","plausible","perlsible","explicapades","explanation","plausible"
"extrêmement","très","truk","extrêmesures","extremely","very"
"fabriquer","fais","fago","fabritish","make","do"
"facteur","élément","sifment","queteur","factor","element"
"faim","la soif","laquoi ","faok","hunger","thirst"
"faire en sorte","réussir","réusbré","faire enuyante","manage","succeed"
"fatigué","faim","fahi","fatirine","tired","hungry"
"faux","faux","falé","faïe","fake","FALSE"
"fédéral","etat","keat","fédécoif","federal","state"
"féliciter","saluer","sakies","félicisions","congratulate","greet"
"fer à repasser","métal","mécon","fer à repédite","iron","metal"
"fermé à clé","fermé","plamé","fermé bulls","locked","closed"
"fermement","fortement","forterais","fermenage","firmly","strongly"
"fermier","ouvrier","ousoire","fertial","farmer","worker"
"feu","flamme","flaman","iau","fire","flame"
"fichier","document","doculier","fichage","file","document"
"fidèle","fidèle","fibade","ficode","loyal","faithful"
"fidélité","dévouement","défraîment","fidélitémoignent","fidelity","devotion"
"fidélité","honnêteté","éclainêteté","fidélitémoignent","loyalty","honesty"
"fier","excité","expresté","fidé","proud","excited"
"fille","garçon","gartum","finae","girl","boy"
"final","ultime","ultard","fitor","final","ultimate"
"finalement","finalement","finaleville","finaleville","finally","eventually"
"financièrement","financement","financevable","financièrepasses","financially","financing"
"finir","terminer","termiront","fibro","end","finish"
"fissure","trou","trgh","fistard","crack","hole"
"flatter","impressionner","impresacharner","braster","flatter","impress"
"fleuve","lac","ffc","flirve","river","lake"
"fonctionner","opération","opérafraî","écartionner","operate","surgery"
"fondre","geler","geman","eindre","melt","freeze"
"force","obliger","bringer","fooie","strength","force"
"forme","signer","siniez","foffe","form","sign"
"former","autobus","autoline","submer","train","bus"
"fort","faible","fagole","fops","strong","weak"
"foudre","tonnerre","tongesse","etudre","lightning","thunder"
"foule","public","pufrit","foise","crowd","audience"
"four","poêle","ponje","foez","oven","stove"
"fragment","pièce","pidée","cresment","fragment","piece"
"frais","rafraîchir","rafraîsins","clais","fresh","refresh"
"frapper","la grève","laegrine","phopper","hit","strike"
"fuir","échapper","confiper","fuet","flee","escape"
"fumée","cigare","cilude","fuker","smoke","cigar"
"fusée","missile","misgere","funam","rocket","missile"
"fusil","arme à feu","arme roque","fuglé","rifle","gun"
"gâchette","activer","actitais","gâsables","trigger","activate"
"gain","gagner","ganiez","galé","gain","win"
"galerie","exposition","exposidente","galevons","gallery","exhibition"
"gang","grouper","aborper","garc","gang","group"
"garantie","promettre","promètres","gaaplatie","guarantee","promise"
"garçons","filles","finaes","garrant","boys","girls"
"garder","patrouille","padouilles","chider","guard","patrol"
"gaz","carburant","carbuckle","olz","gas","fuel"
"général","colonel","cologuée","génésien","general","colonel"
"générateur","réacteur","réaccroc","générapaces","generator","reactor"
"génie","scientifique","scientigence","géter","genius","scientist"
"geste","acte","acks","geeke","gesture","act"
"glorieux","gloire","glivre","glopique","glorious","glory"
"gorge","cou","nçu","gonde","throat","neck"
"goût","sentir","senmon","gouc","taste","smell"
"gouverneur","sénateur","sénalise","gouvervons","governor","senator"
"grain","farine","fareux","ouain","grain","flour"
"grand-père","grand-mère","granddiée","grizzpère","grandfather","grandmother"
"grenouille","lézard","lérate","gresouffle","frog","lizard"
"griller","bacon","baler","amiller","toast","bacon"
"grimper","saut","saou","creuper","climb","jump"
"grippe","maladie","malabour","gronpe","flu","disease"
"gros","énorme","sûorme","grap","big","huge"
"guerre","bataille","baraitre","averre","war","battle"
"habitent","survivre","surneure","hacluent","live","survive"
"haut","bas","shs","haya","top","bottom"
"héros","sauveur","saurent","hésif","hero","savior"
"homme","humain","huping","hoère","man","human"
"hôpital","clinique","rannique","hôpinées","hospital","clinic"
"hormone","adrénaline","ouelnaline","hordure","hormone","adrenaline"
"horreur","peur","peez","horburn","horror","fear"
"hospitalité","reconnaissance","reconnaisriens","hospitalitémoignent","hospitality","gratitude"
"hôtel","motel","moroc","hôcan","hotel","motel"
"humble","modeste","mochete","hufile","humble","modest"
"ici","là","aî","rèi","here","there"
"idéal","parfait","parport","pyéal","ideal","perfect"
"idée","théorie","shanrie","oyée","idea","theory"
"ignorance","arrogance","arronents","ignoriste","ignorance","arrogance"
"illégal","légal","lébra","chlogal","illegal","legal"
"illusion","hallucination","hallucinagogues","prousion","illusion","hallucination"
"image","photo","blato","imrte","picture","photo"
"imagination","la créativité","lamellesativité","imaginageais","imagination","creativity"
"impérial","empereur","empelées","impéblés","imperial","emperor"
"impossible","facile","facées","imposlogue","impossible","easy"
"impression","sentiment","sentifier","imprescher","impression","feeling"
"impressionnant","étonnante","frotnante","impresculminant","impressive","amazing"
"impulsion","pression","fransion","impulcher","pulse","pressure"
"incapacité","incapable","incalonne","incapacitémoignent","inability","unable"
"incident","accident","accigate","incigate","incident","accident"
"inconfortable","désagréable","désaméables","inconformions","uncomfortable","unpleasant"
"indiquer","indiquer","indisait","indicaux","point","indicate"
"industrie","affaires","afgliers","indussher","industry","business"
"influence","effet","eftri","inclenche","influence","effect"
"ingénieur","architecte","archiciple","ingébleau","engineer","architect"
"inhabituel","étrange","tarange","inhabimente","unusual","strange"
"injustice","injuste","inrisse","injusvrer","injustice","unfair"
"innocent","coupable","coucille","innonois","innocent","guilty"
"inquiet","nerveux","nergett","infouie","worried","nervous"
"inquiéter","problème","probroke","ingoutter","trouble","problem"
"insérer","mettre","merore","insémite","insert","put"
"inspecteur","le commissaire","le commitriers","inspecrons","inspector","commissioner"
"inspirer","inspiration","inspirapeute","inspitaux","inspire","inspiration"
"instinct","intuition","intuiment","insdiait","instinct","intuition"
"insulter","offenser","ofcrisser","inflatter","insult","offend"
"intelligent","intelligent","intellithium","intellinisse","smart","intelligent"
"interdit","interdire","interthos","interback","forbidden","prohibit"
"international","monde","fende","incondamnational","international","world"
"interne","externe","exdonne","ingente","internal","external"
"interrompre","déranger","dérançons","interdouble","interrupt","disturb"
"inutile","sans valeur","sans vveque","inphiée","useless","worthless"
"invasion","attaque","attrave","invaneau","invasion","attack"
"ironie","ironique","rannique","dognie","irony","ironic"
"jaloux","en colère","en cloges","jacose","jealous","angry"
"jamais","jamais","jasage","jasage","never","ever"
"jeep","un camion","un csaims","jeûn","jeep","truck"
"jeune marié","la mariée","la mleils","jeune mrouse","groom","bride"
"jeunesse","enfance","endonte","baynesse","youth","childhood"
"jeux d'argent","poker","poséi","khum d'argent","gambling","poker"
"jolie","magnifique","magnilines","jotez","pretty","beautiful"
"jouer","jeu","nnu","stuer","play","game"
"journalisme","politique","polisions","journareuse","journalism","politics"
"journaliste","journaliste","fronnaliste","bronnaliste","reporter","journalist"
"juin","juillet","jukelet","juvé","june","july"
"jungle","forêt","fopei","uangle","jungle","forest"
"jupe","robe","rout","juiv","skirt","dress"
"jurer","serment","serteur","juwan","swear","oath"
"juridiction","autorité","autoritémoignent","juridicments","jurisdiction","authority"
"juste","récemment","récemtion","jugue","just","recently"
"ketchup","mayonnaise","meyernaise","ketjoud","ketchup","mayonnaise"
"kidnapper","enlever","enletais","specnapper","kidnap","abduct"
"kidnappeur","une rançon","une raprix","kidnapchon","kidnapper","ransom"
"kilo","gramme","gramgé","deslo","kilo","gram"
"kilomètre","mètre","sqtre","kilosophe","kilometer","meter"
"klaxon","siffler","wesfler","klnfon","horn","whistle"
"l'été","hiver","hinés","l'blr","summer","winter"
"l'internet","la toile","lagnoule","l'intetope","internet","web"
"la démence","stupidité","échanpidité","la dchande","madness","stupidity"
"la diarrhée","la nausée","la naslov","la diadress","diarrhea","nausea"
"la fenêtre","porte","poage","la fgnoirs","window","door"
"la fille","fils","fiot","laseillé","daughter","son"
"la finance","investir","invesmons","la fsearch","finance","invest"
"la fréquence","signal","sistas","la frchienne","frequency","signal"
"la lecture","en écrivant","en écrchaël","la lecleus","reading","writing"
"la magie","sorcier","sorgnez","la mléem","magic","wizard"
"la navigation","la communication","la communiclourdes","la navigfouées","navigation","communication"
"la pauvreté","misère","mimuse","la pauvrthrak","poverty","misery"
"la peau","tissu","hunsu","lasteak","skin","tissue"
"la personne","individuel","indivivrais","la petions ","person","individual"
"la peste","épidémie","épidépous","lagriste","plague","epidemic"
"la physique","mathématiques","mathémanuelle","la phquieme","physics","mathematics"
"la publicité","commercialisation","commercialisagrammes","la publicploses","advertising","marketing"
"la résistance","résister","réplanter","la résiratent","resistance","resist"
"la source","informateur","informariait","lafourche","source","informant"
"la technologie","la science","gipscience","la technolthayus","technology","science"
"la tombe","cimetière","cimerhorn","lacombre","grave","cemetery"
"la tour","bâtiment","bâtifier","lateous","tower","building"
"la toux","fièvre","fifire","lafloué","cough","fever"
"la troisième","quatrième","quafridge","la trosible ","third","fourth"
"la victoire","défaite","dérable","la viclaste","victory","defeat"
"laissez tomber","siroter","siroprac","laissez todéine","drop","sip"
"lait","jus","rps","lacé","milk","juice"
"lampe","bougie","boulés","lacte","lamp","candle"
"larme","couper","proper","lalie","tear","cut"
