fr_cue,fr_target,fr_fake_cue,fr_fake_target,en_cue,en_target
bonjour,salut,bonfort,sadéo,hello,bye
bouche,nez,boxure,vuil,mouth,nose
bouclier,armure,bourayer,arguirl,shield,armor
boue,sable,boto,sacke,mud,sand
déplacement,transfert,déplacenaire,transreau,move,transfer
boussole,carte,bousroux,cavée,compass,map
bouton,appuyer,priton,angueur,button,press
bravo,alpha,nervo,albué,bravo,alpha
briser,casser,gorser,stuser,smash,break
livre,dollar,lince,netlar,pound,dollar
bruit,son,ofuit,iven,noise,sound
brutal,cruel,sontal,cretel,brutal,cruel
budget,financement,amaget,fanincenaire,budget,funding
buisson,arbre,évinson,arase,bush,tree
objectif,intention,objeccher,intenment,purpose,intention
cabine,pont,cagnée,pase,cabin,deck
cabinet,toilettes,cabichon,ayalettes,cabinet,closet
câble,fil,yable,lole,cable,wire
calendrier,programme,calenmanes,pronistes,calendar,schedule
calibre,balle,cachore,sille,caliber,bullet
campement,village,campetion,villets,camp,village
campagne,élection,toupagne,tinction,campaign,election
chaîne,informations,cabos,informarette,channel,news
candidat,électeur,candineche,ploiteur,candidate,voter
cannelle,vanille,canderne,vatrale,cinnamon,vanilla
capacité,aptitude,catricecité,aptipeau,capacity,ability
capitale,ville,capiniez,allle,capital,city
capsule,sonde,caprige,hande,capsule,probe
capteur,émetteur,gnateur,freiteur,sensor,transmitter
carbone,hydrogène,carmour,hydrovers,carbon,hydrogen
carnaval,festival,carnatone,printival,carnival,festival
carrière,réputation,cartisse,réputachées,career,reputation
casque,chapeau,cakeue,chabelle,helmet,hat
catholique,chrétien,cathoscope,chrisvine,catholic,christian
cauchemar,rêve,cauchevées,rêté,nightmare,dream
cavalerie,artillerie,cavalejours,arpenterie,cavalry,artillery
célébrité,star,célélonauté,joar,celebrity,star
célibataire,marié,célibefoués,malime,single,married
cellule,prison,cellait,merson,cell,prison
cendre,poussière,aindre,équisière,ash,dust
cercle,triangle,horcle,trisogne,circle,triangle
cercueil,funérailles,cerculte,nunénouille,coffin,funeral
cerveau,cérébral,fréveau,cérépion,brain,cerebral
césar,rome,cépis,voule,caesar,rome
chaîne,corde,châlne,uarde,chain,rope
chaleureux,cool,chaleumore,clais,warm,cool
champion,combattant,croipion,combatche,champion,fighter
chance,possibilité,plance,ponnibilicieuse,chance,possibility
chancelier,président,chancerais,prémulent,chancellor,president
changement,amélioration,équigement,améliorasance,change,improvement
chanteur,musicien,flecteur,musinait,singer,musician
char,moteur,baire,monium,tank,engine
charbon,pétrole,chardamp,pétiste,coal,oil
charge,cargaison,chiege,carpherson,load,cargo
charité,don,pourrité,éan,charity,donation
charme,beauté,chieme,briété,charm,beauty
chasser,pêcher,poisser,pêture,hunting,fishing
chaud,froid,chuide,frèrul,hot,cold
chauffer,température,chauftra,tempérageant,heat,temperature
chemise,veste,cheviks,niste,shirt,jacket
contrôler,vérifier,confirler,vérigène,check,verify
cher,économique,chrose,éconoprise,expensive,cheap
chercher,trouver,claicher,trounés,search,find
cheveu,barbe,chelad,bayai,hair,beard
chien,chat,chaun,chif,dog,cat
chiffon,mouchoir,pharfon,moucroft,cloth,handkerchief
chimie,biologie,chiter,écrilogie,chemistry,biology
chimique,biologique,garmique,biolotable,chemical,biological
chirurgien,médecin,chirurvard,médelote,surgeon,doctor
choisir,sélectionner,choibré,sélechotner,choose,select
choix,option,chieux,oppres,choice,option
ciel,céleste,ciruit,céroine,sky,heavenly
ciment,plastique,cisait,guistique,cement,plastic
cinéma,théâtre,cinéphée,thèmotre,cinema,theater
civil,militaire,cilué,milinique,civil,military
clairement,évidemment,lindrement,évidemion,clearly,obviously
clan,famille,cloc,famonde,clan,family
classe,école,léasse,clole,class,school
clé,serrure,dré,serbone,key,lock
ongle,dent,onute,sunt,nail,tooth
club,bar,roube,ator,club,bar
cocaïne,héroïne,cocrons,héligne,cocaine,heroin
code,mot de passe,cifer,tom droyante,code,password
coin,rue,inin,ruta,corner,alley
colère,rage,covite,radi,anger,rage
collation,déjeuner,collament,désionner,snack,lunch
collecter,rassembler,colchanter,rassemtins,collect,gather
collègue,ami,colleaux,guoi,colleague,friend
planter,marteau,poister,marreur,stick,hammer
colline,montagne,coltant,montiere,hill,mountain
colonie,fédération,colorenz,fédérasance,colony,federation
combattre,lutter,comtry,ranter,combat,fight
combinaison,mélange,combiteursson,méraire,combination,mixture
commander,ordonner,pommansant,orbitener,command,order
commenter,déclarer,commension,départrer,comment,statement
publicité,marchand,pupitrecité,marphine,commercial,merchant
commission,comité,commischer,cognacté,commission,committee
compatissant,généreuse,compatistique,génélisme,compassionate,generous
complimenter,cadeau,comtessementer,cadrée,compliment,gift
compter,calculer,proster,calcution,count,calculate
comté,district,rauté,disfrant,county,district
concept,définition,conctot,définiquait,concept,definition
conclusion,hypothèse,convernion,hypoleste,conclusion,assumption
compétition,championnat,compétignure,pouspionnat,competition,championship
conduire,piloter,condifore,pilosion,drive,ride
conférence,réunion,cultirence,jaunion,conference,meeting
confiance,croire,confiaiee,croptre,trust,believe
confirmation,confirmer,ichivamation,confirtal,confirmation,confirm
conflit,dispute,coéglit,dissile,conflict,dispute
recommendation,conseil,rocommendagraphe,coupeil,advice,advise
conservateur,libéral,conservalise,libébert,conservative,liberal
considérer,penser,loyaudérer,perber,consider,think
complot,fraude,comlion,frauva,conspiracy,fraud
construction,bâtir,vieillistion,bâval,construction,build
contact,connexion,contett,connarion,contact,connection
contamination,radiation,désesmination,radiamant,contamination,radiation
contenir,contenu,chaufir,claufur,contain,content
contrat,accord,contlit,auchen,contract,agreement
contrôler,manipuler,constiler,manipudique,control,manipulate
conversation,discussion,éclairsation,discucher,conversation,discussion
corps,cadavre,codras,canêtre,body,corpse
couche,surface,colche,surckle,layer,surface
crépuscule,aube,crépusnant,aunu,sunset,dawn
tasse,café,taile,catas,cup,coffee
courage,détermination,coucien,déterminageuses,courage,determination
courant,électricité,couport,consitricité,current,electricity
couronne,trône,counente,truel,crown,throne
courrier,fax,courcées,pux,mail,fax
courir,marcher,couton,colcher,run,walk
court,long,moeten,lote,short,long
couverture,serviette,couverriez,servestre,blanket,towel
couvrir,cacher,coupire,cature,cover,hide
création,destruction,frottion,dessomption,creation,destruction
crédit,prêt,supdit,prim,credit,loan
créer,produire,haéer,prorière,create,produce
crème,sauce,crape,sanse,cream,sauce
creuser,enterrer,beauser,entermine,dig,bury
critique,politique,pentique,poliquide,critical,political
cuillère,fourchette,cupèlère,foursables,spoon,fork
cuisinier,chef,cuisirant,chsé,cook,chef
cul,fesse,ocle,pusse,ass,butt
culture,civilisation,curoure,civilisageable,culture,civilization
oui,ouais,azeccord,grais,okay,yeah
danseur,danse,hisseur,lonse,dancer,dance
pays,nation,pauf,nateur,country,nation
face,arrière,farc,arshire,front,rear
alcool,drogue,alchet,flogue,alcohol,drug
précieux,important,lencieux,imporreur,valuable,important
décent,honnête,déping,honcase,decent,honest
décès,disparition,désila,disparivages,death,disappearance
déchet,ordure,désiens,orline,trash,garbage
gaspiller,dépenser,lespiller,dépenront,waste,spend
décrire,exprimer,dérique,exprisant,describe,express
déjà,toujours,démur,toulures,already,still
délicat,sensible,délisiez,sennière,delicate,sensitive
savoureux,délicieux,savoucile,déliteille,tasty,delicious
demain,matin,denois,maged,tomorrow,morning
demande,requête,demoine,resecte,demand,request
botte,chaussure,borde,transsure,boot,shoe
moitié,quart,wattié,épart,half,quarter
démission,licenciement,démisture,licencietique,resignation,dismissal
déraisonnable,irresponsable,déraisontines,irresponquées,unreasonable,irresponsible
désert,vallée,dénère,gnalée,desert,valley
désirer,souhaiter,désignal,souacheter,desire,wish
fatalité,destinée,famillelité,destition,fate,destiny
haïr,aimer,hanet,ainie,hate,love
détonateur,minuteur,détonaliste,minulome,detonator,timer
deux,quatre,depy,féatre,two,four
diamant,bijou,normant,bidek,diamond,jewel
dictionnaire,phrase,dictionsants,rorase,dictionary,phrase
dieu,divin,dioc,dimat,god,divine
difficile,dur,diffiless,ior,tough,hard
dégoutant,laid,dégoureur,prid,digusting,ugly
dîner,petit-déjeuner,dîman,petitdébillonner,dinner,breakfast
diplôme,diplômé,disième,directmé,diploma,graduate
dire,raconter,disle,ramideter,say,tell
direct,directement,dichat,directenaire,direct,directly
manageur,chef,manazard,chusé,manager,boss
discours,sermon,discards,serdit,speech,sermon
disque,enregistrement,rusque,utregistreprises,record,recording
distance,vitesse,disfarne,vidence,distance,speed
divorce,mariage,dicorns,malisme,divorce,marriage
doigt,pouce,dolaton,ponse,finger,thumb
doré,argenté,dobon,artèreté,golden,silver
dose,injection,mése,injecment,dose,injection
double,triple,gauble,suiple,double,triple
douche,salle de bain,dannhe,lalle detreuil,shower,bathroom
douter,suspecter,spéter,fonspecter,doubt,suspect
doux,gentil,doma,genber,soft,gentle
doyen,professeur,docin,profestins,dean,professor
dragon,lion,dralas,ligu,dragon,lion
drame,comédie,drune,comépeau,drama,comedy
drapeau,symbole,draplin,symgere,flag,symbol
droite,gauche,druet,ganihe,right,left
droit,constitution,druet,constitumeur,law,constitution
quotidiennement,hebdomadaire,quoxipiennegramme,hebdomacents,daily,weekly
repos,sommeil,remac,somceau,rest,sleep
sang,urine,jung,urtre,blood,urine
sucre,chocolat,sumpe,chologrès,sugar,chocolate
méridional,occidental,mérimètrenal,occidennique,southern,western
farce,blague,facee,urague,trick,joke
dvd,vidéo,tode,vigue,dvd,video
dynastie,empire,dyamortie,emface,dynasty,empire
puce,appareil,ence,appapèce,chip,device
éclat,brillant,élaît,brilment,shine,bright
éclater,exploser,énerter,exlaisser,burst,explode
écouter,entendre,pseuter,ennistre,listen,hear
écran,moniteur,amran,monision,screen,monitor
écureuil,raton laveur,cenreuil,raton lthèse,squirrel,raccoon
effrayant,sinistre,efbrasent,sidiaire,scary,creepy
épouvanter,effrayer,clasvanter,effrance,scare,frighten
église,chapelle,lâlise,chaveuse,church,chapel
élève,professeur,ryève,profestère,student,teacher
éliminer,retirer,chamminer,retiquée,eliminate,remove
embaucher,louer,embautant,locar,hire,rent
bisou,câlin,bimac,câboy,kiss,hug
empêcher,arrêter,empêsion,arrêvant,prevent,stop
dehors,autour,debole,aulote,out,about
espèce,monnaie,estale,monrire,cash,money
réellement,vraiment,quanlement,bretment,actually,really
retard,avance,remure,luance,late,early
normalement,habituellement,normaletique,padituennegramme,normally,usually
enchère,vente,enchoir,pronte,auction,sale
fiançailles,mariage,prinçailles,malisme,engagement,wedding
ennemi,adversaire,ennamotreilleuse,advertures,enemy,opponent
enthousiasme,passion,enthouvasses,chision,enthusiasm,passion
pratiquer,exercer,protantir,pourcer,practice,exercise
entraîneur,joueur,enfoinneur,torreur,coach,player
entreprise,société,entresonne,stoquité,company,corporation
entrer,aller,enleter,deller,enter,go
envelopper,emballer,nevolperer,empirler,envelope,package
environnement,atmosphère,entironnement,tasmopère,environment,atmosphere
épaule,genou,neaule,gedie,shoulder,knee
épée,couteau,éplo,coudante,sword,knife
équilibre,harmonie,équiriole,harmoteur,balance,harmony
équipage,bateau,équidote,busont,crew,ship
équipement,équiper,chanpement,chanper,equipment,equip
équitable,raisonnable,quentable,raisonrette,fair,reasonable
erreur,faute,ercier,fuase,error,mistake
escargot,tortue,escarreau,torpas,snail,turtle
escorte,accompagner,esckout,accompaliste,escort,accompany
espérer,foi,espétais,nif,hope,faith
espionnage,sabotage,essayenage,saboréal,espionage,sabotage
espion,traître,esfois,trairse,spy,traitor
essayer,tentative,esgages,tentarant,try,attempt
estomac,poitrine,estocute,certrine,stomach,chest
éternel,toujours,technel,toulures,eternal,forever
étroit,large,wiroit,laone,narrow,wide
valeur,prix,évatern,niox,value,price
évêque,cardinal,évuble,cardigère,bishop,cardinal
évolution,mutation,élovument,mutanées,evolution,mutation
examen,inspection,exaros,inspeccher,examination,inspection
examiner,enquêter,prosminer,enthouter,examine,investigate
excellent,génial,expentent,gépier,excellent,great
exceptionnel,remarquable,expectiontique,remarnaille,exceptional,remarkable
expérience,connaissances,extépenses,containfrance,experience,knowledge
expérience,test,extépenses,tely,experiment,test
expert,spécialiste,expour,spéciations,expert,specialist
explication,plausible,plicexapades,perslible,explanation,plausible
extrêmement,très,exmestrêmique,trus,extremely,very
fabriquer,faire,fabrinant,fagre,make,do
facteur,élément,pouteur,sifment,factor,element
faim,soif,foda,siom,hunger,thirst
gérer,réussir,géser,blessir,manage,succeed
fatigué,faim,fatirine,fahi,tired,hungry
factice,faux,psytice,fape,fake,FALSE
fédéral,état,fédécoif,keat,federal,state
féliciter,saluer,félicifique,salock,congratulate,greet
fer,métal,bir,mémer,iron,metal
verrouillé,fermé,anirouillé,boumé,locked,closed
fermement,fortement,fermetion,forterais,firmly,strongly
fermier,ouvrier,fertial,ousoire,farmer,worker
feu,flamme,iau,anamme,fire,flame
fichier,document,firaire,doculier,file,document
loyal,fidèle,lourl,fibade,loyal,faithful
fidélité,dévouement,financelité,décentment,fidelity,devotion
loyauté,honnêteté,confuté,éclainêteté,loyalty,honesty
fier,enthousiaste,fidé,enthoutaille,proud,excited
fille,garçon,finae,gartum,girl,boy
final,ultime,fitor,ultard,final,ultimate
finalement,enfin,finaletique,engée,finally,eventually
financièrement,financement,ninantièrement,ninantement,financially,financing
finir,terminer,fitir,pousminer,end,finish
fissure,trou,fistard,tofi,crack,hole
flatter,impressionner,braster,impresacharner,flatter,impress
fleuve,lac,flirve,nac,river,lake
opérer,chirurgie,amirer,tourrurgie,operate,surgery
fondre,geler,eindre,geman,melt,freeze
puissance,force,fiansance,fogue,strength,force
formulaire,signer,formunique,sicent,form,sign
train,bus,trion,hos,train,bus
fort,faible,fops,facele,strong,weak
foudre,tonnerre,etudre,tongesse,lightning,thunder
foule,public,foise,pufrit,crowd,audience
four,poêle,foez,ponje,oven,stove
fragment,morceau,cresment,pidée,fragment,piece
frais,rafraîchir,clais,rafraîsins,fresh,refresh
coup,frappe,cobe,froupe,hit,strike
fuir,échapper,fusir,confiper,flee,escape
fumée,cigare,fugal,cilude,smoke,cigar
fusée,missile,funam,misgere,rocket,missile
fusil,pistolet,fuglé,pistognon,rifle,gun
déclencher,activer,dépanrcher,actition,trigger,activate
gain,gagner,doin,gacent,gain,win
galerie,exposition,galevons,exposidente,gallery,exhibition
gang,groupe,garc,grouai,gang,group
garantie,promettre,galplatie,protendre,guarantee,promise
garçons,filles,garcool,finaes,boys,girls
garder,patrouille,chider,padouilles,guard,patrol
gaz,carburant,olz,corbuciel,gas,fuel
général,colonel,génésien,cologuée,general,colonel
générateur,réacteur,générapaces,réaccroc,generator,reactor
génie,scientifique,géter,scientigence,genius,scientist
geste,acte,luste,orte,gesture,act
glorieux,gloire,glopique,glivre,glorious,glory
gorge,cou,gonde,yal,throat,neck
goût,sentir,gouc,senmon,taste,smell
gouverneur,sénateur,gouvercule,sénamite,governor,senator
grain,farine,groun,famain,grain,flour
grand-père,grand-mère,grizzpère,granddiée,grandfather,grandmother
grenouille,lézard,gresouffle,lérate,frog,lizard
toast,bacon,crast,badéo,toast,bacon
grimper,saut,creuper,saou,climb,jump
grippe,maladie,gronpe,malabour,flu,disease
gros,énorme,aios,soûrme,big,huge
guerre,bataille,averre,baraitre,war,battle
vivre,survivre,vinde,survorce,live,survive
haut,bas,haya,sif,top,bottom
héros,sauveur,hésif,saurent,hero,savior
homme,humain,hoère,huping,man,human
hôpital,clinique,hôpinées,rannique,hospital,clinic
hormone,adrénaline,horjour,ouelnaline,hormone,adrenaline
horreur,peur,canreur,vour,horror,fear
hospitalité,reconnaissance,hospitatouageté,reconjoursaire,hospitality,gratitude
hôtel,motel,hôcan,moroc,hotel,motel
humble,modeste,hufile,modavre,humble,modest
ici,là-bas,uti,bi-ros,here,there
idéal,parfait,pyéal,parport,ideal,perfect
idée,théorie,idêt,shanrie,idea,theory
ignorance,arrogance,ignosagne,arrosesse,ignorance,arrogance
illégal,légal,chlogal,lébra,illegal,legal
illusion,hallucination,prousion,lulinacinague,illusion,hallucination
image,photo,imtre,blato,picture,photo
imagination,créativité,imaginasance,mayontivité,imagination,creativity
impérial,empereur,impéblés,empelées,imperial,emperor
impossible,facile,imposlogue,fatère,impossible,easy
impression,sensation,imullision,sensalade,impression,feeling
impressionnant,incroyable,impressionsique,introuille,impressive,amazing
impulsion,pression,impulcher,fransion,pulse,pressure
incapacité,incapable,pacigramme,incalonne,inability,unable
incident,accident,incigate,accigate,incident,accident
inconfortable,désagréable,inponforcieux,pichaséable,uncomfortable,unpleasant
pointer,indiquer,choiter,indinant,point,indicate
industrie,business,indusgnac,busizine,industry,business
influence,effet,inclenche,eftri,influence,effect
ingénieur,architecte,ingébleau,archiciple,engineer,architect
inhabituel,étrange,inhabimente,tarange,unusual,strange
injustice,déloyal,injusvrer,davoyer,injustice,unfair
innocent,coupable,innonois,coucille,innocent,guilty
inquiet,nerveux,inquage,nergete,worried,nervous
difficulté,problème,dittiyauté,probrote,trouble,problem
insérer,mettre,insémite,merore,insert,put
inspecteur,commissaire,inspecrons,commisfique,inspector,commissioner
inspirer,inspiration,inspitaux,inspirapeute,inspire,inspiration
instinct,intuition,insdiait,intuiment,instinct,intuition
insulter,offenser,niflatter,ofcrisser,insult,offend
malin,intelligent,magal,intellirable,smart,intelligent
interdit,prohiber,interlège,prohilège,forbidden,prohibit
international,monde,incondamnational,fende,international,world
interne,externe,ingente,exdonne,internal,external
interrompre,déranger,interringue,dévoueger,interrupt,disturb
inutile,misérable,inphiée,miséterne,useless,worthless
invasion,attaque,invaneau,attrave,invasion,attack
ironie,ironique,dognie,rannique,irony,ironic
jaloux,fâché,jalais,fâvin,jealous,angry
jamais,toujours,jagare,resjours,never,ever
jeep,camion,jeol,camère,jeep,truck
fiancé,mariée,naiscé,masode,groom,bride
jeunesse,enfance,baynesse,endonte,youth,childhood
pari,poker,paman,ponue,gambling,poker
jolie,magnifique,jotue,magnilline,pretty,beautiful
jouer,jeu,stuer,idu,play,game
journalisme,politique,jounarreuse,poliquide,journalism,politics
reporter,journaliste,reupinter,fronnaliste,reporter,journalist
juin,juillet,juvé,jukelet,june,july
jungle,forêt,uangle,fopei,jungle,forest
jupe,robe,uipe,rout,skirt,dress
jurer,serment,juson,serteur,swear,oath
juridiction,autorité,jurdicument,confétorité,jurisdiction,authority
juste,récemment,oïste,rétection,just,recently
ketchup,mayonnaise,grechut,meyernette,ketchup,mayonnaise
kidnapper,enlever,specnatter,enteler,kidnap,abduct
kidnappeur,rançon,specnatteur,éliçon,kidnapper,ransom
kilo,gramme,eslo,gramgé,kilo,gram
kilomètre,mètre,kilotesse,kitre,kilometer,meter
klaxon,sifflet,niaxon,sibblic,horn,whistle
été,hiver,dré,higie,summer,winter
internet,web,interdure,lub,internet,web
démence,stupidité,démière,granpidité,madness,stupidity
diarrhée,nausée,diarbine,naulet,diarrhea,nausea
fenêtre,porte,felette,poune,window,door
fille,fils,fimme,fira,daughter,son
finance,investir,fipable,invesnant,finance,invest
fréquence,signal,imaquence,sicaol,frequency,signal
lecture,écriture,styture,printure,reading,writing
magie,sorcier,mélem,sorgner,magic,wizard
navigation,communication,tavigarette,cumunoigraphe,navigation,communication
pauvreté,misère,ignovreté,mimuse,poverty,misery
peau,tissus,épau,tisnée,skin,tissue
personne,individu,persesse,indiviment,person,individual
peste,épidémie,naste,épidésert,plague,epidemic
physique,mathématiques,obstique,matrémadaille,physics,mathematics
publicité,marketing,pupitrecité,marteloux,advertising,marketing
résistance,résister,résisfique,rébralter,resistance,resist
source,informateur,soence,informachine,source,informant
technologie,science,confénologie,ryience,technology,science
tombe,cimetière,togue,cimenance,grave,cemetery
tour,bâtiment,crur,bâtitude,tower,building
toux,fièvre,topu,baèvre,cough,fever
troisième,quatrième,troimiste,quateille,third,fourth
victoire,défaite,dontoire,déchine,victory,defeat
goutte,gorgée,goante,gorfia,drop,sip
lait,jus,lari,mos,milk,juice
lampe,bougie,latec,desgie,lamp,candle
larme,couper,lalie,cougir,tear,cut
lasagne,spaghetti,lagasme,spaégrati,lasagna,spaghetti
chaos,confusion,lechasse,tuyausion,chaos,confusion
commandant,capitaine,commantude,capisives,commander,captain
dessert,gâteau,desdeur,gâneur,dessert,cake
golf,tennis,gojà,tenvée,golf,tennis
jazz,musique,jaût,muniste,jazz,music
management,administratif,managetique,amindistraphe,management,administrative
minimum,maximum,nimisert,maxivée,minimum,maximum
pardon,pitié,parbel,pidou,forgiveness,mercy
printemps,automne,printecte,authans,spring,autumn
progrès,développement,proguer,développerasses,progress,development
respect,confiance,resgant,confiagee,respect,confidence
sida,vih,sicin,voz,aids,hiv
sourire,rigoler,souphie,rigosion,smile,laugh
tabac,cigarette,tapha,cigageais,tobacco,cigarette
légion,armée,létium,archu,legion,army
lent,vite,agte,iste,slow,fast
lentement,rapidement,lentetion,radepitique,slowly,quickly
données,information,dontins,forminazette,data,information
lesbienne,gay,pombienne,epa,lesbian,gay
lèvre,joue,ryvre,jomi,lip,cheek
liberté,démocratie,ligionté,démodestetie,freedom,democracy
librement,libre,librequin,lirae,freely,free
lier,nouer,liti,nobur,bind,tie
place,lieu,roeu,lico,place,location
ligue,équipe,licoe,duipen,league,team
limonade,soda,limosphé,smen,lemonade,soda
liquide,fluide,livulse,flopde,liquid,fluid
lire,écrire,jere,écridée,read,write
locataire,propriétaire,locanique,prioprénique,tenant,landlord
maison,appartement,potson,annarteforme,house,apartment
logiciel,ordinateur,logitout,ordinculpe,software,computer
loisir,sport,jeusir,réort,hobby,sport
lourd,lourdement,lohad,blesdement,heavy,heavily
lunaire,solaire,lusance,soléeje,lunar,solar
lundi,mardi,neadi,avidi,monday,tuesday
lune,soleil,lumé,sovese,moon,sun
lunettes,casquette,lumeuses,touquette,glasses,cap
mafia,cartel,madog,carrou,mafia,cartel
magasin,boutique,magageur,fertique,shop,store
magnétique,électrique,magnélaire,élecmiques,magnetic,electric
magnifique,fantastique,magnitance,fantaslaire,wonderful,fantastic
main,bras,nami,bron,hand,arm
maîtresse,amant,luttresse,acroreux,mistress,lover
majesté,altesse,maflirté,alpette,majesty,highness
majorité,voter,madairerité,voqué,majority,vote
mal,cruauté,dul,chausté,evil,cruelty
souffrant,malade,soufdroit,matome,ill,sick
malédiction,sorcière,molédioments,sorcient,curse,witch
malheureux,malheur,malheumore,malreté,unfortunate,misfortune
mallette,valise,terlette,vavait,briefcase,suitcase
protestation,manifestation,protestasance,manifestagramme,protest,demonstration
maquette,prototype,manentes,protoblin,model,prototype
marathon,course,marasuel,cobase,marathon,race
mari,femme,maley,feide,husband,wife
marin,marine,macès,mamore,marine,navy
marque,produit,magoue,proprie,brand,product
marron,bleu,cheron,ageu,brown,blue
mars,vénus,maig,vébat,mars,venus
homme,femme,bemme,bimme,male,female
mec,pote,uic,poud,dude,bro
