"fr_target","fr_cue","type","target_type","cue_type","fr_cosine"
"explosif","bombe","related","word","word",0.606892327745442
"au revoir","bonjour","related","word","word",NA
"nez","bouche","related","word","word",0.433507975821233
"armure","bouclier","related","word","word",0.482172994012291
"sable","boue","related","word","word",0.461628639381406
"transfert","bouge toi","related","word","word",NA
"carte","boussole","related","word","word",0.414293549045167
"presse","bouton","related","word","word",0.263951327597476
"alpha","bravo","related","word","word",0.443251594942126
"pause","briser","related","word","word",0.0797158216507539
"dollar","broyer","related","word","word",0.0819614411472131
"sonner","bruit","related","word","word",0.390347506093823
"cruel","brutal","related","word","word",0.621009513492497
"le financement","budget","related","word","word",NA
"arbre","buisson","related","word","word",0.609766080961821
"intention","but","related","word","word",0.357073658430036
"plate-forme","cabine","related","word","word",NA
"toilettes","cabinet","related","word","word",0.178831546609216
"fil","câble","related","word","word",0.470310114407529
"programme","calendrier","related","word","word",0.31819046646389
"balle","calibre","related","word","word",0.457412853156802
"village","camp","related","word","word",0.439858158169937
"élection","campagne","related","word","word",0.469266050963506
"nouvelles","canal","related","word","word",0.165550793404609
"électeur","candidat","related","word","word",0.541181089168576
"vanille","canelle","related","word","word",0.516587481160093
"capacité","capacité","related","word","word",1
"ville","capitale","related","word","word",0.49148457568454
"sonde","capsule","related","word","word",0.499662691551362
"émetteur","capteur","related","word","word",0.61134085181649
"hydrogène","carbone","related","word","word",0.637860594623361
"festival","carnaval","related","word","word",0.519543783060013
"réputation","carrière","related","word","word",0.512816796084314
"chapeau","casque","related","word","word",0.56818479588993
"christian","catholique","related","word","word",0.228459759962668
"rêver","cauchemar","related","word","word",0.391561752942232
"artillerie","cavalerie","related","word","word",0.540524373585298
"star","célébrité","related","word","word",0.598069105902586
"marié","célibataire","related","word","word",0.595507611866205
"prison","cellule","related","word","word",0.5826175368376
"poussière","cendre","related","word","word",0.646005322752215
"triangle","cercle","related","word","word",0.49992219228961
"funéraire","cercueil","related","word","word",0.458701721005492
"cérébral","cerveau","related","word","word",0.605609639230583
"rome","césar","related","word","word",0.581830061673106
"corde","chaîne","related","word","word",0.374092018913502
"frais","chaleureux","related","word","word",0.188230324101113
"combattant","champion","related","word","word",0.408505843778849
"possibilité","chance","related","word","word",0.528907727914285
"président","chancelier","related","word","word",0.458928963776528
"amélioration","changement","related","word","word",0.468822478117124
"musicien","chanteur","related","word","word",0.709896111326238
"moteur","char","related","word","word",0.318596723928321
"huile","charbon","related","word","word",0.375701062265382
"cargaison","charge","related","word","word",0.271368659967754
"don","charité","related","word","word",0.341572494898305
"beauté","charme","related","word","word",0.39416877090455
"faire de la pêche","chasse","related","word","word",NA
"du froid","chaud","related","word","word",NA
"température","chauffer","related","word","word",0.383638620370737
"veste","chemise","related","word","word",0.758272419394626
"vérifier","chèque","related","word","word",0.131821694089022
"pas cher","cher","related","word","word",NA
"trouver","chercher","related","word","word",0.530319127205858
"barbe","cheveu","related","word","word",0.398748165058462
"chat","chien","related","word","word",0.7309242701536
"mouchoir","chiffon","related","word","word",0.571504005028961
"la biologie","chimie","related","word","word",NA
"biologique","chimique","related","word","word",0.594200822962734
"médecin","chirurgien","related","word","word",0.695118939586604
"sélectionner","choisir","related","word","word",0.562890591781662
"option","choix","related","word","word",0.454413571172776
"céleste","ciel","related","word","word",0.482612971244203
"plastique","ciment","related","word","word",0.462350719897666
"théâtre","cinéma","related","word","word",0.663273128931427
"militaire","civil","related","word","word",0.51759867953222
"de toute évidence","clairement","related","word","word",NA
"famille","clan","related","word","word",0.493556731362056
"l'école","classer","related","word","word",NA
"fermer à clé","clé","related","word","word",NA
"dent","clou","related","word","word",0.277827078725321
"bar","club","related","word","word",0.605942331660597
"héroïne","cocaïne","related","word","word",0.73127235912173
"le mot de passe","code","related","word","word",NA
"ruelle","coin","related","word","word",0.449980028678729
"rage","colère","related","word","word",0.591879852635165
"déjeuner","collation","related","word","word",0.406410406016091
"rassembler","collecter","related","word","word",0.542879378426658
"amie","collègue","related","word","word",0.549788984759904
"marteau","coller","related","word","word",0.313409879971717
"montagne","colline","related","word","word",0.713230116316084
"fédération","colonie","related","word","word",0.492921209216344
"se battre","combat","related","word","word",NA
"mélange","combinaison","related","word","word",0.346200961323009
"commande","commander","related","word","word",0.684016177755474
"déclaration","commenter","related","word","word",0.390567651469624
"marchande","commercial","related","word","word",0.310246692618398
"comité","commission","related","word","word",0.672702079544536
"généreuse","compatissant","related","word","word",0.417737508117058
"cadeau","compliment","related","word","word",0.465078951292157
"calculer","compter","related","word","word",0.314452730042504
"quartier","comté","related","word","word",0.407684258415214
"définition","concept","related","word","word",0.456258849051762
"supposition","conclusion","related","word","word",0.483961516892008
"championnat","concurrence","related","word","word",0.170659441460368
"conduire","conduire","related","word","word",1
"rencontre","conférence","related","word","word",0.345278001305684
"croyez","confiance","related","word","word",0.203508892143412
"confirmer","confirmation","related","word","word",0.604989705338152
"contestation","conflit","related","word","word",0.303183042793534
"conseiller","conseils","related","word","word",0.468689978380685
"libéral","conservateur","related","word","word",0.592317540630145
"pense","considérer","related","word","word",0.378561411086125
"fraude","conspiration","related","word","word",0.510053711787925
"construire","construction","related","word","word",0.659940271201655
"connexion","contact","related","word","word",0.426079473012781
"radiation","contamination","related","word","word",0.583254659057999
"contenu","contenir","related","word","word",0.51453568333059
"accord","contrat","related","word","word",0.6062518876749
"manipuler","contrôler","related","word","word",0.616465440965517
"discussion","conversation","related","word","word",0.821199338084858
"corps","corps","related","word","word",1
"surface","couche","related","word","word",0.20977217941496
"aube","coucher de soleil","related","word","word",NA
"café","coupe","related","word","word",0.230170393359036
"détermination","courage","related","word","word",0.545906766001815
"électricité","courant","related","word","word",0.475422650605229
"trône","couronne","related","word","word",0.540627141505735
"fax","courrier","related","word","word",0.509608169658972
"marche","cours","related","word","word",0.15985860791975
"long","court","related","word","word",0.412024912801666
"serviette","couverture","related","word","word",0.399759310819083
"cacher","couverture","related","word","word",0.234941188752791
"destruction","création","related","word","word",0.510978788279
"prêter","crédit","related","word","word",0.285663608348185
"produire","créer","related","word","word",0.517243698413276
"sauce","crème","related","word","word",0.547730076714686
"enterrer","creuser","related","word","word",0.546388467509037
"politique","critique","related","word","word",0.332861166727474
"fourchette","cuillère","related","word","word",0.631177796023829
"chef","cuisiner","related","word","word",0.180197915504022
"bout","cul","related","word","word",0.244186665404087
"civilisation","culture","related","word","word",0.597407459270842
"ouais","d'accord","related","word","word",NA
"danse","danseur","related","word","word",0.517916614637218
"nation","de campagne","related","word","word",NA
"arrière","de face","related","word","word",NA
"drogue","de l'alcool","related","word","word",NA
"important","de valeur","related","word","word",NA
"honnête","décent","related","word","word",0.504044863953769
"disparition","décès","related","word","word",0.491394207592735
"des ordures","déchets","related","word","word",NA
"dépenser","déchets","related","word","word",0.202345337035679
"express","décris","related","word","word",0.0502822834923149
"toujours","déjà","related","word","word",0.360894522492241
"sensible","délicat","related","word","word",0.547087745938111
"délicieuse","délicieux","related","word","word",0.6809504685586
"matin","demain","related","word","word",0.409452813765613
"demande","demande","related","word","word",1
"chaussure","démarrage","related","word","word",0.115489192366173
"trimestre","demi","related","word","word",0.157246543831418
"congédiement","démission","related","word","word",0.500332070911532
"irresponsable","déraisonnable","related","word","word",0.547298737838885
"vallée","désert","related","word","word",0.443576768975426
"souhaiter","désir","related","word","word",0.242881620964174
"destin","destin","related","word","word",1
"amour","détester","related","word","word",0.171076444993491
"minuteur","détonateur","related","word","word",0.658658869617189
"quatre","deux","related","word","word",0.758845955606356
"bijou","diamant","related","word","word",0.65730216840783
"phrase","dictionnaire","related","word","word",0.460863383436115
"divin","dieu","related","word","word",0.423073821639613
"dur","difficile","related","word","word",0.762291996391672
"laid","digue","related","word","word",0.0277314312969425
"petit-déjeuner","dîner","related","word","word",NA
"diplômé","diplôme","related","word","word",0.685478910070714
"dire","dire","related","word","word",1
"directement","direct","related","word","word",0.492416819608583
"chef","directeur","related","word","word",0.482614976341615
"sermon","discours","related","word","word",0.615636819002391
"enregistrement","disque","related","word","word",0.490521469044997
"vitesse","distance","related","word","word",0.399477654283097
"mariage","divorce","related","word","word",0.56224856993915
"pouce","doigt","related","word","word",0.614126994574261
"argent","doré","related","word","word",0.204632137835416
"injection","dose","related","word","word",0.527740298797584
"tripler","double","related","word","word",0.518716730819781
"salle de bain","douche","related","word","word",NA
"suspect","doute","related","word","word",0.162965093703326
"doux","doux","related","word","word",1
"professeur","doyen","related","word","word",0.544492740939868
"lion","dragon","related","word","word",0.585997858421069
"la comédie","drame","related","word","word",NA
"symbole","drapeau","related","word","word",0.438904320708992
"la gauche","droit","related","word","word",NA
"constitution","droit","related","word","word",0.336761548902396
"hebdomadaire","du quotidien","related","word","word",NA
"sommeil","du repos","related","word","word",NA
"urine","du sang","related","word","word",NA
"chocolat","du sucre","related","word","word",NA
"occidental","du sud","related","word","word",NA
"blague","duper","related","word","word",0.262207843647864
"vidéo","dvd","related","word","word",0.482708975307311
"empire","dynastie","related","word","word",0.417223882265364
"appareil","ébrécher","related","word","word",0.154994102740108
"brillant","éclat","related","word","word",0.366058079941239
"exploser","éclater","related","word","word",0.621813215193006
"écouter","ecoutez","related","word","word",0.287906750596064
"surveiller","écran","related","word","word",0.122259490152747
"raton laveur","écureuil","related","word","word",NA
"sinistre","effrayant","related","word","word",0.510240699290418
"effrayer","effrayer","related","word","word",1
"chapelle","église","related","word","word",0.665399329212786
"prof","élève","related","word","word",0.501109306126104
"retirer","éliminer","related","word","word",0.343647601384258
"louer","embaucher","related","word","word",0.354575953010319
"câlin","embrasser","related","word","word",0.415141896139895
"arrêter","empêcher","related","word","word",0.579191006963285
"sur","en dehors","related","word","word",NA
"de l'argent","en espèces","related","word","word",NA
"vraiment","en fait","related","word","word",NA
"de bonne heure","en retard","related","word","word",NA
"d'habitude","en temps normal","related","word","word",NA
"vendre","enchères","related","word","word",0.32807138938736
"mariage","engagement","related","word","word",0.421351303738147
"adversaire","ennemi","related","word","word",0.617720083164039
"passion","enthousiasme","related","word","word",0.479831336599506
"exercer","entraine toi","related","word","word",NA
"joueur","entraîneur","related","word","word",0.549250211319612
"société","entreprise","related","word","word",0.715444898453885
"va","entrer","related","word","word",0.190160361994121
"emballer","enveloppe","related","word","word",0.317769564336701
"atmosphère","environnement","related","word","word",0.476816309533982
"le genou","épaule","related","word","word",NA
"couteau","épée","related","word","word",0.521930328740755
"harmonie","équilibre","related","word","word",0.524032413507065
"bateau","équipage","related","word","word",0.40637642112118
"équiper","équipement","related","word","word",0.516819498110704
"raisonnable","équitable","related","word","word",0.502830014944407
"erreur","erreur","related","word","word",1
"tortue","escargot","related","word","word",0.458250109451122
"accompagner","escorte","related","word","word",0.36299151058923
"foi","espérer","related","word","word",0.250533429134573
"sabotage","espionnage","related","word","word",0.464365341150861
"traitre","espionner","related","word","word",0.246812113919522
"tentative","essayer","related","word","word",0.352671978495344
"coffre","estomac","related","word","word",0.252375299147785
"toujours","éternel","related","word","word",0.322827675463038
"large","étroit","related","word","word",0.437139230486558
"le prix","évaluer","related","word","word",NA
"cardinal","évêque","related","word","word",0.581678659224733
"mutation","évolution","related","word","word",0.493294491773149
"inspection","examen","related","word","word",0.457411927214495
"enquêter","examiner","related","word","word",0.465651087863549
"génial","excellent","related","word","word",0.52514347050931
"remarquable","exceptionnel","related","word","word",0.626628193236813
"connaissances","expérience","related","word","word",0.407188231068027
"test","expérience","related","word","word",0.274975337634013
"spécialiste","expert","related","word","word",0.754058645579301
"plausible","explication","related","word","word",0.480262585595995
"très","extrêmement","related","word","word",0.773396303328857
"fais","fabriquer","related","word","word",0.167967102768493
"élément","facteur","related","word","word",0.373987068269768
"la soif","faim","related","word","word",NA
"réussir","faire en sorte","related","word","word",NA
"faim","fatigué","related","word","word",0.424455002160823
"faux","faux","related","word","word",1
"etat","fédéral","related","word","word",0.42044206136685
"saluer","féliciter","related","word","word",0.595260826979292
"métal","fer à repasser","related","word","word",NA
"fermé","fermé à clé","related","word","word",NA
"fortement","fermement","related","word","word",0.461675087719101
"ouvrier","fermier","related","word","word",0.446540388522335
"flamme","feu","related","word","word",0.511827020670373
"document","fichier","related","word","word",0.528402021046694
"fidèle","fidèle","related","word","word",1
"dévouement","fidélité","related","word","word",0.483593920498191
"honnêteté","fidélité","related","word","word",0.549670437734883
"excité","fier","related","word","word",0.344715251527518
"garçon","fille","related","word","word",0.579083956184534
"ultime","final","related","word","word",0.487481841363864
"finalement","finalement","related","word","word",1
"financement","financièrement","related","word","word",0.455150850277264
"terminer","finir","related","word","word",0.820214703668419
"trou","fissure","related","word","word",0.427531768580721
"impressionner","flatter","related","word","word",0.546577892190304
"lac","fleuve","related","word","word",0.690316489269324
"opération","fonctionner","related","word","word",0.25146567943485
"geler","fondre","related","word","word",0.469072685561198
"obliger","force","related","word","word",0.348228220959672
"signer","forme","related","word","word",0.0397346628046578
"autobus","former","related","word","word",0.100322663588359
"faible","fort","related","word","word",0.42838120038575
"tonnerre","foudre","related","word","word",0.535550341462782
"public","foule","related","word","word",0.429606232950899
"poêle","four","related","word","word",0.528174643549444
"pièce","fragment","related","word","word",0.173732245608571
"rafraîchir","frais","related","word","word",0.23445036714877
"la grève","frapper","related","word","word",NA
"échapper","fuir","related","word","word",0.57108602745677
"cigare","fumée","related","word","word",0.373383657801801
"missile","fusée","related","word","word",0.501319480173163
"arme à feu","fusil","related","word","word",NA
"activer","gâchette","related","word","word",0.292141139167614
"gagner","gain","related","word","word",0.346054913147992
"exposition","galerie","related","word","word",0.542009673803284
"grouper","gang","related","word","word",0.305195350044091
"promettre","garantie","related","word","word",0.378187204882291
"filles","garçons","related","word","word",0.738411798666274
"patrouille","garder","related","word","word",0.108429142471454
"carburant","gaz","related","word","word",0.490731690827055
"colonel","général","related","word","word",0.646772484817725
"réacteur","générateur","related","word","word",0.661133852175536
"scientifique","génie","related","word","word",0.427457699313219
"acte","geste","related","word","word",0.481566532120462
"gloire","glorieux","related","word","word",0.534674436094549
"cou","gorge","related","word","word",0.484091083281827
"sentir","goût","related","word","word",0.272835200950546
"sénateur","gouverneur","related","word","word",0.688039575686441
"farine","grain","related","word","word",0.39400917835128
"grand-mère","grand-père","related","word","word",NA
"lézard","grenouille","related","word","word",0.515976865644215
"bacon","griller","related","word","word",0.413290111368851
"saut","grimper","related","word","word",0.296238109208926
"maladie","grippe","related","word","word",0.597055790376807
"énorme","gros","related","word","word",0.576262132589968
"bataille","guerre","related","word","word",0.608006007107208
"survivre","habitent","related","word","word",0.246678348322388
"bas","haut","related","word","word",0.791565483858913
"sauveur","héros","related","word","word",0.543194143215884
"humain","homme","related","word","word",0.461500999004614
"clinique","hôpital","related","word","word",0.6352037528347
"adrénaline","hormone","related","word","word",0.554842415384071
"peur","horreur","related","word","word",0.37369292767359
"reconnaissance","hospitalité","related","word","word",0.406920715146414
"motel","hôtel","related","word","word",0.680619930886736
"modeste","humble","related","word","word",0.620526598114754
"là","ici","related","word","word",0.602970889922234
"parfait","idéal","related","word","word",0.646334840499252
"théorie","idée","related","word","word",0.424536775249387
"arrogance","ignorance","related","word","word",0.582171932289575
"légal","illégal","related","word","word",0.673750742885061
"hallucination","illusion","related","word","word",0.524992373024444
"photo","image","related","word","word",0.48699696861934
"la créativité","imagination","related","word","word",NA
"empereur","impérial","related","word","word",0.513066585394832
"facile","impossible","related","word","word",0.546816658128847
"sentiment","impression","related","word","word",0.555577713797866
"étonnante","impressionnant","related","word","word",0.489742952525342
"pression","impulsion","related","word","word",0.26889516344038
"incapable","incapacité","related","word","word",0.648134661655508
"accident","incident","related","word","word",0.621637330815696
"désagréable","inconfortable","related","word","word",0.572714979922011
"indiquer","indiquer","related","word","word",1
"affaires","industrie","related","word","word",0.185311469474534
"effet","influence","related","word","word",0.387769193739681
"architecte","ingénieur","related","word","word",0.568138403583392
"étrange","inhabituel","related","word","word",0.65479102992236
"injuste","injustice","related","word","word",0.523997131289791
"coupable","innocent","related","word","word",0.55553125766092
"nerveux","inquiet","related","word","word",0.560367022876669
"problème","inquiéter","related","word","word",0.244132923733501
"mettre","insérer","related","word","word",0.416612410349975
"le commissaire","inspecteur","related","word","word",NA
"inspiration","inspirer","related","word","word",0.559473545593636
"intuition","instinct","related","word","word",0.628184315812859
"offenser","insulter","related","word","word",0.549342621351446
"intelligent","intelligent","related","word","word",1
"interdire","interdit","related","word","word",0.698157370249804
"monde","international","related","word","word",0.220170542494656
"externe","interne","related","word","word",0.70254478541532
"déranger","interrompre","related","word","word",0.659439924379361
"sans valeur","inutile","related","word","word",NA
"attaque","invasion","related","word","word",0.598744248516538
"ironique","ironie","related","word","word",0.557583398943388
"en colère","jaloux","related","word","word",NA
"jamais","jamais","related","word","word",1
"un camion","jeep","related","word","word",NA
"la mariée","jeune marié","related","word","word",NA
"enfance","jeunesse","related","word","word",0.499866242782622
"poker","jeux d'argent","related","word","word",NA
"magnifique","jolie","related","word","word",0.606443696456145
"jeu","jouer","related","word","word",0.450007168049835
"politique","journalisme","related","word","word",0.467318500912714
"journaliste","journaliste","related","word","word",1
"juillet","juin","related","word","word",0.7329552720008
"forêt","jungle","related","word","word",0.613956308301885
"robe","jupe","related","word","word",0.672791107176358
"serment","jurer","related","word","word",0.474820453249494
"autorité","juridiction","related","word","word",0.49734107663256
"récemment","juste","related","word","word",0.195153941154074
"mayonnaise","ketchup","related","word","word",0.587528649688836
"enlever","kidnapper","related","word","word",0.38919838262843
"une rançon","kidnappeur","related","word","word",NA
"gramme","kilo","related","word","word",0.627621424791087
"mètre","kilomètre","related","word","word",0.596680696656437
"siffler","klaxon","related","word","word",0.355517925597226
"hiver","l'été","related","word","word",NA
"la toile","l'internet","related","word","word",NA
"stupidité","la démence","related","word","word",NA
"la nausée","la diarrhée","related","word","word",NA
"porte","la fenêtre","related","word","word",NA
"fils","la fille","related","word","word",NA
"investir","la finance","related","word","word",NA
"signal","la fréquence","related","word","word",NA
"en écrivant","la lecture","related","word","word",NA
"sorcier","la magie","related","word","word",NA
"la communication","la navigation","related","word","word",NA
"misère","la pauvreté","related","word","word",NA
"tissu","la peau","related","word","word",NA
"individuel","la personne","related","word","word",NA
"épidémie","la peste","related","word","word",NA
"mathématiques","la physique","related","word","word",NA
"commercialisation","la publicité","related","word","word",NA
"résister","la résistance","related","word","word",NA
"informateur","la source","related","word","word",NA
"la science","la technologie","related","word","word",NA
"cimetière","la tombe","related","word","word",NA
"bâtiment","la tour","related","word","word",NA
"fièvre","la toux","related","word","word",NA
"quatrième","la troisième","related","word","word",NA
"défaite","la victoire","related","word","word",NA
"siroter","laissez tomber","related","word","word",NA
"jus","lait","related","word","word",0.607715732163853
"bougie","lampe","related","word","word",0.62540392433952
"couper","larme","related","word","word",0.111114233384821
"spaghetti","lasagne","related","word","word",0.564401138981264
"confusion","le chaos","related","word","word",NA
"capitaine","le commandant","related","word","word",NA
"gâteau","le dessert","related","word","word",NA
"tennis","le golf","related","word","word",NA
"la musique","le jazz","related","word","word",NA
"administratif","le management","related","word","word",NA
"maximum","le minimum","related","word","word",NA
"pitié","le pardon","related","word","word",NA
"automne","le printemps","related","word","word",NA
"développement","le progrès","related","word","word",NA
"confiance","le respect","related","word","word",NA
"vih","le sida","related","word","word",NA
"rire","le sourire","related","word","word",NA
"cigarette","le tabac","related","word","word",NA
"armée","légion","related","word","word",0.515949828881045
"vite","lent","related","word","word",0.31993822037885
"rapidement","lentement","related","word","word",0.595951038089005
"information","les données","related","word","word",NA
"gay","lesbiennes","related","word","word",0.553838958676319
"joue","lèvre","related","word","word",0.254519314271545
"la démocratie","liberté","related","word","word",NA
"libre","librement","related","word","word",0.460217915312324
"nouer","lier","related","word","word",0.388267438370291
"lieu","lieu","related","word","word",1
"équipe","ligue","related","word","word",0.471528715391083
"un soda","limonade","related","word","word",NA
"fluide","liquide","related","word","word",0.566998835079429
"écrivez","lire","related","word","word",0.422036766060585
"propriétaire","locataire","related","word","word",0.572656543099533
"appartement","loger","related","word","word",0.287063066737341
"l'ordinateur","logiciel","related","word","word",NA
"sport","loisir","related","word","word",0.325907866299603
"fortement","lourd","related","word","word",0.172179430346508
"solaire","lunaire","related","word","word",0.473146369145871
"mardi","lundi","related","word","word",0.798301080708412
"soleil","lune","related","word","word",0.502146431968608
"casquette","lunettes","related","word","word",0.59715609783839
"cartel","mafia","related","word","word",0.546493201942437
"boutique","magasin","related","word","word",0.805870809869098
"électrique","magnétique","related","word","word",0.581576561411954
"fantastique","magnifique","related","word","word",0.700422964829771
"bras","main","related","word","word",0.460410491986586
"amoureux","maîtresse","related","word","word",0.323920904106434
"altesse","majesté","related","word","word",0.674114819238859
"voter","majorité","related","word","word",0.454908578445061
"cruauté","mal","related","word","word",0.199780764506007
"malade","malade","related","word","word",1
"sorcière","malédiction","related","word","word",0.528802213897586
"malheur","malheureux","related","word","word",0.481442418991896
"valise","mallette","related","word","word",0.751842239169723
"manifestation","manifestation","related","word","word",1
"prototype","maquette","related","word","word",0.422982530628682
"course","marathon","related","word","word",0.406850709488967
"femme","mari","related","word","word",0.604201567014265
"marine","marin","related","word","word",0.60083582792754
"produit","marque","related","word","word",0.242085006922347
"bleu","marron","related","word","word",0.658070931067847
"vénus","mars","related","word","word",0.523286105700858
"femme","masculin","related","word","word",0.270003454426708
"copain","mec","related","word","word",0.484379685816945
"sale","méchant","related","word","word",0.335348169417863
"psychologique","médical","related","word","word",0.494048250874071
"chef","membre","related","word","word",0.384678802060158
"menteur","mensonge","related","word","word",0.499031835668172
"émotif","mental","related","word","word",0.419511143500634
"océan","mer","related","word","word",0.691007659574587
"assassin","mercenaire","related","word","word",0.420777955097657
"père","mère","related","word","word",0.650678164790762
"digne","mériter","related","word","word",0.443004522691947
"technique","méthode","related","word","word",0.634773928236826
"haut","meugler","related","word","word",0.139464802003273
"centimètre","mile","related","word","word",0.0541091133621833
"cent","mille","related","word","word",0.670745378508706
"milliard","million","related","word","word",0.821234752750742
"entrepreneur","millionnaire","related","word","word",0.439055242919236
"épais","mince","related","word","word",0.484453055385319
"lingue","ming","related","word","word",0.109132862538587
"midi","minuit","related","word","word",0.630977786098241
"pathétique","misérable","related","word","word",0.638076974126967
"traditionnel","moderne","related","word","word",0.438820624260374
"prêtre","moine","related","word","word",0.619552816211822
"semaine","mois","related","word","word",0.708269908904943
"beurre","mon chéri","related","word","word",NA
"créature","monstre","related","word","word",0.579690540693443
"statue","monument","related","word","word",0.513921364923815
"fatal","mortel","related","word","word",0.579920011388045
"phrase","mot","related","word","word",0.545595096306545
"alibi","motif","related","word","word",0.35321712430247
"clôture","mur","related","word","word",0.454234552062979
"légende","mythe","related","word","word",0.618057551858188
"grossesse","naissance","related","word","word",0.358612388331872
"cynique","naïve","related","word","word",0.521666559303335
"stupide","naïve","related","word","word",0.47459789324211
"global","nationale","related","word","word",0.257617561546259
"artificiel","naturel","related","word","word",0.450227287530805
"généralement","naturellement","related","word","word",0.422634886282162
"flotte","naval","related","word","word",0.330794153997836
"besoin","nécessaire","related","word","word",0.405072825163509
"muscle","nerf","related","word","word",0.516194075210435
"lavage","nettoyer","related","word","word",0.31758982829523
"oeuf","nid","related","word","word",0.415343506660735
