"vi_cue","vi_target","type","cue_type","target_type","vi_cosine"
"quả táo","hoa quả","related","word","word",NA
"họa sĩ","họa sĩ","related","word","word",NA
"tên lửa","hỏa tiễn","related","word","word",NA
"ngây thơ","hoài nghi","related","word","word",NA
"lý tưởng","hoàn hảo","related","word","word",NA
"toàn bộ","hoàn thành","related","word","word",NA
"chấm dứt","hoàn thành","related","word","word",NA
"chắc chắn rồi","hoàn toàn","related","word","word",NA
"thành nội","hoàng đế","related","word","word",NA
"sự sợ hãi","hoảng sợ","related","word","word",NA
"công chúa","hoàng tử","related","word","word",NA
"tích cực","hoạt động","related","word","word",NA
"ý kiến","học thuyết","related","word","word",NA
"câu hỏi","hỏi","related","word","word",NA
"triệu chứng","hội chứng","related","word","word",NA
"hôm nay","hôm qua","related","word","word",NA
"sự phối hợp","hỗn hợp","related","word","word",NA
"ly hôn","hôn nhân","related","word","word",NA
"giám mục","hồng y","related","word","word",NA
"khuy ao","họp báo","related","word","word",NA
"công bằng","hợp lý","related","word","word",NA
"đầy đủ","hợp lý","related","word","word",NA
"bất hợp pháp","hợp pháp","related","word","word",NA
"tàn bạo","hung ác","related","word","word",NA
"giật gân","hùng vĩ","related","word","word",NA
"xuống","hướng lên","related","word","word",NA
"mối quan hệ","hữu nghị","related","word","word",NA
"chiếc cúp","huy chương","related","word","word",NA
"carbon","hydro","related","word","word",0.48899462866675
"bướng bỉnh","ích kỷ","related","word","word",NA
"im lặng","im lặng","related","word","word",NA
"lố bịch","isurd","related","word","word",NA
"romeo","juliet","related","word","word",0.515114255617256
"lính đánh thuê","kẻ ám sát","related","word","word",NA
"bắn súng","kẻ bắn tỉa","related","word","word",NA
"sát thủ","kẻ giết người","related","word","word",NA
"lừa gạt","kẻ ngốc","related","word","word",NA
"gián điệp","kẻ phản bội","related","word","word",NA
"nạn nhân","kẻ tấn công","related","word","word",NA
"kim tự tháp","kết cấu","related","word","word",NA
"kết quả","kết quả","related","word","word",NA
"cơ hội","khả năng","related","word","word",NA
"giống","khác nhau","related","word","word",NA
"bệnh nhân","khách hàng","related","word","word",NA
"khẩn cấp","khẩn cấp","related","word","word",NA
"da","khăn giấy","related","word","word",NA
"cái mền","khăn tắm","related","word","word",NA
"vải","khăn tay","related","word","word",NA
"sức cản","kháng cự","related","word","word",NA
"nạn đói","khát","related","word","word",NA
"khai mạc","khép kín","related","word","word",NA
"khiêm tốn","khiêm tốn","related","word","word",NA
"không thoải mái","khó chịu","related","word","word",NA
"chìa khóa","khóa","related","word","word",NA
"công nghệ","khoa học","related","word","word",NA
"khỏa thân","khỏa thân","related","word","word",NA
"tín dụng","khoản vay","related","word","word",NA
"nửa đêm","không bật","related","word","word",NA
"bất công","không công bằng","related","word","word",NA
"môi trường","không khí","related","word","word",NA
"không có khả năng","không thể","related","word","word",NA
"vô danh","không xác định","related","word","word",NA
"hoang tưởng","khùng","related","word","word",NA
"lời khuyên","khuyên nhủ","related","word","word",NA
"cò súng","kích hoạt","related","word","word",NA
"cuộc thí nghiệm","kiểm tra","related","word","word",NA
"kĩ sư","kiến trúc sư","related","word","word",NA
"thiếu hiểu biết","kiêu căng","related","word","word",NA
"bàn là","kim loại","related","word","word",NA
"kính thiên văn","kính hiển vi","related","word","word",NA
"ấn tượng","kinh ngạc","related","word","word",NA
"ngân sách","kinh phí","related","word","word",NA
"bẩn thỉu","kinh tởm","related","word","word",NA
"công giáo","kitô giáo","related","word","word",NA
"phương pháp","kỹ thuật","related","word","word",NA
"không bình thường","lạ lùng","related","word","word",NA
"caesar","la mã","related","word","word",NA
"lái xe","lái","related","word","word",NA
"làm","làm","related","word","word",1
"mới","làm tươi","related","word","word",NA
"kịch","lãng mạn","related","word","word",NA
"trại","làng quê","related","word","word",NA
"nóng bức","lạnh","related","word","word",NA
"hội viên","lãnh đạo","related","word","word",NA
"sự chuẩn bị","lập kế hoạch","related","word","word",NA
"cung điện","lâu đài","related","word","word",NA
"nghi thức","lễ","related","word","word",NA
"hôn ước","lễ cưới","related","word","word",NA
"lễ hội hóa trang","lễ hội","related","word","word",NA
"lịch","lịch trình","related","word","word",NA
"mút","liếm","related","word","word",0.415280695406625
"thuộc địa","liên đoàn","related","word","word",NA
"dẫn đường","liên lạc","related","word","word",NA
"luôn","liên tục","related","word","word",NA
"xe tắc xi","limousine","related","word","word",NA
"ming","ling","related","word","word",0.569363783344341
"bận tâm","lo","related","word","word",NA
"máy phát điện","lò phản ứng","related","word","word",NA
"bão","lốc xoáy","related","word","word",NA
"bảo hành","lời hứa","related","word","word",NA
"chứng kiến","lời khai","related","word","word",NA
"bò","lợn","related","word","word",0.377089061753898
"lòng hiếu khách","lòng biết ơn","related","word","word",NA
"chọn","lựa chọn","related","word","word",NA
"sự lựa chọn","lựa chọn","related","word","word",NA
"sức lực","lực lượng","related","word","word",NA
"lương hưu","lương","related","word","word",NA
"môi","má","related","word","word",0.278187730718857
"thây ma","ma cà rồng","related","word","word",NA
"vĩnh hằng","mãi mãi","related","word","word",NA
"chỉ","màn biểu diễn","related","word","word",NA
"màn","màn hình","related","word","word",NA
"miếng","mảnh","related","word","word",0.380503529967556
"vững chắc","mạnh mẽ","related","word","word",NA
"lớp","mặt","related","word","word",0.1930464007413
"mã số","mật khẩu mở khóa","related","word","word",NA
"ấm áp","mát lạnh","related","word","word",NA
"mặt trăng","mặt trời","related","word","word",NA
"yoga","mát xa","related","word","word",NA
"chậm rãi","mau","related","word","word",NA
"trắng","màu đen","related","word","word",NA
"màu đỏ","màu vàng","related","word","word",NA
"màu nâu","màu xanh da trời","related","word","word",NA
"xe cứu thương","máy bay trực thăng","related","word","word",NA
"robot","máy móc","related","word","word",NA
"phần mềm","máy tính","related","word","word",NA
"sốt cà chua","mayonaise","related","word","word",NA
"bố","mẹ","related","word","word",0.780849779859117
"tạo tác","medallion","related","word","word",NA
"thuoc ve thuong mai","merchant","related","word","word",NA
"km","mét","related","word","word",0.399141230902073
"mì nướng kiểu ý","mì ống ý","related","word","word",NA
"trớ trêu","mỉa mai","related","word","word",NA
"tự do","miễn phí","related","word","word",NA
"phía nam","miền tây","related","word","word",NA
"nghèo","misery","related","word","word",0.0528638412436813
"cơn ác mộng","mơ","related","word","word",NA
"hành lý","mồi","related","word","word",NA
"chỉ cần","mới đây","related","word","word",NA
"dân số","mọi người","related","word","word",NA
"vật","môn học","related","word","word",NA
"ass","mông","related","word","word",0.232665026648464
"aspirin","morphin","related","word","word",0.490015381190467
"làm rơi","một hớp","related","word","word",NA
"một nửa","một phần tư","related","word","word",NA
"ở nơi khác","một vài nơi","related","word","word",NA
"khách sạn","motel","related","word","word",NA
"kính","mũ lưỡi trai","related","word","word",NA
"mùa hè","mùa đông","related","word","word",NA
"mùa xuân","mùa thu","related","word","word",NA
"nếm","mùi","related","word","word",0.360629908446359
"mồm","mũi","related","word","word",0.293908794339325
"liều lượng","mũi tiêm","related","word","word",NA
"sự mong muốn","muốn","related","word","word",NA
"châu phi","mỹ","related","word","word",NA
"tiềm năng","năng lực","related","word","word",NA
"sức mạnh","năng lượng","related","word","word",NA
"nặng","nặng nề","related","word","word",NA
"đèn ngủ","nến","related","word","word",NA
"sự tự do","nền dân chủ","related","word","word",NA
"văn hoá","nền văn minh","related","word","word",NA
"vương miện","ngai vàng","related","word","word",NA
"vũ trụ","ngân hà","related","word","word",NA
"giáng sinh","ngày nghỉ","related","word","word",NA
"dịp kỉ niệm","ngày sinh nhật","related","word","word",NA
"nghe","nghe","related","word","word",1
"xem xét","nghĩ","related","word","word",NA
"đập vỡ","nghỉ","related","word","word",NA
"nghi ngờ","nghi ngờ","related","word","word",NA
"phần mộ","nghĩa trang","related","word","word",NA
"trách nhiệm","nghĩa vụ","related","word","word",NA
"tìm kiếm","nghiên cứu","related","word","word",NA
"ngây thơ","ngốc nghếch","related","word","word",NA
"đứng","ngồi","related","word","word",0.502244739489497
"danh nhân","ngôi sao","related","word","word",NA
"lớp","ngôi trường","related","word","word",NA
"ngon","ngon","related","word","word",1
"lửa","ngọn lửa","related","word","word",NA
"ngón tay","ngón tay cái","related","word","word",NA
"nghỉ ngơi","ngủ","related","word","word",NA
"điên cuồng","ngu ngốc","related","word","word",NA
"lừa","ngựa","related","word","word",0.214694744808497
"dạ dày","ngực","related","word","word",NA
"ngăn ngừa","ngừng lại","related","word","word",NA
"anh bạn","người anh em","related","word","word",NA
"kẻ thua cuộc","người chiến thắng","related","word","word",NA
"huấn luyện viên","người chơi","related","word","word",NA
"bảo mẫu","người giúp việc","related","word","word",NA
"nô lệ","người hầu","related","word","word",NA
"roman","người hy lạp","related","word","word",NA
"hành khách","người lái xe","related","word","word",NA
"nông dân","người làm việc","related","word","word",NA
"người bán","người mua","related","word","word",NA
"nằm","người nói dối","related","word","word",NA
"tiếng anh","người pháp","related","word","word",NA
"chúa tể","người phụ nữ","related","word","word",NA
"tình nhân","người yêu","related","word","word",NA
"người mẫu","nguyên mẫu","related","word","word",NA
"lý do","nguyên nhân","related","word","word",NA
"nguyên tử","nguyên tử","related","word","word",NA
"phóng viên","nhà báo","related","word","word",NA
"banker","nhà đầu tư","related","word","word",NA
"thiên tài","nhà khoa học","related","word","word",NA
"nhà thờ","nhà nguyện","related","word","word",NA
"bài thơ","nhà văn","related","word","word",NA
"nữ hoàng","nhà vua","related","word","word",NA
"ca sĩ","nhạc sĩ","related","word","word",NA
"nuốt","nhai","related","word","word",0.361039460190296
"đàn ông","nhân loại","related","word","word",NA
"tự nhiên","nhân tạo","related","word","word",NA
"tha thứ","nhân từ","related","word","word",NA
"chậm","nhanh","related","word","word",0.507270616701766
"vũ công","nhảy","related","word","word",NA
"trèo","nhảy","related","word","word",0.367382260648273
"nhạy bén","nhạy cảm","related","word","word",NA
"khí ga","nhiên liệu","related","word","word",NA
"chữ ký","nhiếp ảnh gia","related","word","word",NA
"nhiệt","nhiệt độ","related","word","word",NA
"nhỏ bé","nhỏ","related","word","word",NA
"quên đi","nhớ","related","word","word",NA
"cần thiết","nhu cầu","related","word","word",NA
"xi măng","nhựa","related","word","word",NA
"động đất","nổ","related","word","word",NA
"bom","nổ","related","word","word",0.384962175985704
"cố gắng","nỗ lực","related","word","word",NA
"nói","noi","related","word","word",0.37605562380064
"nói chuyện","nói","related","word","word",NA
"một cách tự nhiên","nói chung","related","word","word",NA
"đau khổ","nỗi đau","related","word","word",NA
"lưu trữ","nội dung","related","word","word",NA
"đánh giá quá thấp","nói quá","related","word","word",NA
"kinh dị","nỗi sợ","related","word","word",NA
"phổ biến","nổi tiếng","related","word","word",NA
