"vi_target","vi_cue","vi_fake_cue","vi_fake_target","en_cue","en_target"
"băng hình","đĩa dvd","đấypdvd","bols hình","dvd","video"
"bánh","món tráng miệng","món tránrimsung","íanh","dessert","cake"
"bánh hamburger","bánh mì sandwich","bínóngì sandwich","bánh hambuhoops","sandwich","hamburger"
"báo","bài báo","nhg báo","oco","article","newspaper"
"bão","gió","ờnó","ieo","wind","storm"
"bao giờ","không bao giờ","không bahẳnđã","baohụđề","never","ever"
"bảo tàng","thư viện","nga viện","bảo vằng","library","museum"
"báo thức","báo động","bángđộng","mrolthức","alert","alarm"
"bảo trì","dịch vụ","dịchuôt","hmo trì","service","maintenance"
"bắp thịt","thần kinh","thần gris","bắp trưa","nerve","muscle"
"bắt cóc","bắt cóc","bắtdrie","bắtbrén","kidnap","abduct"
"bắt giữ","trừng phạt","trừng chob","bắttôic","punish","arrest"
"bất hạnh","thật không may","tinhnkhông may","lời hạnh","unfortunate","misfortune"
"bất lực","bất lực","bấtclon","bấtbliu","helpless","powerless"
"bất ngờ","đột ngột","độvủngột","bấrộngờ","suddenly","unexpectedly"
"batman","siêu nhân","siêu loski","posman","superman","batman"
"battalion","trung đoàn","trundiđoàn","chungtalion","regiment","battalion"
"bên ngoài","nội bộ","cầu bộ","bên nóith","internal","external"
"bệnh","tôi sẽ","tôi ok","gcnh","ill","sick"
"bệnh dịch","tai họa","taicbua","mych dịch","plague","epidemic"
"bếp","lò vi sóng","lòcàngsáng","dnp","oven","stove"
"bí ẩn","bí mật","bícmới","bíiận","secret","mystery"
"bị kích thích","hãnh diện","ofuh diện","bị kíchhữuích","proud","excited"
"bí mật","kính trọng","pazh trọng","bítolt","respect","confidence"
"bị phạt tù","phạt","phễn","bị phạgýõi","penalty","imprisonment"
"bi thảm","buồn","bubé","tabthảm","sad","tragic"
"bia","uống","gêng","lya","drink","beer"
"biến cố","hiện tượng","thir tượng","biếnhhì","phenomenon","event"
"biến mất","tử vong","tửgring","biếnveit","death","disappearance"
"biết","hiện nay","hiệncmai","biee","now","know"
"biết","nhìn nhận","nhìn neel","biee","recognize","knew"
"biểu thị","điểm","điât","biểu duz","point","indicate"
"biểu tượng","lá cờ","lámâu","bilk tượng","flag","symbol"
"bình minh","hoàng hôn","hoàngsarn","uynh minh","sunset","dawn"
"bố","chú","maú","ợc","uncle","dad"
"bơ","chồng yêu","chuồg yêu","yp","honey","butter"
"bộ","đại sứ quán","sainsứ quán","ật","embassy","ministry"
"bờ biển","bờ biển","bờsđiểm","bờtđiểm","beach","coast"
"bỏ phiếu","số đông","aw đông","rấ phiếu","majority","vote"
"bộ phim","khiêu dâm","khiêutrống","bộnữhim","porn","movie"
"bỏ rơi","rời bỏ","rờirón","eh rơi","leave","abandon"
"bộ trưởng, mục sư","đại sứ","đại cí","bộ trưởng,structs","ambassador","minister"
"bơi","chết chìm","chếtchảđủ","oei","drown","swim"
"bốn","hai","cii","ơin","two","four"
"bồn rửa chén","phòng vệ sinh","phòng vệprick","bồn rửtickin","toilet","sink"
"bông","lụa","téa","pbng","silk","cotton"
"bóng chày","sân vận động","nhí vận động","kind chày","stadium","baseball"
"bóng đá","bóng rổ","bónsort","bóngẹtá","basketball","football"
"boston","washington","wabranston","rinton","washington","boston"
"bột","ngũ cốc","wib cốc","uợt","grain","flour"
"bữa ăn","đồ ăn","đồnun","zza ăn","food","meal"
"bữa sáng","bữa tối","êmk tối","zza sáng","dinner","breakfast"
"bữa trưa","snack","plack","tẩn trưa","snack","lunch"
"bụi bặm","tro","đio","gaa bặm","ash","dust"
"bụng","cột sống","nag sống","vêng","spinal","abdominal"
"buộc tội","lời phàn nàn","stdpphàn nàn","buën tội","complaint","accusation"
"buổi hòa nhạc","chuyến du lịch","shayen du lịch","friz hòa nhạc","tour","concert"
"buổi sáng","ngày mai","ngàynóđi","butt sáng","tomorrow","morning"
"buổi tiệc","tiếp nhận","tiếp hhim","brod tiệc","reception","party"
"buổi triển lãm","bộ sưu tập","bộ sưu tof","buổi triểrylàm","gallery","exhibition"
"buồn nôn","bệnh tiêu chảy","bệnh tiêrađược","baal nôn","diarrhea","nausea"
"bưu kiện","phong bì","phongcạu","mẫn kiện","envelope","package"
"cá","cá mập","cádrup","óe","shark","fish"
"cà chua","khoai tây","củaai tây","càchiya","potato","tomato"
"cá nhân","người","ngvûi","ldanhân","person","individual"
"cà phê","tách","tána","cà hcơ","cup","coffee"
"cà vạt","trói buộc","tmăt buộc","càhvol","bind","tie"
"cái bút","giấy","gitc","cáivmột","paper","pen"
"cái cổ","họng","lyng","cáigez","throat","neck"
"cái ghế","chiếc bàn","chiếchbox","cái jum","table","chair"
"cái mic cờ rô","máy ảnh","mátrảnh","shu mic cờ rô","camera","microphone"
"cái nĩa","cái thìa","cái chup","cái bủa","spoon","fork"
"cái túi","hộp","địp","cái cri","box","bag"
"cấm","cấm","ảnm","dhm","forbidden","prohibit"
"cảm giác","ấn tượng","ấnhtđứng","lep giác","impression","feeling"
"cảm hứng","truyền cảm hứng","truyền cảnoying","nữn hứng","inspire","inspiration"
"cảm tạ","tri ân","tri tr","cảmkiề","grateful","thank"
"cắm trại","đi chơi picnic","đi chơi ducted","vra trại","picnic","camping"
"can đảm","noble","nosis","cavềđảm","noble","brave"
"căn hộ, chung cư","căn nhà","căn fol","căn hộ, chbikịch","house","apartment"
"cánh cổng","cổng thông tin","cổng thôncathe","tạmh cổng","portal","gate"
"cánh tay","tay","gey","nolh tay","hand","arm"
"cao","thấp","inấp","lio","low","high"
"cao thủ","nghiệp dư","ngtrûc dư","cao anít","amateur","professional"
"capitalism","anarchy","smirchy","capitabergs","anarchy","capitalism"
"cát","bùn","ỵền","oct","mud","sand"
"cắt","xé","嵐了","gtt","tear","cut"
"câu","từ","ợc","psu","word","sentence"
"cậu bé","cô gái","côurụi","cậuiya","girl","boy"
"câu nói đùa","bí quyết, thuật, mẹo","bí quyết, ththiếumột","vưu nói đùa","trick","joke"
"cây","bush","buds","môy","bush","tree"
"cây búa","dán","àon","vừa búa","stick","hammer"
"centimet","dặm","xìm","centilick","mile","centimeter"
"cerebral","óc","ởđ","ceretans","brain","cerebral"
"cha","mẹ","kl","hra","mother","father"
"cha mẹ","người lớn","người môn","chhảmẹ","adult","parent"
"chắc chắn","an toàn","anstern","cras chắn","safe","secure"
"chắc chắn","rõ ràng","cý ràng","cras chắn","clearly","obviously"
"chai","cốc thủy tinh","teléthủy tinh","chso","glass","bottle"
"chấn thương","vết thương","vongthương","thannthương","wound","injury"
"chào hỏi","chúc mừng","stic mừng","chàomuội","congratulate","greet"
"chấp hành","treo","tril","crai hành","hanging","execution"
"chấp nhận","từ chối","từhcháu","chấp niks","refuse","accept"
"cháu trai","cháu trai","cháu tzìi","chec trai","grandson","nephew"
"chạy trốn","người tị nạn","người tịobạn","chạy tsản","refugee","fugitive"
"chèo","mỏ neo","mỏboea","chón","anchor","sail"
"chết","còn sống","cònpxong","choạ","alive","dead"
"chết","chịu đựng","chap đựng","choạ","suffer","die"
"chiến binh","lính","tùnh","chiếnmains","soldier","warrior"
"chiến lược","kế hoạch","kếscotch","chiếncnước","plan","strategy"
"chiến trường","đấu trường","đấờitrường","tiếng trường","arena","battlefield"
"chiều cao","cân nặng","sót nặng","chiềuchol","weight","height"
"chiều dài","kích cỡ","kíchmấy","chiềuhàđi","size","length"
"chim","con bướm","congysớm","chvề","butterfly","bird"
"chính quyền","sự quản lý","sự quảbesc","crish quyền","administration","government"
"chính thức","chính thức","chính colò","chính riff","officially","official"
"chính trị","phê bình","sve bình","chínhaari","critical","political"
"chính trị","báo chí","lom chí","chínhaari","journalism","politics"
"chính trị gia","chính sách","crish sách","chính trleeka","policy","politician"
"chính xác","sai lầm","saiflap","chínhchắc","wrong","correct"
"cho","chào hàng","chàopđúng","ã o","offer","give"
"chờ đợi","chờ đã","chờ ài","chờ bii","wait","expect"
"chó sói","chịu","chyj","chủasói","bear","wolf"
"chôn","đào","oẻo","chđã","dig","bury"
"chữ cái","telegram","telenexa","wib cái","telegram","letter"
"chủ đích","mục đích","mụchđánh","chøcđích","purpose","intention"
"chữ ký","con tem","congree","chữ bò","stamp","signature"
"chủ nhà","người thuê nhà","người thuêumph","chủ hồi","tenant","landlord"
"chủ nhân","bất động sản","bấcốgắngsống","chủ niks","property","owner"
"chủ nhật","thứ bảy","mol bảy","cầnxnhật","Saturday","Sunday"
"chủ tịch","chancellor","overcellor","art tịch","chancellor","president"
"chu vi","bán kính","bánchínk","chuđen","radius","perimeter"
"chữa trị","bình phục","bình lexx","when trị","recover","heal"
"chuẩn bị các","sẵn sàng","clu sàng","chuẩn bmxoáy","ready","prepare"
"chức năng","hoạt động","nelt động","chứcruồng","operational","functional"
"chức vô địch","cuộc thi","chrl thi","chức vscotch","competition","championship"
"chức vụ","tên","àtn","chứcalý","name","title"
"chức vụ","trạng thái","trạng cmoi","chứcalý","status","position"
"chuộc","bắt cóc","bắtdrie","chđặc","kidnapper","ransom"
"chương trình","dự án","qo án","chươngstrang","project","program"
"chụp lấy","vồ lấy","bử lấy","vukp lấy","grab","catch"
"chuyến bay","đổ bộ","đổcza","chuyếnrayi","landing","flight"
"chuyên gia","thạo","thsn","chuyênsail","expert","specialist"
"chuyển khoản","di chuyển","dichãyđến","chuyển choff","move","transfer"
"cổ điển","đặc trưng","đặc chưng","bợ điển","typical","classic"
"cô đơn","một mình","mộtnóinh","côwren","alone","lonely"
"cô gái","những cậu bé","những cậgeev","côthời","boys","girls"
"có hiệu lực","hữu ích","êmu ích","cóthiếuúyđó","useful","effective"
"có khả năng","dung tích","kush tích","ehekhả năng","capacity","ability"
"cơ khí","kỹ thuật","lénthuật","hệkkhí","technical","mechanical"
"có lẽ","có lẽ","ab lẽ","cóbáẽ","maybe","probably"
"có tội","vô tội","vôhcởi","cóerni","innocent","guilty"
"cơ trưởng","chỉ huy","chỉtauk","cơtrànngp","commander","captain"
"có vẻ hợp lý","giải trình","giải ttënh","có vẻ lishly","explanation","plausible"
"cố ý","vô tình","vôgiành","cố界了","accidentally","intentionally"
"cognac","rum","iừm","cogoff","rum","cognac"
"còi","sừng","uhng","hli","horn","whistle"
"còn","đã","lk","uan","already","still"
"con chuột","con chuột","congchung","congchung","mouse","rat"
"con khỉ đột","con khỉ","con daj","hooikhỉ đột","monkey","gorilla"
"con kiến","con ong","cocđứng","conhọđến","bee","ant"
"con mèo","chú chó","chúchốt","concoro","dog","cat"
"con rắn","sâu","vớu","conkein","worm","snake"
"con rùa","ốc sên","nẵ sên","conmaha","snail","turtle"
"con thằn lằn","con ếch","cordếch","con thằniers","frog","lizard"
"con thỏ","cáo","dro","con qns","fox","rabbit"
"con thuyền","tàu ngầm","tàu ngoè","chốtthuyền","submarine","boat"
"con trai","con gái","con äãi","contrarc","daughter","son"
"côn trùng","nhện","nhmì","dzà trùng","spider","insect"
"cổng","lối ra","vym ra","rtng","exit","entrance"
"cộng đồng","xã hội","xãchla","cộngủiồng","society","community"
"cộng sản","phân biệt chủng tộc","phân biệt chủprecht","uyng sản","racist","communist"
"công tố viên","luật sư","loài sư","công tố unđum","lawyer","prosecutor"
"công việc","công việc","côngcvisẽ","côngvving","job","work"
"cowboy","rodeo","rotac","cowgiúp","rodeo","cowboy"
"cử tri","ứng viên","doud viên","cửtuis","candidate","voter"
"cửa","cửa sổ","cửa ûm","xúa","window","door"
"cửa hàng","cửa tiệm","tây tiệm","cửahđúng","shop","store"
"cục đá","đá","ël","cụcism","rock","stone"
"cụm từ","từ điển","từ đein","cụmdif","dictionary","phrase"
"cung cấp","cho phép","nhạnphép","cungmđất","enable","provide"
"cuộc bầu cử","chiến dịch","chiếntarch","cuộc bầhhim","campaign","election"
"cuộc đua","marathon","maraagle","kerc đua","marathon","race"
"cuộc họp","hội nghị","hội nsẵn","gotc họp","conference","meeting"
"cuộc khủng hoảng","tình hình","liph hình","muôiikhủng hoảng","situation","crisis"
"cười","mỉm cười","mỉmrecki","cưây","smile","laugh"
"cuối cùng","đầu tiên","đầu tcrux","cuốicđang","first","last"
"cưới nhau","độc thân","độc toré","cưới hdal","single","married"
"cương cứng","cực khoái","cực knock","cươngcường","orgasm","erection"
"cướp bóc","ăn cắp","ăn có ","cçan bóc","steal","rob"
"cướp bóc","trộm cắp","trộmveal","cçan bóc","theft","robbery"
"cứu người","anh hùng","angchung","lỗu người","hero","savior"
"đa cảm","tâm thần","tâm chor","đatrăm","mental","emotional"
"đặc","gầy","tờy","sĩc","thin","thick"
"dài","ngắn","ngđá","lýi","short","long"
"đại dương","biển","biặc","iii dương","sea","ocean"
"đại lý","vững chãi","jenn chãi","iii lý","firm","agency"
"đại tá","chung","chicg","đại bệ","general","colonel"
"đầm","váy","rôy","ịừm","skirt","dress"
"đam mê","hăng hái","thỉn hái","đamtyu","enthusiasm","passion"
"đạn","calibre","calibrenesmeeđang","ơin","caliber","bullet"
"đàn bà","góa phụ","ởjafphụ","bék bà","widow","woman"
"đàn ghi ta","đàn piano","sadow piano","đàn ghsils","piano","guitar"
"dân tộc","quốc gia","κenc gia","dânbasc","country","nation"
"đáng chú ý","đặc biệt","đặo việt","tinn chú ý","exceptional","remarkable"
"đáng thương hại","khổ sở","khổ zb","đáng thươnsytôi","miserable","pathetic"
"dành","rác thải","rác htrở","éanh","waste","spend"
"đánh bại","chiến thắng","chiến cmừng","đánhotri","victory","defeat"
"đánh bắt cá","săn bắn","đới bắn","đánh bắdield","hunting","fishing"
"đánh đập","đánh","bộnh","cuộh đập","hit","strike"
"đánh giá cao","khâm phục","khâm chềl","đánh gisacky","admire","appreciate"
"đánh nhau","chiến đấu","chiến lsu","đánh vahs","combat","fight"
"danh tiếng","sự nghiệp","lâunghiệp","danhvớiông","career","reputation"
"dao","thanh kiếm","glenh kiếm","ino","sword","knife"
"đáp lại","trả lời","trotlời","đásựlái","answer","reply"
"đặt","chèn","chậy","bỏt","insert","put"
"dầu","than","nean","đlu","coal","oil"
"đầu bếp","đầu bếp","lớn bếp","cai bếp","cook","chef"
"đầu gối","vai","ggi","đầu ưoi","shoulder","knee"
"dấu hiệu","biểu mẫu","biểu mạp","ozy hiệu","form","sign"
"dấu hiệu","tần số","jey số","ozy hiệu","frequency","signal"
"đầu lâu","khúc xương","đảmc xương","háu lâu","bone","skull"
"đấu sĩ","quán quân","quánchuấn","đấu 加油","champion","fighter"
"dấu trừ","thêm","thâì","dấputrừ","plus","minus"
"đầu tư","tài chính","phí chính","đầu ủi","finance","invest"
"dấu vân tay","dna","tûa","dấu vânarồi","dna","fingerprint"
"dạy","học hỏi","họchcởi","týy","learn","teach"
"đáy","đứng đầu","vcng đầu","uãy","top","bottom"
"đầy","trống rỗng","frapg rỗng","imy","empty","full"
"dây điện","cáp","kup","sby điện","cable","wire"
"dây thừng","chuỗi","chròi","styfthừng","chain","rope"
"dễ","không thể nào","nhữngkthể nào","rứ","impossible","easy"
"đế chế","triều đại","trạmu đại","đếtịch","dynasty","empire"
"để cho","cho phép","nhạnphép","đểecky","allow","let"
"để lại","bên phải","biddphải","đểhoại","right","left"
"dễ thương","kẹo","vso","tếtthương","sweet","cute"
"deck","cabin","cador","deit","cabin","deck"
"đến","đến nơi","đếnmđôi","ưin","arrive","come"
"đẹp","đẹp","axp","ctp","nice","lovely"
"đi","đi vào","đinàog","ợc","enter","go"
"đi bộ","chạy","chrb","điwop","run","walk"
"đi dạo","ngủ trưa","mec trưa","đi dưi","nap","stroll"
"đĩa ăn","cái bát","cáicbua","nụa ăn","bowl","plate"
"địa chỉ","con số","conswa","địahcmb","number","address"
"địa ngục","thiên đường","thiênóiđúng","địa nghủ","paradise","hell"
"địa phương","khu vực","aik vực","đệmnphương","regional","local"
"dịch","chất lỏng","chấtbring","văch","liquid","fluid"
"dịch bệnh","cúm","iềm","dịchskins","flu","disease"
"điếc","mù","ếở","đimì","blind","deaf"
"điềm tĩnh","yên tĩnh","kaf tĩnh","đăng tĩnh","quiet","calm"
"điện","hiện hành","hiệnunàng","điut","current","electricity"
"điện","từ tính","từkhinh","điut","magnetic","electric"
"điện thoại","gọi","sứi","điện troon","call","telephone"
"diễn viên nam","tác giả","táchoid","diễn viêhưđãổn","author","actor"
"điều đó","cái gì","cálàgì","điềuđaó","what","that"
"điều tra","xem xét","xelomét","điềuđira","examine","investigate"
"điều tra","kiểm tra","kiểmzuha","điềuđira","examination","inspection"
"điều tra viên","nhà phân tích","tiddphân tích","điều tra reﬂy","analyst","investigator"
"điếu xì gà","khói","khlu","điếu xì td","smoke","cigar"
"ding","ping","ểung","dite","ping","ding"
"định nghĩa","ý tưởng","èmtưởng","định nhhuh","concept","definition"
"dịu dàng","dịu dàng","lsé dàng","uza dàng","soft","gentle"
"đồ chơi","búp bê","háo bê","đồschel","doll","toy"
"đô la","pao","ino","đôhỏỏ","pound","dollar"
"đoạn văn","tiết diện","wiel diện","đoạnyeun","section","paragraph"
"doanh nhân","nhà triệu phú","nhà triệusien","doanh zakh","millionaire","entrepreneur"
"doanh thu","bán đấu giá","bán đấungày","cậusẽđượctựdoanh thu","auction","sale"
"độc nhất","đặc biệt","đặo việt","độc taan","special","unique"
"đội","liên đoàn","liênóđược","vịi","league","team"
"đói bụng","mệt mỏi","mệtmuội","foz bụng","tired","hungry"
"đơn hàng","yêu cầu","yêumeha","đơnmxong","command","order"
"động cơ","xe tăng","xehhứng","độngduz","tank","engine"
"đóng cửa","bị khóa","đaikhóa","krug cửa","locked","closed"
"đông cứng","tan chảy","tanishly","đônggyong","melt","freeze"
"đồng hành","hộ tống","hộbring","đồngpđàng","escort","accompany"
"đồng hồ đeo tay","nhìn","nhhé","đồng hồ đhooooo","look","watch"
"động mạch","tĩnh mạch","cçnh mạch","độngveich","vein","artery"
"đồng phục","huy hiệu","dys hiệu","hangyphục","badge","uniform"
"động vật ăn thịt","prey","prie","động vật ăcmahon","prey","predator"
"đột biến","sự tiến hóa","sự tiếhchắc","lae biến","evolution","mutation"
"đứa trẻ","đứa bé","cui bé","đứastai","baby","child"
"dụng cụ","dụng cụ","dụnghđộ","dụngveg","tool","instrument"
"đường dẫn","tuyến đường","tuyếohđường","đườngolớn","route","path"
"đường hầm","cầu","héu","đườngzeem","bridge","tunnel"
"đường phố","đại lộ","đại 樣啊","đường ois","avenue","street"
"dương vật","âm đạo","rý đạo","dạynó vật","vagina","penis"
"dusty","rusty","whaty","yarty","rusty","dusty"
"duy trì","bảo tồn","bảo iần","dumotrì","preserve","maintain"
"duy trì","ở lại","有用lại","dumotrì","stay","remain"
"gà tây","gà","nj","gàecky","chicken","turkey"
"ga-ra","xưởng","rấởng","ferra","workshop","garage"
"gan","quả thận","hugothận","âìn","kidney","liver"
"gần","mở","đắ","sổn","open","close"
"gặp","thấy","thbố","tûp","see","meet"
"gấu mèo - gấu mèo","squirrel","cruinrel","goobero  gấu mèo","squirrel","raccoon"
"gay","đồng tính nữ","penn tính nữ","oáy","lesbian","gay"
"gây ấn tượng","nịnh nọt","tønh nọt","giâykn tượng","flatter","impress"
"gây tử vong","chết người","chắc người","tuyçtử vong","deadly","fatal"
"ghi âm","ghi","cii","ghi eg","record","recording"
"giá bán","giá trị","giátriệ","giáteáp","value","price"
"gia đình","gia tộc","giaczyk","gineđỉnh","clan","family"
"giả thiết","phần kết luận","wadd kết luận","von thiết","conclusion","assumption"
"giai đoạn = stage","giai đoạn","giailigân","giai đoạn =derink","phase","period"
"giảm bớt","tăng lên","tchu lên","guet bớt","increase","reduce"
"giám đốc","nhà sản xuất","nhà sảđixuất","ohkm đốc","producer","director"
"giản dị","đơn giản","zou giản","giảnhub","simply","simple"
"gian lận","âm mưu","âmcmới","giansort","conspiracy","fraud"
"giáo dục","sức khỏe","sức shio","dago dục","health","education"
"giáo sư","trưởng khoa","trưởng kinh","gius sư","dean","professor"
"giao thức","qui định","qungđịnh","giao sylấy","rule","protocol"
"giáo viên","học sinh","học gutz","làeu viên","student","teacher"
"giáp","cái khiên","despkhiên","ginc","shield","armor"
"giấu","che","zae","girv","cover","hide"
"giàu có","nghèo","ngthe","sind có","poor","rich"
"giày","boot","liot","gifa","boot","shoe"
"giết chết","chất độc","typt độc","giếtcherd","poison","kill"
"giết người","tự tử","tựrâl","giếtnggười","suicide","murder"
"giọng","giọng nói","giọngvnia","gizeg","voice","accent"
"giống cái","nam giới","vie giới","giốngdđợi","male","female"
"giữ","tổ chức","tổchich","inữ","hold","keep"
"giường","ghế sô pha","ghế sôpaha","gitang","sofa","bed"
"gợi ý","cầu hôn","düs hôn","ềni ý","propose","suggest"
"gram","kilo","kiger","tiam","kilo","gram"
"gửi","mang đến","manguyền","tþi","bring","send"
"gương","sự phản xạ","hènphản xạ","gưiàg","reflection","mirror"
"hải cảng","vịnh","ugnh","lưa cảng","bay","harbor"
"hài hòa","sự cân bằng","sự câhtrung","mừn hòa","balance","harmony"
"hài kịch","kịch","fsch","yii kịch","drama","comedy"
"hài lòng","thoải mái","thoải ðài","hài tẳng","comfortable","pleasant"
"hải quân","gần biển","wup biển","wop quân","marine","navy"
"hạm đội","hải quân","ebe quân","hạweđại","naval","fleet"
"hàng hóa","trọng tải","trọngurụi","hànghcób","load","cargo"
"hàng trăm","một ngàn","opt ngàn","thân trăm","thousand","hundred"
"hàng tuần","hằng ngày","cờng ngày","hàngsturg","daily","weekly"
"hành chính","sự quản lý","sự quảbesc","aleh chính","management","administrative"
"hành động","cử chỉ","cửhcởi","bech động","gesture","act"
"hành tây","tỏi","uổi","cuth tây","garlic","onion"
"hat","mũ sắt của lính","jonềắt của lính","unt","helmet","hat"
"hạt","vấn đề","vấn lổ","iit","matter","particle"
"hệ mặt trời","âm lịch","âmsosch","hệ mặchérói","lunar","solar"
"hệ thống","mạng","oằng","jifthống","network","system"
"hệ thống điều khiển","cảm biến","mri biến","hệ thống điềdolphin","sensor","transmitter"
"hẻm","góc","mầc","sịm","corner","alley"
"heroin","cocaine","coversne","heatin","cocaine","heroin"
"hết sức","cực kì","cực uỵ","nho sức","extremely","very"
"hiếm","thỉnh thoảng","xessh thoảng","hiởi","occasionally","rarely"
"hiệp định","hợp đồng","hợpaying","ăcßp định","contract","agreement"
"hiểu biết","nhận ra","nhậnwem","hiểubient","realize","understand"
"hiểu biết","trải qua","thim qua","hiểubient","experience","knowledge"
"hiệu ứng","ảnh hưởng","ảnhĩarằng","hiệultng","influence","effect"
"hình chụp","hình ảnh","rheh ảnh","jouh chụp","picture","photo"
"hiv","aids","aing","anv","aids","hiv"
"hố","nứt","mpt","ớp","crack","hole"
"hồ","dòng sông","rộng sông","dặ","river","lake"
"họ","tên nick","têntñixí","ie","nickname","surname"
"hộ chiếu","vé","òt","hộchđiều","ticket","passport"
"hỗ trợ","cứu giúp","yar giúp","hỗhtối","help","assist"
"hoa","thực vật","óngc vật","sia","plant","flower"
"hoa quả","quả táo","điể táo","hoahanh","apple","fruit"
"họa sĩ","họa sĩ","họa lg","họa ơr","artist","painter"
"hỏa tiễn","tên lửa","kiế lửa","zed tiễn","rocket","missile"
"hoài nghi","ngây thơ","ngây bac","hoài ndắt","naive","cynical"
"hoàn hảo","lý tưởng","lýhtđứng","hoànthik","ideal","perfect"
"hoàn thành","toàn bộ","toànkyo","hoàn shank","total","complete"
"hoàn thành","chấm dứt","jhoo dứt","hoàn shank","end","finish"
"hoàn toàn","chắc chắn rồi","chắc chắturks","hoànstran","absolutely","completely"
"hoàng đế","thành nội","thành gứi","hoàng ữu","imperial","emperor"
"hoảng sợ","sự sợ hãi","cotsợ hãi","hoảng nô","scare","frighten"
"hoàng tử","công chúa","côngchpan","sting tử","princess","prince"
"hoạt động","tích cực","tíchđươc","dext động","active","activity"
"học thuyết","ý kiến","我學kiến","hrunthuyết","idea","theory"
"hỏi","câu hỏi","câuchọp","lăi","question","ask"
"hội chứng","triệu chứng","trubs chứng","lyu chứng","symptom","syndrome"
"hôm qua","hôm nay","hômgđây","hômotốt","today","yesterday"
"hỗn hợp","sự phối hợp","sự phốlypop","hỗnchứạ","combination","mixture"
"hôn nhân","ly hôn","lyhưnư","hôn scậu","divorce","marriage"
"hồng y","giám mục","ôitơ mục","hồng可能","bishop","cardinal"
"họp báo","khuy ao","khuymás","ers báo","button","press"
"hợp lý","công bằng","cônguđang","hợkels","fair","reasonable"
"hợp lý","đầy đủ","đầy ịa","hợkels","enough","sufficient"
"hợp pháp","bất hợp pháp","bất hợphgiám","hợp joop","illegal","legal"
"hung ác","tàn bạo","cấm bạo","hungđịc","brutal","cruel"
"hùng vĩ","giật gân","chêt gân","voig vĩ","sensational","spectacular"
"hướng lên","xuống","afống","hướnghzun","down","up"
"hữu nghị","mối quan hệ","mối quasiel","hữu ncpd","relationship","friendship"
"huy chương","chiếc cúp","chiếescúp","arg chương","trophy","medal"
"hydro","carbon","cargie","amiro","carbon","hydrogen"
"ích kỷ","bướng bỉnh","khung bỉnh","møh kỷ","stubborn","selfish"
"im lặng","im lặng","imolệnh","imhcưng","silent","silence"
"isurd","lố bịch","lốczych","islcd","ridiculous","absurd"
"juliet","romeo","rosos","juminy","romeo","juliet"
"kẻ ám sát","lính đánh thuê","lính đánhdashi","krelm sát","mercenary","assassin"
"kẻ bắn tỉa","bắn súng","ode súng","kẻ bắtñthn","shooter","sniper"
"kẻ giết người","sát thủ","sát yus","kẻhiềungườimỹ","killer","murderer"
"kẻ ngốc","lừa gạt","lừa vất","lẹ ngốc","fool","idiot"
"kẻ phản bội","gián điệp","thán điệp","kẻ phảnàynh","spy","traitor"
