en_cue,en_target,type,cue_type,target_type,en_cosine
good,bad,related,word,word,0.719484015
box,bag,related,word,word,0.598265524
trap,bait,related,word,word,0.527601122
orchestra,band,related,word,word,0.540667195
club,bar,related,word,word,0.598859561
stadium,baseball,related,word,word,0.418672877
shower,bathroom,related,word,word,0.655676398
superman,batman,related,word,word,0.69430067
regiment,battalion,related,word,word,0.742048577
war,battle,related,word,word,0.591793329
arena,battlefield,related,word,word,0.430520509
hair,beard,related,word,word,0.633336192
pretty,beautiful,related,word,word,0.392833143
charm,beauty,related,word,word,0.51378012
sofa,bed,related,word,word,0.59154024
room,bedroom,related,word,word,0.684741353
drink,beer,related,word,word,0.65776697
trust,believe,related,word,word,0.497164562
million,billion,related,word,word,0.848476392
chemical,biological,related,word,word,0.565618108
chemistry,biology,related,word,word,0.723919378
butterfly,bird,related,word,word,0.577183206
anniversary,birthday,related,word,word,0.692294959
white,black,related,word,word,0.83050353
bribe,blackmail,related,word,word,0.53187077
brown,blue,related,word,word,0.604941289
submarine,boat,related,word,word,0.53064693
bible,book,related,word,word,0.511250847
manager,boss,related,word,word,0.516780478
washington,boston,related,word,word,0.541811116
glass,bottle,related,word,word,0.582726172
top,bottom,related,word,word,0.618579508
girl,boy,related,word,word,0.734353953
noble,brave,related,word,word,0.514358019
smash,break,related,word,word,0.534918396
dinner,breakfast,related,word,word,0.687368351
groom,bride,related,word,word,0.82906823
shine,bright,related,word,word,0.539588316
dude,bro,related,word,word,0.744898468
sister,brother,related,word,word,0.767234889
scratch,bruise,related,word,word,0.413702396
construction,build,related,word,word,0.543708006
tower,building,related,word,word,0.530382005
caliber,bullet,related,word,word,0.416870043
dig,bury,related,word,word,0.611054827
train,bus,related,word,word,0.713431379
industry,business,related,word,word,0.450651026
ass,butt,related,word,word,0.803624569
honey,butter,related,word,word,0.433463847
seller,buyer,related,word,word,0.663861697
hello,bye,related,word,word,0.554220452
dessert,cake,related,word,word,0.625337813
count,calculate,related,word,word,0.317770459
quiet,calm,related,word,word,0.638236847
picnic,camping,related,word,word,0.524948272
tumor,cancer,related,word,word,0.61105061
lamp,candle,related,word,word,0.626595629
glasses,cap,related,word,word,0.443367919
anarchy,capitalism,related,word,word,0.54306183
commander,captain,related,word,word,0.653475817
vehicle,car,related,word,word,0.733420882
bishop,cardinal,related,word,word,0.534487891
load,cargo,related,word,word,0.508134859
floor,carpet,related,word,word,0.550509896
mafia,cartel,related,word,word,0.523259478
palace,castle,related,word,word,0.610541748
dog,cat,related,word,word,0.751352759
grab,catch,related,word,word,0.350035942
reason,cause,related,word,word,0.432893248
grave,cemetery,related,word,word,0.603195466
mile,centimeter,related,word,word,0.397440956
brain,cerebral,related,word,word,0.643728644
ritual,ceremony,related,word,word,0.649347199
table,chair,related,word,word,0.544248774
obstacle,challenge,related,word,word,0.433267107
wine,champagne,related,word,word,0.707410172
competition,championship,related,word,word,0.554359046
church,chapel,related,word,word,0.738190529
attractive,charming,related,word,word,0.615354877
follow,chase,related,word,word,0.426879732
expensive,cheap,related,word,word,0.573119054
lip,cheek,related,word,word,0.598974117
bread,cheese,related,word,word,0.609897523
cook,chef,related,word,word,0.594223801
stomach,chest,related,word,word,0.571495894
swallow,chew,related,word,word,0.544756182
baby,child,related,word,word,0.641252733
youth,childhood,related,word,word,0.489375733
sugar,chocolate,related,word,word,0.567799185
catholic,christian,related,word,word,0.665243
smoke,cigar,related,word,word,0.53791938
tobacco,cigarette,related,word,word,0.577109047
zoo,circus,related,word,word,0.575352296
capital,city,related,word,word,0.475347607
culture,civilization,related,word,word,0.601905485
typical,classic,related,word,word,0.538421797
patient,client,related,word,word,0.472100665
hospital,clinic,related,word,word,0.698179636
open,close,related,word,word,0.46331614
locked,closed,related,word,word,0.490636199
cabinet,closet,related,word,word,0.508852455
opening,closure,related,word,word,0.36412325
beach,coast,related,word,word,0.54888631
cup,coffee,related,word,word,0.733536411
rum,cognac,related,word,word,0.560853358
hot,cold,related,word,word,0.541749168
fall,collapse,related,word,word,0.480844646
general,colonel,related,word,word,0.717287942
arrive,come,related,word,word,0.442508962
drama,comedy,related,word,word,0.589585819
inspector,commissioner,related,word,word,0.683832448
commission,committee,related,word,word,0.516490117
navigation,communication,related,word,word,0.497154272
racist,communist,related,word,word,0.466898593
society,community,related,word,word,0.624592031
patience,compassion,related,word,word,0.541047101
total,complete,related,word,word,0.649290948
absolutely,completely,related,word,word,0.623705129
software,computer,related,word,word,0.622082335
focus,concentrate,related,word,word,0.781467883
tour,concert,related,word,word,0.527372427
admit,confess,related,word,word,0.58905687
respect,confidence,related,word,word,0.488846441
confirmation,confirm,related,word,word,0.649244794
chaos,confusion,related,word,word,0.641639297
contact,connection,related,word,word,0.505588477
always,constantly,related,word,word,0.540387009
law,constitution,related,word,word,0.515537503
contain,content,related,word,word,0.308535967
proceed,continue,related,word,word,0.469921348
opposite,contrary,related,word,word,0.400968651
orphanage,convent,related,word,word,0.527568468
warm,cool,related,word,word,0.447555108
original,copy,related,word,word,0.383688684
company,corporation,related,word,word,0.629944236
body,corpse,related,word,word,0.650132943
wrong,correct,related,word,word,0.460743136
silk,cotton,related,word,word,0.609390378
baron,countess,related,word,word,0.611285185
relative,cousin,related,word,word,0.385069278
rodeo,cowboy,related,word,word,0.547704682
paranoid,crazy,related,word,word,0.502283687
imagination,creativity,related,word,word,0.566813793
monster,creature,related,word,word,0.631194692
scary,creepy,related,word,word,0.648903413
sin,crime,related,word,word,0.506291295
thief,criminal,related,word,word,0.568378536
situation,crisis,related,word,word,0.516747205
brutal,cruel,related,word,word,0.63559801
evil,cruelty,related,word,word,0.415817207
tear,cut,related,word,word,0.385310326
sweet,cute,related,word,word,0.555686324
naive,cynical,related,word,word,0.577525753
uncle,dad,related,word,word,0.60045723
dancer,dance,related,word,word,0.604207484
risk,danger,related,word,word,0.61131653
risky,dangerous,related,word,word,0.640974555
shadow,dark,related,word,word,0.372040098
sunset,dawn,related,word,word,0.527841112
alive,dead,related,word,word,0.512706553
blind,deaf,related,word,word,0.670764277
century,decade,related,word,word,0.635595383
november,december,related,word,word,0.754205787
cabin,deck,related,word,word,0.349222562
victory,defeat,related,word,word,0.637150865
protect,defend,related,word,word,0.680114388
concept,definition,related,word,word,0.497581499
tasty,delicious,related,word,word,0.772105463
freedom,democracy,related,word,word,0.602243588
protest,demonstration,related,word,word,0.515105984
arrival,departure,related,word,word,0.711474416
stress,depression,related,word,word,0.497286203
profile,description,related,word,word,0.515313049
fate,destiny,related,word,word,0.800204516
creation,destruction,related,word,word,0.509788204
agent,detective,related,word,word,0.440200971
courage,determination,related,word,word,0.614480313
progress,development,related,word,word,0.440521254
chip,device,related,word,word,0.43935153
angel,devil,related,word,word,0.453142422
fidelity,devotion,related,word,word,0.544673023
suffer,die,related,word,word,0.52256845
similar,different,related,word,word,0.58958775
pride,dignity,related,word,word,0.536893907
ping,ding,related,word,word,0.373954557
direct,directly,related,word,word,0.61504715
producer,director,related,word,word,0.612302389
death,disappearance,related,word,word,0.416135253
surprise,disappointment,related,word,word,0.439274192
conversation,discussion,related,word,word,0.729747572
flu,disease,related,word,word,0.55102287
dirty,disgusting,related,word,word,0.544560076
resignation,dismissal,related,word,word,0.542205809
conflict,dispute,related,word,word,0.570491934
county,district,related,word,word,0.539715861
interrupt,disturb,related,word,word,0.676772314
god,divine,related,word,word,0.517087165
unit,division,related,word,word,0.566883436
make,do,related,word,word,0.39493731
surgeon,doctor,related,word,word,0.70349175
file,document,related,word,word,0.519992112
pound,dollar,related,word,word,0.483617764
charity,donation,related,word,word,0.580685815
window,door,related,word,word,0.580953825
paint,draw,related,word,word,0.366594101
nightmare,dream,related,word,word,0.602194575
skirt,dress,related,word,word,0.642245861
passenger,driver,related,word,word,0.57829891
alcohol,drug,related,word,word,0.529816474
sober,drunk,related,word,word,0.561446753
goose,duck,related,word,word,0.590336022
ash,dust,related,word,word,0.272335847
rusty,dusty,related,word,word,0.264751398
responsibility,duty,related,word,word,0.470923935
gunpowder,dynamite,related,word,word,0.595546766
eye,ear,related,word,word,0.466056879
late,early,related,word,word,0.598640899
west,east,related,word,word,0.888417598
impossible,easy,related,word,word,0.496550008
feed,eat,related,word,word,0.519602367
health,education,related,word,word,0.418735934
influence,effect,related,word,word,0.457484153
useful,effective,related,word,word,0.482820943
nest,egg,related,word,word,0.441675147
campaign,election,related,word,word,0.582441415
magnetic,electric,related,word,word,0.509502121
current,electricity,related,word,word,0.284909841
fashionable,elegant,related,word,word,0.549284927
factor,element,related,word,word,0.44340459
urgent,emergency,related,word,word,0.446260723
mental,emotional,related,word,word,0.581502405
imperial,emperor,related,word,word,0.610028455
dynasty,empire,related,word,word,0.626830351
power,energy,related,word,word,0.526944962
tank,engine,related,word,word,0.408398363
exit,entrance,related,word,word,0.724876829
millionaire,entrepreneur,related,word,word,0.522694691
plague,epidemic,related,word,word,0.648529111
series,episode,related,word,word,0.478117201
equipment,equip,related,word,word,0.539157301
orgasm,erection,related,word,word,0.570871727
flee,escape,related,word,word,0.635242619
observation,evaluation,related,word,word,0.435930494
night,evening,related,word,word,0.617959071
phenomenon,event,related,word,word,0.416384985
finally,eventually,related,word,word,0.533682715
never,ever,related,word,word,0.572233095
underestimate,exaggerate,related,word,word,0.482861884
proud,excited,related,word,word,0.426741809
forgive,excuse,related,word,word,0.499685555
hanging,execution,related,word,word,0.265522049
practice,exercise,related,word,word,0.487058627
gallery,exhibition,related,word,word,0.594926686
wait,expect,related,word,word,0.301635718
burst,explode,related,word,word,0.551580674
earthquake,explosion,related,word,word,0.518166608
bomb,explosive,related,word,word,0.579697616
describe,express,related,word,word,0.387239928
internal,external,related,word,word,0.763738687
success,failure,related,word,word,0.560074697
hope,faith,related,word,word,0.331595059
loyal,faithful,related,word,word,0.684497022
fake,FALSE,related,word,word,0.636502239
clan,family,related,word,word,0.586793811
popular,famous,related,word,word,0.521968765
wonderful,fantastic,related,word,word,0.781274397
reality,fantasy,related,word,word,0.581615171
near,far,related,word,word,0.317628758
slow,fast,related,word,word,0.560384853
deadly,fatal,related,word,word,0.557678482
mother,father,related,word,word,0.822364763
mail,fax,related,word,word,0.498775403
horror,fear,related,word,word,0.481240031
colony,federation,related,word,word,0.444625758
impression,feeling,related,word,word,0.372719335
male,female,related,word,word,0.902065942
wall,fence,related,word,word,0.541576493
carnival,festival,related,word,word,0.558409913
cough,fever,related,word,word,0.511473368
combat,fight,related,word,word,0.484072737
champion,fighter,related,word,word,0.479433575
nasty,filthy,related,word,word,0.569098102
banking,financial,related,word,word,0.603231217
financially,financing,related,word,word,0.577340033
search,find,related,word,word,0.486747383
dna,fingerprint,related,word,word,0.598090866
end,finish,related,word,word,0.32983525
shark,fish,related,word,word,0.659459815
hunting,fishing,related,word,word,0.591859398
fire,flame,related,word,word,0.592164001
naval,fleet,related,word,word,0.51179052
landing,flight,related,word,word,0.483001947
grain,flour,related,word,word,0.573024016
plant,flower,related,word,word,0.551056988
liquid,fluid,related,word,word,0.610991529
land,fly,related,word,word,0.293834222
cloud,fog,related,word,word,0.535590575
basketball,football,related,word,word,0.774359519
strength,force,related,word,word,0.488051928
jungle,forest,related,word,word,0.673271418
eternal,forever,related,word,word,0.487004592
spoon,fork,related,word,word,0.640320728
two,four,related,word,word,0.769696326
third,fourth,related,word,word,0.878503076
conspiracy,fraud,related,word,word,0.53999925
freely,free,related,word,word,0.490401543
melt,freeze,related,word,word,0.562428428
english,french,related,word,word,0.687750321
colleague,friend,related,word,word,0.689925482
polite,friendly,related,word,word,0.59826294
relationship,friendship,related,word,word,0.678282664
scare,frighten,related,word,word,0.81149579
apple,fruit,related,word,word,0.561813376
gas,fuel,related,word,word,0.579640488
refugee,fugitive,related,word,word,0.384098937
empty,full,related,word,word,0.445434104
operational,functional,related,word,word,0.539473278
budget,funding,related,word,word,0.567295669
coffin,funeral,related,word,word,0.535292646
witty,funny,related,word,word,0.521396039
universe,galaxy,related,word,word,0.73766902
play,game,related,word,word,0.581503436
workshop,garage,related,word,word,0.49327726
trash,garbage,related,word,word,0.863375853
portal,gate,related,word,word,0.532044422
collect,gather,related,word,word,0.527718328
lesbian,gay,related,word,word,0.701589139
naturally,generally,related,word,word,0.492721951
compassionate,generous,related,word,word,0.616271301
soft,gentle,related,word,word,0.582197958
compliment,gift,related,word,word,0.456017856
boys,girls,related,word,word,0.790156026
offer,give,related,word,word,0.426248837
national,global,related,word,word,0.5188961
glorious,glory,related,word,word,0.585754932
enter,go,related,word,word,0.349466319
monkey,gorilla,related,word,word,0.615054484
administration,government,related,word,word,0.640263573
diploma,graduate,related,word,word,0.598991278
kilo,gram,related,word,word,0.545429713
grandfather,grandmother,related,word,word,0.74187012
hospitality,gratitude,related,word,word,0.536103818
excellent,great,related,word,word,0.490681639
roman,greek,related,word,word,0.585266883
congratulate,greet,related,word,word,0.421725359
gang,group,related,word,word,0.512526098
innocent,guilty,related,word,word,0.54793243
piano,guitar,related,word,word,0.693877613
rifle,gun,related,word,word,0.752534223
illusion,hallucination,related,word,word,0.454161245
sandwich,hamburger,related,word,word,0.619612489
stick,hammer,related,word,word,0.384557098
cloth,handkerchief,related,word,word,0.530030162
occur,happen,related,word,word,0.613093729
satisfied,happy,related,word,word,0.534061299
bay,harbor,related,word,word,0.557413658
tough,hard,related,word,word,0.631515139
balance,harmony,related,word,word,0.481745973
helmet,hat,related,word,word,0.557678603
base,headquarters,related,word,word,0.463447316
recover,heal,related,word,word,0.509327965
listen,hear,related,word,word,0.528385515
sky,heavenly,related,word,word,0.467624424
heavy,heavily,related,word,word,0.487274301
weight,height,related,word,word,0.498043137
ambulance,helicopter,related,word,word,0.525793511
paradise,hell,related,word,word,0.315815985
cocaine,heroin,related,word,word,0.848855455
cover,hide,related,word,word,0.382016987
low,high,related,word,word,0.700833541
majesty,highness,related,word,word,0.732041025
road,highway,related,word,word,0.754323923
aids,hiv,related,word,word,0.737660542
crack,hole,related,word,word,0.288494744
christmas,holiday,related,word,word,0.647559556
decent,honest,related,word,word,0.436838973
loyalty,honesty,related,word,word,0.615488731
privilege,honor,related,word,word,0.564637671
terrible,horrible,related,word,word,0.865824453
donkey,horse,related,word,word,0.597167214
pump,hose,related,word,word,0.549741578
kiss,hug,related,word,word,0.720700875
big,huge,related,word,word,0.757912155
man,human,related,word,word,0.283994906
thousand,hundred,related,word,word,0.84823246
tired,hungry,related,word,word,0.52480581
carbon,hydrogen,related,word,word,0.682003219
fool,idiot,related,word,word,0.635705
meaning,importance,related,word,word,0.424063639
valuable,important,related,word,word,0.557856686
flatter,impress,related,word,word,0.526145426
penalty,imprisonment,related,word,word,0.481576282
change,improvement,related,word,word,0.377234796
profit,income,related,word,word,0.498616637
point,indicate,related,word,word,0.25399925
person,individual,related,word,word,0.480443921
virus,infection,related,word,word,0.611696582
report,inform,related,word,word,0.464784205
source,informant,related,word,word,0.367106437
data,information,related,word,word,0.651174136
heritage,inherit,related,word,word,0.333666364
dose,injection,related,word,word,0.609825445
wound,injury,related,word,word,0.568742926
spider,insect,related,word,word,0.587797653
outside,inside,related,word,word,0.645803573
examination,inspection,related,word,word,0.640783796
inspire,inspiration,related,word,word,0.596069066
tool,instrument,related,word,word,0.536099172
smart,intelligent,related,word,word,0.647695764
purpose,intention,related,word,word,0.540449601
accidentally,intentionally,related,word,word,0.579188821
exciting,interesting,related,word,word,0.71231273
personal,intimate,related,word,word,0.473357622
instinct,intuition,related,word,word,0.669988721
finance,invest,related,word,word,0.543969125
examine,investigate,related,word,word,0.555951978
analyst,investigator,related,word,word,0.500673383
banker,investor,related,word,word,0.494191361
irony,ironic,related,word,word,0.569893143
unreasonable,irresponsible,related,word,word,0.553756226
shirt,jacket,related,word,word,0.79489524
diamond,jewel,related,word,word,0.62573461
trick,joke,related,word,word,0.407017625
reporter,journalist,related,word,word,0.783917828
pleasure,joy,related,word,word,0.524881633
court,judge,related,word,word,0.578507174
milk,juice,related,word,word,0.540469557
romeo,juliet,related,word,word,0.86509258
june,july,related,word,word,0.698879672
climb,jump,related,word,word,0.549272283
senior,junior,related,word,word,0.415202444
revenge,justice,related,word,word,0.460905254
hold,keep,related,word,word,0.375994247
poison,kill,related,word,word,0.431975387
queen,king,related,word,word,0.735801977
royal,kingdom,related,word,word,0.395710804
shoulder,knee,related,word,word,0.529989537
recognize,knew,related,word,word,0.291363442
sword,knife,related,word,word,0.633473765
now,know,related,word,word,0.410886542
experience,knowledge,related,word,word,0.46694939
lord,lady,related,word,word,0.248345702
river,lake,related,word,word,0.73184541
tenant,landlord,related,word,word,0.64940016
first,last,related,word,word,0.622658829
smile,laugh,related,word,word,0.60344336
member,leader,related,word,word,0.522239186
seminar,lecture,related,word,word,0.572882897
right,left,related,word,word,0.428861541
illegal,legal,related,word,word,0.587613277
myth,legend,related,word,word,0.607917255
size,length,related,word,word,0.470778867
allow,let,related,word,word,0.584988131
telegram,letter,related,word,word,0.682689583
lie,liar,related,word,word,0.469907008
conservative,liberal,related,word,word,0.726131162
suck,lick,related,word,word,0.455472789
sergeant,lieutenant,related,word,word,0.698880292
darkness,light,related,word,word,0.523320357
probability,likely,related,word,word,0.353821793
taxi,limousine,related,word,word,0.531889469
ming,ling,related,word,word,0.607037044
dragon,lion,related,word,word,0.488941425
art,literature,related,word,word,0.574772454
kidney,liver,related,word,word,0.733367278
frog,lizard,related,word,word,0.619539535
credit,loan,related,word,word,0.493151608
tuna,lobster,related,word,word,0.598562328
regional,local,related,word,word,0.533482071
place,location,related,word,word,0.424323296
key,lock,related,word,word,0.484884179
alone,lonely,related,word,word,0.49400387
short,long,related,word,word,0.501859123
hate,love,related,word,word,0.549401338
nice,lovely,related,word,word,0.680031428
mistress,lover,related,word,word,0.57854285
snack,lunch,related,word,word,0.572884837
robot,machine,related,word,word,0.549856731
playboy,magazine,related,word,word,0.376503294
nanny,maid,related,word,word,0.575249568
preserve,maintain,related,word,word,0.543143926
service,maintenance,related,word,word,0.438885197
control,manipulate,related,word,word,0.428028181
compass,map,related,word,word,0.543254634
advertising,marketing,related,word,word,0.690352202
divorce,marriage,related,word,word,0.576315715
single,married,related,word,word,0.223514173
yoga,massage,related,word,word,0.526489707
tournament,match,related,word,word,0.468204495
physics,mathematics,related,word,word,0.741270019
minimum,maximum,related,word,word,0.714790038
ketchup,mayonnaise,related,word,word,0.682745865
sheriff,mayor,related,word,word,0.602126489
food,meal,related,word,word,0.568017898
pork,meat,related,word,word,0.665145737
technical,mechanical,related,word,word,0.541665181
trophy,medal,related,word,word,0.582692567
artifact,medallion,related,word,word,0.41983619
see,meet,related,word,word,0.493680073
conference,meeting,related,word,word,0.587893559
commercial,merchant,related,word,word,0.324999924
forgiveness,mercy,related,word,word,0.541832792
warning,message,related,word,word,0.416315939
iron,metal,related,word,word,0.652841978
kilometer,meter,related,word,word,0.576748049
camera,microphone,related,word,word,0.591788658
telescope,microscope,related,word,word,0.560626021
civil,military,related,word,word,0.447833873
ambassador,minister,related,word,word,0.438043916
embassy,ministry,related,word,word,0.411604797
plus,minus,related,word,word,0.36751725
second,minute,related,word,word,0.61173601
reflection,mirror,related,word,word,0.618837432
poverty,misery,related,word,word,0.590905058
unfortunate,misfortune,related,word,word,0.518008478
rocket,missile,related,word,word,0.629978625
task,mission,related,word,word,0.60101508
error,mistake,related,word,word,0.620022416
combination,mixture,related,word,word,0.547899172
humble,modest,related,word,word,0.610462271
temple,monastery,related,word,word,0.542439886
cash,money,related,word,word,0.723606261
screen,monitor,related,word,word,0.369302859
tomorrow,morning,related,word,word,0.463246607
aspirin,morphine,related,word,word,0.575689861
hotel,motel,related,word,word,0.759718186
hill,mountain,related,word,word,0.700842151
porn,movie,related,word,word,0.488583791
daddy,mum,related,word,word,0.453631723
suicide,murder,related,word,word,0.499535054
killer,murderer,related,word,word,0.789414101
nerve,muscle,related,word,word,0.447954338
library,museum,related,word,word,0.5671451
jazz,music,related,word,word,0.650044765
singer,musician,related,word,word,0.728652787
evolution,mutation,related,word,word,0.587525033
secret,mystery,related,word,word,0.418259213
nude,naked,related,word,word,0.771078416
country,nation,related,word,word,0.71085223
diarrhea,nausea,related,word,word,0.618062155
marine,navy,related,word,word,0.561842136
throat,neck,related,word,word,0.539128823
ring,necklace,related,word,word,0.545005858
necessary,need,related,word,word,0.45116276
positive,negative,related,word,word,0.781418349
grandson,nephew,related,word,word,0.608601164
worried,nervous,related,word,word,0.623843766
channel,news,related,word,word,0.292536625
article,newspaper,related,word,word,0.541575402
midnight,noon,related,word,word,0.664210159
healthy,normal,related,word,word,0.472084824
south,north,related,word,word,0.881040231
mouth,nose,related,word,word,0.5275528
atomic,nuclear,related,word,word,0.606379521
swear,oath,related,word,word,0.46543922
clearly,obviously,related,word,word,0.685171829
sea,ocean,related,word,word,0.797049544
september,october,related,word,word,0.822710531
insult,offend,related,word,word,0.566615566
desk,office,related,word,word,0.531898679
officially,official,related,word,word,0.568214753
sometimes,often,related,word,word,0.626955527
coal,oil,related,word,word,0.49819092
garlic,onion,related,word,word,0.637979737
enemy,opponent,related,word,word,0.559187746
choice,option,related,word,word,0.615977654
green,orange,related,word,word,0.65157477
planet,orbit,related,word,word,0.533120056
command,order,related,word,word,0.389611775
arrange,organize,related,word,word,0.558031882
result,outcome,related,word,word,0.566229804
property,owner,related,word,word,0.390381186
air,oxygen,related,word,word,0.487171745
envelope,package,related,word,word,0.493887249
suffering,pain,related,word,word,0.614367374
artist,painter,related,word,word,0.734903956
section,paragraph,related,word,word,0.564749671
supernatural,paranormal,related,word,word,0.681706609
adult,parent,related,word,word,0.521622195
matter,particle,related,word,word,0.270897978
reception,party,related,word,word,0.48467745
enthusiasm,passion,related,word,word,0.599967821
ticket,passport,related,word,word,0.529453479
code,password,related,word,word,0.617827481
future,past,related,word,word,0.435460381
route,path,related,word,word,0.610249301
miserable,pathetic,related,word,word,0.653380101
guard,patrol,related,word,word,0.450633507
paper,pen,related,word,word,0.534766097
vagina,penis,related,word,word,0.754254986
population,people,related,word,word,0.406647621
ideal,perfect,related,word,word,0.653340205
show,performance,related,word,word,0.33888844
lipstick,perfume,related,word,word,0.54636671
radius,perimeter,related,word,word,0.520092472
phase,period,related,word,word,0.470156158
character,personality,related,word,word,0.590807713
view,perspective,related,word,word,0.573004324
picture,photo,related,word,word,0.789975059
autograph,photographer,related,word,word,0.332399758
dictionary,phrase,related,word,word,0.505912101
sexual,physical,related,word,word,0.532304672
fragment,piece,related,word,word,0.460471334
cow,pig,related,word,word,0.678772495
tablet,pill,related,word,word,0.482003001
astronaut,pilot,related,word,word,0.493185635
preparation,planning,related,word,word,0.426610065
cement,plastic,related,word,word,0.415273126
bowl,plate,related,word,word,0.540846355
explanation,plausible,related,word,word,0.500765595
coach,player,related,word,word,0.476347728
comfortable,pleasant,related,word,word,0.470234514
text,poem,related,word,word,0.462748875
gambling,poker,related,word,word,0.605407492
critical,political,related,word,word,0.430034746
policy,politician,related,word,word,0.222346843
journalism,politics,related,word,word,0.529868538
status,position,related,word,word,0.469877196
chance,possibility,related,word,word,0.448427423
helpless,powerless,related,word,word,0.681947071
literally,practically,related,word,word,0.603756726
prey,predator,related,word,word,0.679961026
birth,pregnancy,related,word,word,0.458027299
ready,prepare,related,word,word,0.557377714
chancellor,president,related,word,word,0.375997087
button,press,related,word,word,0.580079144
pulse,pressure,related,word,word,0.32744958
value,price,related,word,word,0.50899815
monk,priest,related,word,word,0.662087666
secondary,primary,related,word,word,0.66792121
princess,prince,related,word,word,0.771609455
cell,prison,related,word,word,0.487283156
hostage,prisoner,related,word,word,0.530342994
private,privacy,related,word,word,0.511160181
nobel,prize,related,word,word,0.437152406
maybe,probably,related,word,word,0.558197076
capsule,probe,related,word,word,0.515560824
trouble,problem,related,word,word,0.468849434
process,procedure,related,word,word,0.544282878
create,produce,related,word,word,0.520823984
brand,product,related,word,word,0.524917635
factory,production,related,word,word,0.47748073
amateur,professional,related,word,word,0.533485432
dean,professor,related,word,word,0.333083411
project,program,related,word,word,0.496330084
forbidden,prohibit,related,word,word,0.582008737
guarantee,promise,related,word,word,0.570893734
evidence,proof,related,word,word,0.618156418
lawyer,prosecutor,related,word,word,0.629095914
rule,protocol,related,word,word,0.410913774
model,prototype,related,word,word,0.473912116
enable,provide,related,word,word,0.439388197
medical,psychological,related,word,word,0.538320931
anatomy,psychology,related,word,word,0.498376075
push,pull,related,word,word,0.534609797
insert,put,related,word,word,0.445568031
quantity,quality,related,word,word,0.553990387
half,quarter,related,word,word,0.728899263
slowly,quickly,related,word,word,0.605647098
fox,rabbit,related,word,word,0.65615972
squirrel,raccoon,related,word,word,0.629869915
marathon,race,related,word,word,0.414530924
contamination,radiation,related,word,word,0.597335437
anger,rage,related,word,word,0.775119677
kidnapper,ransom,related,word,word,0.599863495
occasionally,rarely,related,word,word,0.586225636
mouse,rat,related,word,word,0.61877068
generator,reactor,related,word,word,0.629442601
TRUE,real,related,word,word,0.446607039
optimistic,realistic,related,word,word,0.536354287
actually,really,related,word,word,0.640400782
front,rear,related,word,word,0.474897071
fair,reasonable,related,word,word,0.493676979
just,recently,related,word,word,0.267577036
record,recording,related,word,word,0.606313713
increase,reduce,related,word,word,0.655523972
fresh,refresh,related,word,word,0.465741516
