"ro_target","ro_cue","ro_fake_cue","ro_fake_target","en_cue","en_target"
"copie","original","origiving","covoa","original","copy"
"copil","bebelus","beberant","coarh","baby","child"
"copilărie","tineret","tinestro","copilăneşti","youth","childhood"
"corect","gresit","depsit","cokeri","wrong","correct"
"corporație","companie","compaturi","transporație","company","corporation"
"covor","podea","potin","coset","floor","carpet"
"cowboy","rodeo","romau","cowppe","rodeo","cowboy"
"craniu","os","dy","musniu","bone","skull"
"cravată","lega","letei","nicovată","bind","tie"
"creativitate","imaginație","strânginație","nemţoaiativitate","imagination","creativity"
"creatură","monstru","sanctru","denţiatură","monster","creature"
"cred","încredere","îndeshidere","şoed","trust","believe"
"credincios","loial","lorez","credinzati","loyal","faithful"
"credinţă","speranţă","spetenţi","cregenţi","hope","faith"
"creştin","catolic","catoshop","creşcări","catholic","christian"
"crimă","sinucidere","sinucideremorchea","hărmă","suicide","murder"
"crimă","păcat","pătâi","hărmă","sin","crime"
"criminal","ucigaş","blogaş","crimiteţi","killer","murderer"
"criză","situatie","situamonds","idoză","situation","crisis"
"crud","brutal","costal","croa","brutal","cruel"
"cruzime","rău","juu","blânzime","evil","cruelty"
"cufăr","stomac","stogor","cunox","stomach","chest"
"cumpărător","vânzător","cheazător","cumpărăsești","seller","buyer"
"cunoştinţe","experienţă","expevinţel","cunoştrebi","experience","knowledge"
"cuptor","cuptor","vrotor","jector","oven","stove"
"curajos","nobil","nomat","curafred","noble","brave"
"curcan","pui","găi","cursor","chicken","turkey"
"cuţit","sabie","sayev","cubus","sword","knife"
"da","bine","desne","gă","okay","yeah"
"da","oferi","dyeri","gă","offer","give"
"dans","dansator","cressator","daol","dancer","dance"
"datorie","responsabilitate","responsabilitatebracci","datotati","responsibility","duty"
"dawn","apus de soare","apus de sgheli","daval","sunset","dawn"
"de multe ori","uneori","lacori","de multcrând","sometimes","often"
"de obicei","în mod normal","în mod nspoon","de obtowoc","normally","usually"
"de urgență","urgent","urgham","de urgeritmi","urgent","emergency"
"decembrie","noiembrie","noiemcurs","decemnţat","november","december"
"deceniu","secol","serit","decelati","century","decade"
"definiție","concept","conrşit","definitowoc","concept","definition"
"deget mare","deget","decum","deprind mare","finger","thumb"
"delicios","gustos","adătos","delipari","tasty","delicious"
"demnitate","mândrie","mânfred","atracnitate","pride","dignity"
"democraţie","libertate","lisculptate","demomeştiţie","freedom","democracy"
"demonstrație","protest","prothal","demonobiecție","protest","demonstration"
"departe","lângă","arãgă","debleste","near","far"
"deplin","gol","âul","dedrii","empty","full"
"depresie","stres","jeres","depretesc","stress","depression"
"descriere","profil","promaj","schimcriere","profile","description"
"despre","out","lst","desing","out","about"
"destin","fate","răste","desrez","fate","destiny"
"detectiv","agent","oaent","desportiv","agent","detective"
"determinare","curaj","cudin","declanşaminare","courage","determination"
"devotament","fidelitate","stewardelitate","devotaclism","fidelity","devotion"
"dezamăgire","surprinde","surgentde","stanţiamăgire","surprise","disappointment"
"dezgustător","murdar","bendar","dezdreaptător","dirty","disgusting"
"dezvoltare","progresul","progreceas","emoţiotare","progress","development"
"diavol","înger","înnoi","diarunt","angel","devil"
"diferit","similar","simicuțu","difetezi","similar","different"
"dimineaţă","mâine","damne","dimidomniţă","tomorrow","morning"
"din timp","târziu","înăziu","ano timp","late","early"
"dinamită","praf de puşcă","praf de psomnia","dimulţumită","gunpowder","dynamite"
"ding","ping","oong","diff","ping","ding"
"dinte","unghii","untric","irate","nail","tooth"
"direct","direct","dimţit","dipost","direct","directly"
"director","producător","producăleşti","diopritor","producer","director"
"discuţie","conversaţie","conversavetti","disculoşi","conversation","discussion"
"dispariție","moarte","flirte","dispariseşti","death","disappearance"
"dispozitiv","cip","gup","dispozicanţi","chip","device"
"disputa","conflict","confnind","scruputa","conflict","dispute"
"district","județ","jurue","dissaint","county","district"
"distrugere","creare","tsunare","discâștigere","creation","destruction"
"divin","dumnezeu","dumnețați","ditam","god","divine"
"divizia","unitate","crustate","divitati","unit","division"
"do","face","trice","ță","make","do"
"doamnă","lord","lonă","inalnă","lord","lady"
"doctor","chirurg","chirifi","rcător","surgeon","doctor"
"document","fişier","fişiling","doculoși","file","document"
"dolar","livră","lihib","donia","pound","dollar"
"donare","caritate","mosferitate","atârnare","charity","donation"
"dori","dorință","dogheață","doen","desire","wish"
"dormi","odihnă","chiună","dogsi","rest","sleep"
"dormitor","cameră","cameneas","dorminati","room","bedroom"
"dovada","dovezi","dopati","echivada","evidence","proof"
"dragoste","ură","oşă","draodette","hate","love"
"drăguţ","dulce","oboce","drămân","sweet","cute"
"dulap","cabinet","cabitați","dugly","cabinet","closet"
"duminică","sâmbătă","noasbătă","duleţulnică","Saturday","Sunday"
"durere","suferinţă","sufenisti","duretlic","suffering","pain"
"dusty","ruginit","rugirard","rotty","rusty","dusty"
"echipa","echipamente","transpamente","elecpa","equipment","equip"
"echipă","ligă","litat","înţepă","league","team"
"educaţie","sănătate","săorientate","strecaţie","health","education"
"efect","influență","inscripență","efhot","influence","effect"
"efectiv","util","kwil","trictiv","useful","effective"
"egoist","încăpăţânat","încăpăţâcţiuni","egonţa","stubborn","selfish"
"electric","magnetic","scurnetic","elecriți","magnetic","electric"
"electricitate","actual","actuiesc","răzgântricitate","current","electricity"
"elegant","la modă","la mpreț","elegler","fashionable","elegant"
"element","factor","vretor","inoment","factor","element"
"elicopter","ambulanță","ambusesteță","elishelter","ambulance","helicopter"
"elimina","înlătura","înstructura","stramina","eliminate","remove"
"emoţional","mental","apatal","porţional","mental","emotional"
"energie","putere","blestere","enervân","power","energy"
"epidemie","ciumă","ciuting","epidetari","plague","epidemic"
"episod","serie","semes","epinzi","series","episode"
"erecție","orgasm","orraii","trănție","orgasm","erection"
"eșec","succes","leices","ttec","success","failure"
"est","vest","nast","şit","west","east"
"evadare","flee","kiee","blindare","flee","escape"
"evaluare","observare","obserkeshore","monteluare","observation","evaluation"
"eveniment","fenomen","fenoulli","evenicuri","phenomenon","event"
"evident","clar","tâar","eviteam","clearly","obviously"
"exagera","subestima","supporttima","chelgera","underestimate","exaggerate"
"excitat","mândru","mânnis","excipien","proud","excited"
"execuţie","agăţat","delţat","scricuţie","hanging","execution"
"exercițiu","practică","sfârtică","princițiu","practice","exercise"
"exploda","izbucni","izbuckwood","exthilda","burst","explode"
"explozie","cutremur","cutrezesc","exploturi","earthquake","explosion"
"exploziv","bombă","asibă","explotham","bomb","explosive"
"expoziţie","galerie","galegeam","expoziceati","gallery","exhibition"
"expres","descrie","destrui","expeți","describe","express"
"extern","intern","indeam","extria","internal","external"
"faimos","popular","popucioa","faigal","popular","famous"
"făină","cereale","forţareale","aproină","grain","flour"
"fals","fals","faşi","fapy","fake","FALSE"
"familie","clan","tâan","faminesc","clan","family"
"fantastic","minunat","minuturi","fansceptic","wonderful","fantastic"
"fantezie","realitate","dezminţirealitate","fantecuri","reality","fantasy"
"fără putere","neajutorat","neajutocţiuni","fără putvanţii","helpless","powerless"
"fără valoare","inutil","inufat","fără valogewood","useless","worthless"
"farfurie","castron","bertron","farfumand","bowl","plate"
"fatal","mortal","morgen","farei","deadly","fatal"
"fax","poștă","eartă","anx","mail","fax"
"febră","tuse","tuias","feval","cough","fever"
"federaţie","colonie","coloveas","federaswati","colony","federation"
"femeie","văduvă","văducand","femerang","widow","woman"
"femeie","masculin","masmulţi","femerang","male","female"
"fericit","mulțumit","mulțuzezi","ferinari","satisfied","happy"
"fermecător","atractiv","strâmtiv","mulþimecător","attractive","charming"
"festival","carnaval","carnalism","festitric","carnival","festival"
"fete","băieți","băfiri","felor","boys","girls"
"ficat","rinichi","riplici","fiţie","kidney","liver"
"film","porno","umano","firu","porn","movie"
"final","final","filie","filie","final","ultimate"
"finalizarea","sfârșit","sfârhan","finalizatôichi","end","finish"
"financiar","bancar","bangiu","fifloriciar","banking","financial"
"finanțare","financiar","fifloriciar","fireştițare","financially","financing"
"finanțarea","buget","bunie","fireştițarea","budget","funding"
"fiu","fiica","tweca","nău","daughter","son"
"fizic","sexual","seappeal","filul","sexual","physical"
"flacără","foc","kac","săzicără","fire","flame"
"floare","plantă","flectă","odrare","plant","flower"
"flota","naval","napun","teata","naval","fleet"
"fluid","lichid","lisand","flmud","liquid","fluid"
"fluier","corn","cohe","flufan","horn","whistle"
"foame","obosit","fessit","căpme","tired","hungry"
"foarte","extrem","exlraj","flicte","extremely","very"
"forta","putere","blestere","treta","strength","force"
"fotbal","baschet","spuchet","foleam","basketball","football"
"fotograf","autograf","autoceam","fotovers","autograph","photographer"
"fotografie","imagine","cresgine","fotograteşti","picture","photo"
"frânghie","lanţ","laşu","tracghie","chain","rope"
"frate","omule","plele","bește","dude","bro"
"frate","sora","niera","bește","sister","brother"
"fraudă","conspiraţie","congressraţie","niciudă","conspiracy","fraud"
"fraza","dicţionar","dimentnar","opoza","dictionary","phrase"
"frică","groază","doamză","mercă","horror","fear"
"fructe","măr","eyr","croate","apple","fruit"
"frumoasa","frumos","frugal","fruprinsa","pretty","beautiful"
"frumuseţe","farmec","farkis","frumutbal","charm","beauty"
"fugar","refugiat","refugicieni","futro","refugee","fugitive"
"funcţional","operațional","operaswatinal","funtămânal","operational","functional"
"fund","top","eap","yond","top","bottom"
"fund","cur","eir","yond","ass","butt"
"furculiţă","linguriţă","desfiguriţă","furgheaţă","spoon","fork"
"furie","furie","fuzat","fuzat","anger","rage"
"furios","gelos","gedii","furizezi","jealous","angry"
"furnică","albină","albitori","înţenică","bee","ant"
"furnizare","permite","islamite","schimnizare","enable","provide"
"furtun","pompa","hispa","spriun","pump","hose"
"furtună","vânt","vâff","ajusună","wind","storm"
"galaxie","univers","spavers","galaplat","universe","galaxy"
"galben","roșu","rozmo","galzor","red","yellow"
"gândi","considera","obiecsidera","pesdi","consider","think"
"garaj","atelier","scurlier","galin","workshop","garage"
"gard","perete","perecţio","gați","wall","fence"
"găsi","căutare","oportutare","tensi","search","find"
"gât","gât","upt","ilt","throat","neck"
"gaură","sparge","exerge","gaugati","crack","hole"
"generos","milos","migiu","genebuni","compassionate","generous"
"genunchi","umăr","umiţ","genenţei","shoulder","knee"
"ghinion","nefericit","neferidenţa","frenion","unfortunate","misfortune"
"global","naţional","naţiotezi","glorui","national","global"
"glonţ","calibru","calienii","glriţ","caliber","bullet"
"glorie","glorios","enerrios","edirie","glorious","glory"
"glumă","truc","trșă","asamă","trick","joke"
"gol","nud","fid","âul","nude","naked"
"gorilă","maimuţă","înţemuţă","gorizati","monkey","gorilla"
"gram","kilogram","kilomali","swam","kilo","gram"
"gratuit","liber","lilan","junctuit","freely","free"
"greaţă","diaree","diajuns","brusţă","diarrhea","nausea"
"grec","român","rogul","grjo","roman","greek"
"greşeală","eroare","ejecre","appleală","error","mistake"
"greu","greu","grop","graj","tough","hard"
"grevă","lovit","losal","chivă","hit","strike"
"griji","îngrijorare","înceţoşajorare","grvui","concern","worry"
"gros","subţire","sufloare","graj","thin","thick"
"grozav","excelent","excechii","grogdo","excellent","great"
"grup","bandă","gradă","grix","gang","group"
"grup","orchestră","orchescan","grix","orchestra","band"
"gun","puşcă","puşteţi","ean","rifle","gun"
"gunoi","gunoi","gutig","guvic","trash","garbage"
"guvern","administrare","adminisanywhere","guphin","administration","government"
"halucinaţie","iluzie","ilucut","halucinastanţă","illusion","hallucination"
"hamburger","sandwich","sangretch","obiecburger","sandwich","hamburger"
"hartă","busolă","buneaslă","pultă","compass","map"
"heroina","cocaină","corectnă","heffleyina","cocaine","heroin"
"hidrogen","carbon","carkar","hidrovici","carbon","hydrogen"
"hiv","sida","punda","nov","aids","hiv"
"homar","ton","ean","houli","tuna","lobster"
"homosexual","lesbiene","lesthorne","homosestanţial","lesbian","gay"
"iad","paradis","parateci","erd","paradise","hell"
"iarnă","vară","nieră","neşnă","summer","winter"
"idiot","prost","ftost","sălot","fool","idiot"
"ieftin","scump","wiump","iețiin","expensive","cheap"
"iepure","vulpe","bărpe","iepunând","fox","rabbit"
"ieri","azi","făi","xuri","today","yesterday"
"îmbrăţişare","sărut","săeni","îmclanşaţişare","kiss","hug"
"îmbunătăţire","schimbare","domnibare","îmbunătăţirevanşezi","change","improvement"
"imens","mare","matic","imvas","big","huge"
"împărat","imperial","imperiseste","împătezi","imperial","emperor"
"împărăție","regal","reluă","împărăceşti","royal","kingdom"
"imperiu","dinastie","ditructie","impetați","dynasty","empire"
"important","valoros","valoviți","impornesc","valuable","important"
"importanţă","sens","seur","importrați","meaning","importance"
"impresiona","flata","temta","impretenţina","flatter","impress"
"împrumut","credit","creral","împrunism","credit","loan"
"în cele din urmă","in cele din urma","in cele dintoşeşti","în cele dinrienţei","finally","eventually"
"în general","natural","natuzezi","în genminãm","naturally","generally"
"în jurul","rundă","akadă","în jrşti","round","around"
"în mod constant","mereu","meşăm","în mod clansoar","always","constantly"
"în mod voluntar","voluntar","volungesc","în mod voltorcând","volunteer","voluntarily"
"înalt","scăzut","onozut","acult","low","high"
"înălţime","greutate","tenhoutate","aranlţime","weight","height"
"înălțime","majestate","masculptate","reţițime","majesty","highness"
"încă","deja","demus","îngri","already","still"
"incapabil","incapacitatea","incapacitacăciuni","incapaseste","inability","unable"
"închide","deschis","descuto","înolande","open","close"
"închidere","deschidere","desofrandere","înofrandere","opening","closure"
"închis","blocat","puscat","înluim","locked","closed"
"închisoare","celulă","celuceas","închitanţere","cell","prison"
"încredere","respect","resplul","îndeshidere","respect","confidence"
"indica","punct","pudat","instruca","point","indicate"
"individual","persoană","perchelnă","indivistanţial","person","individual"
"infecţie","virus","vicle","inferiți","virus","infection"
"înfiorător","infricosator","instanţecosator","înfiorăcţiuni","scary","creepy"
"informa","raport","racent","inspecma","report","inform"
"informație","date","ieşte","informareşal","data","information"
"informator","sursă","clusă","informareşal","source","informant"
"înfrângere","victorie","agentorie","îngheţagere","victory","defeat"
"îngheţa","topi","tosy","îngeţii","melt","freeze"
"înghiţitură","cădere brusca","căderevansezsca","înclanşaţitură","drop","sip"
"îngropa","săpa","propa","înechipa","dig","bury"
"injecţie","doza","ghiza","injenati","dose","injection"
"înmormântare","sicriu","sişiri","înmordezvoltare","coffin","funeral"
"înot","îneca","jigca","însy","drown","swim"
"înregistrare","record","rebări","înregisoffshore","record","recording"
"insectă","păianjen","păianzolvi","inpăzită","spider","insect"
"însoți","escorta","esanunta","înghei","escort","accompany"
"inspecţie","examinare","schimminare","insperati","examination","inspection"
"inspirație","a inspira","ncrenspira","inspiraswati","inspire","inspiration"
"instrument","instrument","infragment","intainment","tool","instrument"
"întâlni","vedea","vetre","încţiuni","see","meet"
"întâlnire","conferinţă","confeziuni","înobraznire","conference","meeting"
"întâmpla","apar","toar","întâmmont","occur","happen"
"inteligent","inteligent","intelichizi","intelivrari","smart","intelligent"
"intenție","scop","scic","intenberg","purpose","intention"
"intentionat","accidental","accichrystal","intendenţănat","accidentally","intentionally"
"interesant","captivant","captibiei","interecurgi","exciting","interesting"
"interior","in afara","in afţâni","interiseste","outside","inside"
"interventie chirurgicala","a functiona","scienctiona","dezinterventie chirurgicala","operate","surgery"
"interzice","interzis","interffet","inoglinzice","forbidden","prohibit"
"intim","personal","persocuri","inmei","personal","intimate"
"întoarcere","înapoi","înaier","însprâncere","back","return"
"într-adevăr","de fapt","deffett","întradefrunt","actually","really"
"intrare","ieșire","ieutoare","inspecre","exit","entrance"
"întreținere","serviciu","servimani","înceţoşaținere","service","maintenance"
"intuiţie","instinct","inschett","infeldţie","instinct","intuition"
"întuneric","umbră","ummis","întunepofti","shadow","dark"
"investi","finanţa","fisinţă","instruti","finance","invest"
"investiga","examina","scrimina","instructiga","examine","investigate"
"investigator","analist","cullist","investigaranţii","analyst","investigator"
"investitor","bancher","bangeri","investicieni","banker","investor"
"iresponsabil","nerezonabil","nerezonadenţei","ntoarponsabil","unreasonable","irresponsible"
"ironic","ironie","înănie","ginnic","irony","ironic"
"iubit","amantă","aplată","iumar","mistress","lover"
"iulie","iunie","iubeº","iudai","june","july"
"jaf","furt","fuas","olf","theft","robbery"
"jalnic","mizerabil","mizeraseste","domnic","miserable","pathetic"
"jignița","insultă","incientă","atrinița","insult","offend"
"joc","joaca","lanca","tuc","play","game"
"jucărie","păpuşă","păpurezi","jucăloşi","doll","toy"
"jucător","antrenor","antredati","jucăreţi","coach","player"
"judecător","curte","nește","judecăneşti","court","judge"
